漢字	IPA	釋義
稍	sɔ3	
税	ʂɻʷej5	
稗	bɰa6-	
稗	pɰa5=	
稚	tʂʅ5	
稠	dʐəw2	
稳	wən3	
稻	dɔ6-	
稻	tɔ5=	
稼	cja5	
稽	ci1	
稿	kɔ3	
穆	mʊ7	
穴	tʂʰɻʷɛ7	
究	cjʊ5	
穷	ɟjən2	
空	kʰən1	～虚
空	kʰən5	～缺
穿	tʂʰɻʷĩ1	
突	tʰəw7	
窄	tswa7-	
窄	tsɛ7=	
窍	cʰjɔ5	
窑	jɔ2	
窖	kɔ5	
窗	tsʰaŋ1	
窜	tsʰwĩ5	
窝	ʊ1	
窟	kʰu7	
窠	kʰu1-	
窠	kʰʊ1=	
窥	kʰwej1	
立	ni7	
竖	ʂʯ6-	
竖	ʂʯ5=	
站	dzæ̃6-	立；车～
站	tsæ̃5=	立；车～
竞	cjən5	
竟	cjən5	
章	tʂaŋ1	
童	dən2	
竭	cʰjɛ7	
端	twĩ1	
竹	tʂəw7	
竿	kæ̃3	竹～
笃	təw7	
笋	sən3	
笑	sjɔ5	
笔	pi7	
笙	sən1	
笛	ti7	
笠	ni5	
符	ɸu2	
笨	pən3	
第	di6-	
第	ti5=	
笺	tsʰĩ1	
笼	nən2	烘～子
笼	nən3	箱～
等	tĩ3-	
等	tən3=	
筋	cjən1	
筏	xwa5	
筐	cʰjaŋ1	
筑	tʂəw7	
筒	dən2	
答	ta7	
策	tsʰɛ7	
筛	sa1	
筝	tsĩ1-	
筝	tsən1=	
筵	ĩ2	
筷	kʰwa5	
筹	dʐəw2	
签	tsʰĩ1	～字；竹～
简	kæ̃3-	
简	cjæ̃3=	
箍	ku1	
箕	ci1	
算	swĩ5	
管	kwĩ3	
箢	wĩ1	～箕
箩	nʊ2	
箫	sjɔ1	
箭	tsĩ5	
箱	sjaŋ1	
篆	dʐɻʷĩ3	
篇	pʰĩ1	
篓	njɔ3-	
篓	nəw3=	
篙	kɔ1	
篦	bi6	
篮	næ̃2	
篱	ni2	
篷	bən2	
篾	mĩ5-	竹～
篾	mjɛ7=	竹～
簟	dĩ6	席
簧	xaŋ2	
簪	tsæ̃1	
簰	ba2	筏
簸	pu5	～一～
簸	pʊ5	～箕
簿	bu6	
籍	tsi7	
米	mĩ3	
籴	tʰi5	
类	nɛ6-	
类	nɛ5=	
籼	sĩ1	
籽	tsɿ3	
粉	xwən3	
粒	ni5	
粗	tsʰəw1	
粘	tjæ̃1-	
粘	cĩ1	
粜	tʰjɔ5	
粟	sjʊ7	
粤	wɛ7	
粥	tʂəw7	
粪	xwən5	
粮	njaŋ2	
粱	njaŋ2	
粳	cĩ1-	
粳	kən1=	
粹	tsʰɛ5	
粽	tsən5	
精	tsjæ̃1-	～肉
精	tsjən1=	
糕	kɔ1	
糖	daŋ2	
糙	tsʰɔ5	
糜	mĩ2	粥
糟	tsɔ1	
糠	kʰaŋ1	
糯	nʊ6-	
糯	nʊ5=	
糰	dwĩ2	
系	çi6-	～统；连～；是
系	ci5	～鞋带
系	çi5=	～统；连～；是
素	səw5	
索	sʊ7	绳～
紧	cjən3	
紫	tsɿ3	
累	nɛ3	劳～；积～；连～
絮	si5	
繁	xwæ̃2	
纠	cjʊ1	～缠；～正
红	xən2	
纣	dʐəw6-	桀～
纣	tʂəw5=	桀～
纤	tsʰĩ1	～维
约	jʊ7	
级	cʰi7	
纪	ci3	
纬	ʯ6-	～纱
纬	wej5=	
纯	ʂɻʷən2	
纱	swa1	
纲	kaŋ1	
纳	na7	
纴	jən6	
纵	tsən5	～横；放～
纷	xwən1	
纸	tʂʅ3	
纹	wən2	
纺	xaŋ3	
纽	ɲjʊ3	
线	sĩ5	
练	nĩ6-	
练	nĩ5=	
组	tsəw3	
细	si5	
织	tʂʅ7	
终	tʂən1	
绉	tsjɔ5-	
绉	tsəw5=	
绊	pʰæ̃5	
绍	ʂɔ5	
经	cjən1	
绑	paŋ3	
绒	jən2	
结	cjɛ7	
绕	jɔ3	
绘	xwɛ5	
给	ci7	
络	nʊ5-	一～钥匙
络	nʊ7=	联～
绝	tsjɛ7	
绞	cjɔ3	
统	tʰən3	
绢	tʂɻʷĩ5	
绣	sjʊ5	
绥	si1	
继	ci5	
绩	tsi7	
绪	dzi6-	
绪	tsi5=	
续	səw7	
绳	ʂən2	
维	wej2	
绵	mĩ2	
绷	pən1	
绸	dʐəw2	
综	tsən1	～合
综	tsən5	织布机上的综
绿	nəw7	
缎	dwĩ6-	
缎	twĩ5=	
缓	xwĩ3	
缓	wĩ3	又
编	pʰĩ1	
缘	wĩ2	
缚	xʊ5	
缝	xən5-	一条～，又
缝	xwən6-	一条～
缝	xwən2	～衣服
缝	xwən5=	一条～
缠	ɟĩ2	纠～
缠	dʐən2	盘～钱
缨	jən1	
缩	səw7	
缰	cjaŋ1	～绳
缲	tsʰjɔ1	～边
缴	cjɔ3	上～
缸	kaŋ1	
缺	tʂʰɻʷɛ7	
罐	kwĩ5	
网	waŋ3	
罕	xæ̃3	
罗	nʊ2	
罚	xwa5	
罩	tsɔ5	
罪	dzɛ6-	
罪	tsɛ5=	
置	tʂʅ5	
署	ʂʯ5	专～
羊	jaŋ2	
羌	cʰjaŋ1	
美	mĩ3	
羔	kɔ1	
羞	sjʊ1	
羡	sĩ5	
羣	dʐɻʷən2	
羹	cĩ1-	
羹	kən1=	
羽	ʯ3	
翁	wən1	
翅	tʂʅ5	
翎	njən2	
翠	tsʰi5-	
翠	tsʰɛ5=	
翰	xæ̃5	
翻	xwæ̃1	
翼	jɛ5-	
翼	i7=	
耀	jɔ6-	
耀	jɔ5=	
老	nɔ3	
考	kʰɔ3	
者	tɛ3	又
者	tʂɛ3	
而	ɛ2	
耍	swa3-	
耍	sa3=	
耐	na6-	
耐	na5=	
耕	cĩ1-	
耕	kən1=	
耗	xɔ5	
耙	bɰa2	～地
耳	ɛ3	
耶	jɛ1	
耻	tʂʰʅ3	
耽	tæ̃1	
耿	cĩ3-	
耿	kən3=	
聂	ɲjɛ7	姓
聊	njɔ1	
聋	nən1	
职	tʂʅ7	
聒	kwa7	
联	nĩ2	
聘	pʰjən5	
聚	dzi6-	
聚	tsi5=	
聪	tsʰən1	
肃	səw7	
肄	i5	
肆	sɿ5	
肉	jəw7	
肋	nɛ7	
肌	ci1	
肘	tʂəw3	
肚	təw3	鱼～；腹～
肛	kaŋ1	
肝	kæ̃1	
肠	dʐaŋ2	
股	ku3	
肢	tʂʅ1	
肤	ɸu1	
肥	xwej2	
肨	pʰaŋ1	肿
肩	cĩ1	
肪	xaŋ2	
肯	cʰĩ3-	
肯	kʰən3=	
育	jəw7	
肺	xwej5	
肾	ʂən5	
肿	tʂən3	
胀	tʂaŋ5	
胁	çjɛ7	
胃	wej5	
胆	tæ̃3	
背	bɛ6-	～诵
背	pɛ5	～心
背	pɛ5=	～诵
胎	tʰɛ1	
胖	pʰaŋ5	
胚	pʰɛ1	
胛	ka7-	翼～
胛	cja7=	
胜	ʂən5	～败；～任
胞	pɔ1	
胡	ɸu2	～琴；～子
胥	si1	
胳	kʊ7	～臂
胶	cjɔ1	
胸	çjən1	
能	nĩ2-	
能	nən2=	
脂	tʂʅ3	
脆	tsʰi5-	
脆	tsʰɛ5=	
脉	mɛ7	
脊	tsja7	
脏	tsaŋ5	不干净
脏	tsaŋ5	心～
脐	dzi2	
脑	nɔ3	
脓	nən2	
脖	pʰʊ7	
脚	tʂʊ7	
脬	pʰɔ1	
脯	bu2	胸～
脱	tʰɛ7-	
脱	tʰʊ7=	
脶	nʊ2	
脸	nĩ3	
脾	bi2	
腊	na7	
腌	ĩ1	
腐	ɸu3	
腑	ɸu3	
腔	cʰjaŋ1	
腕	wæ̃3	
腥	sjæ̃5-	
腥	sjən1=	
腮	sɛ1	
腰	jɔ1	
腱	cĩ5	
腹	ɸu7	
腻	ɲĩ5	
腾	dĩ2	
腿	tʰɛ3	
膏	kɔ1	
膘	pjɔ1	肥～
膜	mʊ7	
膝	tsʰi7	
膨	bĩ2-	
膨	bən2=	
膳	çĩ6-	
膳	çĩ5=	
臀	dən2	
臂	pɛ5	
臊	sɔ1	腥～
臊	sɔ5	～子
臣	dʐən2	
自	dzɿ6	
自	sɿ6	又
臭	tʂʰəw5	
至	tʂʅ5	
致	tʂʅ5	
臻	tsən1	
臼	ɟjʊ6-	
臼	cjʊ5=	
舀	jɔ3	
舂	tʂʰən1	
舅	ɟjʊ6-	
舅	cjʊ5=	
舌	ʂɛ5	
舍	ʂɻʷa3-	～弃
舍	ʂɻʷa5-	宿～
舍	ʂɛ3=	～弃
舍	ʂɛ5=	宿～
舒	ʂʯ1	
舔	tʰĩ3	
舜	ʂɻʷən5	
舞	u3	
舟	tʂəw1	
航	xaŋ2	
般	bĩ2	
舰	kæ̃5	
舱	tsʰaŋ1	
舵	dʊ6-	
舵	tʊ5=	
船	dʐɻʷĩ2	
艇	tʰjən3	
良	njaŋ2	
艰	kæ̃1-	
艰	cjæ̃1=	
色	sɛ7	
艳	ĩ5	
艺	ɲĩ5	
艾	ŋæ̃6-	
艾	ŋɛ6=	
节	tsjɛ7	
芋	ʯ6	
芍	ʂʊ5	～药
芒	maŋ2	
芒	maŋ2	麦～
芙	ɸu2	
芝	tʂʅ1	
芥	ka5	
芦	nəw2	
芬	xwən1	
芭	pɰa1	
芯	sjən1	
花	xwa1	
芳	xaŋ1	
芹	ɟjən2	
芽	ŋwa2-	
芽	ja2=	
苇	wej3	
苋	xæ̃6	～菜
苍	tsʰaŋ1	
苎	dʐʯ6	
苏	səw1	
苔	tʰɛ1	舌～
苔	dɛ2	青～
苗	mjɔ1	
苛	kʰʊ1	
苞	pɔ1	
苟	kəw3	
若	jʊ7	
苦	kʰu3	
英	jən1	
茂	mjɔ6-	
茂	mjɔ5=	
范	xwæ̃6-	姓
范	xwæ̃5	模～
范	xwæ̃5=	姓
茄	dʐɻʷa2-	～子
茄	dʐɛ2=	～子
茅	mɔ2	
茎	cjən1	
茔	wən2	
茧	cĩ3	
茫	maŋ2	
茴	xwɛ2	
茶	dzwa2	
茸	jən2	参～
荆	cjən1	
草	tsʰɔ3	
荐	tsĩ5	
荒	xaŋ1	
荔	ni6-	
荔	ni5=	
荞	ɟjɔ2	
荡	taŋ5	
荣	wən2	
荤	xwən1	
荪	sən1	～子：新芽
荫	jən1	
药	jʊ7	
荷	xʊ2	～花；薄～
莫	mʊ7	
莲	nĩ2	
莴	ʊ1	
获	xʊ7	
莺	jən1	
莽	maŋ3	
菊	cjʊ7	
菊	tʂʯ7=	
菌	dʐɻʷən6	
菖	tʂʰaŋ1	
菜	tsʰɛ5	
菠	pʊ1	
菢	bɔ6	～鸡婆
菩	bu2	
菱	njən2	
菲	xwej1	～薄
萄	dɔ2	
萌	mjən2	
萍	bjən2	
萎	wej1	
萝	nʊ2	
萤	jæ̃2-	
萤	wən2=	
营	wən2	
萧	sjɔ1	
萨	sa7	
落	nʊ7	
著	tʂʯ5	显～
葚	ʂən6	桑～
葛	kʊ7	
董	tən3	
葫	ɸu2	～芦
葬	tsaŋ5	
葱	tsʰən1	
葵	ɡwej2	
蒂	ti5	
蒋	tsjaŋ3	
蒙	maŋ2-	
蒙	mən2=	
蒜	swĩ5	
蒲	bu2	
蒸	tʂən1	
蒿	xɔ1	
蓄	çjʊ7	储～
蓉	jən2	
蓑	sʊ1	
蓖	pɛ1	
蓝	næ̃2	
蓬	bən2	
蔡	tsʰɛ5	
蔫	ĩ1	
蔬	səw1	
蔸	tjɔ1-	
蔸	təw1=	
蔻	kʰəw5	
蔼	ŋɛ3	
蔽	pɛ5-	
蔽	pi5=	
蕉	tsjɔ1	
蕊	ʯ3	
蕹	wən1	～菜
薄	pʰʊ5	厚～
薄	bʊ6	～荷
薅	xɔ1	～草
薛	sjɛ7	
薪	sjən1	
薯	dʐʯ2	
藉	dzja6-	～故
藉	tsi7	
藉	tsja5=	～故
藏	dzaŋ6-	西～
藏	dzaŋ2	隐～
藏	tsaŋ5=	西～
藐	mjɔ3	
藕	ɲjɔ3-	
藕	ŋəw3=	
藤	dĩ2	
藩	xwæ̃2	
藿	xʊ7	
虎	ɸu3	
虏	nəw3	
虐	ɲjʊ7	
虑	nɛ5	
虚	ʂʯ1	
虞	ʯ2	
虫	dʐən2	
虱	sɛ7	
虹	kaŋ5-	出～
虹	xən2=	霓～灯
虻	maŋ2-	牛～
虻	mən2=	牛～
虽	si1	
虾	xa1-	鱼～
虾	xwa1-	鱼～
虾	çja1=	鱼～
蚀	ʂʅ7	
蚁	ɲĩ6-	
蚁	ɲĩ5=	
蚂	mɰa3	
蚊	mən1-	
蚊	wən2=	
蚌	baŋ6-	
蚌	paŋ5=	
蚕	dzæ̃2	
蚣	kən1	
蚤	tsɔ3	
蛀	tʂʯ5	
蛆	tsʰi1	
蛇	ʂɻʷa2-	
蛇	ʂɛ2=	
蛉	njæ̃2-	蝉～子
蛉	njən2=	
蛋	dæ̃6-	
蛋	tæ̃5=	
蛙	wa1	
蛛	tʂʯ1	
蛮	mæ̃2	
蛰	tʂʅ5	
蛾	ŋʊ2	
蜀	ʂəw5	
蜂	xwən1	
蜈	u2	
蜓	djən2	
蜕	tʰɛ5	蝉～
蜗	ʊ1	
蜘	tʂʅ1	
蜜	mĩ7	
蜡	na7	～烛
蜢	mən3	
蜻	tsʰjən1	
蝇	jən2	
蝉	ʂɻʷĩ2	
蝗	xaŋ2	
蝙	pĩ1	
蝙	pĩ3	又
蝠	ɸu7	
蝶	tʰjɛ5	
螂	naŋ2	
螃	baŋ2	～蟹
融	jən2	
螳	daŋ2	
螺	nʊ2	
蟀	sʊ7	
蟆	mɰa2	～拐
蟋	si7	
蟒	maŋ3-	
蟒	mən3=	
蟹	xa6-	
蟹	xɛ3=	
蠚	xʊ7	蜇
蠢	tʂʰɻʷən3	
血	ʂɻʷɛ7-	
血	çjɛ7=	
衅	çjən5	
行	çjən6-	品～
行	çjən2	～为
行	xaŋ2	银～
行	çjən5=	品～
衔	xæ̃2	
街	ka1	
衙	ŋwa2-	
衙	ja2=	
衡	çjən2-	
衡	xən2=	
衣	i1	
补	pu3	
表	pjɔ3	～面；钟～
衫	sæ̃1	
衬	tsʰən5	
衰	sɛ1	
袁	wĩ2	
袄	ŋɔ3	
袋	dɛ6-	
袋	tɛ5=	
袍	bɔ2	
袖	sjʊ5	
袜	wa7	
被	bi6	～子；～迫
袭	si7	
袱	ɸu5	～子
裁	dzɛ2	
裂	njɛ7	
装	tsaŋ1	
裕	ʯ5	
裙	dʐɻʷən2	
裤	kʰu5	
裥	kæ̃5	
裳	ʂaŋ2	
裴	bɛ2	
裹	kʊ3	
褡	ta7	
褥	jəw7	
褪	tʰən3	
褯	dzja6	～子
褶	tʂɛ7	～子
襄	sjaŋ1	
襟	cjən1	
襻	pʰæ̃5	
西	si1	
要	jɔ1	～求
要	jɔ5	重～
覆	ɸu7	反～
见	cĩ5	
观	kwĩ1	参～
观	kwĩ5	寺～
规	kwej1	
觅	mĩ5	
视	ʂʅ6-	
视	ʂʅ5=	
览	næ̃3	
觉	kɔ5-	睏～
觉	tʂʊ7	知～
觉	cjɔ5=	睡～
角	kʊ7-	～度
角	tʂʊ7=	一～
解	ka3	讲～，～开
触	tʂʰəw7	
言	ɲĩ2	
誉	ʯ5	
誊	dĩ2	
誓	ʂʅ5	
警	cjən3	
譬	pʰi7	
计	ci5	
订	tjən5	
讣	pʰu5	
认	jən6	
讥	ci1	
讨	tʰɔ3	
让	jaŋ6-	
让	jaŋ5=	
讫	cʰi7	
训	ʂɻʷən5	
议	ɲĩ6-	
议	ɲĩ5=	
讯	sjən5	
记	ci5	
讲	kaŋ3-	
讲	cjaŋ3=	
讳	xwej5	
许	ʂʯ3	
论	nən2	～语
论	nən5	议～
讼	dzən6-	
讼	tsən5=	
讽	xwən3	
设	ʂɛ7	
访	xaŋ3	
诀	tʂɻʷɛ7	
证	tʂən5	
评	bjæ̃2-	
评	bjən2=	
识	ʂʅ7	
诈	tswa5	
诉	səw5	
诊	tʂən1	
词	dzɿ2	
诏	tʂɔ1	
试	ʂʅ5	
诗	ʂʅ1	
诘	ci7	
诚	dʐən2	
诛	tʂʯ1	
话	wa6	
诞	tæ̃5	
诡	kwej3	
询	dzən2	
该	kɛ1	
详	dzjaŋ2	
诬	u1	
语	ɳʯ3	
误	u5	
诱	jʊ3	
说	ʂɻʷɛ7	
诵	dzən6-	
诵	tsən5=	
请	tsʰjæ̃3-	
请	tsʰjən3=	
诸	tʂʯ1	
诺	nʊ7	
读	tʰəw5-	
读	təw7=	
课	kʰʊ5	
谁	ʂɻʷej2	
调	djɔ2	～和
调	tjɔ5	音～；～动
谅	njaŋ6-	
谅	njaŋ5=	
谈	dæ̃2	
谊	ɲĩ2	
谋	mjɔ1-	
谋	məw2=	
谍	tʰjɛ5	
谎	xaŋ3	
谓	wej5	
谗	dzæ̃2	
谚	ɲĩ5	
谜	mĩ2	～语
谜	mĩ6	猜～子
谢	dzja6-	
谢	sjɛ5=	
谣	jɔ2	
谤	paŋ5	
谦	cʰĩ1	
谨	cjən3	
谬	mjɔ5	
谭	dæ̃2	
谱	pʰu3	
谷	ku7	山～；～子
豆	djɔ6-	
豆	dəw6=	
豉	ʂʅ6	
豌	wĩ1-	
豌	wæ̃1=	
豚	dən2	
象	dzjaŋ6-	
象	tsjaŋ5=	
豪	xɔ2	
豫	ʯ5	
豮	xwən2	公猪
豹	pɔ5	
豺	dza2	
貂	tjɔ1	
貌	mɔ5	
贝	pɛ5	
贞	tʂən1	
负	ɸu6	
贡	kən5	
财	dzɛ2	
责	tsɛ7	
贤	çĩ2	
败	ba6-	
败	pa5=	
账	tʂaŋ5	
货	xʊ5	
质	tʂʅ7	
贩	xwæ̃5	
贪	tʰæ̃1	
贫	bjən2	
贬	pĩ3	
购	kɔ5	
贯	kwĩ5	
贰	ɛ6	
贱	dzĩ6	
贴	tʰjɛ7	
贵	kwej5	
贷	dɛ6-	
贷	tɛ5=	
贸	mjɔ5	
贸	mɔ5=	
费	xwej5	
贺	xʊ6-	
贺	xʊ5=	
贻	i2	
贼	tsʰɛ5-	
贼	tsɛ7=	
贾	cja3	
贿	xwej5	
赃	tsaŋ1	
资	tsɿ1	
赊	ʂɻʷa1-	
赊	ʂɛ1=	
赋	ɸu5	
赌	təw3	
赎	ʂəw5-	
赎	ʂəw7=	
赏	ʂaŋ3	
赐	tsʰɿ5	
赔	bɛ2	
赖	na6-	
赖	na5=	
赚	dzæ̃6	
赛	sa5-	
赛	sɛ5=	
赞	tsæ̃5	
赠	tsʰĩ5-	
赠	tsʰən5=	
赢	jæ̃2-	
赢	jən2=	
赤	tʂʰʅ7	
赦	ʂɻʷa5-	
赦	ʂɛ5=	
赫	xɛ7	
走	tsjɔ3-	
走	tsəw3=	
赴	ɸu5	
赵	dʐɔ6-	
赵	tʂɔ5=	
赶	kæ̃3	
起	cʰi3	
趁	tʂʰən5	
超	tʂʰɔ1	
越	wɛ7	
趋	tsʰi1	
趟	tʰaŋ5	去一～
趣	tsʰi5	
足	tsəw7	
趾	tʂʅ3	
跃	jʊ7	
跄	tsʰjaŋ5	
跌	tjɛ7	
跑	pʰɔ3	
跛	pa1-	～子
跛	pʊ1=	
距	dʐʯ6-	
距	tʂʯ5=	
跟	cĩ1	
跨	kʰwa1	
跪	kʰwej3	
路	nəw6-	
路	nəw5=	
跳	tʰjɔ5	
践	tsʰĩ5	
踏	tʰa7	
踢	tʰi7	
踩	tsʰa3-	
踩	tsʰɛ3=	
踪	tsən1	
蹄	di2	
蹋	tʰa7	
蹲	dzən2	
躁	tsʰɔ5	
身	ʂən1	
躬	kən1	
躲	tʊ3	
躺	tʰaŋ3	
车	tʂʰɻʷa1-	火～
车	tʂʯ1	～马炮
车	tʂʰɛ1=	
轧	tsa7	～棉花
轨	kwej3	
轩	ʂɻʷĩ1	
转	tʂɻʷĩ3	～送；～圈
轭	wa5	
轮	nən2	
软	nwĩ3	
轰	xən1	
轴	tʂʰəw7	
轻	cʰjæ̃1-	
轻	cʰjən1=	
载	tsɛ5	年～；～重；满～
轿	ɟjɔ6-	
轿	cjɔ5=	
较	cjɔ5	
辅	pʰu3	
辆	njaŋ3	
辈	pɛ5	
辉	xwej1	
辎	tsɿ1	
辑	tsi7	编～
辑	tsʰi7	～麻
输	ʂʯ1	
辕	wĩ2	
辖	çja7	
辛	sjən1	
辞	dzɿ2	
辟	pʰi7	
辣	na5	
辨	pĩ5	
辩	pĩ5	
辫	bĩ6-	
辫	pĩ5=	
辰	ʂən2	
辱	jəw7	
边	pĩ1	
辽	njɔ1	
达	ta7	
迁	tsʰĩ1	
迂	ʯ1	
迄	cʰi7	
迅	sjən5	
过	ku5	
过	kʊ5=	
迈	mæ̃6-	
迈	mæ̃5=	
迎	ɲjən2	
运	wən6-	
运	wən5=	
近	ɟjən6-	
近	cjən5=	
还	a2-	～有
还	xwæ̃2	～原
还	xa2=	～有
进	tsjən5	
远	wĩ3	
违	wej2	
连	nĩ2	
迟	dʐʅ2	
迫	pʰɛ7	
述	ʂʯ5	
迷	mĩ2	
迸	pjən5	～裂
迹	tsi7	
追	tʂɻʷej1	
退	tʰɛ5	
送	sən5	
适	ʂʅ7	
逃	dɔ2	
逆	ɲĩ5	忤～子
逆	ɲĩ7=	
选	sĩ3	
逊	sən5	
透	tʰəw5	
逐	tʂʰəw7	
递	tʰi5	
途	dəw2	
逗	djɔ6-	
逗	dəw6=	
通	tʰən1	
逝	ʂʅ5	
逞	tʰən3	又
逞	tʂʰən3	
速	sʊ7	
造	dzɔ6-	
造	tsʰɔ5=	
逢	xwən2	
逵	ɡwej2	
逸	i7	
逼	pi7	
逾	ʯ2	
遁	tən5	
遂	sɛ5	
遇	ʯ6-	
遇	ʯ5=	
遍	pʰĩ1	一～
遍	pʰĩ5	～地
道	dɔ6-	
道	tɔ5=	
遗	i2	
遣	cʰĩ3	
遭	tsɔ1	
遮	tʂɻʷa1-	
遮	tʂɛ1=	
遵	tsən1	
避	pʰi7	
邀	jɔ1	
邑	i7	
邓	tən5	
那	na5	
邦	paŋ1	
邪	dzja2-	
邪	sja2=	
邮	jʊ2	
邵	ʂɔ5	
邹	tsjɔ1-	
邹	tsəw1=	
邻	njən2	
郁	jəw7	
郊	cjɔ1	
郎	naŋ2	
郑	dən6-	又
郑	dʐən6-	
郑	tʂən5=	
郡	tʂɻʷən5	
部	bu6-	
部	pu5=	
郭	kʊ7	
都	təw1	
鄂	ŋʊ7	
鄙	pʰi3	
酉	jʊ3	
酌	tʂʊ7	
配	pʰɛ5	
酒	tsjʊ3	
酥	səw1	
酬	dʐəw2	
酱	tsjaŋ5	
酵	çjɔ5	
酷	ku7	
酸	swĩ1	
酽	ɲĩ6	
酿	jaŋ6-	
酿	jaŋ5=	
醉	tsi5-	
醉	tsɛ5=	
醋	tsʰəw5	
醒	sjæ̃3-	
醒	sjən3=	
醮	tsjɔ5	打～
采	tsʰɛ3	
釉	jʊ6-	
釉	jʊ5=	
释	ʂʅ7	
里	ni3	邻～；～外
重	dʐən6-	轻～
重	dʐən2	～复
重	tʂən5=	轻～
野	ja3-	
野	jɛ3=	
量	njaŋ2	～长短
量	njaŋ6	数～
金	cjən1	
釜	ɸu3	
鉴	kæ̃5	
针	tʂən1	
钉	tjæ̃1-	铁～
钉	tjæ̃5-	～住
钉	tjən1=	铁～
钉	tjən5=	～住
钏	tʂʰɻʷĩ1	
钓	tjɔ5	
钗	tsʰa1	
钝	dən6	
钞	tsʰɔ1	
钟	tʂən1	
钢	kaŋ1	
钥	jʊ7	
钦	cʰjən1	
钧	tʂɻʷən1	
钩	cjɔ1-	
钩	kəw1=	
钯	bɰa2	～子
钱	dzĩ2	
钳	ɟĩ2	
钵	pʊ7	
钹	pʰɰa7	
钻	tswĩ5	～洞；木～
铁	tʰjɛ7	
铃	njən2	
铅	wĩ2	
铜	dən2	
铝	nɛ3	
铡	tsʰa5	
铧	xwa2	
铭	mjən2	
铰	cjɔ3	
铲	tsʰæ̃3	
铳	tʂʰən5	放～
银	ɲjən2	
铸	tʂʯ5	
铺	pʰu1	～设；床～
铺	pʰu5	店～
销	sjɔ1	
锁	sʊ3	
锄	dzəw2	
锅	ku1-	
锅	kʊ1=	
锈	sjʊ5	
锉	tsʰʊ5	
锋	xwən1	
锐	wɛ5	
错	tsʰʊ5	～误；～杂
锚	mjɔ1-	
锚	mɔ2=	
锡	sja7-	
锡	si7=	
锣	nʊ2	
锤	dʐʯ2-	
锤	dʐɻʷej2=	
锥	tʂɻʷej1	
锦	cjən3	
锭	djən6	
键	cĩ5	
锯	kɛ5-	
锯	tʂʯ5=	
锹	tsʰjɔ1	
锹	tsʰjʊ1	又
锺	tʂən1	
锻	twĩ5	
镀	dəw6-	
镀	təw5=	
镇	tʂən5	
镔	pjən1	～铁：铝
镕	jən2	
镜	cjən5	
镰	nĩ2	
镴	na7	
镶	sjaŋ1	
长	dʐaŋ2	～短
长	tʂaŋ3	生～
门	mən2	
闩	sæ̃1	
闪	çĩ3	
闭	pi5	
问	wən6-	
问	wən5=	
闯	tʂʰaŋ3	
闰	wən6-	
闰	wən5=	
闲	xæ̃2-	
闲	çjæ̃2=	
间	kæ̃1-	中～
间	kæ̃5	～断
间	cjæ̃1=	中～
闷	mən3	
闸	tswa5-	
闸	tsa7=	
闹	nɔ6-	
闹	nɔ5=	
闺	kwej1	
闻	wən2	
闽	mjən2	
阁	kʊ7	
阅	wɛ7	
阉	ĩ1	
阎	ɲĩ2	
阔	kʰwɛ7-	
阔	kʰʊ7=	
阙	tʂʰɻʷɛ7	
队	tɛ5	
阮	wĩ2	
防	xaŋ2	
阳	jaŋ2	
阴	jən1	
阵	dʐən6-	
阵	tʂən5=	
阶	ka1	
阻	tsəw3	
阿	a1-	老～公
阿	ʊ1=	～胶
附	ɸu6-	
附	ɸu5=	
际	tsi5	
陆	nəw7	
陇	nən3	
陈	dʐən2	
陋	nəw6	
降	çjaŋ2	投～
降	cjaŋ5	下～
限	xæ̃6-	
陕	çĩ3-	
陕	ʂĩ3=	
陡	tjɔ3-	
陡	təw3=	
院	wĩ6-	
院	wĩ5=	
除	dʐʯ2	
险	çĩ3	
陪	bɛ2	
陵	njən2	
陶	dɔ2	
陷	xæ̃6-	
陷	xæ̃5=	
隆	nən2	
随	dzi2	
随	dzɛ2=	
隐	jən3	
隔	kɛ7	
障	tʂaŋ5	
隧	sɛ5	
隶	tʰi5	
难	næ̃6-	患～
难	næ̃2	～易
难	næ̃5=	患～
雀	tsʰjʊ7	
雁	ŋæ̃6-	
雁	ŋæ̃5=	
雄	çjən2	
集	tsi7	
雇	ku5	
雌	tsʰɿ1	
雍	jən1	
雕	tjɔ1	
雨	ʯ3	
雪	sjɛ7	
零	njæ̃2-	吃～食
零	njən2=	
雷	nɛ2	
雹	pʰɔ5	
雾	u6-	
雾	u5=	
需	si1	
霄	sjɔ1	
震	tʂən5	
霉	mɛ2	
霍	xʊ7	
霜	saŋ1	
霞	çja2	
露	nəw6-	
露	nəw5=	
霸	pɰa5	
霹	pʰi7	
青	tsʰjæ̃1-	
青	tsʰjən1=	
静	dzjən6-	
静	tsjən5=	
非	xwej1	
靠	kʰɔ5	
靡	mĩ2	
面	mĩ6-	脸～
面	mĩ6	～粉
面	mĩ5=	脸～
革	kɛ7	
靴	ʂɻʷa1-	
靴	ʂɛ1=	
鞋	xa2	
鞍	ŋæ̃1	
鞭	pĩ1	
韧	jən5	
韩	xæ̃2	
韭	cjʊ3	
音	jən1	
韵	wən5	
韶	ʂɔ2	～山
页	jɛ5	
顶	tjæ̃3-	打～
顶	tjən3=	
顷	tʂʰɻʷən3	
项	xaŋ6-	
项	xaŋ5=	
顺	ʂɻʷən6-	
顺	ʂɻʷən5=	
