#http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=C 	聲韻 	聲調 	字元 	字數
375 	ni 	陽平213 	犁, 泥, 栗, 倪, 釐, 逆, 溺, 歷, 律, 呢, 率, 疑, 曆, 立, 黎, 離, 籬, 璃, 暱, 匿, 尼, 力, 粒		23
376 	ni 	上聲42 	俚, 狸, 理, 里, 擬, 你, 履, 禮, 鯉, 裏		10
377 	ni 	去聲35 	莉, 膩, 利, 痢, 吏, 慮, 厲, 勵, 例, 濾, 麗, 荔		12
378 	ny 	陽平213 	律, 率, 驢		3
379 	ny 	上聲42 	屢, 縷		2
380 	ny 	去聲35 	慮, 濾		2
381 	nai 	陽平213 	來		1
382 	nai 	上聲42 	乃, 奶		2
383 	nai 	去聲35 	賴, 奈, 耐, 癩, 籟		5
384 	nei 	陽平213 	雷, 擂, 蕾		3
385 	nei 	上聲42 	餒, 壘, 儡		3
386 	nei 	去聲35 	累, 擂, 淚, 類, 內		5
387 	nau 	陰平55 	嘮, 撈		2
388 	nau 	陽平213 	饒, 撓, 勞, 牢, 癆		5
389 	nau 	上聲42 	繞, 腦, 瑙, 老, 惱		5
390 	nau 	去聲35 	澇, 鬧		2
391 	niau 	陽平213 	寥, 撩, 遼, 潦, 燎, 療, 聊, 僚, 瞭		9
392 	niau 	上聲42 	鳥, 了		2
393 	niau 	去聲35 	料, 尿		2
394 	nəu 	陰平55 	摟		1
395 	nəu 	陽平213 	爐, 肉, 鹿, 六, 廬, 奴, 盧, 柔, 顱, 樓, 轆, 婁, 麓		13
396 	nəu 	上聲42 	擄, 虜, 努, 滷, 簍, 摟, 魯, 櫓		8
397 	nəu 	去聲35 	露, 潞, 陋, 賂, 路, 怒, 漏		7
398 	niəu 	陰平55 	蹓, 溜		2
399 	niəu 	陽平213 	劉, 牛, 琉, 硫, 榴, 留, 流, 瘤		8
400 	niəu 	上聲42 	柳, 紐, 鈕, 扭		4
401 	niəu 	去聲35 	餾		1
402 	nan 	陽平213 	攔, 難, 男, 欄, 蘭, 燃, 婪, 灤, 藍, 南, 嵐, 然, 籃, 鸞, 巒		15
403 	nan 	上聲42 	染, 冉, 攬, 懶, 暖, 髯, 欖, 覽, 卵, 纜		10
404 	nan 	去聲35 	難, 濫, 亂, 爛		4
405 	niɛn 	陰平55 	妍, 研, 拈		3
406 	niɛn 	陽平213 	拈, 連, 憐, 蓮, 廉, 鐮, 鮎, 聯, 簾, 年		10
407 	niɛn 	上聲42 	碾, 攆, 臉, 撚, 輦		5
408 	niɛn 	去聲35 	練, 念, 驗, 鍊, 硯, 殮, 斂, 戀, 釅		9
409 	nən 	陰平55 	扔		1
410 	nən 	陽平213 	倫, 仁, 崙, 淪, 輪, 能, 任, 仍, 人		9
411 	nən 	上聲42 	冷, 韌, 刃, 忍		4
412 	nən 	去聲35 	認, 楞, 任, 壬, 論, 嫩		6
413 	nin 	陰平55 	拎		1
414 	nin 	陽平213 	鱗, 臨, 淋, 陵, 檸, 苓, 琳, 鈴, 燐, 伶, 林, 獰, 鄰, 菱, 凌, 蛉, 聆, 玲, 寧		19
415 	nin 	上聲42 	檁, 嶺, 廩, 凜, 領		5
416 	nin 	去聲35 	佞, 另, 吝, 賃, 令, 藺		6
417 	naŋ 	陽平213 	瓤, 郎, 狼, 螂, 囊, 廊		6
418 	naŋ 	上聲42 	嚷, 琅, 朗, 壤, 攘		5
419 	naŋ 	去聲35 	讓, 浪		2
420 	niaŋ 	陽平213 	涼, 良, 量, 娘, 糧, 梁, 粱		7
421 	niaŋ 	上聲42 	兩, 倆, 輛		3
422 	niaŋ 	去聲35 	量, 諒, 亮		3
423 	noŋ 	陰平55 	聾		1
424 	noŋ 	陽平213 	濃, 朧, 窿, 隆, 農, 籠, 龍, 膿		8
425 	noŋ 	上聲42 	攏, 壠, 隴		3
426 	noŋ 	去聲35 	弄, 齈		2
427 	ʦa 	陰平55 	查, 渣		2
428 	ʦa 	陽平213 	閘, 雜, 煠, 紮, 劄, 札, 鍘		7
429 	ʦa 	上聲42 	眨		1
430 	ʦa 	去聲35 	榨, 炸, 詐, 蔗		4
