"繁体"	"简体"	"IPA"	"注释"	"来源"		"#符號說明："	"音標後的“-”表示文讀；“=”表示讀書音，口語中不用；“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"歅"	"歅"	"iɪn1"		"鄉音字類"			
"霙"	"霙"	"iɪn1"		"鄉音字類"			
"瑛"	"瑛"	"iɪn1"		"鄉音字類"			
"韺"	"韺"	"iɪn1"		"鄉音字類"			
"櫻"	"櫻"	"iɪn1"		"鄉音字類"			
"纓"	"纓"	"iɪn1"		"鄉音字類"			
"瓔"	"瓔"	"iɪn1"		"鄉音字類"			
"攖"	"攖"	"iɪn1"		"鄉音字類"			
"嚶"	"嚶"	"iɪn1"		"鄉音字類"			
"鸚"	"鸚"	"iɪn1"		"鄉音字類"			
"鸎"	"鸎"	"iɪn1"		"鄉音字類"			
"鶯"	"鶯"	"iən1"	"黃~"	"鄉音字類"			
"甖"	"甖"	"iɪn1"		"鄉音字類"			
"罃"	"罃"	"iɪn1"		"鄉音字類"			
"喑"	"喑"	"iən1"		"鄉音字類"			
"譍"	"譍"	"iɪn1"		"鄉音字類"			
"靷"	"靷"	"iɪn3"		"鄉音字類"			
"潁"	"潁"	"iɪn3"		"鄉音字類"			
"郢"	"郢"	"iɪn3"		"鄉音字類"			
"櫽"	"櫽"	"iɪn3"		"鄉音字類"			
"癭"	"癭"	"iɪn3"		"鄉音字類"			
"紖"	"紖"	"iɪn3"		"鄉音字類"			
"映"	"映"	"iɪn5"		"鄉音字類"			
"菁"	"菁"	"ʦiɪn1"		"鄉音字類"			
"箐"	"箐"	"ʦiɪn1"		"鄉音字類"			
"璡"	"璡"	"ʦiɪn1"		"鄉音字類"			
"駸"	"駸"	"ʦiɪn1"		"鄉音字類"			
"逡"	"逡"	"ʦiɪn1"		"鄉音字類"			
"皴"	"皴"	"ʦiɪn1"		"鄉音字類"			
"踆"	"踆"	"ʦiɪn1"		"鄉音字類"			
"㕙"	"㕙"	"ʦiɪn1"		"鄉音字類"			
"竣"	"竣"	"ʦiɪn1"		"鄉音字類"			
"墫"	"墫"	"ʦiɪn1"		"鄉音字類"			
"祲"	"祲"	"ʦiɪn1"		"鄉音字類"			
"綅"	"綅"	"ʦiɪn1"		"鄉音字類"			
"儘"	"儘"	"ʦiɪn3"		"鄉音字類"			
"焌"	"焌"	"ʦiɪn5"		"鄉音字類"			
"畯"	"畯"	"ʦiɪn5"		"鄉音字類"			
"駿"	"駿"	"ʦiɪn5"		"鄉音字類"			
"餕"	"餕"	"ʦiɪn5"		"鄉音字類"			
"浚"	"浚"	"ʦiɪn5"		"鄉音字類"			
"雋"	"雋"	"ʦiɪn5"		"鄉音字類"			
"儁"	"儁"	"ʦiɪn5"		"鄉音字類"			
"搢"	"搢"	"ʦiɪn5"		"鄉音字類"			
"賮"	"賮"	"ʦiɪn5"		"鄉音字類"			
"藎"	"藎"	"ʦiɪn5"		"鄉音字類"			
"燼"	"燼"	"ʦiɪn5"		"鄉音字類"			
"贐"	"贐"	"ʦiɪn5"		"鄉音字類"			
"侵"	"侵"	"ʦʰiɪn1"		"鄉音字類"			
"惺"	"惺"	"siɪn1"		"鄉音字類"			
"芯"	"芯"	"siɪn1"		"鄉音字類"			
"辛"	"辛"	"siɪn1"		"鄉音字類"			
"詵"	"詵"	"siɪn1"		"鄉音字類"			
"駪"	"駪"	"siɪn1"		"鄉音字類"			
"姺"	"姺"	"siɪn1"		"鄉音字類"			
"侁"	"侁"	"siɪn1"		"鄉音字類"			
"甡"	"甡"	"siɪn1"		"鄉音字類"			
"籸"	"籸"	"siɪn1"		"鄉音字類"			
"騂"	"騂"	"siɪn1"		"鄉音字類"			
"觪"	"觪"	"siɪn1"		"鄉音字類"			
"荀"	"荀"	"siɪn1"		"鄉音字類"			
"洵"	"洵"	"siɪn1"		"鄉音字類"			
"詢"	"詢"	"siɪn1"		"鄉音字類"			
"峋"	"峋"	"siɪn1"		"鄉音字類"			
"珣"	"珣"	"siɪn1"		"鄉音字類"			
"蜻"	"蜻"	"siɪn1"		"鄉音字類"			
"甦"	"甦"	"siɪn1"		"鄉音字類"			
"省"	"省"	"siɪn3"		"鄉音字類"			
"箵"	"箵"	"siɪn3"		"鄉音字類"			
"隼"	"隼"	"siɪn3"		"鄉音字類"			
"伈"	"伈"	"siɪn3"		"鄉音字類"			
"性"	"性"	"siɪn5"		"鄉音字類"			
"汛"	"汛"	"siɪn5"		"鄉音字類"			
"囟"	"囟"	"siɪn5"		"鄉音字類"			
"濬"	"濬"	"siɪn5"		"鄉音字類"			
"沁"	"沁"	"siɪn5"		"鄉音字類"			
"殉"	"殉"	"siɪn5"		"鄉音字類"			
"徇"	"徇"	"siɪn5"		"鄉音字類"			
"侚"	"侚"	"siɪn5"		"鄉音字類"			
"晴"	"晴"	"ziɪn2"		"鄉音字類"			
"情"	"情"	"ziɪn2"		"鄉音字類"			
"尋"	"尋"	"ziɪn2"		"鄉音字類"			
"潯"	"潯"	"ziɪn2"		"鄉音字類"			
"鬵"	"鬵"	"ziɪn2"		"鄉音字類"			
"巡"	"巡"	"ziɪn2"		"鄉音字類"			
"循"	"循"	"ziɪn2"		"鄉音字類"			
"旬"	"旬"	"ziɪn2"		"鄉音字類"			
"馴"	"馴"	"ziɪn2"		"鄉音字類"			
"紃"	"紃"	"ziɪn2"		"鄉音字類"			
"秦"	"秦"	"ziɪn2"		"鄉音字類"			
"餳"	"餳"	"ziɪn2"		"鄉音字類"			
"盡"	"盡"	"ziɪn4"		"鄉音字類"			
"静"	"静"	"ziɪn4"		"鄉音字類"			
"淨"	"淨"	"ziɪn4"		"鄉音字類"			
"凊"	"凊"	"ziɪn6"		"鄉音字類"			
"靖"	"靖"	"ziɪn6"		"鄉音字類"			
"宑"	"宑"	"ziɪn6"		"鄉音字類"			
"阱"	"阱"	"ziɪn6"		"鄉音字類"			
"鯀"	"鯀"	"kuən1"		"鄉音字類"			
"袞"	"袞"	"kuən1"		"鄉音字類"			
"滾"	"滾"	"kuən1"		"鄉音字類"			
"睔"	"睔"	"kuən1"		"鄉音字類"			
"緄"	"緄"	"kuən1"		"鄉音字類"			
"棍"	"棍"	"kuən1"		"鄉音字類"			
"坤"	"坤"	"kʰuən1"		"鄉音字類"			
"髡"	"髡"	"kʰuən1"		"鄉音字類"			
"堃"	"堃"	"kʰuən1"		"鄉音字類"			
"昆"	"昆"	"kʰuən1"		"鄉音字類"			
"崑"	"崑"	"kʰuən1"		"鄉音字類"			
"琨"	"琨"	"kʰuən1"		"鄉音字類"			
"鯤"	"鯤"	"kʰuən1"		"鄉音字類"			
"罤"	"罤"	"kʰuən1"		"鄉音字類"			
"緄"	"緄"	"kʰuən1"		"鄉音字類"			
"悃"	"悃"	"kʰuən3"		"鄉音字類"			
"閫"	"閫"	"kʰuən3"		"鄉音字類"			
"捆"	"捆"	"kʰuən3"		"鄉音字類"			
"壷"	"壷"	"kʰuən3"		"鄉音字類"			
"梱"	"梱"	"kʰuən3"		"鄉音字類"			
"緄"	"緄"	"kʰuən3"		"鄉音字類"			
"輥"	"輥"	"kʰuən3"		"鄉音字類"			
"困"	"困"	"kʰuən5"		"鄉音字類"			
"昬"	"昬"	"huən1"		"鄉音字類"			
"惽"	"惽"	"huən1"		"鄉音字類"			
"婚"	"婚"	"huən1"		"鄉音字類"			
"閽"	"閽"	"huən1"		"鄉音字類"			
"昏"	"昏"	"huən1"		"鄉音字類"			
"葷"	"葷"	"huən1"		"鄉音字類"			
"魂"	"魂"	"ɦuən2"		"鄉音字類"			
"渾"	"渾"	"ɦuən2"		"鄉音字類"			
"横"	"横"	"ɦuən2"		"鄉音字類"			
"黌"	"黌"	"ɦuən2"		"鄉音字類"			
"混"	"混"	"ɦuən4"		"鄉音字類"			
"焜"	"焜"	"ɦuən4"		"鄉音字類"			
"慁"	"慁"	"ɦuən6"		"鄉音字類"			
"溷"	"溷"	"ɦuən6"		"鄉音字類"			
"溫"	"温"	"uən1"	"姓"	"鄉音字類"			
"瘟"	"瘟"	"uən1"	"~疫"	"鄉音字類"			
"穩"	"稳"	"uən3"	"安安~~"	"鄉音字類"			
"搬"	"搬"	"pø1"		"鄉音字類"			
"般"	"般"	"pø1"		"鄉音字類"			
"半"	"半"	"pø5"		"鄉音字類"			
"潘"	"潘"	"pʰø1"		"鄉音字類"			
"拌"	"拌"	"pʰø1"		"鄉音字類"			
"頖"	"頖"	"pʰø5"		"鄉音字類"			
"泮"	"泮"	"pʰø5"		"鄉音字類"			
"牉"	"牉"	"pʰø5"		"鄉音字類"			
"判"	"判"	"pʰø5"		"鄉音字類"			
"盤"	"盤"	"bø2"		"鄉音字類"			
"磐"	"磐"	"bø2"		"鄉音字類"			
"鞶"	"鞶"	"bø2"		"鄉音字類"			
"槃"	"槃"	"bø2"		"鄉音字類"			
"磻"	"磻"	"bø2"		"鄉音字類"			
"蟠"	"蟠"	"bø2"		"鄉音字類"			
"胖"	"胖"	"bø2"		"鄉音字類"			
"柈"	"柈"	"bø2"		"鄉音字類"			
"縏"	"縏"	"bø2"		"鄉音字類"			
"璠"	"璠"	"bø2"		"鄉音字類"			
"畔"	"畔"	"bø6"		"鄉音字類"			
"叛"	"叛"	"bø6"		"鄉音字類"			
"絆"	"絆"	"bø6"		"鄉音字類"			
"滿"	"滿"	"mø4"		"鄉音字類"			
"懣"	"懣"	"mø4"		"鄉音字類"			
"墁"	"墁"	"mø6"		"鄉音字類"			
"漫"	"漫"	"mø6"		"鄉音字類"			
"幔"	"幔"	"mø6"		"鄉音字類"			
"耽"	"耽"	"tø1"		"鄉音字類"			
"眈"	"眈"	"tø1"		"鄉音字類"			
"聃"	"聃"	"tø1"		"鄉音字類"			
"端"	"端"	"tø1"		"鄉音字類"			
"短"	"短"	"tø3"		"鄉音字類"			
"紞"	"紞"	"tø3"		"鄉音字類"			
"湍"	"湍"	"tʰø1"		"鄉音字類"			
"探"	"探"	"tʰø1"		"鄉音字類"			
"貪"	"貪"	"tʰø1"		"鄉音字類"			
"撢"	"撢"	"tʰø1"		"鄉音字類"			
"彖"	"彖"	"tʰø5"		"鄉音字類"			
"覃"	"覃"	"dø2"		"鄉音字類"			
"潭"	"潭"	"dø2"		"鄉音字類"			
"罈"	"罈"	"dø2"		"鄉音字類"			
"醰"	"醰"	"dø2"		"鄉音字類"			
"曇"	"曇"	"dø2"		"鄉音字類"			
"漙"	"漙"	"dø2"		"鄉音字類"			
"摶"	"摶"	"dø2"		"鄉音字類"			
"團"	"團"	"dø2"		"鄉音字類"			
"剸"	"剸"	"dø2"		"鄉音字類"			
"慱"	"慱"	"dø2"		"鄉音字類"			
"剬"	"剬"	"dø2"		"鄉音字類"			
"萏"	"萏"	"dø4"		"鄉音字類"			
"窞"	"窞"	"dø4"		"鄉音字類"			
"斷"	"斷"	"dø6"		"鄉音字類"			
"鍛"	"鍛"	"dø6"		"鄉音字類"			
"籪"	"籪"	"dø6"		"鄉音字類"			
"段"	"段"	"dø6"		"鄉音字類"			
"緞"	"緞"	"dø6"		"鄉音字類"			
"南"	"南"	"nø2"		"鄉音字類"			
"喃"	"喃"	"nø2"		"鄉音字類"			
"楠"	"楠"	"nø2"		"鄉音字類"			
"枏"	"枏"	"nø2"		"鄉音字類"			
"男"	"男"	"nø2"		"鄉音字類"			
"諵"	"諵"	"nø2"		"鄉音字類"			
"暖"	"暖"	"nø4"		"鄉音字類"			
"鑾"	"鑾"	"lø2"		"鄉音字類"			
"巒"	"巒"	"lø2"		"鄉音字類"			
"欒"	"欒"	"lø2"		"鄉音字類"			
"鸞"	"鸞"	"lø2"		"鄉音字類"			
"攣"	"攣"	"lø2"		"鄉音字類"			
"孿"	"孿"	"lø2"		"鄉音字類"			
"嵐"	"嵐"	"lø2"		"鄉音字類"			
"婪"	"婪"	"lø2"		"鄉音字類"			
"亂"	"亂"	"lø6"		"鄉音字類"			
"孌"	"孌"	"lø6"		"鄉音字類"			
"臠"	"臠"	"lø6"		"鄉音字類"			
"孿"	"孿"	"lø6"		"鄉音字類"			
"干"	"干"	"kø1"		"鄉音字類"			
"竿"	"竿"	"kø1"		"鄉音字類"			
"玕"	"玕"	"kø1"		"鄉音字類"			
"肝"	"肝"	"kø1"		"鄉音字類"			
"奸"	"奸"	"kø1"		"鄉音字類"			
"甘"	"甘"	"kø1"		"鄉音字類"			
"泔"	"泔"	"kø1"		"鄉音字類"			
"柑"	"柑"	"kø1"		"鄉音字類"			
"疳"	"疳"	"kø1"		"鄉音字類"			
"感"	"感"	"kø3"		"鄉音字類"			
"敢"	"敢"	"kø3"		"鄉音字類"			
"趕"	"趕"	"kø3"		"鄉音字類"			
"灨"	"灨"	"kø3"		"鄉音字類"			
"淦"	"淦"	"kø5"		"鄉音字類"			
"榦"	"榦"	"kø5"		"鄉音字類"			
"幹"	"幹"	"kø5"		"鄉音字類"			
"簳"	"簳"	"kø5"		"鄉音字類"			
"戡"	"戡"	"kʰø1"		"鄉音字類"			
"堪"	"堪"	"kʰø1"		"鄉音字類"			
"龕"	"龕"	"kʰø1"		"鄉音字類"			
"刊"	"刊"	"kʰø1"		"鄉音字類"			
"看"	"看"	"kʰø1"		"鄉音字類"			
"栞"	"栞"	"kʰø1"		"鄉音字類"			
"砍"	"砍"	"kʰø3"		"鄉音字類"			
"坎"	"坎"	"kʰø3"		"鄉音字類"			
"欿"	"欿"	"kʰø3"		"鄉音字類"			
"侃"	"侃"	"kʰø3"		"鄉音字類"			
"阚"	"阚"	"kʰø5"		"鄉音字類"			
"瞰"	"瞰"	"kʰø5"		"鄉音字類"			
"勘"	"勘"	"kʰø5"		"鄉音字類"			
"酣"	"酣"	"hø1"		"鄉音字類"			
"蚶"	"蚶"	"hø1"		"鄉音字類"			
"憨"	"憨"	"hø1"		"鄉音字類"			
"罕"	"罕"	"hø3"		"鄉音字類"			
"暵"	"暵"	"hø5"		"鄉音字類"			
"漢"	"漢"	"hø5"		"鄉音字類"			
"紺"	"紺"	"hø5"		"鄉音字類"			
"函"	"函"	"ɦø2"		"鄉音字類"			
"涵"	"涵"	"ɦø2"		"鄉音字類"			
"含"	"含"	"ɦø2"		"鄉音字類"			
"韓"	"韓"	"ɦø2"		"鄉音字類"			
"寒"	"寒"	"ɦø2"		"鄉音字類"			
"邗"	"邗"	"ɦø2"		"鄉音字類"			
"崡"	"崡"	"ɦø2"		"鄉音字類"			
"旱"	"旱"	"ɦø4"		"鄉音字類"			
"菡"	"菡"	"ɦø4"		"鄉音字類"			
"撼"	"撼"	"ɦø6"		"鄉音字類"			
"汗"	"汗"	"ɦø6"		"鄉音字類"			
"扞"	"扞"	"ɦø6"		"鄉音字類"			
"捍"	"捍"	"ɦø6"		"鄉音字類"			
"悍"	"悍"	"ɦø6"		"鄉音字類"			
"閈"	"閈"	"ɦø6"		"鄉音字類"			
"旰"	"旰"	"ɦø6"		"鄉音字類"			
"頷"	"頷"	"ɦø6"		"鄉音字類"			
"翰"	"翰"	"ɦø6"		"鄉音字類"			
"瀚"	"瀚"	"ɦø6"		"鄉音字類"			
"轗"	"轗"	"ɦø6"		"鄉音字類"			
"岸"	"岸"	"ŋø6"		"鄉音字類"			
"喭"	"喭"	"ŋø6"		"鄉音字類"			
"豻"	"豻"	"ŋø6"		"鄉音字類"			
"犴"	"犴"	"ŋø6"		"鄉音字類"			
"安"	"安"	"ø1"		"鄉音字類"			
"鞍"	"鞍"	"ø1"		"鄉音字類"			
"鞌"	"鞌"	"ø1"	"~轡"	"鄉音字類"			
"諳"	"諳"	"ø1"		"鄉音字類"			
"蓭"	"蓭"	"ø1"		"鄉音字類"			
"盦"	"盦"	"ø1"		"鄉音字類"			
"暗"	"暗"	"ø5"		"鄉音字類"			
"晻"	"晻"	"ø5"		"鄉音字類"			
"按"	"按"	"ø5"		"鄉音字類"			
"案"	"案"	"ø5"		"鄉音字類"			
"鑽"	"鑽"	"ʦø1"		"鄉音字類"			
"纘"	"缵"	"ʦø5"		"鄉音字類"			
"纂"	"纂"	"ʦø5"		"鄉音字類"			
"篹"	"篹"	"ʦø5"		"鄉音字類"			
"參"	"參"	"ʦʰø1"		"鄉音字類"			
"驂"	"驂"	"ʦʰø1"		"鄉音字類"			
"餐"	"餐"	"ʦʰø1"		"鄉音字類"			
"慘"	"慘"	"ʦʰø3"		"鄉音字類"			
"憯"	"憯"	"ʦʰø3"		"鄉音字類"			
"篡"	"篡"	"ʦʰø5"		"鄉音字類"			
"竄"	"竄"	"ʦʰø5"		"鄉音字類"			
"爨"	"爨"	"ʦʰø5"		"鄉音字類"			
"酸"	"酸"	"sø1"		"鄉音字類"			
"痠"	"痠"	"sø1"		"鄉音字類"			
"狻"	"狻"	"sø1"		"鄉音字類"			
"算"	"算"	"sø5"		"鄉音字類"			
"蒜"	"蒜"	"zø2"		"鄉音字類"			
"蠶"	"蠶"	"zø2"		"鄉音字類"			
"巑"	"巑"	"zø2"		"鄉音字類"			
"欑"	"欑"	"zø2"		"鄉音字類"			
"官"	"官"	"kuø1"		"鄉音字類"			
"倌"	"倌"	"kuø1"		"鄉音字類"			
"棺"	"棺"	"kuø1"		"鄉音字類"			
"冠"	"冠"	"kuø1"		"鄉音字類"			
"觀"	"觀"	"kuø1"		"鄉音字類"			
"琯"	"琯"	"kuø3"		"鄉音字類"			
"管"	"管"	"kuø3"		"鄉音字類"			
"筦"	"筦"	"kuø3"		"鄉音字類"			
"錧"	"錧"	"kuø3"		"鄉音字類"			
"痯"	"痯"	"kuø3"		"鄉音字類"			
"館"	"館"	"kuø3"		"鄉音字類"			
"灌"	"灌"	"kuø5"		"鄉音字類"			
"瓘"	"瓘"	"kuø5"		"鄉音字類"			
"貫"	"貫"	"kuø5"		"鄉音字類"			
"盥"	"盥"	"kuø5"		"鄉音字類"			
"祼"	"祼"	"kuø5"		"鄉音字類"			
"爟"	"爟"	"kuø5"		"鄉音字類"			
"矔"	"矔"	"kuø5"		"鄉音字類"			
"寬"	"宽"	"kʰuø1"		"鄉音字類"			
"款"	"款"	"kʰuø3"		"鄉音字類"			
"窽"	"窽"	"kʰuø3"		"鄉音字類"			
"梡"	"梡"	"kʰuø3"		"鄉音字類"			
"歡"	"歡"	"huø1"		"鄉音字類"			
"讙"	"讙"	"huø1"		"鄉音字類"			
"驩"	"驩"	"huø1"		"鄉音字類"			
"貛"	"貛"	"huø1"		"鄉音字類"			
"懽"	"懽"	"huø1"		"鄉音字類"			
"奐"	"奐"	"huø5"		"鄉音字類"			
"煥"	"煥"	"huø5"		"鄉音字類"			
"渙"	"渙"	"huø5"		"鄉音字類"			
"喚"	"喚"	"huø5"		"鄉音字類"			
"丸"	"丸"	"ɦuø2"		"鄉音字類"			
"完"	"完"	"ɦuø2"		"鄉音字類"			
"汍"	"汍"	"ɦuø2"		"鄉音字類"			
"芄"	"芄"	"ɦuø2"		"鄉音字類"			
"紈"	"紈"	"ɦuø2"		"鄉音字類"			
"瓛"	"瓛"	"ɦuø2"		"鄉音字類"			
"萑"	"萑"	"ɦuø2"		"鄉音字類"			
"桓"	"桓"	"ɦuø2"		"鄉音字類"			
"亘"	"亘"	"ɦuø2"		"鄉音字類"			
"垸"	"垸"	"ɦuø2"		"鄉音字類"			
"垣"	"垣"	"ɦuø2"		"鄉音字類"			
"刓"	"刓"	"ɦuø2"		"鄉音字類"			
"捖"	"捖"	"ɦuø4"		"鄉音字類"			
"捥"	"捥"	"ɦuø4"		"鄉音字類"			
"掔"	"掔"	"ɦuø4"		"鄉音字類"			
"皖"	"皖"	"ɦuø4"		"鄉音字類"			
"玩"	"玩"	"ɦuø6"		"鄉音字類"			
"翫"	"翫"	"ɦuø6"		"鄉音字類"			
"忨"	"忨"	"ɦuø6"		"鄉音字類"			
"換"	"换"	"ɦuø6"		"鄉音字類"			
"剜"	"剜"	"uø1"		"鄉音字類"			
"宛"	"宛"	"uø3"		"鄉音字類"			
"琬"	"琬"	"uø3"		"鄉音字類"			
"婉"	"婉"	"uø3"		"鄉音字類"			
"腕"	"腕"	"uø3"	"手~"	"鄉音字類"			
"畹"	"畹"	"uø3"		"鄉音字類"			
"睕"	"睕"	"uø3"		"鄉音字類"			
"踠"	"踠"	"uø3"		"鄉音字類"			
"碗"	"碗"	"uø3"	"飯~"	"鄉音字類"			
"盌"	"盌"	"uø3"		"鄉音字類"			
"莞"	"莞"	"uø3"		"鄉音字類"			
"睆"	"睆"	"uø3"		"鄉音字類"			
"浣"	"浣"	"uø3"		"鄉音字類"			
"澣"	"澣"	"uø3"		"鄉音字類"			
"緩"	"緩"	"uø3"	"~一日"	"鄉音字類"			
"豌"	"豌"	"uø3"	"~豆"	"蘇州同音常用字彙"			
"翾"	"翾"	"ʨiø1"		"鄉音字類"			
"嬛"	"嬛"	"ʨiø1"		"鄉音字類"			
"蠉"	"蠉"	"ʨiø1"		"鄉音字類"			
"儇"	"儇"	"ʨiø1"		"鄉音字類"			
"獧"	"獧"	"ʨiø1"		"鄉音字類"			
"蠲"	"蠲"	"ʨiø1"		"鄉音字類"			
"鵑"	"鵑"	"ʨiø1"		"鄉音字類"			
"蜎"	"蜎"	"ʨiø1"		"鄉音字類"			
"涓"	"涓"	"ʨiø1"		"鄉音字類"			
"捐"	"捐"	"ʨiø1"		"鄉音字類"			
"娟"	"娟"	"ʨiø1"		"鄉音字類"			
"悁"	"悁"	"ʨiø1"		"鄉音字類"			
"卷"	"卷"	"ʨiø3"		"鄉音字類"			
"捲"	"捲"	"ʨiø3"		"鄉音字類"			
"琄"	"琄"	"ʨiø3"		"鄉音字類"			
"絹"	"絹"	"ʨiø5"		"鄉音字類"			
"眷"	"眷"	"ʨiø5"		"鄉音字類"			
"狷"	"狷"	"ʨiø5"		"鄉音字類"			
"罥"	"罥"	"ʨiø5"		"鄉音字類"			
"睊"	"睊"	"ʨiø5"		"鄉音字類"			
"犬"	"犬"	"ʨʰiø1"		"鄉音字類"			
"畎"	"畎"	"ʨʰiø1"		"鄉音字類"			
"甽"	"甽"	"ʨʰiø1"		"鄉音字類"			
"綣"	"綣"	"ʨʰiø1"		"鄉音字類"			
"勸"	"勸"	"ʨʰiø5"		"鄉音字類"			
"券"	"券"	"ʨʰiø5"		"鄉音字類"			
"卷"	"卷"	"ʥiø2"		"鄉音字類"			
"踡"	"踡"	"ʥiø2"		"鄉音字類"			
"鬈"	"鬈"	"ʥiø2"		"鄉音字類"			
"顴"	"顴"	"ʥiø2"		"鄉音字類"			
"權"	"權"	"ʥiø2"		"鄉音字類"			
"拳"	"拳"	"ʥiø2"		"鄉音字類"			
"倦"	"倦"	"ʥiø6"		"鄉音字類"			
"元"	"元"	"ȵiø2"		"鄉音字類"			
"沅"	"沅"	"ȵiø2"		"鄉音字類"			
"黿"	"黿"	"ȵiø2"		"鄉音字類"			
"原"	"原"	"ȵiø2"		"鄉音字類"			
"源"	"源"	"ȵiø2"		"鄉音字類"			
"嫄"	"嫄"	"ȵiø2"		"鄉音字類"			
"杬"	"杬"	"ȵiø2"		"鄉音字類"			
"岏"	"岏"	"ȵiø2"		"鄉音字類"			
"縓"	"縓"	"ȵiø2"		"鄉音字類"			
"泫"	"泫"	"ȵiø4"		"鄉音字類"			
"鉉"	"鉉"	"ȵiø4"		"鄉音字類"			
"阮"	"阮"	"ȵiø4"		"鄉音字類"			
"苑"	"苑"	"ȵiø4"		"鄉音字類"			
"願"	"願"	"ȵiø6"		"鄉音字類"			
"愿"	"愿"	"ȵiø6"		"鄉音字類"			
"萱"	"萱"	"ɕiø1"		"鄉音字類"			
"喧"	"喧"	"ɕiø1"		"鄉音字類"			
"諠"	"諠"	"ɕiø1"		"鄉音字類"			
"暄"	"暄"	"ɕiø1"		"鄉音字類"			
"煖"	"煖"	"ɕiø1"		"鄉音字類"			
"諼"	"諼"	"ɕiø1"		"鄉音字類"			
"蘐"	"蘐"	"ɕiø1"		"鄉音字類"			
"貆"	"貆"	"ɕiø1"		"鄉音字類"			
"塤"	"塤"	"ɕiø1"		"鄉音字類"			
"壎"	"壎"	"ɕiø1"		"鄉音字類"			
"咺"	"咺"	"ɕiø3"		"鄉音字類"			
"烜"	"烜"	"ɕiø3"		"鄉音字類"			
"員"	"員"	"ɦiø2"		"鄉音字類"			
"㘣"	"㘣"	"ɦiø2"		"鄉音字類"			
"圜"	"圜"	"ɦiø2"		"鄉音字類"			
"湲"	"湲"	"ɦiø2"		"鄉音字類"			
"袁"	"袁"	"ɦiø2"		"鄉音字類"			
"猿"	"猿"	"ɦiø2"		"鄉音字類"			
"轅"	"轅"	"ɦiø2"		"鄉音字類"			
"園"	"園"	"ɦiø2"		"鄉音字類"			
"爰"	"爰"	"ɦiø2"		"鄉音字類"			
"援"	"援"	"ɦiø2"		"鄉音字類"			
"猨"	"猨"	"ɦiø2"		"鄉音字類"			
"緣"	"緣"	"ɦiø2"		"鄉音字類"			
"橼"	"橼"	"ɦiø2"		"鄉音字類"			
"懸"	"懸"	"ɦiø2"		"鄉音字類"			
"玄"	"玄"	"ɦiø2"		"鄉音字類"			
"鍰"	"鍰"	"ɦiø2"		"鄉音字類"			
"蚿"	"蚿"	"ɦiø2"		"鄉音字類"			
"遠"	"遠"	"ɦiø4"		"鄉音字類"			
"縣"	"縣"	"ɦiø6"		"鄉音字類"			
"炫"	"炫"	"ɦiø6"		"鄉音字類"			
"眩"	"眩"	"ɦiø6"		"鄉音字類"			
"院"	"院"	"ɦiø6"		"鄉音字類"			
"媛"	"媛"	"ɦiø6"		"鄉音字類"			
"瑗"	"瑗"	"ɦiø6"		"鄉音字類"			
"淵"	"淵"	"iø1"		"鄉音字類"			
"鼘"	"鼘"	"iø1"		"鄉音字類"			
"鳶"	"鸢"	"iø1"	"紙~"	"鄉音字類"			
"駌"	"駌"	"iø1"		"鄉音字類"			
"眢"	"眢"	"iø1"		"鄉音字類"			
"鵷"	"鵷"	"iø1"		"鄉音字類"			
"冤"	"冤"	"iø1"		"鄉音字類"			
"寃"	"冤"	"iø1"	"同“冤”"	"蘇州同音常用字彙"			
"惌"	"惌"	"iø1"		"鄉音字類"			
"怨"	"怨"	"iø5"	"~恨"	"鄉音字類"			
"茲"	"茲"	"ʦɿ1"		"鄉音字類"			
"滋"	"滋"	"ʦɿ1"	"~潤"	"鄉音字類"			
"镃"	"镃"	"ʦɿ1"		"鄉音字類"			
"孜"	"孜"	"ʦɿ1"		"鄉音字類"			
"耔"	"耔"	"ʦɿ1"		"鄉音字類"			
"仔"	"仔"	"ʦɿ1"		"鄉音字類"			
"孳"	"孳"	"ʦɿ1"		"鄉音字類"			
"鼒"	"鼒"	"ʦɿ1"		"鄉音字類"			
"嵫"	"嵫"	"ʦɿ1"		"鄉音字類"			
"姿"	"姿"	"ʦɿ1"	"~質"	"鄉音字類"			
"資"	"資"	"ʦɿ1"	"~本"	"鄉音字類"			
"咨"	"咨"	"ʦɿ1"		"鄉音字類"			
"粢"	"粢"	"ʦɿ1"		"鄉音字類"			
"訿"	"訿"	"ʦɿ1"		"鄉音字類"			
"訾"	"訾"	"ʦɿ1"		"鄉音字類"			
"髭"	"髭"	"ʦɿ1"		"鄉音字類"			
"觜"	"觜"	"ʦɿ1"		"鄉音字類"			
"貲"	"貲"	"ʦɿ1"		"鄉音字類"			
"𦺱"	"𦺱"	"ʦɿ1"		"鄉音字類"			
"緇"	"緇"	"ʦɿ1"		"鄉音字類"			
"錙"	"錙"	"ʦɿ1"		"鄉音字類"			
"輜"	"輜"	"ʦɿ1"		"鄉音字類"			
"淄"	"淄"	"ʦɿ1"		"鄉音字類"			
"菑"	"菑"	"ʦɿ1"		"鄉音字類"			
"椔"	"椔"	"ʦɿ1"		"鄉音字類"			
"眵"	"眵"	"ʦɿ1"		"鄉音字類"			
"紫"	"紫"	"ʦɿ3"		"鄉音字類"			
