# 	聲韻 	聲調 	字元 	字數	#http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=B
1 	ər 	陽平42 	而, 兒		2
915 	ʨyŋ 	上聲55 	迴, 窘		2
916 	ʨyŋ 	去聲21 	縱, 聳, 糉		3
917 	ʨʰi 	陰平213 	蹊, 棲, 漆, 膝, 欺, 期, 七, 曲, 妻, 淒, 泣, 棄		12
918 	ʨʰi 	陽平42 	齊, 歧, 騎, 奇, 麒, 臍, 旗, 豈, 棋, 蠐, 緝, 祁, 戚, 乞, 祈, 其		16
919 	ʨʰi 	上聲55 	起, 啓		2
920 	ʨʰi 	去聲21 	器, 汽, 砌, 去, 戚, 氣, 契		7
921 	ʨʰi 	輕聲 	箕, 薺		2
922 	ʨʰy 	陰平213 	區, 蛆, 蛐, 軀, 嶇, 屈, 齲, 黢, 瞿, 渠, 麴, 驅, 趨		13
923 	ʨʰy 	上聲55 	娶, 取		2
924 	ʨʰy 	去聲21 	趣, 去		2
925 	ʨʰia 	陰平213 	卡, 恰, 掐		3
926 	ʨʰia 	上聲55 	卡		1
927 	ʨʰiə 	陰平213 	且, 切		2
928 	ʨʰiə 	陽平42 	茄		1
929 	ʨʰiə 	去聲21 	妾, 趄, 竊, 怯		4
930 	ʨʰyə 	陰平213 	確, 殼, 鵲, 缺, 卻, 雀		6
931 	ʨʰyə 	陽平42 	瘸		1
932 	ʨʰyə 	上聲55 	㔢		1
933 	ʨʰiɔ 	陰平213 	敲, 蹺, 繰, 鍬		4
934 	ʨʰiɔ 	陽平42 	僑, 樵, 橋, 喬, 瞧		5
935 	ʨʰiɔ 	上聲55 	巧		1
936 	ʨʰiɔ 	去聲21 	俏, 撬, 竅, 翹		4
937 	ʨʰiou 	陰平213 	秋, 丘, 鞦, 鬮		4
938 	ʨʰiou 	陽平42 	泅, 囚, 球, 求, 仇		5
939 	ʨʰiou 	上聲55 	糗		1
940 	ʨʰiã 	陰平213 	嵌, 虔, 簽, 籤, 遷, 遣, 千, 殲, 牽, 潛, 鉛, 謙		12
941 	ʨʰiã 	陽平42 	鉗, 乾, 錢, 前		4
942 	ʨʰiã 	上聲55 	淺, 遣		2
943 	ʨʰiã 	去聲21 	欠, 纖, 芡, 歉		4
944 	ʨʰyã 	陰平213 	圈		1
945 	ʨʰyã 	陽平42 	全, 蜷, 拳, 泉, 痊, 顴		6
946 	ʨʰyã 	上聲55 	權, 犬		2
947 	ʨʰyã 	去聲21 	勸, 券		2
948 	ʨʰiẽ 	陰平213 	親, 欽, 侵, 浸		4
949 	ʨʰiẽ 	陽平42 	禽, 秦, 勤, 琴, 擒, 芹		6
950 	ʨʰiẽ 	上聲55 	寢		1
951 	ʨʰiẽ 	去聲21 	吣		1
952 	ʨʰiẽ 	輕聲 	晨		1
953 	ʨʰyẽ 	陰平213 	清, 皴		2
954 	ʨʰyẽ 	陽平42 	裙, 羣		2
955 	ʨʰyẽ 	上聲55 	綑		1
956 	ʨʰiaŋ 	陰平213 	羌, 嗆, 腔, 槍		4
957 	ʨʰiaŋ 	陽平42 	牆, 強		2
958 	ʨʰiaŋ 	上聲55 	搶		1
959 	ʨʰiaŋ 	去聲21 	戧, 熗		2
960 	ʨʰiŋ 	陰平213 	青, 蜻, 清, 卿, 輕		5
961 	ʨʰiŋ 	陽平42 	擎, 晴, 情		3
962 	ʨʰiŋ 	上聲55 	請, 頃		2
963 	ʨʰiŋ 	去聲21 	磬, 親, 慶		3
964 	ʨʰyŋ 	陰平213 	頃, 瓊, 傾		3
965 	ʨʰyŋ 	陽平42 	窮, 瓊, 從		3
966 	ȵi 	陰平213 	妮		1
967 	ȵi 	陽平42 	倪, 尼, 呢, 泥		4
968 	ȵi 	上聲55 	擬, 你		2
969 	ȵi 	去聲21 	膩, 逆, 匿, 溺		4
970 	ȵi 	輕聲 	裏		1
971 	ȵy 	上聲55 	女		1
972 	ȵiə 	陰平213 	攝, 捏, 躡		3
973 	ȵiə 	去聲21 	聶, 孽, 鑷		3
974 	ȵiɔ 	上聲55 	鳥		1
975 	ȵiɔ 	去聲21 	尿		1
976 	ȵiou 	陰平213 	妞		1
977 	ȵiou 	陽平42 	牛		1
978 	ȵiou 	上聲55 	紐, 扭		2
979 	ȵiou 	去聲21 	拗, 謬		2
980 	ȵiã 	陰平213 	蔫		1
981 	ȵiã 	陽平42 	年, 鮎, 粘, 拈		4
982 	ȵiã 	上聲55 	碾, 蹍, 輦, 攆, 撚		5
983 	ȵiã 	去聲21 	碾, 念		2
984 	ȵiaŋ 	陽平42 	娘		1
985 	ȵiaŋ 	輕聲 	梁		1
986 	ȵiŋ 	陽平42 	擰, 獰, 寧, 凝		4
987 	ȵiŋ 	上聲55 	擰		1
988 	ȵiŋ 	去聲21 	擰, 寧		2
989 	ɕi 	陰平213 	犧, 錫, 兮, 嘻, 蟋, 奚, 析, 稀, 希, 隙, 熙, 夕, 襲, 昔, 惜, 吸, 悉, 息, 溪, 犀, 熄, 媳, 西		23
990 	ɕi 	陽平42 	畦, 席, 習		3
991 	ɕi 	上聲55 	嬉, 洗, 喜, 禧		4
992 	ɕi 	去聲21 	細, 繫, 戲, 系, 係, 屑, 吸		7
993 	ɕy 	陰平213 	肅, 鬚, 胥, 宿, 粟, 旭, 嘘, 恤, 墟, 虛, 戌, 畜, 須, 需		14
994 	ɕy 	陽平42 	絮, 俗, 徐		3
995 	ɕy 	上聲55 	許		1
996 	ɕy 	去聲21 	壻, 絮, 緒, 敍, 序, 續, 蓄		7
997 	ɕia 	陰平213 	瞎, 蝦		2
998 	ɕia 	陽平42 	峽, 狹, 瑕, 霞, 俠, 遐, 暇, 轄, 匣		9
999 	ɕia 	去聲21 	嚇, 夏, 下		3
1000 	ɕiə 	陰平213 	蠍, 血, 些, 楔, 屑, 歇		6
1001 	ɕiə 	陽平42 	挾, 攜, 協, 涎, 斜, 邪, 脅		7
1002 	ɕiə 	上聲55 	寫		1
1003 	ɕiə 	去聲21 	瀉, 卸, 泄, 謝		4
1004 	ɕyə 	陰平213 	靴, 雪, 削, 薛, 血		5
1005 	ɕyə 	陽平42 	穴, 踅, 學		3
1006 	ɕiɛ 	陰平213 	鞋		1
1007 	ɕiɛ 	去聲21 	蟹, 懈, 澥, 偕, 解, 械, 諧		7
1008 	ɕiɔ 	陰平213 	瀟, 宵, 消, 霄, 銷, 肖, 逍, 硝, 枵, 簫, 囂, 蕭		12
1009 	ɕiɔ 	上聲55 	曉, 小		2
1010 	ɕiɔ 	去聲21 	校, 效, 笑, 孝		4
1011 	ɕiou 	陰平213 	休, 宿, 修, 羞, 朽		5
1012 	ɕiou 	去聲21 	宿, 繡, 嗅, 鎊, 秀, 袖		6
1013 	ɕiã 	陰平213 	鮮, 仙, 先, 掀, 鍁		5
1014 	ɕiã 	陽平42 	賢, 咸, 弦, 閒, 嫌, 鹹, 銜		7
1015 	ɕiã 	上聲55 	顯, 險		2
1016 	ɕiã 	去聲21 	獻, 莧, 縣, 陷, 限, 線, 憲, 餡, 羡, 現		10
1017 	ɕiã 	輕聲 	箱		1
1018 	ɕyã 	陰平213 	軒, 喧, 宣		3
1019 	ɕyã 	陽平42 	懸, 玄, 旋		3
1020 	ɕyã 	上聲55 	癬, 選		2
1021 	ɕyã 	去聲21 	旋, 楦		2
1022 	ɕiẽ 	陰平213 	心, 新, 薪, 辛, 欣		5
1023 	ɕiẽ 	陽平42 	尋		1
1024 	ɕiẽ 	去聲21 	釁, 芯, 信		3
1025 	ɕyẽ 	陰平213 	熏, 薫, 醺		3
1026 	ɕyẽ 	陽平42 	循, 旬, 尋, 詢, 巡		5
1027 	ɕyẽ 	上聲55 	旬, 損, 榫, 筍		4
1028 	ɕyẽ 	去聲21 	迅, 遜, 訓, 訊, 勳		5
1029 	ɕiaŋ 	陰平213 	香, 湘, 廂, 鑲, 箱, 鄉, 相, 襄		8
1030 	ɕiaŋ 	陽平42 	詳, 降, 翔, 祥		4
1031 	ɕiaŋ 	上聲55 	餉, 響, 享, 想		4
1032 	ɕiaŋ 	去聲21 	巷, 象, 向, 項, 像, 橡, 相		7
1033 	ɕiŋ 	陰平213 	興, 猩, 腥, 星		4
1034 	ɕiŋ 	陽平42 	型, 形, 行, 刑		4
1035 	ɕiŋ 	上聲55 	醒, 省		2
1036 	ɕiŋ 	去聲21 	性, 姓, 杏, 幸, 興		5
1037 	ɕyŋ 	陰平213 	淞, 雄, 松, 嵩, 胸, 凶, 兄, 兇		8
1038 	ɕyŋ 	陽平42 	熊, 雄		2
1039 	ɕyŋ 	去聲21 	頌, 誦, 訟		3
1040 	kə 	陰平213 	哥, 咯, 格, 角, 個, 歌, 胳, 骼, 革, 葛, 擱, 鴿, 袼, 戈, 膈, 隔, 疙, 合, 割, 閣		20
1041 	kə 	陽平42 	隔, 硌, 胳		3
1042 	kə 	上聲55 	閣, 葛		2
1043 	kə 	去聲21 	個, 過, 硌		3
1044 	ku 	陰平213 	谷, 軲, 骨, 咕, 辜, 姑, 箍, 穀, 孤		9
1045 	ku 	陽平42 	骨		1
1046 	ku 	上聲55 	估, 股, 鼓, 古		4
1047 	ku 	去聲21 	固, 故, 顧, 估, 雇		5
1048 	ka 	陰平213 	旮, 割, 夾, 嘎, 搿		5
1049 	ka 	陽平42 	尜, 蛤, 嘎		3
1050 	ka 	上聲55 	玍		1
1051 	kua 	陰平213 	呱, 瓜, 刮		3
1052 	kua 	陽平42 	呱		1
1053 	kua 	上聲55 	剮, 寡, 呱		3
1054 	kua 	去聲21 	卦, 掛		2
1055 	kuə 	陰平213 	鍋, 郭		2
1056 	kuə 	上聲55 	果, 國, 餜, 括, 裹		5
1057 	kuə 	去聲21 	過		1
1058 	kɛ 	陰平213 	該		1
1059 	kɛ 	上聲55 	改		1
1060 	kɛ 	去聲21 	鈣, 蓋, 漑, 概, 丐		5
1061 	kuɛ 	陰平213 	乖, 蟈		2
1062 	kuɛ 	上聲55 	拐		1
1063 	kuɛ 	去聲21 	怪		1
1064 	kei 	陰平213 	嗝, 格, 隔		3
1065 	kei 	陽平42 	給		1
1066 	kuei 	陰平213 	閨, 規, 軌, 龜, 歸		5
1067 	kuei 	上聲55 	國, 劊, 鬼, 詭		4
1068 	kuei 	去聲21 	跪, 桂, 貴, 櫃, 瑰		5
1069 	kɔ 	陰平213 	高, 膏, 羔, 糕		4
1070 	kɔ 	上聲55 	膏, 搞, 鎬, 篙, 稿		5
1071 	kɔ 	去聲21 	膏, 告		2
1072 	kou 	陰平213 	鉤, 勾, 媾, 枸, 購, 構, 溝, 佝		8
1073 	kou 	上聲55 	苟, 狗		2
1074 	kou 	去聲21 	垢, 够, 購, 彀, 構		5
1075 	kã 	陰平213 	甘, 尷, 干, 竿, 肝, 乾, 柑, 泔, 桿		9
1076 	kã 	上聲55 	敢, 橄, 桿, 擀, 稈, 趕, 感		7
1077 	kã 	去聲21 	幹, 贛		2
1078 	kuã 	陰平213 	鰥, 官, 觀, 冠, 關		5
1079 	kuã 	上聲55 	館, 管		2
1080 	kuã 	去聲21 	罐, 慣, 冠, 觀, 灌, 貫		6
1081 	kẽ 	陰平213 	跟, 根		2
1082 	kẽ 	陽平42 	哏		1
1083 	kẽ 	上聲55 	艮		1
1084 	kẽ 	去聲21 	亙, 艮		2
1085 	kuẽ 	陰平213 	閨		1
1086 	kuẽ 	上聲55 	滾		1
1087 	kuẽ 	去聲21 	棍		1
1088 	kaŋ 	陰平213 	岡, 肛, 剛, 鋼, 崗, 綱, 繮, 缸		8
1089 	kaŋ 	上聲55 	崗, 港, 膙		3
1090 	kaŋ 	去聲21 	鋼, 杠		2
1091 	kuaŋ 	陰平213 	胱, 光		2
1092 	kuaŋ 	陽平42 	咣		1
1093 	kuaŋ 	上聲55 	廣		1
1094 	kuaŋ 	去聲21 	逛		1
1095 	kəŋ 	陰平213 	庚, 更, 耕		3
1096 	kəŋ 	上聲55 	梗, 粳, 耿, 頸, 羹		5
1097 	kəŋ 	去聲21 	更		1
1098 	kuŋ 	陰平213 	恭, 公, 功, 工, 宫, 攻, 供, 躬, 弓		9
1099 	kuŋ 	上聲55 	鞏, 汞, 拱		3
1100 	kuŋ 	去聲21 	供, 共, 貢		3
1101 	kʰə 	陰平213 	蝌, 頦, 渴, 瞌, 咳, 苛, 坷, 棵, 科, 克, 磕, 顆, 殼, 刻		14
1102 	kʰə 	上聲55 	可, 坷		2
1103 	kʰə 	去聲21 	騍, 課, 客, 刻, 錁		5
1104 	kʰu 	陰平213 	酷, 枯, 窟, 哭		4
1105 	kʰu 	上聲55 	苦		1
1106 	kʰu 	去聲21 	褲, 庫		2
1107 	kʰa 	陰平213 	磕, 咖, 揩, 喀		4
1108 	kʰa 	去聲21 	咯		1
1109 	kʰua 	陰平213 	刮, 誇		2
1110 	kʰua 	上聲55 	侉, 跨		2
1111 	kʰua 	去聲21 	挎, 胯, 跨		3
1112 	kʰuə 	陰平213 	闊, 括, 擴, 廓		4
1113 	kʰuə 	去聲21 	闊		1
1114 	kʰɛ 	陰平213 	揩, 開		2
1115 	kʰɛ 	上聲55 	鎧, 愷, 楷, 慨, 凱		5
1116 	kʰuɛ 	上聲55 	擓		1
1117 	kʰuɛ 	去聲21 	塊, 劊, 快, 筷, 會		5
1118 	kʰei 	陰平213 	客, 克, 刻		3
1119 	kʰei 	陽平42 	剋		1
1120 	kʰuei 	陰平213 	窺, 虧, 盔		3
1121 	kʰuei 	陽平42 	奎, 魁, 葵, 逵		4
1122 	kʰuei 	上聲55 	傀		1
1123 	kʰuei 	去聲21 	潰, 愧		2
1124 	kʰɔ 	上聲55 	烤, 考, 拷		3
1125 	kʰɔ 	去聲21 	靠, 銬, 犒		3
1126 	kʰou 	陰平213 	瞘, 摳		2
1127 	kʰou 	上聲55 	口		1
1128 	kʰou 	去聲21 	叩, 寇, 蔻, 扣		4
1129 	kʰã 	陰平213 	堪		1
1130 	kʰã 	上聲55 	刊, 勘, 龕, 砍, 坎		5
1131 	kʰã 	去聲21 	瞰, 看		2
1132 	kʰuã 	陰平213 	寬		1
1133 	kʰuã 	上聲55 	款		1
1134 	kʰẽ 	上聲55 	墾, 懇, 齦, 肯		4
1135 	kʰẽ 	去聲21 	裉		1
1136 	kʰuẽ 	陰平213 	昆, 崑, 坤		3
1137 	kʰuẽ 	上聲55 	綑		1
1138 	kʰuẽ 	去聲21 	睏, 困		2
1139 	kʰaŋ 	陰平213 	慷, 糠, 康		3
1140 	kʰaŋ 	去聲21 	抗, 扛, 炕		3
1141 	kʰuaŋ 	陰平213 	框, 匡, 筐, 誆		4
1142 	kʰuaŋ 	陽平42 	狂		1
1143 	kʰuaŋ 	去聲21 	况, 眶, 框, 曠, 礦		5
1144 	kʰəŋ 	陰平213 	坑, 吭		2
1145 	kʰəŋ 	上聲55 	傾		1
1146 	kʰuŋ 	陰平213 	空		1
1147 	kʰuŋ 	上聲55 	孔, 恐		2
1148 	kʰuŋ 	去聲21 	控, 空		2
1149 	ŋə 	陰平213 	阿, 窩, 惡		3
1150 	ŋə 	陽平42 	阿, 愕, 齶, 俄, 噩, 蛾, 訛, 鱷, 遏, 扼, 鄂, 軛, 峨, 額, 鵝		15
1151 	ŋə 	上聲55 	我		1
1152 	ŋə 	去聲21 	餓		1
1153 	ŋa 	陰平213 	腌		1
1154 	ŋɛ 	陰平213 	挨, 哀		2
1155 	ŋɛ 	陽平42 	捱, 癌, 呆		3
1156 	ŋɛ 	上聲55 	癌, 矮		2
1157 	ŋɛ 	去聲21 	愛, 礙, 艾, 隘		4
1158 	ŋɔ 	陰平213 	爊, 嗷		2
1159 	ŋɔ 	陽平42 	熬		1
1160 	ŋɔ 	上聲55 	襖		1
1161 	ŋɔ 	去聲21 	懊, 拗, 傲, 奧, 鍪		5
1162 	ŋou 	陰平213 	偶, 毆, 歐, 謳		4
1163 	ŋou 	上聲55 	藕, 嘔		2
1164 	ŋou 	去聲21 	摳, 慪		2
1165 	ŋã 	陰平213 	庵, 鵪, 安, 鞍		4
1166 	ŋã 	上聲55 	揞, 俺		2
1167 	ŋã 	去聲21 	岸, 案, 暗, 按		4
1168 	ŋẽ 	陰平213 	恩		1
1169 	ŋẽ 	去聲21 	摁		1
1170 	ŋaŋ 	陰平213 	骯		1
1171 	ŋaŋ 	陽平42 	昂		1
1172 	xə 	陰平213 	喝, 嚇, 涸, 郝, 鶴		5
1173 	xə 	陽平42 	河, 盒, 禾, 核, 合, 和, 菏, 何, 荷, 頜, 蝦, 閡		12
1174 	xə 	去聲21 	賀, 鶴, 貨, 喝		4
1175 	xu 	陰平213 	呼, 忽, 瓠, 胡, 弧, 糊		6
1176 	xu 	陽平42 	核, 忽, 鬍, 壺, 狐, 湖, 囫, 蝴, 乎, 瓠, 糊		11
1177 	xu 	上聲55 	琥, 唬, 滸, 虎, 狐		5
1178 	xu 	去聲21 	戶, 滬, 互, 護, 糊, 扈, 瓠		7
1179 	xu 	輕聲 	蝠		1
1180 	xa 	陰平213 		1
1181 	xa 	陽平42 	蝦		1
1182 	xua 	陰平213 	花, 嘩		2
1183 	xua 	陽平42 	猾, 樺, 划, 鏵, 華, 嘩, 滑		7
1184 	xua 	去聲21 	華, 話, 畫, 化, 劃		5
1185 	xuə 	陰平213 	壑, 豁, 劐, 霍, 藿, 攉		6
1186 	xuə 	陽平42 	獲, 和, 活		3
1187 	xuə 	上聲55 	火, 夥		2
1188 	xuə 	去聲21 	禍, 貨, 和, 惑		4
1189 	xɛ 	陽平42 	核, 孩		2
1190 	xɛ 	上聲55 	海		1
1191 	xɛ 	去聲21 	害, 亥		2
1192 	xuɛ 	陽平42 	獲, 踝, 槐, 淮, 懷		5
1193 	xuɛ 	上聲55 	壞		1
1194 	xuɛ 	去聲21 	壞		1
1195 	xei 	陰平213 	黑, 嚇		2
1196 	xuei 	陰平213 	灰, 恢, 徽, 輝, 揮, 詼		6
1197 	xuei 	陽平42 	或, 蛔, 茴, 回		4
1198 	xuei 	上聲55 	毀, 悔		2
1199 	xuei 	去聲21 	匯, 惠, 諱, 慧, 穢, 彙, 彗, 晦, 賄, 潰, 繪, 會		12
1200 	xɔ 	陰平213 	薅, 蒿		2
1201 	xɔ 	陽平42 	耗, 豪, 毫, 嚎		4
1202 	xɔ 	上聲55 	好		1
1203 	xɔ 	去聲21 	耗, 號, 好		3
1204 	xou 	陰平213 	齁		1
1205 	xou 	陽平42 	吼, 喉, 猴, 侯		4
1206 	xou 	去聲21 	候, 厚, 后, 後		4
1207 	xã 	陰平213 	鼾, 憨, 罕, 酣		4
1208 	xã 	陽平42 	涵, 含, 還, 函, 韓, 寒		6
1209 	xã 	上聲55 	喊		1
1210 	xã 	去聲21 	漢, 旱, 汗, 翰		4
1211 	xuã 	陰平213 	歡, 獾		2
1212 	xuã 	陽平42 	還, 桓, 環		3
1213 	xuã 	上聲55 	緩		1
1214 	xuã 	去聲21 	喚, 宦, 煥, 患, 換, 幻		6
1215 	xẽ 	陽平42 	含, 痕		2
1216 	xẽ 	上聲55 	狠, 很		2
1217 	xẽ 	去聲21 	恨		1
1218 	xuẽ 	陰平213 	婚, 葷, 昏		3
1219 	xuẽ 	陽平42 	渾, 餛, 茴, 劃, 魂		5
1220 	xuẽ 	去聲21 	混		1
1221 	xaŋ 	陰平213 	夯		1
1222 	xaŋ 	陽平42 	航, 行, 杭, 絎		4
1223 	xaŋ 	去聲21 	巷		1
1224 	xuaŋ 	陰平213 	荒, 慌		2
1225 	xuaŋ 	陽平42 	黃, 簧, 皇, 煌, 蝗		5
1226 	xuaŋ 	上聲55 	晃, 幌, 恍, 謊		4
1227 	xuaŋ 	去聲21 	晃		1
1228 	xuaŋ 	輕聲 	蟥		1
1229 	xəŋ 	陰平213 	哼, 亨		2
1230 	xəŋ 	陽平42 	恆, 衡		2
1231 	xəŋ 	去聲21 	橫		1
1232 	xuŋ 	陰平213 	轟, 烘, 揈		3
1233 	xuŋ 	陽平42 	訇, 鴻, 洪, 紅, 虹, 宏, 弘		7
1234 	xuŋ 	上聲55 	哄		1
1235 	xuŋ 	去聲21 	閧		1
