字目	读音	注释	声母	韵母	声调	重复数	潮语拼音	罗马字拼音	(声母)	(声母序)	(韵母序)	(调序)	同音字个数	ID(暂定)	音节序(暂定)	文白区别工程
賓	=D2480&E2480&F2480		p	iŋ	22	=COUNTIF(A:A,A2480)	=IF(D2480=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2480=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2480=0,"〇",D2480)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2480)	2982	=IF(B2480=B2479,P2479,P2479+1)	=IF(LEN(C2480)-LEN(SUBSTITUTE(C2480,"白",""))=1,"白",(IF(LEN(C2480)-LEN(SUBSTITUTE(C2480,"文",""))=1,"文",(IF(LEN(C2480)-LEN(SUBSTITUTE(C2480,"训",""))=1,"训","无")))))
濱	=D2481&E2481&F2481		p	iŋ	22	=COUNTIF(A:A,A2481)	=IF(D2481=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2481=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2481=0,"〇",D2481)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2481)	2983	=IF(B2481=B2480,P2480,P2480+1)	=IF(LEN(C2481)-LEN(SUBSTITUTE(C2481,"白",""))=1,"白",(IF(LEN(C2481)-LEN(SUBSTITUTE(C2481,"文",""))=1,"文",(IF(LEN(C2481)-LEN(SUBSTITUTE(C2481,"训",""))=1,"训","无")))))
殯	=D2482&E2482&F2482		p	iŋ	22	=COUNTIF(A:A,A2482)	=IF(D2482=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2482=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2482=0,"〇",D2482)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2482)	2984	=IF(B2482=B2481,P2481,P2481+1)	=IF(LEN(C2482)-LEN(SUBSTITUTE(C2482,"白",""))=1,"白",(IF(LEN(C2482)-LEN(SUBSTITUTE(C2482,"文",""))=1,"文",(IF(LEN(C2482)-LEN(SUBSTITUTE(C2482,"训",""))=1,"训","无")))))
乒	=D2483&E2483&F2483		p	iŋ	22	=COUNTIF(A:A,A2483)	=IF(D2483=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2483=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2483=0,"〇",D2483)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2483)	5651	=IF(B2483=B2482,P2482,P2482+1)	=IF(LEN(C2483)-LEN(SUBSTITUTE(C2483,"白",""))=1,"白",(IF(LEN(C2483)-LEN(SUBSTITUTE(C2483,"文",""))=1,"文",(IF(LEN(C2483)-LEN(SUBSTITUTE(C2483,"训",""))=1,"训","无")))))
品	=D2484&E2484&F2484		p	iŋ	53	=COUNTIF(A:A,A2484)	=IF(D2484=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2484=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2484=0,"〇",D2484)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2484)	2975	=IF(B2484=B2483,P2483,P2483+1)	=IF(LEN(C2484)-LEN(SUBSTITUTE(C2484,"白",""))=1,"白",(IF(LEN(C2484)-LEN(SUBSTITUTE(C2484,"文",""))=1,"文",(IF(LEN(C2484)-LEN(SUBSTITUTE(C2484,"训",""))=1,"训","无")))))
稟	=D2485&E2485&F2485		p	iŋ	53	=COUNTIF(A:A,A2485)	=IF(D2485=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2485=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2485=0,"〇",D2485)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2485)	2981	=IF(B2485=B2484,P2484,P2484+1)	=IF(LEN(C2485)-LEN(SUBSTITUTE(C2485,"白",""))=1,"白",(IF(LEN(C2485)-LEN(SUBSTITUTE(C2485,"文",""))=1,"文",(IF(LEN(C2485)-LEN(SUBSTITUTE(C2485,"训",""))=1,"训","无")))))
瓶	=D2486&E2486&F2486		pʰ	iŋ	44	=COUNTIF(A:A,A2486)	=IF(D2486=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2486=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2486=0,"〇",D2486)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2486)	2968	=IF(B2486=B2485,P2485,P2485+1)	=IF(LEN(C2486)-LEN(SUBSTITUTE(C2486,"白",""))=1,"白",(IF(LEN(C2486)-LEN(SUBSTITUTE(C2486,"文",""))=1,"文",(IF(LEN(C2486)-LEN(SUBSTITUTE(C2486,"训",""))=1,"训","无")))))
屏	=D2487&E2487&F2487		pʰ	iŋ	44	=COUNTIF(A:A,A2487)	=IF(D2487=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2487=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2487=0,"〇",D2487)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2487)	2969	=IF(B2487=B2486,P2486,P2486+1)	=IF(LEN(C2487)-LEN(SUBSTITUTE(C2487,"白",""))=1,"白",(IF(LEN(C2487)-LEN(SUBSTITUTE(C2487,"文",""))=1,"文",(IF(LEN(C2487)-LEN(SUBSTITUTE(C2487,"训",""))=1,"训","无")))))
貧	=D2488&E2488&F2488		pʰ	iŋ	44	=COUNTIF(A:A,A2488)	=IF(D2488=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2488=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2488=0,"〇",D2488)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2488)	2972	=IF(B2488=B2487,P2487,P2487+1)	=IF(LEN(C2488)-LEN(SUBSTITUTE(C2488,"白",""))=1,"白",(IF(LEN(C2488)-LEN(SUBSTITUTE(C2488,"文",""))=1,"文",(IF(LEN(C2488)-LEN(SUBSTITUTE(C2488,"训",""))=1,"训","无")))))
頻	=D2489&E2489&F2489		pʰ	iŋ	44	=COUNTIF(A:A,A2489)	=IF(D2489=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2489=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2489=0,"〇",D2489)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2489)	2973	=IF(B2489=B2488,P2488,P2488+1)	=IF(LEN(C2489)-LEN(SUBSTITUTE(C2489,"白",""))=1,"白",(IF(LEN(C2489)-LEN(SUBSTITUTE(C2489,"文",""))=1,"文",(IF(LEN(C2489)-LEN(SUBSTITUTE(C2489,"训",""))=1,"训","无")))))
蘋	=D2490&E2490&F2490		pʰ	iŋ	44	=COUNTIF(A:A,A2490)	=IF(D2490=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2490=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2490=0,"〇",D2490)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2490)	2974	=IF(B2490=B2489,P2489,P2489+1)	=IF(LEN(C2490)-LEN(SUBSTITUTE(C2490,"白",""))=1,"白",(IF(LEN(C2490)-LEN(SUBSTITUTE(C2490,"文",""))=1,"文",(IF(LEN(C2490)-LEN(SUBSTITUTE(C2490,"训",""))=1,"训","无")))))
品	=D2491&E2491&F2491	又	pʰ	iŋ	53	=COUNTIF(A:A,A2491)	=IF(D2491=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2491=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2491=0,"〇",D2491)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2491)	2970	=IF(B2491=B2490,P2490,P2490+1)	=IF(LEN(C2491)-LEN(SUBSTITUTE(C2491,"白",""))=1,"白",(IF(LEN(C2491)-LEN(SUBSTITUTE(C2491,"文",""))=1,"文",(IF(LEN(C2491)-LEN(SUBSTITUTE(C2491,"训",""))=1,"训","无")))))
遍	=D2492&E2492&F2492	白：～身，全身	pʰ	iŋ	21	=COUNTIF(A:A,A2492)	=IF(D2492=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2492=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2492=0,"〇",D2492)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2492)	2971	=IF(B2492=B2491,P2491,P2491+1)	=IF(LEN(C2492)-LEN(SUBSTITUTE(C2492,"白",""))=1,"白",(IF(LEN(C2492)-LEN(SUBSTITUTE(C2492,"文",""))=1,"文",(IF(LEN(C2492)-LEN(SUBSTITUTE(C2492,"训",""))=1,"训","无")))))
眠	=D2493&E2493&F2493		m	iŋ	44	=COUNTIF(A:A,A2493)	=IF(D2493=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2493=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2493=0,"〇",D2493)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2493)	2989	=IF(B2493=B2492,P2492,P2492+1)	=IF(LEN(C2493)-LEN(SUBSTITUTE(C2493,"白",""))=1,"白",(IF(LEN(C2493)-LEN(SUBSTITUTE(C2493,"文",""))=1,"文",(IF(LEN(C2493)-LEN(SUBSTITUTE(C2493,"训",""))=1,"训","无")))))
民	=D2494&E2494&F2494		m	iŋ	44	=COUNTIF(A:A,A2494)	=IF(D2494=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2494=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2494=0,"〇",D2494)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2494)	2990	=IF(B2494=B2493,P2493,P2493+1)	=IF(LEN(C2494)-LEN(SUBSTITUTE(C2494,"白",""))=1,"白",(IF(LEN(C2494)-LEN(SUBSTITUTE(C2494,"文",""))=1,"文",(IF(LEN(C2494)-LEN(SUBSTITUTE(C2494,"训",""))=1,"训","无")))))
面	=D2495&E2495&F2495		m	iŋ	311	=COUNTIF(A:A,A2495)	=IF(D2495=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2495=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2495=0,"〇",D2495)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2495)	2992	=IF(B2495=B2494,P2494,P2494+1)	=IF(LEN(C2495)-LEN(SUBSTITUTE(C2495,"白",""))=1,"白",(IF(LEN(C2495)-LEN(SUBSTITUTE(C2495,"文",""))=1,"文",(IF(LEN(C2495)-LEN(SUBSTITUTE(C2495,"训",""))=1,"训","无")))))
藤	=D2496&E2496&F2496		t	iŋ	44	=COUNTIF(A:A,A2496)	=IF(D2496=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2496=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2496=0,"〇",D2496)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2496)	2939	=IF(B2496=B2495,P2495,P2495+1)	=IF(LEN(C2496)-LEN(SUBSTITUTE(C2496,"白",""))=1,"白",(IF(LEN(C2496)-LEN(SUBSTITUTE(C2496,"文",""))=1,"文",(IF(LEN(C2496)-LEN(SUBSTITUTE(C2496,"训",""))=1,"训","无")))))
塵	=D2497&E2497&F2497		t	iŋ	44	=COUNTIF(A:A,A2497)	=IF(D2497=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2497=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2497=0,"〇",D2497)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2497)	2942	=IF(B2497=B2496,P2496,P2496+1)	=IF(LEN(C2497)-LEN(SUBSTITUTE(C2497,"白",""))=1,"白",(IF(LEN(C2497)-LEN(SUBSTITUTE(C2497,"文",""))=1,"文",(IF(LEN(C2497)-LEN(SUBSTITUTE(C2497,"训",""))=1,"训","无")))))
陣	=D2498&E2498&F2498		t	iŋ	311	=COUNTIF(A:A,A2498)	=IF(D2498=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2498=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2498=0,"〇",D2498)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2498)	2943	=IF(B2498=B2497,P2497,P2497+1)	=IF(LEN(C2498)-LEN(SUBSTITUTE(C2498,"白",""))=1,"白",(IF(LEN(C2498)-LEN(SUBSTITUTE(C2498,"文",""))=1,"文",(IF(LEN(C2498)-LEN(SUBSTITUTE(C2498,"训",""))=1,"训","无")))))
陳	=D2499&E2499&F2499		tʰ	iŋ	44	=COUNTIF(A:A,A2499)	=IF(D2499=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2499=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2499=0,"〇",D2499)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2499)	2937	=IF(B2499=B2498,P2498,P2498+1)	=IF(LEN(C2499)-LEN(SUBSTITUTE(C2499,"白",""))=1,"白",(IF(LEN(C2499)-LEN(SUBSTITUTE(C2499,"文",""))=1,"文",(IF(LEN(C2499)-LEN(SUBSTITUTE(C2499,"训",""))=1,"训","无")))))
□	=D2500&E2500&F2500	次	l	iŋ	22	=COUNTIF(A:A,A2500)	=IF(D2500=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2500=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D2500=0,"〇",D2500)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I2500)	2997	=IF(B2500=B2499,P2499,P2499+1)	=IF(LEN(C2500)-LEN(SUBSTITUTE(C2500,"白",""))=1,"白",(IF(LEN(C2500)-LEN(SUBSTITUTE(C2500,"文",""))=1,"文",(IF(LEN(C2500)-LEN(SUBSTITUTE(C2500,"训",""))=1,"训","无")))))
