"繁体字"	"简体字"	"新晃凳寨"	"国际音标"	"说明"	
"滸"	"浒"	"fu3"	"fu21"		
"琥"	"琥"	"fu3"	"fu21"		
"甫"	"甫"	"fu3"	"fu21"		
"脯"	"脯"	"fu3"	"fu21"		
"腐"	"腐"	"fu3"	"fu21"		
"腑"	"腑"	"fu3"	"fu21"		
"虎"	"虎"	"fu3"	"fu21"		
"輔"	"辅"	"fu3"	"fu21"		
"釜"	"釜"	"fu3"	"fu21"		
"互"	"互"	"fu5"	"fu45"		
"付"	"付"	"fu5"	"fu45"		
"傅"	"傅"	"fu5"	"fu45"		
"副"	"副"	"fu5"	"fu45"		
"咐"	"咐"	"fu5"	"fu45"		
"婦"	"妇"	"fu5"	"fu45"		
"富"	"富"	"fu5"	"fu45"		
"復"	"复"	"fu5"	"fu45"	"复原、光复"	
"戶"	"户"	"fu5"	"fu45"		
"戶"	"戶"	"fu5"	"fu45"		
"戽"	"戽"	"fu5"	"fu45"	"戽水"	
"扈"	"扈"	"fu5"	"fu45"		
"滬"	"沪"	"fu5"	"fu45"		
"父"	"父"	"fu5"	"fu45"		
"縛"	"缚"	"fu5"	"fu45"		
"腹"	"腹"	"fu5"	"fu45"		
"蝮"	"蝮"	"fu5"	"fu45"		
"覆"	"覆"	"fu5"	"fu45"	"颠覆"	
"護"	"护"	"fu5"	"fu45"		
"負"	"负"	"fu5"	"fu45"		
"賦"	"赋"	"fu5"	"fu45"		
"赴"	"赴"	"fu5"	"fu45"	"文"	
"附"	"附"	"fu5"	"fu45"		
"駙"	"驸"	"fu5"	"fu45"		
"佳"	"佳"	"ga1"	"ka13"		
"傢"	"家"	"ga1"	"ka13"	"家公"	
"加"	"加"	"ga1"	"ka13"		
"嘉"	"嘉"	"ga1"	"ka13"		
"家"	"家"	"ga1"	"ka13"	"家公"	
"珈"	"珈"	"ga1"	"ka13"		
"痂"	"痂"	"ga1"	"ka13"		
"葭"	"葭"	"ga1"	"ka13"		
"袈"	"袈"	"ga1"	"ka13"		
"賈"	"贾"	"ga1"	"ka13"		
"迦"	"迦"	"ga1"	"ka13"		
"噶"	"噶"	"ga2"	"ka11"		
"夾"	"夹"	"ga2"	"ka11"	"老"	
"戛"	"戛"	"ga2"	"ka11"		
"甲"	"甲"	"ga2"	"ka11"	"老"	
"蟹"	"蟹"	"ga2"	"ka11"	"白读"	
"假"	"假"	"ga3"	"ka21"	"真假"	
"價"	"价"	"ga5"	"ka45"		
"嫁"	"嫁"	"ga5"	"ka45"		
"尬"	"尬"	"ga5"	"ka45"		
"架"	"架"	"ga5"	"ka45"		
"疥"	"疥"	"ga5"	"ka45"		
"稼"	"稼"	"ga5"	"ka45"		
"駕"	"驾"	"ga5"	"ka45"		
"皆"	"皆"	"gai1"	"kai13"		
"街"	"街"	"gai1"	"kai13"		
"該"	"该"	"gai1"	"kai13"		
"階"	"阶"	"gai1"	"kai13"		
"改"	"改"	"gai3"	"kai21"		
"解"	"解"	"gai3"	"kai21"		
"丐"	"丐"	"gai5"	"kai45"		
"介"	"介"	"gai5"	"kai45"		
"屆"	"届"	"gai5"	"kai45"		
"戒"	"戒"	"gai5"	"kai45"	"文读"	
"械"	"械"	"gai5"	"kai45"		
"界"	"界"	"gai5"	"kai45"		
"芥"	"芥"	"gai5"	"kai45"		
"蓋"	"盖"	"gai5"	"kai45"		
"誡"	"诫"	"gai5"	"kai45"		
"鈣"	"钙"	"gai5"	"kai45"		
"乾"	"干"	"gan1"	"kan13"		
"乾"	"乾"	"gan1"	"kan13"		
"奸"	"奸"	"gan1"	"kan13"		
"尷"	"尴"	"gan1"	"kan13"		
"干"	"干"	"gan1"	"kan13"		
"柑"	"柑"	"gan1"	"kan13"		
"泔"	"泔"	"gan1"	"kan13"		
"甘"	"甘"	"gan1"	"kan13"		
"竿"	"竿"	"gan1"	"kan13"		
"肝"	"肝"	"gan1"	"kan13"		
"肩"	"肩"	"gan1"	"kan13"	"老"	
"間"	"间"	"gan1"	"kan13"		
"感"	"感"	"gan3"	"kan21"		
"擀"	"擀"	"gan3"	"kan21"		
"敢"	"敢"	"gan3"	"kan21"		
"桿"	"杆"	"gan3"	"kan21"		
"橄"	"橄"	"gan3"	"kan21"		
"減"	"减"	"gan3"	"kan21"	"老"	
"稈"	"秆"	"gan3"	"kan21"		
"趕"	"赶"	"gan3"	"kan21"		
"䍐"	"䍐"	"gan4"	"kan45"	"网"	
"幹"	"干"	"gan5"	"kan45"		
"淦"	"淦"	"gan5"	"kan45"		
"贛"	"赣"	"gan5"	"kan45"		
"間"	"间"	"gan5"	"kan45"		
"剛"	"刚"	"gang1"	"kaŋ13"		
"岡"	"冈"	"gang1"	"kaŋ13"		
"崗"	"岗"	"gang1"	"kaŋ13"		
"扛"	"扛"	"gang1"	"kaŋ13"		
"江"	"江"	"gang1"	"kaŋ13"		
"綱"	"纲"	"gang1"	"kaŋ13"		
"缸"	"缸"	"gang1"	"kaŋ13"		
"罡"	"罡"	"gang1"	"kaŋ13"		
"肛"	"肛"	"gang1"	"kaŋ13"		
"豇"	"豇"	"gang1"	"kaŋ13"		
"鋼"	"钢"	"gang1"	"kaŋ13"		
"港"	"港"	"gang3"	"kaŋ21"		
"講"	"讲"	"gang3"	"kaŋ21"		
"槓"	"杠"	"gang5"	"kaŋ45"		
"皋"	"皋"	"gao1"	"kau13"		
"睾"	"睾"	"gao1"	"kau13"		
"篙"	"篙"	"gao1"	"kau13"		
"糕"	"糕"	"gao1"	"kau13"		
"羔"	"羔"	"gao1"	"kau13"		
"膏"	"膏"	"gao1"	"kau13"		
"高"	"高"	"gao1"	"kau13"		
"攪"	"搅"	"gao2"	"kau11"	"白"	
"搞"	"搞"	"gao3"	"kau21"		
"稿"	"稿"	"gao3"	"kau21"		
"告"	"告"	"gao5"	"kau45"		
"校"	"校"	"gao5"	"kau45"	"白。实践"	
"窖"	"窖"	"gao5"	"kau45"		
"覺"	"觉"	"gao5"	"kau45"	"白"	
"嗝"	"嗝"	"ge2"	"ke11"		
"格"	"格"	"ge2"	"ke11"		
"疙"	"疙"	"ge2"	"ke11"	"同“结”"	
"結"	"结"	"ge2"	"ke11"	"白读"	
"隔"	"隔"	"ge2"	"ke11"		
"革"	"革"	"ge2"	"ke11"		
"骼"	"骼"	"ge2"	"ke11"		
"鬲"	"鬲"	"ge2"	"ke11"		
"給"	"给"	"ge3"	"ke21"		
"割"	"割"	"ge5"	"ke4"	"白读"	
"戒"	"戒"	"ge5"	"ke4"	"白读"	
"鋸"	"锯"	"ge5"	"ke4"	"白"	
"庚"	"庚"	"gen1"	"kən13"		
"更"	"更"	"gen1"	"kən13"		
"根"	"根"	"gen1"	"kən13"		
"羹"	"羹"	"gen1"	"kən13"		
"耕"	"耕"	"gen1"	"kən13"		
"跟"	"跟"	"gen1"	"kən13"		
"哽"	"哽"	"gen3"	"kən21"		
"埂"	"埂"	"gen3"	"kən21"		
"整"	"整"	"gen3"	"kən21"	"白读"	
"梗"	"梗"	"gen3"	"kən21"	"文读"	
"耿"	"耿"	"gen3"	"kən21"		
"亙"	"亘"	"gen5"	"kən45"		
"更"	"更"	"gen5"	"kən45"		
"艮"	"艮"	"gen5"	"kən45"		
"挼"	"挼"	"gha2"	"ɣa11"	"揉"	
"冉"	"冉"	"ghan3"	"ɣan21"	"白新"	
"染"	"染"	"ghan3"	"ɣan21"	"白新"	
"瓤"	"瓤"	"ghang2"	"ɣaŋ11"		
"嚷"	"嚷"	"ghang3"	"ɣaŋ21"		
"壤"	"壤"	"ghang3"	"ɣaŋ21"		
"攘"	"攘"	"ghang3"	"ɣaŋ21"		
"讓"	"让"	"ghang5"	"ɣaŋ45"		
"饒"	"饶"	"ghao2"	"ɣau11"	"白"	
"擾"	"扰"	"ghao3"	"ɣau21"	"白"	
"繞"	"绕"	"ghao3"	"ɣau21"	"白"	
"繞"	"绕"	"ghao5"	"ɣau45"	"白"	
"兒"	"儿"	"ghe2"	"ɣə21"		
"日"	"日"	"ghe2"	"ɣə21"	"白"	
"熱"	"热"	"ghe2"	"ɣə21"		
"而"	"而"	"ghe2"	"ɣə21"		
"遏"	"遏"	"ghe2"	"ɣe11"		
"洱"	"洱"	"ghe3"	"ɣə21"		
"爾"	"尔"	"ghe3"	"ɣə21"		
"耳"	"耳"	"ghe3"	"ɣə21"		
"餌"	"饵"	"ghe3"	"ɣə21"		
"二"	"二"	"ghe5"	"ɣə45"		
"廿"	"廿"	"ghe5"	"ɣə45"		
"貳"	"贰"	"ghe5"	"ɣə45"		
"而"	"而"	"ghee2"	"ɣe11"		
"惹"	"惹"	"ghee3"	"ɣe21"		
"然"	"然"	"gheen2"	"ɣen11"	"白老"	
"燃"	"燃"	"gheen2"	"ɣen11"	"白老"	
"冉"	"冉"	"gheen3"	"ɣen21"	"白老"	
"染"	"染"	"gheen3"	"ɣen21"	"白老"	
"仍"	"仍"	"ghen1"	"ɣən13"	"白"	
"扔"	"扔"	"ghen1"	"ɣən13"	"白"	
"人"	"人"	"ghen2"	"ɣən11"	"白"	
"仁"	"仁"	"ghen2"	"ɣən11"	"白"	
"任"	"任"	"ghen2"	"ɣən11"	"白"	
"壬"	"壬"	"ghen2"	"ɣən11"	"白"	
"忍"	"忍"	"ghen3"	"ɣən21"	"白"	
"荏"	"荏"	"ghen3"	"ɣən21"	"白"	
"任"	"任"	"ghen5"	"ɣən45"		
"刃"	"刃"	"ghen5"	"ɣən45"	"白"	
"妊"	"妊"	"ghen5"	"ɣən45"		
"潤"	"润"	"ghen5"	"ɣən45"	"白"	
"硬"	"硬"	"ghen5"	"ɣən45"	"硬要"	
"紉"	"纫"	"ghen5"	"ɣən45"	"白"	
"認"	"认"	"ghen5"	"ɣən45"	"白"	
"閏"	"闰"	"ghen5"	"ɣən45"	"白"	
"韌"	"韧"	"ghen5"	"ɣən45"	"白"	
"飪"	"饪"	"ghen5"	"ɣən45"	"白"	
"屙"	"屙"	"gho1"	"ɣo13"		
"撾"	"挝"	"gho1"	"ɣo13"		
"渦"	"涡"	"gho1"	"ɣo13"		
"窩"	"窝"	"gho1"	"ɣo13"		
"阿"	"阿"	"gho1"	"ɣo13"		
"屙"	"屙"	"gho1"	"ɣo13"	"拉"	
"俄"	"俄"	"gho2"	"ɣo11"		
"厄"	"厄"	"gho2"	"ɣo11"		
"噁"	"恶"	"gho2"	"ɣo11"		
"噩"	"噩"	"gho2"	"ɣo11"		
"堊"	"垩"	"gho2"	"ɣo11"		
"娥"	"娥"	"gho2"	"ɣo11"		
"峨"	"峨"	"gho2"	"ɣo11"		
"惡"	"恶"	"gho2"	"ɣo11"		
"愕"	"愕"	"gho2"	"ɣo11"		
"扼"	"扼"	"gho2"	"ɣo11"		
"握"	"握"	"gho2"	"ɣo11"		
"禾"	"禾"	"gho2"	"ɣo11"		
"芒"	"芒"	"gho2"	"ɣo11"		
"若"	"若"	"gho2"	"ɣo11"	"若干"	
"蛾"	"蛾"	"gho2"	"ɣo11"		
"訛"	"讹"	"gho2"	"ɣo11"		
"鵝"	"鹅"	"gho2"	"ɣo11"		
"哦"	"哦"	"gho3"	"ɣo21"		
"惡"	"恶"	"gho5"	"ɣo45"		
"斡"	"斡"	"gho5"	"ɣo45"		
"沃"	"沃"	"gho5"	"ɣo45"		
"臥"	"卧"	"gho5"	"ɣo45"		
"鄂"	"鄂"	"gho5"	"ɣo45"		
"顎"	"颚"	"gho5"	"ɣo45"		
"餓"	"饿"	"gho5"	"ɣo45"		
"鱷"	"鳄"	"gho5"	"ɣo45"		
"齶"	"腭"	"gho5"	"ɣo45"		
"嗡"	"嗡"	"ghong1"	"ɣoŋ13"		
"甕"	"瓮"	"ghong1"	"ɣoŋ13"		
"翁"	"翁"	"ghong1"	"ɣoŋ13"		
"容"	"容"	"ghong2"	"ɣoŋ11"		
"戎"	"戎"	"ghong2"	"ɣoŋ11"		
"溶"	"溶"	"ghong2"	"ɣoŋ11"		
"熔"	"熔"	"ghong2"	"ɣoŋ11"		
"絨"	"绒"	"ghong2"	"ɣoŋ11"		
"茸"	"茸"	"ghong2"	"ɣoŋ11"	"白"	
"蓉"	"蓉"	"ghong2"	"ɣoŋ11"		
"融"	"融"	"ghong2"	"ɣoŋ11"		
"鎔"	"镕"	"ghong2"	"ɣoŋ11"		
"冗"	"冗"	"ghong3"	"ɣoŋ21"	"白"	
"儒"	"儒"	"ghou2"	"ɣəu11"	"白"	
"入"	"入"	"ghou2"	"ɣəu11"		
"如"	"如"	"ghou2"	"ɣəu11"	"白"	
"孺"	"孺"	"ghou2"	"ɣəu11"	"白"	
"揉"	"揉"	"ghou2"	"ɣəu11"	"白"	
"柔"	"柔"	"ghou2"	"ɣəu11"	"白"	
"肉"	"肉"	"ghou2"	"ɣəu11"		
"茹"	"茹"	"ghou2"	"ɣəu11"		
"蠕"	"蠕"	"ghou2"	"ɣəu11"	"白"	
"蹂"	"蹂"	"ghou2"	"ɣəu11"	"白"	
"乳"	"乳"	"ghou3"	"ɣəu21"	"白"	
"汝"	"汝"	"ghou3"	"ɣəu21"	"白"	
"褥"	"褥"	"ghou3"	"ɣəu21"	"白"	
"辱"	"辱"	"ghou3"	"ɣəu21"	"白"	
"廓"	"廓"	"go1"	"ko13"		
"戈"	"戈"	"go1"	"ko13"		
"歌"	"歌"	"go1"	"ko13"		
"郭"	"郭"	"go1"	"ko13"		
"鍋"	"锅"	"go1"	"ko13"		
"割"	"割"	"go2"	"ko11"	"文读"	
"各"	"各"	"go2"	"ko11"		
"咯"	"咯"	"go2"	"ko11"		
"幗"	"帼"	"go2"	"ko11"		
"摑"	"掴"	"go2"	"ko11"		
"聒"	"聒"	"go2"	"ko11"		
"胳"	"胳"	"go2"	"ko11"		
"葛"	"葛"	"go2"	"ko11"		
"蟈"	"蝈"	"go2"	"ko11"		
"覺"	"觉"	"go2"	"ko11"		
"角"	"角"	"go2"	"ko11"		
"閣"	"阁"	"go2"	"ko11"		
"鴿"	"鸽"	"go2"	"ko11"		
"哥"	"哥"	"go3"	"ko21"		
"果"	"果"	"go3"	"ko21"		
"裹"	"裹"	"go3"	"ko21"		
"個"	"个"	"go5"	"ko45"		
"箇"	"个"	"go5"	"ko45"		
"過"	"过"	"go5"	"ko45"		
"供"	"供"	"gong1"	"koŋ13"		
"公"	"公"	"gong1"	"koŋ13"		
"功"	"功"	"gong1"	"koŋ13"		
"宮"	"宫"	"gong1"	"koŋ13"		
"工"	"工"	"gong1"	"koŋ13"		
"弓"	"弓"	"gong1"	"koŋ13"		
"恭"	"恭"	"gong1"	"koŋ13"		
"攻"	"攻"	"gong1"	"koŋ13"		
"蚣"	"蚣"	"gong1"	"koŋ13"		
"躬"	"躬"	"gong1"	"koŋ13"	"文读"	
"龔"	"龚"	"gong1"	"koŋ13"		
"拱"	"拱"	"gong3"	"koŋ21"		
"汞"	"汞"	"gong3"	"koŋ21"		
"鞏"	"巩"	"gong3"	"koŋ21"		
"供"	"供"	"gong5"	"koŋ45"		
"共"	"共"	"gong5"	"koŋ45"		
"貢"	"贡"	"gong5"	"koŋ45"		
"佝"	"佝"	"gou1"	"kəu13"		
"勾"	"勾"	"gou1"	"kəu13"		
"溝"	"沟"	"gou1"	"kəu13"		
"鉤"	"钩"	"gou1"	"kəu13"		
"枸"	"枸"	"gou3"	"kəu21"		
"狗"	"狗"	"gou3"	"kəu21"		
"苟"	"苟"	"gou3"	"kəu21"		
"購"	"购"	"gou3"	"kəu21"		
"垢"	"垢"	"gou5"	"kəu45"		
"夠"	"够"	"gou5"	"kəu45"		
"構"	"构"	"gou5"	"kəu45"		
"詬"	"诟"	"gou5"	"kəu45"		
"倨"	"倨"	"gu1"	"ku13"	"白，同""跍"""	
"呱"	"呱"	"gu1"	"ku13"		
"咕"	"咕"	"gu1"	"ku13"		
"姑"	"姑"	"gu1"	"ku13"		
"孤"	"孤"	"gu1"	"ku13"		
"沽"	"沽"	"gu1"	"ku13"		
"箍"	"箍"	"gu1"	"ku13"		
"菇"	"菇"	"gu1"	"ku13"		
"蛄"	"蛄"	"gu1"	"ku13"		
"辜"	"辜"	"gu1"	"ku13"		
"鴣"	"鸪"	"gu1"	"ku13"		
"穀"	"谷"	"gu2"	"ku11"		
"谷"	"谷"	"gu2"	"ku11"		
"骨"	"骨"	"gu2"	"ku11"		
"估"	"估"	"gu3"	"ku21"		
"古"	"古"	"gu3"	"ku21"		
"股"	"股"	"gu3"	"ku21"		
"臌"	"臌"	"gu3"	"ku21"		
"蠱"	"蛊"	"gu3"	"ku21"		
"賈"	"贾"	"gu3"	"ku21"		
"鼓"	"鼓"	"gu3"	"ku21"		
"䀦"	"䀦"	"gu3"	"ku21"	"轻视"	
"僱"	"雇"	"gu5"	"ku45"		
"固"	"固"	"gu5"	"ku45"		
"故"	"故"	"gu5"	"ku45"		
"雇"	"雇"	"gu5"	"ku45"		
"顧"	"顾"	"gu5"	"ku45"		
"瓜"	"瓜"	"gua1"	"kua13"		
"刮"	"刮"	"gua2"	"kua11"		
"括"	"括"	"gua2"	"kua11"		
"剮"	"剐"	"gua3"	"kua21"		
"寡"	"寡"	"gua3"	"kua21"		
"卦"	"卦"	"gua5"	"kua45"		
"掛"	"挂"	"gua5"	"kua45"		
"褂"	"褂"	"gua5"	"kua45"		
"乖"	"乖"	"guai1"	"kuai13"		
"拐"	"拐"	"guai3"	"kuai21"		
"枴"	"拐"	"guai3"	"kuai21"		
"柺"	"拐"	"guai3"	"kuai21"		
"怪"	"怪"	"guai5"	"kuai45"		
"倌"	"倌"	"guan1"	"kuan13"		
"冠"	"冠"	"guan1"	"kuan13"		
"官"	"官"	"guan1"	"kuan13"		
"棺"	"棺"	"guan1"	"kuan13"		
"觀"	"观"	"guan1"	"kuan13"		
"關"	"关"	"guan1"	"kuan13"		
"管"	"管"	"guan3"	"kuan21"		
"館"	"馆"	"guan3"	"kuan21"		
"冠"	"冠"	"guan5"	"kuan45"		
"慣"	"惯"	"guan5"	"kuan45"		
"摜"	"掼"	"guan5"	"kuan45"		
"灌"	"灌"	"guan5"	"kuan45"		
"盥"	"盥"	"guan5"	"kuan45"		
"罐"	"罐"	"guan5"	"kuan45"		
"觀"	"观"	"guan5"	"kuan45"		
"貫"	"贯"	"guan5"	"kuan45"		
"光"	"光"	"guang1"	"kuaŋ13"		
"咣"	"咣"	"guang1"	"kuaŋ13"		
"胱"	"胱"	"guang1"	"kuaŋ13"		
"廣"	"广"	"guang3"	"kuaŋ21"		
"梗"	"梗"	"guang3"	"kuaŋ21"	"白读，甘蔗"	
"光"	"光"	"guang5"	"kuaŋ45"	"光滑"	
"誑"	"诳"	"guang5"	"kuaŋ45"		
"逛"	"逛"	"guang5"	"kuaŋ45"		
"國"	"国"	"gue2"	"kue11"		
"跪"	"跪"	"gue5"	"kue45"	"白"	
"圭"	"圭"	"gui1"	"kuəi13"		
"歸"	"归"	"gui1"	"kuəi13"		
"瑰"	"瑰"	"gui1"	"kuəi13"		
"皈"	"皈"	"gui1"	"kuəi13"		
"規"	"规"	"gui1"	"kuəi13"		
"閨"	"闺"	"gui1"	"kuəi13"		
"鮭"	"鲑"	"gui1"	"kuəi13"		
"龜"	"龟"	"gui1"	"kuəi13"		
"晷"	"晷"	"gui3"	"kuəi21"		
"癸"	"癸"	"gui3"	"kuəi21"		
"詭"	"诡"	"gui3"	"kuəi21"		
"軌"	"轨"	"gui3"	"kuəi21"		
"鬼"	"鬼"	"gui3"	"kuəi21"		
"愧"	"愧"	"gui5"	"kuəi45"		
"桂"	"桂"	"gui5"	"kuəi45"		
"貴"	"贵"	"gui5"	"kuəi45"		
"跪"	"跪"	"gui5"	"kuəi45"	"文"	
"鱖"	"鳜"	"gui5"	"kuəi45"		
"滾"	"滚"	"gun3"	"kuən21"		
"滾"	"磙"	"gun3"	"kuən21"		
"緄"	"绲"	"gun3"	"kuən21"		
"輥"	"辊"	"gun3"	"kuən21"		
"棍"	"棍"	"gun5"	"kuən45"		
"哈"	"哈"	"ha1"	"ha13"		
"傻"	"傻"	"ha3"	"ha21"	"白读"	
"下"	"下"	"ha5"	"ha45"	"白，等一下"	
"孩"	"孩"	"hai2"	"hai11"		
"鞋"	"鞋"	"hai2"	"hai11"		
"骸"	"骸"	"hai2"	"hai11"		
"嗨"	"嗨"	"hai3"	"hai21"		
"海"	"海"	"hai3"	"hai21"		
"亥"	"亥"	"hai5"	"hai45"		
"害"	"害"	"hai5"	"hai45"		
"氦"	"氦"	"hai5"	"hai45"		
"駭"	"骇"	"hai5"	"hai45"		
"憨"	"憨"	"han1"	"han13"		
"罕"	"罕"	"han1"	"han13"		
"蚶"	"蚶"	"han1"	"han13"		
"酣"	"酣"	"han1"	"han13"		
"鼾"	"鼾"	"han1"	"han13"		
"函"	"函"	"han2"	"han11"		
"函"	"函"	"han2"	"han11"		
"含"	"含"	"han2"	"han11"		
"咸"	"咸"	"han2"	"han11"	"老"	
"啣"	"衔"	"han2"	"han11"	"老"	
"寒"	"寒"	"han2"	"han11"		
"汗"	"汗"	"han2"	"han11"	"汗毛"	
"涵"	"涵"	"han2"	"han11"		
"邯"	"邯"	"han2"	"han11"		
"銜"	"衔"	"han2"	"han11"	"老"	
"韓"	"韩"	"han2"	"han11"		
"鹹"	"咸"	"han2"	"han11"	"老"	
"喊"	"喊"	"han3"	"han21"		
"悍"	"悍"	"han5"	"han45"		
"憾"	"憾"	"han5"	"han45"		
"捍"	"捍"	"han5"	"han45"		
"撼"	"撼"	"han5"	"han45"		
"旱"	"旱"	"han5"	"han45"		
"汗"	"汗"	"han5"	"han45"	"汗水"	
"漢"	"汉"	"han5"	"han45"		
"瀚"	"瀚"	"han5"	"han45"		
"焊"	"焊"	"han5"	"han45"		
"翰"	"翰"	"han5"	"han45"		
"釬"	"焊"	"han5"	"han45"		
"銲"	"焊"	"han5"	"han45"		
"限"	"限"	"han5"	"han45"		
"陷"	"陷"	"han5"	"han45"	"白"	
"頷"	"颔"	"han5"	"han45"		
"夯"	"夯"	"hang1"	"haŋ13"		
"杭"	"杭"	"hang2"	"haŋ11"		
"航"	"航"	"hang2"	"haŋ11"		
"行"	"行"	"hang2"	"haŋ11"		
"巷"	"巷"	"hang5"	"haŋ45"		
"項"	"项"	"hang5"	"haŋ45"		
"蒿"	"蒿"	"hao1"	"hau13"		
"薅"	"薅"	"hao1"	"hau13"	"除草"	
"嚎"	"嚎"	"hao2"	"hau11"		
"壕"	"壕"	"hao2"	"hau11"		
"毫"	"毫"	"hao2"	"hau11"		
"豪"	"豪"	"hao2"	"hau11"		
"好"	"好"	"hao3"	"hau21"		
"好"	"好"	"hao5"	"hau45"		
"昊"	"昊"	"hao5"	"hau45"		
"浩"	"浩"	"hao5"	"hau45"		
"灝"	"灏"	"hao5"	"hau45"		
"皓"	"皓"	"hao5"	"hau45"		
"耗"	"耗"	"hao5"	"hau45"		
"號"	"号"	"hao5"	"hau45"		
"鎬"	"镐"	"hao5"	"hau45"		
"顥"	"颢"	"hao5"	"hau45"		
"劾"	"劾"	"he2"	"he11"		
"嘿"	"嘿"	"he2"	"he11"		
"嚇"	"吓"	"he2"	"he11"		
"嚇"	"吓"	"he2"	"he11"		
"核"	"核"	"he2"	"he11"		
"褐"	"褐"	"he2"	"he11"		
"覈"	"核"	"he2"	"he11"		
"閡"	"阂"	"he2"	"he11"		
"閡"	"阂"	"he2"	"he11"		
"黑"	"黑"	"he2"	"he11"		
"亨"	"亨"	"hen1"	"hən13"		
"哼"	"哼"	"hen1"	"hən13"		
"恆"	"恒"	"hen2"	"hən11"		
"桁"	"桁"	"hen2"	"hən11"		
"橫"	"横"	"hen2"	"hən11"	"文读"	
"痕"	"痕"	"hen2"	"hən11"		
"衡"	"衡"	"hen2"	"hən11"		
"很"	"很"	"hen3"	"hən21"		
"狠"	"狠"	"hen3"	"hən21"		
"恆"	"恒"	"hen5"	"hən45"	"恒心"	
"恨"	"恨"	"hen5"	"hən45"		
"橫"	"横"	"hen5"	"hən45"		
"呵"	"呵"	"ho1"	"ho13"		
"呵"	"嗬"	"ho1"	"ho13"		
"喝"	"喝"	"ho1"	"ho13"		
"嗍"	"嗍"	"ho1"	"ho13"	"吸允"	
"訶"	"诃"	"ho1"	"ho13"		
"欱"	"欱"	"ho1"	"ho13"	"吸"	
"何"	"何"	"ho2"	"ho11"		
"佛"	"佛"	"ho2"	"ho11"		
"合"	"合"	"ho2"	"ho11"		
"和"	"和"	"ho2"	"ho11"		
"河"	"河"	"ho2"	"ho11"		
"活"	"活"	"ho2"	"ho11"		
"涸"	"涸"	"ho2"	"ho11"		
"盒"	"盒"	"ho2"	"ho11"		
"苛"	"苛"	"ho2"	"ho11"		
"荷"	"荷"	"ho2"	"ho11"		
"菏"	"菏"	"ho2"	"ho11"		
"豁"	"豁"	"ho2"	"ho11"		
"貉"	"貉"	"ho2"	"ho11"		
"閤"	"合"	"ho2"	"ho11"		
"闔"	"阖"	"ho2"	"ho11"		
"伙"	"伙"	"ho3"	"ho21"		
"夥"	"伙"	"ho3"	"ho21"		
"火"	"火"	"ho3"	"ho21"		
"和"	"和"	"ho5"	"ho45"		
"壑"	"壑"	"ho5"	"ho45"		
"惑"	"惑"	"ho5"	"ho45"		
"或"	"或"	"ho5"	"ho45"	"文读"	
"獲"	"获"	"ho5"	"ho45"		
"禍"	"祸"	"ho5"	"ho45"		
"穫"	"获"	"ho5"	"ho45"		
"貨"	"货"	"ho5"	"ho45"		
"賀"	"贺"	"ho5"	"ho45"		
"赫"	"赫"	"ho5"	"ho45"		
"郝"	"郝"	"ho5"	"ho45"		
"鑊"	"镬"	"ho5"	"ho45"		
"霍"	"霍"	"ho5"	"ho45"		
"鶴"	"鹤"	"ho5"	"ho45"		
"封"	"封"	"hong1"	"hoŋ13"		
"峰"	"峰"	"hong1"	"hoŋ13"		
"楓"	"枫"	"hong1"	"hoŋ13"		
"烘"	"烘"	"hong1"	"hoŋ13"		
"烽"	"烽"	"hong1"	"hoŋ13"		
"瘋"	"疯"	"hong1"	"hoŋ13"		
"紅"	"红"	"hong1"	"hoŋ13"		
"蜂"	"蜂"	"hong1"	"hoŋ13"		
"豐"	"丰"	"hong1"	"hoŋ13"		
"轟"	"轰"	"hong1"	"hoŋ13"		
"鋒"	"锋"	"hong1"	"hoŋ13"		
"風"	"风"	"hong1"	"hoŋ13"		
"齆"	"齆"	"hong1"	"hoŋ13"		
"宏"	"宏"	"hong2"	"hoŋ11"		
"弘"	"弘"	"hong2"	"hoŋ11"		
"泓"	"泓"	"hong2"	"hoŋ11"		
"洪"	"洪"	"hong2"	"hoŋ11"		
"縫"	"缝"	"hong2"	"hoŋ11"		
"蕻"	"蕻"	"hong2"	"hoŋ11"		
"虹"	"虹"	"hong2"	"hoŋ11"		
"逢"	"逢"	"hong2"	"hoŋ11"		
"馮"	"冯"	"hong2"	"hoŋ11"		
"鴻"	"鸿"	"hong2"	"hoŋ11"		
"哄"	"哄"	"hong3"	"hoŋ21"		
"諷"	"讽"	"hong3"	"hoŋ21"		
"鬨"	"哄"	"hong3"	"hoŋ21"		
"俸"	"俸"	"hong5"	"hoŋ45"		
"凰"	"凰"	"hong5"	"hoŋ45"		
"奉"	"奉"	"hong5"	"hoŋ45"		
"縫"	"缝"	"hong5"	"hoŋ45"		
"鳳"	"凤"	"hong5"	"hoŋ45"		
"侯"	"侯"	"hou2"	"həu11"		
"喉"	"喉"	"hou2"	"həu11"		
"猴"	"猴"	"hou2"	"həu11"		
"吼"	"吼"	"hou3"	"həu21"		
"候"	"候"	"hou5"	"həu45"		
"厚"	"厚"	"hou5"	"həu45"		
"后"	"后"	"hou5"	"həu45"		
"後"	"后"	"hou5"	"həu45"		
"逅"	"逅"	"hou5"	"həu45"		
"几"	"几"	"ji1"	"tɕi13"		
"唧"	"唧"	"ji1"	"tɕi13"		
