	注释：-白读，=文读
∅	[55]欧瓯{建～}殴[21]狗-讴叫喉{～中：～结}[22]□{亲属称谓的词尾，公～：祖父}
#ɔ	
p	[55]波菠{～薐：菠菜}玻{～璃}□{蚊子咬的包}□{□pi22～：蜻蜓}□{（飞的东西）停下来}[42]薄{～厚}[21]婆={老太～}[22]婆-{乞食～}□{～～蛇：眼镜蛇}[24]薄{～荷}勃博{换}泊{梁山～；停～}剥{～削}驳{反～}帛
pʰ	[55]坡[24]驳{～壳枪}朴{厚～：中药；～素}拍{～桌}
m	[55]馍摸[42]□{表示否定，～客气：不客气}[22]牟{释迦～尼}[33]磨{～面，石～}[24]魔摩莫幕{闭～}末{强弩之～}沫{泡～}□{～覆pʰy24：趴着睡}
t	[55]多择-{～一个}[42]驼驮{拿，～起来}舵掇{拾～，两手～起}□{在，～厝：在家}□{肏；截}□{□ti42～：灶蟋蟀}[21]朵[22]剁[24]夺铎桌卓啄
tʰ	[21]妥[24]託{委～}托{手承物}□{～被：褥子}
n	[42]诺[22]揉[24]挪捼{～面：和面}□{□ɔ55～：脏，不干净}□{踩（进烂泥田里）}□{～子：傻子}
l	[55]□{踩，踏（在地上）}[42]落骆洛[22]罗锣箩骡啰{～唆}萝{～蔔}□{～鸭；乌鸦}[33]摞{～起来}□{大的科秤；磅秤}□{寻找}[24]裸{～体}络乐{快～}□{毛～子：蝎子}
ts	[42]柘{～树}[21]左佐[33]座{落～}□{～货：囤货}[24]作{～坊，工～}酌琢□{只，只有：～去一回，～我一个人}
tsʰ	[55]搓[42]矬{矮～～（杨）}[22]锉莝{段：一～蔗}矬{矮～～（张）}措{～施}错{对～，交～}
s	[55]镯{玉～}唆{啰～}梭{织布～}[42]□{哄，骗}[21]锁琐{～碎}[24]索{绳～}缩欶{吮吸：～水；用锯末把地弄干}
k	[55]歌哥□{嗝}[42]□{舀：～汤}[21]□{～乌：很黑}[22]个{～人，一～}[33]□{～头：抬头}[24]鸽辖{直～}各阁搁角{菱～：菱角}□{拼、凑：～药末}
kʰ	[55]搉{击，～桌子}[21]可[22]去{来～，～年}[24]磕却{退～}确
ŋ	[22]蛾娥鄂[33]饿[24]讹卧
h	[55]蛤{～蜊干}合{六～彩}盒{烟～}鹤[42]何={～必}[22]荷{薄～}[33]贺霍藿{～香}[24]喝{～酒}
∅	[55]沤{久浸水中，面煮糗了}握{～手}□{～□nɔ24：脏，不干净}□{烟～：烟盒}[42]学-{跟你～，～手艺}[21]河{～南，大～}阿{～弥陀佛}何-{姓}[24]恶{憎，可～；善～}握{把～}解{会，晓}□{小孩儿乖}
#yɔ	
p	[21]补-{～鼎：补锅}[22]布{一块～}[33]哺{嚼}
t	[55]着{～火，点～，寐憩～：睡着}朝{今～：今天}□{□liu22～子：抓子儿}[21]□{曝～：晒干}燋{曝～：晒干}[33]□{道路}墿{道路}
n	[42]箬{～子：叶子}
l	[24]略
ts	[55]石-{～□py42：石头}[22]□{～冢：上坟}[24]借藉{～口}褯{～子：尿布}
tsʰ	[22]厝{房子，～来：回家；己～：同族人}戍{房子，～来：回家；己～：同族人}[24]芍{～药花}尺雀{麻～}鹊{喜～}惜{可爱}
s	[55]蓆{草～}[24]拾{捡，～金不昧}
k	[22]茄瘸{～腿}[24]脚{鸭～：银杏}屩{草～：草鞋}
kʰ	[24]□{蜇}
h	[55]靴
∅	[55]哕{干～：想呕吐}[42]药{～花：泽泻花}[24]若弱约
#ʊ	
p	[55]杯{干～}卑{自～}悲[42]陪倍背{～书：背诵}[22]贝培赔辈裴[33]焙{～燋：～干}
pʰ	[55]胚{～胎}坯{泥～}[21]剖[22]沛配佩□{痈：恶性肿瘤的一种}
m	[21]每某亩谋玫{～瑰}[22]梅枚媒{～体}霉{生～，倒～}莓穆{姓}□{□mi24～：食物很烂}□{不用；不必}
t	[55]堆[42]台{讲～；天～，～州}坠{耳垂}[21]短□{～子：骗子}[22]对碓{～下：水碓}兑[33]贷代袋□{套：～被}[24]兜□{趸}
tʰ	[55]推□{水冲走或流走}[21]腿[22]唾{～液，～沫}退蜕{蝉～子：知了}□饭～：饭子}□{狗～子：小狗儿}[33]□{窟窿}[24]脱{～离，～贫}□{哄，骗}
n	[42]□{～子：阴茎}[33]内
l	[42]捋{～袖}[21]儡{傀～}蕊{花～}垒{堡～}[22]螺={～丝钉}雷={地～，～锋}[33]□{□kʊ33～：死结}[24]□{溪滑～：鹅卵石}□{大□kʊ55～：蝌蚪}□{呕吐}
ts	[55]□{擦，抹；～桌布：抹桌布}[42]裁-{～纸}罪[21]才{人～；～能}材财{～务}裁={独～}宰{～相}[22]晬{周岁}□{蝉～子：知了}[24]卒{兵～}
tsʰ	[55]崔{姓}催炊[21]彩采{蓝～和}[22]碎脆粹{纳～}[24]切{～菜}
s	[55]腮{络～胡}鳃{鱼～}衰□{瘦}[22]螺-{塍～：田螺}脶{手指纹}赛帅{挂～}雷-{响～公：打雷}[24]屑{锯～}刷蟀{蟋～}
k	[55]□{鸡～：鸡嗦子}□{梯：楼～}□{大～□lʊ24：蝌蚪}[42]滑{溪～□lʊ24：鹅卵石；～～菜：马齿苋}猾{狡～}□{～子：梯子}[21]傀{～儡}馃{白～}[22]髻{鸡～：鸡冠；～秆：捆稻草；～把：髻}[33]□{打：～栗□pɑu22：打栗暴}□{～□lʊ33：死结}[24]骨国
kʰ	[55]盔魁{人名，～星}奎{～宁}[22]会{～计}桧愧[33]溃{～脓}绘[24]窟{水～：小水坑}
