汉字	太和话	涂家垴话	长岭话	碧石渡话	鄂城话	华容镇话
虱	sæ212	sɛi213	sɿ213	sɿ213	se13	se13
震	tsan45	tsən45	tsən45	tsan45	tsən35	tsən35
神	san31	sən31	sən31	san31	sən21	sən31
实	sɿ212	sɿ213	sɿ213	sɿ213	sɿ13	sɿ13
身	san323	sən44	sən323	san323	sən44	sən44
失	sɿ212	sɿ213	sɿ213	sɿ213	sɿ13	sɿ13
辰	san31	tsʰən31	sən31	san31	tsʰən21	tsʰən31
人	zan31	zən31	zən31	zan31	ŋən21	ŋən31
认	zan24	zən44	zən24	zan24	ŋən24	ŋən35
日	ɯ212	ɯ213	ɯ213	ɯ213	ɯ13	ɯ13
紧	tɕian42	tɕin42	tɕan42	tɕian42	tɕin42	tɕin42
吉	tɕi212	tɕi213	tɕi213	tɕi213	tɕi13	tɕi13
银	ian42	ȵin31	in31	ȵian31	in21	in31
印	ian45	ȵin45	in45	ȵian45	in35	in35
一	i212	i213	i213	i213	i13	i13
引	ian42	in42	in42	ȵian42	in42	in42
筋	tɕian323	tɕin44	tɕin323	tɕian323	tɕin44	tɕin44
劲	tɕian45	tɕin45	tɕin45	tɕian45	tɕin35	tɕin35
勤	tɕʰian31	tɕʰin31	tɕʰin31	tɕʰian31	tɕʰin21	tɕʰin31
近	tɕʰian24	tɕʰin24	tɕʰin24	tɕʰian24	tɕin24	tɕin35
隐	ian42	in42	in42	ȵian42	in42	in42
本	pan42	pən42	pən42	pan42	pən42	pən42
盆	pʰan31	pʰən31	pʰən31	pʰan31	pʰən21	pʰən31
门	man31	mən31	mən31	man31	mən21	mən31
墩	tan323	tən44	tən323	tan323	tən44	tən44
嫩	lan24	lən24	lən24	lan24	lən24	lən35
卒	tsau212	tsəu213	tsau213	tsau213	tseu13	tsəu13
村	tsʰan323	tsʰən44	tsʰən323	tsʰan323	tsʰən44	tsʰən44
寸	tsʰan45	tsʰən45	tsʰən45	tsʰan45	tsʰən45	tsʰən35
蹲	tan323	tən44	tən323	tan323	tən44	tən44
孙	san323	sən44	sən323	san323	sən44	sən44
滚	kuan42	kuən42	kuən42	kuan42	kuən42	kuən42
骨	ku212	ku213	ku213	ku213	ku13	ku13
困	kʰuan45	kʰuən45	kʰuən45	kʰuan45	kʰuən35	kʰuən35
婚	xuan323	xuən44	xuən323	xuan323	xuən44	xuən44
魂	xuan31	xuən31	xuən31	xuan31	xuən21	xuən31
温	uan323	uən44	uan323	uan323	uən44	uən44
轮	lan31	lən31	lən31	lan31	lən21	lən31
律	lɛi212	lɛi213	lɛi213	lɛi213	lɛi13	lɛi13
俊	tɕin45	tɕin45	tɕin45	tɕin45	tɕin35	tɕin35
笋	san42	sən42	sən42	san42	sən42	sən42
准	tɕyan42	tɕyn42	tɕyn42	tɕyan42	tɕyən42	tɕyn42
春	tɕʰyan323	tɕʰyn44	tɕʰyn323	tɕʰyan323	tɕʰyən44	tɕʰyn44
出	tɕʰy212	tɕʰy213	tɕʰy213	tɕʰy213	tɕʰy13	tɕʰy13
唇	tɕʰyan31	tɕʰyn31	tɕʰyn31	tɕʰyan31	tɕʰyən21	tɕʰyn31
顺	ɕyan42	ɕyn45	ɕyn45	tɕyan45	ɕyən24	ɕyn35
纯	ɕyan31-ǀtɕʰyan31=	ɕyn31	ɕyn31	ɕyan31	ɕyən21	ɕyn31
闰	yan42	yn44	yn24	yan24	yən24	yn35
均	tɕyan323	tɕyn45	tɕyn323	tɕyan323	tɕyən44	tɕyn44
橘	tɕy212	tɕy213	tɕy213	tɕy213	tɕy13	tɕy13
匀	yan31	yn31	yn31	yan31	yən21	yan31
分	fan323	fən44	fən323	fan323	fən44	fən44
粉	fan42	fən42	fən42	fan42	fən42	fən42
粪	fan45	fən45	fən45	fan45	fən35	fən35
坟	fan31	fən31	fən31	fan31	fən21	fən31
佛	fu212	fu213	fu213	fu213	fu13	fu13
蚊	uan31	uən31	uən31	uan31	uən21	uən31
问	uan24	uən44	uən24	uan24	uən24	uən35
物	u212	u213	u213	u213	u13	u13
军	tɕyan323	tɕyn44	tɕyn323	tɕyan323	tɕyən44	tɕyn44
裙	tɕʰyan31	tɕʰyn31	tɕʰyn31	tɕʰyan31	tɕʰyən21	tɕʰyn31
熏	ɕyan323	ɕyn44	ɕyn323	ɕyan323	ɕyən44	ɕyn44
云	yan31	yn31	yn31	yan31	yən21	yn31
运	yan24	yn24	yn24	yan24	yən24	yn35
帮	pɔŋ323	pʌŋ44	pɔŋ323	pɔŋ323	paŋ44	pʌŋ44
薄	pʰo24	pʰo44	pʰo24	pʰo24	pʰo13	pʰo24
忙	mɔŋ31	mʌŋ31	mɔŋ31	mɔŋ31	maŋ21	mʌŋ31
摸	mo323	mo44	mo24	mo24	mo44	mo44
党	tɔŋ42	tʌŋ42	tɔŋ42	tɔŋ42	taŋ42	tʌŋ42
汤	tʰɔŋ323	tʰʌŋ44	tʰɔŋ323	tʰɔŋ323	tʰaŋ44	tʰʌŋ44
托	tʰo212	tʰo213	tʰo213	tʰo213	tʰo13	tʰo13
糖	tʰɔŋ31	tʰʌŋ31	tʰɔŋ31	tʰɔŋ31	tʰaŋ21	tʰʌŋ31
浪	lɔŋ24	lʌŋ44	lɔŋ24	lɔŋ24	laŋ24	lʌŋ35
落	lo212	lo213	lo213	lo213	lo13	lo13
作	tso212	tso213	tso213	tso213	tso13	tso13
仓	tsʰɔŋ323	tsʰʌŋ44	tsʰɔŋ323	tsʰɔŋ323	tsʰaŋ44	tsʰʌŋ44
索	so212	so213	so213	so213	so13	so13
钢	kɔŋ323	kʌŋ45	kɔŋ323	kɔŋ323	kaŋ44	kʌŋ44
各	ko212	ko213	ko213	ko213	ko13	ko13
糠	kʰɔŋ323	kʰʌŋ44	kʰɔŋ323	kʰɔŋ323	kʰaŋ44	kʰʌŋ44
鹤	xo212	xo213	xo213	xo213	xo13	xo13
恶	ŋo212	ŋo213	ŋo213	ŋo213	ŋo13	ŋo13
娘	ȵiɔŋ31	ȵiʌŋ31	ȵiɔŋ31	ȵiɔŋ31	ȵiaŋ21	ȵiʌŋ31
两	ȵiɔŋ42	liʌŋ42	liɔŋ42	liɔŋ42	liaŋ42	liʌŋ42
亮	ȵiɔŋ24	liʌŋ44	liɔŋ24	liɔŋ24	liaŋ24	liʌŋ35
浆	tɕiɔŋ323	tiʌŋ44	tɕiɔŋ323	tɕiɔŋ323	tɕiaŋ44	tɕiʌŋ44
雀	tɕʰio212	tɕʰio213	tɕʰio213	tɕʰio213	tɕʰio13	tɕʰio13
抢	tɕʰiɔŋ42	tʰiʌŋ42	tɕʰiɔŋ42	tɕʰiɔŋ42	tɕʰiaŋ42	tɕʰiʌŋ42
匠	tɕʰiɔŋ24	tʰiʌŋ24	tɕʰiɔŋ24	tɕʰiɔŋ24	tɕʰiaŋ24	tɕʰiʌŋ35
想	ɕiɔŋ42	ɕiʌŋ42	ɕiɔŋ42	ɕiɔŋ42	ɕiaŋ42	ɕiʌŋ42
削	ɕio212	ɕio213-ǀɕiau213=	ɕio213	ɕio213	ɕio13	ɕio13
像	tɕʰiɔŋ24	ɕiʌŋ24	ɕiɔŋ24	ɕiɔŋ45	ɕiaŋ24	ɕiʌŋ35
张	tsɔŋ323	tsʌŋ45	tsɔŋ323	tsɔŋ323	tsaŋ44	tsʌŋ44
着	tso212	tso213	tso213	tso213	tso13	tso13
长	tsʰɔŋ31	tsʰʌŋ31	tsʰɔŋ31	tsʰɔŋ31	tsʰaŋ21	tsʰʌŋ31
装	tsɔŋ323	tsʌŋ44	tsɔŋ323	tsɔŋ323	tɕyaŋ44	tɕyʌŋ44
壮	tsɔŋ45	tsʌŋ45	tsɔŋ45	tsɔŋ45	tɕyaŋ35	tɕyʌŋ35
疮	tsʰɔŋ323	tsʰʌŋ44	tsʰɔŋ323	tsʰɔŋ323	tɕʰyaŋ44	tɕʰyʌŋ44
床	tsʰɔŋ31	tsʰʌŋ31	tsʰɔŋ31	tsʰɔŋ31	tsʰaŋ21	tsʰʌŋ31
霜	sɔŋ323	sʌŋ44	sɔŋ323	sɔŋ323	ɕyaŋ44	ɕyʌŋ44
章	tsɔŋ323	tsʌŋ44	tsɔŋ323	tsɔŋ323	tɕyaŋ44	tɕyʌŋ44
厂	tsʰɔŋ42	tsʰʌŋ45	tsʰɔŋ42	tsʰɔŋ42	tsʰaŋ42	tsʰʌŋ42
唱	tsʰɔŋ45	tsʰʌŋ45	tsʰɔŋ45	tsʰɔŋ45	tsʰaŋ35	tsʰʌŋ35
伤	sɔŋ323	sʌŋ44	sɔŋ323	sɔŋ323	saŋ44	sʌŋ44
尝	sɔŋ31	sʌŋ31	tsʰɔŋ31	sɔŋ31	saŋ21	sʌŋ31
上	sɔŋ24	sʌŋ24	sɔŋ24	sɔŋ24	saŋ24	sʌŋ35
勺	sɑ212	sɑ213	so213	sɑ213	so13	so13
让	zɔŋ24	zʌŋ24	zɔŋ24	zɔŋ24	ŋaŋ24	ŋʌŋ35
弱	ȵio212	ȵio213	ȵio213	ȵio213	ȵio13	ȵio13
姜	tɕiɔŋ323	tɕiʌŋ44	tɕiɔŋ323	tɕiɔŋ323	tɕiaŋ44	tɕiʌŋ44
脚	tɕio212	tɕio213	tɕio213	tɕio213	tɕio13	tɕio13
响	ɕiɔŋ42	ɕiʌŋ42	ɕiɔŋ42	ɕiɔŋ42	ɕiaŋ42	ɕiʌŋ42
向	ɕiɔŋ45	ɕiʌŋ45	ɕiɔŋ45	ɕiɔŋ45	ɕiaŋ35	ɕiʌŋ35
秧	ɕiɔŋ323	ɕiʌŋ44	ɕiɔŋ323	ɕiɔŋ323	ɕiaŋ44	ɕiʌŋ44
约	io212	io213	io213	io213	io13	io13
痒	iɔŋ42	iʌŋ42	iɔŋ42	iɔŋ42	iaŋ42	iʌŋ42
样	iɔŋ24	iʌŋ44	iɔŋ24	iɔŋ24	iaŋ24	iʌŋ35
药	io212	io213	io213	io213	io13	io13
光	kuɔŋ323	kuʌŋ44	kuɔŋ323	kuɔŋ323	kuaŋ44	kuʌŋ44
郭	ko212	ko213	ko213	ko213	ko13	ko13
慌	xuɔŋ323	xuʌŋ44	xuɔŋ323	xuɔŋ323	xuaŋ44	xuʌŋ44
霍	xo212	xo213	xo213	xo213	xo13	xo13
黄	xuɔŋ31	xuʌŋ31	xuɔŋ31	xuɔŋ31	xuaŋ21	xuʌŋ31
方	fɔŋ323	fʌŋ44	fɔŋ323	fɔŋ323	faŋ44	fʌŋ44
放	fɔŋ45	fʌŋ45	fɔŋ45	fɔŋ45	faŋ35	fʌŋ35
纺	fɔŋ42	fʌŋ42	fɔŋ42	fɔŋ42	faŋ42	fʌŋ42
房	fɔŋ31	fʌŋ31	fɔŋ31	fɔŋ31	faŋ21	fʌŋ31
防	fɔŋ31	fʌŋ31	fɔŋ31	fɔŋ31	faŋ21	fʌŋ31
缚	fu45	fu213	fu45	fu45	fu35	fu35
网	uɔŋ42	uʌŋ42	uɔŋ42	uɔŋ42	uaŋ42	uʌŋ42
筐	kʰuɔŋ323	kʰuʌŋ44	kʰuɔŋ323	kʰuɔŋ323	kʰuaŋ44	kʰuʌŋ44
狂	kʰuɔŋ31	kʰuʌŋ31	kʰuɔŋ31	kʰuɔŋ31	kʰuaŋ21	kʰuʌŋ31
王	uɔŋ31	uʌŋ31	uɔŋ31	uɔŋ31	uaŋ21	uʌŋ31
旺	uɔŋ45	uʌŋ44	uɔŋ45	uɔŋ45	uaŋ35	uʌŋ35
绑	pɔŋ42	pʌŋ42	pɔŋ42	pɔŋ42	paŋ42	pʌŋ42
剥	po212	po213	po213	po213	po13	po13
胖	pʰɔŋ45	pʰʌŋ45	pʰɔŋ45	pʰɔŋ45	pʰaŋ44	pʰʌŋ35
棒	pʰɔŋ24	pʰʌŋ44	pʰɔŋ24	pʰɔŋ24	paŋ35	pʰʌŋ24
桩	tsɔŋ323	tsʌŋ44	tsɔŋ323	tsɔŋ323	tɕyaŋ44	tɕyʌŋ44
桌	tso212	tso213	tso213	tso213	tso13	tso13
撞	tsʰɔŋ24	tsʰʌŋ24	tsʰɔŋ24	tsʰɔŋ24	tɕʰyaŋ24	tɕʰyʌŋ35
窗	tsʰɔŋ323	tsʰʌŋ44	tsʰɔŋ323	tsʰɔŋ323	tɕʰyaŋ44	tɕʰyʌŋ44
镯	tso212	tso213	tso213	tso213	tso13	tso13
双	sɔŋ323	sʌŋ44	sɔŋ323	sɔŋ323	ɕyaŋ44	ɕyʌŋ44
江	tɕiɔŋ323	tɕiʌŋ45	tɕiɔŋ323	tɕiɔŋ323	tɕiaŋ44	tɕiʌŋ44
讲	tɕiɔŋ42	tɕiʌŋ42	tɕiɔŋ42	tɕiɔŋ42	tɕiaŋ42	tɕiʌŋ42
角	tɕio212-ǀko212=	ko213	ko213	ko213	ko13	ko13
壳	kʰo212	kʰo213	kʰo213	kʰo213	kʰo13	kʰo13
降	ɕiɔŋ31	ɕiʌŋ31	ɕiɔŋ31	ɕiɔŋ31	ɕiaŋ21	ɕiʌŋ31
项	xɔŋ323	xʌŋ44	xɔŋ24	xɔŋ24	xaŋ24	xʌŋ35
学	ɕio212	ɕio213	ɕio213	ɕio24	ɕio13	ɕio13
握	u212	u213	u213	uo213	u13	u13
北	pæ212	pᴇ213	pæ213	pᴇ213	pe13	pe13
朋	pʰʌŋ31	pʰəŋ31	pʰəŋ31	pʰəŋ31	pʰoŋ21	pʰəŋ31
墨	mæ212	mᴇ213	mæ212	mᴇ213		me13
灯	tᴇ̃323	tən44	tən323	tᴇ̃323	tən44	tən44
等	tᴇ̃42	tᴇ̃42	tən42	tᴇ̃42	tən44	tən44
凳	tᴇ̃45	tᴇ̃45	tən45	tᴇ̃45	tən35	tən35
得	tæ212	tᴇ213	tæ213	tᴇ213	tai13	te13
藤	tʰɑ̃31	tʰᴇ̃31	tʰən31	tʰᴇ̃31	tʰən21	tʰən31
特	tʰæ212	tʰᴇ213	tʰæ213	tʰᴇ213	tʰai13	tʰe13
能	lan31	lᴇ̃31	lən31	lᴇ̃31	lən21	lən31
层	tsʰan31	tsʰᴇ̃31	tsʰən31	tsʰᴇ̃31	tsʰən21	tsʰən31
贼	tsæ212	tsᴇ213	tsæ213	tsᴇ213	tsai13	tse13
僧	sᴇ̃323	sᴇ̃44	tsən323	sᴇ̃323	sən44	sən44
塞	sæ212	sᴇ213	tsʰæ42	tsʰæ42	sai35	se13
肯	kʰᴇ̃42	kʰᴇ̃42	kən42	kʰᴇ̃42	kʰən42	kʰən42
刻	kʰæ212	kʰᴇ213	kʰæ213	kʰᴇ213	kʰai13	kʰe13
黑	xæ212	xᴇ213	xæ213	xᴇ213	xai13	xe13
冰	pin323	pin44	pin323	pin323	pin44	pin44
逼	pɛi212	pɛi213	pɛi213	pɛi213	pi13	pi13
力	lɛi212	lɛi213	lɛi213	lɛi213	li13	li13
息	sɛi212	sɛi213	sɛi213	sɛi213	ɕi13	ɕi13
直	tsɿ212	tsɿ44	tsɿ213	tsɿ323	tsɿ13	tsɿ44
侧	tsʰæ212	tsʰᴇ213	tsʰæ213	tsʰᴇ213	tsai13	tse13
测	tsʰæ212	tsʰᴇ213	tsʰæ213	tsʰᴇ213	tsʰai13	tsʰe13
色	sæ212	sᴇ213	sæ213	sᴇ213	sai13	se13
证	tsan45	tsən45	tsən45	tsən45	tsən35	tsən35
织	tsɿ212	tsɿ213	tsɿ213	tsɿ323	tsɿ13	tsɿ13
秤	tsʰan45	tsʰən45	tsʰən45	tsʰan45	tsʰən44	tsʰən35
绳	san31	sən31	sən31	san31	sən21	sən31
剩	san24	sən44	sən24	san24	sən24	sən35
食	sɿ212	sɿ213	sɿ213	sɿ24	sɿ13	sɿ13
升	san323	sən44	sən323	san323	sən44	sən44
式	sɿ45	sɿ213	sɿ45	sɿ45	sɿ35	sɿ35
极	tɕi212	tɕi213	tɕi213	tɕi213	tɕi35	tɕi13
兴	ɕian45	ɕin45	ɕin45	ɕian45	ɕin35	ɕin35
蝇	ian31	in31	in31	ian31	in21	in31
国	kuæ212	kuᴇ213	kuæ213	kuᴇ213	kuai13	kue13
或	fuæ212	xuᴇ213	xuæ213	xuᴇ213	xuai13	xue13
百	pæ212	pᴇ213	pæ213	pᴇ213	pai13	pe13
拍	pʰæ212	pʰᴇ213	pʰæ213	pʰᴇ213	pʰai13	pʰe13
白	pæ212	pᴇ45	pæ213	pᴇ213	pai13	pe13
猛	mʌŋ42	məŋ42	mʌŋ42	məŋ42	moŋ42	mɔŋ42
打	tɒ42	tɑ42	tɒ42	tɒ42	tɑ42	tɑ42
冷	lᴇ̃42	ləŋ42	lᴇ̃42	lᴇ̃42	lən42	lən42
拆	tsʰæ212	tsʰɑ213	tsʰæ213	tsʰᴇ213	tsʰai13	tsʰe13
择	tsʰæ212	tsʰᴇ213	tsæ213	tsᴇ213	tsai13	tse13
窄	tsæ212	tsᴇ213	tsæ213	tsᴇ213	tsai13	tse13
生	sᴇ̃323	sᴇ̃44-ǀsɑ̃44=	sᴇ̃323	sᴇ̃323	sən44	sən44
省	sᴇ̃42	sᴇ̃42	sᴇ̃42	sᴇ̃42	sən42	sən42
更	kᴇ̃323	kᴇ̃45	kᴇ̃45	kᴇ̃323	kən44	kən44
梗	kᴇ̃42	kᴇ̃42	kᴇ̃42	kᴇ̃42	kən42	kən42
格	kæ212	kᴇ213	kæ213	kᴇ213	kai13	ke13
坑	kʰᴇ̃323	kʰᴇ̃45	kʰᴇ̃323	kʰᴇ̃323	kʰən44	kʰən44
客	kʰæ212	kʰᴇ213	kʰæ213	kʰᴇ213	kʰai13	kʰe13
硬	ŋᴇ2̃4	ŋʌŋ24	ŋᴇ2̃4	ŋᴇ2̃4	ŋən24	ŋən35
额	ŋæ212	ŋᴇ213	ŋæ213	ŋᴇ213	ŋai13	ŋe13
行	ɕian31	ɕin31	ɕin31	ɕian31	ɕin21	ɕin31
棚	pʰʌŋ31	pʰʌŋ31	pʰəŋ31	pʰəŋ31	pʰoŋ31	pʰɔŋ21
麦	mæ212	mᴇ213	mæ213	mᴇ213	mai13	me13
摘	tsæ212	tsᴇ213	tsæ213	tsᴇ213	tsai13	tse13
争	tsᴇ̃323	tsᴇ̃44	tsᴇ̃323	tsᴇ̃323	tsən44	tsən44
策	tsʰæ212	tsʰᴇ213	tsʰæ213	tsʰᴇ213	tsʰai13	tsʰe13
耕	kᴇ̃323	kᴇ̃44	kᴇ̃323	kᴇ̃323	kən44	kən44
隔	kæ212	kᴇ213	kæ213	kᴇ213	kai13	ke13
兵	pin323	pin44	pin323	pin323	pin44	pin44
柄	pin45	pin45	pin45	pin45	pin42	pin35
平	pʰin31	pʰin31	pʰin31	pʰin31	pʰin21	pʰin31
病	pʰin24	pʰiʌŋ24	pʰin24	pʰin24	pin24	pin35
明	min31	min31	min31	min31	min21	min31
命	min24	pʰiʌŋ24	min24	min24	min24	min35
镜	tɕian45	tɕin45	tɕin45	tɕian45	tɕin35	tɕin35
庆	tɕʰian45	tɕʰin45	tɕʰin45	tɕʰian45	tɕʰin35	tɕʰin35
剧	tɕy45	tɕy45	tɕy45	tɕy45	tɕy35	tɕy35
迎	ian31	in31	in31	ian31	in21	in21
影	ian42	in42	in42	ian42	in42	in42
饼	pin42	pin42	pin42	pin42	pin42	pin42
名	min31	min31	min31	min31	min21	min31
领	ȵin31	lin31	lin31	lin31	lin21	lin31
井	tɕin42	tiʌŋ42	tɕin42	tɕin42	tɕin42	tɕin42
积	tsɛi212	tsɛi213	tsɛi213	tsɛi213	tɕi13	tɕi13
清	tɕʰin323	tʰin44	tɕʰin323	tɕʰin323	tɕʰin44	tɕʰin44
静	tɕʰin24	tʰin24	tɕʰin24	tɕʰin24	tɕin24	tɕin35
姓	ɕin45	ɕin45	ɕin45	ɕin45	ɕin35	ɕin35
惜	sɛi212	sɛi213	sɛi213	sɛi213	ɕi13	ɕi13
席	sɛ24	sɛi44	sɛi213	sɛi24	ɕi13	ɕi13
贞	tsan323	tsən44	tsən44	tsan323	tsən44	tsən44
程	tsʰan31	tsʰən31	tsʰən31	tsʰan31	tsʰən21	tsʰən31
整	tsan42	tsən42	tsən42	tsan42	tsən42	tsən42
正	tsan45	tsən45	tsən45	tsan45	tsən35	tsən35
尺	tsʰɿ212	tsʰɿ213	tsʰɿ213	tsʰɿ213	tsʰɿ13	tsʰɿ13
声	san323	sən44	sən44	san323	sən44	sən44
城	tsʰan31	tsʰən31	tsʰən31	tsʰan31	tsʰən21	tsʰən31
石	sɿ212	sɿ213	sɿ213	sɿ213	sɿ13	sɿ13
轻	tɕʰian323	tɕʰiʌŋ45	tɕʰian323	tɕʰian323	tɕʰin44	tɕʰin44
益	i212	i213	i213	i213	i13	i13
赢	ian31	in31	in31	ian31	in21	in21
壁	pɛi212	pɛi213	pɛi213	pɛi213	pi13	pi13
劈	pʰɛi212	pʰiɑ213	pʰɛi213	pʰɛi213	pʰi13	pʰi13
瓶	pʰin31	pʰin31	pʰin31	pʰin31	pʰin21	pʰin31
钉	tin323	tiʌŋ44	tin323	tin323	tin44	tin44
顶	tin42	tin42	tin42	tin42	tin42	tin42
厅	tʰin323	tʰin45	tʰin323	tʰin323	tʰin44	tʰin44
听	tʰin45	tʰiʌŋ45	tʰin45	tʰin45	tʰin35	tʰin35
踢	tʰɛi212	tʰiɑ213	tʰɛi213	tʰɛi213	tʰi13	tʰi13
停	tʰin31	tʰin31	tʰin31	tʰin31	tʰin21	tʰin31
艇	tʰin42	tʰin42	tʰin42	tʰin42	tʰin42	tʰin42
定	tʰin24	tʰin24	tʰin24	tʰin24	tin24	tin35
笛	tɛi212	tɛi213	tɛi213	tʰɛi213	ti13	ti13
零	ȵin31	lin31	lin31	lin31	lin21	lin31
历	nɛi212	lɛi213	lɛi213	lɛi213	li13	li13
青	tɕʰin323	tʰiʌŋ44-ǀtʰin44=	tɕʰin323	tɕʰin323	tɕʰin44	tɕʰin44
星	ɕin323	ɕiʌŋ44-ǀɕin44=	ɕin323	ɕin323	ɕin44	ɕin44
锡	sɛi212	sɛi213	sɛi213	sɛi213	ɕi13	ɕi13
经	tɕian323	tɕin44	tɕin323	tɕian323	tɕin44	tɕin44
击	tɕi212	tɕi213	tɕi213	tɕi213	tɕi13	tɕi13
吃	tɕʰi212	tɕʰiɑ213	tɕʰi213	tɕʰi213	tɕʰi13	tɕʰi13
形	ɕian31	ɕin31	ɕin31	ɕian31	ɕin21	ɕin31
横	xuʌŋ31	xuᴇ31	xuən31	xuan31	xuən21	xuən31
划	xuɒ24	xuɑ44	xuɒ24	xuɒ24	xuɑ24	xuɑ35
兄	ɕiʌŋ323	ɕiəŋ44	ɕiɔŋ323	ɕiɔŋ323	ɕioŋ44	ɕiɔŋ44
荣	iʌŋ31	iʌŋ31	iɔŋ31	ian31	ioŋ21	iɔŋ31
永	iʌŋ42	yn42	yən42	yan42	yən42	yn42
营	ian31	in31	in31	in31	in21	in31
蓬	pʰʌŋ31	pʰəŋ31	pʰʌŋ31	pʰʌŋ31	pʰoŋ21	pʰɔŋ31
木	mo212	mo213	mo213	mo213	moŋ13	mɔŋ35
东	tʌŋ323	təŋ44	tʌŋ323	tʌŋ323	toŋ44	tɔŋ44
懂	tʌŋ323	təŋ42	tʰʌŋ42	tʰʌŋ42	toŋ42	tɔŋ42
冻	tʌŋ45	təŋ45	tʌŋ45	tʌŋ45	toŋ35	tɔŋ35
通	tʰʌŋ323	tʰəŋ44	tʰʌŋ323	tʰʌŋ323	tʰoŋ44	tʰɔŋ44
桶	tʰʌŋ42	tʰəŋ42	tʰʌŋ42	tʰʌŋ42	tʰoŋ42	tʰɔŋ42
痛	tʰʌŋ45	tʰəŋ45	tʰʌŋ45	tʰʌŋ45	tʰoŋ35	tʰɔŋ35
铜	tʰʌŋ31	tʰəŋ31	tʰʌŋ31	tʰʌŋ31	tʰoŋ21	tʰɔŋ31
动	tʰʌŋ24	tʰəŋ24	tʰʌŋ24	tʰʌŋ24	toŋ24	tɔŋ35
洞	tʰʌŋ24	tʰəŋ24	tʰʌŋ24	tʰʌŋ24	toŋ24	tɔŋ24
读	tau212	təu213	tau213	tau213	teu13	təu13
聋	lʌŋ323	ləŋ44	lʌŋ323	lʌŋ323	loŋ44	lɔŋ44
弄	lʌŋ24	ləŋ45	lʌŋ24	lʌŋ24	loŋ35	lɔŋ35
鹿	lau212	ləu213	lau213	lau213	leu13	ləu13
粽	tsʌŋ45	tsəŋ45	tsʌŋ45	tsʌŋ45	tsoŋ35	tsɔŋ35
葱	tsʰʌŋ323	tsʰəŋ44	tsʰʌŋ323	tsʰʌŋ323	tsʰoŋ44	tsʰɔŋ44
族	tsʰau212	tsʰəu213	tsʰau213	tsʰau213	tsʰeu13	tsʰəu13
送	sʌŋ45	səŋ45	sʌŋ45	sʌŋ45	soŋ35	sɔŋ35
公	kʌŋ323	kəŋ44	kʌŋ323	kʌŋ323	koŋ44	kɔŋ44
谷	ku212	ku213	ku213	ku213	ku13	ku13
孔	kʰʌŋ42	kʰəŋ42	kʰʌŋ42	kʰɔŋ42	kʰoŋ42	kʰɔŋ42
哭	kʰu212	kʰu213	kʰu213	kʰu213	kʰu13	kʰu13
烘	xʌŋ323	xəŋ44	xʌŋ323	xʌŋ323	xoŋ44	xɔŋ44
红	xʌŋ31	xɔ213	xʌŋ31	xʌŋ31	xoŋ21	xɔŋ31
翁	ʌŋ323	ŋəŋ44	ʌŋ323	ʌŋ323	oŋ44	ɔŋ44
屋	u212	u213	u213	u213	u13	u13
冬	tʌŋ323	təŋ44	tʌŋ323	tʌŋ323	toŋ44	tɔŋ44
统	tʰʌŋ42	tʰəŋ42	tʰʌŋ42	tʰɔŋ42	tʰoŋ42	tʰɔŋ42
毒	tau212	təu213	tau213	tau213	teu13	təu13
脓	lʌŋ31	ləŋ31	lʌŋ31	lʌŋ31	loŋ21	lɔŋ31
松	sʌŋ323	səŋ44	sʌŋ323	sʌŋ323	soŋ44	sɔŋ44
宋	sʌŋ45	səŋ45	sʌŋ45	sʌŋ45	soŋ35	sɔŋ35
风	fʌŋ323	fəŋ44	fʌŋ323	fʌŋ323	foŋ44	fɔŋ44
福	fu212	fu213	fu213	fu213	fu13	fu13
丰	fʌŋ323	fəŋ44	fʌŋ323	fʌŋ323	foŋ44	fɔŋ44
凤	fʌŋ45	fəŋ45	fʌŋ45	fʌŋ45	foŋ24	fɔŋ35
服	fu212	fu213	fu213	fu24	fu13	fu13
梦	mʌŋ24	məŋ24	mʌŋ24	mʌŋ24	moŋ24	mɔŋ35
目	mo212	mo213	mo213	mo213	moŋ13	mɔŋ13
六	lau212	ləu213	lau213	lau213	leu13	ləu13
宿	sau212	səu213	sau213	sau213	seu13	səu13
中	tsʌŋ323	tsəŋ44	tsʌŋ323	tsʌŋ323	tsoŋ44	tsɔŋ44
竹	tsau212	tsəu213	tsau213	tsau213	tseu13	tsəu13
畜	tsʰau212	tsʰəu213	tsʰau213	tsʰau213	tsʰeu13	tsʰəu13
虫	tsʰʌŋ31	tsʰəŋ31	tsʰʌŋ31	tsʰʌŋ31	tsʰoŋ21	tsʰɔŋ31
缩	sau212	səu213	sau213	sau213	seu13	səu13
终	tsʌŋ323	tsəŋ44	tsʌŋ323	tsʌŋ323	tsoŋ44	tsɔŋ44
粥	tsau212	tsəu213	tsau213	tsau213	tseu13	tsəu13
充	tsʰʌŋ323	tsʰəŋ44	tsʰʌŋ323	tsʰʌŋ323	tsʰoŋ44	tsʰɔŋ44
叔	sau212	səu213	sau213	sau213	seu13	səu13
熟	sau212	səu44	sau213	sau24	seu13	səu13
肉	iʌŋ31	zəu213	zau213	zau213	ŋeu13	ŋəu13
宫	kʌŋ323	kəŋ44	kʌŋ323	kʌŋ323	koŋ44	kɔŋ44
