正體	簡體	音標	調類	備註
椒	椒	ʨiɔ	①	
驕	骄	ʨiɔ	①	
嬌	娇	ʨiɔ	①	
澆	浇	ʨiɔ	①	
絞	绞	ʨiɔ	③ⓐ	文
狡	狡	ʨiɔ	③ⓐ	
剿	剿	ʨiɔ	③ⓐ	
矯	矫	ʨiɔ	③ⓐ	
僥	侥	ʨiɔ	③ⓐ	
校	校	ʨiɔ	⑤	(文)～對
叫	叫	ʨiɔ	⑤	
教	教	ʨiɔ	⑤	文
較	较	ʨiɔ	⑤	
窖	窖	ʨiɔ	⑤	
鍬	锹	ʨʰiɔ	①	
敲	敲	ʨʰiɔ	①	文
悄	悄	ʨʰiɔ	①	
蹻	蹻	ʨʰiɔ	①	
𣖄	𣖄	ʨʰiɔ	①	
巧	巧	ʨʰiɔ	③ⓑ	
俏	俏	ʨʰiɔ	⑤	打扮～來
竅	窍	ʨʰiɔ	⑤	
樵	樵	ʥiɔ	②	
喬	乔	ʥiɔ	②	
僑	侨	ʥiɔ	②	
橋	桥	ʥiɔ	②	
蕎	荞	ʥiɔ	②	
翹	翘	ʥiɔ	②	木變形：棕棚～了
撟	挢	ʥiɔ	④	撬：～門｜挑撥是非：真會～
☐	☐	ʥiɔ	④	滑稽：蠻～呃(個)
轎	轿	ʥiɔ	⑥	
消	消	ɕiɔ	①	
宵	宵	ɕiɔ	①	
霄	霄	ɕiɔ	①	
硝	硝	ɕiɔ	①	
銷	销	ɕiɔ	①	
囂	嚣	ɕiɔ	①	
枵	枵	ɕiɔ	①	
蕭	萧	ɕiɔ	①	
簫	箫	ɕiɔ	①	
𤞚	𤞚	ɕiɔ	①	
綃	绡	ɕiɔ	①	
☐	☐	ɕiɔ	①	薄物揭開：日曆～一張
小	小	ɕiɔ	③ⓐ	
曉	晓	ɕiɔ	③ⓐ	～得
孝	孝	ɕiɔ	⑤	(文)～順
笑	笑	ɕiɔ	⑤	
酵	酵	ɕiɔ	⑤	
☐	☐	ʑiɔ	④	用筷子等旋轉攪拌：～漿糊
饒	饶	ȵiɔ	②	
繞	绕	ȵiɔ	④	圍～
鳥	鸟	ȵiɔ	④	
繞	绕	ȵiɔ	⑥	～線
肴	肴	ɦiɔ	②	
淆	淆	ɦiɔ	②	
搖	摇	ɦiɔ	②	
謠	谣	ɦiɔ	②	
姚	姚	ɦiɔ	②	
堯	尧	ɦiɔ	②	
陶	陶	ɦiɔ	②	
效	效	ɦiɔ	⑥	
校	校	ɦiɔ	⑥	學～
鷂	鹞	ɦiɔ	⑥	～子
耀	耀	ɦiɔ	⑥	
妖	妖	iɔ	①	
邀	邀	iɔ	①	
腰	腰	iɔ	①	
要	要	iɔ	①	～求
舀	舀	iɔ	③ⓐ	
杳	杳	iɔ	③ⓐ	
要	要	iɔ	⑤	重～｜想～：喜歡：伊～看電視來
擺	摆	pɑ	③ⓐ	菜里～點糖
拜	拜	pɑ	⑤	
☐	☐	pʰɑ	⑤	～賴：1不孝順或虐待遺棄父母；2心狠，不正派
派	派	pʰɑ	⑤	分配，分物：三個人～～
牌	牌	bɑ	②	
排	排	bɑ	②	一～堆：大家一塊兒
𥱼	𥱼	bɑ	②	木～：木筏
罷	罢	bɑ	④	
稗	稗	bɑ	⑥	
敗	败	bɑ	⑥	揮霍，毀：～光｜～家子
媽	妈	ʔmɑ	①	姆～：呼母｜～～：乳房｜親～：稱祖母
埋	埋	mɑ	②	
買	买	mɑ	④	
賣	卖	mɑ	⑥	
戴	戴	tɑ	⑤	「帶」訓讀：～帽子
帶	带	tɑ	⑤	
太	太	tʰɑ	⑤	白
泰	泰	tʰɑ	⑤	
大	大	dɑ	⑥	(文)～家｜～約模子
汏	汏	dɑ	⑥	～衣裳
埭	埭	dɑ	⑥	行：一～一～｜回：去一～
拿	拿	nɑ	②	(文)捉～
奶	奶	nɑ	④	
拉	拉	ʔlɑ	①	
癩	癞	lɑ	⑥	～水：蟾蜍｜～癘頭：生黃蘚的頭
賴	赖	lɑ	⑥	白～
齋	斋	tsɑ	①	五芳～：店名
抓	抓	tsɑ	①	～破
遮	遮	tsɑ	①	
債	债	tsɑ	⑤	
釵	钗	tsʰɑ	①	
差	差	tsʰɑ	①	～勿動：指使不動
扯	扯	tsʰɑ	③ⓑ	～散：撕碎
蔡	蔡	tsʰɑ	⑤	
岔	岔	tsʰɑ	⑤	文
篩	筛	sɑ	①	
☐	☐	sɑ	①	～開水｜～酒
傻	傻	sɑ	③ⓐ	
灑	洒	sɑ	③ⓐ	
曬	晒	sɑ	⑤	文
帥	帅	sɑ	⑤	又
廈	厦	sɑ	⑤	大～
柴	柴	zɑ	②	
惹	惹	zɑ	④	
家	家	kɑ	①	(白)做人～：節省
嘉	嘉	kɑ	①	白
加	加	kɑ	①	白
傢	家	kɑ	①	白
街	街	kɑ	①	
階	阶	kɑ	①	(白)～沿石
假	假	kɑ	③ⓐ	(白)～做點：假樣兒
解	解	kɑ	③ⓐ	白
假	假	kɑ	⑤	放～
架	架	kɑ	⑤	(白)～形
價	价	kɑ	⑤	白
嫁	嫁	kɑ	⑤	白
介	介	kɑ	⑤	白
界	界	kɑ	⑤	(白)勿搭～：無涉
戒	戒	kɑ	⑤	白
尬	尬	kɑ	⑤	
胛	胛	kɑ	⑤	肩～
屆	届	kɑ	⑤	白
揩	揩	kʰɑ	①	檯子～～
楷	楷	kʰɑ	③ⓑ	
茄	茄	ɡɑ	②	辣～：辣椒
解	解	ɡɑ	④	繩子～開
☐	☐	ɡɑ	④	脱～：脫臼
☐	☐	ɡɑ	④	～得：無妨，可去做
蟹	蟹	hɑ	③ⓐ	
牙	牙	ɦɑ	②	
芽	芽	ɦɑ	②	
鞋	鞋	ɦɑ	②	
也	也	ɦɑ	④	白
外	外	ɦɑ	⑥	白
矮	矮	ɑ	③ⓐ	
爹	爹	tiɑ	①	阿～：爸爸｜大～：爺爺
嗲	嗲	tiɑ	③ⓐ	撒嬌，寵愛：～來｜～～伊
家	家	ʨiɑ	①	文
嘉	嘉	ʨiɑ	①	文
加	加	ʨiɑ	①	文
傢	家	ʨiɑ	①	文
階	阶	ʨiɑ	①	文
佳	佳	ʨiɑ	①	
假	假	ʨiɑ	③ⓐ	(文)真～
賈	贾	ʨiɑ	③ⓐ	
解	解	ʨiɑ	③ⓐ	文｜姓
皆	皆	ʨiɑ	③ⓐ	
價	价	ʨiɑ	⑤	文
架	架	ʨiɑ	⑤	文
假	假	ʨiɑ	⑤	(文)放～
嫁	嫁	ʨiɑ	⑤	
借	借	ʨiɑ	⑤	
介	介	ʨiɑ	⑤	文
界	界	ʨiɑ	⑤	文
屆	届	ʨiɑ	⑤	文
戒	戒	ʨiɑ	⑤	文
☐	☐	dʑiɑ	②	強健；能幹
蝦	虾	ɕiɑ	①	(文)對～
奢	奢	ɕiɑ	①	
寫	写	ɕiɑ	③ⓐ	
下	下	ɕiɑ	⑤	(文)～流
瀉	泻	ɕiɑ	⑤	水～：大便呈液狀
卸	卸	ɕiɑ	⑤	
邪	邪	ʑiɑ	②	
斜	斜	ʑiɑ	②	
謝	谢	ʑiɑ	⑥	
爺	爷	ɦiɑ	②	～娘：父母
諧	谐	ɦiɑ	②	
野	野	ɦiɑ	④	淘氣，頑皮，粗魯
鴉	鸦	iɑ	①	文
崖	崖	iɑ	①	
涯	涯	iɑ	①	
耶	耶	iɑ	③ⓐ	
亞	亚	iɑ	③ⓐ	
霞	霞	iɑ	③ⓐ	
雅	雅	iɑ	③ⓐ	
夜	夜	iɑ	⑤	～來：晚上
乖	乖	kuɑ	①	
寡	寡	kuɑ	③ⓐ	
剮	剐	kuɑ	③ⓐ	
柺	拐	kuɑ	③ⓐ	
怪	怪	kuɑ	⑤	
誇	夸	kʰuɑ	①	
快	快	kʰuɑ	⑤	
歪	歪	huɑ	①	又
懷	怀	ɦuɑ	②	
槐	槐	ɦuɑ	②	
淮	淮	ɦuɑ	②	
話	话	ɦuɑ	⑥	文
歪	歪	uɑ	①	又
壞	坏	uɑ	⑤	～鈔：破費錢
舨	舨	pɤə	①	
搬	搬	pɤə	①	
半	半	pɤə	⑤	
絆	绊	pɤə	⑤	
潘	潘	pʰɤə	①	
判	判	pʰɤə	⑤	
盤	盘	bɤə	②	轉圈：街上～來～去
☐	☐	bɤə	②	躲藏：～起來
瀊	瀊	bɤə	②	
伴	伴	bɤə	④	我同伊～熟哩
拌	拌	bɤə	④	
叛	叛	bɤə	⑥	
瞞	瞒	mɤə	②	
饅	馒	mɤə	②	腳～頭：膝蓋
㒼	㒼	mɤə	②	
滿	满	mɤə	④	
漫	漫	mɤə	④	
幔	幔	mɤə	④	
端	端	tɤə	①	～正：準備，整理
短	短	tɤə	③ⓐ	
斷	断	tɤə	⑤	判～
鍛	锻	tɤə	⑤	
貪	贪	tʰɤə	①	
探	探	tʰɤə	⑤	
☐	☐	tʰɤə	⑤	脱落：～皮
蛻	蛻	tʰɤə	⑤	脱落：～皮
團	团	dɤə	②	
糰	团	dɤə	②	餈飯～
潭	潭	dɤə	②	
斷	断	dɤə	④	～絕
譚	谭	dɤə	④	又
段	段	dɤə	⑥	
緞	缎	dɤə	⑥	
男	男	nɤə	②	
南	南	nɤə	②	
囡	囡	nɤə	②	呼孩子，愛稱｜～兒：女兒｜毛～：私生子
暖	暖	nɤə	④	～熱：熱
揇	揇	nɤə	④	
媛	媛	nɤə	⑥	人名
鸞	鸾	lɤə	②	
卵	卵	lɤə	④	～泡：睪丸
亂	乱	lɤə	⑥	
簪	簪	tsɤə	①	
鑽	钻	tsɤə	①	動詞
瞻	瞻	tsɤə	①	
沾	沾	tsɤə	①	
粘	粘	tsɤə	①	
占	占	tsɤə	①	～卜
專	专	tsɤə	①	～門：總是
磚	砖	tsɤə	①	
氊	毡	tsɤə	①	
蟤	蟤	tsɤə	①	
展	展	tsɤə	③ⓐ	
轉	转	tsɤə	③ⓐ	～送
佔	占	tsɤə	⑤	名詞
戰	战	tsɤə	⑤	
鑽	钻	tsɤə	⑤	
轉	转	tsɤə	⑤	回～｜橫～｜掇～。次：一～｜三～
參	参	tsʰɤə	①	
川	川	tsʰɤə	①	
竄	窜	tsʰɤə	①	
攛	撺	tsʰɤə	①	～掇
穿	穿	tsʰɤə	①	
慘	惨	tsʰɤə	③ⓑ	
喘	喘	tsʰɤə	③ⓑ	
篡	篡	tsʰɤə	③ⓑ	
纂	纂	tsʰɤə	③ⓑ	
串	串	tsʰɤə	⑤	
顫	颤	tsʰɤə	⑤	
竄	窜	tsʰɤə	⑤	東～西～
煽	煽	sɤə	①	
閂	闩	sɤə	①	
拴	拴	sɤə	①	
陝	陕	sɤə	③ⓐ	
閃	闪	sɤə	③ⓐ	～光
捨	舍	sɤə	③ⓐ	(文)～己
扇	扇	sɤə	⑤	
舍	舍	sɤə	⑤	宿～
蠶	蚕	zɤə	②	
蟾	蟾	zɤə	②	
纏	缠	zɤə	②	
禪	禅	zɤə	②	
然	然	zɤə	②	
燃	燃	zɤə	②	
傳	传	zɤə	②	
船	船	zɤə	②	
蟬	蝉	zɤə	②	
善	善	zɤə	④	
膳	膳	zɤə	④	
染	染	zɤə	④	文
撰	撰	zɤə	④	
篆	篆	zɤə	④	
單	单	zɤə	④	姓
禪	禅	zɤə	④	～讓
冉	冉	zɤə	④	
蟮	蟮	zɤə	④	蛐～：蚯蚓
傳	传	zɤə	⑥	～記
射	射	zɤə	⑥	
社	社	zɤə	⑥	
纏	缠	zɤə	⑥	覅同我～哩
干	干	kɤə	①	～涉
柑	柑	kɤə	①	
肝	肝	kɤə	①	
乾	干	kɤə	①	～濕
杆	杆	kɤə	①	電～木：電線桿
感	感	kɤə	③ⓐ	
敢	敢	kɤə	③ⓐ	
橄	橄	kɤə	③ⓐ	
稈	秆	kɤə	③ⓐ	
趕	赶	kɤə	③ⓐ	
杆	杆	kɤə	③ⓐ	～菌
幹	干	kɤə	⑤	有～：有出息，有用｜無～：沒出息，沒用
堪	堪	kʰɤə	①	
龕	龛	kʰɤə	①	
看	看	kʰɤə	①	～見
刊	刊	kʰɤə	①	
砍	砍	kʰɤə	③ⓑ	
坎	坎	kʰɤə	③ⓑ	
看	看	kʰɤə	⑤	
勘	勘	kʰɤə	⑤	
鼾	鼾	hɤə	①	
酣	酣	hɤə	①	
罕	罕	hɤə	③ⓐ	
漢	汉	hɤə	⑤	
憾	憾	hɤə	⑤	
含	含	ɦɤə	②	
函	函	ɦɤə	②	
寒	寒	ɦɤə	②	
韓	韩	ɦɤə	②	
撼	撼	ɦɤə	④	
巖	岩	ɦɤə	④	
旱	旱	ɦɤə	④	
岸	岸	ɦɤə	⑥	
汗	汗	ɦɤə	⑥	
焊	焊	ɦɤə	⑥	
翰	翰	ɦɤə	⑥	
庵	庵	ɤə	①	
安	安	ɤə	①	
鞍	鞍	ɤə	①	
揞	揞	ɤə	③ⓐ	捂：～牢
暗	暗	ɤə	⑤	
按	按	ɤə	⑤	
案	案	ɤə	⑤	
酸	酸	suɤə	①	
痠	酸	suɤə	①	腳～
算	算	suɤə	⑤	
蒜	蒜	suɤə	⑤	
官	官	kuɤə	①	新～人：新郎
棺	棺	kuɤə	①	
冠	冠	kuɤə	①	衣～
觀	观	kuɤə	①	參～
管	管	kuɤə	③ⓐ	
館	馆	kuɤə	③ⓐ	
貫	贯	kuɤə	⑤	
罐	罐	kuɤə	⑤	
灌	灌	kuɤə	⑤	
觀	观	kuɤə	⑤	寺～
冠	冠	kuɤə	⑤	～軍
寬	宽	kʰuɤə	①	～舒：寬裕｜～緊帶
款	款	kʰuɤə	③ⓑ	
歡	欢	huɤə	①	
喚	唤	huɤə	⑤	
煥	焕	huɤə	⑤	
完	完	ɦuɤə	②	
丸	丸	ɦuɤə	②	
桓	桓	ɦuɤə	②	
頑	顽	ɦuɤə	②	
緩	缓	ɦuɤə	④	性子～｜～和
玩	玩	ɦuɤə	⑥	
蜿	蜿	uɤə	①	
皖	皖	uɤə	③ⓐ	
碗	碗	uɤə	③ⓐ	一～燈
豌	豌	uɤə	③ⓐ	
宛	宛	uɤə	③ⓐ	
緩	缓	uɤə	③ⓐ	～德德：緩慢有福貌｜慢慢地
換	换	uɤə	⑤	
腕	腕	uɤə	⑤	
捐	捐	ʨyɤə	①	
娟	娟	ʨyɤə	①	
鵑	鹃	ʨyɤə	①	
捲	卷	ʨyɤə	③ⓐ	
絹	绢	ʨyɤə	③ⓐ	～紡廠
絹	绢	ʨyɤə	⑤	～頭：手絹兒
卷	卷	ʨyɤə	⑤	
眷	眷	ʨyɤə	⑤	親～：親戚
圈	圈	ʨʰyɤə	①	園～｜～～牢
犬	犬	ʨʰyɤə	③ⓑ	
勸	劝	ʨʰyɤə	⑤	
券	券	ʨʰyɤə	⑤	
拳	拳	ʥyɤə	②	曲而不平：頭髮～了
權	权	ʥyɤə	②	
顴	颧	ʥyɤə	②	
倦	倦	ʥyɤə	⑥	
喧	喧	ɕyɤə	①	
靴	靴	ɕyɤə	①	
楦	楦	ɕyɤə	⑤	
元	元	ȵyɤə	②	
原	原	ȵyɤə	②	～隻：整隻
源	源	ȵyɤə	②	
軟	软	ȵyɤə	④	
阮	阮	ȵyɤə	④	
願	愿	ȵyɤə	⑥	
圓	圆	ɦyɤə	②	
員	员	ɦyɤə	②	
緣	缘	ɦyɤə	②	
袁	袁	ɦyɤə	②	
園	园	ɦyɤə	②	
援	援	ɦyɤə	②	
媛	媛	ɦyɤə	②	
轅	辕	ɦyɤə	②	
玄	玄	ɦyɤə	②	
眩	眩	ɦyɤə	②	頭～：頭昏
遠	远	ɦyɤə	④	
冤	冤	yɤə	①	
淵	渊	yɤə	①	
院	院	yɤə	⑤	
怨	怨	yɤə	⑤	
懸	悬	yɤə	⑤	～命：自殺
縣	县	yɤə	⑤	
流	流	liəu	②	
劉	刘	liəu	②	
留	留	liəu	②	
榴	榴	liəu	②	
硫	硫	liəu	②	
琉	琉	liəu	②	
餾	馏	liəu	②	
溜	溜	liəu	③ⓐ	又
柳	柳	liəu	④	
揪	揪	ʨiəu	①	
鳩	鸠	ʨiəu	①	
糾	纠	ʨiəu	①	
酒	酒	ʨiəu	③ⓐ	
九	九	ʨiəu	③ⓐ	
久	久	ʨiəu	③ⓐ	
韭	韭	ʨiəu	③ⓐ	
灸	灸	ʨiəu	③ⓐ	
救	救	ʨiəu	⑤	
究	究	ʨiəu	⑤	
秋	秋	ʨʰiəu	①	
丘	丘	ʨʰiəu	①	
囚	囚	ʥiəu	②	
泅	泅	ʥiəu	②	
求	求	ʥiəu	②	
球	球	ʥiəu	②	
仇	仇	ʥiəu	②	
舅	舅	ʥiəu	④	娘～：舅舅
臼	臼	ʥiəu	④	
咎	咎	ʥiəu	④	
就	就	ʥiəu	⑥	文
袖	袖	ʥiəu	⑥	(文)領～
售	售	ʥiəu	⑥	
舊	旧	ʥiəu	⑥	
柩	柩	ʥiəu	⑥	
修	修	ɕiəu	①	
羞	羞	ɕiəu	①	
休	休	ɕiəu	①	
朽	朽	ɕiəu	③ⓐ	
秀	秀	ɕiəu	⑤	
繡	绣	ɕiəu	⑤	
銹	锈	ɕiəu	⑤	
嗅	嗅	ɕiəu	⑤	～覺
誘	诱	ɕiəu	⑤	又
牛	牛	ȵiəu	②	
扭	扭	ʔȵiəu	③ⓐ	
紐	纽	ȵiəu	④	～珠：鈕扣
鈕	钮	ȵiəu	④	
謬	谬	ȵiəu	⑥	
由	由	ɦiəu	②	
油	油	ɦiəu	②	
鈾	铀	ɦiəu	②	
郵	邮	ɦiəu	②	
猶	犹	ɦiəu	②	
尤	尤	ɦiəu	②	
游	游	ɦiəu	②	
遊	游	ɦiəu	②	～火蟲：螢火蟲
蚰	蚰	ɦiəu	②	蜒～螺：蝸牛
有	有	ɦiəu	④	
誘	诱	ɦiəu	④	又
酉	酉	ɦiəu	④	
憂	忧	iəu	①	
優	优	iəu	①	
幽	幽	iəu	①	
悠	悠	iəu	①	
又	又	iəu	⑤	
右	右	iəu	⑤	
𧙗	𧙗	iəu	⑤	
幼	幼	iəu	⑤	
友	友	iəu	⑤	
彬	彬	piŋ	①	
賓	宾	piŋ	①	
檳	槟	piŋ	①	
殯	殡	piŋ	①	
冰	冰	piŋ	①	
兵	兵	piŋ	①	
稟	禀	piŋ	③ⓐ	
丙	丙	piŋ	③ⓐ	
秉	秉	piŋ	③ⓐ	
餅	饼	piŋ	③ⓐ	
併	并	piŋ	③ⓐ	～一淘：合在一起
鬢	鬓	piŋ	⑤	
柄	柄	piŋ	⑤	
併	并	piŋ	⑤	合～
摒	摒	piŋ	⑤	～牢：堅忍住
拼	拼	pʰiŋ	①	
姘	姘	pʰiŋ	①	
品	品	pʰiŋ	③ⓑ	
聘	聘	pʰiŋ	⑤	
貧	贫	biŋ	②	
頻	频	biŋ	②	
憑	凭	biŋ	②	
平	平	biŋ	②	
評	评	biŋ	②	
坪	坪	biŋ	②	
瓶	瓶	biŋ	②	
屏	屏	biŋ	②	
萍	萍	biŋ	②	
並	并	biŋ	④	
病	病	biŋ	⑥	
明	明	miŋ	②	
鳴	鸣	miŋ	②	
民	民	miŋ	②	
名	名	miŋ	②	
銘	铭	miŋ	②	
盟	盟	miŋ	②	又
憫	悯	miŋ	④	
敏	敏	miŋ	④	
皿	皿	miŋ	④	
閩	闽	miŋ	④	
䐇	䐇	miŋ	④	
命	命	miŋ	⑥	
丁	丁	tiŋ	①	
釘	钉	tiŋ	①	洋～
叮	叮	tiŋ	①	蚊蟲～｜蒼蠅～
頂	顶	tiŋ	③ⓐ	
鼎	鼎	tiŋ	③ⓐ	
釘	钉	tiŋ	⑤	動詞
訂	订	tiŋ	⑤	
濎	濎	tiŋ	⑤	水～～清
聽	听	tʰiŋ	①	～到
廳	厅	tʰiŋ	①	
汀	汀	tʰiŋ	①	
挺	挺	tʰiŋ	③ⓑ	筆～
艇	艇	tʰiŋ	③ⓑ	
聽	聽	tʰiŋ	⑤	～吃：任意吃
☐	☐	tʰiŋ	⑤	剩下：人家揀～下來
亭	亭	diŋ	②	
停	停	diŋ	②	
廷	廷	diŋ	②	
庭	庭	diŋ	②	
蜓	蜓	diŋ	②	
錠	锭	diŋ	④	
定	定	diŋ	⑥	～～性：安靜一下情緒
濎	濎	diŋ	⑥	(又)水～～清
拎	拎	ʔliŋ	①	提：～水｜～包；弄勿～清：搞不明白
林	林	liŋ	②	
淋	淋	liŋ	②	
琳	琳	liŋ	②	
臨	临	liŋ	②	
鄰	邻	liŋ	②	鄉～：鄰居
鱗	鳞	liŋ	②	
燐	磷	liŋ	②	
嶙	嶙	liŋ	②	
磷	磷	liŋ	②	
璘	璘	liŋ	②	
陵	陵	liŋ	②	
凌	凌	liŋ	②	
菱	菱	liŋ	②	
綾	绫	liŋ	②	
靈	灵	liŋ	②	
鈴	铃	liŋ	②	
伶	伶	liŋ	②	
玲	玲	liŋ	②	
翎	翎	liŋ	②	
羚	羚	liŋ	②	
泠	泠	liŋ	②	
聆	聆	liŋ	②	
鴒	鸰	liŋ	②	
欞	棂	liŋ	②	
霖	霖	liŋ	②	
領	领	liŋ	④	撫養，管帶：～大來｜收養子養女：～一個小人來
嶺	岭	liŋ	④	
賃	赁	liŋ	⑥	
令	令	liŋ	⑥	
另	另	liŋ	⑥	
吝	吝	liŋ	⑥	
躪	躏	liŋ	⑥	
藺	蔺	liŋ	⑥	
今	今	ʨiŋ	①	
經	经	ʨiŋ	①	～折：記錢物收支的折子
金	金	ʨiŋ	①	
禁	禁	ʨiŋ	①	～不住
襟	襟	ʨiŋ	①	
斤	斤	ʨiŋ	①	
巾	巾	ʨiŋ	①	
筋	筋	ʨiŋ	①	
莖	茎	ʨiŋ	①	
京	京	ʨiŋ	①	
荊	荆	ʨiŋ	①	
驚	惊	ʨiŋ	①	
精	精	ʨiŋ	①	～赤：赤裸
晶	晶	ʨiŋ	①	
睛	睛	ʨiŋ	①	
腈	腈	ʨiŋ	①	～肉：瘦肉
錦	锦	ʨiŋ	③ⓐ	
緊	紧	ʨiŋ	③ⓐ	
謹	谨	ʨiŋ	③ⓐ	
境	境	ʨiŋ	③ⓐ	
景	景	ʨiŋ	③ⓐ	
警	警	ʨiŋ	③ⓐ	
井	井	ʨiŋ	③ⓐ	
頸	颈	ʨiŋ	③ⓐ	～頭：脖子
竟	竟	ʨiŋ	⑤	
鏡	镜	ʨiŋ	⑤	
徑	径	ʨiŋ	⑤	
浸	浸	ʨiŋ	⑤	
禁	禁	ʨiŋ	⑤	～止
進	进	ʨiŋ	⑤	
晉	晋	ʨiŋ	⑤	
勁	劲	ʨiŋ	⑤	(又)～道：力量，興致
敬	敬	ʨiŋ	⑤	
侵	侵	ʨʰiŋ	①	
欽	钦	ʨʰiŋ	①	
親	亲	ʨʰiŋ	①	
卿	卿	ʨʰiŋ	①	
清	清	ʨʰiŋ	①	
輕	轻	ʨʰiŋ	①	
青	青	ʨʰiŋ	①	
蜻	蜻	ʨʰiŋ	①	
傾	倾	ʨʰiŋ	①	
衾	衾	ʨʰiŋ	①	
逡	逡	ʨʰiŋ	①	
寢	寝	ʨʰiŋ	③ⓑ	
請	请	ʨʰiŋ	③ⓑ	
頃	顷	ʨʰiŋ	③ⓑ	
撳	揿	ʨʰiŋ	⑤	～電鈴
慶	庆	ʨʰiŋ	⑤	
罄	罄	ʨʰiŋ	⑤	
沁	沁	ʨʰiŋ	⑤	
尋	寻	ʥiŋ	②	
琴	琴	ʥiŋ	②	
禽	禽	ʥiŋ	②	
擒	擒	ʥiŋ	②	
秦	秦	ʥiŋ	②	
勤	勤	ʥiŋ	②	～謹：勤勞
芹	芹	ʥiŋ	②	
鯨	鲸	ʥiŋ	②	
擎	擎	ʥiŋ	②	
情	情	ʥiŋ	②	
晴	晴	ʥiŋ	②	
瓊	琼	ʥiŋ	②	
旬	旬	ʥiŋ	②	
循	循	ʥiŋ	②	
巡	巡	ʥiŋ	②	
盡	尽	ʥiŋ	④	
近	近	ʥiŋ	④	
靜	静	ʥiŋ	④	冷～：寂寞冷清
靖	靖	ʥiŋ	④	
僅	仅	ʥiŋ	⑥	
儘	尽	ʥiŋ	⑥	
競	竞	ʥiŋ	⑥	
淨	净	ʥiŋ	⑥	～手：洗手
勁	劲	ʥiŋ	⑥	(又)～道
殉	殉	ʥiŋ	⑥	
心	心	ɕiŋ	①	
辛	辛	ɕiŋ	①	
新	新	ɕiŋ	①	
薪	薪	ɕiŋ	①	
欣	欣	ɕiŋ	①	
興	兴	ɕiŋ	①	作～：可能，允許
星	星	ɕiŋ	①	
腥	腥	ɕiŋ	①	～氣：未熟氣味兒
馨	馨	ɕiŋ	①	
省	省	ɕiŋ	③ⓐ	反～
醒	醒	ɕiŋ	③ⓐ	
☐	☐	ɕiŋ	③ⓐ	～～力：歇力
信	信	ɕiŋ	⑤	
釁	衅	ɕiŋ	⑤	
性	性	ɕiŋ	⑤	
訊	讯	ɕiŋ	⑤	
迅	迅	ɕiŋ	⑤	
興	兴	ɕiŋ	⑤	～來：熱鬧繁榮
壬	壬	ȵiŋ	②	
任	任	ȵiŋ	②	
吟	吟	ȵiŋ	②	
人	人	ȵiŋ	②	
仁	仁	ȵiŋ	②	杏～
銀	银	ȵiŋ	②	
凝	凝	ȵiŋ	②	
迎	迎	ȵiŋ	②	
寧	宁	ȵiŋ	②	
忍	忍	ȵiŋ	④	
認	认	ȵiŋ	⑥	記～：記號
閏	闰	ȵiŋ	⑥	又
韌	韧	ȵiŋ	⑥	～來咬勿動
蠅	蝇	ɦiŋ	②	
淫	淫	ɦiŋ	②	
寅	寅	ɦiŋ	②	
行	行	ɦiŋ	②	～為｜品～
盈	盈	ɦiŋ	②	
贏	赢	ɦiŋ	②	
嬴	嬴	ɦiŋ	②	
瀛	瀛	ɦiŋ	②	
形	形	ɦiŋ	②	
型	型	ɦiŋ	②	
刑	刑	ɦiŋ	②	
陘	陉	ɦiŋ	②	
營	营	ɦiŋ	②	
螢	萤	ɦiŋ	②	
引	引	ɦiŋ	④	
穎	颖	ɦiŋ	④	
幸	幸	ɦiŋ	④	
音	音	iŋ	①	
陰	阴	iŋ	①	
蔭	荫	iŋ	①	樹～
因	因	iŋ	①	
姻	姻	iŋ	①	
殷	殷	iŋ	①	
應	应	iŋ	①	～該
鷹	鹰	iŋ	①	
鶯	莺	iŋ	①	
鸚	鹦	iŋ	①	
櫻	樱	iŋ	①	
英	英	iŋ	①	
嬰	婴	iŋ	①	
纓	缨	iŋ	①	
☐	☐	iŋ	①	從縫隙往外看：讓我～～看
氤	氤	iŋ	①	
茵	茵	iŋ	①	
膺	膺	iŋ	①	
罌	罂	iŋ	①	
瓔	璎	iŋ	①	
縈	萦	iŋ	①	
瑛	瑛	iŋ	①	
洇	洇	iŋ	①	
湮	湮	iŋ	①	
癮	瘾	iŋ	③ⓐ	大～頭：對酒等極上癮
隱	隐	iŋ	③ⓐ	
允	允	iŋ	③ⓐ	
尹	尹	iŋ	③ⓐ	
影	影	iŋ	③ⓐ	～頭：苗頭
飲	饮	iŋ	③ⓐ	～食
☐	☐	iŋ	⑤	火熄滅
蔭	荫	iŋ	⑤	房間～來
飲	饮	iŋ	⑤	～馬
印	印	iŋ	⑤	
應	应	iŋ	⑤	響～
映	映	iŋ	⑤	
奔	奔	pəŋ	①	
崩	崩	pəŋ	①	
賁	贲	pəŋ	①	
本	本	pəŋ	③ⓐ	
畀	畀	pəŋ	③ⓐ	～伊給他：給他｜～伊打：讓他打，被他打
撥	拨	pəŋ	③ⓐ	
苯	苯	pəŋ	③ⓐ	
畚	畚	pəŋ	③ⓐ	
蹦	蹦	pəŋ	③ⓐ	
噴	喷	pʰəŋ	①	～水
烹	烹	pʰəŋ	①	
噴	喷	pʰəŋ	⑤	～香
☐	☐	bəŋ	②	～地：刨地｜掘樹～根
盆	盆	bəŋ	②	
笨	笨	bəŋ	④	
