#符号说明：-白=文/书*俗?待考	
#调值	［1］⁵³［2］³¹［3］⁴⁴［4］²²［5］³⁵［6］¹³［7］⁴［8］²
#ɿ	
β	［2］丸纨完烷韦伟违苇围=闱帏帷惟维潍为（做~）微薇回茴蛔洄迴徊桅=［4］纬［6］换胃谓蝟渭猬会（开~）绘卫为（~啥）位汇惠蕙伟纬炜玮韪慧伪=
ɗ	［1］堆呆=歹聃掂□（试水温）□（簸）［3］□（拉之使直）傣□□（拉扯）［5］对戴（姓）
tʰ	［1］胎苔（舌~）台（~甫）贪推㷟（~毛，禽兽毛）煺（~毛）［3］腿倓（从容）［5］退态褪探汰（淘~）
d	［2］蕁臺檯颱台枱抬苔（青泥~）潭（白龙~）坛惮昙颓罎［4］弟待怠玳萏□（~头，衣服上重叠的部分）□（积攒）［6］待（~媒，宴请媒人）怠代袋贷黛岱逮殆绐（失去弹性而下垂，床垫下陷）兑队
n	［1］喃［2］南楠男［3］乃郝赧［4］□（~泰，颜色深不易弄脏）［6］内耐（忍~）奈=（无~）氖鼐
l	［1］□（~堆，内心烦闷）累（~堆，累赘）［2］雷镭擂蕾嫘［3］累（~计）［4］儡垒耒诔［6］累（连~）类泪磊儡癗丽
ʦ	［1］灾哉栽占（~卜）沾霑詹瞻毡旃专砖颛［3］再展辗转（旋~，次数，一~）者簪崽［5］醉宰载转（~动，~圈）战再佔展寨
ʦʰ	［1］猜餐参（~观）川穿钏拴栓幨□（桌椅下方的横木）［3］采睬彩踩谄惨颤舛阐［5］菜串颤啐淬焠翠
s	［1］腮鳃衰疝闩奢栓膻毿［3］洗闪扇（一~门）洒=捨=陕［5］扇（~子）煽陕帅舍=（宿~，暗~，隐蔽）晒=赛塞（边~）寨碎搧
z	［2］才材财豺=裁蝉单（~于，姓）禅婵阐闉蟾船椽篅传（~说）擅然燃髯蚕湛缠侪［4］在（许~，房屋，住所）罪（~过）善蟮鳝墡（一种白色的土）缠（瞎~，纠~）冉苒篆染=□(~轉，手扭彎)［6］膳缮嬗赡传（~记）缠（~绵）在射=
k	［1］该垓赅（拥有）居（拥有财产）甘柑疳泔绀淦［3］改盖溉敢感㔶［5］感丐概溉盖锯-刉（~子，锯）寄（~信）□（痂，~头）
kʰ	［1］开龛砍堪勘戡［3］慨忾凯恺瞰□（倒下）磕（碰撞，碰倒）坎砍［5］慨勘阚墈去
g	［2］其渠戤（碰，惹，~勿起，碰不得）［4］䬵（饱嗝）［6］戤隑(倚靠)
ŋ	［1］癌俨岩崖-［2］呆獃衔-（~头）皑言［4］俨［6］艾碍
h	［1］憨酣虚䫲（浮肿）蚶柑顸鼾□（舀起）歛［3］海塰（外河~，小河外面的大河）许（许愿）许（承诺）醢
ɦ	［2］含孩骸函涵邯颔颏咸［4］菡亥骇［6］害憾撼
ø	［1］哀庵埃挨=唉鹌［3］掩淹揞暧毐□（吸干水分）［5］俺暗谙黯爱媛瑗霭蔼隘
#ie	
ɓ	［1］边编蝙鳊煸鞭煸砭［3］扁匾贬［5］变遍（一~）贬煸徧
pʰ	［1］偏篇翩遍［5］片骗遍（~地）
b	［2］便（~宜）骈［4］卞汴弁辨辩辫［6］便（方~）骈卞汴弁
m	［2］棉绵眠［3］勉（~励）［4］免勉（~强）娩冕缅湎丏沔渑［6］面麺
