音標	調類	調值	
təu	1	22	都豬諸誅蛛株朱硃珠周舟州洲
təu	3	53	堵賭肚煑拄主矩肘帚
təu	5	213	妬註注蛀鑄晝咒
təu	7	45	篤督竹祝粥燭囑築
tɤ	1	22	沾粘占專磚
tɤ	3	53	展輾短轉
tɤ	5	213	佔戰轉
tɤ	7	45	折汁執織職摺褶浙揭端掇掇
tɔ	1	22	遮
tɔ	3	53	打
tɔ	5	213	蔗
tʊ	1	22	多
tʊ	3	53	朶躱
tʊ	5	213	刴
tʊ	7	45	着酌
tsa	1	22	災栽齋
tsa	3	53	宰載
tsa	5	213	再載債
tsa	7	45	劄眨炸札紮鍘
tsau	1	22	遭糟昭
tsau	3	53	早棗蚤澡爪找沼
tsau	5	213	躁竃罩
tsɑŋ	1	22	贓髒莊装樟樁爭（白）睜（白）
tsɑŋ	5	213	葬帳賬壯
tsən	1	22	爭（文）簪榛臻尊遵箏貞偵椶鬃宗綜終蹤
tsən	3	53	縂
tsən	5	213	粽鎮震政糉縱縱
tsəu	1	22	租
tsəu	3	53	組阻
tsəu	5	213	做皺
tsɤ	7	45	卒
tsɔ	1	22	査渣髽抓
tsɔ	5	213	詐榨炸
tsɔ	7	45	閘窄摘
tsɿ	1	22	知蜘資知支枝肢梔資姿咨脂茲滋輜之芝
tsɿ	3	53	祖紫紙只姊旨子梓滓止址
tsɿ	5	213	制製智翅致至置志誌痣
tsʊ	3	53	左
tsʊ	7	45	作著桌
tɕi	1	22	雞稽飢肌基幾機譏饑錐屐
tɕi	3	53	擠几己紀幾嘴給
tɕi	5	213	祭際濟劑計繼繫髻最贅寄冀記忌旣醉季
tɕi	7	45	急級吉即戟積績擊激鯽
tɕin	1	22	今金禁襟津巾斤筋莖京荆驚鲸精晶經
tɕin	3	53	錦儘緊僅謹景警迥
tɕin	5	213	浸禁進晉勁俊境敬竟競勁徑經
tɕiɑŋ	1	22	將漿疆僵薑繮姜江睛（白）
tɕiɑŋ	3	53	蔣獎槳講（文）井（白）頸（白）
tɕiɑŋ	5	213	醬將降鏡（白）
tɕiəu	1	22	揫鬏鳩鬮糾糾
tɕiəu	3	53	酒九
tɕiəu	5	213	救究
tɕiəu	7	45	菊掬足
tɕiɛ	1	22	監尖殲兼艱奸煎箋肩堅曾增
tɕiɛ	3	53	鹻檢儉簡柬剪繭趼筧姐（文）
tɕiɛ	5	213	鑑監艦劍諫澗鐧箭濺建薦見憎
tɕiɛ	7	45	接節截結劫潔責
tɕiɔ	1	22	加嘉傢佳
tɕiɔ	3	53	賈假姐（白）
tɕiɔ	5	213	嫁價借藉
tɕiɔ	7	45	夾甲跡脊
tɕiʊ	1	22	郊膠焦蕉椒驕嬌澆鄒鉤
tɕiʊ	3	53	絞狡鉸攪剿矯繳僥走餃狗
tɕiʊ	5	213	教校較叫奏覺（文）
tɕiʊ	7	45	腳角
u	1	22	烏枯汚巫誣
u	2	21	吳無
u	3	53	苦午武舞侮鵡
u	5	213	庫褲惡（可~）
u	6	44	誤悟務霧
u	7	45	哭屋褥
ua	1	22	歪彎灣
ua	2	21	玩頑還
ua	3	53	塊晚挽
ua	5	213	塊會劊塊快筷
ua	6	44	外萬
ua	7	45	滑猾挖襪
uɑŋ	1	22	汪匡筐眶
uɑŋ	2	21	黃狂亡王橫（白）
uɑŋ	3	53	網輞枉往
uɑŋ	6	44	忘妄望旺逛橫（白）
uən	1	22	溫翁昆崑坤瘟
uən	2	21	文紋蚊聞
uən	5	213	困
uən	6	44	問
uɤ	1	22	寬豌
uɤ	2	21	完
uɤ	3	53	款皖碗腕
uɤ	6	44	換
uɤ	7	45	闊活物廓
uɔ	1	22	誇蛙蛙
uɔ	3	53	瓦侉垮
uɔ	5	213	跨
uɔ	6	44	話
uʊ	1	22	倭窩蝸
uʊ	2	21	禾
uʊ	6	44	臥
vi	1	22	巨距區驅煨炊虧窺危微威淤
vi	2	21	渠（~道）余餘瞿逾回垂為槌錘逵葵維惟唯違圍於于愉
vi	3	53	渠雨跪偽萎委偉葦與宇禹羽
vi	5	213	潰餧愧畏慰
vi	6	44	拒預具懼芋衛銳為位未味魏緯胃御禦譽愈喻裕
vi	7	45	玉獄熨
vin	2	21	勻裙雲羣云
vin	5	213	韻
vin	6	44	運熨暈孕
viɛ	1	22	圈冤
viɛ	2	21	茄權圓原園員緣沿鉛元源袁轅援丸拳顴
viɛ	3	53	犬遠阮
viɛ	5	213	勸券怨
viɛ	6	44	圈院願
