"k"	"［1］该［3］改［5］盖"	""	""	""	""	""	""
"kʰ"	"［1］开［3］凯［5］概溉慨"	""	""	""	""	""	""
"ŋ"	"［1］哀［2］桅［3］蔼［5］爱［6］碍"	""	""	""	""	""	""
"h"	"［2］孩［3］海［5］许?{不定指，哪：～里}［6］亥"	""	""	""	""	""	""
"∅"	"［3］箇?{这}"	""	""	""	""	""	""
"#uɔi"	""	""	""	""	""	""	""
"ɸ"	"［1］灰恢"	""	""	""	""	""	""
"∅"	"［1］煨［2］回{～礼，～心转意}［6］会{不～}"	""	""	""	""	""	""
"#ui"	""	""	""	""	""	""	""
"ɸ"	"［1］非飞妃挥辉徽嘘虚墟［2］回茴肥迴［3］匪毁贿许翡{～翠}［5］费悔晦废肺痱{～子}［6］惠汇会={开～}慧"	""	""	""	""	""	""
"k"	"［1］归龟规圭闺拘居车{～马炮}［3］鬼轨诡举［5］贵桂跪={下～}鳜桧句据"	""	""	""	""	""	""
"kʰ"	"［1］亏魁区驱拒距［2］逵葵瞿渠［3］跪{用膝盖顶住对方身体（用于打架、捉人）：～人家}［5］愧溃去=［6］具俱惧巨柜"	""	""	""	""	""	""
"∅"	"［1］煨=［2］唯惟微维逾围违移夷姨［3］伟苇［5］讳［6］为作{～，～什么}位伪纬未味喻预卫胃谓蝟誉豫榆愉"	""	""	""	""	""	""
"#au"	""	""	""	""	""	""	""
"p"	"［1］包褒胞［3］保宝堡饱［5］报豹爆"	""	""	""	""	""	""
"pʰ"	"［1］抛［2］袍鲍［3］跑［5］炮泡{水～，～在水里}［6］抱暴范鲍{姓}"	""	""	""	""	""	""
"m"	"［2］毛矛茅锚［3］卯［5］猫{又}［6］冒帽貌"	""	""	""	""	""	""
"t"	"［1］刀［3］祷岛倒捣［5］到倒{～水}"	""	""	""	""	""	""
"tʰ"	"［1］滔［2］桃逃淘萄涛掏［3］讨［5］套导［6］道稻盗"	""	""	""	""	""	""
"l"	"［1］捞唠［2］劳牢痨{～病}铙［3］脑恼老［5］□{～人：用话套出别人的话}［6］闹"	""	""	""	""	""	""
"ts"	"［1］遭糟䐬{干，脆}［3］早蛋枣澡爪找［5］灶躁燥罩"	""	""	""	""	""	""
"tsʰ"	"［1］操抄钞［2］曹槽巢［3］草吵炒［5］糙{～米，粗～}［6］造皂"	""	""	""	""	""	""
"s"	"［1］骚臊{尿～气}［2］□{乱跳，乱蹬：鱼在网里～；莫在被窝里～}［3］嫂稍［5］扫{～地，～帚}潲"	""	""	""	""	""	""
"k"	"［1］交郊胶高膏篙羔糕［3］绞狡搞稿［5］教{～书，～育}校{～对}窖觉{睏～}告较{试：～下脚；比试：～手劲}珓{～哩：占卜用具}"	""	""	""	""	""	""
"kʰ"	"［1］敲犒［3］考巧［5］靠［6］搅"	""	""	""	""	""	""
"ŋ"	"［1］□{用棍棒打：～人}［2］熬［3］咬袄［5］奥懊坳{山～}［6］傲"	""	""	""	""	""	""
"h"	"［2］豪毫壕［3］好{～坏}［5］孝耗好{喜～}［6］效校{学～；上～}号浩"	""	""	""	""	""	""
"#iau"	""	""	""	""	""	""	""
"∅"	"［2］饶桡{～哩：一种小桨}［6］扰绕"	""	""	""	""	""	""
"#ɛu"	""	""	""	""	""	""	""
"m"	"［2］谋［3］某亩牡［6］茂贸"	""	""	""	""	""	""
"t"	"［1］兜蔸［3］斗陡抖［5］斗{～争}鬥"	""	""	""	""	""	""
"tʰ"	"［1］偷［2］头投［3］㪗{～开，～气}［5］透逗{～得人家笑}［6］豆"	""	""	""	""	""	""
"l"	"［1］抠-眍{眼～下去}𠞭{～空，～个眼}［2］楼揉□{贪得无厌：渠真～}［3］搂篓［6］漏陋"	""	""	""	""	""	""
"ts"	"［1］邹［3］走［5］奏皱绉"	""	""	""	""	""	""
"tsʰ"	"［1］𫼝{～起来}［2］愁［5］凑［6］骤"	""	""	""	""	""	""
"s"	"［1］搜飕馊［2］□{～饭：用筷子往口里扒饭}［3］叟［5］瘦嗽{咳～}"	""	""	""	""	""	""
"tʃ"	" ［1］朝{今～}昭招［3］沼［5］照"	""	""	""	""	""	""
"tʃʰ"	"［1］超［2］朝{～代}潮［6］赵兆召{号~}"	""	""	""	""	""	""
"ʃ"	"［1］烧［2］韶［3］少{多～}［5］少{～年}［6］邵绍"	""	""	""	""	""	""
"k"	"［1］勾沟钩［3］狗苟［5］够购构"	""	""	""	""	""	""
"kʰ"	"［1］抠［3］口［5］扣{~留}寇"	""	""	""	""	""	""
"ŋ"	"［1］欧瓯殴［2］□{～算：心算}［3］藕偶{～然，配～}呕［5］沤{～田}熰{焐着使暖：～脚， ～水}"	""	""	""	""	""	""
