漢字	雲陽話	訪仙話	河陽話	埤城話
裏裏面	lɿ25	lɿ325	lɿ31	nɿ25
理	lɿ25	lɿ325	lɿ24	nɿ25
鯉	lɿ31	lɿ55	lɿ31	nɿ25
子	ʦɿ55	ʦɿ41	ʦɿ55	ʦɿ25
似	sɿ31	sɿ325	sɿ31	sɿ51
祀	sɿ31	sɿ434	sɿ31	sɿ51
巳		sɿ325	sɿ31	sɿ51
恥	ʦʰɿ55	ʦʰɿ41	ʦʰɿ24	ʦʰɿ25
痔	ʦɿ31	ʦɿ31	ʦɿ31	ʦɿ51
滓	ʦɿ55	ʦɿ55	ʦɿ31	ʦəʔ44
士	sɿ31	sɿ325	sɿ31	sɿ51
仕	sɿ31	sɿ31	sɿ31	sɿ51
柿	sɿ31	sɿ31	sɿ31	sɿ51
使	sɿ55	sɿ55	sɿ24	sɿ51
史	sɿ55	sɿ55	sɿ55	sɿ51
駛	sɿ55	sɿ55	sɿ24	sɿ51
止	ʦɿ55	ʦɿ55	ʦɿ55	ʦɿ33
趾	ʦɿ55	ʦɿ55	ʦɿ55	ʦɿ33
址	ʦɿ55	ʦɿ55	ʦɿ55	ʦɿ33
齒	ʦʰɿ55	ʦʰɿ41	ʦʰɿ55	ʦʰɿ25
始	sɿ31	sɿ41	sɿ31	sɿ25
市	sɿ31	sɿ31	sɿ31	sɿ51
恃	sɿ31	sɿ325	sɿ31	sɿ51
耳	ᴇ55	nɿ55、白讀æ55	ᴇ31	ɯ25
紀	ʨɿ55	ʨɿ41	ʨɿ31	ʨɿ51
起	ʨʰɿ25	ʨʰɿ41	ʨʰɿ55	ʨʰɿ25
杞	ʨʰɿ25	ɕɿ55	ʨɿ31	ʨɿ51
擬	nɿ25	nɿ325	nɿ31	nɿ51
喜	ɕɿ55	ɕɿ41	ɕɿ55	ɕɿ33
已	ɿ25	ɿ434	ɿ24	ɿ25
以	ɿ55	ɿ434	ɿ31	ɿ25
吏	lɿ31	lɿ31	lɿ31	lɿ25
字	ʦɿ31	sɿ325	ʦɿ31	ʦɿ41
伺	sɿ31		sɿ31	sɿ41
思	sɿ22	sɿ55	sɿ33	sɿ41
寺	sɿ31	sɿ325	sɿ31	sɿ41
嗣	sɿ31	sɿ55	sɿ31	sɿ41
飼	sɿ31	sɿ325	sɿ31	sɿ41
置	ʦɿ424	ʦɿ434	ʦɿ31	ʦɿ41
治	ʦɿ31	ʦɿ325	ʦɿ31	ʦɿ41
廁	ʦʰəʔ44	ʦʰəʔ44	ʦʰəʔ33	ʦʰəʔ44
事	sɿ31	sɿ31	sɿ31	sɿ41
志	ʦɿ424	ʦɿ55	ʦɿ31	ʦɿ41
志（永志不忘）	ʦɿ424	ʦɿ55	ʦɿ31	ʦɿ41
痣	ʦɿ424	ʦɿ41	ʦɿ24	ʦɿ41
試	sɿ31	sɿ434	sɿ31	sɿ41
侍	sɿ31	sɿ31	sɿ31	sɿ41
餌	ᴇ25	æ434	ᴇ24	ɯ25
記	ʨɿ424	ʨɿ434	ʨɿ31	ʨɿ25
忌	ʨɿ31	ʨɿ434	ʨɿ31	ʨɿ25
意	ɿ424	ɿ434	ɿ31	ɿ41
異	ɿ31	ɿ325	ɿ31	ɿ25
幾幾乎	ʨɿ22	ʨɿ55	ʨɿ33	ʨɿ33
機	ʨɿ22	ʨɿ55	ʨɿ33	ʨɿ41
譏	ʨɿ22	ʨɿ55	ʨɿ33	ʨɿ41
饑（饑荒）	ʨɿ22	ʨɿ55	ʨɿ33	ʨɿ41
祈	ʨʰɿ15	ʨɿ31	ʨʰɿ24	ʨʰɿ215
沂（沂河）	ɿ15	ɿ325	ɿ24	ɿ215
希	ɕɿ22	ɕɿ41	ɕɿ33	ɕɿ41
稀	ɕɿ22	ʨɿ41	ɕɿ33	ɕɿ41
衣	ɿ22	ɿ55	ɿ33	ɿ41
依	ɿ22	ɿ31	ɿ33	ɿ41
幾（幾箇）	ʨɿ55	ʨɿ41	ʨɿ55	ʨɿ33
豈	ʨʰɿ25	ʨʰɿ41	ʨʰɿ24	ʨʰɿ214
既	ʨɿ31	ʨɿ55	ʨɿ51	ʨɿ31
氣	ʨʰɿ424	ʦʰɿ434	ʨʰɿ51	ʨʰɿ213
汽	ʨʰɿ424	ʦʰɿ434	ʨʰɿ51	ʨʰɿ213
毅	ɿ31	ɿ31	ɿ51	ɿ31
隨	suᴇ25	sɘi325	suᴇ24	sue25
吹	ʦʰu33	ʦʰʮ55	ʦʰʮ33	ʨʰye51
炊	ʦʰuᴇ33	ʨʰyɘi55	ʦʰuᴇ33	ʨʰye51
垂	ʦʰuᴇ31	ɕyɘi325	ʦʰuᴇ24	ʨʰye25
規	kuᴇ33	kuɘi55	kuᴇ33	kue51
虧	kʰuᴇ33	kʰuɘi55	kʰuᴇ33	kʰue51
窺	kʰuᴇ33	kʰuɘi55	kʰuᴇ33	kʰue25
危	uᴇ31	uɘi31	uᴇ31	ue25
麾	xuᴇ33		xuᴇ33	xue51
萎	uᴇ25	uɘi434		ue25
為（作為）	uᴇ25	uɘi31	uᴇ24	ue51
累（積累）	lᴇ25	lɘi55	lᴇ24	lue25
嘴	ʦʮ55	ʨɿ41	ʨʮ55	ʨye33
髓	suᴇ25	ɕyɘi325	suᴇ24	ɕye25
揣（揣度）	ʦʰuæ55	ʦʰuai41	ʦʰuæ55	ʨʰyæ51
蕊	lᴇ25	luɘi434	lᴇ24	lue51
詭	kuᴇ55	kuɘi41	kuᴇ31	kue51
跪	kuᴇ31	kuɘi325	kuᴇ31	kue51
毀	xuᴇ424	xuɘi41	xuᴇ24	xue33
累（連累）	lᴇ424	lɘi41	lᴇ55	lue41
瑞	luᴇ31	ɕyɘi325	suᴇ24	lue41
偽	uᴇ25	uɘi434	uᴇ31	ue25
喂（嘆詞）	uᴇ31	uɘi41	uᴇ31	ue51
為（為什麼）	uᴇ31	uɘi31	uᴇ31	ve41
雖	suᴇ33	ɕyɘi434	suᴇ33	ɕye51
綏	suᴇ25	ɕyɘi325/ɕɿ55	suᴇ24	ɕye25
追	ʦuᴇ33	ʨyɘi55	ʨyᴇ33	ʨye51
槌	ʦu31	ʦʮ31	ʨʮ24	ʨye25
錘	ʦʰuᴇ25	ʦuɘi31	ʨʰuᴇ24	ʨye25
衰	suæ33	ɕyai55	suæ33	ɕyæ51
摔	suæ33	ɕyai55	suæ33	ɕyæ51
錐	ʦʮ33	ʨyɘi325	ʦuᴇ33	ʨye51
龜	kuᴇ33	kuɘi55	kuᴇ33	kue51
逵	kʰuᴇ25	kuɘi55	kʰuᴇ24	kʰue25
葵	kʰuᴇ25	kuɘi31	kʰuᴇ24	kʰue25
維	uᴇ25	uɘi325	uᴇ24	ue25
惟	uᴇ25	uɘi434	uᴇ24	ue25
壘	lᴇ25	lɘi325	lᴇ24	
水	su55	ɕʮ41	sʮ55	ɕye33
軌	kuᴇ55	kuɘi55	kuᴇ55	kue51
癸		kʰuɘi55	kʰuᴇ24	kue51
唯	uᴇ31	uɘi434	uᴇ24	ue25
類	lᴇ31	lɘi325	lᴇ31	lue41
醉	ʦʮ424	ʨɿ434	ʨɿ31	ʨye25
翠	ʦʰuᴇ424	ʦʰuɘi434	ʨʰuᴇ31	ʨʰye41
粹	suᴇ31	ʨʰyɘi41	ɕyᴇ31	ɕye41
隧	suᴇ31	ɕyɘi31	ɕyᴇ31	ɕye25
穗	suᴇ31	ɕyɘi31	ɕɿ31	ɕɿ41
墜	ʦuᴇ31		ʨyᴇ31	ʨye25
帥	suæ31	ɕyai434	ɕyæ31	ʨyæ25
愧	kʰuᴇ424	kʰuɘi434	kʰuᴇ31	kʰue41
季	ʨɿ424	ʨɿ434	ʨɿ31	ʨɿ41
櫃	kuᴇ31	kuɘi31	kuᴇ31	kue41
位	uᴇ31	uɘi31	uᴇ31	ue41
非	fɿ22	fɿ55	fᴇ33	fe41
飛	fɿ22	fɿ55	fɿ33	fe41
妃	fɿ22	fɿ55	fᴇ33	fe41
肥	fɿ15	fɿ31	fɿ24	fe215
微	uᴇ22	uɘi55	uᴇ33	ue215
歸	kuᴇ22	kuɘi55	kuᴇ33	kue41
揮	xuᴇ22	xuɘi55	xuᴇ33	xue41
輝	xuᴇ22	xuɘi55	xuᴇ33	xue41
徽	xuᴇ22	xuɘi55	xuᴇ33	xue41	
威	uᴇ22	uɘi55	uᴇ33	ue41
違	uᴇ31	uɘi31	uᴇ31	ue215
圍	uᴇ22	uɘi31	uᴇ31	ue215
匪	fɿ25	fɿ41	fᴇ24	fe214
尾	mɿ55	mɿ55白讀、uɘi55文讀	mɿ51	ve214
鬼	kuᴇ55	kuɘi41	kuᴇ55	kue33
偉	uᴇ25	uɘi434	uᴇ24	ve214
葦	uᴇ25	uɘi325	uᴇ24	ve214
痱	fɿ424	pai31		pæ31
費（費用）	fɿ424	fɿ434	fɿ51	fe213
翡	fᴇ31	fɘi434	fᴇ24	fe213
未	uᴇ31	uɘi434	uᴇ51	ue31
味	uᴇ31	mɿ31	mɿ51	ue31
貴	kuᴇ424	kuɘi434	kuᴇ24	kue33
魏	uᴇ31	uɘi434	uᴇ51	ue41
諱	xuᴇ25	xuɘi434	xuᴇ51	xue31
慰	uᴇ31	uɘi434	uᴇ51	ue213
緯	uᴇ25	uɘi55	uᴇ24	ue213
胃	uᴇ31	uɘi325	uᴇ51	ue31
謂	uᴇ55	uɘi434	uᴇ51	ue31
蝟	uᴇ25	uɘi55	uᴇ51	ue213
匯	xuᴇ31	uai434	xuᴇ51	xue31
褒	pɔ33	paɔ41	pɔ33	pɔ33
袍	pɔ25	paɔ31	pɔ31	pʰɔ25
毛	mɔ31	maɔ55	mɔ33	mɔ25
刀	tɔ33	taɔ55	tɔ33	tɔ51
叨	tɔ33	taɔ55	tɔ33	tɔ51
滔	tʰɔ33	tʰaɔ55	tʰɔ33	tʰɔ51
掏	tʰɔ33	tʰaɔ55	tʰɔ33	tʰɔ51
桃	tɔ25	taɔ31	tɔ31	tɔ25
逃	tɔ25	taɔ31	tɔ31	tʰɔ25
淘	tɔ25	taɔ31	tɔ24	tɔ25
陶	tɔ25	taɔ31	tɔ31	tʰɔ25
萄	tɔ25	taɔ31	tɔ33	tɔ25
濤	tʰɔ33	tʰaɔ55	tʰɔ33	tʰɔ25
勞	lɔ33	laɔ31	lɔ24	lɔ25
撈	lɔ33	laɔ55	lɔ33	lɔ51
牢	lɔ31	laɔ55	lɔ33	lɔ51
嘮	lɔ33	laɔ55	lɔ33	lɔ51
遭	ʦɔ33	ʦaɔ55	ʦɔ33	ʦɔ51
糟	ʦɔ33	ʦaɔ55	ʦɔ33	ʦɔ51
操	ʦʰɔ33	ʦʰaɔ55	ʦʰɔ33	ʦʰɔ51
曹	ʦʰɔ33	saɔ31	ʦʰɔ24	ʦʰɔ25
槽	ʦɔ25	saɔ31	ʦʰɔ33	sɔ25
騷	sɔ33	saɔ55	sɔ33	sɔ51
臊	sɔ33	saɔ41	sɔ33	sɔ51
高	kɔ33	kaɔ55	kɔ33	kɔ51
膏	kɔ33	kaɔ55	kɔ33	kɔ51
篙	kɔ33	kaɔ55	kɔ33	kɔ51
羔	kɔ33	kaɔ55	kɔ33	kɔ51
糕	kɔ33	kaɔ55	kɔ33	kɔ51
熬	ŋɔ33	ŋaɔ55	ŋɔ33	ŋɔ51
蒿	xɔ33	xaɔ55	xɔ33	xɔ51
豪	xɔ25	xaɔ31	xɔ24	xɔ25
壕	xɔ25	xaɔ31	xɔ24	xɔ25
毫	xɔ31	xaɔ31	xoŋ31/xɔ24	xɔ25
號（呼號）	xɔ31	xaɔ31	xɔ24	xɔ51
熬（熬白菜）	ŋɔ33	ŋaɔ55	ɔ33	ŋɔ51
保	pɔ55	paɔ41	pɔ55	pɔ33
堡	pɔ55	paɔ41	pɔ24	pɔ51
寶	pɔ55	paɔ41	pɔ55	pɔ25
抱	pɔ25	paɔ325	pɔ31	pɔ25
禱	tɔ55	taɔ41	tɔ24	tɔ51
島	tɔ55	taɔ41	tɔ55	tɔ33
倒（打倒）	tɔ55	taɔ41	tɔ24	tɔ33
討	tʰɔ55	tʰaɔ434	tʰɔ55	tʰɔ25
道	tɔ31	taɔ325	tɔ31	tɔ51
稻	tɔ25	taɔ325	tɔ24	tɔ25
腦	nɔ55	naɔ55	nɔ24	nɔ25
惱	nɔ55	naɔ55	nɔ24	nɔ25
老	lɔ25	laɔ325	lɔ24	lɔ25
早	ʦɔ55	ʦaɔ41	ʦɔ55	ʦɔ33
棗	ʦɔ55	ʦaɔ41	ʦɔ31	ʦɔ33
蚤	ʦɔ55		ʦɔ55	ʦɔ33
澡	ʦɔ55	ʦaɔ41	ʦɔ55	ʦɔ33
草	ʦʰɔ55	ʦʰaɔ41	ʦʰɔ55	ʦʰɔ25
草（雌性,草雞）	ʦʰɔ55	ʦʰaɔ41	ʦʰɔ55	ʦʰɔ25
皂	ʦɔ55	saɔ325	ʦɔ31	ʦɔ33
造	ʦɔ31	saɔ325	ʦɔ31	ʦɔ41
掃（掃地）	sɔ55	saɔ41	sɔ55	sɔ33
嫂	sɔ55	saɔ41	sɔ31	sɔ25
稿	kɔ55	kaɔ41	kɔ55	kɔ33
考	kʰɔ55	kʰaɔ41	kʰɔ55	kʰɔ25
烤	kʰɔ55	kʰaɔ41	kʰɔ55	kʰɔ25
好（好壞）	xɔ55	xaɔ41	xɔ55	xɔ33
浩	xɔ31	xaɔ325	xɔ31	xɔ51
襖	ɔ55	aɔ41	ɔ24	iɔ33
懊	ɔ31	aɔ55	ɔ31	ɔ51
報	pɔ424	paɔ434	pɔ31	pɔ25
暴	pɔ31	paɔ325	pɔ31	pɔ41
冒	mɔ31	maɔ434	mɔ31	mɔ41
帽	mɔ31	maɔ434	mɔ31	mɔ41
到	tɔ424	taɔ434	tɔ31	tɔ41
倒（倒水）	tɔ424	taɔ434	tɔ31	tɔ33
套	tʰɔ31	tʰaɔ434	tʰɔ31	tʰɔ41
盜	tɔ25	taɔ325	tɔ24	tɔ41
導	tɔ31	taɔ325	tɔ24	tɔ25
澇（旱澇）	lɔ31	laɔ55	lɔ31	lɔ41
躁	ʦɔ424	saɔ41	ʦɔ31	ʦʰɔ41
灶	ʦɔ424	ʦaɔ434	ʦɔ31	ʦɔ41
糙（粗糙）	ʦʰɔ55	saɔ434	ʦʰɔ31	ʦʰɔ41
掃（掃帚）	sɔ55	saɔ55	sɔ55	sɔ41
告	kɔ424	kaɔ434	kɔ31	kɔ41
膏（膏車,膏油）	kɔ424	kaɔ434		kɔ41
靠	kʰɔ424	kʰaɔ434	kʰɔ31	kʰɔ41
犒	kʰɔ424	kʰaɔ41	kʰɔ31	kʰɔ41
傲	ŋɔ55	ŋaɔ55	ŋɔ31白讀、ɔ31文讀	ŋɔ41
好（喜好）	xɔ424	xaɔ41	xɔ31	xɔ41
耗	xɔ424	xaɔ325	xɔ31	xɔ41
號（號數）	xɔ31	xaɔ325	xɔ31	xɔ41
奧	ɔ31	aɔ434	ɔ31	ɔ41
懊（懊悔）	ɔ424	aɔ434	ɔ31	ɔ41
包	pɔ33	paɔ55	pɔ33	pɔ51
胞	pɔ33	paɔ55	pɔ33	pɔ51
泡	pʰɔ33	pʰaɔ434	pʰɔ24	pʰɔ51
拋	pʰɔ33	pʰaɔ55	pʰɔ33	pʰɔ51
跑	pə33	paɔ31	pəu33	pɔ25
刨	pɔ33	paɔ31	pɔ24	
麅	pɔ31	paɔ31	pɔ24	
茅	mɔ33	maɔ31	mɔ24	mɔ25
貓（貓腰）	miɔ33		miɔ33	miɔ25
錨	mɔ31	maɔ55	mɔ24	mɔ25
撓	nɔ25		nɔ24	nɔ25
抓	ʦuɑ33	ʨya55	ʨyɑ33	ʨyᴀ51
鈔（略取）	ʦʰɔ33	ʦʰaɔ55	ʦʰɔ33	ʦʰɔ51
鈔	ʦʰɔ33	ʦʰaɔ55	ʦʰɔ33	ʦʰɔ25
巢	ʦʰɔ25	saɔ31	ʦʰɔ24	ʦʰɔ25
梢	sɔ33	saɔ55	sɔ33	sɔ51
捎	sɔ33	saɔ55	sɔ33	sɔ51
交	kɔ33	kaɔ55白讀、ʨiaɔ55文讀	ʨiɔ33	ʨiɔ51
郊	ʨiɔ33	ʨiaɔ55	ʨiɔ33	ʨiɔ51
膠	kɔ33	kaɔ55	kɔ33	ʨiɔ51
教（教書）	kɔ33	kaɔ31	kɔ24	kɔ25
敲	kʰɔ33	kʰaɔ55	kɔ33	ʨʰiɔ51
淆	ɕiɔ31	ɕiaɔ31	ʨiɔ24	ɕiɔ51
坳（山坳）	ʊ33	aɔ55	iɔ31	u25
飽	pɔ55	paɔ41	pɔ55	pɔ33
鮑（姓,鮑魚）	pɔ31	paɔ55	pɔ55	pɔ51
卯		maɔ55	mɔ24	mɔ25
爪（爪牙,爪子）	ʦuɑ55	ʦaɔ41	ʦuɑ24	ʨyᴀ51
找	ʦɔ55	ʦaɔ41	ʦɔ55	ʦɔ33
炒	ʦʰɔ55	ʦʰaɔ41	ʦʰɔ55	ʦʰɔ25
吵	ʦʰɔ55	ʦʰaɔ41	ʦʰɔ55	ʦʰɔ51
絞（絞車）	ʨiɔ55	ʨiaɔ41	kɔ55	kɔ33
狡	ʨiɔ55	ʨiaɔ41	ʨiɔ55	ʨiɔ51
鉸（鉸刀，鉸子）	kɔ55	ʨiaɔ41	ʨiɔ24	kɔ33
攪	ʨiɔ55	kaɔ41	lɔ24	ʨiɔ25
搞(攪)	kɔ55	kaɔ41	kɔ24	kɔ33
巧	ʨʰiɔ55	ʨʰiaɔ41	ʨʰiɔ55	ʨʰiɔ25
咬	ŋɔ25	ŋaɔ325	ŋɔ24	ŋɔ25
豹	pɔ424	paɔ41	pɔ31	pɔ41
爆	pɔ424	paɔ325	pɔ31	pɔ41
礮（槍礮）	pʰɔ424	pʰaɔ434	pʰɔ31	pʰɔ41
泡（泡在水裏）	pʰɔ424	pʰaɔ434	pʰɔ31	pʰɔ41
刨（刨平,刨光）	pɔ31	paɔ325	pɔ31	pɔ41
貌	mɔ31	maɔ41	mɔ31	mɔ41
鬧	nɔ31	naɔ325	nɔ31	nɔ41
罩	ʦɔ424	ʦaɔ434	ʦɔ31	ʦɔ41
笊（笊籬）	ʦɔʔ44		ʦɔ55	ʦɔ41
稍	sɔ424	saɔ41	sɔ31	sɔ41
教（教育,教他去）	ʨiɔ424	ʨiaɔ434	kɔ31	ʨiɔ25
校（校對）	ʨiɔ424	ʨiaɔ434	kɔ31	ʨiɔ25
較	ʨiɔ424	ʨiaɔ434	ʨiɔ31	ʨiɔ41
酵	ɕiɔ424	ɕiaɔ434	ʨiɔ31	ɕiɔ41
窖	ʨiɔ424	ʨiaɔ41	kɔ31	iɔ25
覺（睡覺）	kɔ424	kaɔ434	kɔ24	kɔ41
孝	ɕiɔ424	ɕiaɔ434	ɕiɔ31	ɕiɔ25
效	ɕiɔ31	ɕiaɔ325	ɕiɔ31	ɕiɔ41
校（學校）	ɕiɔ31	ɕiaɔ31	ʨiɔ31	ɕiɔ41
校(上校)	ɕiɔ31	ɕiaɔ31	ɕiɔ31	ɕiɔ41
膘(肥膘)	piɔ33	piaɔ55	piɔ33	piɔ51
標	piɔ33	piaɔ55	piɔ33	piɔ51
飄	pʰiɔ33	pʰiaɔ55	pʰiɔ33	pʰiɔ51
瓢	piɔ25	piaɔ31	piɔ24	piɔ25
嫖	piɔ25	piaɔ31	piɔ24	piɔ25
苗	miɔ33	miaɔ55	miɔ33	miɔ25
描	miɔ33	miaɔ55	miɔ31	miɔ25
貓	miɔ33	miaɔ55	miɔ33	miɔ25
燎(燎荒，燎原)	liɔ25	liaɔ31	liɔ24	liɔ25
焦	ʨiɔ33	ʨiaɔ55	ʨiɔ33	ʨiɔ51
蕉(芭蕉,香蕉)	ʨiɔ33	ʨiaɔ55	ʨiɔ33	ʨiɔ51
椒	ʨiɔ33	ʨiaɔ55	ʨiɔ33	ʨiɔ51
鍬	ʨʰiɔ33	ʨʰiaɔ55	ʨʰiəu33	ʨʰiɔ51
繰	kʰɔ33	kʰaɔ55	kɔ33	ʨʰiɔ51
樵	ʨiɔ31		ʨʰiɔ33	ʨʰiɔ25
瞧	ʨiɔ25		ʨʰiɔ24	ʨʰiɔ25
消	ɕiɔ33	ɕiaɔ55	ɕiɔ33	ɕiɔ51
宵	ɕiɔ33	ɕiaɔ55	ɕiɔ33	ɕiɔ51
霄	ɕiɔ33	ɕiaɔ55	ɕiɔ33	ɕiɔ51
硝	ɕiɔ33	ɕiaɔ55	ɕiɔ33	ɕiɔ51
銷	ɕiɔ33	ɕiaɔ55	ɕiɔ33	ɕiɔ51
朝(今朝)	ʦɔ33	ʦaɔ55	ʦɔ33	ʨiɔ51
超	ʦʰɔ33	ʦʰaɔ55	ʦʰɔ33	ʦʰɔ51
朝(朝代)	ʦɔ31	ʦaɔ31	ʦɔ24	ʦʰɔ25
潮	ʦɔ25	ʦaɔ31	ʦʰɔ24	ʦɔ25
昭	ʦɔ33	ʦaɔ55	ʦɔ33	ʦɔ51
招	ʦɔ33	ʦaɔ55	ʦɔ33	ʦɔ51
燒	sɔ33	saɔ55	sɔ33	sɔ51
韶(韶關)	sɔ31	saɔ31	sɔ24	sɔ51
饒	nɔ31	ȵiaɔ55	lɔ24	iɔ25
驕	ʨiɔ33	ʨiaɔ55	ʨiɔ33	ʨiɔ51
嬌	ʨiɔ33	ʨiaɔ55	ʨiɔ33	ʨiɔ51
喬	ʨiɔ33	ʨiaɔ31	ʨiɔ33	ʨʰiɔ25
僑	ʨiɔ33	ʨiaɔ31	ʨiɔ33	ʨʰiɔ25
蕎	ʨiɔ31	ʨiaɔ31	ʨiɔ31	ʨiɔ25
橋	ʨiɔ31	ʨiaɔ31	ʨiɔ24	ʨiɔ25
囂	ɕiɔ33	ɕiaɔ55	ɕiɔ33	ɕiɔ51
妖	iɔ33	iaɔ55	iɔ33	iɔ51
邀	iɔ33	iaɔ55	iɔ33	iɔ51
腰	iɔ33	iaɔ55	iɔ33	iɔ51
要(要求)	iɔ33	iaɔ55	iɔ33	iɔ51
搖	iɔ33	iaɔ31	iɔ31	iɔ25
謠	iɔ25	iaɔ31	iɔ31	iɔ25
窯	iɔ25	iaɔ31	iɔ24	iɔ25
姚	iɔ25	iaɔ31	iɔ24	iɔ25
表	piɔ55	piaɔ51	piɔ55	piɔ33
表(手錶)	piɔ55	piaɔ51	piɔ55	piɔ33
漂	pʰiɔ55	pʰiaɔ55	pʰiɔ55	pʰiɔ51
鰾	piɔ55	piaɔ55	pʰiɔ55	piɔ51
藐		miaɔ325	miɔ24	mɔ51
渺	miɔ31	miaɔ325	miɔ24	miɔ51
秒	miɔ31	miaɔ325	miɔ31	miɔ25
燎(火燎眉毛)	liɔ55	liaɔ55	liɔ24	liɔ25
剿	ʨiɔ55	ʨiaɔ41	ʨiɔ24	ʨiɔ25
悄(靜悄悄)	ʨʰiɔ55	ʨʰiaɔ55	ʨʰiɔ55	ʨʰiɔ51
小	ɕiɔ55	ɕiaɔ41	ɕiɔ55	ɕiɔ33
趙	ʦɔ31	ʦaɔ31	ʦɔ31	ʦɔ51
兆	ʦɔ31	ʦaɔ31	ʦɔ31	ʦɔ51
沼(池沼,沼氣)	ʦɔ55	ʦaɔ31	ʦɔ31	ʦɔ51
少(多少)	sɔ55	saɔ41	sɔ24	sɔ33
紹	sɔ31	saɔ325	sɔ31	sɔ51
擾	lɔ25	laɔ55	lɔ24	iɔ25
矯(矯詐，矯正)	ʨiɔ55	ʨiaɔ31	ʨiɔ31	ʨiɔ25
舀(舀水)	iɔ55	iaɔ325	iɔ55	iɔ33
票(車票)	pʰiɔ424	pʰiaɔ434	pʰiɔ31	pʰiɔ25
漂(漂亮)	pʰiɔ424	pʰiaɔ434	pʰiɔ31	pʰiɔ25
廟	miɔ31	miaɔ325	miɔ31	miɔ41
妙	miɔ31	miaɔ55	miɔ31	miɔ41
療	liɔ25	liaɔ325	liɔ24	liɔ25
俏	ʨʰiɔ424	ʨʰiaɔ434	ʨʰiɔ31	ʨʰiɔ41
笑	ɕiɔ424	ɕiaɔ434	ɕiɔ31	ɕiɔ25
鞘(刀鞘)	ɕiɔ424	ʨʰiaɔ41	ɕiɔ31	ɕiɔ41
召	ʦɔ31	ʦaɔ55	ʦɔ55	ʦɔ41
照	ʦɔ424	ʦaɔ434	ʦɔ31	ʦɔ41
詔	ʦɔ31	ʦaɔ41	ʦɔ31	ʦɔ41
少(少年)	sɔ55	saɔ55	sɔ31	sɔ41
邵	sɔ31	saɔ325	sɔ31	sɔ41
繞(繞線)	ȵiɔ424	ȵiaɔ325	ȵiɔ31	ȵiɔ41
轎	ʨiɔ31	ʨiaɔ31	ʨiɔ24	ʨiɔ41
要(想要,重要)	iɔ424	iaɔ434	iɔ24	iɔ25
耀	iɔ31	iaɔ31	iɔ31	iɔ41
鷂(鷂鷹)	iɔ25	iaɔ31	iɔ31	iɔ41
刁	tiɔ33	tiaɔ55	tiɔ33	tiɔ51
貂	tiɔ33	tiaɔ55	tiɔ33	tiɔ51
雕	tiɔ33	tiaɔ55	tiɔ33	tiɔ51
挑	tʰiɔ33	tʰiaɔ55	tʰiɔ33	tʰiɔ51
條	tʰiɔ25	tiaɔ31	tiɔ24	tʰiɔ25
調(調和)	tʰiɔ25	tiaɔ31	tʰiɔ24	tiɔ25
跳	tʰiɔ424	tʰiaɔ434	tʰiɔ31	tʰiɔ51
聊	liɔ25	liaɔ31	liɔ24	liɔ25
遼	liɔ25	liaɔ31	liɔ24	liɔ25
撩(撩起來)	liɔ33	liaɔ55	liɔ24	liɔ51
寥	liɔ25	liaɔ55	liɔ24	liɔ25
蕭	ɕiɔ33	ɕiaɔ55	ɕiɔ33	ɕiɔ51
簫	ɕiɔ33	ɕiaɔ55	ɕiɔ33	ɕiɔ51
澆	ʨiɔ33	ʨiaɔ55	ʨiɔ33	ʨiɔ51
堯	iɔ25	iaɔ31	iɔ24	iɔ51
麼麼二三	iɔ33	iaɔ55	iɔ33	iɔ51
吆吆喝	iɔ33	iaɔ55	iɔ33	iɔ51
鳥	ȵiɔ25	ȵiaɔ55	ȵiɔ55	ȵiɔ25
了(明瞭，了結)	liɔ31	liaɔ55明瞭、liaɔ325了結	liɔ24	liɔ25
繳	ʨiɔ31	ʨiaɔ55	ʨiɔ31	ʨiɔ51
僥	ʨiɔ25	ʨiaɔ434	ʨiɔ31	ʨiɔ25
曉	ɕiɔ31	ɕiaɔ434	ɕiɔ55	ɕiɔ51
杳	iɔ35	iaɔ325	iɔ24	miɔ51
釣	tiɔ424	tiaɔ434	tiɔ31	tiɔ25
弔（弔唁）	tiɔ424	tiaɔ434	tiɔ31	tiɔ41
跳	tʰiɔ424	tʰiaɔ434	tʰiɔ31	tʰiɔ41
掉	tiɔ31	tiaɔ325	tʰiɔ31	tiɔ41
調（音調）	tiɔ31	tiaɔ325	tʰiɔ31	tiɔ41
調（調動）	tiɔ31	tiaɔ325	tʰiɔ31	tiɔ41
尿	ȵiɔ31	ȵiaɔ55	ȵiɔ31	ȵiɔ41
料	liɔ31	liaɔ325	liɔ31	liɔ41
叫	ʨiɔ424	ʨiaɔ434	ʨiɔ31	ʨiɔ41
竅	ʨʰiɔ424	ʨʰiaɔ41	ʨʰiɔ31	ʨʰiɔ41
兜	tᴇ33	tɘi55	tᴇ33	te51
偷	tʰᴇ33	tʰɘi55	tʰᴇ33	tʰe51
頭	tᴇ25	tɘi31	tᴇ24	te25
投	tᴇ25	tɘi31	tᴇ24	tʰe25
樓	lᴇ33	lɘi55	lᴇ33	le25
摟（摟取）	lɤ33	lɘu55	lᴇ24	lou25
勾	kᴇ33	kɘi55	kᴇ33	ke51
鉤	kᴇ33	kɘi55	kᴇ33	ke51
溝	kᴇ33	kɘi55	kᴇ33	ke51
