调值	[1]21(阴平阳去   [2]45 阳平   [3]213 上声  [5]44 阴去  [7]4 阴入  [8]45 阳入  [0]0 轻声)		
便	pʰɿ	2	~宜
篦	pʰɿ	1	~夹：妇女梳头用品
被	pʰɿ	1	
盘	pʰʊ̃	2	
拌	pʰʊ̃	1	
八	piæʔ	7	
嫑	piɔ	5	“不要”的合音
滮	piɔ	1	涌出来
变	piɪ̃	5	
扁	piɪ̃	3	
蝙	piɪ̃	1	
边	piɪ̃	1	
彆	piɪʔ	7	济~子：左撇子
瘪	piɪʔ	7	
壁	piɪʔ	7	
滗	piɪʔ	7	~干
笔	piɪʔ	7	
饼	piŋ	3	
柄	piŋ	5	
丙	piŋ	3	
冰	piŋ	1	
拜	pʲɛ	5	
摆	pʲɛ	3	
□	pʲɛ	1	~~：姑姑
瓣	pʲɛ̃	5	
扮	pʲɛ̃	5	
板	pʲɛ̃	3	
斑	pʲɛ̃	1	
班	pʲɛ̃	1	
扳	pʲɛ̃	1	
掰	pʲɛ̃	1	
布	pɯ	5	
补	pɯ	3	
比	pɿ	3	
屄	pɿ	1	
菠	pu	1	~菜
半	pʊ̃	5	
搬	pʊ̃	1	
拨	pʊʔ	7	
鱼	ɿ	2	文，木~
意	ɿ	5	
易	ɿ	5	
椅	ɿ	3	
倚	ɿ	3	
蚁	ɿ	3	
已	ɿ	3	
姨	ɿ	2	~妈
宜	ɿ	2	
依	ɿ	1	
衣	ɿ	1	
裏	ɿ	3	
理	ɿ	3	
里	ɿ	3	
李	ɿ	3	
篱	ɿ	2	
漓	ɿ	2	
犁	ɿ	2	
梨	ɿ	2	
离	ɿ	2	
射	sa	1	
捨	sa	3	
舍	sa	5	白
蛇	sa	2	
赊	sa	1	白
沙	sa	1	
洒	sa	3	
裳	sɑŋ	0	
尚	sɑŋ	1	
上	sɑŋ	1	
伤	sɑŋ	1	
磉	sɑŋ	3	~窠：柱础
嗓	sɑŋ	3	
桑	sɑŋ	1	
尝	sɑŋ	2	
索	sɑʔ	7	
舍	sɑʔ	8	邻~：邻居
勺	sɑʔ	8	
𧺕	sɑʔ	8	歪
潲	sɔ	2	~雨：雨斜着落下来
哨	sɔ	5	
少	sɔ	3	
少	sɔ	5	
稍	sɔ	2	
梢	sɔ	1	
烧	sɔ	1	
𢜶	sɔ	5	快
嫂	sɔ	3	
扫	sɔ	3	
𪨊	sɔŋ	2	精液；家伙
诵	sɔŋ	5	
送	sɔŋ	5	
宋	sɔŋ	5	
鬆	sɔŋ	1	
松	sɔŋ	1	
舂	sɔŋ	5	
□	sɔŋ	5	~米子：小米
缩	sɔʔ	7	
宿	sɔʔ	7	
属	sɔʔ	7	
熟	sɔʔ	8	
赎	sɔʔ	8	
叔	sɔʔ	7	
省	səŋ	3	
绳	səŋ	2	
牲	səŋ	1	
声	səŋ	1	
生	səŋ	1	
升	səŋ	1	
渗	səŋ	5	
甚	səŋ	2	~的：什么
甚	səŋ	5	
神	səŋ	2	
深	səŋ	1	
身	səŋ	1	
伸	səŋ	1	
申	səŋ	1	
森	səŋ	1	
辰	səŋ	2	白，时~
蜇	səʔ	8	海~
适	səʔ	7	
食	səʔ	8	
拾	səʔ	8	
实	səʔ	8	
识	səʔ	8	
石	səʔ	8	
十	səʔ	8	
湿	səʔ	7	
虱	səʔ	7	
啬	səʔ	7	
涩	səʔ	7	
色	səʔ	7	
塞	səʔ	7	
锁	sɤɯ	3	
嗦	sɤɯ	1	
蓑	sɤɯ	1	
梭	sɤɯ	1	
梳	sɤɯ	1	存疑，~田
瘦	sɤɯ	5	
锄	sɤɯ	2	~子：锄头
婿	sʮ	5	文，女~
许	sʮ	3	文
戌	sʮ	1	文
姓	siŋ	5	
性	siŋ	5	
杏	siŋ	1	
兴	siŋ	1	
兴	siŋ	5	
行	siŋ	2	
星	siŋ	1	
信	siŋ	5	
囟	siŋ	5	~娘子：囟门
新	siŋ	1	
辛	siŋ	1	
心	siŋ	1	
笋	siŋ	0	存疑，莴~
省	siŋ	3	
素	sɯ	5	
漱	sɯ	5	
数	sɯ	3	
数	sɯ	5	
竖	sɯ	1	
树	sɯ	1	
蔬	sɯ	1	
输	sɯ	1	
梳	sɯ	1	~头
书	sɯ	1	
自	sɿ	1	~家
婿	sɿ	5	白，妹~：妹夫
係	sɿ	5	
细	sɿ	5	小
系	sɿ	5	
戏	sɿ	5	
蟢	sɿ	3	~~：蜘蛛
喜	sɿ	1	
洗	sɿ	3	
稀	sɿ	1	
西	sɿ	1	
四	sɿ	5	
巳	sɿ	5	文
死	sɿ	3	
撕	sɿ	1	
私	sɿ	1	
丝	sɿ	1	
是	sɿ	1	
柿	sɿ	1	
试	sɿ	5	
事	sɿ	1	
世	sɿ	5	
士	sɿ	5	
屎	sɿ	3	
使	sɿ	3	
豕	sɿ	1	
时	sɿ	2	
算	sʊ̃	5	
蒜	sʊ̃	5	
酸	sʊ̃	1	
耍	sua	3	
