语素	音标	注释
繁	vɛ2	~殖
犯	vɛ4	~嫌：讨厌
范	vɛ4	~仲淹
范	vɛ4	师~
梵	vɛ4	~文
饭	vɛ6	早~/夜~：早饭/晚饭；~店；~碗；~瓜：南瓜
万	vɛ6	~子：麻将中的万牌
樊	vɛ6	~振东
耽	tɛ1	~搁
担	tɛ1	送，~饭渠吃：送饭给他吃
单	tɛ1	简~；~位
丹	tɛ1	牡~
旦	tɛ1	文~；元~；一~
疸	tɛ1	黄~22-22
歹	tɛ3	好说~说
胆	tɛ3	~小
戴	tɛ5	姓
担	tɛ5	扁~；谷箩~/洋箩~：竹制箩筐
诞	tɛ5	~辰
坍	tʰɛ1	塌；~屋场：有坍塌房子的地基
摊	tʰɛ1	~头：卖东西的摊子<读字>
瘫	tʰɛ1	~子；风~：瘫痪<读字>
毯	tʰɛ3h	~子
坦	tʰɛ3h	慢
炭	tʰɛ5	煤~<读字>
碳	tʰɛ5	~水化合物
态	tʰɛ5	生~；形~；姿~
昙	dɛ2	~花
谈	dɛ2	闲~白夹：聊天
痰	dɛ2	~盂
弹	dɛ2	~琴
埭	dɛ2	黄~：原吴县地名
弹	dɛ2	炸~；导~；拍~球22-41：打乒乓
但	dɛ4	~不过：不过
淡	dɛ6	味道淡、颜色浅
蛋	dɛ6	~糕
难	nɛ2	~过；~看；~得/~板：难得；怕~为情：害羞
□	nɛ2	现在；~么：然后；~间：今后
耐	nɛ6	忍~；~心
奈	nɛ6	~何桥；无~
难	nɛ6	遭~；落~
内	nɛ6	~脏；~行
乃	nɛ6	
蓝	lɛ2	~颜色
篮	lɛ2	篮子，摘~/羊=~/提~/桑~
兰	lɛ2	乌克~
□	lɛ2	~三攀四：唠唠叨叨不停地骂人
览	lɛ3	阅~
揽	lɛ3	一~子
榄	lɛ3	橄~
懒	lɛ4	~惰24-31
赖	lɛ6	无~
烂	lɛ6	~泥：泥土；~牙子草：尖叶马齿苋
缆	lɛ6	
滥	lɛ6	~用
□	lɛ2/4/6	~男：刚怀孕时的妊娠反应
追	ʦɛ1	~悼会
斩	ʦɛ1	剁（~肉）
斩	ʦɛ3	<读字>
崭	ʦɛ3	截=~齐：非常齐
盏	ʦɛ3	碗~家生：餐具；油~头：油灯盏
蘸	ʦɛ5	~水钢笔
赞	ʦɛ5	称赞，~渠笃=乖：称赞他们乖；~扬
搀	ʦʰɛ1	搀扶
□	ʦʰɛ1	倾倒（力度较大）
铲	ʦʰɛ3h	~刀：锅铲
产	ʦʰɛ3h	小~：流产；~业
□	ʦʰɛ3h	陡
忏	ʦʰɛ3h	~悔
□	ʦʰɛ9	卵~22-44：理睬（粗俗说法）
馋	ʣɛ2	~围：围嘴儿
谗	ʣɛ2	~言
濽	ʣɛ4	溅
䱠	ʣɛ4	~鱼：大银鱼
站	ʣɛ4	~头：车站
□	ʣɛ4	陡
□	ʣɛ4	~ʦi41：蟋蟀
栈	ʣɛ4	~房：旅馆；~条：用篾片编成的长席，用来围囤粮食
赚	ʣɛ6	
暂	ʣɛ6	~放；~时
□	ʣɛ6	饱满/凸起（谷粒~），饱~44-44
三	sɛ1	~只手：扒手；~家头：仨；发~日头/发老鬼~：发疟疾
杉	sɛ1	~木树：杉树
衫	sɛ1	衬~；罩~：外衣；绒线~：毛衣；汗~；着肉布~：紧贴肉的布衫
珊	sɛ1	~瑚
山	sɛ1	石公~、元~、阴~、叶~：西山地名
舢	sɛ1	~板：捕鱼用的小船
删	sɛ1	~除
萨	sɛ5	菩~：泛指神祇，如：猛将菩~/观音菩~/灶家菩~
涎	zɛ2/6	~唾水：口水
监	kɛ1	监~/牢~：监狱
间	kɛ1	房~：房间或卧室；三开~；客堂~：小客厅；灶下~：厨房
改	kɛ3	~嫁（又读ke3）
橄	kɛ3	~榄
减	kɛ3	减；把饭拨掉，使饭少
拣	kɛ3	挑选；~菜：择菜
钙	kɛ3	~片44-44
概	kɛ3	大~；~括；~念
溉	kɛ5	灌~
丐	kɛ5	乞~<读字>
裥	kɛ5	褶子，也可说“皱~”
涧	kɛ5	~沟：水沟；阳~沟：露天的水沟；山~水
□	kɛ5	~臀：擦屁股
碱	kɛ5	~水
尴	kɛ1	~尬
奸	kɛ1	强~22-22
铅	kʰɛ1	~笔；~桶
凯	kʰɛ3h	~旋
坎	kʰɛ3h	~上（lɑ̃41）：西山地名
槛	kʰɛ3h	户~/门~：门槛（前者最常用）
嵌	kʰɛ5	
砍	kʰɛ5	<读字>
慨	kʰɛ5	慷~
舰	kʰɛ5	兵~：军舰
岩	ŋɛ2	灵~山
衔	ŋɛ2	~头：头衔
颜	ŋɛ2	~色
眼	ŋɛ4	~睛；~子：孔；一~~：一点儿；~热：羡慕
□	ŋɛ4	~ʨiã44：刚才；~~调=：正好
馅	ŋɛ6	~心：馅儿
□	hɛ1	过敏，伴有瘙痒
苋	hɛ1	~菜
喊	hɛ5	叫喊；吆喝
咸	ɛ2	~肉；~菜/盐菜：咸菜
衔	ɛ2	
还	ɛ2	~要/~有/~是；~板：一定
闲	ɛ2	~话：话，方言
晏	ɛ5	晚、迟；~歇：晚点儿；~稻/~橘子：晚稻/晚橘子
限	ɛ6	局~性
轨	kuɛ1	铁~；~道（又读kue1）
关	kuɛ1	~照：吩咐、叮嘱；带~：顺便关上（~门/窗）
□	kuɛ1	鸡~：鸡冠；鸡~头花：鸡冠花；鸡~油：鸡冠油
惯	kuɛ5	习~；~说：习惯（带贬义）
□	kʰuɛ1	ʏ33~：门槛； ~~：铁环，如铁~~、铜~~
环	ɡuɛ2	~子：耳环；连~画
掼	ɡuɛ4	丢/扔，摔；~稻：打稻；~脱：丢失；~家落生：吵架时摔家里的东西
跪	ɡuɛ6	<读字>
甩	huɛ5	（训读）
弯	uɛ1	转~
湾	uɛ1	西山地名常见后缀，有“七村八里九村十三湾”之称
□	uɛ1	推~：意义同“推板”
还	uɛ2	~债/东西；~韧/~软：受潮；~复阵：回笼觉
怀	uɛ2	彭德~；~疑
晚	uɛ3	傍~<读字>
挽	uɛ3	~留
蓖	pe1	~麻
杯	pe1	~子
背	pe1	~书包；~纤：拉纤；~包田螺：蜗牛
卑	pe1	~鄙
碑	pe1	魏~体
悲	pe1	~伤
狈	pe1	
贝	pe5	宝~
辈	pe5	长~；老~子人：过去的人
背	pe5	~心：背（身体部分），背心（衣物）；后~头/~后头：背后
彼	pe5	~此33-41
胚	pʰe1	身~：身材；讨饭~：乞丐的贬称
胚	pʰe1	毛~；粗~
沛	pʰe1	~公
盼	pʰe1	~望
配	pʰe5	分~
陪	be2	
赔	be2	~偿
培	be2	~养；黄炎~；~德堂
佩	be2	~服
□	be4	串，量词，一~葡萄/杨梅
□	be4	~~开：拨拨开；~开22-41
焙	be4	烘（~干/~茶）
被	be4	~迫
裴	be4	~元庆22-44-31
帔	be4	凤冠霞~
背	be6	~书
吠	be6	狗叫
备	be6	准~；~弄
倍	be6	一~
痱	be2/6	~子
□	me1	乳汁；乳房；~~头：乳头
煝	me1	不见明火地烧
梅	me2	~花；青~；杨~；黄熟~；黄~天：梅雨天
莓	me2	草~；蓝~
媒	me2	~人/~婆：媒人；凿~头：纸媒儿
煤	me2	
眉	me2	<读字>
楣	me2	触~头：倒霉
霉	me2	发~
玫	me2	~瑰花
枚	me2	不胜~举
昧	me2	猜~~子：猜谜语
媚	me2	武~娘
每	me3	~日天：每天
美	me3	~国赤佬：对美国人的蔑称；~火灯：罩有灯泡的煤油灯
寐	me4	梦~以求
妹	me6	~~/~子：妹妹（面称/背称）；~夫
娒	me9	姆~：伯母（父亲之兄之妻）
堆	te1	坟~头：坟墓
呆	te1	痴~<读字>
□	te3	~布：买布
对	te5	形容词（~不~）；量词（一~）；介词（~他说）
碓	te5	舂（~米），击打，~~烂
胎	tʰe1	双胞~
苔	tʰe1	舌~
推	tʰe1	~板：差（不好），差（~一点）；~箩：捕鱼用具
腿	tʰe3h	鸡~
退	tʰe5	
褪	tʰe5	~颜色
颓	tʰe1	~废
台	de2	~子：桌子；长~：案子；圆~：圆桌
苔	de2	青~<读字>
抬	de2	~猛将
殆	de2	百战不~
待	de4	~诏：从事吹打的人（宋元时对手艺工匠尊称为待诏）
怠	de4	~慢
兑	de4	~换24-31
逮	de4	~捕
代	de6	代替
袋	de6	~~：口袋
队	de6	生产~
贷	de6	~款
台	de2	~州
□	le1	鸭~~：鸭（爱称）（又读li1）
垒	le1	堡~；~堆：累赘
来	le2	~煞/~事：有本领；自~火：火柴；A得~：A得很
莱	le2	劳斯~斯
雷	le2	小~山、大~山：太湖中的两个岛屿，曾位于江浙两省交界
儡	le2	傀~
累	le3	~赘：累赘；积~
癗	le4	勃=~头：痘痘
擂	le6	~台22-22
类	le6	（又读lɛ6，蕨~）
者	ʦe1	学~；记~
灾	ʦe1	旱~
栽	ʦe1	
锥	ʦe1	<读字>
椎	ʦe1	脊~<读字>
再	ʦe1	才，如：渠来啧我~好走（他来了我才可以走）；~会：再见
赘	ʦe1	累~；入~
宰	ʦe3	~相
最	ʦe3	~~：最最
冉	ʦe3	~~升起
载	ʦe5	~重
缀	ʦe5	点~
醉	ʦe5	
滓	ʦe1	渣（ʦɑ1）~洞
茬	ʦe1	<读字>
寨	ʦe5	甪头~：西山地名；农业学大寨
猜	ʦʰe1	~谜谜子：猜谜语
催	ʦʰe1	秧苗~芽
崔	ʦʰe1	
摧	ʦʰe1	~残
炊	ʦʰe1	无米之~<读字>
彩	ʦʰe3h	
采	ʦʰe3h	采摘（~茶叶/~杨梅/~枇杷）
睬	ʦʰe3h	理睬
翠	ʦʰe3h	~绿
灿	ʦʰe3h	~烂33-41
菜	ʦʰe5	~园；~地；~干；青~/白~/油~/香~；金花~：苜蓿；小~：菜肴
脆	ʦʰe5	干~；~麻花
悴	ʦʰe5	憔~
萃	ʦʰe5	~秀堂：西山地名
才	ʣe2	~能
材	ʣe2	棺~
财	ʣe2	发~（<ze）
裁	ʣe2	~缝（又读ze）
豺	ʣe2	~狼
随	ʣe2	~便
垂	ʣe2	~头丧气
锤	ʣe2	<读字>
残	ʣe2	~酷；~疾病
惭	ʣe2	~愧
潺	ʣe2	~~
捶	ʣe2	~背<读字>
隋	ʣe2	~朝
遂	ʣe2	未~
隧	ʣe2	~道22-41
穗	ʣe2	稻~<读字>
芮	ʣe2	
在	ʣe4	存~；现~；~心：放在心上、留意
罪	ʣe4	~（<ze）过：用于客气话，对别人的行动表示感谢，劳驾
睡	ʣe4	<读字>
谁	ʣe4	<读字>
坠	ʣe4	~落
绽	ʣe6	破~
瑞	ʣe6	海~；~典（又读ze）
髓	ʣe2	骨~<读字>
鳃	se1	鱼葛=~：鱼鳃
腮	se1	~腺炎
虽	se1	~然
绥	se1	~远；~靖
衰	se1	~老
赛	se5	比~；~过/~道：好像
碎	se5	零~
岁	se5	
税	se5	~钱
帅	se5	元~
粹	se5	纳~；纯~
散	se5	~会；~场
□	se5	~头：脓滚头，挤脓包挤出的白点
锐	se1	敏~；尖~
秽	se5	污~
侪	ze2	都、全；~家：大家
该	ke1	应~（又读kɛ1）；~死
赅	ke1	拥有；~铜钱/~家当：有钱
盖	ke5	~头：盖子；镬~：锅盖；铺~
□	ke0	句末语气词
开	kʰe1	~水；~心；三~间；~玩笑/寻~心：开玩笑
□	kʰe1	老~：扑克牌中的K（即读字母“K”）
䬵	ɡe4	打~：打饱嗝
隑	ɡe6	靠（~在墙上）
呆	ŋe2	~浪=/~脱：发呆；~头木脑：笨头笨脑；~囡：呆子、笨蛋
癌	ŋe2	~症
碍	ŋe6	弗~：没关系、不要紧
艾	ŋe6	艾草
桸	he1	用网兜捞；~斗：捞鱼网
□	he1	肿，五~六肿：鼻青脸肿，~扑扑：肿胀的状态；嚣张
□	he1	持续体、进行体标记，也可说“勒=~”，口语多单用
海	he3	~蜇头：海蜇；上~
哀	e1	
挨	e1	~家~户
埃	e1	~及；尘~
唉	e1	~声叹气
孩	e2	~子<读字>
骇	e2	~人听闻
亥	e2	地支第十二
爱	e5	
害	e6	厉~
鞭	pie1	~子：鞭炮
编	pie1	入~
边	pie1	~/~浪=/旁~：旁边；~帮：偏旁
鳊	pie1	~鱼；鲳~鱼：鲳鱼
□	pie1	~箕：篦子
贬	pie3	~义
扁	pie3	~担；~蒲：瓠子；~马桶；~砌
匾	pie3	藤~；大~：揉菜籽的匾；糰~：做糕团的匾；团~：针线筐
蝙	pie3	~蝠子：蝙蝠
遍	pie3	
变	pie5	~戏法：变魔术
篇	pʰie1	
偏	pʰie1	~生：偏；~相：一定；左~子：左撇子
片	pʰie5	木~爿：木片；照~
骗	pʰie5	骗、哄（~小孩）
遍	pʰie5	耕牛~地走；~插茱萸少一人
癖	pʰie1	~好；怪~
便	bie2	~宜
辨	bie4	~味道；分~
辩	bie4	~论
辫	bie4	~子
便	bie6	~/~当：方便；~介：过去、从前；顺带~：顺便
□	mie1	秤不足（秤尾下垂）
娩	mie1	分~
棉	mie2	~花；~花絮：棉花胎
绵	mie2	~羊
眠	mie2	头~、二~、大~：蚕蜕壳的三个过程
勉	mie3	~励
□	mie4	~ʨʰiã41：刚才
免	mie3/4	~费（44-44/24-31）
面	mie6	~孔：脸；边，如：东~/西~/南~/北~/左~/右~/一~；屋~
面	mie6	面条；擀~；烂糊~；~衣
缅	mie6	~甸；~怀
掂	tie1	~分量
颠	tie1	~脚：踮脚
癫	tie1	痴~~：形容人疯疯癫癫的样子
点	tie3	~心：午饭、点心；~心里：中午
典	tie3	字~；~当屋：当铺；瑞~
店	tie5	饭~；烟纸~：杂货店
腆	tie3	腼~
添	tʰie1	
天	tʰie1	~生；~好：晴天；~花板；~气；~井；一夜~：整夜；~老爷：老天爷
掭	tʰie3h	~墨汁
舔	tʰie3h	
□	tʰie5	踏~23-21：踩空
甜	die2	~芦粟
钱	die2	铜~/洋~：钱；价~/工~/本~：价钱/工钱/本钱
田	die2	~鸡：青蛙：~爿里：田里；~岸：田埂；荡~：沿湖的田地
沺	die2	~泾：原吴县地名
佃	die2	~户24-31
电	die4	~筒：手电筒
殿	die4	佛~；~堂
奠	die4	~定
垫	die6	柴~：稻草垫；~被
淀	die6	积~；~山湖
甸	die6	缅~
填	die6	~平；~房
廉	lie2	~洁；清~
镰	lie2	~刀<读字>
连	lie2	~襟；~环画
莲	lie2	
鲢	lie2	~胖头：鲢鱼和鳙鱼的统称；花~：鲢鱼；白~：鳙鱼
裢	lie2	褡~山：西山地名
联	lie2	~合
帘	lie2	卷~门；窗~
怜	lie2	可~<读字>
楝	lie2	~树22-22
敛	lie2	收~
脸	lie4	<读字>
殓	lie6	入~
练	lie6	火赤~：赤练蛇；~字；老~
炼	lie6	锻~
链	lie6	项~；~条
恋	lie6	迷~
□	lie9	硬屎~头：便秘状态排除的粪便粒（疑似为“粒”舒化而来）
尖	ʦie1	~头：尖儿；乌~：短柄狭锄头；山~：山墙顶部
煎	ʦie1	~药：汤药
剪	ʦie3	~刀；轧~/夹~：理发用的剪子
箭	ʦie5	射~
荐	ʦie5	推~；~头：介绍人；送水买~：葬礼中的两个环节，“买~”即烧草垫灰
□	ʦie5	占，如：~便宜、~位子
签	ʦʰie1	~字
签	ʦʰie1	抽~；求~
椠	ʦʰie1	削，~苹果/~铅笔
迁	ʦʰie1	拆~
扦	ʦʰie1	插（~柳条/~树苗）；蜡~：插蜡烛的烛台
千	ʦʰie1	秋~
纤	ʦʰie1	~维
□	ʦʰie1	ʥiɔ24~架子：三走架；ʥiɔ24~档：形容三个要好的人
浅	ʦʰie3h	
□	ʦʰie1/5	N~子：有N个帆的船
□	ʦʰie9	~跟朵=：翻跟斗
歼	ʦʰie1	~灭
笺	ʦʰie1	便~；信~
潜	ʣie2	~水；~移默化（读字，又读zie2）
钱	ʣie2	姓；~袋子：零钱包
全	ʣie2	~身；~国；~幅
泉	ʣie2	矿~水
践	ʣie2	~踏；实~
饯	ʣie2	蜜~
渐	ʣie4	~~
羡	ʣie6	~慕<读字>
虔	ʣie2	~诚
仙	sie1	登~；凤~花；眼~人：瞳孔；八~桌
籼	sie1	~米
鲜	sie1	新~
先	sie1	~生：老师的旧称
宣	sie1	~扬
□	sie1	秤足（秤尾上翘）
鲜	sie1	朝~
鏾	sie1	阉割，把睾丸取出来
洗	sie3	~衣机
选	sie3	~择
筅	sie3	~帚：炊帚；豁~：竹制刷马桶工具
线	sie5	~粉：粉丝；绒~衫：毛衣；结=绒~：织毛衣
腺	sie5	前列~
癣	sie5	
前	zie2	~头：前面、以前；~年；~日：前天；~个年子：大前年
旋	zie2	拧（~瓶盖，促化）；~转去：回过头去；螺~形
贱	zie6	~子/~骨头：陀螺；~民（读字读ʣie）
兼	ʨie1	
奸	ʨie1	<读字>
间	ʨie1	~断；时~<读字>
艰	ʨie1	~苦
肩	ʨie1	~胛：肩膀
坚	ʨie1	~强
捡	ʨie1	~起来<读字>
柬	ʨie1	请~
谏	ʨie1	~议44-31
检	ʨie3	~查
茧	ʨie3	~子；~ ȵie44团：茧团，米制食物
简	ʨie3	~单；~历
鉴	ʨie3	~别
间	ʨie5	~断；离~
锏	ʨie5	杀手~
剑	ʨie5	
建	ʨie5	福~
见	ʨie5	看见，如：我~渠吓个：我看见他怕的
趼	ʨie5	老~
睑	ʨie9	眼~毛：眼睫毛
□	ʨie9	菜~：菜苔，叶菜长了开出小花的状态
谦	ʨʰie1	~虚
牵	ʨʰie1	~筋：抽筋；~记：挂念/惦记；~钻：木匠用的方柄锥子；~蒲：农具
歉	ʨʰie5	道~；~意
欠	ʨʰie5	~账
纤	ʨʰie5	背~：拉纤
遣	ʨʰie5	派~；~责
偕	ʨʰie5	白头~老
钳	ʥie2	~子：钳子、镊子；火~；~毛：用钳子拔毛
拑	ʥie2	见别人得好处心中不满，如：~三~四
乾	ʥie2	~隆
掮	ʥie2	一人用肩抬；~客；~梁
揵	ʥie2	举
键	ʥie2	关~
俭	ʥie4	克勤克~
件	ʥie4	
蝉	ʥie2/4	响~：知了的一种，黑色，体型最大
健	ʥie6	老人身体硬朗
腱	ʥie6	肌~
犍	ʥie6	~为县
黏	ȵie1	青~乌潭/青泥bu44潭：青苔；~土；~贴
拈	ȵie1	食指拇指头来回搓：~胡子，~老七=肯=，~烟丝
研	ȵie1	研磨（~成粉）
□	ȵie1	揉（~眼睛）
捻	ȵie1	~凿：改锥（螺丝刀）
碾	ȵie1	~米<读字>
阎	ȵie2	~loʔ4王：阎王
严	ȵie2	
年	ȵie2	今~/明~/后~；旧~：去年；搿=~子/个~子/前~：前年；~轻；~糕
俨	ȵie2	~然
砚	ȵie2	~ʊ22/~瓦：砚台
染	ȵie4	
□	ȵie4	~头：瘾；上~：上瘾
验	ȵie6	体~；经~；考~
念	ȵie6	~经/~佛；转~头：动脑筋、思考
廿	ȵie6	二十，~二/~五/一百~
罱	ȵie4	~河泥：清理河泥
□	ȵie9	茧~团：茧团，米制食物
轩	ɕie1	
掀	ɕie1	~倒（石碑）
歇	ɕie1	经历体标记；依~/姑=~：现在
□	ɕie1	哈喇气，油制食品变质
□	ɕie1	炫耀
献	ɕie1	贡~
险	ɕie3	~啧~：差点儿；危~
闪	ɕie3	霍~：闪电
宪	ɕie3	~法
蚬	ɕie5	~子33-41
□	ɕie5	颜色鲜艳
显	ɕie5	~眼；~原身
□	ɕie9	打花=~：打哈欠
也	ie1	<读字>
淹	ie1	范仲~
阉	ie1	~割<读字>
崦	ie1	“没脱三万六百亩个~边田”；~里：西山地名
腌	ie1	~制
蔫	ie1	
焉	ie1	心不在~
烟	ie1	旱~/潮~/板~/水~；~得来：极言烟雾浓重
胭	ie1	~脂
□	ie1	~辰光：消磨时间、拖时间
械	ie1ǃ	机~
堰	ie1	都江~
偃	ie1	青龙~月刀
燕	ie1	~子；~来笋
谐	ie2	和~24-31(又读ʨʰie)
咸	ie2	~丰
炎	ie2	盲肠~；消~药
盐	ie2	~鱼丝：银鱼；腌；挂~水：输液
檐	ie2	~头：屋檐；出~：伸出屋檐
嫌	ie2	~鄙：嫌弃
闲	ie2	<读字>
颜	ie2	<读字>
延	ie2	~开：液体往四周扩散；~圣堂：西山东村地名；~伸；~安
蜒	ie2	~蚰：蛞蝓
筵	ie2	~席
言	ie2	语~
贤	ie2	竹林七~；七~山：西山地名
弦	ie2	三~；续~
沿	ie2	台~：桌边；河~：河岸；阶~：台阶；~路：一边
□	ie2	~刮=搭=：鲇鱼
谚	ie2	农~
衍	ie2ǃ	繁~
掩	ie3	~护
厣	ie3	鱼~：鱼鳞；流血后结的痂
陷	ie3	~害；缺~；沦~
演	ie3	~员
雁	ie3	~群<读字>
晏	ie3	~子
宴	ie3	~会
现	ie4	~在；~象
厌	ie5	腻，吃~/听~；~气：无聊；解~气：解闷
咽	ie5	
焰	ie5	火~山44-44-44
艳	ie6	鲜~；~丽
圭	kue1	乌拉~
闺	kue1	~房
硅	kue1	
规	kue1	~矩；~则；~律；定~：一定、肯定
龟	kue1	<读字>
归	kue1	整理；总~：老是
瑰	kue1	玫~花
癸	kue1	天干第十
会	kue1	~计33-41
鬼	kue3	魔~；东洋~子：对日本人的蔑称
刽	kue3	~子手
桂	kue5	~圆；~花
贵	kue5	<读字>
桧	kue5	油炸~：油条
诡	kue5	~计
魁	kʰue1	~梧；夺~；五~首
亏	kʰue1	健康状况变差，身体~下来；吃~
盔	kʰue1	头~
奎	kʰue1	纪登~；奎宁
窥	kʰue1	~视（<zɿ）
岿	kʰue1	~然
块	kʰue5	蚊子叮的疙瘩；乌青~：淤青；~头：个子、个头
傀	kʰue5	~儡
□	kʰue9	脚箍~：脚踝
巍	kʰue1	~~高山
逵	ɡue2	李~
葵	ɡue2	~花：向日葵
柜	ɡue2	<读字>
愧	ɡue2	惭~24-31
跪	ɡue4	<读字>
溃	ɡue4	~疡
瑰	ɡue9	~宝22-41
麾	hue1	~下
恢	hue1	~复
灰	hue1	农家肥，垩~：施肥；石~
诙	hue1	~谐
挥	hue1	
辉	hue1	光~
徽	hue1	安~
毁	hue3	
晦	hue3	杜如~
贿	hue3	受~；行~
卉	hue3	花~
悔	hue5	后~<读字>
威	ue1	奢~：得意洋洋的样子
煨	ue1	~灶猫；酱~蛋
委	ue1	~员会；~托
萎	ue1	~靡；枯~
畏	ue1	~罪
谓	ue2	称~
回	ue2	次/趟；~嘴：顶嘴；~头：回绝；~转（去）：回家
茴	ue2	~香
蛔	ue2	~虫
洄	ue2	~游
徊	ue2	徘~
危	ue2	~险
为	ue2	难~：消耗、破费；行~
围	ue2	~墙
违	ue2	~反
苇	ue2	芦~<读字>
桅	ue2	~杆；~灯：桅杆上的灯，用以指明方向
绘	ue2	~画；测~
讳	ue2	忌~24-31
慰	ue2	~问；安~
纬	ue2	~线
魏	ue2	~碑体；~徵
幻	ue3	~想33-41；科~
伟	ue4	~大
渭	ue4	~塘：原吴县地名
宦	ue4	~官
汇	ue4	~铜钱：汇钱；~报
彗	ue4	~星<读字>
谓	ue4	所~
汇	ue4	词~；~总
慧	ue4	智~
韦	ue4	吕不~
伪	ue4	~造
会	ue5	会、能，也可说“~得”
惠	ue6	实~；乐~/小乐~：悠游自在、自得其乐
会	ue6	出~：办庙会；唱堂~；~馆（又读uɛX，晏歇~：晚点儿再见）
为	ue6	稍~：稍微；敌=~：特地；~啥：为什么；~啧：为了，因为
位	ue6	~子：座位；牌~：灵位，常放在形容词后作詈语，如：长牌~/老牌~
胃	ue6	倒~口：恶心、有点想吐
患	ue6	~病
卫	ue6	~生间
谋	mʏ2	~生；不相为~
某	mʏ2	~人
贸	mʏ2	农~市场；~易
亩	mʏ4	<读字>
茂	mʏ6	~盛
否	fʏ1	~定
浮	vʏ2	~躁
兜	tʏ1	~~：逛逛；观音~：一种山墙形式；~~：状态形容词词尾
丢	tʏ1	<读字>
斗	tʏ3	容积单位，一~米；烟~；五~橱；~鸡眼
斗	tʏ3	阶级~争；批~
抖	tʏ3	发~
偷	tʰʏ1	~针：麦粒肿
敨	tʰʏ3h	抖搂
透	tʰʏ5	~明；好~：完全好了
头	dʏ2	头/脑袋；~一：第一；~两个：一两个；名词词尾
投	dʏ2	~保；~资；~降
骰	dʏ2	~子：色子
豆	dʏ6	毛~/黄~/豇~/刀~/蚕~/绿~/赤~；羊眼~：扁豆
痘	dʏ6	
逗	dʏ6	~号
□	dʏ9	挣扎
□	nʏ4	你，第二人称代词
溜	lʏ1	
搂	lʏ1	~抱
楼	lʏ2	~房；牌~；门~
蝼	lʏ2	~蛄
娄	lʏ2	~葑：原苏州郊区地名；~门
流	lʏ2	二~子；~氓
刘	lʏ2	
留	lʏ2	遗~
榴	lʏ2	石~
瘤	lʏ2	毒~
硫	lʏ2	~磺
琉	lʏ2	~璃
馏	lʏ2	蒸~水
□	lʏ1/2	逗（小孩）；瞎~~：开玩笑
篓	lʏ4	~箕：簸谷用的簸箕
柳	lʏ4	~条子：柳条；杨~树：柳树
漏	lʏ6	捉=~：填补漏洞
舟	ʦʏ1	龙~
州	ʦʏ1	苏~；湖~
邹	ʦʏ1	
周	ʦʏ1	~恩来
洲	ʦʏ1	亚~/非~/欧~；沙~：张家港旧称
昼	ʦʏ1	~夜44-31
肘	ʦʏ1	~子<读字>33-41
走	ʦʏ3	
酒	ʦʏ3	黄~/料~；烧~/老~：白酒；~酿；~水：酒席
帚	ʦʏ3	扫~星：彗星；刷~：锅刷
奏	ʦʏ5	节~
皱	ʦʏ5	~裥：褶子
绉	ʦʏ5	文~~
秋	ʦʰʏ1	立~/~分；~天；打~风：暗示敲竹杠
秋	ʦʰʏ1	~千
鳅	ʦʰʏ1	皮~鱼：泥鳅
抽	ʦʰʏ1	~签；~屉（又读ʨʰʏ1）
凑	ʦʰʏ5	几佮六~：各种因素凑在一起；讨好
修	sʏ1	~作：修理
羞	sʏ1	害~<读字>
搜	sʏ1	~肠刮肚
馊	sʏ1	~脱：馊了
收	sʏ1	~作：整理；~入
舍	sʏ1	宿~3-55
叟	sʏ1	童~无欺
手	sʏ3	~巾：毛巾；~套；放~；三只~：扒手；~臂撑：肘
首	sʏ3	~先
守	sʏ3	遵~
飕	sʏ3	凉~~
漱	sʏ3	<读字>
锈	sʏ5	生~；铁~
瘦	sʏ5	
兽	sʏ5	禽~
嗽	sʏ5	咳~
秀	sʏ5	萃~堂：西山地名
绣	sʏ5	~花
宿	sʏ5	星~
休	sʏ1	退~
莠	sʏ5	良~不齐
绸	ʣʏ2	丝~；~缎（又读zʏ2）
筹	ʣʏ2	面~；~备（又读zʏ2）
稠	ʣʏ2	~密
仇	ʣʏ2	~人；结~（又读ʥy2）
骤	ʣʏ4	暴风~雨
囚	zʏ2	~犯；~禁（又读ʣʏ2）
愁	zʏ2	发愁；~怕
柔	zʏ2	温~
揉	zʏ2	<读字>
酬	zʏ2	报~
畴	zʏ2	范~24-31
纣	zʏ2	~王
受	zʏ4	~凉
𥣙	zʏ4	积累、集聚
授	zʏ4	教~
售	zʏ4	~货
射	zʏ6	<读字>
就	zʏ6	~介：就这样
袖	zʏ6	kɑ44~：袖套
宙	zʏ6	宇~
寿	zʏ6	~斑：老年斑；做~
勾	kʏ1	
钩	kʏ1	摘~：钩子；秤~；帐~：收蚊帐的钩子
沟	kʏ1	涧~：水沟，露天的也称“阳涧~”；阴~
□	kʏ1	远指语素，~个：那个，~面/~浪/~搭：那里
□	kʏ1	阿~：“阿哥”的又音
□	kʏ1	打ʨieʔ3~：打嗝
枸	kʏ1	~杞子；~杞头：枸杞叶
构	kʏ1	结~
购	kʏ1	统~统销
垢	kʏ1	污~
狗	kʏ3	雄~/雌~：公狗/母狗；捉~屎：拾粪
苟	kʏ3	~且偷生
够	kʏ5	
抠	kʰʏ1	
眍	kʰʏ1	~眼睛：眼睛凹陷
叩	kʰʏ1	~问
口	kʰʏ3h	一~；虎~；切~：隐语、黑话
扣	kʰʏ5	~得去
