繁	简	国际音标	备注	调类			调值																																										
雞	鸡	tɕiʑ		1																																													
計	计	tɕiʑ		4																																													
繼	继	tɕiʑ		4																																													
溪	溪	ɕiʑ	【文读】	1																																													
溪	溪	tɕhiʑ	【白读】	1																																													
啟	启	tɕhiʑ		3																																													
契	契	tɕhiʑ		4																																													
系	系	tɕiʑ		4																																													
杯	杯	pɪ		1																																													
輩	辈	pɪ		4																																													
背	背	pɪ	~心。	4																																													
揹	背	pɪ	~包。	1																																													
配	配	phɪ		4																																													
培	培	phɪ		2																																													
陪	陪	phɪ		2																																													
賠	赔	phɪ		2																																													
倍	倍	pɪ		4																																													
佩	佩	phɪ		4																																													
梅	梅	mɪ		2																																													
枚	枚	mɪ		2																																													
媒	媒	mɪ		2																																													
煤	煤	mɪ		2																																													
每	每	mɪ		3																																													
妹	妹	mɪ		4																																													
堆	堆	tɪ		1																																													
對	对	tɪ		4																																													
推	推	thɪ		1																																													
腿	腿	thɪ		3																																													
退	退	thɪ		4																																													
隊	队	tɪ		4																																													
內	内	lɪ		4																																													
雷	雷	lɪ		2																																													
累	累	lɪ	积~。	3																																													
累	累	lɪ	连~；劳~。	4																																													
催	催	tshɪ		1																																													
崔	崔	tshɪ		1																																													
罪	罪	tsɪ		4																																													
碎	碎	sɪ		4																																													
啐	啐	tshɪ		4																																													
恢	恢	χuɪ		1																																													
桅	桅	uɪ		2																																													
灰	灰	χuɪ		1																																													
悔	悔	χuɪ		3																																													
賄	贿	χuɪ		4																																													
回	回	χuɪ		2																																													
茴	茴	χuɪ		2																																													
彙	汇	χuɪ	词~；~编。	4																																													
潰	溃	khuɪ		4																																													
蛻	蜕	thɪ		4																																													
最	最	tsɪ	【白读】	4																																													
最	最	tɕyɪ	【文读】	4																																													
會	会	khuɛ	~计；~稽（浙江绍兴地名）。	4																																													
會	会	χuɪ	开~。	4																																													
外	外	uɛ		4																																													
繪	绘	χuɪ		4																																													
乖	乖	kuɛ		1																																													
怪	怪	kuɛ		4																																													
塊	块	khuɛ		4																																													
懷	怀	χuɛ		2																																													
槐	槐	χuɛ		2																																													
淮	淮	χuɛ		2																																													
壞	坏	χuɛ		4																																													
拐	拐	kuɛ		3																																													
掛	挂	kua		4																																													
卦	卦	kua		4																																													
歪	歪	uɛ		1																																													
畫	画	χua		4																																													
快	快	khuɛ		4																																													
筷	筷	khuɛ		4																																													
話	话	χua		4																																													
脆	脆	tshɪ		4																																													
歲	岁	sɪ		4																																													
稅	税	ɕyɪ		4																																													
衛	卫	uɪ		4																																													
銳	锐	lɪ		4																																													
廢	废	fɪ		4																																													
肺	肺	fɪ		4																																													
桂	桂	kuɪ		4																																													
惠	惠	χuɪ		4																																													
彗	彗	χuɪ		4																																													
慧	慧	χuɪ		4																																													
碑	碑	pɪ		1																																													
卑	卑	pɪ		1																																													
臂	臂	piəʔ	疑似读白字。	5																																													
臂	臂	piʑ		4																																													
披	披	phiʑ		1																																													
皮	皮	phiʑ		2																																													
疲	疲	phiʑ		2																																													
脾	脾	phiʑ		2																																													
被	被	pɪ		4																																													
避	避	piʑ		4																																													
離	离	liʑ		2																																													
籬	篱	liʑ		2																																													
璃	璃	liʑ		2																																													
紫	紫	tsɿ		3																																													
雌	雌	tshɿ		1																																													
此	此	tshɿ		1																																													
刺	刺	tshɿ		4																																													
斯	斯	sɿ		1																																													
撕	撕	sɿ		1																																													
廝	廝	sɿ		1																																													
知	知	tsɿ		1																																													
蜘	蜘	tsɿ		1																																													
智	智	tsɿ		4																																													
池	池	tshɿ		2																																													
馳	驰	tshɿ		2																																													
支	支	tsɿ		1																																													
枝	枝	tsɿ		1																																													
肢	肢	tsɿ		1																																													
