單字	音標	註
搭	ta23	
塔	tʰa23	
臘	lak33	
蠟	lak33	
閘	tsak33	
嚴	jɪŋ21	
欠	hɪŋ23	
脅	hɪʔ23	
劫	kɪʔ23	
業	jɪk33	
帆	faŋ21	
凡	faŋ21	
氾	faŋ23	氾濫
犯	faŋ43	
範	faŋ43	
范	faŋ43	
泛	faŋ23	
法	fa23	
乏	fak33	
衫	saŋ32	
監	kaŋ32	坐監
監	kaŋ23	太監
鑑	kaŋ23	
鑒	kaŋ23	
巖	ŋaŋ21	
銜	haŋ21	
艦	laŋ43	
濫	laŋ43	
甲	ka23	
鴨	a23	
壓	a23	
押	a23	
饞	tsʰaŋ21	
杉	tsʰaŋ43	
摻	tsʰɔŋ32	
鹹	haŋ21	
咸	haŋ21	
斬	tsaŋ45	
減	kaŋ45	
站	tsaŋ43	
陷	hɔŋ43	
眨	tsa23	
插	tsʰa23	
夾	ka23	
恰	hɐk55	
洽	hɐk55	
峽	hak33	
狹	hak33	
廉	lɪŋ21	
鐮	lɪŋ21	
簾	lɪŋ21	
尖	tsɪŋ32	
漸	tsɪŋ43	漸漸
臉	lɪŋ23	
籤	tsʰɪŋ32	
潛	tsʰɪŋ21	
纖	tsʰɪŋ32	
占	tsɪŋ32	占卦
鹽	jɪŋ21	
撿	kɪŋ45	
斂	lɪŋ23	
陝	sɪŋ45	
閃	sɪŋ45	
染	jɪŋ23	
厭	jɪŋ23	
焰	jɪŋ21	
豔	jɪŋ43	
獵	lɪk33	
接	tsɪʔ23	
捷	tsɪk33	
涉	sɪʔ23	
攝	sɪʔ23	
葉	jɪk33	
粘	tsɪŋ32	
黏	nɪŋ21	
沾	tsɪŋ32	
淹	jɪŋ32	
炎	jɪŋ21	
鉗	kʰɪŋ21	
檢	kɪŋ45	
險	hɪŋ45	
掩	jɪŋ45	
儉	kɪŋ43	
驗	jɪŋ43	
佔	tsɪŋ23	
添	tʰɪŋ32	
甜	tʰɪŋ21	
兼	kɪŋ32	
謙	hɪŋ32	
嫌	hɪŋ21	
點	tɪŋ45	
歉	hɪʔ23	
店	tɪŋ43	
墊	tɪŋ43	
念	nɪŋ43	
帖	tʰɪʔ23	
蝶	tɪk33	
貼	tʰɪʔ23	
疊	tɪk33	
協	hɪʔ23	
耽	taŋ32	
探	tʰaŋ23	
貪	tʰaŋ32	
潭	tʰaŋ21	
南	naŋ21	
男	naŋ21	
蠶	tsʰaŋ21	
堪	hɔŋ32	
含	hɔŋ21	
慘	tsʰaŋ45	
感	kaŋ45	
暗	ɔŋ23	
答	ta23	
踏	tak33	
沓	tak33	
納	nak33	
摺	tsɪʔ23	
拉	lai32	
雜	tsak33	
鴿	ka23	
蛤	kɔk55	蛤乸
蛤	ha32	蛤蟆
哈	ha32	
盒	hak33	
合	hak33	合適
合	ka23	同“夾”
圾	sa23	
劍	kɪŋ23	
享	hœŋ45	
踩	tsʰai45	
糕	kɐu32	
柿	sɔi21	
糯	nu43	
歪	vai32	
疤	pa32	
污	vu32	
汽	hɐi23	
棕	tsəŋ32	
撇	pʰɪʔ23	
撒	sa23	
撐	tsʰaŋ32	
掙	tsaŋ32	掙扎
掙	tsaŋ43	掙錢
砍	hɔŋ45	
聯	lɪŋ21	
棋	kʰɐi21	
蹦	pɐŋ32	
週	tsɔ32	
她	tʰa32	
奶	nai23	
剷	tsʰaŋ45	
闆	paŋ45	
磁	tsʰɐi21	
嘩	va32	
磚	tsɪŋ32	
躲	tu45	
躺	tʰɔŋ45	
嘴	tsui23	
間	kaŋ32	房間
間	kaŋ23	時間
餃	kau45	
揪	tsɔ32	
餵	vɔi23	
餡	haŋ45	
嶄	tsaŋ45	
淘	tʰɐu21	
擦	tsʰa23	
嚐	sœŋ21	
擱	kɔ23	
桿	kəŋ32	
胸	hŋ32	
挖	va23	
碗	vəŋ45	
碟	tɪk33	
碰	pʰəŋ23	
熔	jəŋ21	
颳	ka23	
缽	pəʔ23	
您	nɐi23	
搬	pəŋ32	
噹	tɔŋ32	
噸	tɐŋ32	
搞	kau45	
捱	ŋai21	
捆	kʰɐŋ45	
灶	tsɐu23	
峰	fəŋ32	
壟	ləŋ23	
摔	sɐk55	
槓	kɔŋ23	
輛	lœŋ43	
騙	pʰɪŋ23	
霉	mui21	
錶	piu45	
崑	kʰɐŋ32	
群	kʰɐŋ21	
怎	tsɔŋ45	
嗎	ma32	助詞
齣	tsʰɐk55	
嗓	sɔŋ32	從“桑”
塌	tʰa23	
膛	tʰɔŋ21	
辣	lak33	
匆	tsʰəŋ32	
睬	tsʰui45	
睏	kʰɐŋ23	
謊	fɔŋ32	
裏	lui23	
儘	tsɐŋ43	儘管
滾	kɐŋ45	
岩	ŋaŋ21	
喂	vɐi32	
喇	la32	喇叭
臟	tsɔŋ43	
罈	tʰaŋ21	
蛋	taŋ43	
魂	vɐŋ21	
啦	la32	
啊	a32	
啟	kʰɔi45	
啓	kʰɔi45	
蝴	fu21	
鬍	fu21	
懂	təŋ45	
鏽	sɔ23	
糰	tʰɪŋ21	
傢	ka32	
伙	fu45	
櫥	tsʰi21	
湧	jəŋ45	
燙	tʰɔŋ23	
哪	na23	哪裡
哪	na23	語氣詞
哪	na21	哪吒
勾	ŋɔ32	勾引
勾	kʰɔ32	勾當
瞧	tsʰiu21	
耍	sa45	
稿	kɐu45	
另	lɐŋ43	
螞	ma23	螞蟻
螞	ma32	螞螂
艙	tsʰɔŋ32	
你	nɐi23	
佣	jəŋ45	
樣	jœŋ43	
僞	ŋɔi43	
票	pʰiu23	
颱	tʰui21	
褲	fu23	
癒	ji43	
倆	lœŋ23	
倘	tʰɔŋ45	
們	məŋ21	
濾	lui43	
厘	lɐi21	
咱	tsa32	
瘋	fəŋ32	
簽	tsʰɪŋ32	
嚷	jœŋ43	
賠	pʰui21	
窗	tsʰœŋ32	
賺	tsaŋ43	
做	tsɐu23	
窩	vu32	
俐	lɐi43	
綁	pɔŋ45	
綑	kʰɐŋ45	
埕	tsʰɐŋ21	
殼	hɔ23	
抬	tʰui21	
呃	ŋak55	
呆	ŋui21	
婿	sɔi23	
卡	kʰa32	
吩	fɐŋ32	
吊	tiu23	
晌	hœŋ45	
晒	sai23	
壩	pa23	
晰	sɐk55	
晾	lɔŋ43	
拿	na21	
拷	hau32	
秘	pɐi23	
拆	tsʰa23	
爺	jɛ21	
葡	pʰɐu21	
嬸	sɔŋ45	
垃	lak33	
丟	tiu43	
垮	kʰa32	
菠	pu32	
菇	ku32	
潑	pʰəʔ23	
裙	kʰɐŋ21	
皂	tsɐu43	
皓	hau43	
炸	tsa23	
甦	sɐu32	
甩	lɐk55	
耗	hɐu23	
狠	hɐŋ45	
蒂	tɔi23	
乒	pɐŋ32	
乓	pɔŋ32	
么	jiu32	
趴	pʰa32	
症	tsɐŋ23	
趕	kəŋ45	
找	tsau45	
扯	tsʰɛ45	
托	tʰɔ23	
氧	jœŋ23	
煉	lɪŋ43	
煲	pɐu32	
煮	tsi45	
稼	ka23	
硃	tsi32	
獃	tai32	
纔	tsʰui21	
稗	pɔi23	
曬	sai23	
薺	tsʰɔi21	
荔	lai43	
豉	si43	
尸	si32	
菢	pɐu43	
薅	hɐu32	
鉸	kau23	
拗	au45	
漚	ɔ23	
鞦	tsʰɔ32	
餿	sɔ32	
殲	tsʰɪŋ32	
閹	jɪŋ32	
艷	jɪŋ43	
掂	tɪŋ43	
閑	haŋ21	
憋	pɪk33	
癬	sɪŋ45	
孽	jɪk33	
捋	lɪʔ23	
閂	saŋ32	
侄	tsɐk33	
熏	fɐŋ32	
糠	hɔŋ32	
牀	tsʰɔŋ21	
鑊	vɔk33	
朴	pʰɔ23	
鯽	tsɐk55	
捅	tʰəŋ45	
糉	tsəŋ45	
鬨	kʰəŋ23	
衆	tsəŋ23	
捻	nɪŋ43	
鉢	pəʔ23	
喫	jak33	
偈	kɔi45	
剌	la21	
姥	lɐu23	
衲	nak33	
撬	kiu43	
罅	la23	
樽	tsɐŋ32	
