漢字	注釋	周城	金華	洛本卓	營盤	共興	大華
□	説	tso⁸	tso⁸			dzu⁸	
說	說	sua⁷	sua⁷	sua⁷	sua⁷	sua⁷	sua⁷
披	撕	pʰe¹	pʰe¹	tɕʰui¹	pʰi¹		pʰɛ¹
算	算		suã⁵	suĩ⁵	ɕuᴇ⁵	ɕuĩ⁵	ɕui⁷
□	碎	ɕo⁵	ɕo⁵		ɕu⁵		
鎖	鎖門；鎖頭；鐵鎖	suo³	so³	so³	sø³	su³	so³
擔	擡	ta¹	tã¹	ti¹	tiɛ¹	tĩ¹	ti¹
□	流；下垂		kɛ⁸		qɛ⁸		
寢	躺		tsʰɛ̃³				
亡	逃跑	mu⁵	mo²	mɯ̃²	mɯ²	mu²	mv²
丐	討要；施捨，給	ka⁷	ka⁷	qa⁷	qa⁷	qa⁷	qa⁷
□	痛	si⁶	sṽ⁶	sõ⁶	sø⁶	sã⁶	sʰɯ̃⁶
踢	踢	tɕʰɛ⁷	tɕʰɛ⁷		tɕʰɛ⁷	tɕʰɛ⁷	
暝	天黑；暗	miɛ⁷	miɛ⁵	ȵua⁵	miɛ⁵	ȵue⁵	ȵõ⁷
□	舔	tsi⁴	tsi⁴	dʐɛ⁴	dzɿ⁴	dʐʅ⁴	tʂʅ⁴
擇	選(種)；挑選	to⁸	to⁸	to⁸	tu⁸	tu⁸	to⁸
□	跳舞		ko⁴	ɡo⁴		ɡo⁴	ko⁴
貼	貼	tɕʰa⁷	tɕʰa⁷		tɕʰa⁷	tɕʰa⁷	tɕʰa⁷
聽	聽；聽從，依從	tɕʰɛ¹	tɕʰɛ̃¹	tɕʰã¹	tɕʰɛ¹	tʂʰɛ̃¹	tɕʰo¹
息	停止		sɯ⁷		si⁷	sɯ⁷	
盗	偷竊；偷偷地	ta⁶	ta⁶	die⁶	diᴇ⁶	de⁶	di⁶
挖	挖；埋	ua⁸	ua⁸	ua⁸	ua⁸	ua⁸	ua⁸
斸	挖；鋤	tv⁷	tv⁷	to⁷	tø⁷	to⁷	ti⁷
□	推	ma¹	ma¹		miᴇ¹	mĩ¹	me¹
□	後退		lo⁶	lɯ⁶	lø⁶	la⁶	
蛻	蛻皮		lua⁷	la⁷		la⁷	
□	脫掉；失掉		sua⁷				
□	脫(衣)	lua¹	lui¹	lyi¹	(la¹)	lyi¹	lui¹
□	馱		tsɯ̃⁵	tsi⁵	tsɿ⁵	tɕi⁵	tsɯ̃⁷
□	完(做~)		lo⁵		lø⁵		
飼	餵		si⁶				
□	餵(奶)		o¹	o¹	ø¹	ɔu¹	ɔu¹
餵	餵	ue⁵	ui⁵		uᴇ⁵	ui⁵	
嗅	聞	tsʰu¹	tsʰu¹	ʈʰu¹	tʰiu¹	tʂʰu¹	
□	問	piɛ⁷	piɛ⁷	tɕua⁷	piɛ⁷	tɕuɛ⁷	tɕo⁷
習	習慣	se⁷	se⁷	ʂɛ⁷	ɕᴇ⁷	ʂe⁷	
洗	洗	se³	se³	ɕui³	ɕɯ³	ɕi³	si³
□	下(~山)	tʰɯ¹	tʰɯ¹	ʈʰɯ¹	tʰiɯ¹	tʰi¹	tɕʰɯ̃¹
落	下；下降；落下	o⁸	ɣo⁸	o⁸	u⁸	u⁸	uo⁸
驚	嚇唬		kɛ̃¹				
信	相信		ɕĩ⁶	sẽ⁶	si⁶		
□	想；思念	mi⁴	mi⁴	mi⁴	mi⁴	mĩ⁴	mĩ⁴
笑	笑	so⁶	so⁶	sv⁶	su⁶	su⁶	sʰo⁶
畫	寫		vɛ⁵		vɛ⁵	ue⁵	
擤	擤	xɯ³	xɯ̃³	xɯ̃³	χɯ³	xɯ̃³	(fv³)
醒	醒		ɕɛ̃³				
刺	繡花	tɕʰɛ⁷	tɕʰɛ⁷		tɕʰɛ⁷		tɕʰa⁷
學	學	ɣɯ⁸	ɣɯ⁸	ɣɯ⁸	ʁɯ⁸	ʁɯ⁸	ɣɯ⁸
熛	燻(肉)	pʰio¹	pʰio¹	tɕʰo¹	pʰiø¹	tɕʰo¹	tɕʰuã¹
尋	尋找	ji²	ɕĩ²/jĩ²		zi²		
□	閹	mio¹	miɛ¹	ȵv¹	miᴇ¹	ȵue¹	ȵõ¹
揚	揚穀		jõ²				
癢	癢	jou⁴	jõ⁴	ȵõ⁴	ȵo⁴	jõ⁴	ȵõ⁴
搖	搖；擺動；搖動；搖曳	jou²	ju²	ju²	ju²	ju²	v²
□	啃，咬		tɕi⁷				
齧	咬	ŋa⁷	ŋa⁷	ŋa⁷	ŋa⁷	ŋa⁷	ŋa⁷
慾	要	ȵou⁷	jõ⁷	ȵõ⁷	ȵu⁷	ȵõ⁷	nv⁷
□	贏		ɣo²	jo²	ɣø²	ɣo²	ɣo²
迎	迎接		ŋɛ²	ã²	ŋɛ²		
□	有	tsɯ⁴	tsɯ⁴	dʑi⁴	dʑɯ⁴	dʑi⁴	dzɿ⁴
□	暈，昏		sɯ̃²	zɛ̃²	zi²	zɯ̃²	zɛ²
種	種植；栽種	tsv⁵	tsṽ⁵	tɕu⁵	tɕø⁵	tʂõ⁵	tʂʅ⁵
在	在；存在；處在；取決於	tsɯ⁴	tsɯ⁴	dʑi⁴	dʑɯ⁴	dʑi⁴	dzɿ⁴
□	鑿	ke⁷	ke⁷			ke⁷	kɛ⁷
刺插	扎；戳	tɕʰɛ⁷	tɕʰɛ⁷	ʈʰa⁷	tɕʰɛ⁷	tʂʰɛ⁷	tɕʰa⁷
壓	榨(油)	ɛ⁷	ɛ⁷	a⁷	ɛ⁷	ɛ⁷	ɔ⁷
□	摘(~果子)	kʰua⁷	kʰua⁷	kʰua⁷	kʰua⁷	kʰua⁷	kʰua⁷
□	豎，立		ji⁸				
□	站立	tsɯ⁶	tsɯ⁶		diɯ⁶		
增	漲(水~了)		tsɯ̃¹	tsɛ̃¹	tsɿ¹	tsɯ̃¹	tsɛ̃¹
□	遮蔽	pe³	pẽ³	tɕʰuĩ³		pi³	pi³
蒸	蒸	tsɯ¹	tsɯ̃¹	ʈɯ̃¹	tiɯ¹		tɯ̃¹
織	織	tsɯ⁷	(tsi⁷)	ʈɯ⁷	tiɯ⁷	tʂʅ⁷	tɕɯ⁷
撐	腫	tsʰi¹	tsʰɛ̃¹	tsʰɛ̃¹	tsʰɿ¹	tʂʰʅ¹	tʂʰʅ¹
杖	拄；拐杖；杵，棒		tsõ⁴				
□	托(腮)；頂		tsɯ³	ʈɯ³	tiɯ³		tɕɯ̃³
煮	煮	tsv³	tsv³	tsu³/tɕv³	tɕu³	tʂo³	tʂʅ³
□	抓；揪	tsua⁷	tsua⁷	tsua⁷	tsua⁷	tsua⁷	
轉	旋轉	jui⁶/tsui⁶	tsuĩ⁵	zuɛ̃⁶	tɕuɛ⁵/tɕuɛ⁶	juĩ⁶	zue⁶
□	追；趕	tɛ³	tɛ̃³	tã³	tɛ³	tẽ³	
格	捉	kɛ⁷	kɛ⁷	ka⁷	kɛ⁷	kɛ⁷	ko⁷
啄	啄	tv⁷	tv⁷	to⁷	tø⁷	to⁷	ti⁷
□	走		tso⁸				
𧿳	走；跑；跳	pe⁷	pe⁷		pɛ⁷		pɛ⁷
□	泥鰍	v⁷	v⁷	õ⁷	o⁷	o⁷	õ⁷
胯	大腿	kʰua⁶	kʰuɛ⁶	qʰua⁶	qʰua⁶	qʰuɛ⁶	kʰɛ⁶
連	和，跟		jĩ¹	ȵi¹	ȵi¹	ȵi¹	ȵe¹
□	甑子	ui²	ŋui²	uɛ̃²	ŋui²	uẽ²	ŋuɛ̃²
價	價錢	kɛ⁵	kɛ⁵	qa⁵	qa⁵	qa⁵	qo⁷
夫	公的；雄性的；祖父	po¹	po¹	pv¹	pv¹	pv¹	pɯ̃¹
母	雌性的；母親	mo⁴	mo⁴	mɔ⁴	mø⁴	mũ⁴	mõ⁴
□	也	li¹	li¹	le¹	li¹	li¹	li¹
螕	牛蝨	pe¹	pe¹		pi¹		
粕	酒糟；渣滓	pʰa⁷	pʰa⁷	pʰa⁷	pʰa⁷	pʰa⁷	pʰa⁷
貓	野貓	mɯ²	mɯ²	mɯ̃²	mɯ²	mu²	
□	篾	mi²	mi²	mi²	mi²	mi⁷	mi²
底	底兒	tɕi³	tɕi³	ti³	ti³	tɕi³	tɕi³
漆	漆；油漆，塗漆	tɕʰi⁷	tɕʰi⁷	tɕʰi⁷	tsʰi⁷	tɕʰi⁷	tsʰi⁷
嗉	嗉子	tsʰu⁶	tsʰu⁶	tsʰu³	tsʰu⁶	tsʰu⁶	tsʰo⁶
蕨	蕨菜	kua⁷	kua⁷	kua⁷	kui⁷	kua⁷	kua⁷
薅	薅(草)	kʰu¹	kʰu¹	qʰv¹	qʰu¹	qʰou¹	kʰou¹
語	語言	ŋv⁵	ŋv⁵	õ⁵	ŋø̃⁵	ŋõ⁵	ŋõ⁴
彈	彈；彈奏；用手指敲擊	ta²	ta²	to²	tø²	to²	ta²
□	賒，欠	tɕi⁸	tɕi⁸	tɕi⁸	tɕi⁸		
絕	斷，盡；呼吸中止		tsui⁸	tsuɛ⁷	tsuᴇ⁷	tsui⁷	tsuẽ⁸
爐	爐子		lu²		lu²	lo²	
騰	騰(地方)	tʰɯ¹	tʰɯ̃¹		tʰɯ¹	tʰɯ̃¹	tʰɯ̃¹
□	打	to⁷	to⁷	ʈv⁷			tv⁷
□	(豆)莢	pa⁸	pa⁸		pa⁸	pa⁸	pa⁸
飯	晚飯；午飯	pe⁴	pẽ⁴	bẽ⁴	bɛ⁴	bẽ⁴	be⁴
□	爲了	pɯ⁶	pɯ⁶	bɯ⁶	bɯ⁶	bv⁶	
服	馴(馬)		pɯ̃⁸	pɯ⁸	pɯ⁸	pe⁸	
稗	稗子	pɛ⁸	pɛ⁸	pa⁸	pɛ⁸	bɛ⁸	pɔ⁸
□	寡蛋	tua⁶	tua⁶	die⁶	du⁸		ti⁶tɕui⁶
□	(刀)背		to⁶	do⁶	dø⁶	do⁶	do⁶
兜	把尿	tɯ²	tɯ²		tiɯ²	ti²	
蟬	蟬	ta²	ta²	to²	tø²	to²	ta²
炸	炸(油炸)		tsa⁸		tia⁸		
涉	涉(水)		tse⁸		tsᴇ⁸	tse⁸	
旗	旗子	tɕi²	tɕi²		tɕi²	tɕi²	tɕɛ²
□	梅子	tɕi⁴	tɕĩ⁴		dʑi⁴	dʑi⁴	
罪	罪		tsui⁴	zuɛ̃⁴	dzuɛ⁴		
市	集市；街道	tsi⁴	tsi⁴	dʐɛ⁴	dzɿ⁴	dʐʅ⁴	tʂʅ⁴
贖	贖		tsṽ⁸	tɕo⁸	tɕø⁸		tʂʅ⁸
含	含	ka²	ka²		qa²		qa²
蝦	蝦	ɣo²	ɣo²		ɣø²	ɣo²	ɣo²
笿	籮筐		ɣo⁸	uo⁸	ɣu⁸	uo⁸	uo⁸
屐	草鞋		kɛ⁸	qa⁷		qɛ⁸	qo⁸
□	葫蘆	ku²	ku²	kv²	qu²	qo²	ko²
□	釉	kv⁸	kv⁸	kv⁸	ko⁸		ko⁸
□	飽滿		kuĩ⁶	gue⁶	gui⁶	guĩ⁶	gui⁶
□	乾飯	xɛ¹	xɛ¹		xɛ¹	xa¹	xa¹
□	燙(豬)	lui⁷	lui⁷		lɛ⁷		lɛ⁷
臘	臘(肉)	la⁷	la⁷		la⁷	la⁷	la⁷
面	部位；方面；面頰	mi⁵	mi⁵	mi⁵	mi⁵	mi⁵	
蜜	蜂蜜	mi⁷	mi⁷	mi⁷	mi⁷	mĩ⁷	mi⁷
茅	茅草	mo¹	mo¹	me¹	mø¹	mo¹	
□	瞪眼		mɛ⁵	mɛ⁵	mɛ⁵		
□	翻越	no¹	nõ⁷	nṽ¹	nø¹		nõ¹
□	零		jĩ¹	ȵi¹	ȵi¹	ȵi¹	ȵe¹
用	用	zv⁶	jõ⁵	ȵõ⁵	ȵu⁷	ȵõ⁷	nv⁷
□	性交	ȵe⁷	jɛ̃⁷	ȵa⁷	ȵɛ⁷	ȵɛ⁷	ȵã⁷
胡	胡(蜂)；來自少數民族的	ɣo²-	ɣo²-		ʁø²-		
窯	窯	jou²	ju²		ju²	jui²	jo²
起	起來；發生，引起；開始；動身，起行	kʰɯ¹	kʰɯ¹	kʰɯ¹	kʰɯ¹		kʰɯ¹
□	不		a⁶	a⁶	a⁶		
傾	傾倒	kʰv¹	kʰṽ¹	kʰõ¹		kʰõ¹	kʰõ¹
麹	酒麴	kʰv⁷	kʰv⁷	kʰo⁷	kʰø⁷	kʰou⁷	kʰv⁷
□	箕；筐	kʰv¹	kʰv¹	kʰv¹	kʰø¹		kʰv¹
韭	韭菜	kɯ³	kɯ³	kɯ³	kɯ³		kɯ̃³
□	馴順		ŋv¹	me¹	mɛ¹		
□	長大	kuo¹	ko¹	ko¹	kø¹		
□	抖落；拍打	ko⁵	ko⁵	ko⁵	ko⁵		ko²
□	方，方面		pʰo⁷	pʰo⁷	pʰɯ⁷	pʰu⁷	
□	租佃	pʰo⁷	pʰo⁷	pʰo⁷	pʰɯ⁷		kʰv⁷
□	醃；酸菜	kv¹	kv¹		kø¹	kɯ¹	
□	生(小牛)		mɯ⁶	mɯ̃⁶			
□	昏迷		me²	mɛ²	mɛ²		
□	彎(腰)	me⁴			mɛ⁴	mẽ⁴	me⁴
鍪	鼎鍋；鍋		mɯ²	mɯ̃²	mɯ²	mu²	mv²
墓	墳墓	mo⁵	mɯ⁶	mo⁶	mø⁶	mɯ̃⁶	mv⁶
□	倒		nɯ⁴		nɯ⁴		nɯ̃⁴
粱	高粱	no⁴	nv⁴	nõ⁴	nø⁴	no⁴	nõ⁴
□	捧；撮	ja²	jã²	ȵõ²	ȵa²		ȵi²
牙	大牙；牙齒		ŋɛ²	ã²			
甍	房梁	ua²	ŋuɛ²	uã²	uɛ²	uã²	
鉢	鉢；大碗	pa⁷	pa⁷	pie⁷	pa⁷	pa⁷	
跋	倒塌	pa⁷	pa⁷		pa⁷		
背	手背	pe⁵	pe⁵		pɛ⁵	pi²	pɛ⁵
撥	挑開	pʰa⁷	pʰa⁷	pʰa⁷	pa⁸	pʰa⁷	pʰa⁷
秕	秕穀；癟(穀)		pʰi³		tsʰuɛ³	tɕʰui³	
□	摑	pou⁷		po⁷	po⁷		
半	半(~路、~桶)	pa⁵	pã⁵	pie⁵	piᴇ⁵	pĩ⁵	
絆	絆(腳)	pa⁵	pã⁵		piᴇ⁵	pĩ⁵	
□	打	kã⁵	kã⁵	qã⁵			
匣	匣；糧櫃	ka⁷	ka⁷	qa⁷	qa⁷	qa⁷	qa⁷
絇	一縷(綫)		kɯ¹	qɯ¹		qɯ¹	
劇	最；極		kɛ⁷	qo⁷	qɛ⁷	qɛ⁷	
更	改		kɛ̃⁵	qa⁵	qa⁵	qɛ̃⁵	kɛ⁵
枷	連枷	kɛ¹	kɛ¹		qɛ¹	qɯ¹	qo¹
葭	蘆葦	kɛ¹	kɛ¹	qo¹	qɛ¹		ko¹
□	(馬)大跑；奔跑(牛、馬)	sa⁷	sa⁷		sa⁷		
成	成功；成爲	tsɛ²	tsɛ̃²	ʈã²	tia²	dʐɛ²	dʑo²
城	城；城市	tsɛ²	tsɛ̃²	ʈã²	tia²	dʐɛ²	dʑo²
□	噎	se⁷	se⁷	sɛ⁷	sɛ⁷	sɯ⁷	sɛ⁷
□	瘊子；疣子	se¹	si¹			ɕi¹	
□	送別；輸送；贈送	sou³	sõ³	ɕõ³	ɕø³	ʂõ³	ɕõ³
□	離開		sɛ⁷	ʂɛ⁷			ɕi⁷
□	一陣	si¹	sɛ̃¹	ʂɛ¹	sɿ¹	ʂʅ̃¹	ʂʅ¹
髓	骨髓	ɕui³	ɕuĩ³	ʂuɛ̃³	suɛ³	ɕui³	sʰuɛ³
筍	竹筍	ɕui³	ɕuĩ³	ʂue³	suɛ¹	ɕuĩ³	
飾	塗抹		sɯ⁷	ɕi⁷			ʂʅ⁷
照	照(太陽~)；照(~鏡子)		tsõ⁵	ʈõ⁵	tiø⁵	tʂõ⁵	to⁷
□	生火	tsou¹	tsõ¹	ʈõ¹	tiø¹	tʂõ¹	tõ¹
巾	巾	tɕe¹	tɕĩ¹	tɕĩ¹	tɕi¹	tɕĩ¹	tɕi¹
□	朽		tɕu¹	tɕv¹	tɕv¹	tɕui¹	
盅	杯子	tsv¹	tsṽ¹	tɕõ¹	tɕu¹		
燭	蠟燭	tsv⁷	tsv⁷		tɕø⁷		
啇	綫結；樹墩	te⁷	te⁷	tɛ⁷	tɛ⁷	te⁷	tɛ⁷
篼	籮筐	tɯ¹	tɯ¹	ʈɯ¹	tiɯ¹	ti¹	
□	贈送		tsõ¹				
□	砸	tsa⁷	tsa⁷	tsa⁷	tsa⁷	tsa⁷	tsv⁷
□	蛀	tsa⁷	tsa⁷	tsa⁷	tsa⁷	tsa⁷	
□	棺材	tsʰou¹		tsʰẽ¹	tsʰɛ¹		tsʰẽ¹
餐	早飯	tsʰa¹	tsʰã¹		tsʰɛ¹	tsʰã¹	
□	刀刃	tsʰi¹		tʂʰʅ̃¹	tsʰi³	tʂʰʅ³	tʂʰʅ³
□	蹲		tsʰv⁷	tsʰo⁷	tsʰø⁷	tsʰou⁷	tsʰi⁷
□	犁(地)	tsou⁷	tso⁷	tso⁷	tsu⁷	tsu⁷	tso⁷
□	跨	za⁸	sa⁸	zã⁸	za⁸		za⁸
□	澇；淹		ɛ⁷		ɛ⁷		
□	傻		ɛ³		ɛ³		e³
腌	腌	ɛ⁷	ɛ⁷	a⁷	ɛ⁷	ɛ⁷	ɔ⁷
□	淹		ṽ¹	o¹	ø¹	õ¹	
裹	包裹		ko³				
貝	貝殼；錢財		pia⁷				
趖	奔，奔波		so¹				
避	避		pʰĩ⁶				
默	不吱聲		mɯ⁷				
裝	存放		tsõ¹				
稈	稻稈		kã³				
定	定		tɕɛ̃⁶				
發	發		fɛ⁷				
幅	幅		pɯ⁷				
杆	杆子		kã¹				
□	咯		kʰɛ⁷				
私	個人的；自己的		si¹				
□	供，祭奠		kõ³				
□	過飽		tsv⁸				
祀	祭祀		si³				
堅	堅固		kẽ¹				
□	箭頭		pi¹				
逐	較量；爭鬥		tsv⁷				
角	較量；爭鬥		kv⁷				
常	經常		tsõ²				
境	境界		kɛ̃³				
靜	靜寂		tɕɛ̃³				
□	楷書		tsɛ̃¹				
□	狂跑；狂奔		kɛ̃³				
婢	奴婢		pi⁴				
篇	篇		pʰĩ¹				
片	片		pʰĩ⁶				
□	破爛		ko⁵/ko⁸				
棲	棲息；棲身		tsʰe¹				
□	祈禱		tso⁵/tso⁸				
麒	麒麟		tɕi²				
聘	請；訂婚		piɛ⁷				
請	請求；邀請		tɕʰɛ̃³				
□	撒尿		si¹				
□	失去睡意		kɛ̃³				
詩	詩		si¹				
石	石(容量單位)		tã⁵				
藻	水藻		tsu³				
素	素菜		sv⁵				
□	推原		ŋui²				
性	習性；性格		ɕɛ̃⁵				
式	樣式		sɯ⁷				
葛	野葛		ka⁷				
□	野茭瓜；野茭菜		tsõ¹				
□	依賴		ɣo⁵				
資	用；錢財		tsi¹				
□	魚罟；魚簍		kɯ³				
□	魚鷹		ko¹				
□	罾網		ko²				
柞	柞木		tso⁸				
樟	樟樹		tsõ¹				
汁	汁，湯		tsɛ⁷				
□	執拗，犟		ji⁸				
莊	莊子；莊園		tsõ¹				
