// HSD Syllabary Data Partition
p	iə̃ŋ	上聲	稟 丙 秉 柄 餅
p	iə̃ŋ	去聲	殯 鬢 病 併 並
pʰ	iə̃ŋ	陽平	貧 憑 平 坪 評 瓶 屏 萍
pʰ	iə̃ŋ	上聲	品 拼2{~音}
pʰ	iə̃ŋ	去聲	聘
m	iə̃ŋ	陽平	眠 民 抿1{~嘴} 明 冥 名 銘 盟{~誓}
m	iə̃ŋ	上聲	敏 抿2{~面}
m	iə̃ŋ	去聲	命
t	iə̃ŋ	陰平	丁 釘1{鐵~;疔} 盯
t	iə̃ŋ	上聲	頂
t	iə̃ŋ	去聲	釘2{~鍋} 訂 定
n	iə̃ŋ	陽平	寧1{安~}
n	iə̃ŋ	去聲	寧2{~可} 硬
l	iə̃ŋ	陽平	林 淋 臨 鄰 麟 憐 淩 靈 零 鈴 翎
l	iə̃ŋ	上聲	凜 領 嶺
l	iə̃ŋ	去聲	賃 令 另
tɕ	iə̃ŋ	陰平	今 金 襟 津 巾 斤 筋 更1{深~半夜} 頸 精 晶 睛 驚 京 耕 經
tɕ	iə̃ŋ	上聲	錦 儘{~前頭} 緊 僅 謹 景 警 井
tɕ	iə̃ŋ	去聲	禁{~止} 妗 盡 進 晉 莖 徑 淨 靜 勁 近 敬 鏡 境 竟
tɕʰ	iə̃ŋ	陰平	親1{~人} 清 輕 聽 青 靖 庭 艇 挺 亭 廟
tɕʰ	iə̃ŋ	陽平	芩 琴 禽 擒 秦 勤 芹 情 晴 停 渟
tɕʰ	iə̃ŋ	上聲	侵 寢 岑 請 廷 艇 挺 頃 傾
tɕʰ	iə̃ŋ	去聲	吣 親2{~家} 慶 睛{~等}
ɕ	iə̃ŋ	陰平	心 辛 新 薪 欣 興1{~旺}
ɕ	iə̃ŋ	陽平	尋 行1{~為} 形 型 刑
ɕ	iə̃ŋ	上聲	省2{反~;醒}
Ø	iə̃ŋ	陰平	音 陰 淫 殷 嬰 纓 英 迎 櫻 鷹 姻 咽 因
Ø	iə̃ŋ	陽平	銀 寅 營 贏 蠅
Ø	iə̃ŋ	上聲	引 隱 尹 影 飲1{~料}
Ø	iə̃ŋ	去聲	蔭 窨 飲2{~牛} 印 應 映
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	n	tɕ	tɕʰ	ɕ	Ø
@FIN	iɛ
@TON	陰平	213
@TON	陽平	44
@TON	上聲	313
@TON	去聲	53

// Initial	Final	Tone	CharList (Space separated)
n	iɛ	陽平	茶
tɕ	iɛ	陰平	階 街
tɕ	iɛ	上聲	姐 解 髻{鬆~}
tɕ	iɛ	去聲	借 介 界 芥 疥 屆 戒 械
tɕʰ	iɛ	陽平	茄{~子}
tɕʰ	iɛ	上聲	且
ɕ	iɛ	陽平	些 邪 斜 鞋
ɕ	iɛ	上聲	寫
ɕ	iɛ	去聲	瀉 卸 謝 泄
Ø	iɛ	陽平	爺
Ø	iɛ	上聲	也 野
Ø	iɛ	去聲	夜 液
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	p	pʰ	m	f	v	t	tʰ	ts	tsʰ	s	z	k	kʰ	x
@FIN	u
@TON	陰平	213
@TON	陽平	44
@TON	上聲	313
@TON	去聲	53

// Initial	Final	Tone	CharList (Space separated)
p	u	陰平	補 捕 堡2{地名}
p	u	去聲	部 布 佈 步
pʰ	u	陰平	鋪1{動詞}
pʰ	u	陽平	菩{~薩} 脯1{~子}
pʰ	u	上聲	譜 普 甫 脯2{果~}
pʰ	u	去聲	鋪2{名詞}
m	u	陽平	模 摹 謀
m	u	上聲	某 畝 母 拇
m	u	去聲	幕 墓 牧
f	u	陰平	夫 敷 俘 孵 麩
f	u	陽平	膚 符 扶 傅 浮
f	u	上聲	府 腑 斧 腐 輔 否
f	u	去聲	父 付 附 婦 負 副 富
v	u	陰平	烏 污
v	u	陽平	吳 蜈 無
v	u	上聲	五 伍 午 武 舞 鵡
v	u	去聲	誤 悟 惡2{可~;務} 霧 戊
t	u	陰平	都
t	u	上聲	堵 賭 肚1{~子}
t	u	去聲	杜 肚2{皮~;妬} 度 渡 鍍
tʰ	u	陽平	徒 屠 途 塗 圖
tʰ	u	上聲	土 吐
tʰ	u	去聲	兔
ts	u	陰平	租 豬 蜘蛛 朱 珠 帚{帚蚤跳~}
ts	u	上聲	煮 祖 組 阻 拄 主 帚
ts	u	去聲	著 助 柱 註 住 注 蛀
tsʰ	u	陰平	粗
tsʰ	u	陽平	除 初 鋤 廚
tsʰ	u	上聲	儲 褚 楚 處1{~理}
tsʰ	u	去聲	醋 處 處1{好~}
s	u	陰平	蘇 酥 梳 疏 書 舒 輸 殊
s	u	上聲	蔬 鼠 黍 暑 薯 數1{動詞} 蜀
s	u	去聲	素 訴 塑 嗉{雞~子} 庶 恕 數2{名詞} 樹 豎 漱
z	u	陰平	□{伸出}
z	u	陽平	如
z	u	上聲	乳 孺{~了個什麼東西}
z	u	去聲	□{伸出}
k	u	陰平	姑 孤 箍
k	u	上聲	古 估 股 鼓
k	u	去聲	故 固 雇 顧
kʰ	u	陰平	枯
k	u	上聲	苦
kʰ	u	去聲	庫 褲
x	u	陽平	呼 胡 湖 狐 壺 乎 鬍
x	u	上聲	虎 滸{水~}
x	u	去聲	戶 互 護 瓠{~子}
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	ts	s	k	kʰ	x
@FIN	ua
@TON	陰平	213
@TON	陽平	44
@TON	上聲	313
@TON	去聲	53

// Initial	Final	Tone	CharList (Space separated)
ts	ua	陰平	髽{~髻} 抓
ts	ua	上聲	爪2{~子}
s	ua	上聲	耍
k	ua	陰平	瓜 刮1{~鬍子}
k	ua	上聲	寡 刷
k	ua	去聲	掛 卦
kʰ	ua	陰平	誇
kʰ	ua	上聲	垮 侉{~子}
x	ua	陰平	花 華
x	ua	陽平	驊 划{~船}
x	ua	去聲	化 樺 畫 話
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	t	tʰ	l	ts	tsʰ	s	k	kʰ	x
@FIN	uaʔ
@TON	入聲	3

// Initial	Final	Tone	CharList (Space separated)
t	uaʔ	入聲	掇 奪
tʰ	uaʔ	入聲	脫 託 托
l	uaʔ	入聲	落2{~後} 烙2{~鐵} 洛 絡 樂2{快~} 肋
ts	uaʔ	入聲	拙 作 昨 桌 琢 啄 捉 獨
tsʰ	uaʔ	入聲	戳
s	uaʔ	入聲	刷 說 索 朔 縮
k	uaʔ	入聲	刮2{~風} 郭 國
kʰ	uaʔ	入聲	括 闊2{寬~} 擴
x	uaʔ	入聲	豁 活 滑 猾 或 惑 獲 劐
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
