星宿	ɕin1 ɕiɵu2	星星
空手撂脚 kʰoŋ1 sɵu3 liɐɤ5 tɕio2 空着手：你~的，还好意思走人家去？
焪 kʰoŋ3 焖：~马铃薯饭。
箍 kʰu1 ①从物体中部用竹条捆扎：~水桶。②限制：一点小利益就把他~倒了。③维系团结：他们单位闹矛盾，全得老王把他们~倒起。
垮 kʰua3 ①往下掉：孩子的裤子~了。②阴沉着脸，表示不满意：你看他，脸包一~起。
垮脸 kʰua3 liɛ̃3 变脸色。
梱 kʰun2 ①完全、完整的：你吃这个粑粑是~的。②圆的：这根棒棒是~的。③肥胖，结实：他长得好~哟。④笼统、含糊：~话。
腌臜 ŋa1 tsa1 肮脏：一双手~得很。
挨 ŋæe1 ①碰，摸：他家娃儿~不得。②靠近：姑娘~倒妈睡。③顺着：~这边走就到他家了。
挨边 ŋæe1 piɛ̃1 接近：你说的话一点都不~。
挨拢 ŋæe1 loŋ3 靠近：~点才看得清楚。
捱 ŋæe2 ①研磨：~墨。②搓揉：把手背上的包包~散。③拖延：不要~时间喽。④遭受：他~了一顿。⑤忍受：他~得住不？
捱刀的 ŋæe2 tɐɤ1 ti3 咒人该死，骂人的口语。
捱刀砍老壳死你 ŋæe2 tɐɤ3 kʰæ̃3 lɐɤ3 kʰo2 sɿ3 li3
背时砍老壳死你 pei5 sɿ2 kʰæ̃3 lɐɤ3 kʰo2 sɿ3 li3
碍口实羞 ŋæe5 kʰɵu3 sɿ2 ɕiɵu1 腼腆，欲说不说的样子：有话就说嘛，不要~的。
碍眉碍眼 ŋæe5 mi2 ŋæe5 iɛ̃3 ①挡住视线：~的，莫要挡着我。②做事慢手慢脚，~的，让我来。
□ ŋaŋ1 ①形容声音很响亮：鞭炮声太~了。②发出声音：收音机不~了。
戆 ŋaŋ5 呆，不聪明，有时指脑筋一时转不过弯：我好~哟，字点办法都没有想到。
爱好 ŋæe5 xɐɤ3 注意整洁：他家姑娘好~，一天都穿得干干净净的。
安 ŋæ̃1 ①放置：把桌子~稳点。②设置：你家~电话不得？③设置猎具捕捉：拿夹夹~兔子。
谙 ŋæ̃2 ①估计：你~我不来是不是？②想：我~下再答复你。③估量着、有节制地：你~倒给他点生活费，不要一次给多了。④估量着准时地：三点钟开会，你~倒时间去，去早了不好。
暗 ŋæ̃5 晚，迟：你来~了一步，人都走光了。
晏下 ŋæ̃2 xa3 过一会儿：我~再来。
拗 ŋɐɤ1 讨价还价：他两个在~价钱。坚持：他~起不让。
咬倒犟 ŋɐɤ3 tɐɤ3 tɕiaŋ3 坚持某种说法，十分固执：你不要~，明明是你不对嘛。
拗 ŋɐɤ2 ①撬：用棍子把门~开。②长形物一端受力，中有支点，用力压另一端使平衡：~起担子回家。③向上翘：秤~起了，你还嫌少。④顶牛，不合作：大家都同意了，就他一个人~起。
硬帮 ŋən5 paŋ5 ①形容身体或手脚不灵活的样子：跳个舞~~的，教都教不会。②没有生命迹象的时间较长：这大哥人都死~了。③物体结实：这根棒棒好~哟，掰都掰不断。
硬 ŋən5 ①硬：今天的饭煮得~。②硬朗、健实：她老人家~得很，活百岁没得问题。③坚强：~点，不哭。
硬是 ŋən5 sɿ5 ①实在是：他~凶，惹不得。②无论如何：叫他去，他~不去。
硬的 ŋən5 ti3 不讲条件的：这次调动要来~，说走就走。
硬斗是散 ŋən5 tɵu5 sɿ5 sæ̃3 不容改变，实实在在的：道理~，随你咋说都不行。
怄 ŋɵu5 伤心，生气：娃儿死了后，她眼睛都~瞎了。
怄气 ŋɵu5 tɕʰi5 生闷气：他还在~。
怄人 ŋɵu5 zən2 让人生气：你做的那些事硬是~。
下下 xa¹ xa¹马上：你等一~，他~就来。
下下 xa5 xa5 马上：你等一~，他~就来。
回 xuei2 ①受潮：因为天天下雨，瓜子都~了。②重新加热。菜冷了，拿到锅头去再~哈。③天气由晴变阴：早上还是大太阳，下午就~了。
号 xɐɤ5 占，记在名下：这个位置你帮我~起哈。
喊黄 xæ̃3 xuaŋ2 诬陷，诬赖。
混劳保 xun3 lɐɤ2 pɐɤ3 吃不付钱的饭。
行实 xaŋ2 sɿ2 能干，逞能。
晃心大 xuaŋ5 ɕin1 ta5 不专心。
红黑是 xoŋ2 xei2 sɿ5 反正，总是。
哈声哈气 xa1 sən1 xa1 tɕʰi¹ 声音嘶哑：~的，还想唱歌！
哈喉 xa1 xɵu2 食物变质而令喉咙不适。
□ xa1 ①用手或工具翻动：把谷子~开。②摸弄：不要在我脑壳上东~西~的。③找寻，获取：你这张票是从哪点~来的。④钻营、应付：他在外头还算~得转。
□得开 xa1 tɛ2 kʰæe1 ①吃得开：他在单位~。②忙得过来：我~，你忙你的。
哈 xa1 ①张口吐气：~口气。②腌制肉食品变味：腊肉~了。
傻xa¹ 傻，但比憨语气更重。这个人~得很。
海实 xæe3 sɿ2 用力，使劲：大家~吃，不要客气。
憨吃哑胀 xæ̃1 tsʰɿ2 ia3 tsaŋ3 无节制的大吃：~要坏肚子。
憨不拢耸 xæ̃1 pu2 loŋ3 tsʰoŋ3 傻乎乎的样子。
憨不溜秋 xæ̃1 pu2 liu1 tɕʰiu1
憨水 xæ̃1 suei3 ①烧煮过但未开的水。②搞恶作剧。
夯 xaŋ1 ①筑紧：把地坪~下儿。②制服：你~得住他不？
好生 xɐɤ3 sən1 认真：你要~学习。
黑 xæ̃2 吓唬：你莫~我。我着你~老火了。
黑妈妈 xæ̃2 ma1 mæ̃1 指漆黑一片。又用：“黑古聋冬 xæ̃2 ku3 loŋ3 toŋ1”、“黑洞洞 xæ̃2 toŋ5 toŋ3”、“黑秋秋 xæ̃1 tɕʰiɵu1 tɕʰiɵu1”、“黑墨煪刚 xæ̃2 ma1 tɕʰiɵu1 kaŋ1”。
恨 xən5 用目光盯人表示怨恨：他拿眼睛~我。
呵风 xo1 fən1 空气渗入（腌制中的食品）：泡菜缸~了。
合手 xo2 sɵu3 ①（工具）好使：这把刀~。②配合默契：我俩做事要~点。
活甩甩 xo2 suæe3 suæe3 ①不牢靠的样子：这些东西拴得~的。②不可靠的样子：他做事~的。
伙 xo3 ①结伙：不要和他们~，要吃亏的。②掺和：不要把烂纸和书~在一起。③特指女人婚外恋。她又~倒个男人。④介词和连词，同“和”。
和 xo5 ①搅拌：把锅头的菜~下。②掺和：要~倒嚼才香。③附和：他说他的，你不要跟倒~。
猴抓舞抓 xɵu2 tsua1 u3 tsua1 杂乱无序乱搞一气的样子：一天~的，一样都搞不好。
后头 xɵu5 tʰɵu2 厕所的委婉说法：去~一趟。
花 xua1 ①恋爱不专一：这个人~得很，谈不倒几天又把人甩了。②不能静心做事：娃儿玩~啦。③脏：脸包是~的。
花眉花脸 xua1 mei2 xua1 liɛ̃3 形容脸脏。
花间 xua1 tɕiɛ̃1 前额脱发后露出的部分：这个人的~高，今后要当大官。
花绍 xua1 sɐɤ3 花色艳丽的样子：这件衣服~。
滑鳔鳔 xua2 pʰiɐɤ5 pʰiɐɤ5 非常滑的样子：黄泥巴路，一下雨就~的。
滑刷 xua2 sua2 ①光滑：这地板好~哟。②流畅：他的字写得好~。
横扯 xun2 tsʰɛ3 强词夺理：你不要~，错了就错了。
横顺 xun2 sun5 ①反正，无论如何：~我不管，这是你的事。②还是，依然：这件事~由你去办才好。
黄 xuaŋ2 ①唱歌走调：我的声音是~的。②外行：谈~话。③破裂：他两个的关系~了。
黄皮寡瘦 xuaŋ2 pʰi2 kʰua3 sɐɤ5 面黄肌瘦：一个个饿得~的。
恍 xuaŋ5 精神不集中，健忘：他这个人，做哪样事都~得很。
恍恍惚惚 xuaŋ3 xuaŋ3 fu2 fu2
晃 kuaŋ5 光线刺激眼睛：这边有点~，看不倒黑板上的字。
灰巴拢耸 xui1 pa1 loŋ3 soŋ3 形容灰尘很多，灰色，有贬义：那件衣服~的，不好看。
□ tɕia1 ①用虎口捏、挤：把人~死。②衣、鞋等窄小，压迫身体：鞋子小，太~脚。
激 tɕi2 ①温热的身体突受冷冰的水浇淋的感觉：今天的水好~人。②在沸水中加少量冷水，使其受到抑制：锅头再~次水才舀汤圆。
几姨妈 tɕi3 i2 ma1 关系密切的几个人：这件事就是他们~搞的。
几爷崽 tɕi3 i2 tsæe1 父亲的子女几个：他家妈走了，~日子不好过喽。
家 tɕia1 动物经饲养而驯服：这些雀雀都喂~了！
家业 tɕia1 li2 匠人或家中工具器物的总称：把这些~收拾好。
家门 tɕia1 mən2 同姓的人：我们还是~。
夹生 tɕia2 sən1 未熟透：~饭。
假巴 tɕia3 pa1 假装，又作“假巴意实”。
架势 tɕia5 sɿ5 ①姿态、样子：看他那个~都心烦！②局面，气氛：看这~好像拿几个开刀处理。
架事 tɕia5 sɿ5 开始，着手，又作“侉事”：还没起~呢。
紧帮帮 tɕin3 paŋ1 paŋ1 使物体受到较大压力、拉力或张力：牙齿咬得~的。
脚脚 tɕio2 tɕio2 ①身体的下部。②残余的渣滓。这中药吃得都只剩下~了。
焦湿 tɕiɐɤ1 sɿ2 很湿：你衣服打得~的。又作“胶巴湿”。
狡 tɕiɐɤ5 ①精明。②能言善辩。
奸 tɕiɛ̃1 ①精明，滑头：这个娃娃~得很。②为人做事精明，处事圆滑：他工作了几年，比原来~多了。
兼扯 tɕiɛ̃1 tsʰɛ3 平均计算。
捡□□ tɕiɛ̃3 pa1 pa1 捡便宜。
贱皮子 tɕiɛ̃5 pʰi2 tsɿ3 ①贱骨头，指不自尊和不知好歹的人。②不计较得失的人（多自称）：我是个~，着人骂了还来帮他做事。
经 tɕin1 能持久：~饿、~烧、~用。
将就 tɕiaŋ1 tɕiu5 ①凑合：我俩~过。②迁就迎合：不要~我。③勉强接受：菜不好，~吃。④顺便：你上街~给我买斤毛线来。
犟 tɕiaŋ5 ①固执：他脾气~得很。②挣扎：鱼上钩了，~都~不脱。③狡辩：他嘴巴最~。④笨拙不灵活：他做事~手~脚的。
供 tɕioŋ5 ①供奉：~祖先；~菩萨。②同家族：我俩~老祖公。
夹磨 tɕia2 mo2 折磨：这娃儿一天闹到黑，硬是~人。
夹生饭 tɕia2 sən1 fæ̃1 ①未熟透的饭。②喻指未办妥并使其更不好办的事：这件事着搞成~了。
夹舌头 tɕia2 sɛ2 tsɿ3 说话口吃的人。
尖 tɕiɛ̃1 ①声音高而刺耳：那姑娘声音好~噢。②竖（耳朵高度集中注意力去听）：~起耳朵听。
尖脑壳 tɕiɛ̃1 lɐɤ3 kʰo2 喻指好钻营的人。
狡猾 tɕiɐɤ3 xua2 ①聪明：这个崽崽好~。②耍小聪明、好计较的：~的娃儿没得大出息。
謇子 tɕiɛ̃3 tsɿ3 口吃的人。
捡□和 tɕiɛ̃3 pʰa1 xo2 ①轻易地得到好处：这回评称职，他又~了。②占便宜：那个人最爱~。
焦人 tɕiɐɤ1 zən2 ①难为情：空起手走人户，好~。②使人着急：都快考试了，还没得复习完，好~啊！
叫 tɕiɐɤ5 （牲畜发情而）鸣叫：母猪~了就牵去配种。
嚼牙巴骨 tɕiɐɤ2 ia2 pa1 ku2 ①搬弄是非，乱说：他这个人就爱在背后~。②无谓地争论：我没得时间跟你~。
接嘴 tɕi2 tsuei3 插嘴：上课就好好听，不要~。
接瓢 tɕi2 pʰɐɤ2 喜欢插嘴的小孩。
金贵 tɕin1 kuei5 重要，宝贵：这个崽是独生子，~得很。
惊咋 tɕin1 tsa5 受惊后而大声喧叫：你~个哪样，不怕别人笑话？
经试 tɕin1 sɿ1 结实：这根扁担~得很。
筋筋吊吊 tɕin1 tɕin1 tiɐɤ5 tiɐɤ5 形容衣物，肉块不成形的样子：那几年她穿得~的。
筋绊 tɕin1 pæ̃5 干涉，麻烦：生意没赚倒钱，就有人来~了。
筋筋绊绊 tɕin1 tɕin1 pʰæ̃5 pʰæ̃5 ①碍手碍脚，牵挂连累：娃儿还小，~的，我简直走不开。②做事不果断：他做哪样事都~的。
筋丝 tɕin1 sɿ1 食品柔韧性：苕麻糖~好。
精光 tɕin1 kuaŋ1 完全，尽：我家~吃米，不吃杂粮。
紧 tɕin3 ①由着，任凭：~吃饱，不要管。②老是：说一道就行了，不要~倒讲。③在沸水中煮一下即捞出：把肠子~一下，经搁点。
久不久 tɕiɵu3 pu2 tɕiɵu3 间或：他~要来一趟。
脚转筋 tɕio2 tsuæ̃3 tɕin1 脚抽筋。
脚杆洗得好 tɕio2 kæ̃3 ɕi3 tɛ2 xɐɤ3 运气好（多指巧遇宴席）：三十夜~，正赶到吃饭。
脚杆劲 tɕio2 kæ̃3 tɕin5 两脚的力气：他~大。
角子 tɕio2 tsɿ3 牌局中的成员：打麻将还差~。
蜷 tɕʰyɛ̃1 卷曲：~腰杆 | ~起脚睡。
欺头 tɕʰi1 tʰɵu2 便宜：你着人家占了~。
齐 tɕʰi2 ①从：~这点切断。②到：走~哪点黑就到哪点歇。③在：他想精想怪会~大街上哭。
齐展 tɕʰi2 tsæ̃3 整齐：木料放得~。
骑马马肩 tɕʰi1 ma3 ma3 tɕiɛ̃1 指小孩骑在人肩膀上的游戏，又作"打马马肩"。
七翘八拱 tɕʰi1 tɕiɐɤ5 pa2 koŋ3 ①蠕动的样子：口袋头怕是猫，~的。②不平的样子：这样板子不放好，干了就~的。③形容内部不团结：学校内部~的。
七搞八搞 tɕʰi2 kɐɤ3 pa2 kɐɤ3 东弄西弄：嘿，他~的还把机子修好了嘞。
七整八整 tɕʰi2 tsəŋ3 pa2 tsəŋ3
七说八说 tɕʰi2 so2 pa2 so2说话不一，多嘴多舌。
七想八想 tɕʰi2 ɕiaŋ3 pa2 ɕiaŋ3 思想不专一。
起 tɕʰi3 ①向上挖出：~点土来搭灶。②建造：~房子。③刮掉或脱掉表面一层：手上~皮了。④表持续状态的助词：站~看。⑤形成某种状态：现在大学生多得~堆堆。⑥着：站~。⑦形成：~老茧了。
起心 tɕʰi3 ɕin1 存心，有心：你~学就会学倒。
起眼 tɕʰi3 iɛ̃3 ①值得一顾（多用于否定句）：这点钱不~。②引人注意：他太~了。
起夜 tɕʰi3 i5 入睡后（多为半夜）起来大小便。
起首 tɕʰi3 sɵu3 开头时：~我有点虚，后来就不怕了。
气鼓气胀 tɕʰi5 ku3 tɕʰi5 tsaŋ5 ①肠胃气胀：我肚子头~的，一点东西都不想吃。②鼓鼓囊囊的样子：荷包装得~的。③生气的样子：一天到黑~的，哪个惹倒你了？
雀 tɕʰio2 ①下流：尽讲~话。②开玩笑，喻指人好玩：他这人~得很。
雀雀 tɕʰio2 tɕʰio2 儿语，专指小孩生殖器。
悄悄眯眯 tɕʰiɐɤ1 tɕʰiɐɤ1 mi1 mi1 悄悄。
桥 tɕʰiɐɤ2 ①扭曲变形：板子~了。②靠不住，不行：你来帮他说，也是~的。
桥家伙 tɕʰiɐɤ2 tɕia1 xo2 不行。
俏 tɕʰiɐɤ5 具有某种优势而自大：他现在~得很。又作"俏伴"。
俏市 tɕʰiɐɤ5 sɿ5 ①抢手。②因具有某种优势而自大。
瞅 tɕʰiɵu1 ①瞧：老师往教室里~一眼，就走了。②用烟火熏烤：~腊肉。③烟熏人：烟子太大，~得很。
瞅眉瞅眼 tɕʰiɵu1 mei2 tɕʰiɵu1 iɛ̃3 ①睡眼惺忪的样子。②因眼睛小或眼睛近视而眯起眼睛。
轻捞捞 tɕʰin1 lɐɤ1 lɐɤ1 重量比较轻，相当于"轻飘飘"：这把扇子拿起来~的。
青□□ tɕʰin1 kɛ3 kɛ3 形容物品呈青色，但较淡：菜还是~的就拿去卖了。
□ tɕʰya2 跨：一~进门就喊饿。
纤翻 tɕʰiɛ̃1 fæ̃1 ①花样多。②顽皮。
掮 tɕʰiɛ̃2 扛：把柴~转去。又作"栳"。
抢水饭 tɕʰiaŋ1 suei3 fæ̃5 本指鬼抢人们所泼的水饭，喻指慌忙急迫的行动：你忙哪样，忙去~啦。
清口水 tɕʰin1 kʰɵu3 suei3 因饥饿等冒出来的唾液：饿得淌~。
清早八早 tɕʰin1 tsɐɤ3 pa2 tsɐɤ3 清早：~的就来喊。
清丝严缝 tɕʰin1 sɿ1 ŋæ̃2 foŋ5 闭合严密，多形容器物做工细致。
清汤寡水 tɕʰin1 tʰaŋ1 kua3 suei3 形容菜肴中无肉少油：这一段伙食~的，人都瘦了。
沁 tɕʰin5 纸吸水而墨迹易扩散：这种纸太~，不好写钢笔字。
穷哆嗦 tɕʰioŋ2 lo1 so1 老是唠叨说废话：人家都不说了，就是你一个人~。
全得 tɕʰyɛ̃2 tɛ2 ①全靠：那天~他在，不然还拿不动。②全因为，常用于感谢言语中：~你老人家在场，要不然我们遭殃了。
全在 tɕʰyɛ̃2 tsæe5 听凭，任由：随便你搞哪样，~你。
唏 ɕi1 ①看：各人不晓得~啊。②照看：你帮他~倒起。
稀 ɕi1 裂缝：木盆晒~缝了。
稀罕 ɕi1 xæ̃5 ①看重：在农村大米饭，是个~东西嘞。②不要，语气很重：我~你的东西！
稀恒 ɕi1 xəŋ5 礼貌语。
稀□烂 ɕi1 pʰa1 læ̃5 ①过分熟烂：萝卜墩得~。②稀烂不堪：一伙人把他家打得个~。
捞稀 lɐɤ1 ɕi1 稀稀落落：树上~结了几个果子。
希里呼噜 ɕi1 li1 xu1 lu5 ①形容动作的快捷：他~就刨完了一碗饭。②糊涂：他~的，不晓得在搞懒样？
稀得好 ɕi1 tɛ2 xɐɤ3 幸好：~他回来了。
瞎眉瞎眼 ɕia2 mei2 ɕia2 iɛ̃3 形容视力不好，看物不清：~的，走路看倒点。
下饭菜 ɕia5 fæ̃5 tsʰæe5 ①佐食之菜。②喻指对手（只用于否定句）：下棋么，他不是我的~
下地 ɕia5 ti5 ①出生：娃儿~就要吃奶。②幼儿开始学步：他家娃儿都~了。③到地里去干农活。
下火 ɕia5 xo3 ①民俗、中医等减轻火气，与"上火"相对：~的菜要多吃。②拿某人开刀：他拿他~。③没有能力办事，一般用否定句：他拿不~。
下细 ɕia5 ɕi5 ①仔细：~点，不要搞错。②俭省：他过日子~得很，舍不得吃舍不得穿。
先不先 ɕiɛ̃1 pu2 ɕiɛ̃1 当初，最初：~就搞我一锭子。
先人板板 ɕiɛ̃1 zən2 pæ̃3 pæ̃3 祖先牌位：日你家~。
现过现 ɕiɛ̃5 ko5 ɕiɛ̃5 ①立马兑现：现在人们做事都要~，不是打虚飘就行。②现金支付：这批货要~。
捎 ɕiɐɤ1 ①掀：~开被条。②推：把煤从车上~下来。③关：把门~起，风大得很。
小家子气 ɕiɐɤ3 tɕia1 tsɿ3 tɕʰi5 形容扭扭捏捏不够大方：办大事不能~的。
小算盘 ɕiɐɤ3 suæ̃5 pʰæ̃2 ①独到的注意：我们每个人心中都有一个~。②算计：他在打~。
歇凉 ɕi2 liaŋ1 乘凉。
虚 ɕy1 怕：哪个~你！又作"虚火"。
血衁子 ɕy1 uaŋ3 tsɿ3 指凝固的血。
叙毛 ɕy5 mɐɤ2 开玩笑，调侃，不当正事：这事要好生点办，不要~。又作"叙毛谈情"。
兴 ɕin1 ①流行：现在~这样。②允许：不~啷个。③立规矩：不是小的得罪你，从前老的~在前。
心䞀 ɕin1 xɵu5 贪心、贪婪。
新恒 ɕin1 xəŋ2 很少来，家里来客的敬语：~啊，请快屋里坐。
旋 ɕyɛ̃2 顽皮，脸皮厚。又作"旋脸"。
旋皮寡脸 ɕyɛ̃2 pʰi2 kua3 liɛ̃3 顽皮，不知耻的样子。
醒 ɕin3 ①呆：你啷个~喃，尽做呆子事。②粥类食物变质，由稠变稀。③发酵成功：甜酒~了，可以出窝了。
醒水 ɕin3 suei3 醒悟：事到如今他才~。
幸 ɕin5 衬托（往往用于消极义）：你样样都逞能，不是把别个~丑呵？
凶 ɕioŋ1 ①厉声呵斥：着他~了一顿。②训斥：~了他一顿。③凶猛：野猪~得很，一哈子冲了下来。④厉害：他好~哟，这件事情都敢做。
雄 ɕioŋ2 ①指坚强而有力：他~得很，不要惹他。②神气：你看他那个样子好~。
虚 ɕy1 ①心里发憷：提起那件事，我心头就~。②怕，服软：哪个~哪个，跟他斗！
虚火 ɕy1 xo3
悬 ɕyɛ̃2 ①危险：这些娃儿站在河坎上，~得很。②不保险：这件事有点~，怕办不成。③不牢实：这根绳子有点~，怕断。
旋 ɕyɛ̃5①头顶头发成旋涡状的地方：他头上有两个~。②成圆形地切割：从后腿子上~块肉来炒吃。③从四周向内转：稀饭太烫，~起吃。④转来转去地看：他来这里左一趟右一趟的~。⑤立即：~做~吃。
钊喳 tsɐɤ1 tsa2 形容做事很快，利索。
奓 tsa1 ①张开：把嘴~大点。②裂开：大木柜~缝了。
张个了 tsaŋ2 ko5 la3 怎么了。
渣渣 tsa1 tsa1 ①碎屑：~落到眼睛头去了。②垃圾：倒~。③物品提取精华后剩下的残渣。
扎 tsa2 ①绕束：把桶再~两圈。②整理（衣服）：把衣服~好了再出门。③针刺一般的冷：水太~手。④庄稼被冻坏：菜着凌~死了。
砸 tsa2 ①扔，掷：~石头，看哪个~得远。②往下掼：他一回家就~碗~筷的。
扎沕 tsa2 mi5 潜水
嘱咐 tsa5 fu2 叮咛，嘱咐：我再三~他不要去赌。
眨巴烂眼 tsa3 pa1 læ̃3 iɛ̃3 不停眨眼的眼病。
笮秤 tsa5 tsʰən5 指物体的比重大：红萝卜~。
支 tsɿ1 支使，使唤：大懒~小懒，脚刀拐碰脚杆。
筑 tsu2 ①填塞：~坝。②堵塞：感冒了，鼻子~得很。
杵 tsu2 手脚扭伤：他跶一跟斗，手着~倒了。
则边 tsɛ2 piɛ̃1 旁边。
左 tso3 调换：~点零钱给我。
坐敦 tso5 tən1 猪屁股。
坐板疮 tso5 pæ̃3 tsʰuaŋ1 臀部生的疮。
差火 tsa1 xo3 差，差劲。
在 tsæe5 ①任凭，随便，相当于"由"：去不去~你。②缝，订：~铺盖。居住，停留：这点太热，~不住。
造孽 tsɐɤ5 li2 穷，可怜：他家太~了。
转 tsuæ̃5 灵活：这个人脑壳~得很。
争点 tsən1 tiɛ̃3 差点：~有她妈高了。
争嘴 tsən1 tsuei3 在吃东西或买东西时争多论少：~要生~疮。
整 tsən3 ①做、弄：~点东两吃。②打、揍：~家伙。③迫害，整治：莫要~人。④整理，收拾。⑤办：这件事怎么~。⑥修理：锅儿漏了，该~下了。
栽 tsæe1 ①插埋：把杆杆~稳点。②诬陷：不要把罪名~给我。③摔（跟斗）：我一头~在水里头去了。④失败（在某一点上）：他这回~在股票生意上。⑤用东西击：不要~石头，看打倒我家窗玻璃。
崽哟 tsæe3 io3 惊叹语，用于句首：~，他钓了条大鱼。
趱 tsæ̃3 ①移动：把桌子~过去点。②迁居：他家~到四川去了。
攒劲 tsæ̃3 tɕin5 ①使劲，用力：要~学才学得好。②情绪高、有劲头：他办这种事~得很。③有精神：都快八十了，还~得很。又作"吹劲"。
攒心劲 tsæ̃3 ɕin1 tɕin5 暗中为自己使计谋。
搌 tsæ̃5 用松软干燥的东西轻轻擦抹液体：用棉花把伤口的血~干净。
占得 tsæ̃5 tɛ2 幸好：~我没有在场，不然我也要着怀疑了。
占起首 tsæ̃5 tɕʰi3 sɵu3 地位、优势：先出车，这盘棋就~了。
掌火 tsaŋ3 xo3 负责：这里的人由我~。
胀干饭 tsaŋ5 kæ̃1 fæ̃5 喻指无用：他这个人样都不会，是~的。
着 tsɐɤ2 ①承受：我只挑得了八十斤，再多点就~不住了。②被处置：他这样跳，总有一天要~的。③被：他~老师批评了。
早先 tsɐɤ3 ɕiɛ̃1 过去：这些都是~的事了。
早晏 tsɐɤ3 ŋæ̃5 早晚，迟早：他~要着的。
则边人 tsɛ2 piɛ̃1 zən2 旁边人：让他两个说，~不许多嘴。
阵 tsən5 ①使劲排便：他在茅斯头~屎。②使劲摆脱：把他捆紧了，他还要~。③使劲叫喊：唱歌~破喉咙管。④使重力而挫伤腰背：挑得太重，怕~怕你嘞。
挣痨板筋 tsən5 lɐɤ2 pæ̃3 tɕin1 用力哭喊。
直见 tsɿ2 tɕiɛ̃5 一个劲地：娃儿~吃，怕是饿慌了。
作料 tso2 liɐɤ5 指葱、蒜、姜、酱油、醋等一类的烹调配料。又作"向料"。
佐 tso3 ①交换：拿旧衣服~鸡蛋。②对调：我俩~从此工作。③出差错：你搞~了，他不是警察。④唱歌走调：我唱歌是~的。
左呱呱 tso3 kua1 kua1 左撇子。
坐性 tso5 ɕin1 擅长坐的习惯：我没有~，还是不来办公室工作的好。
周正 tsɵu1 tsən5 端正，整齐：他这一身还~。
走火 tsɵu3 xo3 ①言语出格或说出不该说的话：他说话爱~。②思想、思路出毛病：他说话颠三倒四的，脑筋有点~。
总成 tsoŋ3 tsʰən2 ①成全：能不能办成，全靠你~。②劳烦：~大哥帮忙。③协调双方使成交：我来帮你们打个~，你添两百，他多加几挑，行不行？
皱皱 tsɵu5 tsɵu5 ①眉毛。②皱纹：才二十几脸上就起~~了。
皱皮□寡 tsɵu5 pʰi2 lia2 kua3 ①垮皮肉松散：才四十出头就~的了。②衣着起皱：这件衣服~的穿得出去？
做表面光光 tso5 piɐɤ3 miɛ̃5 kuaŋ1 kuaŋ1 做表面样子：这个人不踏实，只会~。
抓拿 tsua1 la2 ①应付（多用于否定格式）：一个人怕~不开。②可凭借的：最好找个人负责，到时候有个~。③做事有条理：她在屋头很~。
着不住 tsɐɤ2 pu1 tsu1 承受不了：我~了，快帮我一哈。
着不住 tsɐɤ1 pu1 tsu1 承受不了：我~了，快帮我一哈。
装兔 tsuaŋ1 tʰu2 应给办的不给办，故意发难。
做懒样 tsu5 læ̃3 iaŋ3 ①为什么：~又要我捐钱？②干什么：你到做~。
跩 tsuæe5 ①扭动臂部、腰部来卖弄风情：他走路一~一~的。②趾高气扬的神态：有了点钱就~起来了。
拽 tsuæe1 扔：不要拿书乱~。
转背 tsuæ̃3 pei5 一瞬间：~东西就不在了。
转转 tsuæ̃5 tsuæ̃5 ①（打）圈子：原地打~。②依次轮流：吃~饭。装烟敬烟：客人来了忙~。
装死卖活 tsuaŋ1 sɿ3 mæe5 xo2 耍无赖：打了人还~，说人家打了他。
差火 tsʰa1 xo3 差劲，不够标准：那种布质量太~。
差颗米 tsʰa1 kʰo3 mi3 相差一点儿：~就考上了大学。
叉起手 tsa1 tɕʰi3 sɵu3用手叉着腰，多指不做事、闲散的样子：人家都在做活路，你一个人~。
插销 tsʰa2 ɕiɐɤ1 装在门窗上的金属闩。
□ tsʰa2 ①张开：不要~起个嘴巴乱讲。②容器口敞：这个罐罐口口太~，不闭气。③喻指多嘴多舌不易保密：这个婆娘嘴太~，包不住话。
叉叉裤 tsʰa1 tsʰa5 kʰu1 小儿穿的开裆裤。
菜 tsʰæe5 差劲：他这个人~得很。
馋猫 tsʰæ̃2 mɐɤ1 喻指好吃的人，多指小孩。
铲 tsʰæ̃3 相当于"打"，抽打，扇。你帮我~他两耳屎。
掺烂条 tsʰæ̃5 læ̃5 tʰiɐɤ2 无中生有，说人坏知：要不是有人~，他早就找倒工作喽。
孱头 tsʰæ̃5 tʰɵu2 厚颜无耻：他这个人，~得很，不要和他打交道。
长甩甩 tsʰaŋ2 suæe3 suæe3 拖得很长的样子：两根辫子~的。
长眼皮 tsʰaŋ2 iɛ̃3 pʰi2 深夜不睡觉的人：二妹也是~，大半夜了还不回来。
车 tsʰɛ1 扭动，转动：把盖子~紧。
扯 tsʰɛ3 ①拉：把我~倒不放。②吸收水分：面点沙子~水。③买（票、布等）：~幅布来做衣服。④撕：把书~烂了。⑤谈：不要把事情~宽了。⑥非正式讨论：开会之前，你们几个先~下。
扯 tsʰɛ3 ①扯皮、不合作：不找这种爱~的人办事。②因关系未协调好等原因使某事受阴或遭到麻烦：这种人办事有点~嘞。③滑稽，幽默：他说些话来~得很，逗人笑。
扯卵谈 tsʰɛ3 luæ̃3 tʰæ̃2 空而无用的议论：他说的那些都是~的。
