聲韻	調	
tiɑŋ	˦˦˧	丁(白)釘₁(白)盯(白)疔(白)蜩(白，蟬～：蟬也)
tiɑŋ	˧˥	鼎(白，鍋也)
tiɑŋ	˥˥˦	釘₂(白)
tʱiɑŋ	˩˦	鋌(紡紗車部件也)
tʱiɑŋ	˧˥	挺(白)
tʱiɑŋ	˥˥˦	聽₂(白)
tʱiɑŋ	˨˨˧	定(白)
liɑŋ	˩˦	零(白)翎(白，～胛：翅膀也)
liɑŋ	˩	領(白：衣～)嶺(白)
liɑŋ	˥˥˦	□(□～□～，言正好也)
ʦiɑŋ	˦˦˧	精(白)睛(白)
ʦiɑŋ	˧˥	井(白)
ʦʱiɑŋ	˦˦˧	清(白)青(白)
ʦʱiɑŋ	˩˦	晴(白)
ʦʱiɑŋ	˧˥	請(白)
ʦʱiɑŋ	˩	靜(白：寂寂～～)
ʦʱiɑŋ	˨˨˧	淨(白)
siɑŋ	˦˦˧	星(白)
siɑŋ	˧˥	醒(白)
siɑŋ	˥˥˦	腥(白)性(～命)
kiɑŋ	˦˦˧	京(白)驚(白)經(白)
kiɑŋ	˧˥	頸(白)警(白，～醒)
kiɑŋ	˥˥˦	鏡(白)
kʱiɑŋ	˦˦˧	輕(白)傾(白)
kʱiɑŋ	˩˦	擎(白)
kʱiɑŋ	˥˥˦	磬(白)罄(白)慶(白，長～：虹橋一鄉也)
ŋiɑŋ	˨˨˧	硬₂(白)
xiɑŋ	˦˦˧	兄(白)
xiɑŋ	˥˥˦	□(高～～：言高也)
Ǿiɑŋ	˦˦˧	□(散步也，～街)縈(白)
Ǿiɑŋ	˩˦	贏(白)螢(白)盈(訓：留也)伶(訓：～個，猶言“別人”也)
Ǿiɑŋ	˧˥	影(白：～戲，皮影戲也)□(言擺手也：手一～)
Ǿiɑŋ	˩	影(白)
Ǿiɑŋ	˥˥˦	映暎
Ǿiɑŋ	˨˨˧	□(言拿著火把轉圓圈也)
kwɑŋ	˦˦˧	□(～青)更₁(白，～古臺，平江地名也)
kwɑŋ	˧˥	梗(白)
kʱwɑŋ	˦˦˧	傾(白：倒也)
kʱwɑŋ	˥˥˦	哐(雷公～～，雨落長慶)
Ǿwɑŋ	˦˦˧	橫(白，～古襻筋)
Ǿwɑŋ	˩˦	橫(白)
Ǿwɑŋ	˩	旺(訓，天晴～旺)
Ǿwɑŋ	˥˥˦	旺(訓，天晴旺～)
Ǿwɑŋ	˨˨˧	橫(白，～子)
poŋ	˦˦˧	邦幫梆
poŋ	˧˥	綁榜
poŋ	˥˥˦	棒謗磅泵
pʱoŋ	˦˦˧	□(魚名也)
pʱoŋ	˩˦	旁滂螃彷龐(文)
pʱoŋ	˩	傍蚌□(言碰撞也)
pʱoŋ	˥˥˦	胖膀
pʱoŋ	˨˨˧	塝傍(靠也)
moŋ	˩˦	忙芒茫盲虻氓
moŋ	˩	莽蟒
moŋ	˨˨˧	帽
foŋ	˦˦˧	方芳坊荒慌
foŋ	˩˦	防妨肪房坊(又)黃(文)簧鐄皇蝗煌凰
foŋ	˧˥	訪仿紡恍謊晃
foŋ	˥˥˦	放□(包括式也，我～)□(言下崽也)
toŋ	˦˦˧	當₁
toŋ	˧˥	擋₁檔₁黨
toŋ	˥˥˦	當₂檔₂
tʱoŋ	˦˦˧	湯
tʱoŋ	˩˦	糖唐塘溏搪堂螳膛棠
tʱoŋ	˧˥	躺倘淌擋₂
tʱoŋ	˩	蕩
tʱoŋ	˥˥˦	燙盪耥(～耙街)
tʱoŋ	˨˨˧	趟壋(～頭，地方也)
loŋ	˦˦˧	□(慢慢走也)
loŋ	˩˦	郎廊狼琅螂瓤囊曩
loŋ	˩	朗
loŋ	˨˨˧	浪踉晾
ʦoŋ	˦˦˧	臧髒妝裝(文)莊樁贓髒
ʦoŋ	˥˥˦	葬壯
ʦʱoŋ	˦˦˧	倉滄艙蒼瘡窗
ʦʱoŋ	˩˦	藏牀
ʦʱoŋ	˩	撞
ʦʱoŋ	˥˥˦	創嗆
ʦʱoŋ	˨˨˧	臓藏狀
soŋ	˦˦˧	喪₁桑雙霜孀
soŋ	˧˥	嗓搡顙磉縔(量詞，長度單位也：一～布)爽
soŋ	˥˥˦	喪₂
ʧoŋ	˦˦˧	張章樟璋彰薑礓僵疆韁裝(白)薑江(文)
ʧoŋ	˧˥	長₁漲掌
ʧoŋ	˥˥˦	脹帳賬漲瘴障幛強
ʧʱoŋ	˦˦˧	昌倡娼猖菖羌腔筐框(白)
ʧʱoŋ	˩˦	長₂場腸強
ʧʱoŋ	˧˥	廠敞闖彊
ʧʱoŋ	˩	丈仗杖
ʧʱoŋ	˨˨˧	彊丈(～田)
ʧʱoŋ	˥˥˦	唱暢
ʃoŋ	˦˦˧	商傷殤觴鄉香
ʃoŋ	˩˦	嘗裳常嫦
ʃoŋ	˧˥	償賞享尚₁(～往)響晌餉饗
ʃoŋ	˩	上₁緔
ʃoŋ	˥˥˦	向萫
ʃoŋ	˨˨˧	上₂尚₂
koŋ	˦˦˧	岡崗剛綱鋼豇肛缸江(白)光
koŋ	˧˥	港講(白)廣
koŋ	˥˥˦	鋼(～鋤頭)杠降₁虹
kʱoŋ	˦˦˧	康糠穅亢匡筐眶
kʱoŋ	˩˦	扛(文)狂逛
kʱoŋ	˧˥	慷糠
kʱoŋ	˩	閌
kʱoŋ	˥˥˦	抗炕(～魚嘖)曠況礦
kʱoŋ	˨˨˧	扛(訓，擱也)牂(羊～，小母羊也)
ŋoŋ	˦˦˧	肮
ŋoŋ	˩˦	昂
xoŋ	˦˦˧	夯
xoŋ	˩˦	航杭行₁絎降₂
xoŋ	˧˥	□(米變質了也)
xoŋ	˥˥˦	□(包括式也，西鄉聲：我～)
xoŋ	˨˨˧	項巷
lioŋ	˩˦	良量₁糧涼梁粱
lioŋ	˩	兩輛
lioŋ	˥˥˦	諒(文)量(文)
lioŋ	˨˨˧	亮諒(白)量(白)
ʦioŋ	˦˦˧	將₁漿
ʦioŋ	˧˥	蔣獎槳
ʦioŋ	˥˥˦	醬將₂
ʦʱioŋ	˦˦˧	槍戕
ʦʱioŋ	˩˦	牆詳祥翔
ʦʱioŋ	˧˥	搶
ʦʱioŋ	˩	像象(對～)
ʦʱioŋ	˥˥˦	戧嗆
ʦʱioŋ	˨˨˧	匠橡
sioŋ	˦˦˧	相₁箱廂湘襄鑲
sioŋ	˧˥	想
sioŋ	˥˥˦	相₂
kioŋ	˧˥	講(文)
ŋioŋ	˦˦˧	攘₁
ŋioŋ	˩˦	娘
ŋioŋ	˩	仰
ŋioŋ	˥˥˦	攘₂
ŋioŋ	˨˨˧	釀讓壤嚷
xioŋ	˦˦˧	香(又)
Ǿioŋ	˦˦˧	央秧殃鴦
Ǿioŋ	˩˦	洋羊楊揚陽瓤
Ǿioŋ	˩	養癢氧瘍兩(懶)輛(懶)
Ǿioŋ	˥˥˦	漾恙
Ǿioŋ	˨˨˧	樣
Ǿwoŋ	˦˦˧	汪
Ǿwoŋ	˩˦	王亡忘黃(白)
Ǿwoŋ	˩	枉網往
Ǿwoŋ	˥˥˦	旺(文)妄
Ǿwoŋ	˨˨˧	望旺(白)
pəŋ	˦˦˧	繃(文)嘣
pəŋ	˧˥	凸(訓)
pəŋ	˥˥˦	蹦(文)迸泵
pʱəŋ	˦˦˧	噴(～臭)
pʱəŋ	˩˦	朋鵬棚(文)蹦(白)蓬蓬
pʱəŋ	˧˥	捧
pʱəŋ	˩	蓬砰
pʱəŋ	˥˥˦	碰䭰(～香)
məŋ	˦˦˧	幪(文)
məŋ	˩˦	蒙檬矇
məŋ	˩	猛錳懵
məŋ	˨˨˧	夢孟
fəŋ	˦˦˧	豐鄷風瘋楓封峰鋒蜂烽烘
fəŋ	˩˦	馮逢縫₁紅虹(文：～橋)鴻弘泓洪宏
fəŋ	˧˥	諷哄
fəŋ	˩	烘𠥰
fəŋ	˥˥˦	俸
fəŋ	˨˨˧	鳳縫奉蕻
təŋ	˦˦˧	東冬
təŋ	˧˥	董懂侗(大～)抍
təŋ	˩	侗(訓：～大)
təŋ	˥˥˦	棟凍
tʱəŋ	˦˦˧	通
tʱəŋ	˩˦	同茼筒桐銅峒酮童瞳彤
tʱəŋ	˧˥	桶捅統
tʱəŋ	˩	動
tʱəŋ	˥˥˦	痛
tʱəŋ	˨˨˧	洞
ləŋ	˦˦˧	聾
ləŋ	˩˦	龍(文)籠壟瓏隆窿農膿儂濃齈
ləŋ	˩	壟(文)隴攏
ləŋ	˥˥˦	弄(文)壟櫳
ləŋ	˨˨˧	弄(白)
ʦəŋ	˦˦˧	宗棕₁蹤淙綜鬃
ʦəŋ	˧˥	總
ʦəŋ	˥˥˦	棕₂粽蹤縱
ʦʱəŋ	˦˦˧	從囪驄聰匆蔥
ʦʱəŋ	˩˦	從叢樅(文)崇
ʦʱəŋ	˧˥	𢱤(推也)
səŋ	˦˦˧	松(～散)淞
səŋ	˧˥	慫
səŋ	˩	聳
səŋ	˥˥˦	送宋
ʧəŋ	˦˦˧	中₁忠種鐘盅衷終螽供(白：喫輪～)
ʧəŋ	˧˥	腫種₁塚
ʧəŋ	˥˥˦	中₂種₂眾
ʧʱəŋ	˦˦˧	蟶充沖₁舂
ʧʱəŋ	˩˦	蟲重₁穹窮
ʧʱəŋ	˧˥	寵
ʧʱəŋ	˩	重₂
ʧʱəŋ	˥˥˦	衝₂銃
ʧʱəŋ	˨˨˧	仲
ʃəŋ	˦˦˧	凶洶匈胸兄(文)
ʃəŋ	˩˦	熊雄鱅
ʃəŋ	˥˥˦	嗅
kəŋ	˦˦˧	宮公蚣工攻功弓躬恭龔肱供(文)
kəŋ	˧˥	鞏拱
kəŋ	˩	公(變，～公：爺爺也)□(把水攪渾也)
kəŋ	˥˥˦	貢羾供拱公(變，公～：爺爺也)
kʱəŋ	˦˦˧	空₁崆
kʱəŋ	˧˥	恐孔
kʱəŋ	˩	汞
kʱəŋ	˥˥˦	空₂控
kʱəŋ	˨˨˧	共
xəŋ	˦˦˧	轟(又)
xəŋ	˥˥˦	訌
liəŋ	˩˦	龍(白)
liəŋ	˥˥˦	壟(白)
ʦʱiəŋ	˩˦	樅(白)
siəŋ	˦˦˧	松鬆嵩
siəŋ	˨˨˧	誦頌訟
kʱiəŋ	˩˦	窮(又)
xiəŋ	˦˦˧	兄(文、又)胸(又)
xiəŋ	˩˦	雄(文)熊(文)
Ǿiəŋ	˦˦˧	雍臃癰
Ǿiəŋ	˩˦	容蓉溶熔榕鎔榮嶸庸戎絨融茸
Ǿiəŋ	˧˥	擁湧勇
Ǿiəŋ	˩	甬俑踴蛹恿冗
Ǿiəŋ	˥˥˦	擁(又)
Ǿiəŋ	˨˨˧	用傭
Ǿwəŋ	˦˦˧	翁嗡壅(言用土或灰掩埋也)
Ǿwəŋ	˥˥˦	蓊甕蕹
ʦʱɯˀ	˦˨	族簇
sɯˀ	˦˨	速
piˀ	˦˨	畢筆必碧逼煏壁(文)璧
pʱiˀ	˦˨	鼻匹弼僻避(文)霹劈(文)
miˀ	˦˨	密蜜秘(文：～書)覓汨冪
tiˀ	˦˨	滴(文)嫡的₁(文：目～)得(懶：曉/要/記～)
tʱiˀ	˦˨	踢(文)惕剔倜笛迪敵狄滌隸棣粒
liˀ	˦˨	力律立粒笠曆瀝(言去掉渣汁也：把米湯～出來)率₁栗(文)□(你/我/渠～：人稱複數也)
ʦiˀ	˦˨	積績即鯽脊(文)跡稷
ʦʱiˀ	˦˨	七柒漆膝(文)輯緝(文)籍藉₂疾嫉集習襲席寂戚
siˀ	˦˨	息媳熄昔惜析(文)晰淅蜥悉蟋戌恤夕錫(文)
kiˀ	˦˨	吉急吸級圾汲棘擊激戟劇稽
kʱiˀ	˦˨	及極乞訖₁迄佶喫(文)
ŋiˀ	˦˨	日₁(白)逆₁溺匿暱
xiˀ	˦˨	泣翕隙
Ǿiˀ	˦˨	一₁壹液腋益溢譯繹驛抑揖逸軼亦邑挹易₂
pʱuˀ	˦˨	蔔撲僕樸噗璞蹼曝瀑瓿□(～辣椒)
fuˀ	˦˨	复覆復複腹幅福蝠輻斛服伏茯腑
kuˀ	˦˨	穀轂酷梏鵠
kʱuˀ	˦˨	哭
Ǿuˀ	˦˨	屋
paˀ	˦˨	八捌
pʱaˀ	˦˨	拔跋
maˀ	˦˨	抹
faˀ	˦˨	發髮伐筏閥乏法砝罰
taˀ	˦˨	搭跌(訓讀)
tʱaˀ	˦˨	塔遝踏塌榻蹋搨遢鰨獺拓趿達撻
laˀ	˦˨	臘蠟辣剌瘌垃邋捺
ʦaˀ	˦˨	劄紮眨蚱匝砸閘啄(白)
ʦʱaˀ	˦˨	察擦插鍘(白)
saˀ	˦˨	殺刹煞颯撒薩卅靸
ʧaˀ	˦˨	折哲浙褶摺
ʧʱaˀ	˦˨	徹澈撤轍輒
ʃaˀ	˦˨	失(白)涉設舌折攝
kaˀ	˦˨	胳夾(白)甲(白)胛(白)□(蜈～蟲：蜈蚣也)
kʱaˀ	˦˨	恰掐
ŋaˀ	˦˨	齧(訓：咬也)鴨(白)押(白)壓(白)軋(白：～花機)
xaˀ	˦˨	狹(白)瞎(白)轄(白)
kwaˀ	˦˨	刮
kʱwaˀ	˦˨	□(瀉～～裏：言地上有很多稀泥也)
Ǿwaˀ	˦˨	挖滑猾襪
ʧʯaˀ	˦˨	決訣玦抉厥撅蕨獗倔崛掘拙矍折(又)哲(又)浙(又)褶(又)
ʧʱʯaˀ	˦˨	缺闋闕輟啜(訓，喝也)
ɳʯaˀ	˦˨	月
ʃʯaˀ	˦˨	血說穴(白)噱
Ǿʯaˀ	˦˨	曰粵越悅閱熱(文：～情)
pøˀ	˦˨	缽撥
pʱøˀ	˦˨	潑䥽
møˀ	˦˨	末沫茉
føˀ	˦˨	活(文)縛或惑獲
tøˀ	˦˨	答掇
tʱøˀ	˦˨	脫奪咄啜
løˀ	˦˨	拉納捋
ʦøˀ	˦˨	撮
ʦʱøˀ	˦˨	雜撮
søˀ	˦˨	刷□(放也：～得腳裏)
køˀ	˦˨	葛割括佮鴿
kʱøˀ	˦˨	磕瞌渴
ŋøˀ	˦˨	遏褐罯
xøˀ	˦˨	曷喝合盒盍闔
kwøˀ	˦˨	國
kʱwøˀ	˦˨	闊括(西鄉聲也)豁
Ǿwøˀ	˦˨	活(白)握幄沃斡
peˀ	˦˨	北百(文)柏(文)伯(文)
pʱeˀ	˦˨	白(文)拍(文)珀帕(文)迫泊帛(文)魄(文)菔(蘿～)
meˀ	˦˨	沒墨默麥(文)脈(文)陌(文)
feˀ	˦˨	或(又)獲(又)
teˀ	˦˨	得(文)德
tʱeˀ	˦˨	特忒
leˀ	˦˨	勒肋
ʦeˀ	˦˨	則惻鍘(文)窄責摘(文)仄
ʦʱeˀ	˦˨	策冊側測廁澤擇(文)宅賊拆(文)
seˀ	˦˨	嗇色虱瑟塞澀膝(白：～頭公)
keˀ	˦˨	給嗝隔(文)格胳革
kʱeˀ	˦˨	客(文)克咳刻
ŋeˀ	˦˨	額(文)厄扼軛
xeˀ	˦˨	黑核劾閡赫嚇(文)
piɛˀ	˦˨	屄(訓)
pʱiɛˀ	˦˨	撇憋鱉瞥癟別
miɛˀ	˦˨	滅搣(掰開)蔑篾
tiɛˀ	˦˨	跌
tʱiɛˀ	˦˨	鐵迭瓞帖貼碟蝶牒諜疊耋餮
liɛˀ	˦˨	列冽洌趔烈裂獵劣鬣
ʦiɛˀ	˦˨	接節癤
ʦʱiɛˀ	˦˨	切竊妾絕截捷睫婕
siɛˀ	˦˨	薛雪泄屑褻
kiɛˀ	˦˨	結潔秸劫莢搛(～菜)
kʱiɛˀ	˦˨	怯鍥挈愜篋揭竭傑桀
ŋiɛˀ	˦˨	業鄴聶鑷囁捏涅臬鎳孽日(白，西鄉聲也)熱(白)苶
xiɛˀ	˦˨	協脅歇洽(舊)穴(文)俠峽匣
Ǿiɛˀ	˦˨	頁葉葉乙謁掖曳醃燁曄
kweˀ	˦˨	國(又)
kʱweˀ	˦˨	擴
pət̚	˦˨	不
pʱət̚	˦˨	勃脖渤膊
mət̚	˦˨	□(方形小高凳或小桌也)
fət̚	˦˨	佛拂弗勿忽
tət̚	˦˨	扽(訓讀：扯抻也)
tʱət̚	˦˨	突凸禿腯
lət̚	˦˨	□(壯～～)
ʦət̚	˦˨	卒
ʦʱət̚	˦˨	猝捽(擦也)
sət̚	˦˨	率蟀刷(白)
ʧət̚	˦˨	只蜘(又)衹織職執蟄汁質炙(文)蛭隻(文)
ʧʱət̚	˦˨	直值殖植侄姪秩赤尺擲斥蜇
ʃət̚	˦˨	十什拾適矢失(文)氏室實食蝕濕識飾釋石₂(文)
ʦiɛnˀ	˦˨	節(白：時～)
ŋinˀ	˦˨	日(白)₂逆₂
Ǿinˀ	˦˨	一₂
kwət̚	˦˨	骨
kʱwət̚	˦˨	窟
Ǿwət̚	˦˨	物□(木月骨⿲“核”別體也，即北京話“桃核兒”之本字，廣韻胡骨切)
ʧʯət̚	˦˨	桔橘倔(又)
ʧʱʯət̚	˦˨	出屈
ʃʯət̚	˦˨	術述沭
Ǿʯət̚	˦˨	日(文)入域役疫熨₂(～貼)鬰
pɑˀ	˦˨	百(白)陌(白，生～子)伯(白)柏(白)
pʱɑˀ	˦˨	白(白)拍(白)帕(白)帛(白)魄(白)
mɑˀ	˦˨	麥(白)脈(白：～坼)
fɑˀ	˦˨	劃(白：～開)
lɑˀ	˦˨	拿(白)
ʦɑˀ	˦˨	摘(白)拶(訓：壓住也)
ʦʱɑˀ	˦˨	擇(白：～菜)拆(白)坼(白)㿭(白)
sɑˀ	˦˨	析(一瓣也)
ʧɑˀ	˦˨	隻(白)炙(白，烤也：～火)
ʧʱɑˀ	˦˨	赤(白)尺(白)
ʃɑˀ	˦˨	石₂(白)
kɑˀ	˦˨	隔(白)合(白：一～米)
kʱɑˀ	˦˨	客(白)
ŋɑˀ	˦˨	額(白)軛(牛～)
xɑˀ	˦˨	嚇(白)
piɑˀ	˦˨	壁(白)
pʱiɑˀ	˦˨	劈(白)
tiɑˀ	˦˨	滴(白)
tʱiɑˀ	˦˨	踢(白)剔(白)糴(白)靮(訓：捆綁、打結也，又作“締”)
liɑˀ	˦˨	栗(白)櫟(白)瀝(白)累(訓，本字疑似“苶”也)
ʦiɑˀ	˦˨	脊(白)毑(伯～，伯母也)
ʦʱiɑˀ	˦˨	緝(白，又作“緁”也)
siɑˀ	˦˨	錫(白)
kiɑˀ	˦˨	夾(文)甲(文)
kʱiɑˀ	˦˨	喫(白)
ŋiɑˀ	˦˨	嬲(訓：交合也)
xiɑˀ	˦˨	狹(文)洽(文)瞎(文)轄(文)匣狎
Ǿiɑˀ	˦˨	壓(文)易(白：姓氏也)
poˀ	˦˨	博搏駁剝瀑蔔(姓氏也：佘翁柳～，有也不多)
pʱoˀ	˦˨	薄₂
moˀ	˦˨	莫寞漠穆牧木沐目睦
toˀ	˦˨	㧻擢□(言扔掉也)
tʱoˀ	˦˨	托託鐸拓庹裰
loˀ	˦˨	洛烙駱絡酪賂落樂₁
ʦoˀ	˦˨	卓桌作捉琢涿啄(文)鐲
ʦʱoˀ	˦˨	昨柞鑿戳濯濁
soˀ	˦˨	朔溯塑索縮
ʧoˀ	˦˨	著₂斫酌腳₂覺
ʧʱoˀ	˦˨	綽焯著₁卻₂
ʃoˀ	˦˨	碩爍灼勺芍
koˀ	˦˨	各閣擱角₂郭廓
kʱoˀ	˦˨	確搉榷鶴殼
ŋoˀ	˦˨	鄂鱷齶顎惡噩
xoˀ	˦˨	霍藿鶴(又)郝呵學(白)
lioˀ	˦˨	略掠
ʦioˀ	˦˨	爵嚼
ʦʱioˀ	˦˨	雀鵲
sioˀ	˦˨	削
kioˀ	˦˨	腳₁(又)
kʱioˀ	˦˨	卻₁(又)
ŋioˀ	˦˨	弱虐瘧
xioˀ	˦˨	學(文)
Ǿioˀ	˦˨	樂₂躍鑰約藥若諾嶽
Ǿwoˀ	˦˨	𤌍(燙也)
pʱaⁱˀ	˦˨	□(言松樹做劈柴燒的也)
laⁱˀ	˦˨	□(快速咽下也)
ʦʱaⁱˀ	˦˨	擦(訓：抹掉也)
saⁱˀ	˦˨	塞(又)
təᵚˀ	˦˨	篤督
tʱəᵚˀ	˦˨	獨毒牘讀犢瀆
ləᵚˀ	˦˨	鹿漉麓錄祿碌戮□(弄也)
ʧəᵚˀ	˦˨	竹築竺燭囑矚祝粥
ʧʱəᵚˀ	˦˨	觸鐲束畜₁紂軸宙逐獨(又)
ʃəᵚˀ	˦˨	叔淑熟塾屬蜀贖
liᵚˀ	˦˨	六陸錄綠
ʦiᵚˀ	˦˨	足
ʦʱiᵚˀ	˦˨	促
siᵚˀ	˦˨	宿肅粟俗續贖
kiᵚˀ	˦˨	菊鞠掬
kʱiᵚˀ	˦˨	曲粬麯蓄₁局(白)
ŋiᵚˀ	˦˨	肉獄
xiᵚˀ	˦˨	畜₂蓄₂旭
Ǿiᵚˀ	˦˨	育辱褥鬱囿欲浴
m̩	˦˦˧	呣姆(～媽)
m̩	˩	你₂(又：時派音也)
n̩	˦˦˧	□(又，更遠指，猶言“那兒”也)
n̩	˩˦	不₂(訓，表意願也：～喜歡、～曉得、～想)
n̩	˩	你₂嗯
ŋ̍	˦˦˧	□(更遠指，猶言“那兒”也)
ŋ̍	˩˦	魚(白)吳(白)
ŋ̍	˩	五(白)
ŋ̍	˥˥˦	甕(白：～江)蕹(白)
