漢字	注釋	清流城關	清流林畬	清流長校(長校村)	清流長校(江坊村)	寧化石壁
慚		─	tsʰoŋ²¹	tsʰaŋ²¹	tsʰaŋ²¹	tsʰɑŋ¹¹³；tsʰan¹¹³
三		sã³³	sã³³~saŋ³³	saŋ³³	saŋ²²	sɑŋ³⁵³
甘		koŋ³³/kõ³³	koŋ³³	koŋ³³	koŋ²²	koŋ³⁵³
柑		koŋ³³/kõ³³	koŋ³³	koŋ³³	koŋ²²	koŋ³⁵³
泔		─	kã³³	─	─	koŋ³⁵³
膽		tã³¹	tã³¹	─	taŋ²⁴	tɑŋ³¹³
毯		tʰã³¹	tʰã³¹	─	tʰaŋ²⁴	tʰiaŋ³¹³
淡		tʰã³³	tʰã⁵⁵冷~	tʰaŋ³³	tʰaŋ²²	tʰɑŋ³⁵³好~；tʰɑŋ⁴⁵冷~
覽		lã³¹	nã³¹~lã³¹	laŋ²⁴	laŋ²⁴	─
攬		lã³¹	─	─	─	─
欖		lã³¹	nã³¹~lã³¹	laŋ²⁴	laŋ²⁴	lɑŋ³¹³
敢		koŋ³¹/kõ³¹	koŋ³¹	─	koŋ²⁴	koŋ³¹³
橄		kã³¹	kaŋ³¹	kaŋ²⁴	kaŋ²⁴	kɑŋ³¹³
喊		hã²⁴	haŋ²⁴	haŋ⁴⁵	haŋ⁵⁵	hɑŋ³¹³
擔	挑擔	tã³³	tã³³	taŋ³³	taŋ²²	tɑŋ³⁵³
濫		lã⁴³	─	─	laŋ⁴⁴	lɑŋ³¹³；lan³¹³
纜		lã³¹	nã³¹~lã³¹	laŋ²⁴	laŋ²⁴	lɑŋ³¹³
暫		tsʰã⁴³	tsʰã⁵⁵~tsʰaŋ⁵⁵	─	tsʰaŋ⁴⁴	tsʰiaŋ⁴⁵
塔		tʰo³¹	tʰaʔ²	tʰɒʔ⁵⁴	tʰɒʔ⁵³	tʰɑʔ⁵⁴
塌		─	─	tʰɒʔ⁵⁴	tʰɒʔ⁵³	─
臘		loʔ⁵⁴	la⁵⁵	lɒʔ³¹	lɒʔ³¹	lɑ⁴⁵
蠟		loʔ⁵⁴	la⁵⁵	lɒʔ³¹	lɒʔ³¹	lɑ⁴⁵
鑞		─	la⁵⁵	─	─	─
磕		kʰo³¹	kʰeʔ²	kʰoʔ⁵⁴	kʰəʔ⁵³	─
杉		tsʰã²⁴；sã³³	saŋ³³	tsʰaŋ⁴⁵；saŋ³³	tsʰaŋ⁵⁵；saŋ²²	tsʰɑŋ³¹³；sɑŋ³⁵³
尷		kã³³	kaŋ³³	─	─	kɑŋ³⁵³
咸		─	hɛ̃²¹	─	─	hɑŋ¹¹³
鹹		hã¹³	hɛ̃²¹	hãi²¹	─	hɑŋ¹¹³
斬		tsã³¹	tsaŋ³¹	─	tsaŋ²⁴	tsɑŋ³¹³
減		kã³¹	kã³¹	─	kaŋ²⁴	kɑŋ³¹³
站	立	─	tsaŋ²⁴	tsʰaŋ⁴⁵	tsaŋ⁵⁵	─
賺		tsʰuã⁴³	tsʰuẽ⁵⁵	─	tsʰaŋ⁴⁴	tsʰuan⁴⁵
站	車站	tsʰã⁴³	tsaŋ²⁴	tsʰaŋ⁵⁵	tsʰaŋ⁴⁴	tsʰɑŋ⁴⁵
蘸		─	tsuẽ²⁴	─	─	tsiaŋ³¹³
陷		─	siẽ²⁴	─	ʃiãi⁴⁴	hɑŋ⁴⁵
餡		hã⁴³	siẽ²⁴	─	─	hɑŋ⁴⁵
眨		─	─	─	─	sɑʔ⁵⁴
插		tsʰo³¹	tsʰaʔ²	tsʰaʔ⁵⁴	tsʰaʔ⁵³	tsʰɑʔ⁵⁴
閘		─	tsaʔ²	─	─	tsɑʔ⁵⁴
夾		kia³¹	kaʔ²	kiaʔ⁵⁴	kiaiʔ⁵³	kiaʔ⁵⁴
裌		ko³¹	─	kɒʔ⁵⁴	kɒʔ⁵³	kɑʔ⁵⁴
掐		kʰiaʔ⁵⁴~頸根	─	─	─	─
狹		hoʔ⁵⁴；kʰiaʔ⁵⁴	ha⁵⁵	─	haiʔ⁵³	hɑ⁴⁵
峽		ko³¹	hɵ⁵⁵	kɒʔ⁵⁴	kɒʔ⁵³	─
洽		─	─	─	kʰiaʔ⁵³	─
攙		─	─	tsʰaŋ³³	tsʰaŋ²²	tsʰɑŋ¹¹³
衫		sã³³	─	─	─	sɑŋ³⁵³
監	監察	kã³³	kaŋ³³	kaŋ³³	kaŋ²²	kɑŋ³⁵³
巖		ŋã¹³	─	─	─	ŋɑŋ¹¹³
銜		hɛ̃¹³	huẽ²¹	─	ʃiãi²¹	─
艦		kã²⁴	tsiẽ²⁴	─	kiãi⁵⁵	─
鑑		kã²⁴	kiẽ²⁴	kiãi⁴⁵	kiãi⁵⁵	kɑŋ³¹³
監	國子監	kã³³	kaŋ²⁴	kaŋ⁴⁵	cãi⁵⁵	kɑŋ³¹³
甲		ko³¹	kaʔ²	kɒʔ⁵⁴	kɒʔ⁵³	kɑʔ⁵⁴
胛		ko³¹	─	kɒʔ⁵⁴	kɒʔ⁵³	kɑʔ⁵⁴
鴨		o³¹	aʔ²	ɒʔ⁵⁴	ɒʔ⁵³	ŋɑʔ⁵⁴
押		o³¹	aʔ²	─	ɒʔ⁵³	ŋɑʔ⁵⁴
壓		o³¹	aʔ²	ɒʔ⁵⁴	ɒʔ⁵³	ŋɑʔ⁵⁴
黏		liŋ¹³	liẽ²¹	─	─	ŋiaŋ¹¹³
廉		liŋ¹³	nã²¹	lãi²¹	lãi²¹	liaŋ¹¹³
鐮		liŋ¹³	─	lãi²¹	lãi²¹	liaŋ¹¹³
簾		liŋ¹³	liẽ²¹	tãi²¹	tãi²¹	liaŋ¹¹³
尖		tsiŋ³³	tsiẽ³³	tsãi³³	tsãi²²	tsiaŋ³⁵³
殲		tsʰiŋ³³	─	─	tsʰãi²²	─
籤		tsʰiã³³	tsʰiẽ³³	tsʰãi³³	tsʰãi²²	tsʰiaŋ³⁵³
簽		tsʰiŋ³³	tsʰiẽ³³	tsʰãi³³	tsʰãi²²	tsʰiaŋ³⁵³
潛		tsʰiŋ³¹~水艇	tsʰiẽ²¹	tsʰãi²¹	tsʰãi²¹	tsʰien¹¹³
蟾		tsʰã¹³	─	tsʰaŋ²¹	tsʰaŋ²¹	─
鉗		kʰiã¹³	kʰiẽ²¹	kʰiãi²¹	cʰãi²¹	kʰiaŋ¹¹³
淹		─	─	iãi³³	─	─
閹		─	─	─	iãi²²	─
炎		iŋ¹³	iẽ²¹	iãi²¹	iãi²¹	iaŋ¹¹³
鹽		iŋ¹³	iẽ²¹	iãi²¹	iãi²¹	iaŋ¹¹³
閻		iŋ¹³	iẽ²¹	iãi²¹	iãi²¹	iaŋ¹¹³
簷		iŋ¹³	iẽ²¹	iãi²¹	iãi²¹	iaŋ¹¹³
貶		piŋ³¹	piẽ³¹	─	pãi²⁴	pien³¹³
斂		─	liẽ³¹	─	lãi⁴⁴	─
漸		─	─	tsʰaŋ⁵⁵	─	tsʰiaŋ⁴⁵
陝		sã³¹	siẽ³¹	ʃiãi²⁴	ʃiãi²⁴	sɑŋ³¹³
閃		─	sã³¹	ʃiãi²⁴	ʃiãi²⁴	san³¹³
染		ŋiã³¹/giã³¹；ŋĩ³¹	lã³¹	giãi⁵⁵	ɟãi⁴⁴	ŋiaŋ³¹³
檢		kiŋ³¹	kiẽ³¹	kiãi²⁴	cãi²⁴	kiaŋ³¹³
臉		liŋ³¹	─	─	─	─
儉		kiŋ³¹	─	kiãi²⁴	cãi²⁴	kʰiaŋ⁴⁵
險		ʃiŋ³¹	siẽ³¹	─	ʃiãi²⁴	hiaŋ³¹³
掩		iŋ³¹	ŋã³¹	─	iãi²¹	iaŋ³¹³
斂		ŋiŋ⁴³	─	─	─	─
殮		ŋiŋ⁴³	liẽ³¹	─	─	lien³¹
佔		tʃyn²⁴	tsoŋ²⁴	─	─	tsɑŋ³¹³
驗		ŋiŋ⁴³	iẽ⁵⁵	giãi⁵⁵	ɟãi⁴⁴	ŋiaŋ⁴⁵
厭		iŋ²⁴	iẽ²⁴	─	iãi⁵⁵	iaŋ³¹³
豔		─	─	─	iãi⁴⁴	─
焰		─	iẽ²⁴	─	iãi⁴⁴	─
聶		leʔ⁵⁴	─	lieʔ⁵⁴	lieʔ⁵³	gieʔ⁵⁴
躡		─	liẽ⁵⁵~核骹	─	─	─
獵		liaʔ⁵⁴	lie⁵⁵	─	teʔ³¹	lia⁴⁵
接		tsia³¹	tseʔ²	tseʔ⁵⁴	tseʔ⁵³	tsiaʔ⁵⁴
妾		─	tsʰeʔ²	─	tsʰeʔ⁵³	tsʰie⁵³
捷		kʰieʔ⁵⁴	─	tseʔ⁵⁴	tseʔ⁵³	tsʰiaʔ⁵⁴
摺		tʃie³¹	tseʔ²	tʃeʔ⁵⁴	tʃieʔ⁵³	tsɑʔ⁵⁴
攝		ʃio⁴³	─	─	ʃieʔ⁵³	sɑʔ⁵⁴
涉		ʃio⁴³	seʔ²	─	ʃieʔ⁵³	sɑʔ⁵⁴
葉		ieʔ⁵⁴	ie⁵⁵	ieʔ³¹	ieʔ³¹	ia⁴⁵
頁		ieʔ⁵⁴	ie⁵⁵	ieʔ³¹	ieʔ³¹	─
嚴		ŋiŋ¹³/giŋ¹³；iŋ¹³	giẽ²¹/iẽ²¹	guãi²¹	guãi²¹	ŋiaŋ¹¹³
醃		iã³³	─	iãi³³	─	iaŋ³⁵³
劍		kiŋ²⁴	tsiẽ²⁴	kiãi⁴⁵	cãi⁵⁵	kiaŋ³¹³
欠		kʰiŋ²⁴	kʰiẽ²⁴	kʰiãi⁴⁵	cʰãi⁵⁵	kʰiaŋ³¹³
釅		ŋiã¹³/giã¹³	giẽ²¹/iẽ²¹肥料濃度高；giəŋ²¹/iəŋ²¹濃？	giaŋ²¹	ɟiaŋ²¹	─
劫		kia³¹	keʔ²	─	keʔ⁵³	kiaʔ⁵⁴
業		gieʔ⁵⁴	ge⁵⁵事~、工~、~務	─	geʔ³¹	ŋia⁴⁵
脅		ʃieʔ⁵⁴	─	─	ʃieʔ⁵³	─
添		tʰiã³³	tʰiẽ³³	tʰãi³³	tʰãi²²	tʰiaŋ³⁵³
甜		tʰiã¹³	tʰã²¹	tʰãi²¹	tʰãi²¹	tʰiaŋ¹¹³
鮎		ŋiã¹³	─	─	─	─
拈		─	─	─	─	ŋiaŋ³⁵³
兼		─	kaŋ³³；kiẽ³³	─	─	kiaŋ³⁵³
謙		tsʰiŋ³³；kʰiŋ³³	kʰiẽ³³	─	─	kʰiaŋ³⁵³
嫌		ʃiã¹³	siẽ²¹	siãi²¹	ʃiãi²¹	hiaŋ¹¹³
點		tiŋ³¹	tiẽ³¹	─	tãi²⁴	tiaŋ³¹³
舔		─	─	─	─	tʰien³¹³
店		tiã²⁴	tiẽ²⁴	tãi⁴⁵	─	tiaŋ³¹³
念		ŋiŋ⁴³	laŋ⁵⁵~佛、~彌陀；giẽ⁵⁵想~、思~	lãi⁵⁵	lãi⁴⁴	ŋiaŋ⁴⁵
歉		kʰiŋ²⁴	─	kʰiãi⁴⁵	cʰãi⁵⁵	kʰiaŋ³¹³
跌		te³¹	teʔ²	─	taiʔ⁵³	tieʔ⁵⁴
帖		tʰia³¹	tʰeʔ²	─	tʰaiʔ⁵³	tʰiaʔ⁵⁴
貼		tia³¹	tʰaʔ²	─	taiʔ⁵³	tʰiaʔ⁵⁴補~；tiaʔ⁵⁴
疊		tʰia³¹	tʰaʔ²	─	─	─
碟		tʰiaʔ⁵⁴	teʔ²飛~	tʰaʔ³¹	tʰaiʔ³¹	tʰia⁴⁵
牒		tʰia³¹	─	─	─	─
蝶		tʰiʔ⁵⁴	─	tʰaʔ³¹	tʰaiʔ³¹	tʰia⁴⁵
諜		tʰia³¹	─	tʰaʔ³¹	tʰaiʔ³¹	─
挾	挾菜	kia³¹	kaʔ²	kiaʔ⁵⁴	kiaiʔ⁵³	kiaʔ⁵⁴
協		ʃie³¹	se⁵⁵	siaʔ³¹	siaʔ³¹	hia⁴⁵
凡		fã¹³	fã²¹	─	faŋ²¹	fɑŋ¹¹³
帆		fã¹³	fã²¹	faŋ²¹	faŋ²¹	fan³⁵³
范		fã⁴³	fã⁵⁵	faŋ⁵⁵	faŋ⁴⁴	fɑŋ⁴⁵
範		fã⁴³	fã⁵⁵	faŋ⁵⁵	faŋ⁴⁴	fɑŋ⁴⁵
犯		fã⁴³	fã⁵⁵	faŋ⁵⁵	faŋ⁴⁴	fɑŋ⁴⁵
泛		─	fã⁵⁵	─	─	fan⁴⁵
法		fo³¹	faʔ²	fɒʔ⁵⁴	fɒʔ⁵³	fɑʔ⁵⁴
乏		fa³¹	faʔ²	─	faʔ⁵³	─
林		lɤŋ¹³	liŋ²¹	tiŋ²¹	tiŋ²¹	liŋ¹¹³
淋		lɤŋ¹³	─	─	─	liŋ¹¹³
臨		lɤŋ¹³	liŋ²¹	tiŋ²¹	tiŋ²¹	liŋ¹¹³
侵		tsʰɤŋ³³	tsʰiŋ³³	tsʰiŋ³³	tsʰiŋ²²	tsʰiŋ³⁵³
心		sɤŋ³³	siŋ³³	siŋ³³	siŋ²²	siŋ³⁵³
尋		tsʰɤŋ¹³	tsʰiŋ²¹	─	siŋ²¹	tsʰiŋ¹¹³
沉		tʃʰɤŋ¹³	tsʰiŋ²¹	tʃʰiŋ²¹	tʃʰiŋ²¹	tsʰeŋ¹¹³
簪		tsã³³	─	─	─	tsɑŋ³⁵³
參	參差	─	tsʰã³³	─	─	tsʰɑŋ³⁵³
森		sɛ̃³³	sɛ̃³³	səŋ³³	səŋ²²	seŋ³⁵³
參	人參	sɛ̃³³	sɛ̃³³	səŋ³³	səŋ²²	seŋ³⁵³
針		tʃɤŋ³³	tsiŋ³³	tʃiŋ³³	tʃiŋ²²	tseŋ³⁵³
斟		tʃɤŋ³³	─	─	─	tseŋ³⁵³
深		ʃɤŋ³³	tsʰiŋ³³	tʃʰiŋ³³	tʃʰiŋ²²	seŋ³⁵³
壬		ŋɤŋ¹³	liŋ²¹	─	─	iŋ¹¹³
任	姓	iɤŋ⁴³	─	iŋ⁵⁵	iŋ⁴⁴	─
今		kɤŋ³³	kiŋ³³	kiŋ³³	kiŋ²²	kiŋ³⁵³
金		kɤŋ³³	kiŋ³³	kiŋ³³	kiŋ²²	kiŋ³⁵³
襟		kɤŋ³³	─	─	─	kiŋ³⁵³
欽		kʰɤŋ³³	tsʰiŋ³³	kʰiãi³³	─	kʰiŋ³⁵³
琴		kʰɤŋ¹³	kʰiŋ²¹	kʰiŋ²¹	kʰiŋ²¹	kʰiŋ¹¹³
禽		kʰuɤŋ¹³	kʰiŋ²¹	kʰiŋ²¹	kʰiŋ²¹	kʰiŋ¹¹³
擒		─	─	kʰiãi²¹	kʰiãi²¹	kʰiŋ¹¹³
吟		iɤŋ¹³	iŋ²¹	iŋ²¹	iŋ²¹	iŋ¹¹³
音		iɤŋ³³	iŋ³³	─	iŋ²²	iŋ³⁵³
陰		iɤŋ³³	iŋ³³	─	iŋ²²	iŋ³⁵³
淫		─	─	─	iŋ²¹	iŋ¹¹³
稟		─	piŋ³¹	─	─	─
品		pʰɤŋ³¹	pʰiŋ³¹	─	─	pʰiŋ³¹³
寢		─	─	─	tsʰiŋ²¹	tsʰiŋ³¹³
枕		tʃɤŋ³¹	tsiŋ³¹	tʃiŋ²⁴	tʃiŋ²⁴	tseŋ³¹³
沈		ʃɤŋ³¹	siŋ³¹	─	─	seŋ³¹³
審		ʃɤŋ³¹	siŋ³¹	─	─	seŋ³¹³
嬸		ʃɤŋ³¹	─	─	─	─
甚		─	siŋ²⁴	─	─	seŋ³¹³
錦		kɤŋ³¹	kiŋ³¹	kiŋ²⁴	kiŋ²⁴	kiŋ³¹³
飲	飲酒	iɤŋ³¹	iŋ³¹	iŋ²⁴	iŋ²⁴	iŋ³¹³
飲	米湯	─	─	─	─	iŋ³¹³
浸		tsɤŋ²⁴	tsiŋ²⁴	tsiŋ⁴⁵	tsiŋ⁵⁵	tsiŋ³¹³
任	責任	iɤŋ⁴³	iŋ⁵⁵	iŋ⁵⁵	iŋ⁴⁴	leŋ⁴⁵
紝		iɤŋ⁴³	─	─	─	─
禁	禁止	kɤŋ²⁴	kiŋ²⁴	─	─	kiŋ³¹³
蔭		iɤŋ³³	─	─	iŋ²²	iŋ³⁵³
立		liʔ⁵⁴	liʔ²	tiʔ³¹	tiʔ³¹	lie⁴⁵
笠		liʔ⁵⁴	li⁵⁵	tiʔ³¹	tiʔ³¹	lieʔ⁵⁴
粒		liʔ⁵⁴	─	tiʔ³¹	tiʔ³¹	lieʔ⁵⁴
集		tsʰeʔ⁵⁴	tsʰi⁵⁵	─	tsʰiʔ³¹	tsʰie⁴⁵
輯		kʰiʔ⁵⁴	kiʔ²	─	tsiʔ⁵³	tsʰieʔ⁵⁴
習		siʔ⁵⁴	si⁵⁵	─	siʔ³¹	sie⁴⁵
襲		siʔ⁵⁴	siʔ²	─	siʔ⁵³	siʔ⁵⁴
蟄		tʃʰieʔ⁵⁴	tsʰɿ⁵⁵	tʃʰɿʔ³¹	tʃʰɿʔ³¹	tsʰɿ⁴⁵
澀		sɤ³¹	─	səʔ⁵⁴	səʔ⁵³	─
執		tʃie³¹	tsʰɿ⁵⁵	tʃɿʔ⁵⁴	tʃɿʔ⁵³	tsəʔ⁵⁴
汁		tʃie³¹	tsɿʔ²	tʃɿʔ⁵⁴	tʃɿʔ⁵³	tsəʔ⁵⁴
濕		ʃie³¹	tsʰeʔ²	tʃʰeʔ⁵⁴	tʃʰeʔ⁵³	səʔ⁵⁴
十		ʃieʔ⁵⁴	sɿ⁵⁵	─	ʃɿʔ³¹	sə⁴⁵
拾		─	sɿ⁵⁵	─	─	sə⁴⁵
入		giʔ⁵⁴	gi⁵⁵	gieʔ³¹	gieʔ³¹	ieʔ⁵⁴
急		ki³¹	kiʔ²	kiʔ⁵⁴	kiʔ⁵³	kieʔ⁵⁴
級		ki³¹	kiʔ²	kiʔ⁵⁴	kiʔ⁵³	kʰieʔ⁵⁴
給		ki³¹	─	kieʔ⁵⁴	kieʔ⁵³	─
泣		─	─	─	─	tsʰiʔ⁵⁴
及		kʰiʔ⁵⁴	kʰi⁵⁵	─	kʰiʔ³¹	kʰie⁴⁵
吸		ʃi³¹	siʔ²	─	siʔ⁵³	hiʔ⁵⁴
丹		tã³³	tuẽ³³	taŋ³³	taŋ²²	tan³⁵³
單		tã³³	tuẽ³³	─	taŋ²²	tan³⁵³
灘		tʰã³³	tʰuẽ³³	─	─	tʰan³⁵³
攤		tʰã³³	tʰuẽ³³；tʰã³³	─	tʰaŋ²²	tʰan³⁵³
檀		tʰõ¹³	tʰuẽ²¹	─	tʰaŋ²¹	tʰan¹¹³
壇		─	tʰã²¹	─	─	tʰan¹¹³
彈		tʰã¹³	tʰuẽ²¹	─	tʰaŋ²¹	tʰan¹¹³
難	難易	lã¹³	luẽ²¹	laŋ²¹	laŋ²¹	lan¹¹³
蘭		lã¹³	luẽ²¹	laŋ²¹	laŋ²¹	lan¹¹³
攔		lã¹³	luẽ²¹	─	─	lan¹¹³
欄		lã¹³	luẽ²¹	laŋ²¹	laŋ²¹	lan¹¹³
餐		tsʰuã³³一日三~；tsʰõ³³~廳、~巾紙	tsʰuẽ³³	tsʰoŋ³³	tsʰoŋ²²	tsʰan³⁵³
殘		tsʰã¹³	tsʰoŋ²¹	tsʰaŋ²¹	tsʰaŋ²¹	tsʰan¹¹³
珊		sã³³	sã³³	─	─	san³⁵³
干		kuã³³	kuẽ³³	─	─	kuan³⁵³
肝		kuã³³	kuẽ³³	kuaŋ³³	kuaŋ²²	kuan³⁵³
竿		kuã³³	─	koŋ³³	koŋ²²	kuan³⁵³
乾		kuã³³	kuẽ³³	kuaŋ³³	kuaŋ²²	kuan³⁵³
看	看守	kʰuã²⁴	kʰaŋ³³	─	kʰuaŋ⁵⁵	─
刊		kʰoŋ³³/kʰõ³³	kʰoŋ³³	kʰoŋ³³	kʰoŋ²²	kʰan³⁵³
寒		huã¹³	huẽ²¹	huaŋ²¹	huaŋ²¹	huan¹¹³
韓		huã¹³	huẽ²¹	─	haŋ²¹	huan¹¹³
安		uã³³	uẽ³³	uaŋ³³	uaŋ²²	van³⁵³
鞍		uã³³	uẽ³³	─	─	van³⁵³
坦		tʰã³¹	tʰã³¹	─	tʰaŋ²⁴	tʰan³¹³
誕		tʰã⁴³	─	─	tʰaŋ⁴⁴	tan³¹³
懶		lã³³	luẽ³¹	─	laŋ²²	lan³⁵³
散	鞋帶散了	─	─	saŋ²⁴	saŋ²⁴	san³¹³
傘		sã³¹	suẽ³¹	saŋ²⁴	saŋ²⁴	san³¹³
稈		kuã³¹	kuẽ³¹	kuaŋ²⁴	kuaŋ²⁴	kuan³¹³
趕		─	kuẽ³¹	─	─	kuan³¹³
罕		─	haŋ³¹	─	haŋ²⁴	huan³¹³
旱		huã³³	huẽ⁵³~災	huaŋ³³	huaŋ²²	huan³⁵³
旦		tʰã⁴³	tã²⁴	─	taŋ⁵⁵	tʰan⁴⁵
炭		tʰã²⁴	tʰuẽ²⁴	tʰaŋ⁴⁵	tʰaŋ⁵⁵	tʰan³¹³
歎		tʰã²⁴	tʰã²⁴	─	tʰaŋ⁵⁵	tʰan³¹³
但		tʰã⁴³	tʰã⁵⁵	─	tʰaŋ⁴⁴	tʰan⁴⁵
彈	子彈	tʰã⁴³	tʰã⁵⁵	─	tʰaŋ⁴⁴	tʰan⁴⁵
蛋		tʰã⁴³	─	─	tʰaŋ⁴⁴	tʰan⁴⁵
難	患難	─	luẽ⁵⁵	laŋ⁵⁵	laŋ⁴⁴	lan⁴⁵
爛		lã⁴³	luẽ⁵⁵	laŋ⁵⁵	laŋ⁴⁴	lan⁴⁵
贊		─	tsã²⁴	─	─	tsan³¹³
燦		─	tsʰoŋ²⁴	tsʰaŋ⁴⁵	─	tsʰan³¹³
散	分散	sã²⁴	suẽ²⁴	─	saŋ⁵⁵	san³¹³
幹		kuã²⁴	kaŋ²⁴	─	kaŋ⁵⁵	kuan³¹³
看	看見	kʰuã²⁴	─	─	kʰuaŋ⁵⁵~守	─
岸		ŋã⁴³/gã⁴³；huã²⁴~上	uẽ²⁴	uaŋ⁴⁵	ɟãi⁴⁴	ŋan⁴⁵
漢		huã²⁴	huẽ²⁴	huaŋ⁴⁵	huaŋ⁵⁵	huan³¹³
汗		huã⁴³	huẽ⁵⁵	huaŋ⁵⁵	huaŋ⁴⁴	huan⁴⁵
銲		huã⁴³	huẽ⁵⁵	─	─	huan⁴⁵
翰		huã⁴³	huẽ⁵⁵	─	─	huan⁴⁵
按		uã²⁴	uẽ²⁴	─	─	van³¹³
案		uã²⁴	uẽ²⁴	uaŋ⁴⁵	uaŋ⁵⁵	van³¹³
獺		tʰo³¹	tʰaʔ²	─	─	tsʰaʔ⁵⁴
達		tʰaʔ⁵⁴	tʰue⁵⁵	─	tʰaʔ³¹	tʰai⁴⁵
辣		laʔ⁵⁴	luo⁵⁵	─	laʔ³¹	lai⁴⁵
瘌		─	loʔ²/luoʔ²	laʔ³¹	laʔ³¹	laʔ⁵⁴
擦		tsʰa³¹	─	─	tsʰaʔ⁵³	tsʰaʔ⁵⁴
薩		sa³¹	saʔ²；s(u)oʔ²	─	saʔ⁵³	saʔ⁵⁴
割		kua³¹	kuaʔ²	kuaʔ⁵⁴	kuaʔ⁵³	kuaʔ⁵⁴
葛		kua³¹	kuaʔ²	─	─	kuaʔ⁵⁴
渴		kʰua³¹；kʰɤ³¹~望	kʰuaʔ²	─	kʰəʔ⁵³	─
喝		─	─	həʔ⁵⁴	hoʔ⁵³	─
山		sã³³	suẽ³³	─	saŋ²²	san³⁵³
艱		kɤŋ³³	kiẽ³³	kiãi³³	cãi²²	kien³⁵³
間	空間	kã³³	kã³³	kiãi³³	cãi²²	kan³⁵³
閑		hã¹³	hã²¹	hãi²¹	hãi²¹	han¹¹³
盞		tsuã³¹	tsuẽ³¹	tsãi²⁴	─	tsan³¹³
鏟		tsʰã³¹	tsʰuẽ³¹	─	─	tsʰan³¹³
產		tsʰã³¹	suẽ³¹	─	tsʰaŋ²⁴	tsʰan³¹³
簡		kã³¹	kã³¹	kiãi²⁴	cãi²⁴	kan³¹³
柬		─	─	kiãi²⁴	cãi²⁴	─
揀		kiã³¹	─	─	─	─
眼		ŋã³¹	ŋã³¹	giãi²⁴	ɟãi²⁴	ŋan³¹³
限		hã⁴³	hã⁵⁵	hãi⁵⁵	hãi⁴⁴	han⁴⁵
扮		pã²⁴	puẽ²⁴	─	paŋ⁵⁵	pan⁵³
盼		─	pʰã²⁴	pʰaŋ⁴⁵	pʰaŋ⁵⁵	pʰan⁵³
瓣		─	puẽ²⁴	─	─	pan⁵³
辦		pʰã⁴³	─	─	pʰaŋ⁴⁴	pʰan⁴⁵
綻		─	tsoŋ²⁴	tsʰãi²⁴	─	tsan⁵³
間	間斷	kã³³	kã²⁴	kiãi³³	cãi²²	─
莧		ʃiŋ⁴³	hã⁵⁵	hãi⁵⁵	hãi⁴⁴	hien⁴⁵
八		pa³¹	paʔ²	paʔ⁵⁴	paiʔ⁵³	paʔ⁵⁴
拔		pʰaʔ⁵⁴；pe³³	pʰa⁵⁵	─	─	─
抹		maʔ⁵⁴	muoʔ²	maʔ⁵⁴	maʔ⁵³	─
扎		tsa³¹	─	─	─	─
紮		tsa³¹	─	tsaʔ⁵⁴	tsaʔ⁵³	tsɑʔ⁵⁴
察		tsʰa³¹	tsʰaʔ²	─	─	tsʰaʔ⁵⁴
殺		sa³¹	soʔ²/suoʔ²	─	saʔ⁵³	saʔ⁵⁴
擖	用刀刮	─	kuaʔ²	kuaʔ⁵⁴	kuaʔ⁵³	─
班		pã³³	pã³³	─	paŋ²²	pan³⁵³
斑		pã³³	─	─	─	pan³⁵³
頒		pã³³	pã³³	─	paŋ²²	pan³⁵³
扳		pã³¹	─	─	─	pan³⁵³
攀		pʰã³³	pʰuẽ³³	─	─	pʰan³⁵³
蠻		mã¹³	mã²¹	maŋ²¹	maŋ²¹	man¹¹³
刪		sã³³	sã³³	saŋ³³	saŋ²²	san³⁵³
奸		kã³³	kã³³	kiãi³³	cãi²²	kien³⁵³
顏		ŋã¹³	ŋã²¹；iẽ²¹	guãi²¹	guãi²¹	ŋan¹¹³
板		pã³¹	pã³¹	─	paŋ²⁴	pan³¹³
版		pã³¹	pã³¹	─	paŋ²⁴	pan³¹³
慢		mã⁴³	mã⁵⁵	maŋ⁵⁵	maŋ⁴⁴	man⁴⁵
棧		tsʰã⁴³客~	─	─	─	─
疝		sã³³	sã³³	─	saŋ²²	san³⁵³
雁		iŋ²⁴	iẽ²⁴	iãi⁴⁵	iãi⁵⁵	ŋan⁴⁵
瞎		ha³¹	haʔ²	haʔ⁵⁴	haiʔ⁵³	haʔ⁵⁴
轄		hoʔ⁵⁴	ho⁵⁵	─	ʃiaʔ⁵³	─
鞭		piŋ³³	piẽ³³	─	─	pien³⁵³
編		piŋ³³；pʰiŋ³³	piẽ³³	pãi³³	pãi²²	pien³⁵³
篇		pʰiŋ³³	pʰiẽ³³	pʰãi³³	pʰãi²²	pʰien³⁵³
偏		pʰiŋ³³	pʰiẽ³³	pʰãi³³	pʰãi²²	pʰien³⁵³
便	便宜	pʰiŋ¹³	pʰɛ̃²¹	pʰãi²¹	pʰãi²¹	pʰien¹¹³
綿		miŋ¹³	miẽ²¹	─	─	mien¹¹³
棉		miŋ¹³	miẽ²¹	─	mãi²¹	mien¹¹³
連		liŋ¹³	liẽ²¹	tãi²¹	tãi²¹	lien¹¹³
聯		liŋ¹³	liẽ²¹	tãi²¹	tãi²¹	liaŋ¹¹³
煎		tsiŋ³³	tsiẽ³³	tsãi³³	tsãi²²	tsien³⁵³
