漢字	注釋	清流城關	清流林畬	清流長校(長校村)	清流長校(江坊村)	寧化石壁
除		tʃʰy¹³	tsʰi²¹	kʰu²¹	kʰu²¹	tsʰu¹¹³
儲		tʃʰy¹³	─	─	─	─
初		tsʰu³³	tsʰu³³	tsʰɿ³³	tsʰɿ²²	tsʰu³⁵³
鋤		tsʰɿ¹³；tʃʰy¹³	tsʰɿ²¹	tsʰɿ²¹	tsʰɿ²¹	tsʰə¹¹³
梳		sɿ³³	sɿ³³	sɿ³³	sɿ²²	sə³⁵³
疏		sɿ³³	─	sɿ³³	sɿ²²	─
蔬		su³³	─	─	─	─
諸		tʃy³³	tsu³³	─	ku²²	tsu³⁵³
書		ʃy³³	si³³	ʃɿ³³	ʃɿ²²	su³⁵³
舒		ʃy³³	su³³	─	─	su³⁵³
如		y¹³	lu²¹	ʒɿ²¹	ʒɿ²¹	lu¹¹³
居		ky³³	ki³³	─	─	kiəu³⁵³
車		ky³³	ki³³	ku³³	ku²²	kiəu³⁵³
墟		hɤ³³赴~、~坪；ʃy³³	he³³	ʃɿ³³	ʃɿ²²	hə³⁵³
渠		kɤ³³(他)	─	─	kʰu²¹(他)	─
魚		gɤ¹³	ŋe²¹	gu²¹	gu²¹	gə¹¹³
漁		gɤ¹³	ŋe²¹	─	─	─
虛		ʃy³³	si³³	ʃɿ³³	ʃɿ²²	hiəu³⁵³
於		y¹³	i³³	─	─	iəu¹¹³
余		y¹³	i²¹	ʒɿ²¹	ʒɿ²¹	─
餘		y¹³	─	─	─	iəu¹¹³
女		gie³¹；gy³¹	gi³¹	gu²⁴	gu²⁴	gie³¹³(女兒)；giəu³¹³男~
呂		li³¹	li³¹	tu²⁴	tu²⁴	liəu³¹³
旅		li³¹	li³¹	─	tu²⁴	liəu³¹³
序		ʃy⁴³	si⁵⁵	ʃiʔ⁵⁴	ʃiʔ⁵³	siəu⁴⁵
緒		ʃy⁴³	si⁵⁵	ʃɿ²⁴	ʃɿ⁵⁵	siəu⁴⁵
苧		tʃʰy³³	─	kʰu²¹	kʰu²¹	tsʰə³⁵³
阻		tsu³¹	tsi³¹	─	tsɿ²⁴	tsu³¹³
楚		tsʰu³¹	tsʰu³¹	tsʰɿ²⁴	tsʰɿ²⁴	tsʰu³¹³
礎		tsʰu³¹	tsʰu³¹	tsʰɿ²⁴	tsʰɿ²⁴	tsʰu³¹³
所		su³¹	su³¹	sɿ²⁴	sɿ²⁴	su³¹³
煮		tʃy³¹	tsi³¹	ku²⁴	ku²⁴	tsə³¹³
處	相處	tʃʰy²⁴	tsʰi²⁴	kʰu⁴⁵	kʰu⁵⁵	tsʰu³¹³
杵		─	─	─	─	tsʰu³¹³
暑		ʃy³¹	si³¹	ʃɿ²⁴	─	su³¹³
鼠		ʃy³¹	tsʰi³¹	ʃɿ²⁴	ʃɿ²⁴	səu³¹³
擧		ky³¹	ki³¹	ku²⁴	ku²⁴	kiəu³¹³
巨		kʰi⁴³	ki³¹	─	ku⁵⁵	kʰiəu⁴⁵
拒		kʰi⁴³	ki²⁴	ku⁴⁵	ku⁵⁵	kʰiəu⁴⁵
距		kʰi⁴³	kʰi⁵⁵	ku⁴⁵	ku⁵⁵	kʰiəu⁴⁵
語		gy³¹	gi³¹	gu²⁴	gu²⁴	giəu³¹³
許		ʃy³¹	si³¹	ʃɿ²⁴	ʃɿ²⁴	hiəu³¹³
與		─	i³¹	─	─	─
慮		li⁴³	li⁵⁵	tu⁵⁵	tu⁴⁴	liəu⁴⁵
濾		─	li⁵⁵	─	─	liəu⁴⁵
著	顯著	─	tsi²⁴	─	─	tsu³¹³
