繁體	简体	拼音	/IPa/	[IPA]	注释
唬	唬	fu2	fu˨˩	fu˨˩	吓~
鳧	凫	fu2	fu˨˩	fu˨˩	
負	负	fu2	fu˨˩	fu˨˩	欺~
虎	虎	fu3	fu˦˧	fu˦˧	
唬	唬	fu3	fu˦˧	fu˦˧	
滸	浒	fu3	fu˦˧	fu˦˧	
戽	戽	fu3	fu˦˧	fu˦˧	
輔	辅	fu3	fu˦˧	fu˦˧	
撫	抚	fu3	fu˦˧	fu˦˧	
府	府	fu3	fu˦˧	fu˦˧	
腑	腑	fu3	fu˦˧	fu˦˧	
腐	腐	fu3	fu˦˧	fu˦˧	
斧	斧	fu3	fu˦˧	fu˦˧	
釜	釜	fu3	fu˦˧	fu˦˧	
否	否	fu3	fu˦˧	fu˦˧	白读
呼	呼	fu3	fu˦˧	fu˦˧	~~~，拟声词，形容呼啸而过
戶	户	fu4	fu˨˦	fu˨˦	
滬	沪	fu4	fu˨˦	fu˨˦	
互	互	fu4	fu˨˦	fu˨˦	
護	护	fu4	fu˨˦	fu˨˦	
戽	戽	fu4	fu˨˦	fu˨˦	~水
付	付	fu4	fu˨˦	fu˨˦	
附	附	fu4	fu˨˦	fu˨˦	
賦	赋	fu4	fu˨˦	fu˨˦	
父	父	fu4	fu˨˦	fu˨˦	
婦	妇	fu4	fu˨˦	fu˨˦	
負	负	fu4	fu˨˦	fu˨˦	
富	富	fu4	fu˨˦	fu˨˦	
副	副	fu4	fu˨˦	fu˨˦	
烏	乌	vu1	vu˦˥	vu˦˥	
塢	坞	vu1	vu˦˥	vu˦˥	
嗚	呜	vu1	vu˦˥	vu˦˥	文读
污	污	vu1	vu˦˥	vu˦˥	
侮	侮	vu1	vu˦˥	vu˦˥	~辱
巫	巫	vu1	vu˦˥	vu˦˥	
誣	诬	vu1	vu˦˥	vu˦˥	
吳	吴	vu2	vu˨˩	vu˨˩	
吾	吾	vu2	vu˨˩	vu˨˩	
梧	梧	vu2	vu˨˩	vu˨˩	
無	无	vu2	vu˨˩	vu˨˩	
无	无	vu2	vu˨˩	vu˨˩	
毋	毋	vu2	vu˨˩	vu˨˩	
物	物	vu2	vu˨˩	vu˨˩	
勿	勿	vu2	vu˨˩	vu˨˩	
屋	屋	vu2	vu˨˩	vu˨˩	
兀	兀	vu2	vu˨˩	vu˨˩	
五	五	vu3	vu˦˧	vu˦˧	
伍	伍	vu3	vu˦˧	vu˦˧	
悟	悟	vu3	vu˦˧	vu˦˧	孙~空
捂	捂	vu3	vu˦˧	vu˦˧	
午	午	vu3	vu˦˧	vu˦˧	
武	武	vu3	vu˦˧	vu˦˧	
舞	舞	vu3	vu˦˧	vu˦˧	
侮	侮	vu3	vu˦˧	vu˦˧	
鵡	鹉	vu3	vu˦˧	vu˦˧	
悟	悟	vu4	vu˨˦	vu˨˦	
焐	焐	vu4	vu˨˦	vu˨˦	
誤	误	vu4	vu˨˦	vu˨˦	
惡	恶	vu4	vu˨˦	vu˨˦	厌~；可~
務	务	vu4	vu˨˦	vu˨˦	
霧	雾	vu4	vu˨˦	vu˨˦	
戊	戊	vu4	vu˨˦	vu˨˦	
都	都	du1	tu˦˥	d̥u˦˥	文读
嘟	嘟	du1	tu˦˥	d̥u˦˥	
獨	独	du2	tu˨˩	d̥u˨˩	
讀	读	du2	tu˨˩	d̥u˨˩	
牘	牍	du2	tu˨˩	d̥u˨˩	
犢	犊	du2	tu˨˩	d̥u˨˩	
篤	笃	du2	tu˨˩	d̥u˨˩	
督	督	du2	tu˨˩	d̥u˨˩	
毒	毒	du2	tu˨˩	d̥u˨˩	
誶	谇	du2	tu˨˩	d̥u˨˩	白读2
踤	踤	du2	tu˨˩	d̥u˨˩	白读2
觸	触	du2	tu˨˩	d̥u˨˩	白读
堵	堵	du3	tu˦˧	d̥u˦˧	
賭	赌	du3	tu˦˧	d̥u˦˧	
肚	肚	du3	tu˦˧	d̥u˦˧	牛~；猪~；毛~
度	度	du4	tu˨˦	d̥u˨˦	
渡	渡	du4	tu˨˦	d̥u˨˦	
鍍	镀	du4	tu˨˦	d̥u˨˦	
妬	妬	du4	tu˨˦	d̥u˨˦	
蠹	蠹	du4	tu˨˦	d̥u˨˦	
肚	肚	du4	tu˨˦	d̥u˨˦	
住	住	du4	tu˨˦	d̥u˨˦	迭~，指赶忙、抓紧
徒	徒	tu2	tʰu˨˩	tʰu˨˩	
屠	屠	tu2	tʰu˨˩	tʰu˨˩	
途	途	tu2	tʰu˨˩	tʰu˨˩	
塗	涂	tu2	tʰu˨˩	tʰu˨˩	
圖	图	tu2	tʰu˨˩	tʰu˨˩	
突	突	tu2	tʰu˨˩	tʰu˨˩	
禿	秃	tu2	tʰu˨˩	tʰu˨˩	
凸	凸	tu2	tʰu˨˩	tʰu˨˩	
土	土	tu3	tʰu˦˧	tʰu˦˧	
吐	吐	tu3	tʰu˦˧	tʰu˦˧	
兔	兔	tu4	tʰu˨˦	tʰu˨˦	
轆	辘	lu1	lu˦˥	l̃u˦˥	
嚕	噜	lu1	lu˦˥	l̃u˦˥	
露	露	lu1	lu˦˥	l̃u˦˥	白~~；黄~~；乖~~；光~~
奴	奴	lu2	lu˨˩	l̃u˨˩	
盧	卢	lu2	lu˨˩	l̃u˨˩	
爐	炉	lu2	lu˨˩	l̃u˨˩	
廬	庐	lu2	lu˨˩	l̃u˨˩	
驢	驴	lu2	lu˨˩	l̃u˨˩	
瀘	泸	lu2	lu˨˩	l̃u˨˩	
櫨	栌	lu2	lu˨˩	l̃u˨˩	
顱	颅	lu2	lu˨˩	l̃u˨˩	
髏	髅	lu2	lu˨˩	l̃u˨˩	
鹿	鹿	lu2	lu˨˩	l̃u˨˩	
轆	辘	lu2	lu˨˩	l̃u˨˩	
祿	禄	lu2	lu˨˩	l̃u˨˩	
六	六	lu2	lu˨˩	l̃u˨˩	
陸	陆	lu2	lu˨˩	l̃u˨˩	
綠	绿	lu2	lu˨˩	l̃u˨˩	
祿	禄	lu2	lu˨˩	l̃u˨˩	
錄	录	lu2	lu˨˩	l̃u˨˩	
睩	睩	lu2	lu˨˩	l̃u˨˩	
椂	椂	lu2	lu˨˩	l̃u˨˩	
努	努	lu3	lu˦˧	l̃u˦˧	
魯	鲁	lu3	lu˦˧	l̃u˦˧	
櫓	橹	lu3	lu˦˧	l̃u˦˧	
鹵	卤	lu3	lu˦˧	l̃u˦˧	
滷	滷	lu3	lu˦˧	l̃u˦˧	
虜	虏	lu3	lu˦˧	l̃u˦˧	
擄	掳	lu3	lu˦˧	l̃u˦˧	
怒	怒	lu4	lu˨˦	l̃u˨˦	
路	路	lu4	lu˨˦	l̃u˨˦	
賂	赂	lu4	lu˨˦	l̃u˨˦	
露	露	lu4	lu˨˦	l̃u˨˦	
租	租	zu1	tsu˦˥	tsu˦˥	
豬	猪	zu1	tsu˦˥	tsu˦˥	
諸	诸	zu1	tsu˦˥	tsu˦˥	
誅	诛	zu1	tsu˦˥	tsu˦˥	
蛛	蛛	zu1	tsu˦˥	tsu˦˥	
株	株	zu1	tsu˦˥	tsu˦˥	
朱	朱	zu1	tsu˦˥	tsu˦˥	
硃	硃	zu1	tsu˦˥	tsu˦˥	
珠	珠	zu1	tsu˦˥	tsu˦˥	
絀	绌	zu2	tsu˨˩	tsu˨˩	
竹	竹	zu2	tsu˨˩	tsu˨˩	
築	筑	zu2	tsu˨˩	tsu˨˩	
筑	筑	zu2	tsu˨˩	tsu˨˩	贵阳城别称；古乐器名
術	术	zu2	tsu˨˩	tsu˨˩	白~
逐	逐	zu2	tsu˨˩	tsu˨˩	
軸	轴	zu2	tsu˨˩	tsu˨˩	
妯	妯	zu2	tsu˨˩	tsu˨˩	
粥	粥	zu2	tsu˨˩	tsu˨˩	文读
祝	祝	zu2	tsu˨˩	tsu˨˩	
𡎺	𡎺	zu2	tsu˨˩	tsu˨˩	
足	足	zu2	tsu˨˩	tsu˨˩	~球
促	促	zu2	tsu˨˩	tsu˨˩	
誶	谇	zu2	tsu˨˩	tsu˨˩	白读1
踤	踤	zu2	tsu˨˩	tsu˨˩	白读1
囑	嘱	zu2	tsu˨˩	tsu˨˩	~咐
燭	烛	zu2	tsu˨˩	tsu˨˩	文读
觸	触	zu2	tsu˨˩	tsu˨˩	文读
濁	浊	zu2	tsu˨˩	tsu˨˩	
躅	躅	zu2	tsu˨˩	tsu˨˩	~着脚，指磕到脚尖
𨀵	𨀵	zu2	tsu˨˩	tsu˨˩	
組	组	zu3	tsu˦˧	tsu˦˧	
祖	祖	zu3	tsu˦˧	tsu˦˧	
阻	阻	zu3	tsu˦˧	tsu˦˧	
煮	煮	zu3	tsu˦˧	tsu˦˧	
主	主	zu3	tsu˦˧	tsu˦˧	
做	做	zu4	tsu˨˦	tsu˨˦	文读
著	著	zu4	tsu˨˦	tsu˨˦	~作
箸	箸	zu4	tsu˨˦	tsu˨˦	
䇡	䇡	zu4	tsu˨˦	tsu˨˦	
助	助	zu4	tsu˨˦	tsu˨˦	
鑄	铸	zu4	tsu˨˦	tsu˨˦	
注	注	zu4	tsu˨˦	tsu˨˦	
駐	驻	zu4	tsu˨˦	tsu˨˦	
註	註	zu4	tsu˨˦	tsu˨˦	
住	住	zu4	tsu˨˦	tsu˨˦	
柱	柱	zu4	tsu˨˦	tsu˨˦	
粗	粗	cu1	tsʰu˦˥	tsʰu˦˥	
芻	芻	cu1	tsʰu˦˥	tsʰu˦˥	
雛	雏	cu1	tsʰu˦˥	tsʰu˦˥	
初	初	cu1	tsʰu˦˥	tsʰu˦˥	
除	除	cu2	tsʰu˨˩	tsʰu˨˩	
滁	滁	cu2	tsʰu˨˩	tsʰu˨˩	
𢲢	𢲢	cu2	tsʰu˨˩	tsʰu˨˩	
蒢	蒢	cu2	tsʰu˨˩	tsʰu˨˩	
儲	储	cu2	tsʰu˨˩	tsʰu˨˩	
鋤	锄	cu2	tsʰu˨˩	tsʰu˨˩	
廚	厨	cu2	tsʰu˨˩	tsʰu˨˩	
出	出	cu2	tsʰu˨˩	tsʰu˨˩	
掘	掘	cu2	tsʰu˨˩	tsʰu˨˩	即“𢲢”
畜	畜	cu2	tsʰu˨˩	tsʰu˨˩	牲口；粗语
豖	豖	cu2	tsʰu˨˩	tsʰu˨˩	
怵	怵	cu2	tsʰu˨˩	tsʰu˨˩	
徂	徂	cu2	tsʰu˨˩	tsʰu˨˩	
殂	殂	cu2	tsʰu˨˩	tsʰu˨˩	
簇	簇	cu2	tsʰu˨˩	tsʰu˨˩	簇~
捽	捽	cu2	tsʰu˨˩	tsʰu˨˩	白读
蹙	蹙	cu2	tsʰu˨˩	tsʰu˨˩	
蹵	蹵	cu2	tsʰu˨˩	tsʰu˨˩	
蹴	蹴	cu2	tsʰu˨˩	tsʰu˨˩	
躇	躇	cu2	tsʰu˨˩	tsʰu˨˩	
趣	趣	cu2	tsʰu˨˩	tsʰu˨˩	情面相~
覷	觑	cu2	tsʰu˨˩	tsʰu˨˩	面面相~
褚	褚	cu3	tsʰu˦˧	tsʰu˦˧	
楚	楚	cu3	tsʰu˦˧	tsʰu˦˧	
憷	憷	cu3	tsʰu˦˧	tsʰu˦˧	
處	处	cu3	tsʰu˦˧	tsʰu˦˧	相~；~于；~理；~罚；~女
杵	杵	cu3	tsʰu˦˧	tsʰu˦˧	
矗	矗	cu3	tsʰu˦˧	tsʰu˦˧	
醋	醋	cu4	tsʰu˨˦	tsʰu˨˦	
處	处	cu4	tsʰu˨˦	tsʰu˨˦	到~；住~；~级
怵	怵	cu4	tsʰu˨˦	tsʰu˨˦	~心，即恶心想吐
蘇	苏	su1	su˦˥	su˦˥	
酥	酥	su1	su˦˥	su˦˥	
書	书	su1	su˦˥	su˦˥	
舒	舒	su1	su˦˥	su˦˥	
梳	梳	su1	su˦˥	su˦˥	
疏	疏	su1	su˦˥	su˦˥	
蔬	蔬	su1	su˦˥	su˦˥	
輸	输	su1	su˦˥	su˦˥	
殊	殊	su1	su˦˥	su˦˥	
樞	枢	su1	su˦˥	su˦˥	
術	术	su2	su˨˩	su˨˩	
述	述	su2	su˨˩	su˨˩	
叔	叔	su2	su˨˩	su˨˩	
淑	淑	su2	su˨˩	su˨˩	
熟	熟	su2	su˨˩	su˨˩	
蜀	蜀	su2	su˨˩	su˨˩	
薯	薯	su2	su˨˩	su˨˩	番~，即红薯
屬	属	su2	su˨˩	su˨˩	
囑	嘱	su2	su˨˩	su˨˩	
續	续	su2	su˨˩	su˨˩	手~
贖	赎	su2	su˨˩	su˨˩	
束	束	su2	su˨˩	su˨˩	约~；~缚
粟	粟	su2	su˨˩	su˨˩	罂~
暑	暑	su3	su˦˧	su˦˧	
鼠	鼠	su3	su˦˧	su˦˧	
黍	黍	su3	su˦˧	su˦˧	
署	署	su3	su˦˧	su˦˧	
薯	薯	su3	su˦˧	su˦˧	
數	数	su3	su˦˧	su˦˧	
墅	墅	su3	su˦˧	su˦˧	
素	素	su4	su˨˦	su˨˦	
愫	愫	su4	su˨˦	su˨˦	
溸	溸	su4	su˨˦	su˨˦	
嗉	嗉	su4	su˨˦	su˨˦	
訴	诉	su4	su˨˦	su˨˦	
泝	泝	su4	su˨˦	su˨˦	
㴑	㴑	su4	su˨˦	su˨˦	
𣳙	𣳙	su4	su˨˦	su˨˦	
𣴔	𣴔	su4	su˨˦	su˨˦	
𣹫	𣹫	su4	su˨˦	su˨˦	
塑	塑	su4	su˨˦	su˨˦	
溯	溯	su4	su˨˦	su˨˦	文读
遡	遡	su4	su˨˦	su˨˦	
漱	漱	su4	su˨˦	su˨˦	
庶	庶	su4	su˨˦	su˨˦	
戍	戍	su4	su˨˦	su˨˦	
恕	恕	su4	su˨˦	su˨˦	
豎	竖	su4	su˨˦	su˨˦	
樹	树	su4	su˨˦	su˨˦	
數	数	su4	su˨˦	su˨˦	
蔬	蔬	su4	su˨˦	su˨˦	~菜
疏	疏	su4	su˨˦	su˨˦	注~
擩	擩	zru1	zu˦˥	zu˦˥	
如	如	zru2	zu˨˩	zu˨˩	
入	入	zru2	zu˨˩	zu˨˩	
儒	儒	zru2	zu˨˩	zu˨˩	
肉	肉	zru2	zu˨˩	zu˨˩	
辱	辱	zru2	zu˨˩	zu˨˩	
褥	褥	zru2	zu˨˩	zu˨˩	
汝	汝	zru3	zu˦˧	zu˦˧	
乳	乳	zru3	zu˦˧	zu˦˧	
姑	姑	gu1	ku˦˥	ɟ̊u˦˥	
辜	辜	gu1	ku˦˥	ɟ̊u˦˥	
孤	孤	gu1	ku˦˥	ɟ̊u˦˥	
居	居	gu1	ku˦˥	ɟ̊u˦˥	~着，即“跍”
跍	跍	gu1	ku˦˥	ɟ̊u˦˥	蹲
牯	牯	gu1	ku˦˥	ɟ̊u˦˥	~子，指不懂事的小孩
轱	轱	gu1	ku˦˥	ɟ̊u˦˥	
咕	咕	gu1	ku˦˥	ɟ̊u˦˥	
骨	骨	gu2	ku˨˩	ɟ̊u˨˩	
穀	谷	gu2	ku˨˩	ɟ̊u˨˩	
𣢯	𣢯	gu2	ku˨˩	ɟ̊u˨˩	大口猛饮
箍	箍	gu2	ku˨˩	ɟ̊u˨˩	金~棒
古	古	gu3	ku˦˧	ɟ̊u˦˧	
估	估	gu3	ku˦˧	ɟ̊u˦˧	
牯	牯	gu3	ku˦˧	ɟ̊u˦˧	
䀇	䀇	gu3	ku˦˧	ɟ̊u˦˧	
盬	盬	gu3	ku˦˧	ɟ̊u˦˧	
蠱	蠱	gu3	ku˦˧	ɟ̊u˦˧	
賈	贾	gu3	ku˦˧	ɟ̊u˦˧	
股	股	gu3	ku˦˧	ɟ̊u˦˧	
鼓	鼓	gu3	ku˦˧	ɟ̊u˦˧	
故	故	gu4	ku˨˦	ɟ̊u˨˦	
固	固	gu4	ku˨˦	ɟ̊u˨˦	
顧	顾	gu4	ku˨˦	ɟ̊u˨˦	
僱	雇	gu4	ku˨˦	ɟ̊u˨˦	
枯	枯	ku1	kʰu˦˥	cʰu˦˥	
咕	咕	ku1	kʰu˦˥	cʰu˦˥	叽叽~~，指低声发笑
箍	箍	ku1	kʰu˦˥	cʰu˦˥	
屈	屈	ku1	kʰu˦˥	cʰu˦˥	矮~~
窟	窟	ku2	kʰu˨˩	cʰu˨˩	
哭	哭	ku2	kʰu˨˩	cʰu˨˩	
酷	酷	ku2	kʰu˨˩	cʰu˨˩	
苦	苦	ku3	kʰu˦˧	cʰu˦˧	
庫	库	ku4	kʰu˨˦	cʰu˨˦	
褲	裤	ku4	kʰu˨˦	cʰu˨˦	
包	包	ba1	pa˦˥	b̥ᴀ˦˥	构词法“……~……式”，相当于非常，一般为贬义
巴	巴	ba1	pa˦˥	b̥ᴀ˦˥	
把	把	ba1	pa˦˥	b̥ᴀ˦˥	~臂，指把柄
芭	芭	ba1	pa˦˥	b̥ᴀ˦˥	
疤	疤	ba1	pa˦˥	b̥ᴀ˦˥	
粑	粑	ba1	pa˦˥	b̥ᴀ˦˥	
耙	耙	ba1	pa˦˥	b̥ᴀ˦˥	铁~
爬	爬	ba1	pa˦˥	b̥ᴀ˦˥	~起来
吧	吧	ba1	pa˦˥	b̥ᴀ˦˥	文读
㞎	㞎	ba1	pa˦˥	b̥ᴀ˦˥	㞓~
扶	扶	ba1	pa˦˥	b̥ᴀ˦˥	~着，抓牢以稳住平衡
敷	敷	ba1	pa˦˥	b̥ᴀ˦˥	~起，表示粘连
餑	饽	ba1	pa˦˥	b̥ᴀ˦˥	白读
扒	扒	ba1	pa˦˥	b̥ᴀ˦˥	
叭	叭	ba1	pa˦˥	b̥ᴀ˦˥	
八	八	ba2	pa˨˩	b̥ᴀ˨˩	
捌	捌	ba2	pa˨˩	b̥ᴀ˨˩	
拔	拔	ba2	pa˨˩	b̥ᴀ˨˩	
父	父	ba2	pa˨˩	b̥ᴀ˨˩	即“爸”
爸	爸	ba2	pa˨˩	b̥ᴀ˨˩	
把	把	ba3	pa˦˧	b̥ᴀ˦˧	
靶	靶	ba3	pa˦˧	b̥ᴀ˦˧	
㞎	㞎	ba3	pa˦˧	b̥ᴀ˦˧	粪便
把	把	ba4	pa˨˦	b̥ᴀ˨˦	拖~
吧	吧	ba4	pa˨˦	b̥ᴀ˨˦	白读
霸	霸	ba4	pa˨˦	b̥ᴀ˨˦	
欛	欛	ba4	pa˨˦	b̥ᴀ˨˦	
𢺞	𢺞	ba4	pa˨˦	b̥ᴀ˨˦	即“铺”
垻	坝	ba4	pa˨˦	b̥ᴀ˨˦	
鋪	铺	ba4	pa˨˦	b̥ᴀ˨˦	~单；把床~起
耙	耙	ba4	pa˨˦	b̥ᴀ˨˦	
罷	罢	ba4	pa˨˦	b̥ᴀ˨˦	
巴	巴	pa1	pʰa˦˥	pʰᴀ˦˥	下~；哈~狗
琶	琶	pa1	pʰa˦˥	pʰᴀ˦˥	
杷	杷	pa1	pʰa˦˥	pʰᴀ˦˥	
		pa1	pʰa˦˥	pʰᴀ˦˥	
脬	脬	pa1	pʰa˦˥	pʰᴀ˦˥	一~尿；一~屎
泡	泡	pa1	pʰa˦˥	pʰᴀ˦˥	一~尿；一~屎
爬	爬	pa2	pʰa˨˩	pʰᴀ˨˩	
鈀	钯	pa2	pʰa˨˩	pʰᴀ˨˩	
扒	扒	pa2	pʰa˨˩	pʰᴀ˨˩	~手
啪	啪	pa3	pʰa˦˧	pʰᴀ˦˧	文读
怕	怕	pa4	pʰa˨˦	pʰᴀ˨˦	
帕	帕	pa4	pʰa˨˦	pʰᴀ˨˦	
馬	马	ma1	ma˦˥	mᵇᴀ˦˥	~~虎虎
媽	妈	ma1	ma˦˥	mᵇᴀ˦˥	
母	母	ma1	ma˦˥	mᵇᴀ˦˥	即“妈”
貓	猫	ma1	ma˦˥	mᵇᴀ˦˥	~~咪，指东西找不着了；蒙~~，指捉迷藏
麻	麻	ma2	ma˨˩	mᵇᴀ˨˩	
嘛	嘛	ma2	ma˨˩	mᵇᴀ˨˩	
抹	抹	ma2	ma˨˩	mᵇᴀ˨˩	
沒	没	ma2	ma˨˩	mᵇᴀ˨˩	辱~
蟆	蟆	ma2	ma˨˩	mᵇᴀ˨˩	
螞	蚂	ma2	ma˨˩	mᵇᴀ˨˩	~蚱
嗎	吗	ma2	ma˨˩	mᵇᴀ˨˩	白读
馬	马	ma3	ma˦˧	mᵇᴀ˦˧	
碼	码	ma3	ma˦˧	mᵇᴀ˦˧	
螞	蚂	ma3	ma˦˧	mᵇᴀ˦˧	
瑪	玛	ma3	ma˦˧	mᵇᴀ˦˧	
嗎	吗	ma3	ma˦˧	mᵇᴀ˦˧	文读
嘛	嘛	ma3	ma˦˧	mᵇᴀ˦˧	达赖喇~
罵	骂	ma4	ma˨˦	mᵇᴀ˨˦	
疺	疺	fa1	fa˦˥	fᴀ˦˥	~气，指土气，不时髦
法	法	fa2	fa˨˩	fᴀ˨˩	
乏	乏	fa2	fa˨˩	fᴀ˨˩	
發	发	fa2	fa˨˩	fᴀ˨˩	
伐	伐	fa2	fa˨˩	fᴀ˨˩	
筏	筏	fa2	fa˨˩	fᴀ˨˩	
閥	阀	fa2	fa˨˩	fᴀ˨˩	
罰	罚	fa2	fa˨˩	fᴀ˨˩	
大	大	da1	ta˦˥	d̥ᴀ˦˥	斯~林
打	打	da2	ta˨˩	d̥ᴀ˨˩	量词，一打即十二个
達	达	da2	ta˨˩	d̥ᴀ˨˩	
躂	跶	da2	ta˨˩	d̥ᴀ˨˩	
噠	哒	da2	ta˨˩	d̥ᴀ˨˩	
耷	耷	da2	ta˨˩	d̥ᴀ˨˩	
答	答	da2	ta˨˩	d̥ᴀ˨˩	
搭	搭	da2	ta˨˩	d̥ᴀ˨˩	
嗒	嗒	da2	ta˨˩	d̥ᴀ˨˩	
瘩	瘩	da2	ta˨˩	d̥ᴀ˨˩	
妲	妲	da2	ta˨˩	d̥ᴀ˨˩	
打	打	da3	ta˦˧	d̥ᴀ˦˧	文读
大	大	da4	ta˨˦	d̥ᴀ˨˦	文读
他	他	ta1	tʰa˦˥	tʰᴀ˦˥	文读
她	她	ta1	tʰa˦˥	tʰᴀ˦˥	文读
它	它	ta1	tʰa˦˥	tʰᴀ˦˥	文读
塔	塔	ta2	tʰa˨˩	tʰᴀ˨˩	
榻	榻	ta2	tʰa˨˩	tʰᴀ˨˩	
塌	塌	ta2	tʰa˨˩	tʰᴀ˨˩	
獺	獭	ta2	tʰa˨˩	tʰᴀ˨˩	
沓	沓	ta2	tʰa˨˩	tʰᴀ˨˩	
踏	踏	ta2	tʰa˨˩	tʰᴀ˨˩	
耷	耷	ta3	tʰa˦˧	tʰᴀ˦˧	~起眼皮，指闭眼不管事
垃	垃	la1	la˦˥	l̃ᴀ˦˥	
拉	拉	la1	la˦˥	l̃ᴀ˦˥	
啦	啦	la1	la˦˥	l̃ᴀ˦˥	
他	他	la1	la˦˥	l̃ᴀ˦˥	白读
她	她	la1	la˦˥	l̃ᴀ˦˥	白读
它	它	la1	la˦˥	l̃ᴀ˦˥	白读
家	家	la1	la˦˥	l̃ᴀ˦˥	人~
吶	呐	la1	la˦˥	l̃ᴀ˦˥	唢~
呢	呢	la1	la˦˥	l̃ᴀ˦˥	疑问语气助词，与普通话用法一致
娜	娜	la1	la˦˥	l̃ᴀ˦˥	
哪	哪	la1	la˦˥	l̃ᴀ˦˥	外文名音译
那	那	la1	la˦˥	l̃ᴀ˦˥	外文名音译
剌	剌	la1	la˦˥	l̃ᴀ˦˥	构词法“……丕~沙”
拿	拿	la2	la˨˩	l̃ᴀ˨˩	
南	南	la2	la˨˩	l̃ᴀ˨˩	~无，佛教用语
勞	劳	la2	la˨˩	l̃ᴀ˨˩	~慰
納	纳	la2	la˨˩	l̃ᴀ˨˩	
鈉	钠	la2	la˨˩	l̃ᴀ˨˩	
吶	呐	la2	la˨˩	l̃ᴀ˨˩	
哪	哪	la2	la˨˩	l̃ᴀ˨˩	~吒
藞	藞	la2	la˨˩	l̃ᴀ˨˩	
臘	腊	la2	la˨˩	l̃ᴀ˨˩	
蠟	蜡	la2	la˨˩	l̃ᴀ˨˩	
邋	邋	la2	la˨˩	l̃ᴀ˨˩	
捺	捺	la2	la˨˩	l̃ᴀ˨˩	
辣	辣	la2	la˨˩	l̃ᴀ˨˩	
剌	剌	la2	la˨˩	l̃ᴀ˨˩	
喇	喇	la2	la˨˩	l̃ᴀ˨˩	达赖~嘛
喇	喇	la3	la˦˧	l̃ᴀ˦˧	
哪	哪	la3	la˦˧	l̃ᴀ˦˧	
拉	拉	la3	la˦˧	l̃ᴀ˦˧	长~~
啦	啦	la3	la˦˧	l̃ᴀ˦˧	相当于“了”
邋	邋	la3	la˦˧	l̃ᴀ˦˧	~糊
了	了	la3	la˦˧	l̃ᴀ˦˧	白读1
那	那	la4	la˨˦	l̃ᴀ˨˦	文读
查	查	za1	tsa˦˥	tsᴀ˦˥	姓
渣	渣	za1	tsa˦˥	tsᴀ˦˥	
喳	喳	za1	tsa˦˥	tsᴀ˦˥	
咋	咋	za1	tsa˦˥	tsᴀ˦˥	~翻翻；咋咋呼呼，指说话声音很大
咱	咱	za1	tsa˦˥	tsᴀ˦˥	“自家”的合音
啄	啄	za1	tsa˦˥	tsᴀ˦˥	鸡~食，形容人吃饭不专注，吃一会儿停一会儿
奓	奓	za1	tsa˦˥	tsᴀ˦˥	张开
䐒	䐒	za1	tsa˦˥	tsᴀ˦˥	
蔗	蔗	za1	tsa˦˥	tsᴀ˦˥	~糖，即红糖
挓	挓	za1	tsa˦˥	tsᴀ˦˥	
雜	杂	za2	tsa˨˩	tsᴀ˨˩	
眨	眨	za2	tsa˨˩	tsᴀ˨˩	挤眉~眼
睫	睫	za2	tsa˨˩	tsᴀ˨˩	眼~毛
閘	闸	za2	tsa˨˩	tsᴀ˨˩	
炸	炸	za2	tsa˨˩	tsᴀ˨˩	油~
咋	咋	za2	tsa˨˩	tsᴀ˨˩	
扎	扎	za2	tsa˨˩	tsᴀ˨˩	
札	札	za2	tsa˨˩	tsᴀ˨˩	
軋	轧	za2	tsa˨˩	tsᴀ˨˩	牛~糖
茬	茬	za2	tsa˨˩	tsᴀ˨˩	硬~，指厉害、强势
鍘	铡	za2	tsa˨˩	tsᴀ˨˩	
砸	砸	za2	tsa˨˩	tsᴀ˨˩	文读
咂	咂	za2	tsa˨˩	tsᴀ˨˩	
苴	苴	za2	tsa˨˩	tsᴀ˨˩	文读
眨	眨	za3	tsa˦˧	tsᴀ˦˧	
鮓	鲊	za3	tsa˦˧	tsᴀ˦˧	
渣	渣	za3	tsa˦˧	tsᴀ˦˧	小米~
喳	喳	za3	tsa˦˧	tsᴀ˦˧	麻~~
詐	诈	za4	tsa˨˦	tsᴀ˨˦	
榨	榨	za4	tsa˨˦	tsᴀ˨˦	
炸	炸	za4	tsa˨˦	tsᴀ˨˦	爆~
咋	咋	za4	tsa˨˦	tsᴀ˨˦	“咋个”合音
乍	乍	za4	tsa˨˦	tsᴀ˨˦	
叉	叉	ca1	tsʰa˦˥	tsʰᴀ˦˥	
差	差	ca1	tsʰa˦˥	tsʰᴀ˦˥	
蹅	蹅	ca1	tsʰa˦˥	tsʰᴀ˦˥	
插	插	ca1	tsʰa˦˥	tsʰᴀ˦˥	~嘴
茶	茶	ca2	tsʰa˨˩	tsʰᴀ˨˩	
擦	擦	ca2	tsʰa˨˩	tsʰᴀ˨˩	
察	察	ca2	tsʰa˨˩	tsʰᴀ˨˩	
查	查	ca2	tsʰa˨˩	tsʰᴀ˨˩	
插	插	ca2	tsʰa˨˩	tsʰᴀ˨˩	
茬	茬	ca2	tsʰa˨˩	tsʰᴀ˨˩	
岔	岔	ca4	tsʰa˨˦	tsʰᴀ˨˦	
插	插	ca4	tsʰa˨˦	tsʰᴀ˨˦	~队
沙	沙	sa1	sa˦˥	sᴀ˦˥	
