"繁體"	"简体"	"音標"	"註釋"	"聲"	"韻"	"調"
"鞳"	"鞳"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"嗒"	"嗒"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"遢"	"遢"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"榻"	"榻"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"塔"	"塔"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"塌"	"塌"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"蹋"	"蹋"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"躢"	"躢"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"闒"	"闒"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"䍇"	"䍇"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"䳴"	"䳴"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"䈳"	"䈳"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"搭"	"搭"	"tæ̠ʔ˧"	""	"t"	"æ̠ʔ"	"˧"
"萐"	"萐"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"箑"	"箑"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"歃"	"歃"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"𠎷"	"𠎷"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"𢶍"	"𢶍"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"𨆂"	"𨆂"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"㪪"	"㪪"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"䪞"	"䪞"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"臘"	"腊"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"蠟"	"蜡"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"鑞"	"鑞"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"卅"	"卅"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"䫦"	"䫦"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
"䗘"	"䗘"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
"砝"	"砝"	"fæ̠ʔ˧"	""	"f"	"æ̠ʔ"	"˧"
"㕎"	"㕎"	"kʰæ̠ʔ˧"	""	"kʰ"	"æ̠ʔ"	"˧"
"榼"	"榼"	"kʰæ̠ʔ˧"	""	"kʰ"	"æ̠ʔ"	"˧"
"磕"	"磕"	"kʰæ̠ʔ˧"	""	"kʰ"	"æ̠ʔ"	"˧"
"闔"	"闔"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"篕"	"篕"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"熆"	"熆"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"㽺"	"㽺"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"盍"	"盍"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"猲"	"猲"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"𤸱"	"𤸱"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"盦"	"盦"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"廅"	"廅"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"𤸱"	"𤸱"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"䵽"	"䵽"	"t͡sʰæ̠ʔ˧"	""	"t͡sʰ"	"æ̠ʔ"	"˧"
"囃"	"囃"	"t͡sʰæ̠ʔ˧"	""	"t͡sʰ"	"æ̠ʔ"	"˧"
"眨"	"眨"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"煠"	"煠"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"㞚"	"㞚"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"偛"	"偛"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"䙄"	"䙄"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"𥀈"	"𥀈"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"䛽"	"䛽"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"牐"	"牐"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"䮢"	"䮢"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"劄"	"剳"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"霅"	"霅"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"臿"	"臿"	"t͡sʰæ̠ʔ˧"	""	"t͡sʰ"	"æ̠ʔ"	"˧"
"疀"	"疀"	"t͡sʰæ̠ʔ˧"	""	"t͡sʰ"	"æ̠ʔ"	"˧"
"鍤"	"鍤"	"t͡sʰæ̠ʔ˧"	""	"t͡sʰ"	"æ̠ʔ"	"˧"
