tsɿ⁵²	之知栀蜘兹咨姿资滋芝枝支肢
tã³¹	旦但蛋诞弹{子~}
tʰã⁵²	贪摊滩瘫
tʰã⁴⁴	坦毯
tʰã³⁵	炭探叹
lã²²	兰拦栏蓝篮男南难{~易}
lã⁴⁴	览揽缆榄懒
lã³⁵	难{灾~}
lã³¹	烂滥
tsã⁵²	簪毡粘
tsã²²	残蚕惭馋谗
tsã⁴⁴	攒斩展盏崭
tsã³⁵	颤赞沾佔战蘸栈站
tsã³¹	錾
tsʰã⁵²	餐掺参
tsʰã⁴⁴	惨产铲穇
tsʰã³⁵	灿
sã⁵²	衫三山珊叁
sã²²	蝉禅
sã⁴⁴	伞闪陕
sã³⁵	羶膳赡煽散扇
sã³¹	卅善鳝
kã⁵²	甘泔柑
kã²²	竿
kã⁴⁴	碱赶敢感橄减秆桿
kã³⁵	舰鉴幹
kʰã⁵⁴	刊堪
kʰã⁴²	坎砍
kʰã³¹	勘
ŋã⁵²	安庵鹤鞍
ŋã²²	癌崖涯岩
ŋã⁴⁴	眼
ŋã³⁵	岸按案暗雁晏
xã⁵²	憨酣
xã²²	含函寒韩邯咸鹹
xã⁴⁴	罕喊
xã³¹	苋汉汗焊憾翰限陷馅旱
tuã⁵²	端
tuã²²	团
tuã⁴⁴	短断
tuã³¹	段缎锻
luã²²	鸾
luã⁴⁴	卵暖软
luã³¹	乱
tsuã⁵²	专砖纂钻
tsuã²²	传{~送}
tsuã⁴⁴	转{~变}
tsuã³⁵	钻
tsuã³¹	撰篆赚转{~动}传{~记}
tsʰuã⁵²	川穿
tsʰuã⁴⁴	喘
tsʰuã³⁵	串窜篡
suã⁵²	删闩酸拴栓
suã²²	船椽蟾
suã³⁵	疝蒜算涮
kuã⁵²	肝关官棺干观
kuã⁴⁴	馆管
kuã³⁵	贯惯灌罐幹冠
kʰuã⁵²	宽
kʰuã²²	槛
kʰuã⁴⁴	款
kʰuã³⁵	看
uã⁵²	弯劑湾豌
uã⁴⁴	宛挽晚婉碗腕
uã³⁵	完顽玩
uã³¹	万
pin⁵²	宾槟冰彬
pin³¹	殡鬓
pʰin⁴⁴	品
pʰin³⁵	拼聘
min²²	民抿闽鸣明冥螟
min⁴⁴	悯敏
tʰin⁵²	厅汀廷庭蜓
tʰin⁴⁴	挺艇
lin²²	人鳞邻林临淋燐拎伶灵凌铃陵翎菱龄吟磷零拧宁
lin³⁵	绫硬另凝韧
tɕin⁵²	针巾今斤金津筋京茎荆惊晶鲸擎精
tɕin²²	秦擒襟
tɕin⁴⁴	仅紧谨锦近景警枕
tɕin³⁵	镜尽进晋儘竞敬靖境静沁竟缙劲禁
tɕin³¹	经径
tɕʰin⁵²	钦卿皴亲
tɕʰin²²	岑晴芹琴禽勤情寻
tɕʰin³⁵	浸侵庆
ɕin⁵²	心辛欣新薪星猩腥深馨芯兴{兴~}
ɕin²²	刑形型行{~为}
ɕin³⁵	信焮杏姓幸性讯迅兴{高~}
in⁵²	姻因阴音英莺婴缨樱鹦鹰蝇嘤
in²²	仁扔仍寅银迎盈营
in⁴⁴	忍殷引蚓隐颖影映饮
in³⁵	壬刃认韧印纫任应
in³¹	荫
tɕyn⁵²	军君均钧
tɕyn²²	琼裙群
tɕyn⁴⁴	准
tɕyn³⁵	俊峻骏
tɕyn³¹	醇菌郡
tɕʰyn⁵²	春椿鹑
tɕʰyn⁴⁴	蠢顷倾
ɕyn⁵²	勋熏薰醺
ɕyn²²	巡询循
ɕyn²²	纯
ɕyn³¹	顺舜训殉瞬驯
yn²²	云匀
yn⁴⁴	耘允
yn³¹	闰润孕运酝韵
yn³¹	熨
yn⁵	尹
paŋ⁵²	邦帮
paŋ²²	蚌滂庞旁螃膀
paŋ⁴⁴	绑榜
paŋ³⁵	棒谤傍
pʰaŋ³⁵	胮胖
maŋ²²	忙盲茫氓虻芒
maŋ⁴⁴	莽蟒
maŋ³¹	妄忘望
faŋ⁵²	方芳荒慌
faŋ²²	坊防妨房肪凰蟥访惶
faŋ⁴⁴	纺恍谎幌仿倣晃
faŋ³⁵	放
taŋ⁵²	 当{~然}
taŋ²²	裆唐堂棠塘糖螳膛
taŋ⁴⁴	挡党
taŋ³⁵	荡档铛当{上~}
tʰaŋ⁵²	汤
tʰaŋ⁴⁴	躺
tʰaŋ³⁵	烫趟
laŋ²²	榔郎狼廊螂囊
laŋ⁴⁴	朗
laŋ³¹	浪
tsaŋ⁵²	赃张章樟彰脏
