来源	《安徽巢湖方言音韵研究》，“胖丁”整理修改
k	[7]葛鸽格革隔
kʰ	[7]磕客
x	[7]合赫吓核
ŋ	[7]额扼轭
#ieʔ	
p	[7]别鳖憋
pʰ	[7]撇
m	[7]灭蔑
t	[7]跌叠碟
tʰ	[7]贴帖蝶铁
n	[7]聂镊蹑猎列烈裂捏孽劣逆
tɕ	[7]接捷劫节截揭结洁
tɕʰ	[7]妾怯切
ɕ	[7]胁泄歇
∅	[7]业噎叶页
#ueʔ	
ʐ	[7]热
#yeʔ	
tɕ	[7]绝决诀厥掘
tɕʰ	[7]缺
ɕ	[7]雪血穴屑薛削
∅	[7]月悦阅越粤曰
#əʔ	
p	[7]不北-
pʰ	[7]卜扑朴
m	[7]木目牧墨默没
f	[7]佛福副幅蝠腹覆伏复拂
t	[7]独读犊笃督毒德得
tʰ	[7]突秃特
l	[7]禄六陆绿录肋勒鹿
ʦ	[7]则贼卒足□{塞，瓶～子，～进去}
ʦʰ	[7]猝族促触
s	[7]速宿肃粟俗续塞涩虱缩啬
tʂ	[7]执汁蛰质置只直值织职植侄掷侧{侧着放}
tʂʰ	[7]秩赤斥尺
ʂ	[7]十湿拾失室适释石食蚀识饰
kʰ	[7]刻克
x	[7]黑
#iəʔ	
p	[7]笔必碧璧壁逼
