字	罗马字	拟音	注
入	yip[8]	yip[8]	2收~
耽	tam[1]	tam[1]	
担	tam[1]	tam[1]	动词
□	tam[1]	tam[1]	□pin3～虮：一种蚂蟥，较大
谈	tam[2]	tam[2]	
痰	tam[2]	tam[2]	
丈	tam[2]	tam[2]	2～夫农：男人
□	tam[2]	tam[2]	湿
胆	tam[3]	tam[3]	
担	tam[5]	tam[5]	名词
淡	tam[6]	tam[6]	
贪	t'am[1]	tʰam[1]	
潭	t'am[2]	tʰam[2]	
探	t'am[5]	tʰam[5]	
南	nam[2]	nam[2]	
男	nam[2]	nam[2]	
岚	lam[2]	lam[2]	
蓝	lam[2]	lam[2]	
篮	lam[2]	lam[2]	
褴	lam[2]	lam[2]	~褛
林	lam[2]	lam[2]	1树~
览	lam[3]	lam[3]	
揽	lam[3]	lam[3]	
缆	lam[3]	lam[3]	
簪	cham[1]	tʃam[1]	
脏	cham[1]	tʃam[1]	肮~
斩	cham[3]	tʃam[3]	
錾	cham[6]	tʃam[6]	
暂	cham[6]	tʃam[6]	
掺	ch'am[1]	tʃʰam[1]	
惨	ch'am[3]	tʃʰam[3]	
三	sam[1]	sam[1]	
衫	sam[1]	sam[1]	
杉	sam[2]	sam[2]	~柴：杉树。阳平
甘	kam[1]	kam[1]	～心
柑	kam[1]	kam[1]	
监	kam[1]	kam[1]	～察
衔	kam[2]	kam[2]	1动词
㔶	kam[3]	kam[3]	盖子;盖上
感	kam[3]	kam[3]	
敢	kam[3]	kam[3]	
监	kam[5]	kam[5]	太~
堪	k'am[1]	kʰam[1]	
龛	k'am[1]	kʰam[1]	
磡	k'am[5]	kʰam[5]	坎子
嵌	k'am[5]	kʰam[5]	
含	ham[2]	ham[2]	包~
衔	ham[2]	ham[2]	2荣~
颔	ham[3]	ham[3]	下~骨
喊	ham[3]	ham[3]	
肮	∅am[1]	ʔam[1]	~脏
饮	∅am[3]	ʔam[3]	1米汤
暗	∅am[5]	ʔam[5]	
晏	∅am[5]	ʔam[5]	晚
□	yam[5]	jam[5]	鱼～：鳍。音节结构特殊
答	tap[7]	tap[7]	
搭	tap[7]	tap[7]	
踏	tap[8]	tap[8]	
塔	t'ap[7]	tʰap[7]	
蹋	t'ap[7]	tʰap[7]	糟~
纳	nap[8]	nap[8]	
钠	nap[8]	nap[8]	
蜡	lap[8]	lap[8]	
猎	lap[8]	lap[8]	
粒	lap[8]	lap[8]	
喇	lap[8]	lap[8]	～叭
杂	chap[8]	tʃap[8]	
闸	chap[8]	tʃap[8]	
铡	chap[8]	tʃap[8]	~药
插	ch'ap[7]	tʃʰap[7]	
□	ch'ap[7]	tʃʰap[7]	理睬，管
煠	sap[8]	sap[8]	水煮
鸽	kap[7]	kap[7]	1白~
蛤	kap[7]	kap[7]	~囝：双壳贝类
合	kap[7]	kap[7]	~𣍐来：合不来
裌	kap[7]	kap[7]	
甲	kap[7]	kap[7]	指~
□	kap[7]	kap[7]	青~：青蛙
□	hap[7]	hap[7]	嗓子哑
合	hap[8]	hap[8]	～意
鸽	∅ap[7]	ʔap[7]	2白~
鸭	∅ap[7]	ʔap[7]	
押	∅ap[7]	ʔap[7]	
压	∅ap[7]	ʔap[7]	
盒	∅ap[8]	ʔap[8]	
匣	∅ap[8]	ʔap[8]	
𩟗	chiam[3]	tʃiam[3]	淡
蟾	siam[2]	siam[2]	1~蜍
□	siam[2]	siam[2]	引诱
巖	ngiam[2]	ŋiam[2]	
严	ngiam[2]	ŋiam[2]	
验	ngiam[6]	ŋiam[6]	
焰	yiam[6]	yiam[6]	
□	tiap[7]	tiap[7]	鞋~：拖鞋
镊	niap[7]	niap[7]	
湿	siap[7]	siap[7]	1
□	siap[7]	siap[7]	闪
翼	siap[8]	siap[8]	1翅膀
夹	kiap[7]	kiap[7]	1
挟	kiap[7]	kiap[7]	吉协切腋下夹
夹	kiap[8]	kiap[8]	2～棍
屐	kiap[8]	kiap[8]	1
吓	hiap[7]	hiap[7]	
页	yiap[8]	yiap[8]	
店	tem[5]	tɛm[5]	
簟	tem[6]	tɛm[6]	
垫	tem[6]	tɛm[6]	
沉	t'em[2]	tʰɛm[2]	1
念	nem[6]	nɛm[6]	1~经
针	chem[1]	tʃɛm[1]	
蚕	ch'em[2]	tʃʰɛm[2]	
森	sem[1]	sɛm[1]	
渗	sem[5]	sɛm[5]	
咸	kem[2]	kɛm[2]	
□	k'em[5]	kʰɛm[5]	盖上
贴	t'ep[7]	tʰɛp[7]	
帖	t'ep[7]	tʰɛp[7]	量词，用于药
叠	t'ep[8]	tʰɛp[8]	
□	nep[7]	nɛp[7]	凹
凹	nep[7]	nɛp[7]	校补，便于匹配：凹
捏	nep[7]	nɛp[7]	1
汁	chep[7]	tʃɛp[7]	
□	sep[7]	sɛp[7]	菜肴
十	sep[8]	sɛp[8]	
□	sep[8]	sɛp[8]	~□kʰɛp7~：小气
□	k'ep[7]	kʰɛp[7]	~□sɛp8：小气
狭	∅ep[8]	ʔɛp[8]	1窄
沉	teim[2]	tem[2]	2
尘	teim[2]	tem[2]	洗~
点	teim[3]	tem[3]	
淋	leim[2]	lem[2]	
临	leim[2]	lem[2]	
斟	cheim[1]	tʃem[1]	~酌
浸	cheim[5]	tʃem[5]	
侵	ch'eim[1]	tʃʰem[1]	
深	ch'eim[1]	tʃʰem[1]	
心	seim[1]	sem[1]	
寻	seim[2]	sem[2]	动词；～常
鲟	seim[2]	sem[2]	
闪	seim[3]	sem[3]	
慎	seim[6]	sem[6]	谨~
今	keim[1]	kem[1]	1～年
金	keim[1]	kem[1]	
□	keim[2]	kem[2]	盖上
减	keim[3]	kem[3]	
碱	keim[3]	kem[3]	
检	keim[3]	kem[3]	
禁	keim[5]	kem[5]	～止
妗	keim[6]	kem[6]	
钦	k'eim[1]	kʰem[1]	
琴	k'eim[2]	kʰem[2]	
熊	heim[2]	hem[2]	
音	heim[1]	hem[1]	
阴	heim[1]	hem[1]	
荫	heim[5]	hem[5]	
淫	yeim[2]	jem[2]	
任	yeim[6]	jem[6]	
匿	neip[8]	nep[8]	
立	leip[8]	lep[8]	
笠	leip[8]	lep[8]	～斗：斗笠
职	cheip[7]	tʃep[7]	1
集	cheip[8]	tʃep[8]	
习	cheip[8]	tʃep[8]	
湿	seip[7]	sep[7]	2
屑	seip[7]	sep[7]	1发~：头垢
饰	seip[7]	sep[7]	
席	seip[8]	sep[8]	主~
急	keip[7]	kep[7]	
及	keip[8]	kep[8]	
屐	keip[8]	kep[8]	2
级	ngeip[7]	ŋep[7]	等~
吸	ngeip[7]	ŋep[7]	~气
给	ngeip[7]	ŋep[7]	3支~
熻	heip[7]	hep[7]	焖，如，一鱼
入	yeip[8]	jep[8]	1
鞭	pin[1]	pin[1]	
边	pin[1]	pin[1]	
扁	pin[3]	pin[3]	
反	pin[3]	pin[3]	1翻动
□	pin[3]	pin[3]	~□tam1虮：一种蚂蟥，较大
变	pin[5]	pin[5]	
辩	pin[6]	pin[6]	
便	pin[6]	pin[6]	随~，大~
辫	pin[6]	pin[6]	
编	p'in[1]	pʰin[1]	
篇	p'in[1]	pʰin[1]	
偏	p'in[1]	pʰin[1]	～僻
骗	p'in[5]	pʰin[5]	
遍	p'in[5]	pʰin[5]	~在
片	p'in[5]	pʰin[5]	
棉	min[2]	min[2]	
免	min[3]	min[3]	
勉	min[3]	min[3]	
鳘	min[3]	min[3]	
面	min[6]	min[6]	
颠	tin[1]	tin[1]	
癫	tin[1]	tin[1]	
缠	tin[2]	tin[2]	
田	tin[2]	tin[2]	
辗	tin[3]	tin[3]	~转
电	tin[6]	tin[6]	
□	tin[6]	tin[6]	～动：动
天	t'in[1]	tʰin[1]	
□	t'in[5]	tʰin[5]	缝，动词
䋎	t'in[5]	tʰin[5]	校补，便于匹配：缝，动词
儿	nin[2]	nin[2]	1～婿：女婿
年	nin[2]	nin[2]	
□	nin[6]	nin[6]	绞，拧
联	lin[2]	lin[2]	
连	lin[2]	lin[2]	
练	lin[6]	lin[6]	
炼	lin[6]	lin[6]	
毡	chin[1]	tʃin[1]	
蒸	chin[1]	tʃin[1]	
钱	chin[2]	tʃin[2]	
前	chin[2]	tʃin[2]	2
指	chin[3]	tʃin[3]	1～甲
饯	chin[3]	tʃin[3]	～行
疹	chin[3]	tʃin[3]	
振	chin[3]	tʃin[3]	
拯	chin[3]	tʃin[3]	
整	chin[3]	tʃin[3]	
箭	chin[5]	tʃin[5]	
战	chin[5]	tʃin[5]	
颤	chin[5]	tʃin[5]	
震	chin[5]	tʃin[5]	2地～
贱	chin[6]	tʃin[6]	
迁	ch'in[1]	tʃʰin[1]	
韆	ch'in[1]	tʃʰin[1]	鞦～
鲜	ch'in[1]	tʃʰin[1]	新~
浅	ch'in[3]	tʃʰin[3]	
仙	sin[1]	sin[1]	
先	sin[1]	sin[1]	2~知
煽	sin[5]	sin[5]	
扇	sin[5]	sin[5]	名词
善	sin[6]	sin[6]	
间	kin[1]	kin[1]	1～底：房间，粗～：厕所
肩	kin[1]	kin[1]	
坚	kin[1]	kin[1]	
捐	kin[1]	kin[1]	
舷	kin[2]	kin[2]	边缘
紧	kin[3]	kin[3]	
建	kin[5]	kin[5]	～筑
见	kin[5]	kin[5]	
绢	kin[5]	kin[5]	
健	kin[6]	kin[6]	
牵	k'in[1]	kʰin[1]	2
研	ngin[3]	ŋin[3]	~究
砚	ngin[5]	ŋin[5]	1
喧	hin[1]	hin[1]	
熏	hin[1]	hin[1]	
贤	hin[2]	hin[2]	
弦	hin[2]	hin[2]	
悬	hin[2]	hin[2]	3～空
玄	hin[2]	hin[2]	
眩	hin[2]	hin[2]	晕
显	hin[3]	hin[3]	
宪	hin[5]	hin[5]	
现	hin[6]	hin[6]	
引	∅in[3]	ʔin[3]	
烟	yin[1]	yin[1]	乌前切
圆	yin[2]	yin[2]	1地球～
铅	yin[2]	yin[2]	2~字
忍	yin[3]	yin[3]	
允	yin[3]	yin[3]	~许
燕	yin[5]	yin[5]	鸟名
演	yin[6]	yin[6]	
院	yin[6]	yin[6]	
鳖	pit[7]	pit[7]	
别	pit[8]	pit[8]	特~
撇	p'it[7]	pʰit[7]	
灭	mit[8]	mit[8]	
篾	mit[8]	mit[8]	
哲	tit[7]	tit[7]	
迭	tit[7]	tit[7]	1迷～香
牒	tit[8]	tit[8]	通~
辙	tit[8]	tit[8]	
迭	tit[8]	tit[8]	2迷～香
撤	t'it[7]	tʰit[7]	
铁	t'it[7]	tʰit[7]	
栗	lit[7]	lit[7]	～子
列	lit[8]	lit[8]	
烈	lit[8]	lit[8]	
历	lit[8]	lit[8]	
历	lit[8]	lit[8]	
砾	lit[8]	lit[8]	
栎	lit[8]	lit[8]	
节	chit[7]	tʃit[7]	2守～
疖	chit[7]	tʃit[7]	
即	chit[7]	tʃit[7]	
切	ch'it[7]	tʃʰit[7]	恳～
泄	sit[7]	sit[7]	
亵	sit[7]	sit[7]	
设	sit[7]	sit[7]	
涉	sit[8]	sit[8]	干~
舌	sit[8]	sit[8]	
折	sit[8]	sit[8]	~本：亏本
髻	kit[7]	kit[7]	
结	kit[7]	kit[7]	2～党，解～
洁	kit[7]	kit[7]	
决	kit[7]	kit[7]	
给	kit[7]	kit[7]	2
怯	k'it[7]	kʰit[7]	
□	∅it[7]	ʔit[7]	～起身：起身
谒	yit[7]	yin[7]	
热	yit[8]	yin[8]	
阅	yit[8]	yin[8]	
分	pun[1]	pun[1]	1～家
□	pun[2]	pun[2]	丸
本	pun[2]	pun[2]	
□	pun[2]	pun[2]	头～lœŋ6太阳穴
饭	pun[6]	pun[6]	稀~
门	mun[2]	mun[2]	
蚊	mun[2]	mun[2]	1～虫：蚊子
问	mun[5]	mun[5]	1
传	tun[2]	tun[2]	~染
转	tun[3]	tun[3]	反~
传	tun[6]	tun[6]	名词
椽	t'un[2]	tʰun[2]	
暖	nun[3]	nun[3]	2
软	nun[3]	nun[3]	
恋	lun[6]	lun[6]	
专	chun[1]	tʃun[1]	
砖	chun[1]	tʃun[1]	
全	chun[2]	tʃun[2]	
泉	chun[2]	tʃun[2]	2温~
准	chun[3]	tʃun[3]	批~
准	chun[3]	tʃun[3]	
穿	ch'un[1]	tʃʰun[1]	
伸	ch'un[1]	tʃʰun[1]	1骹手~外来：伸懒腰
蠢	ch'un[3]	tʃʰun[3]	
□	ch'un[3]	tʃʰun[3]	打盹儿
串	ch'un[5]	tʃʰun[5]	
笋	sun[3]	sun[3]	
吮	sun[6]	sun[6]	
关	kun[1]	kun[1]	1~监牢
拳	kun[2]	kun[2]	
权	kun[2]	kun[2]	
管	kun[3]	kun[3]	1管状物
卷	kun[3]	kun[3]	
滚	kun[3]	kun[3]	沸腾
□	kun[3]	kun[3]	～后：后边
眷	kun[5]	kun[5]	
卷	kun[5]	kun[5]	证～
劝	k'un[5]	kʰun[5]	
券	k'un[5]	kʰun[5]	
困	k'un[5]	kʰun[5]	
元	ngun[2]	ŋun[2]	
原	ngun[2]	ŋun[2]	
源	ngun[2]	ŋun[2]	
愿	ngun[6]	ŋun[6]	
婚	hun[1]	hun[1]	
昏	hun[1]	hun[1]	
园	hun[2]	hun[2]	
粉	hun[3]	hun[3]	
忿	hun[3]	hun[3]	
远	hun[6]	hun[6]	1
稳	∅un[3]	ʔun[3]	
冤	bun[1]	wun[1]	
完	bun[2]	wun[2]	
丸	bun[2]	wun[2]	
圆	bun[2]	wun[2]	2～形
员	bun[2]	wun[2]	
猿	bun[2]	wun[2]	
□	bun[2]	wun[2]	手～：袖子
䘼	bun[2]	wun[2]	校补：手～：袖子
远	bun[3]	wun[3]	2永～
刎	bun[3]	wun[3]	
□	bun[3]	wun[3]	脰～：脖子
怨	bun[5]	wun[5]	
援	bun[6]	wun[6]	
发	put[7]	put[7]	1~屑：头垢
发	put[7]	put[7]	1~癫：发神经病
□	put[7]	put[7]	□tiɔŋ2:知道
□	p'ut[8]	pʰut[8]	泡沫
突	tut[8]	tut[8]	
劣	lut[8]	lut[8]	
缀	chut[7]	tʃut[7]	
绝	chut[8]	tʃut[8]	
啜	ch'ut[7]	tʃʰut[7]	
雪	sut[7]	sut[7]	
鳕	sut[7]	sut[7]	
说	sut[7]	sut[7]	
掘	kut[8]	kut[8]	挖
□	kut[8]	kut[8]	段，截，块
阙	k'ut[7]	kʰut[7]	
月	ngut[8]	ŋut[8]	
狱	ngut[8]	ŋut[8]	2
发	hut[7]	hut[7]	2头～
忽	hut[7]	hut[7]	
佛	hut[7]	hut[7]	仿~
拂	hut[7]	hut[7]	
越	hut[8]	hut[8]	超~
件	küin[6]	kyin[6]	
言	ngüin[2]	ŋyin[2]	
砚	ngüin[5]	ŋyin[5]	2
献	hüin[5]	hyin[5]	
隐	∅üin[3]	ʔyin[3]	
然	yüin[2]	jyin[2]	
缘	yüin[2]	jyin[2]	
铅	yüin[2]	jyin[2]	1白
羯	küit[7]	kyin[7]	阉
歇	hüit[7]	hyin[7]	休息
班	pan[1]	pan[1]	
扳	pan[3]	pan[3]	~手
板	pan[3]	pan[3]	2老~
漫	man[2]	man[2]	浪~
蛮	man[2]	man[2]	
幔	man[6]	man[6]	
慢	man[6]	man[6]	2傲~
单	tan[1]	tan[1]	1简～
弹	tan[2]	tan[2]	～琴
檀	tan[2]	tan[2]	
诞	tan[5]	tan[5]	
但	tan[6]	tan[6]	
弹	tan[6]	tan[6]	~药
靼	tan[6]	tan[6]	
单	t'an[1]	tʰan[1]	2
摊	t'an[1]	tʰan[1]	
滩	t'an[1]	tʰan[1]	
坛	t'an[2]	tʰan[2]	
□	t'an[2]	tʰan[2]	1石~：石头
毯	t'an[3]	tʰan[3]	
炭	t'an[5]	tʰan[5]	
叹	t'an[5]	tʰan[5]	
难	nan[2]	nan[2]	形容词
旦	nan[5]	nan[5]	明~：明天
难	nan[6]	nan[6]	避~
兰	lan[2]	lan[2]	荷~
拦	lan[2]	lan[2]	
栏	lan[2]	lan[2]	
□	lan[2]	lan[2]	1石~：石头
□	lan[3]	lan[3]	唾液
澜	lan[3]	lan[3]	校补：唾液
烂	lan[6]	lan[6]	
馋	chan[2]	tʃan[2]	
残	chan[2]	tʃan[2]	
盏	chan[3]	tʃan[3]	
赞	chan[5]	tʃan[5]	
栈	chan[6]	tʃan[6]	
铲	ch'an[3]	tʃʰan[3]	
山	san[1]	san[1]	
伞	san[3]	san[3]	
产	san[3]	san[3]	
散	san[5]	san[5]	~步
干	kan[1]	kan[1]	~戈，~涉
肝	kan[1]	kan[1]	
竿	kan[1]	kan[1]	
干	kan[1]	kan[1]	笋~
杆	kan[1]	kan[1]	
艰	kan[1]	kan[1]	
间	kan[1]	kan[1]	2时~
奸	kan[1]	kan[1]	
菅	kan[1]	kan[1]	
寒	kan[2]	kan[2]	1
秆	kan[3]	kan[3]	
赶	kan[3]	kan[3]	
简	kan[3]	kan[3]	
涧	kan[3]	kan[3]	
干	kan[5]	kan[5]	
间	kan[5]	kan[5]	～断
汗	kan[6]	kan[6]	
刊	k'an[1]	kʰan[1]	
看	k'an[5]	kʰan[5]	～书
颜	ngan[2]	ŋan[2]	~色
眼	ngan[3]	ŋan[3]	
鼾	han[1]	han[1]	
函	han[2]	han[2]	公~
寒	han[2]	han[2]	2~带
汉	han[5]	han[5]	
安	∅an[1]	ʔan[1]	
鞍	∅an[1]	ʔan[1]	
□	∅an[1]	ʔan[1]	放
案	∅an[5]	ʔan[5]	
按	∅an[5]	ʔan[5]	
晏	∅an[5]	ʔan[5]	
旱	∅an[6]	ʔan[6]	
焊	∅an[6]	ʔan[6]	
拔	pat[8]	pat[8]	2选~
达	tat[8]	tat[8]	
鞑	tat[8]	tat[8]	
榻	t'at[7]	tʰat[7]	
挞	t'at[7]	tʰat[7]	鞭～
□	lat[7]	lat[7]	～头：秃头
瘌	lat[7]	lat[7]	校补：～头：秃头
拉	lat[8]	lat[8]	
辣	lat[8]	lat[8]	
扎	chat[7]	tʃat[7]	
擦	ch'at[7]	tʃʰat[7]	
察	ch'at[7]	tʃʰat[7]	1
撒	sat[7]	sat[7]	
杀	sat[7]	sat[7]	
煞	sat[7]	sat[7]	~尾
□	sat[8]	sat[8]	蟑螂
割	kat[7]	kat[7]	
葛	kat[7]	kat[7]	
渴	k'at[7]	kʰat[7]	
□	k'at[7]	kʰat[7]	太
□	k'at[7]	kʰat[7]	拾，捡
喝	hat[7]	hat[7]	～采
褐	hat[7]	hat[7]	
辖	hat[8]	hat[8]	管~
懒	tian[6]	tian[6]	1懒惰
焦	nian[2]	nian[2]	
煎	chian[1]	tʃian[1]	~药
溅	chian[5]	tʃian[5]	
□	ch'ian[1]	tʃʰian[1]	刺，棘
鳝	ch'ian[6]	tʃʰian[6]	
泉	sian[2]	sian[2]	1
线	sian[5]	sian[5]	
腺	sian[5]	sian[5]	
囝	kian[3]	kian[3]	～儿：儿子
岸	ngian[6]	ŋian[6]	
□	hian[3]	hian[3]	掀
□	chiat[7]	tʃiat[7]	溅
𢶆	kiat[8]	kiat[8]	用肩扛
揭	kiat[8]	kiat[8]	校补：用肩扛
搬	puan[1]	puan[1]	
盘	puan[2]	puan[2]	
盆	puan[2]	puan[2]	
阪	puan[3]	puan[3]	
半	puan[5]	puan[5]	
拌	puan[6]	puan[6]	~□teuʰ：打稻子
翻	p'uan[1]	pʰuan[1]	1~倒
蟠	p'uan[2]	pʰuan[2]	
判	p'uan[5]	pʰuan[5]	
叛	p'uan[5]	pʰuan[5]	
伴	p'uan[6]	pʰuan[6]	
瞒	muan[2]	muan[2]	
鳗	muan[2]	muan[2]	
满	muan[3]	muan[3]	
端	tuan[1]	tuan[1]	~正，发
断	tuan[5]	tuan[5]	决～
断	tuan[6]	tuan[6]	2～绝
团	t'uan[2]	tʰuan[2]	
乱	luan[6]	luan[6]	2扰～
撰	chuan[6]	tʃuan[6]	
餐	ch'uan[1]	tʃʰuan[1]	
钻	ch'uan[3]	tʃʰuan[3]	~孔
篡	ch'uan[5]	tʃʰuan[5]	
官	kuan[1]	kuan[1]	
棺	kuan[1]	kuan[1]	
观	kuan[1]	kuan[1]	静~
关	kuan[1]	kuan[1]	2～系
鳏	kuan[1]	kuan[1]	
馆	kuan[3]	kuan[3]	
管	kuan[3]	kuan[3]	2~各农闲事：管别人的闲事
灌	kuan[5]	kuan[5]	～肠
罐	kuan[5]	kuan[5]	
馆	kuan[5]	kuan[5]	道士的住所
贯	kuan[5]	kuan[5]	
惯	kuan[5]	kuan[5]	2习~
□	kuan[6]	kuan[6]	提起
宽	k'uan[1]	kʰuan[1]	
环	k'uan[2]	kʰuan[2]	
顽	nguan[2]	ŋuan[2]	
欢	huan[1]	huan[1]	
翻	huan[1]	huan[1]	2
番	huan[1]	huan[1]	
蕃	huan[1]	huan[1]	～柿：西红柿
还	huan[2]	huan[2]	2～俗
凡	huan[2]	huan[2]	
矾	huan[2]	huan[2]	
繁	huan[2]	huan[2]	
烦	huan[2]	huan[2]	
反	huan[3]	huan[3]	2~乱
返	huan[3]	huan[3]	
泛	huan[5]	huan[5]	
缓	huan[5]	huan[5]	
贩	huan[5]	huan[5]	
犯	huan[6]	huan[6]	
幻	huan[6]	huan[6]	
患	huan[6]	huan[6]	
范	huan[6]	huan[6]	
弯	buan[1]	wuan[1]	
湾	buan[1]	wuan[1]	
碗	buan[3]	wuan[3]	
晚	buan[3]	wuan[3]	
换	buan[6]	wuan[6]	
万	buan[6]	wuan[6]	
拨	puat[7]	puat[7]	
钵	puat[7]	puat[7]	
跋	puat[8]	puat[8]	摔倒
泼	p'uat[7]	pʰuat[7]	
抹	muat[7]	muat[7]	
末	muat[8]	muat[8]	
脱	t'uat[7]	tʰuat[7]	2解～
刮	kuat[7]	kuat[7]	~风
阔	k'uat[7]	kʰuat[7]	宽
发	huat[7]	huat[7]	2蒸~
乏	huat[8]	huat[8]	
活	huat[8]	huat[8]	
罚	huat[8]	huat[8]	
挖	buat[7]	wuat[7]	
袜	buat[8]	wuat[8]	
斑	pen[1]	pɛn[1]	
爿	pen[2]	pɛn[2]	
瓣	pen[6]	pɛn[6]	
办	pen[6]	pɛn[6]	
慢	p'en[6]	pʰɛn[6]	1
填	ten[2]	tɛn[2]	雷~:打雷
□	ten[2]	tɛn[2]	猜
□	ten[2]	tɛn[2]	~□tɔi5：地方
殿	ten[6]	tɛn[6]	
□	ten[6]	tɛn[6]	坚实，紧
□	nen[1]	nɛn[1]	趼子
□	nen[2]	nɛn[2]	树～：橡胶
□	nen[5]	nɛn[5]	乳汁
鲢	len[2]	lɛn[2]	
莲	len[2]	lɛn[2]	
□	len[6]	lɛn[6]	赶
荐	chen[5]	tʃɛn[5]	
千	ch'en[1]	tʃʰɛn[1]	
□	ch'en[1]	tʃʰɛn[1]	动物的吼声
□	ch'en[2]	tʃʰɛn[2]	田
塍	ch'en[2]	tʃʰɛn[2]	校补：田
先	sen[1]	sɛn[1]	1
前	sen[2]	sɛn[2]	1
悬	ken[2]	kɛn[2]	1高
惯	ken[5]	kɛn[5]	1做～：习惯
县	ken[6]	kɛn[6]	
牵	k'en[1]	kʰɛn[1]	1
还	hen[2]	hɛn[2]	1～债
悬	hen[2]	hɛn[2]	2吊在空中
苋	hen[5]	hɛn[5]	~菜
闲	∅en[2]	ʔɛn[2]	
限	∅en[6]	ʔɛn[6]	
八	pet[7]	pɛt[7]	
叭	pet[7]	pɛt[7]	喇～
拔	pet[8]	pɛt[8]	1
密	met[8]	mɛt[8]	
裂	let[8]	lɛt[8]	
节	chet[7]	tʃɛt[7]	1，冬～：冬至
截	chet[8]	tʃɛt[8]	
□	ch'et[7]	tʃʰɛt[7]	生气
贼	ch'et[8]	tʃʰɛt[8]	
虱	set[7]	sɛt[7]	
塞	set[7]	sɛt[7]	动词
结	ket[7]	kɛt[7]	1镰～：镰刀
□	k'et[8]	kʰɛt[8]	拿
血	het[7]	hɛt[7]	
□	het[8]	hɛt[8]	皱纹
墩	ton[1]	tɔn[1]	
钝	ton[1]	tɔn[1]	迟～
断	ton[6]	tɔn[6]	1~气
段	ton[6]	tɔn[6]	
缎	ton[6]	tɔn[6]	
遁	ton[6]	tɔn[6]	
吞	t'on[1]	tʰɔn[1]	
豚	t'on[2]	tʰɔn[2]	牛~：小牛
褪	t'on[5]	tʰɔn[5]	脱
嫩	non[6]	nɔn[6]	
□	lon[1]	lɔn[1]	□kɔ2～吞：囫囵吞
卵	lon[6]	lɔn[6]	蛋
乱	lon[6]	lɔn[6]	1~讲
论	lon[6]	lɔn[6]	
尊	chon[1]	tʃɔn[1]	
存	chon[2]	tʃɔn[2]	
钻	chon[5]	tʃɔn[5]	□□pœ2lœk8～：钻，一种工具
村	ch'on[1]	tʃʰɔn[1]	
忖	ch'on[2]	tʃʰɔn[2]	想。阳平
寸	ch'on[5]	tʃʰɔn[5]	
酸	son[1]	sɔn[1]	
宣	son[1]	sɔn[1]	
孙	son[1]	sɔn[1]	囝～：子孙
算	son[5]	sɔn[5]	
逊	son[5]	sɔn[5]	谦～
根	kon[1]	kɔn[1]	2字~
跟	kon[1]	kɔn[1]	
□	kon[2]	kɔn[2]	烫
睏	k'on[5]	kʰɔn[5]	睡
薰	hon[1]	hɔn[1]	食~：抽烟
痕	hon[2]	hɔn[2]	
□	hon[5]	hɔn[5]	～香：焚香
恨	hon[6]	hɔn[6]	
恩	∅on[1]	ʔɔn[1]	
□	∅on[2]	ʔɔn[2]	久
□	∅on[6]	ʔɔn[6]	～脓：化脓
夺	tot[8]	tɔt[8]	1：占~
度	tot[8]	tɔt[8]	忖~
脱	t'ot[7]	tʰɔt[7]	1
托	t'ot[7]	tʰɔt[7]	
托	t'ot[7]	tʰɔt[7]	
夺	t'ot[8]	tʰɔt[8]	2强～
撮	ch'ot[7]	tʃʰɔt[7]	1
屑	sot[7]	sɔt[7]	2布~
刷	sot[7]	sɔt[7]	
索	sot[7]	sɔt[7]	2勒~
骨	kot[7]	kɔt[7]	
滑	kot[8]	kɔt[8]	
窟	k'ot[7]	kʰɔt[7]	窟窿
□	hot[7]	hɔt[7]	敲门
核	hot[8]	hɔt[8]	□nɔi2～：睾丸
核	hot[8]	hɔt[8]	～定，结~
宾	pein[1]	pen[1]	
冰	pein[1]	pen[1]	
兵	pein[1]	pen[1]	
贫	pein[2]	pen[2]	
瓶	pein[2]	pen[2]	
苹	pein[2]	pen[2]	
板	pein[3]	pen[3]	1
版	pein[3]	pen[3]	
眠	mein[2]	men[2]	
面	mein[5]	men[5]	鞋～
珍	tein[1]	ten[1]	
征	tein[1]	ten[1]	～收
贞	tein[1]	ten[1]	～洁
侦	tein[1]	ten[1]	
陈	tein[2]	ten[2]	开～
藤	tein[2]	ten[2]	
凳	tein[5]	ten[5]	
阵	tein[6]	ten[6]	
趁	t'ein[5]	tʰen[5]	~钱：赚钱
认	nein[6]	nen[6]	
邻	lein[2]	len[2]	
麟	lein[2]	len[2]	
凌	lein[2]	len[2]	~辱
绫	lein[2]	len[2]	
真	chein[1]	tʃen[1]	
甄	chein[1]	tʃen[1]	
征	chein[1]	tʃen[1]	~服
剪	chein[3]	tʃen[3]	
进	chein[5]	tʃen[5]	
震	chein[5]	tʃen[5]	1
证	chein[5]	tʃen[5]	保~
症	chein[5]	tʃen[5]	撮筋~
政	chein[5]	tʃen[5]	
尽	chein[6]	tʃen[6]	～意
亲	ch'ein[1]	tʃʰen[1]	～眼，讨～
亲	ch'ein[1]	tʃʰen[1]	～家
称	ch'ein[1]	tʃʰen[1]	总～
塍	ch'ein[2]	tʃʰen[2]	
称	ch'ein[5]	tʃʰen[5]	对~
秤	ch'ein[5]	tʃʰen[5]	
清	ch'ein[5]	tʃʰen[5]	凉
新	sein[1]	sen[1]	
薪	sein[1]	sen[1]	
辛	sein[1]	sen[1]	
身	sein[1]	sen[1]	
申	sein[1]	sen[1]	
伸	sein[1]	sen[1]	2～长性
