"字頭"	"聲紐"	"呼"	"等"	"韻部"	"聲調"	"組"	"攝"	"聲母"	"韻母"	"聲調"	"備註"		"部首"	"單字筆畫"	"部首外筆畫"	"注音"	"解釋"	
"舍"	"書"	"開"	"三"	"麻"	"上"	"章"	"假"	"s"	"e"	3			"舌"	"08	"	"02	"	"ㄕㄜˋ
ㄕㄜˇ"	"1.(1)房屋、住宅。如：「宿舍」、「房舍」、「茅舍」、「田舍」。(2)謙稱自己住的地方。如：「寒舍」、「敝舍」、「舍下」。(3)對人謙稱輩分低於自己的親屬。如：「舍弟」、「舍妹」、「舍親」。(4)餵養牲畜的地方。如：「豬舍」、「牛舍」。(5)止息、停止。如：「不舍晝夜」。(6)量詞。用於計算古代行軍里數的單位。三十里為一舍。如：「退避三舍」。2.通「捨」：ɐ>放棄、放下。如：「舍生取義」。B>除去、除開。如：「當今之世，舍我其誰也？」_x000D_
"	
"捨"	"書"	"開"	"三"	"麻"	"上"	"章"	"假"	"s"	"e"	2			"手"	"11"	"08	"	"ㄕㄜˇ"	"(1)放下、放棄。如：「捨棄」、「捨命」、「割捨」、「捨近求遠」、「依依不捨」。(2)給、布施。如：「施捨」、「捨財」、「捨藥」。(3)除開。如：「捨我其誰」。_x000D_
"	
"赦"	"書"	"開"	"三"	"麻"	"去"	"章"	"假"	"s"	"e"	3			"赤"	"11"	"04	"	"ㄕㄜˋ"	"寬免應有的罪罰。如：「大赦」、「特赦」、「赦免」、「赦罪」、「十惡不赦」。_x000D_
"	
"設"	"書"	"開"	"三"	"仙A"	"入"	"章"	"山"	"s"	"yut"	7			"言"	"11"	"04	"	"ㄕㄜˋ"	"(1)布置、安排。如：「設置」、「擺設」、「設備」、「陳設」、「設施」。(2)建立、制訂。如：「建設」、「設防」、「設限」。(3)籌劃。如：「設計」、「設法」。(4)假想。如：「假設」、「設想」。_x000D_
"	
"攝"	"書"	"開"	"三"	"鹽A"	"入"	"章"	"咸"	"s"	"ip"	7			"手"	"21"	"18"	"ㄕㄜˋ"	"(1)取。如：「攝取」、「攝魂」。(2)拍照。如：「攝影」、「拍攝」。(3)代理。如：「攝理」、「攝政」、「攝行」、「攝位」。(4)管理。如：「統攝」。_x000D_
"	
"申"	"書"	"開"	"三"	"真A"	"平"	"章"	"臻"	"s"	"an"	1			"田"	"05	"	"00	"	"ㄕㄣ"	"(1)地支的第九位。(2)申時：時辰名。約當下午三點至五點。(3)陳述、表明。如：「申明」、「申述」、「申冤」、「申論」、「三申五令」。(4)擴充、延展。同「伸」。如：「引申」、「延申」、「屈申」。(5)責備。如：「申斥」、「申誡」。(6)以書面向上報告。如：「申請」、「申訴」、「申報」。_x000D_
"	
"伸"	"書"	"開"	"三"	"真A"	"平"	"章"	"臻"	"s"	"an"	1			"人"	"07	"	"05	"	"ㄕㄣ"	"(1)使肢體或具彈性的物體由彎、短的狀態變直或變長。如：「伸直」、「伸長」、「伸懶腰」、「伸手不見五指」。(2)表白、陳述。如：「伸冤」、「伸白」、「伸理」。
"	
"身"	"書"	"開"	"三"	"真A"	"平"	"章"	"臻"	"s"	"an"	1			"身"	"07	"	"00	"	"ㄕㄣ"	"(1)人或動物的軀體。如：「身體」、「健身」、「身長七尺」、「隨身攜帶」。(2)物體的軀幹。如：「樹身」、「車身」、「船身」、「機身」。(3)生命。如：「奮不顧身」、「捨身救人」。(4)親自。如：「身教」、「以身作則」、「身歷其境」、「身體力行」。(5)名分、地位。如：「身分」、「身家」、「出身寒微」、「身敗名裂」。(6)品格、修養。如：「修身齊家」、「立身處世」。(7)懷孕。如：「有身」、「身孕」。(8)量詞。用於計算佛像數量的單位。如：「夾道兩旁有佛像五百身。」_x000D_
"	
"深"	"書"	"開"	"三"	"侵A"	"平"	"章"	"深"	"s"	"am"	1			"水"	"11"	"08	"	"ㄕㄣ"	"(1)從上到下，或由表面到底部的距離大。與「淺」相對。如：「深井」、「深海」、「深淵」。(2)時間久、晚。如：「深秋」、「深更半夜」、「年深日久」。(3)奧妙、複雜、不容易了解。如：「深奧」、「深度」、「深遠」、「這句話的含義很深。」(4)濃厚的。如：「深厚」、「深交」、「深刻」、「深情」、「深藍色」。(5)非常。如：「深信」、「深知」、「深得人緣」。
"	
"紳"	"書"	"開"	"三"	"真A"	"平"	"章"	"臻"	"s"	"an"	1			"糸"	"11"	"05	"	"ㄕㄣ"	"(1)古代官員束在腰間的大帶子。(2)退職的官員或地方上有名望的人。如：「官紳」、「鄉紳」、「富紳」。(3)紳士：指有修養、風度佳的男士。如：「好一個風度翩翩的紳士！」_x000D_
"	
"審"	"書"	"開"	"三"	"侵A"	"上"	"章"	"深"	"s"	"am"	2			"宀"	"15"	"12"	"ㄕㄣˇ"	"(1)詳細研析。如：「審查」、「審閱」、「審美」、「審訂」、「審核」、「審計」。(2)詳細的。如：「審慎」、「精審」。(3)查問案件。如：「審問」、「審判」、「審理」、「審案」。(4)知道。如：「不審近況」。_x000D_
"	
"嬸"	"書"	"開"	"三"	"侵A"	"上"	"章"	"深"	"s"	"am"	2			"女"	"18"	"15"	"ㄕㄣˇ"	"(1)稱叔叔的妻子。如：「三嬸」、「嬸嬸」。(2)婦人稱丈夫的弟媳。如：「小嬸」。(3)尊稱已婚的女性長輩。如：「大嬸兒」。_x000D_
"	
"升"	"書"	"開"	"三"	"蒸"	"平"	"章"	"曾"	"s"	"ing"	1			"十"	"04	"	"02	"	"ㄕㄥ"	"(1)由下往上。與「降」相對。如：「升旗」、「升梯」、「太陽打東邊升起。」(2)登進、向上攀進。如：「升官」、「升級」、「升格」、「升遷」、「躍升」。(3)量詞。用於計算容量的單位。公制一升等於十合。或稱為「公升」。
"	
"升"	"書"	"開"	"三"	"蒸"	"平"	"章"	"曾"	"s"	"yng"	1	"白讀：~起身、米~"							
"昇"	"書"	"開"	"三"	"蒸"	"平"	"章"	"曾"	"s"	"ing"	1			"日"	"08	"	"04	"	"ㄕㄥ"	"(1)上升。如：「昇天」、「旭日東昇」。(2)登進。如：「早昇朝籍」。_x000D_
"	
"聲"	"書"	"開"	"三"	"清A"	"平"	"章"	"梗"	"s"	"ing"	1			"耳"	"17"	"11"	"ㄕㄥ"	"(1)因物體撞擊或摩擦所產生，能引起聽覺的音波。如：「笑聲」、「聲音」、「雷聲」、「風聲」、「聲浪」。(2)音樂。如：「聲光」、「聲樂」。(3)名譽。如：「政聲」、「名聲」、「聲譽」、「聲名大作」。(4)發出聲音。如：「不聲不響」。(5)宣布、張揚。如：「聲討」、「聲明」、「聲稱」、「聲述」。(6)音調。如：「平聲」、「上聲」、「去聲」、「入聲」。(7)量詞。用於計算發聲次數的單位。如：「大叫一聲」、「三聲無奈」。_x000D_
"	
"勝"	"書"	"開"	"三"	"蒸"	"平"	"章"	"曾"	"s"	"ing"	3			"力"	"12"	"10"	"ㄕㄥˋ
ㄕㄥ"	"1.(1)贏、占優勢。如：「勝利」、「戰勝」、「獲勝」、「優勝」、「勝訴」、「旗開得勝」、「出奇制勝」。(2)超越。如：「勝過」、「略勝一籌」、「一個勝似一個」。(3)優美的地方。如：「勝景」、「勝地」、「尋幽覽勝」、「風景名勝」。2.(1)禁得起、承受得了。如：「勝任」、「不勝其擾」、「喜不自勝」。(2)盡。如：「不勝枚舉」、「不可勝數」。_x000D_
"	
"聖"	"書"	"開"	"三"	"清A"	"去"	"章"	"梗"	"s"	"ing"	3			"耳"	"13"	"07	"	"ㄕㄥˋ"	"(1)品德崇高、通達事理的。如：「聖人」、「神聖」。(2)德行高尚、博通事理的人。如：「古聖先賢」。(3)通稱在學識或技藝上有獨特見解、功夫的人。如：「詩聖」、「草聖」、「樂聖」、「畫聖」。(4)尊稱君主。如：「面聖」、「聖上」。(5)君主的。如：「聖旨」、「聖恩」、「聖訓」。(6)宗教上對所崇拜的人事物的尊稱。如：「聖經」、「朝聖」、「聖母」。_x000D_
"	
"失"	"書"	"開"	"三"	"真A"	"入"	"章"	"臻"	"s"	"at"	7			"大"	"05	"	"02	"	"ㄕ"	"(1)丟掉、遺落。如：「喪失」、「遺失」、「失而復得」、「失魂落魄」。(2)錯過、放過。如：「失之交臂」、「錯失良機」、「機不可失」。(3)找不到。如：「迷失方向」。(4)錯誤。如：「失誤」、「過失」、「言多必失」、「智者千慮，必有一失。」(5)脫離掌握。如：「失控」、「失足落水」。(6)違背、不合。如：「失信」、「失禮」、「失職」。(7)不稱心。如：「失意」、「失望」、「失志」。(8)改變，和常態不同。如：「失常」、「驚惶失色」、「痛哭失聲」。_x000D_
"	
"示"	"船"	"開"	"三"	"脂"	"去"	"章"	"止"	"s"	"i"	6			"示"	"05	"	"00	"	"ㄕˋ"	"(1)告訴、宣布。如：「訓示」、「指示」、「暗示」、「告示」。(2)表明。如：「表示」、「示意」。(3)把事情展現給人看。如：「示範」、「展示」、「示威」。_x000D_
"	
"師"	"生"	"開"	"三"	"脂B"	"平"	"莊"	"止"	"s"	"i"	1			"巾"	"10"	"07	"	"ㄕ"	"(1)教導、傳授學問或技藝的人。如：「老師」、「教師」、「師徒」。(2)學習、效法。如：「師法」、「師事」、「師古」。(3)榜樣、表率。如：「萬世師表」、「前事不忘，後事之師。」(4)稱有專門技藝的人。如：「醫師」、「律師」、「理髮師」、「鋼琴師」。(5)對道士或僧尼的尊稱。如：「法師」、「禪師」。(6)軍隊的編制單位。或泛指軍隊。如：「師團」、「誓師北伐」、「班師回朝」。_x000D_
"	
"獅"	"生"	"開"	"三"	"脂B"	"平"	"莊"	"止"	"s"	"i"	1			"犬"	"13"	"10"	"ㄕ"	"(1)一種性情凶猛的哺乳類動物。頭圓大，尾細長，雄性脖子上有長毛，吼聲洪大，號稱萬獸之王。(2)獅吼：比喻凶惡的老婆罵人的聲音。如：「河東獅吼」。_x000D_
"	
"溼"	"書"	"開"	"三"	"侵A"	"入"	"章"	"深"	"s"	"ap"	7			"水"	"13"	"10"	"ㄕ"	"(1)水分多的。與「乾」相對。如：「低溼」、「潮溼」、「溼毛巾」、「溼答答的」。(2)沾到水。如：「淋溼」、「別把衣服弄溼了！」(3)疾病。如：「風溼」。_x000D_
"	
"濕"	"書"	"開"	"三"	"侵A"	"入"	"章"	"深"	"s"	"ap"	7			"水"	"17"	"14"	"ㄕ"	"(1)水分多的。與「乾」相對。同「溼」。如：「低濕」、「潮濕」、「濕毛巾」、「濕答答的」。(2)沾到水。同「溼」。如：「淋濕」、「別把衣服弄濕了！」(3)疾病。同「溼」。如：「風濕」。"	
"史"	"生"	"開"	"三"	"之"	"上"	"莊"	"止"	"s"	"i"	2			"口"	"05	"	"02	"	"ㄕˇ"	"(1)過去的時事、事蹟。如：「歷史」、「近代史」。(2)記載過往事蹟的書籍。如：「史記」、「正史」、「通史」、「二十五史」。(3)古代掌管文書和記事等的官吏。如：「史官」、「太史」。_x000D_
"	
"使"	"生"	"開"	"三"	"之"	"上"	"莊"	"止"	"s"	"i"	2	"文讀：～用、大~、天~、~館"							
"世"	"書"	"開"	"三"	"祭A"	"去"	"章"	"蟹"	"s"	"ai"	3	"白讀：一～、出~。"							
"駛"	"生"	"開"	"三"	"之"	"上"	"莊"	"止"	"s"	"i"	2	"文讀"							
"式"	"書"	"開"	"三"	"蒸"	"入"	"章"	"曾"	"s"	"ik"	7			"弋"	"06	"	"03	"	"ㄕˋ"	"(1)法則、模範。如：「法式」、「模式」。(2)效法。如：「義風可式」、「母儀足式」。(3)事物外形的樣子。如：「形式」、「式樣」、「款式」。(4)儀節、典禮。如：「儀式」、「閱兵式」、「開幕式」。(5)數學、化學等自然科學的運算規則。如：「公式」、「程式」、「化學式」、「二元一次方程式」。_x000D_
"	
"拭"	"書"	"開"	"三"	"蒸"	"入"	"章"	"曾"	"s"	"ik"	7			"手"	"09	"	"06	"	"ㄕˋ"	"擦。如：「擦拭」、「拭淚」、「拭目以待」。_x000D_
"	
"室"	"書"	"開"	"三"	"真A"	"入"	"章"	"臻"	"s"	"at"	7			"宀"	"09	"	"06	"	"ㄕˋ"	"(1)屋子。如：「陋室」、「室內」、「室外」。(2)房間。如：「寢室」、「臥室」、「教室」、「辦公室」。(3)機關的單位部門。如：「人事室」、「公共關係室」。(4)妻子。如：「妻室」、「正室」。(5)皇帝的家族。如：「皇室」、「王室」、「漢室」、「唐室」。_x000D_
"	
"施"	"書"	"開"	"三"	"支A"	"平"	"章"	"止"	"s"	"i"	1			"方"	"09	"	"05	"	"ㄕ"	"(1)實行。如：「施行」、「實施」。(2)加上、用上。如：「施肥」、「施藥」。(3)給予。如：「施捨」、「施恩」、「樂善好施」、「施比受更有福」。_x000D_
"	
"軾"	"書"	"開"	"三"	"蒸"	"入"	"章"	"曾"	"s"	"ik"	7			"車"	"13"	"06	"	"ㄕˋ"	"古代車子前面可讓人倚靠的橫木。如：「伏軾」、「憑軾」。_x000D_
"	
"飾"	"書"	"開"	"三"	"蒸"	"入"	"章"	"曾"	"s"	"ik"	7			"食"	"13"	"05	"	"ㄕˋ"	"(1)裝扮、打扮。如：「裝飾」、「綴飾」、「修飾」。(2)供裝扮的物品。如：「首飾」、「髮飾」、「衣飾」。(3)遮掩、偽裝。如：「掩飾」、「文過飾非」、「粉飾太平」。(4)扮演。如：「這次晚會由他飾演白馬王子。」_x000D_
"	
"屍"	"書"	"開"	"三"	"脂A"	"平"	"章"	"止"	"s"	"i"	1			"尸"	"09	"	"06	"	"ㄕ"	"人或動物死後的遺體。如：「死屍」、「僵屍」、「屍體」、「行屍走肉」。_x000D_
"	
"適"	"書"	"開"	"三"	"清A"	"入"	"章"	"梗"	"s"	"ik"	7			"辵"	"15"	"11"	"ㄕˋ"	"(1)恰好、相合。如：「適合」、「適切」、「適當」。(2)舒服。如：「不適」、「舒適」、「安適」。(3)恰巧。如：「適巧」、「適逢盛會」、「愛之適足以害之」。(4)剛才。如：「適才」。(5)到、前往。如：「無所適從」、「遠適他鄉」。_x000D_
"	
"釋"	"書"	"開"	"三"	"清A"	"入"	"章"	"梗"	"s"	"ik"	7			"釆"	"20"	"13"	"ㄕˋ"	"(1)解說、說明。如：「解釋」、「注釋」、「釋義」、「詮釋」。(2)消除。如：「冰釋」、「釋疑」、「釋懷」、「前嫌盡釋」。(3)解脫、放下。如：「如釋重負」、「手不釋卷」。(4)放開、赦免。如：「釋放」、「開釋」、「假釋」。(5)與佛教有關的。如：「釋典」、「釋徒」、「釋教」。_x000D_
"	
"收"	"書"	"開"	"三"	"尤"	"平"	"章"	"流"	"s"	"au"	1			"攴"	"06	"	"02	"	"ㄕㄡ"	"(1)由外向內聚合。如：「收集」、「收發」、「收攏」、「傷口已經收口了。」(2)採割成熟的農作物。如：「收割」、「秋收冬藏」。(3)藏、存放。如：「把衣服收起來。」、「把貴重的物品收好。」(4)接受、容受。如：「收禮」、「收容」、「收留」、「收入」、「收復」。(5)結束、停止。如：「收工」、「收場」、「收尾」。(6)約束、控制。如：「收心」、「收不住腳」。(7)拘押、捉捕。如：「收押」、「收捕」、「收妖降魔」。(8)整理、清理。如：「客廳好髒亂，趕快收一收。」_x000D_
"	
"手"	"書"	"開"	"三"	"尤"	"上"	"章"	"流"	"s"	"au"	2			"手"	"04	"	"00	"	"ㄕㄡˇ"	"(1)人體的兩臂。如：「雙手」、「手臂」。(2)手掌。如：「手相」、「手心」。(3)做事的人。如：「助手」、「人手不足」。(4)稱技藝專精的人。如：「高手」、「好手」、「鼓手」、「國手」。(5)小巧而易於攜帶的。如：「手冊」、「手帕」、「手電筒」。(6)親自。如：「手刃」、「手書」。(7)人工的。如：「手排」、「手工」。(8)處理事情的方法。如：「心狠手辣」、「眼高手低」。(9)拿著。如：「人手一冊」。(10)量詞。用於計算技能、本領的單位。如：「露兩手」。_x000D_
"	
"蛛"	"知"	"合"	"三"	"虞"	"平"	"知"	"遇"	"z"	"yu"	1	"「蜘蛛」玉林的固有詞彙爲[leru zou/lou zou/lo zo/lau zau]（讀音因地區而異），後字疑是「蛛」。"		"虫"	"12"	"06	"	"ㄓㄨ"	"蜘蛛：一種節肢動物。分頭、胸、腹部，有八隻腳。會吐絲結網，捕食昆蟲。
"	
"豬"	"知"	"開"	"三"	"魚"	"平"	"知"	"遇"	"z"	"yu"	1			"豕"	"15"	"08	"	"ㄓㄨ"	"(1)哺乳類動物。頭大，眼小，耳大，身體肥胖，四肢短小，鼻與口吻長。肉可食用，皮可製革，鬃毛可製刷子等。為常見家畜。如：「毛豬」。(2)豬八戒：西遊記小說中的人物之一。為豬的精靈，外貌醜怪，貪吃又好色。後用來罵人醜陋或貪慾。如：「你看他那貪吃的樣子，真像個豬八戒。」_x000D_
"	
"竹"	"知"	"開"	"三"	"東"	"入"	"知"	"通"	"z"	"uk"	7			"竹"	"06	"	"00	"	"ㄓㄨˊ"	"多年生常綠植物。種類極多。葉形狹長。圓莖而直，中空有節。分地上莖與地下莖，地下莖向上生筍，可食用。莖質堅韌，可供建築、造紙、製器等之用。_x000D_
"	
"湯"	"透"	"開"	"一"	"陽"	"平"	"章"	"宕"	"t"	"ong"	1			"水"	"12"	"09	"	"ㄊㄤ"	"(1)熱水。如：「赴湯蹈火」、「揚湯止沸」。(2)含有多量汁液的菜餚。如：「雞湯」、「湯麵」、「湯圓」、「蛋花湯」。(3)菜餚中多量的汁液。如：「菜湯」。(4)酒的代稱。如：「黃湯」。_x000D_
"	
"蓄"	"徹"	"開"	"三"	"東"	"入"	"知"	"通"	"c"	"uk"	7			"艸"	"14"	"10"	"ㄒㄩˋ"	"(1)儲藏、儲存。如：「儲蓄」、「蓄水池」。(2)留。如：「蓄髮」。(3)蘊藏、不表露。如：「含蓄」、「蓄意」。_x000D_
"	
"窣"	"心"	"合"	"一"	"魂"	"入"	"精"	"臻"	"c"	"yut"	7			"穴"	"13"	"08	"	"ㄙㄨˋ"	"窸窣：狀聲詞。形容細小的聲音。如：「一陣微風吹來，只聽到窗外的竹林發出窸窣的聲音。」_x000D_
"	
"疹"	"章"	"開"	"三"	"真A"	"上"	"章"	"臻"	"c"	"an"	2		1	"疒"	"10"	"05	"	"ㄓㄣˇ"	"皮膚上生出隆起的小顆粒。如：「溼疹」、「麻疹」、「尿布疹」。_x000D_
"	
"守"	"書"	"開"	"三"	"尤"	"上"	"章"	"流"	"s"	"au"	2			"宀"	"06	"	"03	"	"ㄕㄡˇ"	"(1)保持、堅持。如：「堅守」、「守節」、「守信」、「守身如玉」、「守口如瓶」。(2)保護、看護。如：「守衛」、「守護」、「看守」、「防守」。(3)遵循。如：「守時」、「守法」、「遵守」、「守規矩」、「墨守成規」。(4)等待。如：「守候」、「獨守」、「守歲」、「空守一夜」。(5)節操、品性。如：「操守」、「有為有守」。_x000D_
"	
"首"	"書"	"開"	"三"	"尤"	"上"	"章"	"流"	"s"	"au"	2			"首"	"09	"	"00	"	"ㄕㄡˇ"	"(1)頭、腦袋。如：「頓首」、「叩首」、「昂首闊步」。(2)領頭的人物。如：「首領」、「元首」、「首腦」。(3)最高的、第一的。如：「首富」、「首席代表」。(4)最先的。如：「首創」、「起首」。(5)出面告發犯罪事實。如：「自首」。(6)部首：依照形體條件整理文字的一種綱領。如：「這個字的部首是什麼？」(7)量詞。用於計算詩、詞、歌曲等的單位。如：「兩首歌」、「一首小詩」、「唐詩三百首」。_x000D_
"	
"狩"	"書"	"開"	"三"	"尤"	"去"	"章"	"流"	"s"	"au"	2			"犬"	"09	"	"06	"	"ㄕㄡˋ"	"(1)打獵。如：「狩獵」。(2)巡狩：古代天子出巡視察。_x000D_
"	
"獸"	"書"	"開"	"三"	"尤"	"去"	"章"	"流"	"s"	"au"	3			"犬"	"19"	"15"	"ㄕㄡˋ"	"(1)四足、全身有毛的脊椎動物的總稱。如：「野獸」、「飛禽走獸」。(2)罵人野蠻、沒有人性的話。如：「獸行」、「獸性」、「人面獸心」。_x000D_
"	
"醉"	"精"	"合"	"三"	"脂A"	"去"	"精"	"止"	"dd"	"ui"	3			"酉"	"15"	"08	"	"ㄗㄨㄟˋ"	"(1)喝酒過度，陷入迷糊狀態。如：「酒醉」、「爛醉」、「宿醉」。(2)迷戀、沉迷。如：「沉醉」、「醉心」。(3)用酒泡製的。如：「醉蝦」、「醉雞」。_x000D_
"	
"叔"	"書"	"開"	"三"	"東"	"入"	"章"	"通"	"s"	"uk"	7			"又"	"08	"	"06	"	"ㄕㄨˊ"	"(1)稱父親的弟弟。如：「叔父」。(2)稱丈夫的弟弟。如：「小叔」。(3)稱較父親年輕的父執輩。如：「李大叔」、「葉叔叔」。(4)排行第三。如：「伯仲叔季」。(5)衰微、沒落。如：「叔世」。_x000D_
"	
"書"	"書"	"開"	"三"	"魚"	"平"	"章"	"遇"	"s"	"yu"	1			"曰"	"10"	"06	"	"ㄕㄨ"	"(1)成冊的著作。如：「書本」、「書籍」、「圖書」、「教科書」、「線裝書」、「百科全書」。(2)信。如：「家書」、「書信」。(3)文件。如：「證明書」、「申請書」。(4)寫。如：「書寫」、「振筆疾書」。(5)字體。如：「楷書」、「草書」、「行書」。
"	
"舒"	"書"	"開"	"三"	"魚"	"平"	"章"	"遇"	"s"	"yu"	1			"舌"	"12"	"06	"	"ㄕㄨ"	"(1)展開、伸展。如：「舒展」、「舒張」、「舒眉」、「舒筋活血」。(2)緩慢、從容不迫。如：「舒緩」。(3)發散。如：「舒懷」。(4)安適、暢快。如：「舒泰」、「舒閒」、「舒適」、「舒服」。_x000D_
"	
"輸"	"書"	"合"	"三"	"虞"	"平"	"章"	"遇"	"s"	"yu"	1			"車"	"16"	"09	"	"ㄕㄨ"	"(1)失敗。如：「服輸」、「認輸」、「輸贏不論」。(2)將東西由甲地送到乙地。如：「運輸」、「輸送」。(3)注入。如：「輸血」、「輸入」。_x000D_
"	
"暑"	"書"	"開"	"三"	"魚"	"上"	"章"	"遇"	"s"	"yu"	2		0	"日"	"12"	"08	"	"ㄕㄨˇ"	"(1)熱。與「寒」相對。如：「消暑」、「暑氣」、「避暑」。(2)盛夏。如：「暑假」、「暑期」。_x000D_
"	
"黍"	"書"	"開"	"三"	"魚"	"上"	"章"	"遇"	"s"	"yu"	3			"黍"	"12"	"00	"	"ㄕㄨˇ"	"(1)一種穀類植物。一年生草本。果實帶黏性，可以釀酒。(2)玉蜀黍：一年生草本植物，葉長而大，果實可為糧食。或稱為「玉米」、「包穀」。
"	
"鼠"	"書"	"開"	"三"	"魚"	"上"	"章"	"遇"	"s"	"yu"	2			"鼠"	"13"	"00	"	"ㄕㄨˇ"	"(1)一種動物。俗稱為「老鼠」、「耗子」。體形小，腳短尾長，喜穴居，牙尖齒利，會破壞器物及傳染鼠疫。(2)鼠輩：罵人舉止卑鄙，像老鼠一樣壞。如：「鼠輩，暗中傷人，算什麼好漢！」_x000D_
"	
"恕"	"書"	"開"	"三"	"魚"	"去"	"章"	"遇"	"s"	"yu"	3			"心"	"10"	"06	"	"ㄕㄨˋ"	"原諒。如：「饒恕」、「寬恕」、「恕罪」、「恕難從命」。_x000D_
"	
"翠"	"清"	"合"	"三"	"脂A"	"去"	"精"	"止"	"t"	"ui"	3			"羽"	"14"	"08	"	"ㄘㄨㄟˋ"	"(1)青綠色的。如：「翠綠」、「青翠」、「翠柏」、「翠玉」、「翠樓」、「青山翠谷」。(2)綠色的玉。如：「珠翠」、「金翠」。_x000D_
"	
"萃"	"從"	"合"	"三"	"脂A"	"去"	"精"	"止"	"sl"	"ui"	2			"艸"	"12"	"08	"	"ㄘㄨㄟˋ"	"(1)聚集。如：「萃然」。(2)聚集在一起的人或事物。如：「出類拔萃」。_x000D_
"	
"舜"	"書"	"合"	"三"	"真A"	"去"	"章"	"臻"	"s"	"an"	3			"舛"	"12"	"06	"	"ㄕㄨㄣˋ"	"古帝名。姓姚，名重華。因國號為虞，所以也稱為「虞舜」或「有虞氏」。後來將王位傳給禹。_x000D_
"	
"瞬"	"書"	"合"	"三"	"真A"	"去"	"章"	"臻"	"s"	"an"	3			"目"	"17"	"12"	"ㄕㄨㄣˋ"	"(1)眨眼之間，比喻極為短暫的時間。如：「一瞬」、「瞬間」、「瞬息萬變」、「轉瞬間，我已經畢業一年了。」(2)轉動眼睛。如：「瞬目」、「瞬盼」。_x000D_
"	
"說"	"書"	"合"	"三"	"祭A"	"去"	"章"	"蟹"	"s"	"yut"	7	"～話"		"言"	"14"	"07	"	"ㄕㄨㄛ
ㄕㄨㄟˋ
ㄩㄝˋ"	"1.(1)講話、告訴。如：「說話」。(2)言論、道理。如：「學說」、「著書立說」。(3)解釋。如：「說明」、「說理」、「說清楚」。(4)責備。如：「我剛剛說了他一頓。」(5)談論。如：「談天說地」、「談古說今」。(6)介紹親事。如：「說媒」、「說婆家」。(7)小說：一種有情節的文學作品。如：「章回小說」、「長篇小說」。2.用言語勸人，使其聽從或採納。如：「說服」、「遊說」。3.喜悅。通「悅」。如：「學而時習之，不亦說乎！」_x000D_
"	
"呻"	"書"	"開"	"三"	"真A"	"平"	"章"	"臻"	"s"	"an"	1			"口"	"08	"	"05	"	"ㄕㄣ"	"因身心痛苦而由口中發出聲音。如：「呻吟」。_x000D_
"	
"倏"	"書"	"開"	"三"	"東"	"入"	"章"	"通"	"s"	"uk"	7			"人"	"11"	"09	"	"ㄕㄨˋ"	"急速、極快。如：「倏忽」、「倏然」。_x000D_
"	
"紓"	"書"	"開"	"三"	"魚"	"平"	"章"	"遇"	"s"	"yu"	1			"糸"	"10"	"04	"	"ㄕㄨ"	"放鬆、解除。如：「紓解」、「紓困」、「紓難」。_x000D_
"	
"庶"	"書"	"開"	"三"	"魚"	"去"	"章"	"遇"	"s"	"yu"	3			"广"	"11"	"08	"	"ㄕㄨˋ"	"(1)眾多。如：「庶務」、「富庶」。(2)古代平民稱為「庶」。如：「黎庶」、「庶民」。(3)旁支的、旁系的。如：「庶子」、「庶母」、「庶出」。(4)相近、差不多。如：「庶幾」。_x000D_
"	
"盾"	"定"	"合"	"一"	"魂"	"上"	"定"	"臻"	"d"	"an"	6			"目"	"09	"	"04	"	"ㄉㄨㄣˋ"	"(1)戰爭時用來抵擋外來的兵器攻擊，以保護身體的武器。如：「矛盾」、「盾牌」。(2)盾形的獎品或紀念品。如：「金盾」、「銀盾」。(3)比喻支持或援助的力量。如：「後盾」。(4)矛盾：A>言語行為相互牴觸。如：「他的話前後矛盾，顯然這件事有問題。」B>兩種勢力相互衝突。_x000D_
"	
"拄"	"知"	"合"	"三"	"虞"	"上"	"知"	"遇"	"z"	"yu"	5			"手"	"08	"	"05	"	"ㄓㄨˇ"	"支撐。如：「拄著枴杖走路。」_x000D_
"	
"高"	"見"	"開"	"一"	"豪"	"平"	"見"	"效"	"g"	"eou"	1			"高"	"10"	"00	"	"ㄍㄠ"	"(1)與「低」相對：A>物體豎立時上下的長度。如：「身高」、「高度」。B>高度的比較。如：「彼山還比此山高」。C>多的價錢、指數等。如：「高價」、「高檔」、「高額」。D>上下距離遠的或離地面遠的。如：「山高水深」、「高樓大廈」。(2)高的地方。如：「居高臨下」、「登高望遠」。(3)超過一般標準的。如：「高手」、「高級」。(4)聲音激昂。如：「高歌」、「高聲」。(5)敬稱他人的事物。如：「高見」、「高足」。
"	
"羔"	"見"	"開"	"一"	"豪"	"平"	"見"	"效"	"g"	"eou"	1			"羊"	"10"	"04	"	"ㄍㄠ"	"幼小的羊。如：「羔羊」。_x000D_
"	
"膏"	"見"	"開"	"一"	"豪"	"平"	"見"	"效"	"g"	"eou"	1			"肉"	"14"	"10"	"ㄍㄠ"	"(1)油脂。如：「膏油」。(2)軟黏的半固體。如：「牙膏」、「藥膏」、「梨膏」、「枇杷膏」。(3)土地肥美的。如：「膏田」。_x000D_
"	
