汉字	IPA	注释
莲	lian2	
琏	lian2	
涟	lian2	
鲢	lian2	
廉	lian2	
镰	lian2	
年	lian2	
联	lian2	
辇	lian3	
撵	lian3	
脸	lian3	
敛	lian3	
殓	lian3	
碾	lian3	
念	lian5	
炼	lian5	
练	lian5	
链	lian5	
尖	tsian1	
笺	tsian1	
煎	tsian1	
沾	tsian1	
前	tsian2	
钱	tsian2	
潜	tsian2	
剪	tsian3	
翦	tsian3	
溅	tsian4	
占	tsian5	
战	tsian5	
贱	tsian5	
荐	tsian5	
箭	tsian5	
渐	tsian5	
践	tsian5	
□	tsian5	（孩子）玩耍
千	tsʰian1	
迁	tsʰian1	
阡	tsʰian1	
纤	tsʰian1	
歼	tsʰian1	～灭
跹	tsʰian1	
扦	tsʰian1	
仟	tsʰian1	
签	tsʰian1	
□	tsʰian1	确准
□	tsʰian1	钻（入水中）
钎	tsʰian2	铁～，钢～
浅	tsʰian3	
□	tsʰian5	（刀）刺
先	sian1	
仙	sian1	
籼	sian1	
鲜	sian1	～明，朝～
婵	sian2	
禅	sian2	
单	sian2	姓
闪	sian3	
陕	sian3	
癣	sian3	
善	sian4	
蟮	sian4	
鳝	sian4	
膳	sian4	
缮	sian4	
线	sian5	
羡	sian5	
暹	sian5	
扇	sian5	～动，电～
然	zian2	
冉	zian3	
髯	zian3	
染	zian3	
燃	zian3	
兼	kian1	
捐	kian1	
娟	kian1	
肩	kian1	
坚	kian1	
菅	kian1	草～人命
咸	kian2	～显～：很咸
减	kian3	
碱	kian3	
检	kian3	
茧	kian3	
件	kian4	
腱	kian4	白读
见	kian5	
剑	kian5	
建	kian5	
健	kian5	
腱	kian5	
牵	kʰian1	
骞	kʰian1	
谦	kʰian1	
乾	kʰian2	～坤
虔	kʰian2	
犬	kʰian3	
遣	kʰian3	
谴	kʰian3	
歉	kʰian3	
俭	kʰian4	
欠	kʰian5	
堑	kʰian5	
茜	kʰian5	
倩	kʰian5	
研	ɡian1	
言	ɡian2	
唁	ɡian2	
严	ɡian2	
阎	ɡian2	
俨	ɡian3	～然
□	ɡian4	～头：瘾
验	ɡian5	
轩	hian1	
掀	hian1	
玄	hian2	
弦	hian2	
舷	hian2	
炫	hian2	
贤	hian2	
嫌	hian2	
显	hian3	
险	hian3	
岘	hian4	
县	hian5	
悬	hian5	
现	hian5	
宪	hian5	
献	hian5	
砚	hian5	
渊	ian1	
烟	ian1	
咽	ian1	
胭	ian1	
焉	ian1	
嫣	ian1	
阉	ian1	
淹	ian1	
腌	ian1	
燕	ian1	～京
沿	ian2	
铅	ian2	～笔
船	ian2	
延	ian2	
筵	ian2	
蜒	ian2	
盐	ian2	
演	ian3	
衍	ian3	
掩	ian3	
□	ian4	～过～：犹豫不安
宴	ian5	～会
堰	ian5	
燕	ian5	～子
厌	ian5	
炎	ian5	
焰	ian5	
艳	ian5	
□	ian5	父母称儿媳
盘	puan2	～点
半	puan5	
盘	pʰuan2	～古
判	pʰuan4	
伴	pʰuan4	
拌	pʰuan4	
叛	pʰuan5	背～
瞒	buan2	
满	buan3	
晚	buan3	
挽	buan3	
端	tuan1	
传	tuan2	宣～
短	tuan3	
断	tuan4	
段	tuan4	
锻	tuan4	
缎	tuan4	
传	tuan5	自～
□	tuan5	事先说好；～价：讨价还价
团	tʰuan2	
篆	tʰuan2	
峦	luan2	
恋	luan2	
孪	luan2	
銮	luan2	
鸾	luan2	
滦	luan2	
暖	luan3	
软	luan3	
卵	luan3	
乱	luan5	
专	tsuan1	
砖	tsuan1	
钻	tsuan1	
全	tsuan2	
泉	tsuan2	
转	tsuan3	
撰	tsuan5	
川	tsʰuan1	
穿	tsʰuan1	
铨	tsʰuan1	
痊	tsʰuan1	
荃	tsʰuan1	
喘	tsʰuan3	
串	tsʰuan5	
窜	tsʰuan5	
篡	tsʰuan5	～位
纂	tsʰuan5	
宣	suan1	
酸	suan1	
喧	suan1	
栓	suan1	
拴	suan1	
旋	suan2	～转，凯～
璇	suan2	
选	suan3	
算	suan5	
蒜	suan5	
冠	kuan1	～军，衣冠
观	kuan1	
关	kuan1	
官	kuan1	
棺	kuan1	
鹃	kuan1	
鳏	kuan1	
权	kuan2	
颧	kuan2	～骨
管	kuan3	
馆	kuan3	
卷	kuan3	～动
贯	kuan5	
惯	kuan5	
灌	kuan5	
罐	kuan5	
眷	kuan5	
卷	kuan5	考～
倦	kuan5	
观	kuan5	贞～
宽	kʰuan1	
圈	kʰuan1	
环	kʰuan2	白读，～绕
款	kʰuan3	
劝	kʰuan5	
原	ɡuan2	
源	ɡuan2	
阮	ɡuan3	
玩	ɡuan3	
顽	ɡuan3	
愿	ɡuan5	
欢	huan1	
番	huan1	
翻	huan1	
幡	huan1	
藩	huan1	曾国～
吩	huan1	白读，～咐
凡	huan2	
矾	huan2	
帆	huan2	
还	huan2	
环	huan2	玉～（地名）
寰	huan2	
烦	huan2	
桓	huan2	
繁	huan2	
烦	huan2	
樊	huan2	
宦	huan2	
梵	huan2	
反	huan3	
返	huan3	
犯	huan4	
范	huan4	
浣	huan4	
患	huan4	
泛	huan4	
幻	huan4	
饭	huan5	
贩	huan5	
唤	huan5	
焕	huan5	
换	huan5	
涣	huan5	
絭	huan5	
□	huan5	形容有弹性
弯	uan1	
湾	uan1	
冤	uan1	
鸳	uan1	
园	uan2	
圆	uan2	
员	uan2	
元	uan2	
完	uan2	
丸	uan2	
纨	uan2	
袁	uan2	
猿	uan2	
院	uan2	
宛	uan3	
惋	uan3	
碗	uan3	
婉	uan3	
豌	uan3	
腕	uan3	
琬	uan3	
剜	uan3	
苑	uan3	
畹	uan3	
远	uan3	
皖	uan3	
缓	uan4	
援	uan4	
怨	uan5	
邦	paŋ1	
崩	paŋ1	白读
枋	paŋ1	木板
房	paŋ2	白读
缝	paŋ2	白读
蚌	paŋ3	
绑	paŋ3	
放	paŋ5	
乓	pʰaŋ1	
芳	pʰaŋ1	白读，香
蜂	pʰaŋ1	白读
篷	pʰaŋ2	船～
庞	pʰaŋ2	
冯	pʰaŋ2	
□	pʰaŋ2	双手用盘端东西
彭	pʰaŋ2	
纺	pʰaŋ3	白读
缝	pʰaŋ5	白读，裂缝
蠓	baŋ3	白读，蚊子
网	baŋ4	白读
梦	baŋ5	白读
冬	taŋ1	白读
东	taŋ1	白读
当	taŋ1	白读，～心
铛	taŋ1	
同	taŋ2	白读，相～
铜	taŋ2	白读
筒	taŋ2	白读，大骹～：小腿浮肿
董	taŋ3	白读，古～
重	taŋ4	白读，轻～
动	taŋ4	白读，活～
冻	taŋ5	白读
窗	tʰaŋ1	白读，～：窗戶
虫	tʰaŋ2	白读
桐	tʰaŋ2	白读，～油
桶	tʰaŋ3	白读
□	laŋ1	胳～骹：腋下
□	laŋ1	疏～：稀疏
脓	laŋ2	白读
侬	laŋ2	人
郎	laŋ2	白读，新～
聋	laŋ2	白读
砻	laŋ2	
笼	laŋ3	白读
笼	laŋ4	白读，放筷子的家具
弄	laŋ5	白读，戏～
棕	tsaŋ1	白读
鬃	tsaŋ1	白读，马～
脏	tsaŋ1	
株	tsaŋ2	白读，一～树
粽	tsaŋ5	白读
葱	tsʰaŋ1	白读
苍	tsʰaŋ1	白读，染～：一种深蓝颜色
耸	tsʰaŋ5	白读，头毛～～：头发蓬松四散
松	saŋ1	白读，放～
双	saŋ1	白读
桑	saŋ1	白读
送	saŋ5	白读
江	kaŋ1	
工	kaŋ1	白读，～夫
公	kaŋ1	白读，雄性
蚣	kaŋ1	白读，蜈～
讲	kaŋ3	
港	kaŋ3	
降	kaŋ3	下～
共	kaŋ3	相～：帮助
空	kʰaŋ1	白读
□	kʰaŋ5	抠
□	kʰaŋ5	～野：调皮，好玩耍
夯	haŋ1	
烘	haŋ1	白读
行	haŋ2	银～
降	haŋ2	投～
航	haŋ2	
杭	haŋ2	
项	haŋ4	
巷	haŋ5	
肮	aŋ1	
翁	aŋ1	白读，～某：夫妻
红	aŋ2	白读
洪	aŋ2	白读，～秀全
瓮	aŋ5	白读
谁	tiaŋ2	训读，“底侬”合音
漳	tsiaŋ1	白读，～州（地名）
涨	tsiaŋ3	
□	tsiaŋ4	纯粹
□	kʰiaŋ5	形容极好
扬	iaŋ2	白读
□	kʰuaŋ4	敲锣声
风	huaŋ1	白读，刮～
慌	huaŋ1	白读，～里～张
谎	huaŋ1	白读
针	tsən1	
箴	tsən1	
森	sən1	
参	sən1	海～，人～
斤	kən1	
巾	kən1	
根	kən1	
跟	kən1	
筋	kən1	
均	kən1	
钧	kən1	
近	kən4	
啃	kʰən1	
坤	kʰən1	
勤	kʰən2	
芹	kʰən2	～菜
恳	kʰən3	
银	ɡən2	
欣	hən1	
馨	hən1	
痕	hən2	
很	hən3	
狠	hən3	
恨	hən5	
恩	ən1	
殷	ən1	
□	ən2	字～：辈份；层
允	ən3	
隐	ən3	
稳	ən3	
□	ən5	波及
宾	pin1	
滨	pin1	
缤	pin1	
彬	pin1	
斌	pin1	
扁	pin1	白读，～担
贫	pin2	
频	pin2	
濒	pin2	
禀	pin3	
秉	pin3	
殡	pin5	
膑	pin5	
鬓	pin5	
槟	pin5	
频	pʰin2	又读
品	pʰin3	
□	pʰin3	鱼被捕后挣扎跳跃的样子
民	bin2	
眠	bin2	
岷	bin2	
闽	bin3	
敏	bin3	
闵	bin3	
悯	bin3	
面	bin5	
珍	tin1	
诊	tin1	
津	tin1	
尘	tin2	
藤	tin2	
沉	tin2	
陈	tin2	～茶叶，～列
镇	tin5	
阵	tin5	～势
圳	tin5	深～
朕	tin5	
□	tin5	蒸
□	tin5	点头
琛	tʰin1	
□	tʰin2	～酒：斟酒
□	tʰin5	对称
□	lin1	～酒：小口地饮酒
怜	lin2	
邻	lin2	
磷	lin2	
麟	lin2	
鳞	lin2	
林	lin2	
淋	lin2	
琳	lin2	
霖	lin2	
临	lin2	
凛	lin3	
廪	lin3	
恁	lin3	你们
吝	lin5	
佞	lin5	
□	lin5	刚睡着
真	tsin1	
斟	tsin1	
秦	tsin2	
震	tsin3	
振	tsin3	
赈	tsin3	
拯	tsin3	包～
枕	tsin3	～头
婶	tsin3	白读
□	tsin3	挤
尽	tsin4	
进	tsin5	
晋	tsin5	
烬	tsin5	
浸	tsin5	
亲	tsʰin1	
深	tsʰin1	
寝	tsʰin3	
侵	tsʰin3	
秤	tsʰin5	
称	tsʰin5	白读
凊	tsʰin5	冷，凉
新	sin1	
薪	sin1	
心	sin1	
芯	sin1	
申	sin1	
伸	sin1	
身	sin1	
辛	sin1	
锌	sin1	
神	sin2	
臣	sin2	
辰	sin2	
晨	sin2	
寻	sin2	
绳	sin2	
丞	sin2	～相
□	sin2	用手接落下的东西
迅	sin3	
审	sin3	
沈	sin3	～阳
讯	sin3	
汛	sin3	
□	sin4	～一下：思考一下
信	sin5	
慎	sin5	
剩	sin5	
甚	sin5	
人	zin2	
仁	zin2	
忍	zin3	
韧	zin3	
认	zin5	
任	zin5	
金	kin1	
今	kin1	
紧	kin3	
锦	kin3	
妗	kin4	
禁	kin5	
谨	kin5	
仅	kin5	
轻	kʰin1	
氢	kʰin1	
琴	kʰin2	
禽	kʰin2	
擒	kʰin2	
黔	kʰin2	
吟	ɡin2	～诗
熊	hin2	白读
眩	hin2	白读，头晕
因	in1	
茵	in1	
姻	in1	
阴	in1	
荫	in1	
音	in1	
□	in1	绕线
淹	in1	白读
寅	in2	
淫	in2	
引	in3	
饮	in3	
印	in5	
孕	in5	
分	pun1	白读，～开
奔	pun1	
□	pun2	～火：吹火
本	pun3	
笨	pun4	
粪	pun5	白读
潘	pʰun1	泔水
□	pʰun1	～珠：玉米
喷	pʰun5	
文	bun2	
汶	bun2	
纹	bun2	
雯	bun2	
门	bun2	
们	bun2	
扪	bun2	
闻	bun2	
吻	bun3	
刎	bun3	
问	bun5	
闷	bun5	
敦	tun1	
墩	tun1	
蹲	tun1	
盾	tun3	
囤	tun3	
顿	tun4	
钝	tun4	
盹	tun4	
遁	tun4	
吞	tʰun1	
屯	tʰun2	
豚	tʰun2	猪～：正在长大的小猪
唇	tʰun2	
填	tʰun5	白读，～海
□	lun1	以刀绕物切削：～甘蔗
仑	lun2	
沦	lun2	
伦	lun2	
轮	lun2	
论	lun2	～语
抡	lun2	
忍	lun3	白读
论	lun5	议～
嫩	lun5	
闰	lun5	～月
尊	tsun1	
遵	tsun1	
樽	tsun1	
谆	tsun1	
船	tsun2	白读
存	tsun2	
准	tsun3	
俊	tsun5	
春	tsʰun1	
村	tsʰun1	
皴	tsʰun1	
存	tsʰun2	白读，保留备用
蠢	tsʰun3	
寸	tsʰun5	
孙	sun1	
纯	sun2	
旬	sun2	
洵	sun2	
殉	sun2	
荀	sun2	
醇	sun2	
巡	sun2	
□	sun2	形容性格温顺
笋	sun3	
损	sun3	
榫	sun3	～头
舜	sun5	
瞬	sun5	
逊	sun5	
顺	sun5	
润	zun5	
军	kun1	
君	kun1	
群	kun2	
裙	kun2	
拳	kun2	
滚	kun3	
鲧	kun3	
棍	kun5	
郡	kun5	
昆	kʰun1	
琨	kʰun1	
鲲	kʰun1	
□	kʰun2	草～：稻草垛
捆	kʰun3	
菌	kʰun3	
困	kʰun5	
□	ɡun3	我们
昏	hun1	
婚	hun1	
分	hun1	
芬	hun1	
吩	hun1	
汾	hun1	
纷	hun1	
勋	hun1	
熏	hun1	
薰	hun1	
荤	hun1	
云	hun2	
魂	hun2	
坟	hun2	
焚	hun2	
浑	hun2	
珲	hun2	
粉	hun3	
奋	hun3	
混	hun4	
晕	hun4	
份	hun5	
忿	hun5	
氛	hun5	
训	hun5	
驯	hun5	
愤	hun5	
粪	hun5	
温	un1	
瘟	un1	
匀	un2	
耘	un2	
稳	un3	
□	un5	～一下：蘸一下
蕴	un5	
愠	un5	
运	un5	
酝	un5	
韵	un5	
兵	piŋ1	
冰	piŋ1	
平	piŋ2	
坪	piŋ2	
苹	piŋ2	
萍	piŋ2	
屏	piŋ2	
瓶	piŋ2	
朋	piŋ2	
凭	piŋ2	
丙	piŋ3	
炳	piŋ3	
饼	piŋ3	
秉	piŋ3	又读
禀	piŋ3	又读
並	piŋ5	
并	piŋ5	合～
柄	piŋ5	把～
病	piŋ5	
乒	pʰiŋ1	
评	pʰiŋ2	
彭	pʰiŋ2	
澎	pʰiŋ2	
膨	pʰiŋ2	
姘	pʰiŋ5	
拼	pʰiŋ5	
聘	pʰiŋ5	
明	biŋ2	
盟	biŋ2	
萌	biŋ2	
名	biŋ2	
铭	biŋ2	
孟	biŋ3	
猛	biŋ3	
蜢	biŋ3	
锰	biŋ3	
冥	biŋ3	
暝	biŋ3	
螟	biŋ3	
命	biŋ5	～令
丁	tiŋ1	
汀	tiŋ1	
灯	tiŋ1	
钉	tiŋ1	铁～
疔	tiŋ1	
盯	tiŋ1	
登	tiŋ1	
亭	tiŋ2	
婷	tiŋ2	
廷	tiŋ2	
庭	tiŋ2	
等	tiŋ3	
顶	tiŋ3	
鼎	tiŋ3	
锭	tiŋ4	
澄	tiŋ4	～清
定	tiŋ5	
钉	tiŋ5	～钉
订	tiŋ5	制～
厅	tʰiŋ1	
汀	tʰiŋ1	
听	tʰiŋ1	
呈	tʰiŋ2	
程	tʰiŋ2	
停	tʰiŋ2	
誊	tʰiŋ2	
滕	tʰiŋ2	
霆	tʰiŋ2	
挺	tʰiŋ3	
铤	tʰiŋ3	
艇	tʰiŋ3	
听	tʰiŋ5	～侯
□	liŋ1	的～：铃声
伶	liŋ2	
囹	liŋ2	
玲	liŋ2	
铃	liŋ2	
羚	liŋ2	
聆	liŋ2	
苓	liŋ2	
翎	liŋ2	
蛉	liŋ2	
龄	liŋ2	
零	liŋ2	
能	liŋ2	
龙	liŋ2	白读
宁	liŋ2	
凌	liŋ2	
陵	liŋ2	
另	liŋ2	～外
冷	liŋ3	
岭	liŋ3	
领	liŋ3	
菱	liŋ4	
令	liŋ5	
曾	tsiŋ1	～经
增	tsiŋ1	
憎	tsiŋ1	
僧	tsiŋ1	
征	tsiŋ1	
争	tsiŋ1	
睁	tsiŋ1	
挣	tsiŋ1	
狰	tsiŋ1	
筝	tsiŋ1	
贞	tsiŋ1	
侦	tsiŋ1	
桢	tsiŋ1	
祯	tsiŋ1	
精	tsiŋ1	
睛	tsiŋ1	
晶	tsiŋ1	
蒸	tsiŋ1	
钟	tsiŋ1	
□	tsiŋ1	白读，敲打
甄	tsiŋ1	
惩	tsiŋ1	
情	tsiŋ2	
晴	tsiŋ2	
整	tsiŋ3	
肿	tsiŋ3	白读
种	tsiŋ3	白读，～子
井	tsiŋ3	
静	tsiŋ4	
靖	tsiŋ4	
净	tsiŋ4	
正	tsiŋ5	
政	tsiŋ5	
证	tsiŋ5	
症	tsiŋ5	
众	tsiŋ5	白读
种	tsiŋ5	白读，～菜
青	tsʰiŋ1	
清	tsʰiŋ1	
蜻	tsʰiŋ1	
称	tsʰiŋ1	～呼
请	tsʰiŋ3	
□	tsʰiŋ5	穿
铳	tsʰiŋ5	一种旧式火器
生	siŋ1	
甥	siŋ1	
笙	siŋ1	
牲	siŋ1	
星	siŋ1	
腥	siŋ1	
声	siŋ1	
升	siŋ1	
成	siŋ2	
诚	siŋ2	
城	siŋ2	
承	siŋ2	
乘	siŋ2	
省	siŋ3	反～，浙江～
醒	siŋ3	～悟
盛	siŋ5	
胜	siŋ5	
性	siŋ5	
姓	siŋ5	
圣	siŋ5	
□	siŋ5	用双脚踩实东西
经	kiŋ1	
耕	kiŋ1	
弓	kiŋ1	白读
宫	kiŋ1	白读
荆	kiŋ1	
更	kiŋ1	三～，～改
庚	kiŋ1	
羹	kiŋ1	
京	kiŋ1	
惊	kiŋ1	
鲸	kiŋ1	
穷	kiŋ2	白读，～鬼
景	kiŋ3	
憬	kiŋ3	
境	kiŋ3	
耿	kiŋ3	
痉	kiŋ5	
警	kiŋ5	
竟	kiŋ5	
兢	kiŋ5	
竞	kiŋ5	
镜	kiŋ5	
劲	kiŋ5	
径	kiŋ5	
□	kiŋ5	
更	kiŋ5	～加
敬	kiŋ5	
儆	kiŋ5	
卿	kʰiŋ1	
钦	kʰiŋ1	
□	kʰiŋ1	过滤
筐	kʰiŋ1	白读
框	kʰiŋ1	白读
顷	kʰiŋ3	
倾	kʰiŋ3	～向
肯	kʰiŋ3	
□	kʰiŋ4	因病忌讳吃东西
虹	kʰiŋ5	
庆	kʰiŋ5	
罄	kʰiŋ5	～竹难书
迎	ɡiŋ2	
凝	ɡiŋ2	
硬	ɡiŋ4	
兴	hiŋ1	～起
兄	hiŋ1	
□	hiŋ1	以槌击水的动作
形	hiŋ2	
型	hiŋ2	
刑	hiŋ2	
邢	hiŋ2	
行	hiŋ2	～为
恒	hiŋ2	
衡	hiŋ2	
享	hiŋ3	
杏	hiŋ4	
幸	hiŋ5	
兴	hiŋ5	高～
行	hiŋ5	品～
应	iŋ1	～该
鹰	iŋ1	
莺	iŋ1	
英	iŋ1	
瑛	iŋ1	
婴	iŋ1	
缨	iŋ1	
樱	iŋ1	
鹦	iŋ1	
荣	iŋ2	
营	iŋ2	
萤	iŋ2	
荧	iŋ2	
萦	iŋ2	
茔	iŋ2	
盈	iŋ2	
赢	iŋ2	
瀛	iŋ2	
永	iŋ3	白读，～古：永久
影	iŋ3	
用	iŋ5	白读
佣	iŋ5	白读
应	iŋ5	答～
映	iŋ5	
颖	iŋ5	
泳	iŋ5	
咏	iŋ5	
□	iŋ5	灌溉
帮	pɔŋ1	
梆	pɔŋ1	
旁	pɔŋ2	
房	pɔŋ2	
傍	pɔŋ2	
膀	pɔŋ2	
彷	pɔŋ2	
榜	pɔŋ3	
磅	pɔŋ3	
□	pɔŋ4	米煮滚后溢出
□	pɔŋ4	消息很快传开
谤	pɔŋ4	
泵	pɔŋ4	
蓬	pʰɔŋ2	
捧	pʰɔŋ3	
碰	pʰɔŋ5	
□	pʰɔŋ5	凸出来
亡	bɔŋ2	
忙	bɔŋ2	
芒	bɔŋ2	
茫	bɔŋ2	
虻	bɔŋ2	
蒙	bɔŋ2	
朦	bɔŋ2	
莽	bɔŋ3	
蟒	bɔŋ3	
网	bɔŋ3	
懵	bɔŋ3	～懂
妄	bɔŋ3	～来：乱来，蛮干
梦	bɔŋ5	
望	bɔŋ5	
□	tɔŋ1	
冬	tɔŋ1	
当	tɔŋ1	应～
裆	tɔŋ1	
铛	tɔŋ1	
同	tɔŋ2	
筒	tɔŋ2	
桐	tɔŋ2	
铜	tɔŋ2	
唐	tɔŋ2	
塘	tɔŋ2	
堂	tɔŋ2	
膛	tɔŋ2	
童	tɔŋ2	
潼	tɔŋ2	
僮	tɔŋ2	
瞳	tɔŋ2	
彤	tɔŋ2	
党	tɔŋ3	
董	tɔŋ3	
懂	tɔŋ3	
动	tɔŋ4	
洞	tɔŋ5	
荡	tɔŋ5	
冻	tɔŋ5	
栋	tɔŋ5	
当	tɔŋ5	～真
挡	tɔŋ5	
通	tʰɔŋ1	
统	tʰɔŋ3	
桶	tʰɔŋ3	
捅	tʰɔŋ3	
倘	tʰɔŋ3	
痛	tʰɔŋ5	
农	lɔŋ2	
浓	lɔŋ2	
脓	lɔŋ2	
隆	lɔŋ2	
狼	lɔŋ2	
郎	lɔŋ2	
廊	lɔŋ2	
榔	lɔŋ2	
龙	lɔŋ2	
笼	lɔŋ2	
垄	lɔŋ2	
拢	lɔŋ3	
陇	lɔŋ3	
朗	lɔŋ3	
琅	lɔŋ3	
弄	lɔŋ5	
浪	lɔŋ5	
宗	tsɔŋ1	
综	tsɔŋ1	
踪	tsɔŋ1	
棕	tsɔŋ1	
庄	tsɔŋ1	
奘	tsɔŋ1	
装	tsɔŋ1	
藏	tsɔŋ2	
总	tsɔŋ3	
壮	tsɔŋ5	
状	tsɔŋ5	
葬	tsɔŋ5	
粽	tsɔŋ5	
仓	tsʰɔŋ1	
苍	tsʰɔŋ1	
沧	tsʰɔŋ1	
舱	tsʰɔŋ1	
疮	tsʰɔŋ1	
聪	tsʰɔŋ1	
匆	tsʰɔŋ1	
葱	tsʰɔŋ1	
丛	tsʰɔŋ2	～书
创	tsʰɔŋ5	
松	sɔŋ1	
双	sɔŋ1	
丧	sɔŋ1	婚～
桑	sɔŋ1	
霜	sɔŋ1	
孀	sɔŋ1	
爽	sɔŋ3	
宋	sɔŋ5	
送	sɔŋ5	
颂	sɔŋ5	
诵	sɔŋ5	
光	kɔŋ1	
工	kɔŋ1	
功	kɔŋ1	
攻	kɔŋ1	
缸	kɔŋ1	
公	kɔŋ1	
蚣	kɔŋ1	
狂	kɔŋ2	
诳	kɔŋ2	
逛	kɔŋ2	
广	kɔŋ3	
讲	kɔŋ3	白读，～话
栱	kɔŋ3	米～：量米的器具
贡	kɔŋ5	
杠	kɔŋ5	
拱	kɔŋ5	
空	kʰɔŋ1	
匡	kʰɔŋ1	
框	kʰɔŋ1	
康	kʰɔŋ1	
慷	kʰɔŋ1	
糠	kʰɔŋ1	
□	kʰɔŋ2	～工夫：浪费、担搁时间
□	kʰɔŋ2	窑
孔	kʰɔŋ3	
矿	kʰɔŋ5	
旷	kʰɔŋ5	
抗	kʰɔŋ5	
空	kʰɔŋ5	亏～
控	kʰɔŋ5	
昂	ɡɔŋ2	
戆	ɡɔŋ5	笨，傻
方	hɔŋ1	
肪	hɔŋ1	
芳	hɔŋ1	
风	hɔŋ1	
讽	hɔŋ1	
枫	hɔŋ1	
丰	hɔŋ1	
封	hɔŋ1	
峰	hɔŋ1	
蜂	hɔŋ1	
锋	hɔŋ1	
烽	hɔŋ1	
荒	hɔŋ1	
慌	hɔŋ1	
谎	hɔŋ1	
红	hɔŋ2	
鸿	hɔŋ2	
逢	hɔŋ2	
缝	hɔŋ2	
防	hɔŋ2	
弘	hɔŋ2	
宏	hɔŋ2	
虹	hɔŋ2	
洪	hɔŋ2	
皇	hɔŋ2	
蝗	hɔŋ2	
凰	hɔŋ2	
徨	hɔŋ2	
黄	hɔŋ2	
簧	hɔŋ2	
□	hɔŋ2	毒蛇的毒液
仿	hɔŋ3	
纺	hɔŋ3	
访	hɔŋ3	
恍	hɔŋ3	
晃	hɔŋ3	
幌	hɔŋ3	
轰	hɔŋ4	
况	hɔŋ5	
放	hɔŋ5	
奉	hɔŋ5	
俸	hɔŋ5	
凤	hɔŋ5	
缝	hɔŋ5	裂～
翁	ɔŋ1	
汪	ɔŋ1	
□	ɔŋ1	玩耍时因不满而变脸
□	ɔŋ1	持槌状物击桩；以锄头敲打土块
王	ɔŋ2	
□	ɔŋ2	～侬：逗笑人；～客：只问价钱不购买的顾客
往	ɔŋ3	
枉	ɔŋ3	
旺	ɔŋ5	
□	ɔŋ5	腿陷入泥中
中	tiɔŋ1	
忠	tiɔŋ1	
衷	tiɔŋ1	～心
张	tiɔŋ1	
长	tiɔŋ2	～短
重	tiɔŋ2	～复
场	tiɔŋ2	
肠	tiɔŋ2	
长	tiɔŋ3	生～
重	tiɔŋ4	～要
仲	tiɔŋ4	
中	tiɔŋ5	～壮元
胀	tiɔŋ5	
衷	tʰiɔŋ1	苦～
虫	tʰiɔŋ2	
冢	tʰiɔŋ3	
宠	tʰiɔŋ3	
丈	tʰiɔŋ4	
仗	tʰiɔŋ4	
杖	tʰiɔŋ4	
畅	tʰiɔŋ4	舒～
畅	tʰiɔŋ5	白读，高兴
良	liɔŋ2	
粮	liɔŋ2	
凉	liɔŋ2	
梁	liɔŋ2	
粱	liɔŋ2	
量	liɔŋ2	测～
两	liɔŋ3	
俩	liɔŋ3	
辆	liɔŋ3	
量	liɔŋ5	重～
谅	liɔŋ5	
亮	liɔŋ5	
章	tsiɔŋ1	
漳	tsiɔŋ1	
樟	tsiɔŋ1	
彰	tsiɔŋ1	
障	tsiɔŋ1	
璋	tsiɔŋ1	
终	tsiɔŋ1	
将	tsiɔŋ1	～军
锺	tsiɔŋ1	
钟	tsiɔŋ1	
盅	tsiɔŋ1	
□	tsiɔŋ1	～搁：做
从	tsiɔŋ2	服～，～容
种	tsiɔŋ3	～类
掌	tsiɔŋ3	
奖	tsiɔŋ3	
蒋	tsiɔŋ3	
将	tsiɔŋ5	大～
状	tsiɔŋ5	白读，～元
充	tsʰiɔŋ1	
冲	tsʰiɔŋ1	
昌	tsʰiɔŋ1	
猖	tsʰiɔŋ1	
枪	tsʰiɔŋ1	
锵	tsʰiɔŋ1	
墙	tsʰiɔŋ2	
闯	tsʰiɔŋ3	
抢	tsʰiɔŋ3	
像	tsʰiɔŋ4	
象	tsʰiɔŋ4	
匠	tsʰiɔŋ4	
倡	tsʰiɔŋ5	
唱	tsʰiɔŋ5	
□	tsʰiɔŋ5	乱闯
娼	tsʰiɔŋ5	
相	siɔŋ1	互～
厢	siɔŋ1	
湘	siɔŋ1	
箱	siɔŋ1	
商	siɔŋ1	
伤	siɔŋ1	
襄	siɔŋ1	
镶	siɔŋ1	
祥	siɔŋ2	
详	siɔŋ2	
翔	siɔŋ2	
常	siɔŋ2	
裳	siɔŋ2	
尝	siɔŋ2	
偿	siɔŋ2	
赏	siɔŋ3	
想	siɔŋ3	
相	siɔŋ5	宰～
上	siɔŋ5	
尚	siɔŋ5	
绒	ziɔŋ2	
茸	ziɔŋ2	
瓤	ziɔŋ2	
嚷	ziɔŋ3	
壤	ziɔŋ3	
让	ziɔŋ5	
弓	kiɔŋ1	
躬	kiɔŋ1	
宫	kiɔŋ1	
供	kiɔŋ1	～应，口～
恭	kiɔŋ1	
疆	kiɔŋ1	
僵	kiɔŋ1	
缰	kiɔŋ1	
姜	kiɔŋ1	鲜～
穷	kiɔŋ2	
强	kiɔŋ2	
琼	kiɔŋ2	
巩	kiɔŋ3	
共	kiɔŋ5	
姜	kʰiɔŋ1	姓
羌	kʰiɔŋ1	
恐	kʰiɔŋ3	
仰	ɡiɔŋ3	
凶	hiɔŋ1	
汹	hiɔŋ1	
