字音					
#i					
tʰ	[1]贪蛏 [2]潭痰 [3]毯 [5]探赚				
l	[1]跉{茧} [2]南蓝难兰 [3]缆□{第一人称复数，我们} [5]烂= [6]卵-				
ts	[1]针 [2]层- [3]斩 [5]站 [6]赞				
tsʰ	[1]参掺 [2]蚕田-塍{田} [3]产惨 [5]灿				
s	[1]三=山=杉=衫= [3]省-瘦-产= [5]散=				
k	[1]甘艰间奸苷柑 [2]含- [3]感 [5]干监				
kʰ	[1]牵 [2]黔{乌~~，黑压压} [3]砍 [5]勘嵌 [6]㨔{盖}				
g	[2]颜岩= [3]眼= [6]雁				
h	[1]蚶 [2]含函 [3]罕= [5]汉 [6]旱限				
∅	[1]安庵 [2]恒- [3]饮- [5]暗按 [6]岸				
#ian					
p	[1]编 [3]贬 [5]变= [6]便				
pʰ	[1]偏= [5]骗片				
b	[2]棉= [3]免敏				
t	[1]颠 [2]田=填 [3]点典 [5]□{住} [6]电垫				
tʰ	[1]天= [3]忝={煮~，煮得很熟} [6]垫=				
l	[1]蔫 [2]连莲粘黏 [3]敛脸碾=□{拧螺丝} [5]捻{摘} [6]殓念练				
ts	[1]尖煎 [2]前= [3]剪 [5]占战 [6]贱				
tsʰ	[1]千签 [2]延 [3]浅遣 [5]锓{刺戳}				
s	[1]鲜= [2]婵禅蝉 [3]癣陕 [5]渗- [6]善				
dz	[2]然 [3]染=				
k	[1]坚 [2]咸 [3]检减 [5]剑欠见= [6]建健				
kʰ	[1]铅谦 [2]虔 [3]肯犬 [5]劝欠 [6]俭				
g	[2]言严 [3]研= [5]慭{上瘾} [6]验				
h	[1]掀 [2]嫌 [3]显=险 [5]献= [6]现				
∅	[1]烟奄阉 [2]盐=延铅 [3]演 [5]厌 [6]炎				
#uan					
p	[1]般= [5]半=				
pʰ	[2]盘= [5]叛= [6]伴=				
b	[2]瞒= [3]晚=				
t	[1]端 [2]传= [3]短 [5]断={定} [6]段=传=				
tʰ	[1]湍 [2]团 [5]锻 [6]篆				
l	[2]鸾 [3]暖 [6]乱				
ts	[1]专 [2]全= [3]转= [5]钻= [6]撰				
tsʰ	[1]川= [2]□{准备} [3]喘= [5]串=				
s	[1]宣 [2]旋= [3]选 [5]算=				
k	[1]官=关= [2]权 [3]管= [5]罐惯 [6]倦				
kʰ	[1]圈 [2]环- [3]款 [5]劝=				
g	[2]原元 [6]愿				
h	[1]欢=翻番蕃 [2]凡烦 [3]反= [5]犯范 [6]幻				
∅	[1]弯冤 [2]馄完袁 [3]顽远= [5]怨				
#in					
p	[1]宾边 [2]贫 [3]禀扁- [5]鬓				
pʰ	[1]乒 [2]频 [3]品				
b	[2]民 [6]面=				
t	[1]珍- [2]斟-陈沉 [5]□{占位置} [6]镇				
tʰ	[1]□{漖~通，很稀} [2]滕-{斟} [5]媵{服从}				
l	[1]啉{喝} [2]邻林= [3]恁{第二人称复数，你们} [5]辗-{旋转}				
ts	[1]真 [2]秦婶 [3]枕震□{弟妹} [5]进浸 [6]尽				
tsʰ	[1]侵深亲 [3]寝 [5]秤凊{凉}				
s	[1]心参新身 [2]辰神 [3]审 [5]信 [6]肾				
dz	[2]人 [3]忍= [6]任认				
k	[1]今=金 [3]紧 [5]禁劲 [6]妗				
kʰ	[1]轻 [2]琴				
g	[2]吟 [3]锦 [5]囡{小孩子}				
h	[1]欣 [2]眩				
∅	[1]阴音 [2]寅 [3]□{第三人称复数，他们}尹引隐 [5]印 [6]孕				
#un					
p	[1]分- [2]㖹{吹} [3]本= [5]粪-□{皂□，肥皂} [6]笨				
pʰ	[1]潘{泔水} [5]喷				
b	[2]文 [3]吻 [6]问=				
