-a		
ts	[1]将{~来}浆章樟障□{阿~：这样}[3]蒋奖掌棠[5]将{上~}酱	
tsh	[1]枪昌川{股~：屁股}[2]墙[3]厂抢[5]唱倡[6]象像匠橡鞝{~鞋}	
s	[1]箱厢湘襄镶商伤相{~信}[2]详祥裳偿常[3]想鲞赏[5]相{~片}[6]上痒尚	
0	[1]央殃映秧=[2]羊洋烊{融化}杨阳扬疡[3]养[6]样	
-iuŋ		
p		
ph		
t		
th		
k	[1]宫躬弓[2]穷[6]共{~产党}供{~养}	
kh		
h	[1]凶胸[2]雄熊	
ts		
tsh		
s		
0	[1]雍庸甬[2]戎绒融茸容蓉□{宠}[3]允勇拥[5]蕹[6]用	
-uaŋ		
p	[1]般搬[2]盘盆[5]半[6]拌绊□{抽打}	
ph	[1]潘[5]判伴	
m	[2]鳗[3]满	
t	[1]端[3]短=[6]锻=断=	
th	[2]团	
l	[2]鸾恋銮[3]卵=[6]乱=	
k	[1]官棺观冠关=[3]管馆[5]贯灌罐惯=观{寺~}[6]掼{提}	
kh	[1]宽圈眶筐框[2]逛{~街}环[3]款	
ŋ	[2]顽[3]玩	
h	[1]欢藩翻番蕃[2]凡还=烦繁横矾帆=[3]反返[5]唤焕泛幻宦贩饭=[3]范範犯患	
ts	[3]钻{~石}壮{身体好}□{塞瓶口}[5]纂钻{~研}	
tsh	[1]穿=铨餐[3]喘[5]窜篡串{一~}	
s	[1]弯湾[3]宛豌婉蜿腕晚挽碗[6]换万	
0		
-uoŋ		
p	[1]分-[3]本苯[5]粪[6]饭-	
ph		
m	[2]门们[5]问-	
t		
th		
n	[3]软	
k	[1]关-光[2]权狂[3]广捲箢[5]卷[6]倦	
kh	[2]□{水~}[3]圹{華~}[5]旷{~工}劝矿	
ŋ	[2]原元{银~}源[6]愿愿	
h	[1]荒慌昏坊婚方芳肪[2]黄{姓}皇惶凰魂园[3]仿仿纺=晃恍[5]放=况[6]远-	
ts	[1]专砖[2]泉全	
tsh	[1]穿川	
s		
0	[1]汪冤[2]王黄丸圆=完忘员[3]蚓{猴~：蚯蚓}往枉网=远=䘼{袖子}[5]怨[6]望旺妄	
-uŋ		
p	[1]枋崩-[2]房篷烺{吹火}㖹{吹火}[5]畚{~斗}放-[6]笨	
ph	[1]喷蜂泔-□{膨胀}[2]蓬捧冯帆-[3]纺-[5]缝-{裂~}	
m	[2]蒙[3]懵[5]梦[6]闷焖	
