單字	松柏(調類)	松柏(調值)	注释
槐	wai4	wai²¹	
懷	wai4	wai²¹	
諧	hai4	hai²¹	
駭	huɔi4	huɔi²¹	
械	hai6	hai⁵²	
楷			楷樹
匯	wui6	wui⁵²	
劾			
揩	hai1	hai⁴⁵	
蒯			
殺	sai3	sai⁴⁴	殺哀
崽	ʦɐi2	ʦɐi²¹⁴	
湃	pai3	pai⁴⁴	
霾	mai4	mai²¹	
埋	mai4	mai²¹	
階	kai1	kai⁴⁵	
楷	kai1	kai⁴⁵	楷書
偕	kai1	kai⁴⁵	
皆	kai1	kai⁴⁵	
乖	kai1	kai⁴⁵	
介	kai3	kai⁴⁴	
誡	kai3	kai⁴⁴	
壞	wai6	wai⁵²	
怪	kai3	kai⁴⁴	
屆	kai3	kai⁴⁴	
芥	kai3	kai⁴⁴	
尬	kai3	kai⁴⁴	
界	kai3	kai⁴⁴	
戒	kai3	kai⁴⁴	
稭			
疥			
豺	ʦʰai4	ʦʰai²¹	
排	pʰai4	pʰai²¹	
憊	pʰai3	pʰai⁴⁴	
拜	pai3	pai⁴⁴	
瞖			
翳			
翳			
霓	ŋɐi4	ŋɐi²¹	
倪	ŋɐi4	ŋɐi²¹	
羿	ŋɐi6	ŋɐi⁵²	
詣			
棲	ʦʰɐi1	ʦʰɐi⁴⁵	
犀	sɐi1	sɐi⁴⁵	
撕	si1	si⁴⁵	
西	sɐi1	sɐi⁴⁵	
嘶			
洗	sɐi2	sɐi²¹⁴	
細	sɐi3	sɐi⁴⁴	
奚			
攜	kʰɐi4	kʰɐi²¹	
兮	jɐi5	jɐi²¹²	
畦			
繫	hɐi6	hɐi⁵²	聯繫
蕙	wɐi6	wɐi⁵²	
系	hɐi6	hɐi⁵²	
惠	wɐi6	wɐi⁵²	
慧	wɐi6	wɐi⁵²	
嵇			
蹊	kʰɐi1	kʰɐi⁴⁵	
稽			稽首
溪	kʰɐi1	kʰɐi⁴⁵	
睽	kʰɐi4	kʰɐi²¹	
谿	kʰɐi1	kʰɐi⁴⁵	
契	kʰɐi3	kʰɐi⁴⁴	契約
啓	kʰai2	kʰai²¹⁴	
奎			
梯	tʰɐi1	tʰɐi⁴⁵	
涕	tʰɐi3	tʰɐi⁴⁴	又读tʰɐi²¹²
體	tʰɐi2	tʰɐi²¹⁴	
剃	tʰɐi3	tʰɐi⁴⁴	
替	tʰɐi3	tʰɐi⁴⁴	
睇	tʰɐi2	tʰɐi²¹⁴	
妻	ʦʰɐi1	ʦʰɐi⁴⁵	
萋	ʦʰɐi1	ʦʰɐi⁴⁵	
淒	ʦʰɐi1	ʦʰɐi⁴⁵	
悽	ʦʰɐi1	ʦʰɐi⁴⁵	
砌	ʦʰɐi3	ʦʰɐi⁴⁴	又读ʦʰi⁴⁴
切	ʦʰɐi3	ʦʰɐi⁴⁴	一切
批	pʰɐi1	pʰɐi⁴⁵	
媲			
泥	nɐi4	nɐi²¹	泥土
泥			拘泥
迷	mɐi4	mɐi²¹	
米	mɐi5	mɐi²¹²	
謎	mɐi6	mɐi⁵²	
眯	mɐi3	mɐi⁴⁴	又读mi⁴⁵
犁	lɐi4	lɐi²¹	
黎	lɐi4	lɐi²¹	
豊	lɐi5	lɐi²¹²	
禮	lɐi5	lɐi²¹²	
捩			琵琶撥法
隸	tɐi6	tɐi⁵²	
戾			
蠡			
醴			
擠	ʦɐi1	ʦɐi⁴⁵	
濟			人才濟濟
濟	ʦɐi3	ʦɐi⁴⁴	救濟
圭	kɐi1	kɐi⁴⁵	
雞	kɐi1	kɐi⁴⁵	
閨	kɐi1	kɐi⁴⁵	
鮭	kɐi1	kɐi⁴⁵	
稽			無稽之談
髻	kɐi3	kɐi⁴⁴	
桂	kɐi3	kɐi⁴⁴	
計	kɐi3	kɐi⁴⁴	
繫			繫鞋帶
繼	kɐi3	kɐi⁴⁴	
係	hɐi6	hɐi⁵²	
珪			
柢	tɐi2	tɐi²¹⁴	
低	tɐi1	tɐi⁴⁵	
抵	tɐi2	tɐi²¹⁴	
牴	tɐi2	tɐi²¹⁴	
底	tɐi2	tɐi²¹⁴	
邸	tɐi2	tɐi²¹⁴	
帝	tɐi3	tɐi⁴⁴	
嚏	tʰɐi3	tʰɐi⁴⁴	
諦	tɐi3	tɐi⁴⁴	
詆	tɐi2	tɐi²¹⁴	
蹄	tʰɐi4	tʰɐi²¹	
啼	tʰɐi4	tʰɐi²¹	
締	tɐi3	tɐi⁴⁴	
題	tʰɐi4	tʰɐi²¹	
遞	tɐi6	tɐi⁵²	
弟	tɐi6	tɐi⁵²	
逮	tɐi6	tɐi⁵²	
第	tɐi6	tɐi⁵²	
娣	tʰɐi5	tʰɐi²¹²	又读tɐi⁵²
娣			
醍			
齊	ʦʰɐi4	ʦʰɐi²¹	整齊
臍	ʦʰi4	ʦʰi²¹	
薺			
蠐			
眥			
陛	pɐi6	pɐi⁵²	
閉	pɐi3	pɐi⁴⁴	
蓖			
箅			
篦			
藹	ʔuɔi2	ʔuɔi²¹⁴	
靄			
外	ŋuɔi6	ŋuɔi⁵²	
艾	ʔai3	ʔai⁴⁴	白读ŋɔi⁵²
又读ŋai⁵²
渙	fun6	fun⁵²	
會	wui6	wui⁵²	會面
繪	kʰui3	kʰui⁴⁴	
害	huɔi6	huɔi⁵²	
磕			
轄	hɐt9	hɐt⁵²	又读hat⁵²
汰	tʰai3	tʰai⁴⁴	
太	tʰai3	tʰai⁴⁴	
泰	tʰai3	tʰai⁴⁴	
蔡	ʦʰuɔi3	ʦʰuɔi⁴⁴	
奈	nuɔi6	nuɔi⁵²	
沫	mut9	mut⁵²	
籟	lai6	lai⁵²	
賴	lai6	lai⁵²	
癩	lai6	lai⁵²	
瀨	lai6	lai⁵²	
最	ʦui3	ʦui⁴⁴	
蓋	kuɔi3	kuɔi⁴⁴	杯蓋
蓋	kuɔi3	kuɔi⁴⁴	覆蓋
膾			
檜			
丐	kʰuɔi3	kʰuɔi⁴⁴	
會	wui6	wui⁵²	會計
劊			
鈣	kʰuɔi3	kʰuɔi⁴⁴	
帶	tai3	tai⁴⁴	
大	tai6	tai⁵²	
兌	tui6	tui⁵²	
貝	pui3	pui⁴⁴	
沛	pʰui3	pʰui⁴⁴	
狽	pui3	pui⁴⁴	
鋇	pui3	pui⁴⁴	
襖	ʔɐu3	ʔɐu⁴⁴	
懊	ʔɐu3	ʔɐu⁴⁴	
奧	ʔɐu3	ʔɐu⁴⁴	
澳	ʔɐu3	ʔɐu⁴⁴	
爊			
燠			
熬	ŋɐu4	ŋɐu²¹	白读ŋɐu⁵²
翱	ŋɐu4	ŋɐu²¹	
遨	ŋɐu4	ŋɐu²¹	
敖	ŋɐu4	ŋɐu²¹	
螯	ŋɐu4	ŋɐu²¹	
傲	ŋɐu6	ŋɐu⁵²	
燥	ʦʰɐu3	ʦʰɐu⁴⁴	
噪	ʦʰɐu3	ʦʰɐu⁴⁴	
臊	ʦʰɐu3	ʦʰɐu⁴⁴	
搔	sɐu1	sɐu⁴⁵	
騷	sɐu1	sɐu⁴⁵	
掃	sɐu3	sɐu⁴⁴	
嫂	sɐu2	sɐu²¹⁴	
撓	jau1	jau⁴⁵	
蒿	hɐu1	hɐu⁴⁵	
好	hɐu2	hɐu²¹⁴	友好
好	hɐu3	hɐu⁴⁴	好客
薅			
號	hɐu4	hɐu²¹	哀號
號	hɐu6	hɐu⁵²	號碼
豪	hɐu4	hɐu²¹	
毫	hɐu4	hɐu²¹	
浩	hɐu6	hɐu⁵²	
壕	hɐu4	hɐu²¹	
鎬	kɐu2	kɐu²¹⁴	
濠	hɐu4	hɐu²¹	
昊	hɐu6	hɐu⁵²	
考	hau2	hau²¹⁴	
靠	kʰɐu3	kʰɐu⁴⁴	又读kʰɐu⁴⁴
犒	kʰɐu3	kʰɐu⁴⁴	
滔	tʰɐu1	tʰɐu⁴⁵	
絛	tʰɐu1	tʰɐu⁴⁵	
叨	tɐu1	tɐu⁴⁵	叨擾
綢	ʦʰɐu4	ʦʰɐu²¹	
套	tʰɐu3	tʰɐu⁴⁴	
討	tʰɐu2	tʰɐu²¹⁴	
挑			挑達
操	ʦʰɐu1	ʦʰɐu⁴⁵	早操
操	ʦʰɐu1	ʦʰɐu⁴⁵	操行
草	ʦʰɐu2	ʦʰɐu²¹⁴	
造	ʦɐu6	ʦɐu⁵²	造訪
糙	ʦʰɐu3	ʦʰɐu⁴⁴	
腦	nɐu5	nɐu²¹²	
惱	nɐu5	nɐu²¹²	
毛	mɐu4	mɐu²¹	
髦	mɐu1	mɐu⁴⁵	
帽	mɐu6	mɐu⁵²	
冒	mɐu6	mɐu⁵²	冒犯
瑁			珪瑁
撈	lɐu1	lɐu⁴⁵	捞面
牢	lɐu4	lɐu²¹	
勞	lɐu4	lɐu²¹	勤勞
勞	lɐu4	lɐu²¹	慰勞
潦			流潦
老	lɐu5	lɐu²¹²	
獠	liu4	liu²¹	
糟	ʦɐu1	ʦɐu⁴⁵	
槽	ʦʰɐu4	ʦʰɐu²¹	
遭	ʦɐu1	ʦɐu⁴⁵	
棗	ʦɐu2	ʦɐu²¹⁴	
藻	ʦɐu2	ʦɐu²¹⁴	
蚤	ʦɐu2	ʦɐu²¹⁴	
早	ʦɐu2	ʦɐu²¹⁴	
澡	ʦʰɐu3	ʦʰɐu⁴⁴	
躁	ʦʰɐu3	ʦʰɐu⁴⁴	
膏	kɐu1	kɐu⁴⁵	
高	kɐu1	kɐu⁴⁵	
羔	kɐu1	kɐu⁴⁵	
篙	kɐu1	kɐu⁴⁵	
咎	kɐu3	kɐu⁴⁴	
告	kɐu3	kɐu⁴⁴	報告
刀	tɐu1	tɐu⁴⁵	
擣	tɐu2	tɐu²¹⁴	
島	tɐu2	tɐu²¹⁴	
倒	tɐu3	tɐu⁴⁴	
倒	tɐu2	tɐu²¹⁴	
禱	tɐu2	tɐu²¹⁴	
到	tɐu3	tɐu⁴⁴	
掏	tʰɐu4	tʰɐu²¹	
逃	tʰɐu4	tʰɐu²¹	
桃	tʰɐu4	tʰɐu²¹	
啕	tʰɐu4	tʰɐu²¹	
濤	tʰɐu4	tʰɐu²¹	又读tʰɐu⁴⁵
萄	tʰɐu4	tʰɐu²¹	
道	tɐu6	tɐu⁵²	
稻	tɐu6	tɐu⁵²	
悼	tɐu6	tɐu⁵²	
蹈	tɐu6	tɐu⁵²	舞蹈
蹈	tʰɐu1	tʰɐu⁴⁵	重蹈覆辙
導	tɐu6	tɐu⁵²	
盜	tɐu6	tɐu⁵²	
陶	tʰɐu4	tʰɐu²¹	陶瓷
嘈	ʦʰɐu4	ʦʰɐu²¹	
曹	ʦʰɐu4	ʦʰɐu²¹	
造	ʦɐu6	ʦɐu⁵²	製造
造			新造
袍	pʰɐu4	pʰɐu²¹	
抱	pʰɐu5	pʰɐu²¹²	
暴	pɐu6	pɐu⁵²	凶暴
曝			
菢			
褒	pɐu1	pɐu⁴⁵	
寶	pɐu2	pɐu²¹⁴	
堡	pɐu2	pɐu²¹⁴	
保	pɐu2	pɐu²¹⁴	
葆	pɐu2	pɐu²¹⁴	
褓	pɐu2	pɐu²¹⁴	
報	pɐu3	pɐu⁴⁴	
鴇			
昭	ʦʰiu1	ʦʰiu⁴⁵	
招	ʦiu1	ʦiu⁴⁵	
沼	ʦiu2	ʦiu²¹⁴	
照	ʦiu3	ʦiu⁴⁴	
詔	ʦiu3	ʦiu⁴⁴	
釗	ʦʰiu1	ʦʰiu⁴⁵	
要	jiu1	jiu⁴⁵	要求
要	jiu3	jiu⁴⁴	要點
腰	jiu1	jiu⁴⁵	
約	jiɛk8	jiɛk³	
遙	jiu4	jiu²¹	
瑤	jiu4	jiu²¹	
搖	jiu4	jiu²¹	
陶			皋陶
謠	jiu4	jiu²¹	
窯	jiu4	jiu²¹	
姚	jiu4	jiu²¹	
曜	jiu6	jiu⁵²	
耀	jiu6	jiu⁵²	
肖	ʦʰiu3	ʦʰiu⁴⁴	生肖
肖	siu1	siu⁴⁵	姓肖
鞘	ʦʰiu3	ʦʰiu⁴⁴	
消	siu1	siu⁴⁵	
宵	siu1	siu⁴⁵	
逍	siu1	siu⁴⁵	
哨	sau3	sau⁴⁴	
霄	siu1	siu⁴⁵	
銷	siu1	siu⁴⁵	
硝	siu1	siu⁴⁵	
小	siu2	siu²¹⁴	
笑	siu3	siu⁴⁴	
蹺	kʰiu3	kʰiu⁴⁴	白读kʰiɐu²¹²
燒	siu1	siu⁴⁵	
少	siu2	siu²¹⁴	多少
少	siu3	siu⁴⁴	年少
饒	jiu4	jiu²¹	
蟯			
擾	jiu2	jiu²¹⁴	
繞	jiu2	jiu²¹⁴	又读jiu²¹²
翹	kʰiu4	kʰiu²¹	翹首
翹	kʰiu3	kʰiu⁴⁴	白读kʰiɐu²¹²
悄	ʦʰiu1	ʦʰiu⁴⁵	
峭	ʦʰiu3	ʦʰiu⁴⁴	
俏	ʦʰiu3	ʦʰiu⁴⁴	
鍬			
繰			
漂	pʰiu1	pʰiu⁴⁵	漂泊
漂	pʰiu3	pʰiu⁴⁴	漂亮
瞟			
鏢	piu1	piu⁴⁵	
縹	pʰiu1	pʰiu⁴⁵	
眇	miu5	miu²¹²	
渺	miu5	miu²¹²	
吵	ʦʰɐu4	ʦʰɐu²¹	吵闹
吵	ʦʰau3	ʦʰau⁴⁴	吵耳
秒	miu5	miu²¹²	
妙	miu6	miu⁵²	
藐	miu5	miu²¹²	
燎	liu4	liu²¹	
療	liu4	liu²¹	
蕉	ʦiu1	ʦiu⁴⁵	
焦	ʦiu1	ʦiu⁴⁵	
椒	ʦiu1	ʦiu⁴⁵	
剿	ʦiu2	ʦiu²¹⁴	
醮	ʦiu1	ʦiu⁴⁵	
憔	ʦʰiu4	ʦʰiu²¹	
樵	ʦʰiu4	ʦʰiu²¹	
韶	siu4	siu²¹	
紹	siu6	siu⁵²	
劭	siu6	siu⁵²	
邵	siu6	siu⁵²	
召			召南
瓢	pʰɐu4	pʰɐu²¹	
飄	pʰiu1	pʰiu⁴⁵	
嫖	pʰiu4	pʰiu²¹	
鰾	piu1	piu⁴⁵	
飆	piu1	piu⁴⁵	
標	piu1	piu⁴⁵	
飈	piu1	piu⁴⁵	
朝	ʦiu1	ʦiu⁴⁵	朝夕
妖	jiu1	jiu⁴⁵	
夭	jiu1	jiu⁴⁵	
囂	hiu1	hiu⁴⁵	
枵			
橋	kʰiu4	kʰiu²¹	
轎	kiu6	kiu⁵²	
僑	kʰiu4	kʰiu²¹	
描	miu4	miu²¹	
苗	miu4	miu²¹	
貓	miɐu1	miɐu⁴⁵	
廟	miu6	miu⁵²	
驕	kiu1	kiu⁴⁵	
喬	kʰiu4	kʰiu²¹	
嬌	kiu1	kiu⁴⁵	
矯	kiu2	kiu²¹⁴	
兆	siu6	siu⁵²	
朝	ʦʰiu4	ʦʰiu²¹	朝廷
潮	ʦʰiu4	ʦʰiu²¹	
晁			
趙	ʦiu6	ʦiu⁵²	
召	ʦiu6	ʦiu⁵²	召喚
超	ʦʰiu1	ʦʰiu⁴⁵	
鑣			
表	piu2	piu²¹⁴	
臕			
婊	piu2	piu²¹⁴	
裱	piu2	piu²¹⁴	
杳	miu5	miu²¹²	
窈	jiu2	jiu²¹⁴	
堯	jiu4	jiu²¹	
僥			僬僥，短人，西南夷別名
筱	siu1	siu⁴⁵	
蕭	siu1	siu⁴⁵	
艘	sɐu2	sɐu²¹⁴	
簫	siu1	siu⁴⁵	
嘯	siu3	siu⁴⁴	
曉	hiu2	hiu²¹⁴	
竅	kʰiu3	kʰiu⁴⁴	
撬	kiu6	kiu⁵²	
挑	tʰiu1	tʰiu⁴⁵	挑水,白读tʰiɐu⁴⁵
眺	tʰiu3	tʰiu⁴⁴	
糶			
尿	niɐu6	niɐu⁵²	
聊	liu4	liu²¹	
撩	liɐu4	liɐu²¹	
嘹	liu4	liu²¹	
瞭	liu4	liu²¹	瞭望
瞭	liu4	liu²¹	明瞭
遼	liu4	liu²¹	
料	liu6	liu⁵²	
繚	liu4	liu²¹	
寥	liu4	liu²¹	
僚	liu4	liu²¹	
廖	liu6	liu⁵²	
寮	liu4	liu²¹	
了	liu5	liu²¹²	
鐐	liu4	liu²¹	
邀	jiu1	jiu⁴⁵	
驍	hiu2	hiu²¹⁴	
澆			
僥	hiu1	hiu⁴⁵	僥倖
繳	kiu2	kiu²¹⁴	
皎	kau2	kau²¹⁴	
激	kɪk7	kɪk⁴	
叫	kiu3	kiu⁴⁴	
刁	tiu1	tiu⁴⁵	
雕	tiu1	tiu⁴⁵	
凋	tiu1	tiu⁴⁵	
貂	tiu1	tiu⁴⁵	
鵰	tiu1	tiu⁴⁵	
鳥	niɐu5	niɐu²¹²	
弔	tiu3	tiu⁴⁴	
釣	tiu3	tiu⁴⁴	
鯛			
屌	tiu2	tiu²¹⁴	
迢	tʰiu4	tʰiu²¹	
跳	tʰiu3	tʰiu⁴⁴	
調	tiu4	tiu²¹	調味
調	tiu6	tiu⁵²	調動，又读tʰiu²¹
條	tʰiu4	tʰiu²¹	
掉	tiu6	tiu⁵²	
窕	tiu6	tiu⁵²	
抓	ʦa1	ʦa⁴⁵	白读ja⁴⁵
爪	ʦau2	ʦau²¹⁴	
笊			
嘲	ʦau1	ʦau⁴⁵	
啁			
罩	ʦau3	ʦau⁴⁴	
坳	ʔau3	ʔau⁴⁴	
拗	ʔau2	ʔau²¹⁴	动词
詏	au3	au⁴⁴	詏交
樂			仁者樂山
哮	hau1	hau⁴⁵	
孝	hau3	hau⁴⁴	
餚	ŋau4	ŋau²¹	
淆	ŋau4	ŋau²¹	
肴			
校	hau6	hau⁵²	學校
效	hau6	hau⁵²	
姣	hau4	hau²¹	發姣
爻			
跤	kau1	kau⁴⁵	
敲	hau1	hau⁴⁵	
巧	hau2	hau²¹⁴	又读kʰiu²¹⁴
梢	sau1	sau⁴⁵	
稍	sau2	sau²¹⁴	
潲	sau3	sau⁴⁴	
捎			
炮	pʰau3	pʰau⁴⁴	炮彈
泡	pʰau3	pʰau⁴⁴	浸泡
拋	pʰau1	pʰau⁴⁵	
皰	pʰau3	pʰau⁴⁴	
鬧	nau6	nau⁵²	
鐃			
茅	mau4	mau²¹	
卯	mau5	mau²¹²	
貌	mɐu6	mɐu⁵²	
昴			
交	kau1	kau⁴⁵	
蛟	kau2	kau²¹⁴	
教			讓
教	kau3	kau⁴⁴	教室
咬	ŋau5	ŋau²¹²	
郊	kau1	kau⁴⁵	
膠	kau1	kau⁴⁵	
攪	kau2	kau²¹⁴	
絞	kau2	kau²¹⁴	
狡	kau2	kau²¹⁴	
覺	kau3	kau⁴⁴	睡覺
較	kau3	kau⁴⁴	白读kɐu⁴⁴
酵	hau1	hau⁴⁵	
窖	kau3	kau⁴⁴	
校	kau3	kau⁴⁴	校對
鉸	kau3	kau⁴⁴	
姣			姣好
鈔	ʦʰau3	ʦʰau⁴⁴	
抄	ʦʰau1	ʦʰau⁴⁵	
炒	ʦʰau2	ʦʰau²¹⁴	
縐	ʦɐu3	ʦɐu⁴⁴	
巢	ʦʰau4	ʦʰau²¹	
濯			
嘮	lɐu4	lɐu²¹	
跑	pʰau2	pʰau²¹⁴	
炮			炮製
咆	pʰau4	pʰau²¹	
鮑	pau1	pau⁴⁵	鮑魚
鮑			鮑魚之肆
庖			
胞	pau1	pau⁴⁵	
苞	pau1	pau⁴⁵	
包	pau1	pau⁴⁵	
飽	pau2	pau²¹⁴	
豹	pau3	pau⁴⁴	
爆	pau3	pau⁴⁴	
氾	fan3	fan⁴⁴	氾濫
泛	fan3	fan⁴⁴	
帆	fan4	fan²¹	
凡	fan4	fan²¹	
氾			氾姓
犯	fan6	fan⁵²	
範	fan6	fan⁵²	
范	fan6	fan⁵²	
乏	fat9	fat⁵²	
法	fat8	fat³	
庵	ʔɐm1	ʔɐm⁴⁵	
諳	ʔɐm1	ʔɐm⁴⁵	
暗	ʔɐm3	ʔɐm⁴⁴	
哈	ha1	ha⁴⁵	
卅	sa6	sa⁵²	
函	hɐm4	hɐm²¹	
涵	hɐm4	hɐm²¹	
含	hɐm4	hɐm²¹	
撼	ham6	ham⁵²	
憾	ham6	ham⁵²	
盒	hɐp9	hɐp⁵²	
合	hɐp9	hɐp⁵²	合格
頷			
堪	hɐm1	hɐm⁴⁵	
龕			
坎	hɐm2	hɐm²¹⁴	
勘	hɐm3	hɐm⁴⁴	
磡	hɐm1	hɐm⁴⁵	又读hɐm⁴⁴
探	tʰam3	tʰam⁴⁴	
貪	tʰam1	tʰam⁴⁵	
踏	tap9	tap⁵²	
參	ʦʰam1	ʦʰam⁴⁵	參加
慘	ʦʰam2	ʦʰam²¹⁴	
南	nam4	nam²¹	
楠	nam4	nam²¹	
男	nam4	nam²¹	
納	nap9	nap⁵²	
衲	nap9	nap⁵²	
嵐	lam4	lam²¹	
婪	lam4	lam²¹	
纜	lam6	lam⁵²	
摺	ʦip8	ʦip³	
拉	lai1	lai⁴⁵	
簪	ʦam1	ʦam⁴⁵	
弇			
感	kɐm2	kɐm²¹⁴	又读kɐm²¹⁴
鴿	kap8	kap³	
閤			邊門
蛤	kɐp7	kɐp⁴	圓蛤
合			
贛	kʊŋ3	kʊŋ⁴⁴	江西省的簡稱
耽	tam1	tam⁴⁵	
答	tap8	tap³	
譚	tʰam4	tʰam²¹	
眈	tam1	tam⁴⁵	
潭	tʰam4	tʰam²¹	
沓	tʰap9	tʰap⁵²	又读tʰap³
覃			覃思
蠶	ʦʰam4	ʦʰam²¹	
雜	ʦap9	ʦap⁵²	
參	sam1	sam⁴⁵	三的大寫
三	sam1	sam⁴⁵	
叄			
憨	kɐm2	kɐm²¹⁴	
喊	ham3	ham⁴⁴	
蚶			
酣	hɐm1	hɐm⁴⁵	
嗑	hɐp7	hɐp⁴	
闔	hɐp9	hɐp⁵²	
盍			
邯			
瞰	kɐm2	kɐm²¹⁴	
毯	tʰam2	tʰam²¹⁴	
榻	tʰap8	tʰap³	
搭	tap8	tap³	
塔	tʰap8	tʰap³	
坍	tʰan1	tʰan⁴⁵	
遢	tʰap8	tʰap³	
藍	lam4	lam²¹	
籃	lam4	lam²¹	
攬	lam5	lam²¹²	
覽	lam5	lam²¹²	
欖	lam5	lam²¹²	
臘	lap9	lap⁵²	
蠟	lap9	lap⁵²	
鑞			
邋	lat8	lat³	
柑	kɐm1	kɐm⁴⁵	
甘	kɐm1	kɐm⁴⁵	
橄	kɐm2	kɐm²¹⁴	
敢	kɐm2	kɐm²¹⁴	
砝	fat8	fat³	
閘	ʦap9	ʦap⁵²	
泔			
擔	tam1	tam⁴⁵	擔水
擔	tam3	tam⁴⁴	重擔
膽	tam2	tam²¹⁴	
搨			
耷	tap8	tap³	
淡	tam6	tam⁵²	冷淡
淡	tʰam5	tʰam²¹²	白讀
談	tʰam4	tʰam²¹	
痰	tʰam4	tʰam²¹	
澹	tam6	tam⁵²	
蹋	tʰap9	tʰap⁵²	
慚	ʦʰam4	ʦʰam²¹	
暫	ʦam6	ʦam⁵²	
嫌	jim4	jim²¹	
挾	hip9	hip⁵²	
俠	hap9	hap⁵²	
協	hip8	hip³	
謙	him1	him⁴⁵	
歉	hip8	hip³	
愜	hip8	hip³	
添	tʰim1	tʰim⁴⁵	
帖	tʰip8	tʰip³	
蝶	tiɐp9	tiɐp⁵²	
貼	tʰip8	tʰip³	
忝			
㮇			
唸			吟誦
拈	ʦin1	ʦin⁴⁵	拈花惹草
念	nim6	nim⁵²	
鮎	niɐm4	niɐm²¹	
捻			
浹			
僭			
兼	kim1	kim⁴⁵	
頰	kap8	kap³	
莢	kap8	kap³	
蒹	kim1	kim⁴⁵	
佔	ʦim3	ʦim⁴⁴	
玷	tim3	tim⁴⁴	
點	tim2	tim²¹⁴	
店	tim3	tim⁴⁴	
墊	tin3	tin⁴⁴	
掂	tim6	tim⁵²	
褶			夾衣
恬	tʰim4	tʰim²¹	
甜	tʰim4	tʰim²¹	
疊	tip9	tip⁵²	
喋	tiɐp9	tiɐp⁵²	
簟			
牒	tiɐp9	tiɐp⁵²	
諜	tiɐp9	tiɐp⁵²	
斬	ʦam2	ʦam²¹⁴	
蘸	ʦam3	ʦam⁴⁴	
眨	ʦap8	ʦap³	又读ʦam²¹⁴
站	ʦam6	ʦam⁵²	
劄			
黯	ʔɐm3	ʔɐm⁴⁴	
凹	nɐp7	nɐp⁴	
鹹	ham4	ham²¹	
咸	ham4	ham²¹	
減	kam2	kam²¹⁴	
陷	ham6	ham⁵²	
洽	hɐp7	hɐp⁴	
峽	hap9	hap⁵²	
狹	hap9	hap⁵²	
掐	hap8	hap³	
恰	hɐp7	hɐp⁴	
杉	ʦʰam3	ʦʰam⁴⁴	
摻	ʦʰam1	ʦʰam⁴⁵	
喃	nam1	nam⁴⁵	喃斋
緘			
夾	kap9	kap⁵²	
裌			
袷			
插	ʦʰap8	ʦʰap³	
攙	ʦʰam1	ʦʰam⁴⁵	
饞	ʦʰam4	ʦʰam²¹	
讒			
鴨	ʔap8	ʔap³	
壓	ʔat8	ʔat³	
押	ʔat8	ʔat³	
巖	ŋam4	ŋam²¹	
銜	ham4	ham²¹	又读hɐm²¹
艦	lam6	lam⁵²	
檻			牛檻
濫	lam6	lam⁵²	
匣	hap9	hap⁵²	
狎			
嵌	hɐm3	hɐm⁴⁴	又读ʦʰim⁴⁴
衫	sam1	sam⁴⁵	
釤			
監	kam1	kam⁴⁵	監獄
監	kam3	kam⁴⁴	太監
鑑	kam3	kam⁴⁴	
鑒	kam3	kam⁴⁴	
甲	kap8	kap³	
胛	kap8	kap³	
懺			
劖			
嚴	jim4	jim²¹	
儼	jim5	jim²¹²	
業	jip9	jip⁵²	
釅			
脅	hip9	hip⁵²	
鍁	hin1	hin⁴⁵	
杴			
欠	him3	him⁴⁴	
怯	hip8	hip³	
劫	kip8	kip³	
詹	ʦim1	ʦim⁴⁵	
瞻	ʦim1	ʦim⁴⁵	
占	ʦim1	ʦim⁴⁵	占卜
占	ʦim3	ʦim⁴⁴	占領
蟾			
懾	sip8	sip³	
饜			
厭	jim3	jim⁴⁴	
靨	jip8	jip³	
鹽	jim4	jim²¹	
閻	jim4	jim²¹	
簷	jim4	jim²¹	
燄	jim6	jim⁵²	
焰	jim6	jim⁵²	
豔	jim6	jim⁵²	
葉	jip9	jip⁵²	
檐			
艷	jim6	jim⁵²	
纖	ʦʰim1	ʦʰim⁴⁵	
暹			
陝	sim2	sim²¹⁴	
閃	sim2	sim²¹⁴	
攝	sip8	sip³	
冉	jim5	jim²¹²	
染	jim5	jim²¹²	
囁	ʦip8	ʦip³	
髯	jim5	jim²¹²	
苒	jim5	jim²¹²	
鹼	kan2	kan²¹⁴	
臉	lim5	lim²¹²	
籤	ʦʰim1	ʦʰim⁴⁵	
塹	ʦʰim3	ʦʰim⁴⁴	
妾	ʦʰip8	ʦʰip³	
僉			
廉	lim4	lim²¹	
鐮	lim4	lim²¹	
簾	lim4	lim²¹	
撿	kim2	kim²¹⁴	
斂	lim5	lim²¹²	
殮	lim5	lim²¹²	
獵	liɐp9	liɐp⁵²	
奩			
鬣			
尖	ʦim1	ʦim⁴⁵	
漸			漸車帷裳
接	ʦip8	ʦip³	
睫	ʦit9	ʦit⁵²	
殲	ʦʰim1	ʦʰim⁴⁵	
漸	ʦim6	ʦim⁵²	逐漸
潛	ʦʰim4	ʦʰim²¹	
捷	ʦit9	ʦit⁵²	
涉	sip8	sip³	
贍			
沾	ʦim1	ʦim⁴⁵	
輒			
炎	jim4	jim²¹	人名读jim⁵²
閹	jim1	jim⁴⁵	
崦			
淹	jim1	jim⁴⁵	
醃	jim1	jim⁴⁵	白读jip³
掩	jim2	jim²¹⁴	
奄			奄有
俺	jim3	jim⁴⁴	
广			
驗	nim6	nim⁵²	
險	him2	him²¹⁴	
霎	sap8	sap³	
