// HSD Syllabary Data Partition
// 地区：山西省-大同市-渾源縣-永安鎮
// 来源：張津《渾源方言調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-大同市-渾源縣-永安鎮
@SRC	張津《渾源方言調查研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	k	kʰ	x	Ø
@FIN	a
Ø	au	陰平	嗷1{~兒~兒：嗷叫，用於歇後語“黃家梁的狗——~兒~兒了半夜，臨明叫狼吃啦！”一句中，~須兒化}
Ø	au	陽平	噢{應答聲，表示同意}
Ø	au	去聲	嗷2{~~待哺：後一個~讀輕聲}
Ø	au	輕聲	獒2{喵~：喚貓聲}
// HSD Syllabary Data Partition
// 地区：山西省-大同市-渾源縣-永安鎮
// 来源：張津《渾源方言調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-大同市-渾源縣-永安鎮
@SRC	張津《渾源方言調查研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	z	k	kʰ	x	Ø
@FIN	aʔ
@TON	入聲	35
@TON	輕聲	20

// Initial	Final	Tone	CharList (Space separated)
p	aʔ	入聲	八2 扒4{~皮} 掰 把3{介詞} 掰2{~開} 擘{~下來；~開} 剝{~削} □{~掐} 博 駁 勃1{朝氣蓬~} 渤1{~海} 埠{土坑兒} 泊{水坑兒} 缽{同“缽”} 砵{同“缽”} 缽{同“缽”} 菱{草叢、樹叢} 拔1{~開} 跋 跋2{~文} 白2{瞎~丁} 伯3{~父} 柏1{松~；~油；~林；黃~：即黃檗，輕聲詞} 泊1{血~；灰~} 珀1{琥~} 粕1 帛 卜2{~卦；臭~溝：村名} 餔{~飪兒：麵食名} 巴3{啞~子}
p	aʔ	輕聲	膀3{翅~} 薄3{窮家~業的} 檗1{黃~} 琶1{舊，琵~} 潑2{嚴肅活~} 叭3{~~叭3~~叭3的：形容連續發出的“叭”聲，第一、第二、第四、第五個~讀輕入，第三個叭3讀本調陰平，第六個叭3讀本調陰平或變調上聲} 巴4{後綴“~叉的、~刺的、~蛋的”中的讀音}
pʰ	aʔ	入聲	乒 仆2{~人} 朴 撲2{~打} 訃2{~告} 璞 噗3 醅{菜齏白~啦} 醭{菜齏也白~啦} 瀑2{~布} 魄1{魂~；氣~：輕聲詞} 珀2{琥~} 泊2{湖~} 帕 迫1{壓~；輕聲詞} 拍2{~賣；~馬屁} 粕2{糟~} 勃2{~然大怒} 渤2{~海} 潑3{~水} 醱2{~茶；~了碗糖水}
pʰ	aʔ	輕聲	杷{枇~} 琶2{琵~} 啪5{~~啪5~~啪5的：形容連續發出的“啪”聲，第一、第二、第四、第五個~讀輕入，第三個啪5讀本調陰平，第六個啪5讀本調陰平或變調上聲}
m	aʔ	入聲	末2{~尾兒} 抹2{~牆；~帽子；~的：不可一世或瞧不起人的樣子} 沫2{舊，~子} 莫 漠 摸1{漠漠} 蟆2{蛇~蝮兒：蜥蜴} 陌2{阡~} 沒3{沉~} 默1{~認} 馮{~奔子：快跑} 模2{~稜兩可}
m	aʔ	輕聲	慢2{冷丟~淡的} 磨4{舛~：鍛練；熬~：經受事物的折磨或經受較長時間的磨練；村名“峪~”中的變音} 摸2{詞綴“氣~番的”中的讀音}
f	aʔ	入聲	發3{~展法~；~子} 跋2{用腳蹬} 馥3{~麵}
f	aʔ	輕聲	非2{莫~}
v	aʔ	入聲	挖3{~洞} 幄{~幄}
v	aʔ	輕聲	哇6{~~哇6~~哇6的：第一、第二、第四、第五個~讀輕入，第三個哇6讀本調陰平，第六個哇6讀本調陰平或變調上聲} 王2{村名“龍~堂”中的變音；龍~爺}
t	aʔ	入聲	答 搭4{~伴兒} 瘩2{~背} 劄{一種縫韌方法} 達1 噠2 韃2{~子；北~子} 噠3{單字音} 嗒5 大3{沒~唯顧}
t	aʔ	輕聲	達2{詞綴“~蛋的、~夸的”中的讀音；動詞後綴：“數詞+達+數”或“量詞+達+數”式數詞中的讀音，如：千~數、升~數、分~數、里~數、畝~數} 搭5{句子後加成分“拉~的”中的讀音}
tʰ	aʔ	入聲	塔2{木~；這~兒：~須兒化，兒化後讀兒化變調上聲} 瘩3{熱~} 嗒6 沓3 踏{~實} 塌2 榻 塌1{塌塌} 遢 榻{~頭：用冷水或者熱水敷頭部} 獺 拓1{~片} 榻3
tʰ	aʔ	輕聲	塌2{動詞後綴}
n	aʔ	入聲	那3 娜2{用於人名} 吶2{~喊} 納2{容~} 訥2{單字音} 厄 扼 惡2{善~} 捺 諾3 承{~} 醃3{~腌} 脆3{~色；垃圾；髒~：輕聲詞，垃圾、廢棄物或髒} 額 疆
l	aʔ	入聲	拉5{~薩；~稀} 勒3{~索} 垃2{~圾} 邋 迾 圪2{圪釘~址：形容路面上有一許多凸起物，走起路來感到顛簸不平} 協2
