字頭	呼	等	韻部	聲調	組	聲紐	攝	聲母	韻母	聲調	備註
眨	開	二	咸	入	莊	莊	咸	z	op	8	
急	開	三	侵B	入	見	見	深	z	ap	7	
詐	開	二	麻	去	莊	莊	假	z	o	3	騙
級	開	三	侵B	入	見	見	深	z	ap	7	
彭	開	二	庚	平	幫	並	梗	b	aa	4	
棚	開	二	庚	平	幫	並	梗	b	aa	4	
金	開	三	侵B	平	見	見	深	z	am	1	
筋	開	三	欣	平	見	見	臻	z	an	1	
錦	開	三	侵B	上	見	見	深	z	am	2	
膨	開	二	庚	平	幫	並	梗	b	aa	4	
謹	開	三	欣	上	見	見	臻	z	an	2	
犬	合	四	先	上	見	溪	山	j	yun	2	
禁	開	三	侵B	平	見	見	深	z	am	3	
究	開	三	尤	去	見	見	流	z	au	3	
糾	開	三	幽	上	見	見	流	z	au	2	
勸	合	三	元	去	見	溪	山	j	yun	3	
還	合	二	刪	平	影	匣	山	w	on	4	
翹	開	三	宵A	平	見	群	效	h	eu	1	
缺	合	四	先	入	見	溪	山	j	yut	7	見1959年字表
騫	開	三	仙B	平	見	溪	山	j	in	1	
譴	開	三	仙A	去	見	溪	山	j	in	2	
縴	開	四	先	平	見	溪	山	j	in	1	
雖	合	三	脂A	平	精	心	止	sl	ui	1	
箍	開	一	模	平	見	見	遇	k	u	1	
枯	開	一	模	平	見	溪	遇	w	u	1	白讀
苦	開	一	模	上	見	溪	遇	w	u	2	白讀
庫	開	一	模	去	見	溪	遇	w	u	3	
寬	合	一	寒	平	見	溪	山	w	un	1	
款	合	一	寒	上	見	溪	山	w	un	2	
髓	合	三	支A	上	精	心	止	sl	ui	2	
祟	合	三	脂A	去	精	心	止	sl	ui	3	
闊	合	一	寒	入	見	溪	山	w	ut	7	
愜	開	四	添	入	見	溪	咸	j	ip	7	
糗	開	三	尤	上	見	溪	流	c	au	2	
跤	開	二	肴	平	見	溪	效	g	ou	1	
褲	開	一	模	去	見	溪	遇	w	u	3	
姬	開	三	之	平	見	見	止	g	i	1	
耳	開	三	之	上	日	日	止	nj	i	5	
券	合	三	元	去	見	溪	山	g	yun	3	
澎	開	二	庚	平	幫	並	梗	b	aa	4	
穹	開	三	東	平	見	溪	通	g	ung	4	
衛	合	三	祭B	去	影	云	蟹	w	ai	6	
括	合	一	末	入	見	溪	山	gw	ot	8	
僅	開	三	真B	去	見	群	臻	k	an	2	
穢	合	三	廢	去	影	影	蟹	w	ai	3	
開	開	一	咍	平	見	溪	蟹	h	oi	1	
凱	開	一	咍	上	見	溪	蟹	h	oi	2	
刊	開	一	寒	平	見	溪	山	h	on	1	
勘	開	一	覃	去	見	溪	咸	h	om	2	
堪	開	一	覃	平	見	溪	咸	h	om	1	
堪	開	一	覃	平	見	溪	咸	h	am	1	
龕	開	一	覃	平	見	溪	咸	h	om	1	
坎	開	一	覃	上	見	溪	咸	h	om	2	
坎	開	一	覃	上	見	溪	咸	h	am	1	~坷
砍	開	一	勘	上	見	溪	咸	h	om	2	
看	開	一	寒	平	見	溪	山	h	on	1	~管
看	開	一	寒	去	見	溪	山	h	on	3	~見
康	開	一	唐	平	見	溪	宕	h	ong	1	
慷	開	一	唐	上	見	溪	宕	h	ong	1	
考	開	一	豪	上	見	溪	效	h	ou	2	
拷	開	一	豪	上	見	溪	效	k	au	3	
烤	開	二	豪	上	見	溪	效	h	ou	1	本字或爲「灱」
可	開	一	歌	上	見	溪	果	h	eo	2	
渴	開	一	寒	入	見	溪	山	h	ot	8	
克	開	一	登	入	見	溪	曾	h	ak	7	
刻	開	一	登	入	見	溪	曾	h	ak	7	
佰	開	二	庚	入	幫	明	梗	bb	aa	2	
肯	開	一	登	上	見	溪	曾	h	ang	2	
墾	開	一	痕	上	見	溪	臻	h	an	2	
懇	開	一	痕	上	見	溪	臻	h	an	2	
陌	開	二	庚	入	幫	明	梗	bb	aa	2	
空	開	一	東	平	見	溪	通	h	ung	1	天~|~曠
空	開	一	東	去	見	溪	通	h	ung	3	~白|~格
孔	開	一	東	上	見	溪	通	h	ung	2	
恐	開	三	鍾	上	見	溪	通	h	ung	2	
控	開	一	東	去	見	溪	通	h	ung	3	遙~器
口	開	一	侯	上	見	溪	流	h	au	2	
哭	開	一	東	入	見	溪	通	h	uk	7	
睏	合	一	魂	去	見	溪	臻	h	an	3	
翹	開	三	宵A	平	見	群	效	k	iu	1	銀~：中藥
翹								k	eu	2	~蓮：一種本地特色小喫。將麵團搓成細條，再盘成三葉扭結狀（若花瓣，有的或再加外圈），油炸至金黄酥脆。其名俗寫作「~蓮」，“翹”在此說不通，可能與「絞」有關（取其盘結纏繞之義）
絞								k	eu	2	
二	開	三	脂A	去	日	日	止	nj	i	6	
乞	開	三	欣	入	見	溪	臻	h	at	7	
冀	開	三	脂B	去	見	見	止	k	i	3	
企	開	三	支A	上	見	溪	止	g	i	5	
杞	開	三	之	上	見	溪	止	g	i	2	
欺	開	三	之	平	見	溪	止	h	i	1	
九	開	三	尤	上	見	見	流	z	au	2	
久	開	三	尤	上	見	見	流	z	au	2	
玖	開	三	尤	上	見	見	流	z	au	2	
灸	開	三	尤	上	見	見	流	z	au	2	
撿	開	三	鹽A	上	來	來	咸	g	im	2	
圈	合	三	元	上	見	群	山	k	yun	1	
脈	開	二	耕	入	幫	明	梗	m	aa	6	
蜷	合	三	仙B	平	見	群	山	k	yun	2	
起	開	三	之	上	見	溪	止	h	i	2	
豈	開	三	微	上	見	溪	止	h	i	2	
汽	開	三	未	去	見	溪	止	h	i	3	
掐	開	二	咸	入	見	溪	咸	h	op	8	常用作量詞。如：一~青菜。
恰	開	二	咸	入	見	溪	咸	h	op	8	
敲	開	二	肴	平	見	溪	效	h	ou	1	
巧	開	二	肴	上	見	溪	效	h	ou	2	
殼	開	二	江	入	見	溪	江	h	ak	7	
嗨	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	ai	3	
卿	開	三	庚	平	見	溪	梗	h	ing	1	
輕	開	三	清A	平	見	溪	梗	h	ing	1	
慶	開	三	庚	去	見	溪	梗	h	ing	3	
去	開	三	魚	上	見	溪	遇	h	yu	3	
墟	開	三	魚	平	見	溪	遇	h	yu	1	
欽	開	三	侵B	平	見	溪	深	h	am	1	
崁	開	二	銜	平	見	溪	咸	h	am	3	
侃	開	一	寒	上	見	溪	山	h	on	2	
瞰	開	一	談	去	見	溪	咸	h	om	3	
瞌	開	一	寒	入	見	溪	山	h	op	8	打~浪
坷	開	一	歌	上	見	溪	果	h	eo	1	
憩	開	三	祭B	去	見	溪	蟹	h	ai	3	
灸	開	三	尤	上	見	見	流	z	au	3	又讀
罄	開	四	青	去	見	溪	梗	h	ing	3	
氣	開	三	微	去	見	溪	止	h	i	3	
攷	開	一	豪	上	見	溪	效	h	ou	2	
嵌	開	二	銜	平	見	溪	咸	j	am	3	
丘	開	三	尤	平	見	溪	流	j	au	1	
邱	開	三	尤	平	見	溪	流	j	au	1	
蚯	開	三	尤	平	見	溪	流	j	au	1	
麥	開	二	耕	入	幫	明	梗	m	aa	6	
鍥	開	四	先	入	見	溪	山	k	it	7	
坑	開	二	庚	平	見	溪	梗	k	ong	1	~害
歉	開	四	添	上	見	溪	咸	k	im	2	
竅	開	四	蕭	去	見	溪	效	k	eu	3	
揭	開	三	祭B	去	見	溪	蟹	k	it	7	
慨	開	一	咍	去	見	溪	蟹	k	oi	3	
亢	開	一	唐	去	見	溪	宕	k	ong	3	
炕	開	一	唐	去	影	溪	宕	k	ong	3	
靠	開	一	豪	去	見	溪	效	k	ou	3	
軻	開	一	歌	平	見	溪	果	k	eo	1	
磕	開	一	泰	去	見	溪	蟹	k	at	8	
剋	開	一	登	入	見	溪	曾	k	ak	7	
劇	開	三	庚	入	見	群	梗	gw	ik	7	又讀：戲~|電視~
拐	開	二	佳	上	見	群	蟹	gw	oi	2	
劑	合	三	支A	平	精	精	止	dd	ai	1	
窘	合	三	真B	上	見	群	臻	gw	an	5	
韭	開	三	尤	上	見	見	流	z	au	2	
鏗	開	二	耕	平	見	溪	梗	k	ing	1	擬擊鑼聲
控	開	一	東	去	見	溪	通	k	ung	3	
摳	合	三	虞	平	見	溪	遇	k	au	1	
摳								ng	au	3	
叩	開	一	侯	上	見	溪	流	k	au	3	
扣	開	一	侯	上	見	溪	流	k	au	2	~除|~分
扣								k	ou	3	~肉
釦	開	一	侯	上	見	溪	流	k	au	3	紐~。 又《集韻》丘堠切，音𡨥。義同。
寇	開	一	侯	去	見	溪	流	k	au	3	
枯	開	一	模	平	見	溪	遇	g	u	1	文讀
枯	開	一	模	平	見	溪	遇	k	u	1	文讀
骷	開	一	模	平	見	溪	遇	k	u	1	
簻	合	一	戈	平	見	溪	果	k	oe	1	量詞，表示一成塊的物体
啟	開	四	齊	上	見	溪	蟹	k	ai	2	
契	開	四	齊	去	見	溪	蟹	k	ai	3	
腔	開	二	江	平	見	溪	江	k	ong	1	
蹺	開	三	宵A	平	見	溪	效	k	eu	3	玉林有疊韻詞 kat7 keu3與「蹊蹺」同義
巧	開	二	肴	上	見	溪	效	k	eu	2	
榨	開	二	麻	去	莊	莊	假	z	o	3	
怯	開	三	嚴	入	見	溪	咸	k	ip	7	
傾	合	三	清A	平	見	溪	梗	k	ing	1	
傾	合	三	清A	平	見	溪	梗	k	ing	3	又讀
頃	合	三	清A	平	見	溪	梗	k	ing	1	~刻
頃	合	三	清A	上	見	溪	梗	k	ing	2	公~
區	合	三	虞	平	見	溪	遇	k	yu	1	
嶇	合	三	虞	平	見	溪	遇	k	yu	1	
軀	合	三	虞	平	見	溪	遇	k	yu	1	
麴	開	三	東	入	見	溪	通	k	uk	7	酒麯
驅	合	三	虞	平	見	溪	遇	k	yu	1	
曲	開	三	鍾	入	見	溪	通	k	uk	7	
缺	合	四	先	入	見	溪	山	k	yut	7	
闕	合	三	元	入	見	溪	山	k	yut	7	
確	開	二	江	入	見	溪	江	k	ok	8	
溪	開	四	齊	平	見	溪	蟹	k	ai	1	
谿	開	四	齊	平	見	溪	蟹	k	ai	1	
盲	開	二	庚	平	幫	明	梗	m	aa	4	
棄	開	三	脂A	去	見	溪	止	h	i	3	
器	開	三	脂B	去	見	溪	止	h	i	3	
愾	開	一	咍	去	影	溪	蟹	k	oi	3	
禾	合	一	歌	平	影	匣	果	w	eo	4	
煢	合	三	清	平	見	羣	梗	g	ing	4	
啓	開	四	齊	上	見	溪	蟹	k	ai	2	
抗	開	一	唐	去	見	溪	宕	k	ong	3	~日戰爭
窟	合	一	魂	入	見	溪	臻	kw	at	7	
夸	合	二	麻	平	見	溪	假	kw	o	1	
誇	合	二	麻	平	見	溪	假	kw	o	1	
跨	合	二	麻	平	見	溪	假	kw	o	1	
快	合	二	夬	去	見	溪	蟹	kw	oi	3	文讀：~樂|~餐|~遞
掘	合	三	文	入	見	群	臻	gw	at	9	
筐	合	三	陽	平	見	溪	宕	kw	ong	1	
框	合	三	陽	平	見	溪	宕	kw	ong	1	
框	合	四	陽	平	見	溪	宕	kw	ang	1	口語讀音
眶	合	三	陽	平	見	溪	宕	kw	ong	1	
龜	合	三	脂B	平	見	見	止	gw	ai	1	
和	合	一	歌	平	影	匣	果	w	eo	4	
核	開	二	耕	入	影	匣	梗	w	at	9	果核
核								0	at	9	類似核的東西：~心|~酸
苦	開	一	模	上	見	溪	遇	k	u	2	文讀
歸	合	三	微	平	見	見	止	gw	ai	1	
共	開	三	鍾	去	見	群	通	g	ung	6	
衷	開	三	東	平	知	知	通	c	ung	1	
軌	合	三	脂B	上	見	見	止	gw	ai	2	
極	開	三	蒸	入	見	群	曾	g	ik	9	
崎	開	三	支B	平	見	溪	止	k	i	1	
綺	開	三	支B	上	見	溪	止	k	i	2	
技	開	三	支B	上	見	群	止	g	i	6	
枷	開	三	歌	平	見	群	果	g	o	1	
儉	開	三	鹽B	上	見	群	咸	g	im	5	
件	開	三	仙B	上	見	群	山	g	in	5	文讀
件	開	三	仙B	上	見	群	山	g	in	6	白讀
健	開	三	元	去	見	群	山	g	in	6	
鍵	開	三	仙B	平	見	群	山	g	in	6	
轎	開	三	宵B	去	見	群	效	g	iu	6	
杰	開	三	仙B	入	見	群	山	g	et	10	
傑	開	三	仙B	入	見	群	山	g	et	10	
竭	開	三	元	入	見	群	山	g	et	10	
僅	開	三	真B	去	見	群	臻	g	an	2	
近	開	三	欣	上	見	群	臻	g	an	5	
鯨	開	三	庚	平	見	群	梗	g	ing	4	
頸	開	三	清A	平	見	群	梗	g	ing	2	
競	開	三	庚	去	見	群	梗	g	ing	6	
舊	開	三	尤	上	見	群	流	g	au	5	可能是訓讀。破舊的，破爛的，破敗的（興業指{腐朽的}）
局	開	三	鍾	入	見	群	通	g	uk	9	
巨	開	三	魚	上	見	群	遇	g	yu	5	白讀
巨	開	三	魚	上	見	群	遇	g	yu	6	文讀
拒	開	三	魚	上	見	群	遇	g	yu	2	
具	合	三	虞	去	見	群	遇	g	yu	6	
距	開	三	魚	上	見	群	遇	g	yu	2	~離
距	開	三	魚	上	見	群	遇	g	yu	5	雞~：雞的后趾
鉅	開	三	魚	上	見	群	遇	g	yu	5	
劇	開	三	庚	入	見	群	梗	g	ik	7	~烈
懼	合	三	虞	去	見	群	遇	g	yu	6	
倦	合	三	仙B	去	見	群	山	g	yun	6	
倔	合	三	文	入	見	群	臻	gw	at	9	
忌	開	三	之	去	見	群	止	g	i	6	
妓	開	三	支B	上	見	群	止	g	i	6	
期	開	三	之	平	見	群	止	g	i	4	
其	開	三	之	平	見	群	止	g	i	4	
奇	開	三	支B	平	見	群	止	g	i	4	
歧	開	三	支A	平	見	群	止	g	i	4	
祈	開	三	微	平	見	群	止	g	i	4	
祇	開	三	支A	平	見	群	止	g	i	4	
淇	開	三	之	平	見	群	止	g	i	4	
琪	開	三	之	平	見	群	止	g	i	4	
棋	開	三	之	平	見	群	止	g	i	4	
鬾	開	三	支B	去	見	群	止	g	i	6	
騎	開	三	支B	平	見	群	止	g	e	4	~樓
旗	開	三	之	平	見	群	止	g	i	4	
拑	開	三	鹽B	平	見	群	咸	g	em	4	
虔	開	三	仙B	平	見	群	山	g	in	4	
乾	開	三	仙B	平	見	群	山	g	in	4	~坤
鉗	開	三	鹽B	平	見	群	咸	g	em	4	
芡	開	三	鹽B	上	見	群	咸	g	im	6	
猛	開	二	庚	上	幫	明	梗	m	aa	5	
僑	開	三	宵B	平	見	群	效	g	iu	4	
橋	開	三	宵B	平	見	群	效	g	iu	4	
蜢	開	二	庚	上	幫	明	梗	m	aa	2	
艋	開	二	庚	上	幫	明	梗	m	aa	2	
茄	開	三	歌	平	見	群	果	g	e	4	
芹	開	三	欣	平	見	群	臻	g	an	4	
琴	開	三	侵B	平	見	群	深	g	am	4	異讀
禽	開	三	侵B	平	見	群	深	g	am	4	異讀
勤	開	三	欣	平	見	群	臻	g	an	4	
擒	開	三	侵B	平	見	群	深	g	am	4	異讀
擎	開	三	庚	平	見	群	梗	g	ing	4	
窮	開	三	東	平	見	群	通	g	ung	4	
瓊	合	三	清A	平	見	群	梗	g	ing	4	
求	開	三	尤	平	見	群	流	g	au	4	異讀
球	開	三	尤	平	見	群	流	g	au	4	異讀
渠	開	三	魚	平	見	群	遇	g	yu	4	
拳	合	三	仙B	平	見	群	山	g	yun	4	
權	合	三	仙B	平	見	群	山	g	yun	4	
伽	開	三	歌	平	見	群	果	g	o	1	
菫	開	三	真B	平	見	群	臻	g	an	2	
坤	合	一	魂	平	見	溪	臻	kw	an	1	
困	合	一	魂	去	見	溪	臻	kw	an	3	
廓	合	一	唐	入	見	溪	宕	kw	ok	8	
隙	開	三	庚	入	見	溪	梗	kw	ik	7	或訓讀自「緎」
菌	合	三	真B	上	見	群	臻	gw	an	5	
郡	合	三	文	去	見	群	臻	gw	an	6	
狂	合	三	陽	平	見	群	宕	gw	ong	4	
鬼	合	三	微	上	見	見	止	gw	ai	2	
癸	合	三	脂A	上	見	見	止	gw	ai	4	
詭	合	三	支B	上	見	見	止	gw	ai	2	
貴	合	三	微	去	見	見	止	gw	ai	3	
裙	合	三	文	平	見	群	臻	gw	an	4	
群	合	三	文	平	見	群	臻	gw	an	4	
羣	合	三	文	平	見	群	臻	gw	an	4	
季	合	三	脂A	去	見	見	止	gw	ai	3	
崛	合	三	文	入	見	群	臻	gw	at	9	
晷	合	三	脂B	上	見	見	止	gw	ai	2	
規	合	三	支A	平	見	見	止	kw	ai	1	
愧	合	三	脂B	去	見	見	止	kw	ai	3	
齋	開	二	皆	平	莊	莊	蟹	z	oi	1	
窄	開	二	庚	入	莊	莊	梗	z	o	3	
債	開	二	佳	去	莊	莊	蟹	z	oi	3	
斬	開	二	咸	上	莊	莊	咸	z	om	2	
盞	開	二	山	上	莊	莊	山	z	on	2	
爪	開	二	肴	上	莊	莊	效	z	ou	2	文讀：~牙
找	開	二	肴	上	莊	莊	效	z	ou	2	
孟	開	二	庚	去	幫	明	梗	m	aa	6	
驀	開	二	庚	入	幫	明	梗	m	aa	6	
冷	開	四	青	平	來	來	梗	l	aa	5	
皺	開	三	尤	去	莊	莊	流	z	au	3	文讀
妝	開	三	陽	平	莊	莊	宕	z	ong	1	
瑾	開	三	真B	去	見	群	臻	g	an	6	
櫃	合	三	脂B	去	見	群	止	gw	ai	6	
炬	開	三	魚	上	見	群	遇	g	yu	5	
遽	開	三	魚	去	見	群	遇	g	yu	6	
騎	開	三	支B	平	見	群	止	g	i	4	
舔	開	四	添	上	端	透	咸	g	em	5	訓讀
壼	合	一	魂	上	見	溪	臻	kw	an	2	
曠	合	一	唐	去	見	溪	宕	kw	ong	3	
泣	開	三	侵B	入	見	溪	深	l	ap	7	
苙	開	三	侵A	入	來	來	深	l	ap	7	豬~|雞~
凜	開	三	侵A	上	來	來	深	l	am	5	
救	開	三	尤	去	見	見	流	z	au	3	
乎	開	二	模	平	影	匣	遇	w	u	4	
狐	開	一	模	平	影	匣	遇	w	u	4	
弧	開	一	模	平	影	匣	遇	w	u	4	
胡	開	一	模	平	影	匣	遇	w	u	4	
壺	開	一	模	平	影	匣	遇	w	u	4	
葫	開	一	模	平	影	匣	遇	w	u	4	文讀
湖	開	一	模	平	影	匣	遇	w	u	4	
瑚	開	一	模	平	影	匣	遇	w	u	4	
蝴	開	一	模	平	影	匣	遇	w	u	4	
糊	開	一	模	平	影	匣	遇	w	u	4	
醐	開	一	遇	平	影	匣	遇	w	u	4	
鬍	合	一	模	平	影	匣	遇	w	u	4	
互	開	一	模	去	影	匣	遇	w	u	6	
呆	開	一	咍	平	見	疑	蟹	dd	oi	1	
曲	開	三	鍾	入	見	溪	通	ng	uk	7	白讀：拐彎；使曲折
科	合	一	歌	平	見	溪	果	w	eo	1	
戶	開	一	模	上	影	匣	遇	w	u	5	
怙	開	一	模	上	影	匣	遇	w	u	5	
扈	開	一	模	上	影	匣	遇	w	u	5	
齦	開	三	欣	平	見	疑	臻	ng	an	4	
臥	合	一	歌	去	見	疑	果	m	eo	3	又讀
臥	合	一	歌	去	見	疑	果	m	eo	6	
臬	開	四	屑	入	見	疑	山	n	ep	10	
妍	開	四	先	平	見	疑	山	n	in	1	
研	開	四	先	平	見	疑	山	n	in	1	文讀：科~
鰭	開	三	脂A	平	見	群	止	g	i	4	
擇	開	二	庚	入	知	澄	梗	z	aa	6	
燃	開	三	仙A	平	日	日	山	nj	in	4	白讀
冉	開	三	鹽A	平	日	日	咸	nj	im	5	
染	開	三	鹽A	上	日	日	咸	nj	im	5	
澤	開	二	庚	入	知	澄	梗	z	aa	6	
宅	開	二	庚	入	知	澄	梗	z	aa	6	
鋥	開	二	庚	去	知	澄	梗	z	aa	6	
饒	開	三	宵A	平	日	日	效	nj	iu	4	
擾	開	三	宵A	上	日	日	效	nj	iu	2	
繞	開	三	宵A	上	日	日	效	nj	iu	2	
惹	開	三	麻	上	日	日	假	nj	e	5	
熱	開	三	仙A	入	日	日	山	nj	et	10	
人	開	三	真A	平	日	日	臻	nj	an	4	
人								nj	an	1	各人，各自：各~｜~睇~｜~望~
壬	開	三	侵A	平	日	日	深	nj	am	4	
仁	開	三	真A	平	日	日	臻	nj	an	4	
仁	開	三	真A	平	日	日	臻	ng	an	4	果核；睾丸（兒童語）
忍	開	三	真A	上	日	日	臻	nj	an	5	
刃	開	三	真A	去	日	日	臻	nj	an	5	
研	開	四	先	平	見	疑	山	ng	en	4	白讀：~米(研磨米)
仞	開	三	真A	去	日	日	臻	nj	an	6	
任	開	三	侵A	平	日	日	深	nj	am	6	
認	開	三	真A	去	日	日	臻	nj	an	6	
日	開	三	真A	入	日	日	臻	nj	at	9	
肉	開	三	東	入	日	日	通	nj	uk	9	
邃	合	三	脂A	去	精	心	止	sl	ui	3	
辱	開	三	鍾	入	日	日	通	nj	uk	9	
入	開	三	侵A	入	日	日	深	nj	ap	9	
褥	開	三	鍾	入	日	日	通	nj	uk	9	
驗	開	三	鹽B	去	見	疑	咸	n	im	6	
軟	合	三	仙A	上	日	日	山	nj	yun	5	
隋	合	三	支A	平	精	邪	止	d	ui	4	
閏	合	三	真A	去	日	日	臻	nj	an	6	
潤	合	三	真A	去	日	日	臻	nj	an	6	
崢	開	二	庚	平	莊	崇	梗	z	aa	1	
賾	開	二	耕	入	莊	崇	梗	z	aa	6	
睜	開	三	清aa	上	精	從	梗	z	aa	1	
琦	開	三	支B	平	見	群	止	g	i	4	
囁	開	三	鹽A	入	日	日	咸	nj	ep	10	
鎗	開	二	庚	平	莊	初	梗	t	aa	1	
蟯	開	三	宵A	平	日	日	效	nj	iu	4	
稔	開	三	侵A	上	日	日	深	nj	am	5	
飪	開	三	侵A	上	日	日	深	nj	am	6	
韌	開	三	真A	去	日	日	臻	nj	an	6	見《玉林话研究》
坼	開	二	庚	入	知	徹	梗	c	aa	2	裂，爆裂
澀	開	三	侵B	入	莊	生	深	nj	op	8	白讀：粗糙
滲	開	三	侵B	去	莊	生	深	nj	om	3	白讀
滬	開	一	模	上	影	匣	遇	w	u	5	
拆	開	二	庚	入	知	徹	梗	c	aa	2	
華	合	二	麻	平	影	匣	假	w	o	4	
華	合	二	麻	去	影	匣	假	w	o	6	姓
猾	合	二	山	入	影	匣	山	w	ot	10	
撓	開	一	豪	平	影	曉	效	nj	ou	1	
曉	開	四	蕭	上	影	曉	效	nj	iu	2	
護	開	一	模	去	影	匣	遇	w	u	6	
撐	開	二	庚	平	知	徹	梗	c	aa	1	
貳	開	三	脂A	去	日	日	止	nj	i	6	
餌	開	三	之	去	日	日	止	nj	i	5	
擬	開	三	之	上	見	疑	止	nj	i	5	
牛	開	三	尤	平	見	疑	流	nj	au	4	
瞠	開	二	庚	平	知	徹	梗	c	aa	1	
牚	開	二	庚	去	知	徹	梗	c	aa	3	死雞~硬頸
阮	合	三	元	上	見	疑	山	nj	yun	5	
牙	開	二	麻	平	見	疑	假	nj	o	4	
芽	開	二	麻	平	見	疑	假	nj	o	4	
捱	開	二	佳	平	見	疑	蟹	ng	oi	4	
艾	開	一	泰	去	見	疑	蟹	ng	oi	6	
礙	開	一	咍	去	見	疑	蟹	ng	oi	6	
岸	開	一	寒	去	見	疑	山	ng	on	6	
昂	開	一	唐	平	見	疑	宕	ng	ong	4	
敖	開	一	豪	平	見	疑	效	ng	eou	4	
熬	開	一	豪	平	見	疑	效	ng	eou	4	
熬	開	一	豪	平	見	疑	效	ng	eou	6	白讀
傲	開	一	豪	去	見	疑	效	ng	eou	6	
俄	開	一	歌	平	見	疑	果	ng	eo	4	
峨	開	一	歌	平	見	疑	果	ng	eo	4	
娥	開	一	歌	平	見	疑	果	ng	eo	5	
訛	合	一	歌	平	見	疑	果	ng	eo	4	
蛾	開	一	歌	平	見	疑	果	ng	eo	4	
鵝	開	一	歌	平	見	疑	果	ng	eo	4	
餓	開	一	歌	去	見	疑	果	ng	eo	6	
噩	開	一	唐	入	見	疑	宕	ng	ok	10	呆
顎	開	一	唐	入	見	疑	宕	ng	ok	10	
鱷	開	一	唐	入	見	疑	宕	ng	ok	10	
岌	開	三	侵B	入	見	疑	深	ng	ap	9	
逆	開	三	庚	入	見	疑	梗	ng	ik	9	
凝	開	三	蒸	平	見	疑	曾	ng	ang	1	白讀
凝	開	三	蒸	平	見	疑	曾	ng	ing	4	
凝	開	三	蒸	平	見	疑	曾	ng	ing	1	白讀
偶	開	一	侯	上	見	疑	流	ng	au	5	
藕	開	一	侯	去	見	疑	流	ng	au	5	
藕	開	一	侯	去	見	疑	流	ng	au	2	又讀
枒	開	二	麻	平	見	疑	假	nj	o	4	
瓦	合	二	麻	上	見	疑	假	ng	o	5	白讀
外	合	一	泰	去	見	疑	蟹	ng	oi	6	
頑	合	二	刪	平	見	疑	山	ng	on	4	
窺	合	三	支A	平	見	溪	止	kw	ai	1	
虧	合	三	支B	平	見	溪	止	kw	ai	1	
逵	合	三	脂B	平	見	群	止	gw	ai	4	
葵	合	三	脂A	平	見	群	止	gw	ai	4	
餽	合	三	脂B	去	見	群	止	gw	ai	6	
饋	合	三	脂B	去	見	群	止	gw	ai	6	
我	開	一	歌	上	見	疑	果	ng	eo	5	
嘩	合	二	麻	平	見	匣	假	w	o	4	
崖	開	二	佳	平	見	疑	蟹	ng	oi	4	
涯	開	二	佳	平	見	疑	蟹	ng	oi	4	
蟻	開	三	支B	上	見	疑	止	ng	ai	5	白讀：~子（也有的地方讀nai）
羿	開	四	齊	去	見	疑	蟹	ng	ai	6	
詣	開	四	齊	去	見	疑	蟹	ng	ai	6	
毅	開	三	微	去	見	疑	止	ng	ai	6	
藝	開	三	祭A	去	見	疑	蟹	ng	ai	6	
吟	開	三	侵B	平	見	疑	深	ng	am	4	白讀
銀	開	三	真B	平	見	疑	臻	ng	an	4	
迎	開	三	庚	平	見	疑	梗	ng	ing	4	
冊	開	二	耕	入	莊	初	梗	c	aa	2	
岳	開	二	江	入	見	疑	江	ng	ok	10	異讀
莊	開	三	陽	平	莊	莊	宕	z	ong	1	
瓦	合	二	麻	上	見	疑	假	w	o	5	文讀
外	合	一	泰	去	見	疑	蟹	w	oi	6	
玩	合	一	寒	去	見	疑	山	w	un	6	
皚	開	一	咍	平	見	疑	蟹	ng	oi	4	
遨	開	一	豪	平	見	疑	效	ng	eou	4	
螯	開	一	豪	平	見	疑	效	ng	eou	4	
翱	開	一	豪	平	見	疑	效	ng	eou	4	
愕	開	一	唐	入	見	疑	宕	ng	ok	10	
蚜	開	二	假	平	見	疑	假	nj	o	4	
畫	合	二	佳	去	影	匣	蟹	w	o	6	文讀
悸	合	三	脂A	去	見	群	止	gw	ai	6	
衙	開	三	魚	平	見	疑	遇	nj	o	4	
垠	開	三	真B	平	見	疑	臻	ng	an	4	
雅	開	二	麻	上	見	疑	假	nj	o	5	
畫	合	二	麥	入	影	匣	梗	w	ot	10	白讀
話	合	二	夬	去	影	匣	蟹	w	o	6	
樺	合	二	麻	平	影	匣	假	w	o	6	
策	開	二	耕	入	莊	初	梗	c	aa	2	
隨	合	三	支A	平	精	邪	止	d	ui	4	
淮	合	二	皆	平	影	匣	蟹	w	oi	4	
槐	合	二	皆	平	影	匣	蟹	w	oi	4	
槐								w	oi	1	六~：地名，在容縣六王鎮
懷	合	二	皆	平	影	匣	蟹	w	oi	4	
桓	合	一	寒	平	影	匣	山	w	un	4	
環	合	二	刪	平	影	匣	山	w	on	4	
海	開	一	咍	上	影	曉	蟹	h	oi	2	
憨	開	一	談	平	影	曉	咸	h	om	1	
鼾	開	一	寒	平	影	曉	山	h	on	1	
罕	開	一	寒	上	影	曉	山	h	on	2	
喊	開	一	談	上	影	曉	咸	h	om	3	
漢	開	一	寒	去	影	曉	山	h	on	3	
蒿	開	一	豪	平	影	曉	效	h	ou	1	
好	開	一	豪	上	影	曉	效	h	eou	2	良~
好	開	一	豪	去	影	曉	效	h	eou	3	喜~
