汉字	钟山	郎岱	岩脚	响水	鸡场坪	陡箐	玉舍	营盘
绝	tɕy2	tɕie2	tɕiɛ2	tɕiɛ2	tɕiɛ2	tɕy2	tɕy2	tɕi2
雪	ɕy3	ɕie3	ɕiɛ3	ɕiɛ3	ɕiɛ3	ɕy3	ɕy3	ɕi3
反	fan3	fã3	fan3	fan3	fan3	fan3	fan3	fan3
翻	fan1	fã1	fan1	fan1	fan1	fan1	fan1	fan1
饭	fan5	fã5	fan5	fan5	fan5	fan5	fan5	fan5
晚	uan3	uã3	uan3	uan3	uan3	uan3	uan3	uan3
万(麻将牌)	uan5	uã5	uan5	uan5	uan5	uan5	uan5	uan5
劝	tɕʰyan5	tɕʰiɛ̃5	tɕʰian5	tɕʰian5	tɕʰian5	tɕʰyan5	tɕʰyan5	tɕʰian5
原	yan2	iɛ̃2	ian2	ian2	ian2	yan2	yan2	ian2
冤	yan1	iɛ̃1	ian1	ian1	ian1	yan1	yan1	ian1
园	yan2	iɛ̃2	ian2	ian2	ian2	yan2	yan2	ian2
远	yan3	iɛ̃3	ian3	ian3	ian3	yan3	yan3	ian3
发(头～)	fa1	fa1	fa1	fa1	fa1	fa1	fa1	fa1
罚	fa2	fa2	fa2	fa2	fa2	fa2	fa2	fa2
袜	ua2	ua2	ua2	ua2	ua2	ua2	ua2	ua2
月	y2	ie2	iɛ2	iɛ2	iɛ2	y2	y2	i2
越	y2	ie2	iɛ2	iɛ2	iɛ2	y2	y2	i2
县	ɕian5	ɕiɛ̃5	ɕian5	ɕian5	ɕian5	ɕian5	ɕian5	ɕian5
决	tɕy2	tɕie2	tɕiɛ2	tɕiɛ2	tɕiɛ2	tɕy2	tɕy2	tɕi2
缺	tɕʰy2	tɕʰie2	tɕʰiɛ2	tɕʰiɛ2	tɕʰiɛ2	tɕʰy2	tɕʰy2	tɕʰi2
血	ɕy2	ɕie2	ɕiɛ2	ɕiɛ2	ɕiɛ2	ɕy2	ɕy2	ɕy2
吞	ten1	ten1	ten1	ten1	ten1	ten1	ten1	ten1
根	ken1	ken1	ken1	ken1	ken1	ken1	ken1	ken1
恨	xen5	xen5	xen5	xen5	xen5	xen5	xen5	xen5
恩	ŋen1	ŋen1	en1	en1	ŋen1(老派)/en1(新派)	ŋen1	ŋen1	ŋen1
贫	pʰin2	pʰin2	pʰin2	pʰin2	pʰin2	pʰin2	pʰin2	pʰin2
民	min2	min2	min2	min2	min2	min2	min2	min2
邻	lin2	nin2	nin2	nin2	lin2	nin2	nin2	lin2
进	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5
亲(～人)	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1
新	ɕin1	ɕin1	ɕin1	ɕin1	ɕin1	ɕin1	ɕin1	ɕin1
镇	tsen5	tsen5	tsen5	tsen5	tsen5	tsen5	tsen5	tsen5
陈	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2
震	tsen5	tsen5	tsen5	tsen5	tsen5	tsen5	tsen5	tsen5
神	sen2	sen2	sen2	sen2	sen2	sen2	sen2	sen2
身	sen1	sen1	sen1	sen1	sen1	sen1	sen1	sen1
辰	sen2	sen2	sen2	sen2	sen2	sen2	sen2	sen2
人	zen2	zen2	zen2	zen2	zen2	zen2	zen2	zen2
认	zen5	zen5	zen5	zen5	zen5	zen5	zen5	zen5
紧	tɕin3	tɕin3	tɕin3	tɕin3	tɕin3	tɕin3	tɕin3	tɕin3
银	in2	in2	in2	in2	in2	in2	in2	in2
印	in5	in5	in5	in5	in5	in5	in5	in5
引	in3	in3	in3	in3	in3	in3	in3	in3
笔	pi2	pi2	pi2	pi2	pi2	pi2	pi2	pi2
匹	pʰi2	pʰi2	pʰi2	pʰi2	pʰi2	pʰi2	pʰi2	pʰi2
密	mi2	mi2	mi2	mi2	mi2	mi2	mi2	mi2
栗	li2	ni2	ni2	nei2	li2	ni2	ni2	li2
七	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2
侄	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2
虱	sei2	sei2	sei2	sei2	sei2	sei2	sei2	sei2
实	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2
失	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2
日	zɿ2	zɿ2	zɿ2	zɿ2	zɿ2	zɿ2	zɿ2	zɿ2
吉	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2
一	i2	i2	i2	i2	i2	i2	i2	i2
筋	tɕin1	tɕin1	tɕin1	tɕin1	tɕin1	tɕin1	tɕin1	tɕin1
劲(有～)	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5
勤	tɕʰin2	tɕʰin2	tɕʰin2	tɕʰin2	tɕʰin2	tɕʰin2	tɕʰin2	tɕʰin2
近	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5
隐	in3	in3	in3	in3	in3	in3	in3	in3
本	pen3	pen3	pen3	pen3	pen3	pen3	pen3	pen3
盆	pʰen2	pʰen2	pʰen2	pʰen2	pʰen2	pʰen2	pʰen2	pʰen2
门	men2	men2	men2	men2	men2	men2	men2	men2
墩	ten1	ten1	ten1	ten1	ten1	ten1	——1	ten1
嫩	len5	nen5	nen5	nen5	len5	nen5	nen5	len5
村	tsʰen1	tsʰen1	tsʰen1	tsʰen1	tsʰen1	tsʰen1(老派)/tsʰuen1(新派)	tsʰen1	tsʰen1
寸	tsʰen5	tsʰen5	tsʰen5	tsʰen5	tsʰen5	tsʰen5	tsʰen5	tsʰen5
蹲	ten1	ten1	ten1	ten1	ten1	ten1	ten1	ten1
孙(～子)	sen1	sen1	sen1	sen1	sen1	sen1	sen1	sen1
滚	kuen3	kuen3	kuen3	kuen3	kuen3	kuen3	kuen3	kuen3
困	kʰuen5	kʰuen5	kʰuen5	kʰuen5	kʰuen5	kʰuen5	kʰuen5	kʰuen5
婚	xuen1	xuen1	xuen1	xuen1	xuen1	xuen1	xuen1	xuen1
魂	xuen2	xuen2	xuen2	xuen2	xuen2	xuen2	xuen2	xuen2
温	uen1	uen1	uen1	uen1	uen1	uen1	uen1	uen1
卒(棋子)	tsu2	tsu2	tsu2	tsu2	tsu2	tɕy2	tsyu2	tsu2
骨	ku2	ku2	ku2	ku2	ku2	ku2	ku2	ku2
轮	len2	nen2	nen2	nen2	len2	nen2	nen2	len2
俊	tɕyn5	tɕin5	tɕin5	tɕin5	tɕin5	tɕyn5	tɕyn5	tɕin5
笋	sen3	sen3	sen3	sen3	sen3	sen3	sen3	sen3
准	tsuen3	tsuen3	tsuen3	tsuen3	tsuen3	tsuen3	tsuen3	tsuen3
春	tsʰuen1	tsʰuen1	tsʰuen1	tsʰuen1	tsʰuen1	tsʰuen1	tsʰuen1	tsʰuen1
唇	suen2	tsʰuen2	suen2(白)/tsʰuen2(文)	suen2	suen2	suen2	tsʰuen2	suen2(白)/tsʰuen2(文)
顺	suen5	suen5	suen5	suen5	suen5	suen5	suen5	suen5
纯	suen2	suen2	suen2	suen2	suen2	suen2	suen2	suen2
闰	zuen2	zuen2	zuen2	zuen2	zuen2	zuen2	zuen2	zuen2
均	tɕyn1	tɕin1	tɕin1	tɕin1	tɕin1	tɕyn1	tɕyn1	tɕin1
匀	yn2	in2	in2	in2	in2	yn2	yn2	in2
律	li2	ni2	ni2	ni2	li2	ni2	ni2	li2
出	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2
橘	tsyu2	i2(药名：化周～红)/tɕi2	tɕiu2	tɕiou2	tɕiu2	tɕy2	tɕyu2	tɕiu2
分(动)	fen1	fen1	fen1	fen1	fen1	fen1	fen1	fen1
粉	fen3	fen3	fen3	fen3	fen3	fen3	fen3	fen3
粪	fen5	fen5	fen5	fen5	fen5	fen5	fen5	fen5
坟	fen2	fen2	fen2	fen2	fen2	fen2	fen2	fen2
蚊	uen2	uen2	uen2	uen2	uen2	uen2	uen2	uen2
问	uen5	uen5	uen5	uen5	uen5	uen5	uen5	wen5
军	tɕyn1	tɕin1	tɕin1	tɕin1	tɕin1	tɕyn1	tɕyn1	tɕin1
裙	tɕʰyn2	tɕʰin2	tɕʰin2	tɕʰin2	tɕʰin2	tɕʰyn2	tɕʰyn2	tɕʰin2
熏	ɕyn1	ɕin1	ɕin1	ɕin1	ɕin1	ɕyn1	ɕyn1	ɕin1
云(～彩)	yn2	in2	in2	in2	in2	yn2	yn2	in2
运	yn5	in5	in5	in5	in5	yn5	yn5	in5
佛(～像)	fu2	fu2	fu2	fu2	fu2	fu2	fu2	fu2
物	u2	u2	u2	u2	u2	u2	u2	u2
帮	paŋ1	paŋ1	paŋ1	paŋ1	paŋ1	paŋ1	paŋ1	paŋ1
忙	maŋ2	maŋ2	maŋ2	maŋ2	maŋ2	maŋ2	maŋ2	maŋ2
党	taŋ3	taŋ3	taŋ3	taŋ3	taŋ3	taŋ3	taŋ3	taŋ3
汤	tʰaŋ1	tʰaŋ1	tʰaŋ1	tʰaŋ1	tʰaŋ1	tʰaŋ1	tʰaŋ1	tʰaŋ1
糖	tʰaŋ2	tʰaŋ2	tʰaŋ2	tʰaŋ2	tʰaŋ2	tʰaŋ2	tʰaŋ2	tʰaŋ2
浪	laŋ5	naŋ5	naŋ5	naŋ5	laŋ5	naŋ5	naŋ5	laŋ5
仓	tsʰaŋ1	tsʰaŋ1	tsʰaŋ1	tsʰaŋ1	tsʰaŋ1	tsʰaŋ1	tsʰaŋ1	tsʰaŋ1
钢(名)	kaŋ1	kaŋ1	kaŋ1	kaŋ1	kaŋ1	kaŋ1	kaŋ1	kaŋ1
糠	kʰaŋ2	kʰaŋ2	kʰaŋ2	kʰaŋ2	kʰaŋ2	kʰaŋ2	kʰaŋ2	kʰaŋ2
薄(形)	po2	po2	po2	po2	po2	po2	pou2	po2
摸	mo1	mo1	mo1	mo1	mo1	mo1	mo1	mo1
托	tʰo2	tʰo2	tʰo2	tʰo2	tʰo2	tʰo2	tʰo2	tʰo2
落	lo2	no2	no2	no2	lo2	no2	no2	lo2
作	tso2	tso2	tso2	tso2	tso2	tso2	tso2	tso2
索	so2	so2	so2	so2	so2	so2	so2	so2
各	ko2	ko2	ko2	ko2	ko2	ko2	ko2	ko2
鹤	xo5	xo5	xo5	xo5	xo5	xo5	xo5	xo5
恶(形容词，入声)	o2	o2	o2	o2	o2	o2	o2	o2
娘	liaŋ2	niaŋ2	niaŋ2	niaŋ2	liaŋ2	niaŋ2	niaŋ2	liaŋ2
两(斤～)	liaŋ3	niaŋ3	niaŋ3	niaŋ3	liaŋ3	niaŋ3	niaŋ3	liaŋ3
亮	liaŋ5	niaŋ5	niaŋ5	niaŋ5	liaŋ5	niaŋ5	niaŋ5	liaŋ5
浆	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1
抢	tɕʰiaŋ3	tɕʰiaŋ3	tɕʰiaŋ3	tɕʰiaŋ3	tɕʰiaŋ3	tɕʰiaŋ3	tɕʰiaŋ3	tɕʰiaŋ3
匠	tɕiaŋ5	tɕiaŋ5	tɕiaŋ5	tɕiaŋ5	tɕiaŋ5	tɕiaŋ5	tɕiaŋ5	tɕiaŋ5
想	ɕiaŋ3	ɕiaŋ3	ɕiaŋ3	ɕiaŋ3	ɕiaŋ3	ɕiaŋ3	ɕiaŋ3	ɕiaŋ3
像	ɕiaŋ5	ɕiaŋ5	ɕiaŋ5	ɕiaŋ5	ɕiaŋ5	ɕiaŋ5	ɕiaŋ5	ɕiaŋ5
张(量词)	tsaŋ1	tsaŋ1	tsaŋ1	tsaŋ1	tsaŋ1	tsaŋ1	tsaŋ1	tsaŋ1
长(～短)	tsʰaŋ3	tsʰaŋ3	tsʰaŋ3	tsʰaŋ3	tsʰaŋ3	tsʰaŋ3	tsʰaŋ3	tsʰaŋ3
装	tsuaŋ1	tsuaŋ1	tsuaŋ1	tsuaŋ1	tsuaŋ1	tsuaŋ1	tsoŋ1	tsuaŋ1
壮	tsuaŋ5	tsuaŋ5	tsuaŋ5	tsuaŋ5	tsuaŋ5	tsuaŋ5	tsoŋ5	tsuaŋ5
疮	tsʰuaŋ1	tsʰuaŋ1	tsʰuaŋ1	tsʰuaŋ1	tsʰuaŋ1	tsʰuaŋ1	tsʰoŋ1	tsʰuaŋ1
床	tsʰuaŋ2	tsʰuaŋ2	tsʰuaŋ2	tsʰuaŋ2	tsʰuaŋ2	tsʰuaŋ2	tsʰoŋ2	tsʰuaŋ2
霜	suaŋ1	suaŋ1	suaŋ1	suaŋ1	suaŋ1	suaŋ1	soŋ1	suaŋ1
章	tsaŋ1	tsaŋ1	tsaŋ1	tsaŋ1	tsaŋ1	tsaŋ1	tsaŋ1	tsaŋ1
厂	tsʰaŋ3	tsʰaŋ3	tsʰaŋ3	tsʰaŋ3	tsʰaŋ3	tsʰaŋ3	tsʰaŋ3	tsʰaŋ3
唱	tsʰaŋ5	tsʰaŋ5	tsʰaŋ5	tsʰaŋ5	tsʰaŋ5	tsʰaŋ5	tsʰaŋ5	tsʰaŋ5
伤	saŋ1	saŋ1	saŋ1(老派)/tsʰaŋ1(新派)	saŋ1	saŋ1	saŋ1(老派)/tsʰaŋ1(新派)	saŋ1	saŋ1
尝	saŋ2	saŋ2	saŋ2	saŋ2	saŋ2	saŋ2	saŋ2	saŋ2
上(～去)	saŋ5	saŋ5	saŋ5	saŋ5	saŋ5	saŋ5	saŋ5	saŋ5
让	zaŋ5	zaŋ5	zaŋ5	zaŋ5	zaŋ5	zaŋ5	zaŋ5	zaŋ5
姜(生～)	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1
响	ɕiaŋ3	ɕiaŋ3	ɕiaŋ3	ɕiaŋ3	ɕiaŋ3	ɕiaŋ3	ɕiaŋ3	ɕiaŋ3
向	ɕiaŋ5	ɕiaŋ5	ɕiaŋ5	ɕiaŋ5	ɕiaŋ5	ɕiaŋ5	ɕiaŋ5	ɕiaŋ5
秧	iaŋ1	iaŋ1	iaŋ1	iaŋ1	iaŋ1	iaŋ1	iaŋ1	iaŋ1
痒	iaŋ3	iaŋ3	iaŋ3	iaŋ3	iaŋ3	iaŋ3	iaŋ3	iaŋ3
样	iaŋ5	iaŋ5	iaŋ5	iaŋ5	iaŋ5	iaŋ5	iaŋ5	iaŋ5
雀	tɕʰio2	tɕʰio2	tɕʰio2	tɕʰio2	tɕʰio2	tɕʰio2	tɕʰio2	tɕʰio2
削	ɕio2	ɕio2	ɕio2	ɕio2	ɕio2	ɕio2	ɕio2	ɕio2
黄	xuaŋ2	xuaŋ2	xuaŋ2	xuaŋ2	xuaŋ2	xuaŋ2	xoŋ2	xuaŋ2
郭	ko2	ko2	ko2	ko2	ko2	ko2	ko2	ko2
霍	xo2	xo2	xo2	xo2	xo2	xo2	xo2	xo2
方	faŋ1	faŋ1	faŋ1	faŋ1	faŋ1	faŋ1	foŋ1	faŋ1
放	faŋ5	faŋ5	faŋ5	faŋ5	faŋ5	faŋ5	foŋ5	faŋ5
纺	faŋ3	faŋ3	faŋ3	faŋ3	faŋ3	faŋ3	foŋ3	faŋ3
房	faŋ2	faŋ2	faŋ2	faŋ2	faŋ2	faŋ2	foŋ2	faŋ2
防	faŋ2	faŋ2	faŋ2	faŋ2	faŋ2	faŋ2	foŋ2	faŋ2
网	uaŋ3	uaŋ3	uaŋ3	uaŋ3	uaŋ3	uaŋ3	oŋ3	uaŋ3
筐	kʰuaŋ1	kʰuaŋ1	kʰuaŋ1	kʰuaŋ1	kʰuaŋ1	kʰuaŋ1	kʰoŋ1	kʰuaŋ1
狂	kʰuaŋ2	kʰuaŋ2	kʰuaŋ2	kʰuaŋ2	kʰuaŋ2	kʰuaŋ2	kʰoŋ2	kʰuaŋ2
王	uaŋ5	uaŋ5	uaŋ5	uaŋ5	uaŋ5	uaŋ5	oŋ5	uaŋ5
旺	uaŋ5	uaŋ5	uaŋ5	uaŋ5	uaŋ5	uaŋ5	oŋ5	uaŋ5
缚	fu2	fu2	fu2	fu2	fu2	fu2	fu2	fu2
绑	paŋ3	paŋ3	paŋ3	paŋ3	paŋ3	paŋ3	paŋ3	paŋ3
胖	pʰaŋ5	pʰaŋ5	pʰaŋ5	pʰaŋ5	pʰaŋ5	pʰaŋ5	pʰaŋ5	pʰaŋ5
棒	paŋ5	paŋ5	paŋ5	paŋ5	paŋ5	paŋ5	paŋ5	paŋ5
桩	tsuaŋ1	tsuaŋ1	tsuaŋ1	tsuaŋ1	tsuaŋ1	tsuaŋ1	tsuaŋ1	tsuaŋ1
撞	tsʰuaŋ3	tsʰuaŋ3	tsʰuaŋ3	tsʰuaŋ3	tsʰuaŋ3	tsʰuaŋ3	tsʰuaŋ3	tsʰuaŋ3
窗	tsʰuaŋ1	tsʰuaŋ1	tsʰuaŋ1	tsʰuaŋ1	tsʰuaŋ1	tsʰuaŋ1	tsʰoŋ1	tsʰuaŋ1
双	suaŋ1	suaŋ1	suaŋ1	suaŋ1	suaŋ1	suaŋ1	soŋ1	suaŋ1
江	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1	tɕiaŋ1
讲	tɕiaŋ3	tɕiaŋ3	tɕiaŋ3	tɕiaŋ3	tɕiaŋ3	tɕiaŋ3	tɕiaŋ3	tɕiaŋ3
降(投～)	ɕiaŋ2	ɕiaŋ2	ɕiaŋ2	ɕiaŋ2	ɕiaŋ2	ɕiaŋ2	ɕiaŋ2	ɕiaŋ2
项	xaŋ5(白)/ɕiaŋ5(文)	xaŋ5	xaŋ5(白)/ɕiaŋ5(文)	xaŋ5(白)/ɕiaŋ5(文)	xaŋ5	xaŋ5(白)/ɕiaŋ5(文)	xaŋ5(白)/ɕiaŋ5(文)	xaŋ5(白)/ɕiaŋ5(文)
剥	po2	po2	po2	po2	po2	po2	pou2	po2
桌	tso2	tso2	tso2	tso2	tso2	tso2	tso2	tso2
镯	tso2	tso2	tso	tso2	tso2	tso2	tso2	tso2
角	ko2(白)/tɕio2(文)	ko2(白)/tɕio2(文)	ko2(白)/tɕio2(文)	tɕio2	ko2(白)/tɕio2(文)	ko2(白)/tɕio2(文)	ko2(白)/tɕio2(文)	ko2(白)/tɕio2(文)
壳	kʰo2	kʰo2	kʰo2	kʰo2	kʰo2	kʰo2	kʰo2	kʰo2
学	ɕio2	ɕio2	ɕio2	ɕio2	ɕio2	ɕio2	ɕio2	ɕio2
握	o2	o2	o2	o2	o2	o2	o2	o2
朋	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2
灯	ten1	ten1	ten1	ten1	ten1	ten1	ten1	ten1
等	ten3	ten3	ten3	ten3	ten3	ten3	ten3	ten3
凳	ten5	ten5	ten5	ten5	ten5	ten5	ten5	ten5
藤	tʰen2	tʰen2	tʰen2	tʰen2	tʰen2	tʰen2	tʰen2	tʰen2
能	len2	nen2	nen2	nen2	len2	nen2	nen2	len2
层	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2
僧	sen1/tsen1	sen1	tsen1	tsen1	tsen1	tsen1	tsen1	sen/tsen1
肯	kʰen3	kʰen3	kʰen3	kʰen3	kʰen3	kʰen3	kʰen3	kʰen3
北	pei2	pei2	pei2	pei2	pei2	pei2	pei2	pei2
墨	mei2	mei2	mei2	mei2	mei2	mei2	mei2/mou2(笔～)	mei2
得	tei2	tei2	tei2	tei2	tei2	tei2	tei2	tei2
特	tʰei2	tʰie2	tʰei2	tʰei2	tʰei2	tʰai2	tʰei2	tʰei2
贼	tsuei2(白)/tsei2(文)	tusei2	tsei2	tsei2	tsuei2(白)/tsei2(文)	tsuei2(白)/tsei2(文)	tsuei2	tsuei2
塞	sei2	sei2(老派)/sai2(新派)	sei2	sei2	sei2	sei2	sei2	sei2
刻	kʰei2	kʰei2	kʰei2	kʰei2	kʰei2	kʰei2	kʰei2	kʰei2
黑	xei2	xei2	xei2	xei2	xei2	xei2	xei2	xei2
冰	pin1	pin1	pin1	pin1	pin1	pin1	pin1	pin1
证	tsen5	tsen5	tsen5	tsen5	tsen5	tsen5	tsen5	tsen5
秤	tsʰen5	tsʰen5	tsʰen5	tsʰen5	tsʰen5	tsʰen5	tsʰen5	tsʰen5
绳	suen2	suen2	suen2	suen2	suen2	suen2	suen2	suen2
剩	sen5	sen5	sen5	sen5	sen5	sen5	sen5	sen5
升	sen1	sen1	sen1	sen1	sen1	sen1	sen1	sen1
兴(高～)	ɕin5	ɕin5	ɕin5	ɕin5	ɕin5	ɕin5	ɕin5	ɕin5
蝇	in1	in1	in1	in1	in1	in1	in1	in1
逼	pi2	pi2	pi2	pi2	pi2	pi2	pi2	pi2
力	li2	ni2	ni2	nei2	li2	ni2	ni2	li2
息	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2
直	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2
侧	tsʰei2	tsei2(老派)/tsʰei2(新派)	tsei2	tsei2	tsei2(老派)/tsʰei2(新派)	tsei2	tsei2	tsei2
测	tsʰei2	tsʰei2	tsʰei2	tsʰei2	tsʰei2	tsʰei2	tsʰei2	tsʰei2
色	sei2	sei2	sei2	sei2	sei2	sei2	sei2	sei2
织	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2	tsɿ2
食	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2
式	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5
极	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2
国	kuei2	kuei2	kuei2	kuei2	kuei2	kuai2(老派)/ko2(新派)	kuei2	kuei2
或	xuai2	xuei2	xuai2	xuei2	xuei2	xuai2	xuai2	xuai2
猛	moŋ3	moŋ3	moŋ3	moŋ3	moŋ3	moŋ3	moŋ3	moŋ3
打	ta3	ta3	ta3	ta3	ta3	ta3	ta3	ta3
冷	len3	nen3	nen3	nen3	len3	nen3	nen3	len3
生	sen1	sen1	sen1	sen1	sen1	sen1	sen1	sen1
省(～长)	sen3	sen3	sen3	sen3	sen3	sen3	sen3	sen3
更(三～，打～)	ken1	ken1	ken1	ken1	ken1	ken1	ken1	ken1
梗	ken3	ken3	ken3	ken3	ken3	ken3	ken3	ken3
坑	kʰen1	kʰen1	kʰen1	kʰen1	kʰen1	kʰen1	kʰen1	kʰen1
硬	ŋen5	ŋen5	ŋen5	en5	ŋen5	ŋen5	ŋen5	ŋen5
行(～为，～走)	ɕin2	ɕin2	ɕin2	ɕin2	ɕin2	ɕin2	ɕin2	ɕin2
百	pei2	pei2	pei2	pei2	pei2	pei2	pei2	pei2
拍	pʰei2	pʰei2	pʰei2	pʰei2	pʰei2	pʰai2	pʰai2	pʰei2
白	pei2	pei2	pei2	pei2	pei2	pei2	pei2	pei2
拆	tsʰei2	tsʰei2	tsʰei2	tsʰei2	tsʰei2	tsʰei2	tsʰai2	tsʰei2
择	tsʰei2	tsʰei2	tsei2	tsʰei2(老派)/tsei2(新派)	tsʰei2	tsʰei2	tsʰai2	tsʰei2
窄	tsei2	tsei2	tsei2	tsei2	tsei2	tsei2	tsei2	tsei2
格	kei2	kei2	kei2	kei2	kei2	kei2	kei2	kei2
客	kʰei2	kʰei2	kʰei2	kʰei2	kʰei2	kʰei2	kʰei2	kʰei2
额	ŋai2	ŋei2	ei2	ei2	ŋei2	ŋai2	ŋei2	ŋei2
棚	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2	pʰoŋ2
争	tsen1	tsen1	tsen1	tsen1	tsen1	tsen1	tsen1	tsen1
耕	ken1	ken1	ken1	ken1	ken1	ken1	ken1	ken1
麦	mei2	mei2	mei2	mei2	mei2	mei2	mei2	mei2
摘	tsei2	tsei2	tsei2	tsei2	tsei2	tsei2	tsei2	tsei2
策	tsʰei2	tsʰei2	tsʰei2	tsʰei2	tsʰei2	tsʰai2	tsʰai2	tsʰei2
隔	kei2	kei2	kei2	kei2	kei2	kei2	kei2	kei2
兵	pin1	pin1	pin1	pin1	pin1	pin1	pin1	pin1
柄	pin3	pin3	pin3	pin3	pin3	pin3	pin3	pin3
平	pʰin2	pʰin2	pʰin2	pʰin2	pʰin2	pʰin2	pʰin2	pʰin2
病	pin5	pin5	pin5	pin5	pin5	pin5	pin5	pin5
明	min2	min2	min2	min2	min2	min2	min2	min2
命	min5	min5	min5	min5	min5	min5	min5	min5
镜	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5
庆	tɕʰin5	tɕʰin5	tɕʰin5	tɕʰin5	tɕʰin5	tɕʰin5	tɕʰin5	tɕʰin5
迎	in2	in2	in2	in2	in2	in2	in2	in2
影	in3	in3	in3	in3	in3	in3	in3	in3
剧(戏～)	tɕy5	tɕi5	tɕi5	tɕi5	tɕi5	tɕy5	tɕy5	tɕi5
饼	pin3	pin3	pin3	pin3	pin3	pin3	pin3	pin3
名	min2	min2	min2	min2	min2	min2	min2	min2
领	lin3	nin3	nin3	nin3	lin3	nin3	nin3	lin3
井	tɕin3	tɕin3	tɕin3	tɕin3	tɕin3	tɕin3	tɕin3	tɕin3
清	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1
静	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5	tɕin5
姓	ɕin5	ɕin5	ɕin5	ɕin5	ɕin5	ɕin5	ɕin5	ɕin5
贞	tsen1	tsen1	tsen1	tsen1	tsen1	tsen1	tsen1	tsen1
程	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2
整	tsen3	tsen3	tsen3	tsen3	tsen3	tsen3	tsen3	tsen3
正(～反)	tsen5	tsen5	tsen5	tsen5	tsen5	tsen5	tsen5	tsen5
声	sen1	sen1	sen1	sen1	sen1	sen1	sen1	sen1
城	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2	tsʰen2
轻	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1	tɕʰin1
赢	in2	in2	in2	in2	in2	in2	in2	in2
积	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2	tɕi2
惜	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2
席	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2	ɕi2
尺	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2
石	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2
益	i2	i2	i2	i2	i2	i2	i2	i2
