	阴平	阳平	阴上	阳上	阴去	阳去	阴入	阳入	
dzɑ		□（“做哈”的合音，即做什么）		□（垮台）		□（~污：大便）			
sɑ	筛		洒耍傻		□（转~）				
zɑ		佘（姓）柴		惹□（哆嗦）		麝			
kɑ	家-加-傢-街嘉-阶（~沿）胛（肩~）		假（真~）疥（~橱）		假-（放~）架-嫁-价-芥尬疥-届-戒-界-解-（~款）□（锯）				
kʰɑ	揩楷卡								
gɑ		茄秸（麦~）		□（松懈）□（隔夜粥等因变质而析出水分）□（磨蹭，拖拉：~松松）		□（挤，插入）骱（关节）			
ŋɑ	捱（紧挨着）	牙芽衙□（啃）		外	□（~食：小孩想吃人家的东西）挨（~日脚）				
hɑ	哈□（什么）□（割）		蟹		□（什么）				
hɦɑ		鞋		□（何，表疑问：~物事）		□（~化：哈痒）			
ʔɑ	挨啊		矮		□（截断：~脱~断；划开：~豆腐）				
tiɑ	爹		嗲						
tɕiɑ	家=加=嘉=傢=皆阶佳		假=（真~）贾姐解=（~放）苴		假=（放~）架=嫁=稼价=驾借介界=戒=届=				
tɕʰiɑ	笡（歪：~头）				笡（倾斜）				
dʑiɑ		瘸□（能干）				藉（~日）			
ȵiɑ				□（推卸：~档；闪开，让路）					
ɕiɑ	□（~tsɑ：聪明）		写		泻卸				
ʑiɑ		邪斜				谢夏=下=			
ʔiɑ	鸦涯崖𦚢（~手）□（避在一边）		雅		亚				
ɦiɑ		爷霞瑕		也-野-		夜夏=（又音）下=（又音）			
kuɑ	乖-		拐		怪-				
kʰuɑ					快-				
guɑ				柺（~呀~：瘸子）					
huɑ	歪								
ʔuɑ	娃歪（又音）								
ɦuɑ		槐淮-				坏-			
pʰɵ	剖								
mɵ		矛-谋		每		某亩牡=茂贸			
fɵ	浮（轻~）		否						
vɵ		浮（~出来）				阜			
tɵ	兜丢		斗抖陡		斗（~争）				
tʰɵ	偷		□（爱出风头）㪗（~气）		透				
dɵ		斗投骰		□（内心矛盾激烈）		逗痘			
lɵ	溜	娄楼		□（搅拌）□（~事：多事）		漏陋篓瘘			
tsɵ	邹周舟州洲		走帚		奏肘昼咒皱=绉=				
tʰsɵ	抽		丑		凑臭				
dzɵ		绸稠筹仇（报~）酬柔揉=愁				宙纣骤售授			
sɵ	搜飕馊蒐收		叟手首守		嗽瘦漱兽				
zɵ		愁（又音）就-		受□（积累）		寿授（又音）			
kɵ	勾钩沟		狗苟		够构购媾垢				
kʰɵ	抠眍		口		扣寇叩筘				
gɵ		虬（~进去）							
ŋɵ				藕纽（~袢）		偶			
hɵ	齁		吼		鲎（虹）				
hɦɵ		侯喉猴后（皇~）䫛（~䫘）		后厚		候			
ʔɵ	欧瓯讴		呕		□（低头）				
piɵ	褒（又音）								
miɵ			谬						
tiɵ	丢（又音）								
liɵ	溜（又音）	刘流留硫琉				柳			
tɕiɵ	揪鸠纠		酒九久韭灸		皱-救究绉-				
tɕʰiɵ	秋丘蚯邱恘（劣）鳅蓲（乌~：束尾草）		揪（又音）						
dʑiɵ		仇（姓）囚泅求球裘虬				就=旧臼舅咎袖柩			
ȵiɵ	揉（~眼睛）妞	牛		扭纽忸钮					
ɕiɵ	休修羞				秀绣宿（星~）锈朽嗅=□（~壶：锡酒壶，“锡酒”的合音）				
ʑiɵ				□（不定神）		袖（又音）			
ʔiɵ	忧优悠幽				幼诱莠				
ɦiɵ		尤邮由油游犹		有又=		友右祐酉			
pɔ	包胞褒苞		保堡宝饱		报豹爆（~米花）				
pʰɔ	抛泡（水~）				炮泡（~在水里）				
bɔ		袍跑		抱		鲍刨雹爆（~炸）瀑			
mɔ		毛猫茅矛=		□（做事莽撞）		冒帽卯貌牡=			
tɔ	刀叨（唠~）		祷岛捣倒		到				
tʰɔ	滔叨（~光：托福）		讨		套				
dɔ		桃逃淘陶萄涛掏		稻		道盗导			
nɔ	拿-（又音）	拿-饶挠		脑恼		闹			
lɔ	捞（~油水）唠	劳牢𤎤（~𡮦：猪\n内脏）		老		恅（懊~）□（初腌）			
tsɔ	槽遭朝（今~）昭沼招抓（~叮人：抓痒）		早枣蚤澡爪		躁灶罩照诏找				
tsʰɔ	操抄超剿□（舀：~点汁）		草钞炒吵		糙□（擦）				
dzɔ		巢朝（~代）潮嘲		赵造（杜~）					
sɔ	稍梢捎骚臊筲（~箕）烧膻缫		扫嫂少		潲燥肖（生~）哨				
zɔ		韶饶=曹槽𡮦（𤎤~）		造		皂兆召绍邵扰			
kɔ	高膏篙羔糕胶-铰皋		稿搞搅-绞		告窖酵-教-觉-（睏~）				
kʰɔ	敲		考烤拷		靠犒铐				
gɔ		螯		搞绞-（交叉）		绞-（纠缠）			
ŋɔ		螯昂		咬		奡（抬头动作）傲			
hɔ	蒿耗薅□（哈喇味）		好		孝-（脱~）				
hɦɔ		豪壕毫号（呼~）		□（~心：兴高采烈）		浩号（~数）㩝（量度）			
ʔɔ	噢拗（~断）		抝（~勒臂弯里：挂在臂上）袄（布~）		懊奥□（勿：~去）				
ɦɔ		□（表应答）		□（表许诺）					
piɔ	膘标彪表□（液体从小洞或缝隙里急速射出）		表裱		婊（~子）				
pʰiɔ	飘漂（~流）				票漂				
biɔ		瓢嫖							
miɔ		苗描	藐渺			庙秒妙			
tiɔ	刁貂雕凋		□（拉，抓住，提携）		钓吊				
tʰiɔ	挑		□（给予好处：~~你）		跳粜眺				
diɔ		调（~和）条				调（~动）掉（~头）𭏆（一~田）			
liɔ		辽燎潦镣僚撩寥疗聊		了（~光）		料廖掉（打~）撂了（~解）			
tɕiɔ	交郊胶=焦蕉椒骄娇浇		绞狡剿（又音）矫缴侥		教=（~育）校（~对）较觉=酵=叫				
tɕʰiɔ	锹缲撬敲=跷		巧		俏窍翘				
dʑiɔ		樵瞧乔侨荞		撬（~开嘴巴）		轿			
ȵiɔ	尿	饶	鸟娆			绕（~线）尿=			
