字	注释	南宁老口	南宁万秀	武鸣府城	
潮		tʃiu31	tsiu21	tsiu31	
趙		tʃiu223	tsiu21	tsiu22	
兆		tʃiu223	tsiu21	tsiu22	
召		tʃiu55	tsiu21	tsiu55	
昭		tʃiu55	tsiu42	tsiu55	
招		tʃiu55	tsiu42	tsiu55	
沼	沼氣	tʃiu55	tsiu42	tsiu55	
照		tʃiu223	tsiu55	tsiu35	
詔		tʃiu24	siu21	tsiu55	
燒		ʃiu55	siu42	siu55	
少	多少	ʃiu33	siu33	siu33	
少	少年	ʃiu24	siu55	siu35	
韶	韶關	ʃiu31		siu31	
紹		ʃiu223	siu21	siu22	
邵			siu21	tsiu22	
饒		hiu33	ʔiu21	hiu31	
橈	柴				
擾		ɲiu21	ʔiu33	hiu21	
繞	圍繞	ɲiu21	ʔiu21	hiu21	
繞	繞綫	ɲiu21	ʔiu33	hiu22	
驕		kiu55	kiu42	kiu55	
嬌		kiu55	kiu42	kiu55	
矯	矯詐	kiu33	kiu33	kiu33	
喬		kiu31	kiu21	kiu31	
僑		kiu31	kiu21	kiu31	
橋		kiu31	kiu21	kiu31	
蕎		kiu31	kʰiu33	kiu31	
轎		kiu223	kiu21	kiu22	
枵					
囂		hiu55	hiu42	hiu55	
妖		ʔiu55	ʔiu42	ʔiu55	
邀		ʔiu55	ʔiu42	ʔiu55	
腰		ʔiu55	ʔiu42	ʔiu55	
要	要求	ʔiu55	ʔiu42	ʔiu55	
要	重要	ʔiu24	ʔiu55	ʔiu35	
摇		ʔiu31	ʔiu21	hiu31	
謡		ʔiu31	ʔiu21	hiu31	
窯		ʔiu31	ʔiu21	hiu31	
姚		ʔiu31	ʔiu21	hiu31	
舀	舀水				
耀		ʔiu223	ʔiu21	hiu22	
鷂	鷂鷹	ʔiu223	ʔiu21	hiu22	
刁		tiu55	tiu42	tiu55	
貂		tiu55	tiu42	tiu55	
雕		tiu55	tiu42	tiu55	
鳥		niu21	niu33	niu21	
釣		tiu24	tiu55	tiu35	
弔		tiu24	tiu55	tiu35	
挑		tʰiu55	tʰiu42	tʰiu55	
跳		tʰiu24	tʰiu55	tʰiu35	
糶					
條		tiu31	tiu21	tiu31	
調	調和	tiu31	tiu21	tiu31	
跳		tʰiu24	tʰiu55	tʰiu35	
掉		tiu223	tiu21	tiu35	
調	音調	tiu223	tiu21	tiu22	
調	調和	tiu223	tiu21	tiu22	
藋	灰藋菜				
尿		niu223	niu21	niu22	
聊		liu21	liu21	liu31	
遼		liu31	liu21	liu31	
撩		liu31	liu21	liu31	
寥		liu31	liu21	liu22	
了	了結	liu21	liu13	liu21	
瞭		liu31	leu21	liu31	
料		liu223	liu21	liu22	
尥	馬尥蹶子				
蕭		ɬiu55	ɬiu42	ɬiu55	
簫		ɬiu55	ɬiu42	ɬiu55	
澆		kiu55	kiu42	kiu55	
繳	上繳	kiu33	kiu33	kiu33	
僥	僥幸	hiu33	hiu33	hiu33	
叫		ʔiu31	kiu55	kiu35	
竅		kʰiu24	kʰiu55	kʰiu35	
堯		ʔiu31	ʔiu42	hiu31	
曉		hiu33	hiu33	hiu33	
幺	么二三	ʔiu55	ʔiu42	ʔiu55	
吆	吆喝	ʔiu55	ʔiu42	ʔiu55	
杳	杳無音信	miu21	miu33	miu21	
剖		pʰɐu33	pʰɐu33	pɐu33	
某		mɐu21	mɐu13	mɐu21	
畝		mɐu21	mɐu13	mɐu21	
牡		mɐu223	mɐu13	mɐu22	
母		mou21	mu33	mou21	
拇		mou21	mu33	mou21	
戊		fu223		fu22	
茂		mou223	mɐu21	mɐu22	
貿		mou223	mɐu21	mɐu22	
兜		tɐu55	tɐu42	tɐu55	
斗		tɐu33	tɐu33	tɐu33	
抖		tɐu33	tɐu33	tɐu33	
陡		tɐu33	tɐu33	tɐu33	
鬥		tɐu24	tɐu55	tɐu35	
偷		tʰɐu55	tʰɐu42	tɐu55	
㪗	展開				
透		tʰɐu24	tʰɐu55	tɐu35	
頭		tou31	tɐu21	tou31	
投		tou31	tɐu21	tou31	
豆		tou223	tɐu21	tou22	
逗		tou223	tɐu55	tou22	
樓		lɐu31	lɐu21	lɐu31	
摟	摟取	lɐu55	lɐu33	lɐu21	
耬	農具				
簍		lou31	lɐu33	lou33	
摟	抱	lɐu55	lɐu33	lou33	
漏		lɐu223	lɐu21	lɐu22	
陋		lɐu223	lɐu21	lɐu22	
走		tʃɐu33	tsɐu33	tsɐu33	
奏		tʃɐu24	tsɐu55	tsɐu35	
凑		tʃʰɐu24	tsʰɐu55	tsʰɐu35	
叟		ɬɐu33	ɬɐu33	ɬɐu33	
嗽	咳嗽	ʃɐu24	sɐu55		
勾	勾通	kɐu55	ŋɐu42	kɐu55	
鈎		kɐu55	kɐu42	kɐu55	
溝		kɐu55	kɐu42	kɐu55	
狗		kɐu33	kɐu33	kɐu33	
苟		kɐu33	kɐu33	kɐu33	
彀	往上殼	kɐu24			
够		kɐu24	kɐu55	kɐu35	
構		kɐu24	kʰɐu55	kɐu35	
購		kɐu24	kʰɐu55	kɐu35	
勾	勾當	kɐu55	ŋɐu42	kɐu55	
摳		kʰɐu55	kʰɐu42	kɐu55	
瞘	眼瞘				
口		kʰɐu33	hɐu33	hɐu33	
叩	叩頭	kʰɐu33	kʰɐu33	kɐu35	
扣	扣住	kʰɐu24	kʰɐu55	kɐu35	
寇		kʰɐu24	kʰɐu55	kɐu35	
藕		ɲiɐu21	ŋɐu13	ŋɐu21	
偶	配偶	ŋɐu21	ŋɐu13	ŋɐu21	
偶	偶然	ŋɐu21	ŋɐu13	ŋɐu21	
吼		hɐu24	kʰɔŋ33		
侯		hɐu31	hɐu21	hɐu31	
喉		hɐu31	hɐu21	hɐu31	
猴		hɐu31	hɐu21	hɐu31	
瘊	瘊子		hɐu21		
後	先後	hɐu24	hɐu21	hɐu22	
厚		hɐu21	hɐu21	hɐu21	
后	皇后	hɐu24	hɐu21	hɐu22	
候		hɐu223	hɐu21	hɐu22	
歐		ʔɐu55	ʔɐu42	ʔɐu55	
甌		ʔɐu55	ʔɐu42	ʔɐu55	
嘔	嘔吐	ʔɐu33	ʔɐu33	ʔɐu33	
毆		ʔɐu33	ʔɐu42	ʔɐu33	
漚	久浸水中	ɐu24	ŋɐu55	ʔɐu22	
慪	慪氣	ɐu24	ŋɐu55	ʔɐu22	
否		fɐu33	fɐu33	fɐu21	
富		fou24	fu55	fou35	
副		fu24	fu55	fu35	
副		fou24			
浮		fɐu31	fɐu21	fɐu31	
浮		pɐu31		pou31	
婦		fou223	fu21	fou22	
負		fu223	fu21	fu22	
阜		fɐu21	pu21	fɐu21	
復	復興	fok33	fok33	fok33	
謀		mɐu31	mɐu21	mɐu31	
矛		mau31	mau21	mau31	
紐		nɐu21	nɐu33	nou33	
扭		nou21	nɐu33	nou33	
流		lou31	lɐu21	lou31	
劉		lou31	lɐu21	lou31	
留		lou31	lɐu21	lou31	
榴	石榴	lɐu31	lɐu21	lou31	
硫	硫磺	lou31	lɐu21	lou31	
琉	琉璃	lou31	lɐu21	lou31	
柳		lou21	lɐu33	lɐu21	
溜		liu55	lɐu21	lou31	
餾		lou223	lɐu21	lou31	
廖	姓	liu223	liu21	liu22	
揫	一把擎住	tʃou55			
酒		tʃou33	tsɐu33	tsou33	
秋	秋天	tʃʰou55	tsʰɐu42	tsʰou55	
秋	秋千	tʃʰou55	tsʰɐu42	tsʰou55	
鞦	牛鞦				
就		tʃou223	tsɐu21	tsɐu22	
修		ɬou55	ɬɐu42	ɬou55	
羞		tʃʰou33	ɬɐu42	ɬou55	
秀		ɬou24	ɬɐu55	ɬou35	
繡		ɬou24	ɬɐu55	ɬou35	
宿	星宿	ɬok33	ɬok33	ɬok33	
鏽	鐵鏽	ɬou24	ɬɐu55	ɬou35	
囚		tʃou31	tsɐu21	kɐu31	
泅	游水	tʃou31	tsɐu21		
袖		tʃou223	tsɐu21	tsɐu22	
肘		tʃʰɔn24	si21		
晝		tʃɐu24	tsɐu21	tsɐu35	
抽		tʃʰɐu55	tsʰɐu42	tsʰɐu55	
丑		tʃʰou33	tsʰɐu33	tsʰɐu33	
綢		tʃou31	tsɐu21	tsɐu31	
稠		tʃɐu31	tsɐu21	tsɐu31	
籌		tʃɐu31	tsɐu21	tsɐu31	
紂	桀紂	tʃɐu223	tsɐu21	tsɐu22	
宙		tʃɐu223	tsɐu21	tsɐu22	
鄒			tsɐu42	tsɐu31	
掫	往上掫				
皺		ɲiɐu24	ȵiɐu55	ȵiɐu35	
縐		ɲiɐu24	ȵiɐu55	ȵiɐu35	
搊	搊起來				
矁					
愁		ʃɐu31	sɐu21	sɐu31	
驟		tʃʰɐu24	tsɐu55	tsɐu35	
搜		ɬɐu33	ɬɐu42	ɬɐu55	
颼		ɬɐu33	ɬɐu42	ɬɐu55	
餿	飯餿了	ɬɐu55	ɬɐu42	ɬɐu55	
蓃	蓃集	ɬɐu33	sɐu42	ɬɐu55	
瘦		ʃɐu24	sɐu55	sɐu35	
漱	漱口	ʃo24			
周		tʃou55	tsɐu42	tsou55	
舟		tʃou55	tsɐu42	tsou55	
州		tʃou55	tsɐu42	tsou55	
洲		tʃou55	tsɐu42	tsou55	
帚		tʃou33	tsɐu21	tsɐu33	
咒		tʃɐu24	tsɐu55	tsɐu35	
醜		tʃʰou33	tsʰɐu33	tsʰɐu33	
臭	香臭	tʃʰou24	tsʰɐu55	tsʰou35	
收		ʃou55	sɐu42	sou55	
手		ʃou33			
首		ʃou33	sɐu33	sɐu33	
守		ʃou33	sɐu33	sɐu33	
獸		ʃɐu24	sɐu55	sɐu35	
仇	姓	ʃɐu31	sɐu21	sɐu31	
酬		tʃɐu31	tsɐu21	tsɐu31	
受		ʃou223	sɐu21	sɐu22	
壽		ʃou223	sɐu21	sɐu22	
授		ʃou223	sɐu21	sɐu22	
售		ʃou223	sɐu21	sɐu22	
柔		jou31	jɐu21	jɐu31	
揉		jou31			
鳩		kɐu55	kɐu42	kiu55	
鬮	拈鬮				
糾	糾纏	kɐu55	tɐu33	kiu33	
九		kou33	kɐu33	kɐu33	
久		kou33	kɐu33	kɐu33	
韭		kɐu33	kɐu33	kɐu33	
灸	針灸	kɐu24	kʰɐu33	kɐu33	
救		kou24	kɐu55	kou35	
究		kɐu24	kɐu55	kɐu35	
丘		jou55	jɐu42	jou55	
糗	麵煮糗了				
求		kou31	kɐu21	kɐu31	
球		kou31	kɐu21	kɐu31	
仇		ʃɐu31	sɐu21		
臼		kou21	kʰɐu33	kɐu21	
舅		kou21	kɐu13	kɐu21	
咎			kʰɐu33	kɐu21	
舊		kou223	kɐu21	kɐu22	
柩		kou21	kɐu33	kɐu22	
牛		ɲiou31	ȵiɐu21	ȵiɐu31	
休		jou55	jɐu42	jou55	
朽		ŋɐu21	ŋɐu13	jou31	
嗅		ɲiou24	ȵiɐu55	ȵiou35	
憂		jou55	jɐu42	jou55	
優		jou55	jɐu42	jou55	
尤		jou31	jɐu21	jɐu31	
郵		jou31	jɐu21	jɐu31	
有		jou21	jɐu13	jɐu21	
友		jou21	jɐu13	jɐu21	
又		jou223	jɐu21	jɐu22	
右		jou223	jɐu21	jɐu22	
祐		jou223	jɐu21	jɐu22	
由		jou31	jɐu21	jɐu31	
油		jou31	jɐu21	jɐu31	
游		jou31	jɐu21	jɐu31	
猶		jou31	jɐu21	jɐu31	
悠	悠悠	jou55	jɐu42	jou55	
酉		jou21	jɐu33	jɐu21	
莠		ɬou24		ɬou35	
誘		jɐu223	ɬɐu55	jɐu22	
柚		jou223	jɐu21	jɐu22	
鼬	黃鼬	jou223	jɐu21	jɐu22	
釉		jou223	jɐu21	jou22	
彪		piu55	piu42	pʰiu55	
謬		mɐu24	mɐu55	miu22	
丢		tɐu55	mɐu42	tɐu55	
糾	糾正	kiu33	tɐu33	kiu33	
幽		jou55	jɐu42	jou55	
幼		jɐu24	jɐu55	jɐu35	
耽		tam55	tam42	tam55	
答		tam55	tap33	tap33	
搭		tap22	tap33	tap33	
貪		tʰam55	tʰm42	tʰam55	
探	試探	tʰam24	tʰm55	tʰam35	
踏		tap12	tap22	tap22	
搨	搨本		tʰt33		
潭		tam31	tam21	tam31	
譚		tam31	tam21	tam31	
沓	一沓紙	tap12	tap22	tap22	
南		nam31	nam21	nam31	
男		nam31	nam21	nam31	
納		nap32	nap13	nap21	
漤	漤柿子				
拉		lai55	lai42	lai55	
簪		tʃam55	tsam42	tsam55	
參		tʃʰam55	tsʰam42	tsʰam55	
慘		tʃʰam33	tsʰam33	tsʰam33	
蠶		tʃam31	tsam21	tsam31	
雜		tʃap12	tsap22	tsap22	
感		kam33	kam33	kam33	
合	十合一升	hap12	hap22	hap22	
蛤	蛤蜊				
鴿		kap22	kap33	kap33	
堪		ham55	kʰm55	han33	
龕		ham55	ham21	ham33	
坎		kʰam33	kʰm33	kʰam33	
砍		kʰam33	kʰm33	kʰam33	
勘	勘誤，勘探	kʰam55	kʰm42	kʰam33	
喝	喝酒	hat22	hat33	ho55	
含		ham31	ham21	ham31	
函		ham31	ham21	ham31	
撼		kam33	ham21	han33	
憾		kam33	ham21	han33	
合		hap12	tsap22	hap22	
盒	煙盒	hap12	tsap22	hap22	
庵		ʔam55	ʔam42	ʔan55	
揞	揞住	ʔan24		ʔom33	
暗		ʔam24	ʔam55	ʔam35	
擔	擔任	tam55	tam42	tam55	
膽		tam33	tam33	tam33	
擔	挑擔	tam24	tam55	tam35	
坍	坍下來				
毯		tʰan33	tʰn33	tʰan33	
塔		tʰap22	tʰp33	tʰap33	
榻			tʰt33	tʰat33	
塌		tʰat22	tʰt33	tʰat33	
溻	汗溻濕了				
談		tam31	tam21	tam31	
痰		tam31	tam21	tam31	
淡		tam21	tam13	tam21	
藍		lam31	lam21	lam31	
籃		lam31	lam21	lam31	
覽		lam21	lɐm33	lam21	
攬		lam21	lɐm33	lam21	
欖	橄欖	lam33	lam33	lam33	
濫		lam223	lam21	lan22	
纜		lam223	lam21	lam22	
臘		lap32	lap13	lap21	
镴	錫镴		lap13		
蠟		lap32	lap13	lap21	
慚		tʃan31	tsan21	tsan31	
暫		tʃam223	tsam21	tsam22	
鏨	鏨花	tʃam24		tsam22	
三		ɬam55	ɬam42	ɬam55	
甘		kam55	kam42	kam55	
柑		kam55	kam42	kam55	
泔	泔水	kam55	kam42	kam55	
敢		kam33	kam33	kam33	
橄	橄欖	kam33	kam42	kam33	
磕		kʰok33	kʰɐu33	kʰok33	
蚶	蚶子				
憨	癡		ham42		
喊		hem24	hem55	hem35	
酣		kam55	han21		
埯	坑				
站	立	tʃam223	tsam21	tsam22	
劄	用針劄	tʃat22	tsat33	tsat55	
賺		tʃan223	tsan21	tsan22	
站	車站	tʃam223	tsam21	tsam22	
斬		tʃam33	tsam33	tsan33	
蘸	蘸醬油		tsam42	tem33	
眨	眨眼	tʃap22	tsap33	tsap800	
插		tʃʰap22	tsʰap33	tsʰap800	
讒		tʃan31	tsan21	tsan31	
饞		tʃan31	tsan21	tsan31	
閘		tʃap12	tsap22	tsap22	
炸	用油炸	tʃau24		tsa35	
杉		tʃʰam24	tsam55	sa55	
尷	尷尬	kam24	kam42	kam55	
減		kam33	kam33	kem33	
鹼		kam33	kam33		
夾		kep12	kap33	kɛp35	
裌	裌衣	kep12	kap33	kɛp35	
鵮	鳥啄物				
恰		ʃip33	hap33		
掐		nip32			
咸	全都	ham31	ham21	ham31	
鹹	咸淡	ham31	ham21	ham31	
陷		ham223	ham21	han22	
餡		ham223	ham21		
狹		jap22	hap33	kap21	
峽		jap22	hap33	kap21	
洽		ʃip33	hap33	kap21	
攙		tʃan21	tsʰam42	tsan31	
衫		ʃam55	sam42	sa55	
釤	大鐮刀				
監	監察	kam55	kam42	kam55	
鑑		kam24	kam55	kam55	
監	國子監	kam24	kam42	kam55	
甲		kap22	kap33	kap33	
胛	肩胛	kap22	kap33	kap33	
嵌			ham21	ham55	
嚴		ŋam31	ŋam21	ŋam31	
銜		ham31	ham21	ham31	
艦		lam21	lam21	kin22	
匣	箱匣	hap12	kɛp33	hap22	
鴨		ʔap22	ʔap33	ʔap33	
押		ʔap22	ʔap33	ʔap33	
壓		ʔat22	ʔat33	ʔap33	
貶		pen33	pen33	pen33	
黏	黏米	nim55	nim21	nim31	
聶	姓	nip32	nip13	nip21	
鑷	鑷子	nep34	nɛp33	nem35	
躡	躡腳走		sip13		
廉		lim31	lim21	lim31	
鐮		lim31	lim21	lim31	
簾		lim31	lim21	lim31	
斂		lim21	lim21	len21	
斂		lim21	lim21		
殮		lim21	lim21		
獵		lit32	lip13	lit21	
尖		tʃim55	tsim42	tsim55	
殲	殲滅	tʃʰim55	tsʰim42	tsʰim55	
接		tʃip33	tsip33	tsip33	
籤	標簽	tʃʰim55	tsʰim42	tsʰim55	
簽	簽注	tʃʰim55	tsʰim42	tsʰim55	
妾		tʃip33	tsʰip33	tsip33	
潛		tʃim31	tsim21	tsim31	
漸		tʃim223	tsim21	tsim22	
捷		tʃʰit33	tsit22	tsit33	
沾		tʃim55		tsim55	
粘	粘貼			tsim55	
瞻		tʃim55	tsim42	tsim55	
占	占卜	tʃim55	tsim55	tsim35	
佔		tʃim24	tsim55	tsim35	
摺	摺叠	tʃɐp32	tsip33	tsɐp33	
褶	皺紋	tʃɐp32	tsip33		
陝	陜西	ʃim33	sim33	sim33	
閃		ʃim33	sim33	sim33	
攝		ʃip33	sip13	sip33	
蟾	蟾酥		sim21		
涉		ʃip33	sip13	sip33	
染		ɲim21	ȵim33	ȵim21	
冉		ɲim21	ȵim33		
檢		kim33	kim33	kim33	
臉		lim21	min21	min22	
鉗		kem31	kem21	kem31	
儉		kim223	kim21	kim22	
驗		nim223	nim21	nim22	
險		him33	him33	him33	
淹		ʔim33	ʔim33	ʔim55	
閹		ʔim55	ʔim42	ʔim55	
掩		ʔim33	ʔim33	ʔim33	
魇					
厭		ʔim24	ʔim55	ʔim35	
靨	酒靨				
炎		hin31	ʔim21	hin31	
鹽		him31	ʔim21	him31	
閻		ɲim31	ʔim21	him31	
簷		hin31	ʔim21	hin31	
豔		ʔin24	ʔin55	ʔin35	
焰		ɲim31	ʔin55	ʔin35	
鹽	醃	him31		him31	
葉		hip32	hip13	hip21	
頁		hip32	hip13	hip21	
劍		kim24	kim55	kim35	
劫		kip33	kip33	kip33	
欠			him55	him35	
怯	畏怯	hip33	hip33		
嚴		ɲim31	ʔim21	ȵim31	
儼	儼然	ɲim31	ʔim21	him31	
釅	釅茶				
業		ɲip32	hip13	ȵp21	
杴	鍬屬				
脅		hip33	hip13	jip33	
醃			ʔip33		
腌		ʔip33	ʔip33	ʔip33	
掂	掂掇	tim55	tim21		
點		tim33	tim21	tim33	
點			tem21		
店		tim24	tim55	tim35	
跌		tit33	tit33	tit33	
添		tʰim55	tʰim42	tʰim55	
舔		kem21		tʰim55	
㮇	掭筆	tim223	tim21		
帖	碑帖，請帖	tʰip33	tʰip33	tʰip33	
貼		tʰip33	tʰip33	tʰip33	
甜		tim31	tim21	tim31	
簟	席				
疊		tip32	tip22	tip22	
碟		tip32	tip22	tip22	
牒		tip32	tip22	tip22	
蝶		tip32	tip22	tip22	
諜		tip32	tip22	tip22	
鮎	鮎魚				
拈	拈起來	tʃim55	nim21	nem55	
念		tʃim223	nim21	nim22	
苶	發苶				
兼		kʰim55	kim42	kʰim55	
搛	搛菜				
挾	挾菜	kep22	kap33	kɛp33	
謙		kʰim55	him42	kʰim55	
歉		him31	him55	kʰim35	
嫌		him24	ʔim21	him31	
協		hip33	hip13	hit21	
法	方法	fap22	fap33	fap33	
泛		fam223	fan55	fan22	
凡		fan31	fan21	fan31	
帆		fan31	fan21	fan31	
范		fam24	fan55	fam22	
範		fam24	fan55	fam22	
犯		fam24	fam21	fam22	
乏		fat12	fat22	fap22	
禀		pən33	pɐn33	pən33	
品		pʰən33	pʰɐn33	pən33	
賃	租賃	ɲɐm223	ȵiɐm21		
林		lɐm31	lɐm21	lɐm31	
淋	淋漓	lɐm31	lɐm21	lɐm31	
臨		lɐm31	lɐm21	lɐm31	
檩					
立		lɐp12	lɐp13	lɐp21	
笠		lɐp12	lɐp13	lɐp21	
粒		nɐp33	nɐp33	lɐp21	
浸		tʃɐm24	tsɐm55	tsɐm35	
侵		tʃʰɐm55	tsʰɐm42	tsʰɐm55	
寢		tʃʰɐm33	tsʰɐm33	sɐm33	
吣	貓吣				
緝	緝鞋口	tʃʰɐp33	tsʰɐp33	tsʰɐp33	
集		tʃɐp32	tsɐp22	tsɐp21	
輯	編輯	tʃʰɐp33	tsʰɐp33	tsʰɐp33	
心		ɬɐm55	ɬɐm42	ɬɐm55	
尋		tʃɐm31	tsɐm21	tsɐm31	
習		tʃɐp32	tsɐp22	tsɐp21	
襲		tʃɐp32	tsɐp22	tsɐp21	
沉		tʃɐm31	tsɐm21	tsɐm31	
蟄	驚蟄	tʃət32			
簪		tʃam55	tsam42	tsam55	
參	參差	tʃʰam55	tsʰam42	tsʰam55	
岑		kʰɐm31	kɐm21	kɐm31	
森		ʃɐm55	sɐm42	sɐm55	
參	人參	ʃɐm55	sɐm42	sɐm55	
滲	水滲透	tʃʰɐm24	tsʰɐm55	tsʰɐm33	
澀		tʃi55	kip33	sɐp55	
針		tʃɐm55	tsɐm42	tsɐm55	
斟		tʃɐm55	tsɐm42	tsɐm55	
枕		tʃɐm33	tsɐm33	tsɐm33	
枕	動詞	tʃɐm33	tsɐm33	tsɐm33	
執		tʃɐp33	tsɐp33	tsɐp33	
汁		tʃɐp33	tsɐp33	sɐp21	
葚	桑葚				
深		ʃɐm55	sɐm42	sɐm55	
沈		ʃɐm33	sɐm33	sɐm33	
審		ʃɐm24	sɐm55	sɐm35	
嬸		ʃɐm31	sɐm21	sɐm31	
濕		ʃɐp33	sɐp33	sɐp33	
甚		ʃɐm223	sɐm21	sɐm22	
十		ʃɐp32	sɐp22	sɐp21	
什	什物	ʃɐp32	sɐp22	sɐp21	
拾	拾起來	ʃɐp32		sɐp21	
壬		ɲɐm31	ȵiɐm21	ȵiɐm31	
任	姓	ɲɐm223	ȵɐm21	ȵɐm22	
任	責任	ɲɐm223	ȵɐm21	ȵɐm22	
紝	縫紉	ɲɐm21	ȵɐm21	ȵɐm22	
入		ɲɐp32	ȵiɐp13	ȵiɐp21	
今		kɐm55	kɐm42	kɐm55	
金		kɐm55	kɐm42	kɐm55	
禁	禁不住	kɐm24	kɐm55	kɐm35	
襟		kʰɐm55	kʰɐm42	kɐm55	
錦		kɐm33	kʰɐm33	kɐm33	
禁	禁止	kɐm24	kɐm55	kɐm35	
急		kɐp33	kɐp33	kɐp33	
級		kʰɐp33	kʰɐp33	kɐp33	
給	供給	kʰɐp33	kʰɐp33	kɐp21	
欽		kʰɐm55	kʰɐm42	kɐm55	
撳	按	kɐm223			
泣		lɐp32	nɐp33		
㬤		ʃɐp33	sɐp33		
琴		kɐm31	kɐm21	kɐm31	
禽		kɐm31	kɐm21	kɐm31	
擒		kɐm31	kɐm21	kɐm31	
妗	舅母	kɐm21	kɐm33	kɐm21	
及		kɐp32	kɐp22	kɐp21	
吟		ɲiɐm31	jɐm21	ȵiɐm31	
吸		kʰɐp33	kʰɐp33	kɐp33	
音		jɐm55	jɐm42	jɐm55	
陰		jɐm55	jɐm42	jɐm55	
飲	飲酒	ɲiɐm31	ȵiɐm33	ȵiɐm33	
飲	米湯	ɲiɐm31	ȵiɐm33	ȵiɐm33	
蔭	屋子很蔭	jɐm24	jɐm42	jɐm55	
窨	地窨子				
飲	飲馬	ɲɐm55	ȵiɐm33	ȵiɐm33	
揖	作揖	jɐp33	jɐp33	jɐp33	
淫		jɐm31	jɐm21	jɐm31	
丹		tan55	tan42	tan55	
單	單獨	tan55	tan42	tan55	
撣	鷄毛撣子				
旦		tan24	tan55	tan35	
灘		tʰan55	tʰn42	tʰan55	
攤		tʰan55	tʰn42	tʰan55	
坦		tʰan33	tʰn33	tʰan31	
炭		tʰan24	tʰn55	tʰan35	
歎		tʰan24	tʰn55	tʰan35	
獺	水獺	tʰat22	tsʰat33	tsʰat33	
檀		tan31	tan21	tan31	
壇		tan31	tan21	tan31	
彈	彈琴	tan31	tan21	tan31	
誕		tan24	tan55	tan33	
但		tan223	tan21	tan22	
彈	子彈	tan223	tan21	tan22	
蛋		tan223	tan21	tan22	
達		tat12	tat22	tat22	
難	難易	nan31	nan21	nan31	
難	患難	nan31	nan21	nan31	
捺	撇捺	nai223	nat13		
蘭		lan31	lan21	lan31	
攔		lan31	lan21	lan31	
欄		lan31	lan21	lan31	
懶		lan21	lan33	lan21	
爛		lan223	lan21	lan22	
辣		lat32	lat13	lat21	
瘌			lai55		
贊		tʃan24	tsan55	tsan35	
灒	濺	tʃan24	tsan55	tsan35	
餐		tʃʰan55	tsʰan42	tsʰan55	
燦		tʃʰan24	tsʰan55	tsʰan35	
擦		tʃʰat22	tsʰat33	tsʰat33	
殘		tʃan31	tsan21	tsan31	
珊		ʃan55	san42	san55	
散	鞋子散了	ɬan24	ɬan55	ɬan35	
傘		ɬan24	ɬan55	ɬan35	
散	分散	ɬan24	ɬan55	ɬan35	
撒	撒手	ɬat22	ɬat33	ɬat33	
薩		ɬat22	ɬat33	ɬat33	
干	干脆	kan55	kan42	kan55	
肝		kan55	kan42	kan55	
竿	竹竿	kan55	kan42	kan55	
乾	乾濕	kan55	kan42	kan55	
桿		kan33	kan55	kan55	
稈	稻稈	kan33	kan55	kan55	
擀	擀麵	kan33			
趕		kan33	kan33	kan33	
干	做	kan24	kan55	kan35	
割		kat22	kat33	kɛt33	
葛		kat22	kat33	kat33	
看	看守	han24	han55	han35	
刊		han33	han33	kan33	
看	看見	han24	han55	han35	
渴		hat22	hɔt33		
岸		ŋan223	ŋan21	ŋan22	
鼾			han42		
罕		han33	han33	han33	
漢		han24	han55	han35	
喝	喝采	hat22	hɔt33	ho55	
寒		han31	han21	han31	
韓		han31	han21	han31	
旱		han21	han13	han21	
汗		han223	han21	han22	
銲	銲鉄壺	ham223	han21	ham22	
翰		han223	han21	ham22	
安		ʔan55	ʔan42	ʔan55	
鞍		ʔan55	ʔan42	ʔan55	
按		ʔan24	ʔan55	ʔan35	
案		ʔan24	ʔan55	ʔan35	
扮		pʰan24	pan55	pʰan35	
八		pat22	pat33	pat33	
盼		pʰan24	pʰn55	pʰan35	
瓣		pan223	pan21	pʰan35	
辦		pan223	pan21	pan22	
拔		pat12	pat22	pat22	
抹	抹布	mat32	mat13	mat21	
綻	破綻	tən223	tsan21		
盞		tʃan33	tsan33	tsan33	
札		tʃat12	tsat33	tsat33	
紮		tʃat12	tsat33	tsat33	
鏟		tʃʰan33	tsʰan33	tsʰan33	
察		tʃʰat12	tsʰat33	tsʰat33	
山		ʃan55	san42	san55	
産		tʃʰan33	tsʰan33	tsʰan33	
殺		ʃat12	sat33	sat33	
艱		kan55	kan42	kan55	
間	中間	kan55	kan42	kan55	
簡		kan33	kan33	kem33	
襉					
柬		kan33	kan33	kem33	
揀		kan33	ken33	ken33	
間	間斷	kan24	kan55	kan35	
擖	用刀刮				
眼		ɲan21	ȵan13	ȵen21	
閑		han31	han21	han31	
限		han223	han21	han22	
莧	莧菜	han223	han21	han22	
軋	被車軋	tʃat12	tsat33	tsat33	
班		pan55	pan42	pan55	
斑		pan55	pan42	pan55	
頒		pan55	pan42	pan55	
扳		pʰan55	pan33	pan33	
板		pan33	pan33	pan33	
版		pan33	pan33	pan33	
攀		pʰan55	pʰn42	pʰan55	
扳		pʰan55	pan33	pan33	
襻	紐襻		pʰn42		
爿					
蠻		man31	man21	man31	
慢		man223	man21	man22	
棧		tʃan223	tsan21	tsam22	
鍘	鍘刀	tʃap12	tsap22	tsap22	
删		ʃan24	san42	tsan55	
疝	疝氣	ʃan24			
奸		kan55	kan42	kan55	
諫		kan33	kan42	kan35	
