汉字	注释	大槐树	赵城	辛村	山头	堤村	淹底
级		ʨi21	ʨi21	ʨi21	ʨi21	ʨi21	ʨi21
丹		tan21	tan21	tan21	tan21	tan21	tan21
单	～独	tan21	tan21	tan21	tan21	tan21	tan21
滩		tʰan21	tʰan21	tʰan21	tʰan21	tʰan21	tʰan21
摊		tʰan21	tʰan21	tʰan21	tʰan21	tʰan21	tʰan21
坦		tʰan42	tʰan21	tʰan42	tʰan42	tʰan24	tʰan42
炭		tʰan33	tʰan53	tʰan44	tʰan24	tʰan24	tʰan44
蛋		tʰan53	tʰan53	tʰan53	tʰan53	tʰan53	tʰan53
兰		lan24	lan24	lan24	lan24	lan24	lan24
栏		lan24	lan24	lan24	lan24	lan24	lan24
懒		lan42	lan42	lan42	lan42	lan42	lan42
烂		lan53	lan53	lan53	lan53	lan53	lan53
餐		ʦʰan21	ʦʰan21	ʦʰan21	ʦʰan21	ʦʰan21	ʦʰan21
残		ʦʰan24	ʦʰan24	ʦʰan24	ʦʰan24	ʦʰan24	ʦʰan24
伞		san42	san42	san42	san42	san42	san42
肝		kan21	kan21	kan21	kan21	kan21	kan21
赶		kan42	kan42	kan42	kan42	kan42	kan42
看	～见	kʰan33	kʰan42	kʰan44	kʰan24	kʰan24	kʰan44
岸		ŋan33	ŋan53	ŋan44	ŋan53	ŋan53	ŋan44
汉		xan33	xan24	xan44	xan53	xan53	xan44
寒		xan24	xan24	xan24	xan24	xan24	xan24
韩		xan24	xan24	xan24	xan24	xan24	xan24
汗		xan53	xan53	xan53	xan53	xan53	xan53
安		ŋan21	ŋan21	ŋan21	ŋan21	ŋan21	ŋan21
鞍		ŋan21	ŋan21	ŋan21	ŋan21	ŋan21	ŋan21
按		ŋan33	ŋan53	ŋan44	ŋan53	ŋan21	ŋan44
案		ŋan33	ŋan53	ŋan44	ŋan53	ŋan53	ŋan44
达		ta24	ta53	ta24	ta24	ta24	ta24
辣		la21	la21	la21	la21	la21	la21
擦		ʦʰa21	ʦʰa21	ʦʰa21	ʦʰa21	ʦʰa21	ʦʰa21
割		ko21	kɤ21	kɤ21	kɤ21	kɤ21	ko21
喝	～采、吆～	xo21	xɤ21	xɤ21	xɤ21	xɤ21	xo21
扮		pan33	pan53	pan44	pan53	pan53	pʰan53
盼		pʰan33	pʰan53	pʰan44	pʰan24	pʰan24	pʰan44
办		pʰan53	pʰan53	pʰan53	pʰan53	pʰan53	pʰan53
山		san21	san21	san21	san21	san21	san21
产		ʦʰan42	ʦʰan42	ʦʰan42	ʦʰan42	ʦʰan42	ʦʰan42
艰		ʨian21	ʨian21	ʨian21	ʨian21	ʨian21	ʨian21
简		ʨian42	ʨian42	ʨian42	ʨian42	ʨian42	ʨian44
眼		ȵian53	ȵian53	ȵian53	ȵian53	ȵian53	ȵian53
闲		ɕian24	ɕian24	ɕian24	ɕian24	ɕian24	ɕian24
八		pa21	pa21	pa21	pa21	pa21	pa21
拔		pʰa24	pʰa24	pʰa24	pʰa24	pʰa24	pʰa24
察		ʦʰa24	ʦʰa24	ʦʰa21	ʦʰa24	ʦʰa24	ʦʰa24
杀		sa21	sa21	sa21	sa21	sa21	sa21
班		pan21	pan21	pan21	pan21	pan21	pan21
板		pan42	pan42	pan42	pan24	pan42	pan42
蛮		man24	man24	man24	man24	man24	man24
慢		man53	man53	man53	man53	man53	man53
颜		ian24	ian24	ȵian24	ian24	ian24	ian42
雁		ian53	ian53	ian53	ian53	ian53	ian53
铡	～刀	sa24	sa24	sa24	sa24	ʦa21	sa24
瞎		xa21	xa21	xa21	xa21	xa21	xa21
鞭		pian21	pian21	pian21	pian21	pian21	pian21
编		pian21	pian21	pian21	pian21	pian21	pian21
变		pian33	pian24	pian44	pian24	pian24	pian44
偏		pʰian21	pʰian21	pʰian21	pʰian21	pʰian21	pʰian21
辩		pian33	pian53	pian44	pian53	pian53	pian44
绵		mian24	mian24	mian24	mian24	mian24	mian24
棉		mian24	mian24	mian24	mian24	mian24	mian24
免		mian42	mian42	-	mian42	mian42	mian42
碾		ȵian53	ȵian53	ȵian53	ȵian53	ȵian53	ȵian53
连		lian24	lian24	lian24	lian24	lian24	lian24
煎		ʨian21	ʨian21	ʨian21	ʨian21	ʨian21	ʨian21
剪		ʨian42	ʨian42	ʨian42	ʨian42	ʨian42	ʨian42
箭		ʨian33	ʨian24	ʨian44	ʨian24	ʨian24	ʨian44
浅		ʨʰian42	ʨʰian42	ʨʰian42	ʨʰian42	ʨʰian42	ʨʰian42
钱		ʨʰian24	ʨʰian24	ʨʰian24	ʨʰian24	ʨʰian24	ʨʰian24
仙		ɕian21	ɕian21	ɕian21	ɕian21	ɕian21	ɕian21
线		ɕian33	ɕian24	ɕian44	ɕian24	ɕian24	ɕian44
缠		tʂʰan24	tʂʰan24	tʂʰan24	tʂʰan24	tʂʰan24	tʂʰan24
毡		tʂan21	tʂan21	tʂan21	tʂan21	tʂan21	tʂan21
战		tʂan33	tʂan24	tʂan44	tʂan24	tʂan53	tʂan44
膻		ʂan21	ʂan21	-	ʂan21	ʂan21	ʂan21
扇	～子	ʂan53	ʂan53	ʂan53	ʂan53	ʂan53	ʂan53
善		ʂan53	ʂan53	ʂan44	ʂan53	ʂan53	ʂan44
然		ʐan24	ʐan24	-	ʐan24	ʐan24	ʐan24
燃		ʐan24	ʐan24	ʐan24	ʐan24	ʐan24	ʐan42
件		ʨʰian53	ʨʰian53	ʨʰian53	ʨʰian53	ʨʰian53	ʨʰian53
延		ian24	ian24	ian24	ian24	ian24	ian24
演		ian42	ian42	ian42	ian42	ian42	ian42
别	区～	pie24	pie24	pie24	pie24	pie24	pie24
灭		mie21	mie21	mie21	mie21	mie21	mie21
列		lie21	lie21	lie21	lie21	lie21	lie21
裂		lie21	lie21	lie21	lie21	lie21	lie53
薛		ɕye21	ɕie21	ɕye21	ɕye21	ɕie21	ɕie21
哲		tʂe21	tʂɤ24	tʂe21	tʂɤ24	tʂɤ24	tʂə24
浙		tʂe33	tʂɤ24	tʂe44	tʂɤ24	tʂɤ24	tʂe24
舌		ʂe24	ʂɤ24	ʂe24	ʂe24	ʂe24	ʂe24
设		ʂe53	ʂe53	ʂe53	ʂe53	ʂe53	ʂe53
热		ʐe21	ʐɤ21	ʐe21	ʐe21	ʐe21	ʐe21
杰		ʨie24	ʨie24	ʨie24	ʨie24	ʨie24	ʨie24
建		ʨian33	ʨian24	ʨian44	ʨian24	ʨian53	ʨian44
言		ian24	ian24	ian24	ian24	ian24	ian24
献		ɕian33	ɕian53	ɕian44	ɕian53	ɕian53	ɕian44
歇		ɕie53	ɕie53	ɕie53	ɕie53	ɕie53	ɕie53
边		pian21	pian21	pian21	pian21	pian21	pian21
片		pʰian53	pʰian53	pʰian53	pʰian53	pʰian53	pʰian53
面	～粉	mian53	mian53	mian53	mian53	mian53	mian53
天		tʰian21	tʰian21	tʰian21	tʰian21	tʰian21	tʰian21
田		tʰian24	tʰian24	tʰian24	tʰian24	tʰian24	tʰian24
填		tʰian24	tʰian24	tʰian24	tʰian24	tʰian24	tʰian24
电		tian53	tian53	tian53	tian53	tian53	tian53
殿		tian33	tian53	tian44	tian53	tian53	tian44
年		ȵian24	ȵian24	ȵian24	ȵian24	ȵian24	ȵian24
怜		lian24	lian24	lian24	lian24	lian24	lian24
练		lian53	lian53	lian53	lian53	lian53	lian53
千		ʨʰian21	ʨʰian21	ʨʰian21	ʨʰian21	ʨʰian21	ʨʰian21
前		ʨʰian24	ʨʰian24	ʨʰian24	ʨʰian24	ʨʰian24	ʨʰian24
先		ɕian21	ɕian21	ɕian21	ɕian21	ɕian21	ɕian21
肩		tian21	tian21	tian21	tian21	tian21	ʨian21
见		tian33	tian24	tian44	tian24	tian24	ʨian44
牵		ʨʰian21	ʨʰian21	ʨʰian21	ʨʰian21	ʨʰian21	ʨʰian21
显		ɕian42	ɕian42	ɕian42	ɕian42	ɕian42	ɕian42
贤		ɕian24	ɕian24	ɕian24	ɕian24	ɕian24	ɕian24
弦		ɕyan24	ɕyan24	ɕyan24	ɕyan24	ɕian24	ɕyan24
现		ɕian53	ɕian53	ɕian53	ɕian53	ɕian53	ɕian53
烟		ian21	ian21	ian21	ian21	ian21	ian21
铁		tʰie21	tʰie21	tʰie21	tʰie21	tʰie21	tʰie21
捏		ȵie21	ȵie21	ȵie21	ȵie21	ȵie21	ȵie21
节		ʨie21	ʨie21	ʨie21	ʨie21	ʨie24	ʨie21
切	～开	ʨʰie21	ʨʰie21	ʨʰie21	ʨʰie21	ʨʰie21	ʨʰie21
结		ʨie24	ʨie24	ʨie24	ʨie24	ʨie24	ʨie24
洁		ʨie24	ʨie24	ʨie21	ʨie24	ʨie24	ʨie24
搬		pan21	pan21	pan21	pan21	pan21	pan21
半		pan44	pan24	pan44	pan24	pan24	pan44
潘		pʰan21	pʰan21	pʰan21	pʰan21	pʰan21	pʰan21
判		pʰan33	pʰan53	pʰan44	pʰan53	pʰan53	pʰan44
盘		pʰan24	pʰan24	pʰan24	pʰan24	pʰan24	pʰan24
伴		pʰan53	pan53	pʰan53	pʰan53	pan53	pʰan53
瞒		man24	man24	man24	man24	man24	man24
馒	～头	man24	man24	man24	man24	man24	man24
满		man42	man42	man42	man42	man42	man42
端		tuan21	tuan21	tuan21	tuan21	tuan21	tuan21
短		tuan42	tuan42	tuan42	tuan42	tuan42	tuan42
断	决～	tuan33	tʰuan53	tuan44	tuan53	tuan53	tuan44
团		tʰuan24	tʰuan24	tʰuan24	tʰuan24	tʰuan24	tʰuan24
段		tʰuan53	tʰuan53	tʰuan53	tuan53	tuan53	tʰuan53
乱		lan53	lan53	lan53	lan53	lan53	lan53
酸		suan21	suan21	suan21	suan21	suan21	suan21
算		suan33	suan24	suan44	suan24	suan24	suan44
蒜		suan33	suan24	suan44	suan24	suan24	suan44
官		kuan21	kuan21	kuan21	kuan21	kuan21	kuan21
棺		kuan21	kuan21	kuan21	kuan21	kuan21	kuan21
观	参～	kuan21	kuan21	kuan21	kuan21	kuan21	kuan21
管		kuan42	kuan42	kuan42	kuan42	kuan42	kuan42
馆		kuan42	kuan42	kuan24	kuan24	kuan24	kuan24
罐		kuan53	kuan53	kuan53	kuan53	kuan24	kuan53
冠	～军	kuan33	kuan53	kuan44	kuan53	kuan53	kuan44
宽		kʰuan21	kʰuan21	kʰuan21	kʰuan21	kʰuan21	kʰuan21
款		kʰuan42	kʰuan42	kʰuan42	kʰuan42	kʰuan42	kʰuan42
玩	古～、游～	uan24	uan24	uan24	uan24	uan24	uan24
欢		xuan21	xuan21	xuan21	xuan21	xuan21	xuan21
唤		xuan33	xuan53	xuan44	xuan53	xuan53	xuan44
完		uan24	uan24	uan24	uan24	uan24	uan24
换		xuan53	xuan53	xuan53	xuan53	xuan53	xuan53
豌	～豆	uan21	uan21	uan21	uan21	uan21	uan21
碗		uan42	uan42	uan42	uan42	uan42	uan42
脱		tʰuo21	tʰuo21	tʰuo21	tʰuo21	tʰuo21	tʰo21
活		xuo24	xuo24	xuo24	xuo24	xuo24	xuo24
顽	～皮、～固	uan24	uan24	uan24	uan24	uan24	uan24
幻		xuan53	xuan53	xuan53	xuan53	xuan53	xuan53
滑		xua24	xua24	xua24	xua24	xua24	xua24
挖		ua21	ua21	ua21	ua21	ua21	ua21
涮	～洗	fan33	ʂuan24	fan44	ʂuan24	ʂuan24	fan44
关		kuan21	kuan21	kuan21	kuan21	kuan21	kuan21
惯		kuan33	kuan24	kuan44	kuan24	kuan24	kuan44
环		xuan24	xuan24	xuan24	xuan24	xuan24	xuan24
患		xuan53	xuan53	xuan53	xuan53	xuan53	xuan53
弯		uan21	uan21	uan21	uan21	uan21	uan21
刷		fa21	ʂua21	fa21	ʂua21	ʂua21	fa21
刮		kua21	kua21	kua21	kua21	kua21	kua21
全		ʨʰyan24	ʨʰyan24	ʨʰyan24	ʨʰyan24	ʨʰyan24	ʨʰyan24
泉		ʨʰyan24	ʨʰyan24	ʨʰyan24	ʨʰyan24	ʨʰyan24	ʨʰyan24
宣		ɕyan21	ɕyan21	ɕyan21	ɕyan21	ɕyan21	ɕyan24
选		ɕyan42	ɕyan42	ɕyan42	ɕyan42	ɕyan42	ɕyan42
砖		tʂuan21	tʂuan21	tʂuan21	tʂuan21	tʂuan21	tʂuan21
川		tʂʰuan21	tʂʰuan21	tʂʰuan21	tʂʰuan21	tʂʰuan21	tʂʰuan21
穿		tʂʰuan21	tʂʰuan21	tʂʰuan21	tʂʰuan21	tʂʰuan21	tʂʰuan21
串		tʂʰuan53	tʂʰuan53	tʂʰuan53	tʂʰuan53	tʂʰuan53	tʂʰuan53
船		tʂʰuan24	tʂʰuan24	tʂʰuan24	tʂʰuan24	tʂʰuan24	tʂʰuan24
软		van42	ʐuan42	van42	ʐuan42	ʐuan42	van42
卷	～起	ʨyan42	ʨyan42	ʨyan42	ʨyan42	ʨyan42	ʨyan42
拳		ʨʰyan24	ʨʰyan24	ʨʰyan24	ʨʰyan24	ʨʰyan24	ʨʰyan24
权		ʨʰyan24	ʨʰyan24	ʨʰyan24	ʨʰyan24	ʨʰyan24	ʨʰyan24
圆		yan24	yan24	yan24	yan24	yan24	yan24
院		yan53	yan53	yan53	yan53	yan53	yan53
缘		yan24	yan24	yan24	yan24	yan24	yan24
捐		ʨyan21	ʨyan21	ʨyan21	ʨyan21	ʨyan21	ʨyan21
雪		ɕye21	ɕye21	ɕye21	ɕye21	ɕye21	ɕye21
说	～话	fɛ21	ʂuo21	ʂue21	ʂuo21	ʂuo21	fe21
反		fan42	fan42	fan21	fan21	fan21	fan21
贩		fan33	fan53	fan44	fan53	fan24	fan44
翻		fan21	fan21	fan21	fan21	fan21	fan21
烦		fan24	fan24	fan24	fan24	fan24	fan24
饭		fan53	fan53	fan53	fan53	fan53	fan53
晚		uan53	uan53	uan53	uan53	uan53	van53
万		van53	uan53	van53	van53	van53	van53
劝		ʨʰyan33	ʨʰyan24	ʨʰyan44	ʨʰyan24	ʨʰyan53	ʨʰyan44
原		yan24	yan24	yan24	yan24	yan24	yan24
愿		yan53	yan53	yan53	yan53	yan53	yan53
冤		yan21	yan21	yan21	yan21	yan21	yan21
怨		yan53	yan53	yan53	yan53	yan53	yan53
袁		yan24	yan24	yan24	yan24	yan24	yan24
远		yan53	yan53	yan53	yan53	yan24	yan53
筏		fa24	fa24	fa24	fa24	fa24	fa24
袜		va53	va53	va53	va53	va53	va53
月		ye21	ye21	ye21	ye21	ye21	ye21
越		ye33	ye21	ye21	ye21	ye21	ye21
悬		ɕyan24	ɕyan24	ɕyan24	ɕyan24	ɕyan24	ɕyan24
县		ɕian53	ɕian53	ɕian53	ɕian53	ɕian53	ɕian53
决		ʨye24	ʨye24	ʨye21	ʨye24	ʨye24	ʨye24
缺		ʨʰye21	ʨʰye21	ʨʰye21	ʨʰye21	ʨʰye21	ʨʰye21
血		ɕie21	ɕie21	ɕie21	ɕie21	ɕie21	ɕie21
吞		tʰuen21	tʰə̃21	tʰəŋ21	tʰə̃21	tʰen21	tʰen21
根		ken21	kə̃21	ken21	kə̃21	ken21	ken21
很		xen53	xə̃53	xen53	xə̃53	xen53	xen53
恨		xen33	xə̃53	xen44	xə̃53	xen53	xen44
恩		ŋen21	ŋə̃21	ŋen21	ŋə̃21	ŋen21	ŋen21
贫		pʰien24	pʰiə̃24	pʰien24	pʰiə̃24	pʰien24	pʰien24
民		mien24	miə̃24	mien24	miə̃24	mien24	mien24
敏		mien42	miə̃42	mien42	miə̃24	mien24	mien42
邻		lien24	liə̃24	lien24	liə̃24	lien24	lien24
进		ʨien33	ʨiə̃24	ʨien44	ʨiə̃24	ʨien24	ʨien44
晋		ʨien33	ʨiə̃53	ʨien44	ʨiə̃53	ʨien53	ʨien44
亲		ʨʰien21	ʨʰiə̃21	ʨʰien21	ʨʰiə̃21	ʨʰien21	ʨʰien21
秦		ʨʰien24	ʨʰiə̃24	ʨʰien24	ʨʰiə̃24	ʨʰien24	ʨʰien24
辛		ɕien21	ɕiə̃21	ɕien21	ɕiə̃21	ɕien21	ɕien21
新		ɕien21	ɕiə̃21	ɕien21	ɕiə̃21	ɕien21	ɕien21
信		ɕien33	ɕiə̃24	ɕien44	ɕiə̃24	ɕien24	ɕien44
珍		tʂen21	tʂə̃21	tʂen21	tʂə̃21	tʂen21	tʂen21
镇		tʂen33	tʂə̃53	tʂen44	tʂə̃53	tʂen53	tʂen44
陈		tʂʰen24	tʂʰə̃24	tʂʰen24	tʂʰə̃24	tʂʰen24	tʂʰen24
阵		tʂʰen53	tʂə̃53	tʂʰen53	tʂə̃53	tʂen53	tʂʰen53
真		tʂen21	tʂə̃21	tʂen21	tʂə̃21	tʂen21	tʂen21
震		tʂen33	tʂə̃53	tʂen44	tʂə̃53	tʂen24	tʂen44
神		ʂen24	ʂə̃24	ʂen24	ʂə̃24	ʂen24	ʂen24
身		ʂen21	ʂə̃21	ʂen21	ʂə̃21	ʂen21	ʂen21
伸		ʂen21	ʂə̃21	ʂen21	ʂə̃21	ʂen21	ʂen21
人		ʐen24	ʐə̃24	ʐen24	ʐə̃24	ʐen24	ʐen24
忍		ʐen42	ʐə̃42	ʐen42	ʐə̃42	ʐen42	ʐen42
认		ʐen33	ʐə̃53	ʐen44	ʐə̃53	ʐen53	ʐen44
巾		ʨien21	ʨiə̃21	ʨien21	ʨiə̃21	ʨien21	ʨien21
紧		tien42	tiə̃42	tien42	tiə̃42	tien42	ʨien42
银		ȵien24	ȵiə̃24	ȵien24	ȵiə̃24	ȵien24	ȵien24
姻		ien21	iə̃21	ien21	iə̃21	ien21	ien21
引		ien42	iə̃42	ien42	iə̃42	ien42	ien44
笔		pi21	pi21	pi21	pi21	pi21	pi21
毕		pi21	pi21	pi21	pi21	pi21	pi21
必		pi21	pi21	pi21	pi21	pi24	pi21
匹	一～布	pʰi21	pʰi21	pʰi21	pʰi21	pʰi21	pʰi21
密		mi21	mi21	mi21	mi21	mi21	mi21
七		ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21
漆		ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21
实		ʂʅ24	ʂʅ24	ʂʅ24	ʂʅ24	ʂʅ24	ʂʅ24
失		ʂʅ21	ʂʅ21	ʂʅ21	ʂʅ21	ʂʅ21	ʂʅ21
室		ʂʅ21	ʂʅ24	ʂʅ21	ʂʅ24	ʂʅ24	ʂʅ24
吉		ʨi21	ʨi21	ʨi21	ʨi21	ʨi24	ʨi24
乙		i21	i21	i21	i21	i21	i24
一		i24	i24	i24	i24	i24	i24
斤		ʨien21	ʨiə̃21	ʨien21	ʨiə̃21	ʨien21	ʨien21
劲	有～	tien33	tiə̃24	tien44	tiə̃24	tien24	ʨien44
勤		ʨʰien24	ʨʰiə̃24	ʨʰien24	ʨʰiə̃24	ʨʰien24	ʨʰien24
近		ʨʰien53	ʨʰiə̃53	ʨʰien53	ʨʰiə̃53	ʨʰien53	ʨʰien53
殷		ien21	-	ien21	iə̃21	ien21	ien21
奔		pen21	pə̃21	pen21	pə̃21	pen21	pen44
本		pen42	pə̃42	pen21	pə̃42	pen21	pen42
盆		pʰen24	pʰə̃24	pʰen24	pʰə̃24	pʰen24	pʰen24
笨		pʰen53	pʰə̃53	pʰen53	pʰə̃53	pʰen53	pʰen53
门		men24	mə̃24	men24	mə̃24	men24	men24
屯		tʰuen24	tʰuə̃24	tʰuen24	tʰuə̃24	tʰuen24	tʰuen42
嫩		nen53	nə̃53	nen53	nə̃53	nen53	nen53
村		ʦʰuen21	ʦʰuə̃21	ʦʰuen21	ʦʰuə̃21	ʦʰuen21	ʦʰuen21
寸		ʦʰuen33	ʦʰuə̃24	ʦʰuen44	ʦʰuə̃24	ʦʰuen24	ʦʰuen44
蹲		tuen21	tuə̃21	tuen21	tuə̃21	tuen21	tuen21
孙		suen21	suə̃21	suen21	suə̃21	suen21	suen21
昆		kʰuen21	kʰuə̃21	kʰuen21	kʰuə̃21	kʰuen21	kʰuen21
滚		kuen42	kuə̃42	kuen42	kuə̃42	kuen42	kuen42
棍		kuen33	kuə̃53	kuen44	kuə̃53	kuen53	kuen44
捆		kʰuen42	kʰuə̃42	kʰuen42	kʰuə̃24	kʰuen42	kʰuen42
困		kʰuen33	kʰuə̃53	kʰuen44	kʰuə̃24	kʰuen53	kʰuen44
婚		xuen21	xuə̃21	xuen21	xuə̃21	xuen21	xuen21
魂		xuen24	xuə̃24	xuen24	xuə̃24	xuen24	xuen24
混	相～、～沌	xuen53	xuə̃53	xuen53	xuə̃53	xuen53	xuen53
温		uen21	uə̃21	uen21	uə̃21	uen21	uen21
稳		uen42	uə̃42	uen42	uə̃42	uen42	uen42
不		pu24	pu24	pu24	pu24	pu24	pu24
骨	筋～、～头	ku21	ku21	ku21	ku21	ku21	ku21
轮		lyen24	lyə̃24	lyen24	lyə̃24	luen24	lyen24
俊		ʨyen33	ʨyə̃24	ʨyen44	ʨyə̃24	ʨyen24	ʨyen44
巡		ɕyen24	ɕyə̃24	ɕyen24	ɕyə̃24	ɕyen24	ɕyen24
椿	～树	tʂʰuen21	tʂʰuə̃21	tʂʰuen21	tʂʰuə̃21	tʂʰuen21	ʦʰuen21
准		tʂen42	tʂuə̃42	tʂuen42	tʂuə̃42	tʂuen42	tʂuen42
春		tʂʰen21	tʂʰuə̃21	tʂʰuen21	tʂʰuə̃21	tʂʰuen21	ʦʰuen21
顺		fen53	ʂuə̃53	fen53	ʂuə̃53	ʂuen53	fen53
均		ʨyen21	ʨyə̃21	ʨyen21	ʨyə̃21	ʨyen21	ʨyen21
菌		ʨyen33	ʨyə̃24	ʨyen21	ʨyə̃24	ʨyen21	ʨyen44
匀		yen24	yə̃24	yen24	yə̃24	yen24	yen24
出		tʂʰu21	tʂʰu21	tʂʰu21	tʂʰu21	tʂʰu21	tʂʰu21
术		fu21	ʂu21	ʂu21	ʂu24	ʂu24	fu21
分	～开	fen21	fə̃21	fen21	fə̃21	fen21	fen21
粉		fen42	fə̃42	fen42	fə̃42	fen42	fen42
芬		fen21	fə̃21	fen21	fə̃21	fen21	fen21
坟		fen24	fə̃24	fen24	fə̃24	fen24	fen24
份	一～两～	fen53	fə̃53	fen53	fə̃53	fen53	fen53
文		ven24	və̃24	ven24	və̃24	ven24	ven24
蚊		ven24	və̃24	ven24	və̃24	ven24	ven24
问		ven53	və̃53	ven53	və̃53	ven53	ven53
军		ʨyen21	ʨyə̃21	ʨyen21	ʨyə̃21	ʨyen21	ʨyen21
裙		ʨʰyen24	ʨʰyə̃24	ʨʰyen24	ʨʰyə̃24	ʨʰyen24	ʨʰyen24
训		ɕyen33	ɕyə̃24	ɕyen44	ɕyə̃24	ɕyen24	ɕyen44
云		yen24	yə̃24	yen24	yə̃24	yen24	yen24
运		yen53	yə̃53	yen53	yə̃53	yen53	yen53
晕		yen21	yə̃21	yen21	yə̃21	yen21	yen21
物		vu21	u21	vu21	vu21	vu21	vu21
帮		paŋ21	pan21	paŋ21	pan21	pan21	paŋ21
旁		pʰaŋ24	pʰan24	pʰaŋ24	pʰan24	pʰan24	pʰaŋ24
忙		maŋ24	man24	maŋ24	man24	man24	maŋ24
当	～时、应～	taŋ21	tan21	taŋ21	tan21	tan21	taŋ21
党		taŋ42	tan24	taŋ44	tan24	tan24	taŋ44
挡	阻～	taŋ42	tan24	taŋ21	tan24	tan24	taŋ44
汤		tʰo21	tʰo21	tʰo21	tʰo21	tʰo21	tʰo21
烫		tʰaŋ33	tʰan24	tʰaŋ44	tʰan24	tʰan24	tʰaŋ44
趟	一～	tʰaŋ33	tʰan24	tʰaŋ44	tʰan24	tʰan24	tʰaŋ44
堂		tʰaŋ24	tʰan24	tʰaŋ24	tʰan24	tʰan24	tʰaŋ24
唐		tʰaŋ24	tʰan24	tʰaŋ24	tʰan24	tʰan24	tʰaŋ24
郎		laŋ24	lan24	laŋ24	lan24	lan24	laŋ24
朗		laŋ42	lan24	laŋ42	lan42	lan24	laŋ24
浪		laŋ53	lan53	laŋ53	lan53	lan53	laŋ53
赃		ʦaŋ21	ʦan21	ʦaŋ21	ʦan21	ʦan21	ʦaŋ21
仓		ʦʰaŋ21	ʦʰan21	ʦʰaŋ21	ʦʰan21	ʦʰan21	ʦʰaŋ21
桑		saŋ21	san21	so21	so21	so21	so21
缸		kaŋ21	kan21	kaŋ21	kan21	kan21	kaŋ21
康		kʰaŋ21	kʰan21	kʰaŋ21	kʰan21	kʰan21	kʰaŋ21
抗		kʰaŋ33	kʰan24	kʰaŋ44	kʰan24	kʰan24	kʰaŋ44
航		xaŋ24	xan24	xaŋ24	xan24	xan24	xaŋ24
杭		xaŋ24	xan24	xaŋ24	xan24	xan24	xaŋ24
幕		mu53	mu53	mu53	mu53	mu53	mu53
摸		mo21	mo21	mo21	mo24	mo21	mo21
落		luo21	lɤ21	lɤ21	lɤ21	le21	lo21
烙		luo21	lɤ21	luo21	luo21	luo21	lo21
骆		luo53	luo53	-	lo53	luo53	lo53
乐	欢～	lo21	lɤ21	-	lo21	le21	lo21
作	～坊、工作	ʦuo21	ʦuo21	ʦuo21	ʦuo21	ʦuo21	ʦo21
昨		ʦuo24	ʦuo24	ʦuo24	ʦuo24	ʦuo24	ʦo44
索		suo42	suo42	suo21	suo21	suo21	so21
各		ko33	kɤ21	kɤ21	kɤ21	kɤ21	ko21
恶	善～	ŋo21	ŋɤ42	ŋo21	ŋɤ21	ŋɤ42	ŋo42
娘		ȵio24	ȵio24	ȵio24	ȵian24	ȵio24	ȵiaŋ24
良		liaŋ24	lian24	liaŋ24	lian24	lian24	liaŋ24
凉		lio24	lio24	lio24	lio24	lio24	liaŋ24
粮		liaŋ24	lian24	lio24	lio24	lio24	liaŋ24
两	～个	lia42	lia42	liaŋ42	lian42	lian42	lia42
亮		liaŋ53	lian53	liaŋ53	lian53	lian53	liaŋ53
蒋		ʨiaŋ42	ʨian42	ʨiaŋ42	ʨian42	ʨian42	ʨiaŋ42
奖		ʨiaŋ42	ʨian42	ʨiaŋ42	ʨian42	ʨian42	ʨiaŋ42
酱		ʨiaŋ33	ʨian24	ʨiaŋ44	ʨian24	ʨian53	ʨiaŋ44
枪		ʨʰiaŋ21	ʨʰian21	ʨʰiaŋ21	ʨʰian21	ʨʰian21	ʨʰiaŋ21
抢		ʨʰiaŋ42	ʨʰio42	ʨʰiaŋ42	ʨʰian42	ʨʰio42	ʨʰiaŋ42
墙		ʨʰio24	ʨʰio24	ʨʰio24	ʨʰio24	ʨʰio24	ʨʰio24
匠		ʨʰio53	ʨʰio53	ʨʰio53	ʨʰio53	ʨʰio53	ʨʰio53
箱		ɕiaŋ21	ɕian21	ɕiaŋ21	ɕian21	ɕian21	ɕiaŋ21
想		ɕiaŋ42	ɕian42	ɕiaŋ42	ɕio42	ɕio42	ɕiaŋ42
像		ɕiaŋ53	ɕian53	ɕiaŋ53	ɕian53	ɕio53	ɕiaŋ53
张		tʂaŋ21	tʂan21	tʂaŋ21	tʂan21	tʂan21	tʂaŋ21
涨		tʂaŋ33	tʂuo42	tʂaŋ44	tʂan42	tʂo42	tʂaŋ44
帐		tʂaŋ53	tʂan24	tʂaŋ44	tʂan24	tʂan24	tʂaŋ44
肠		tʂʰo24	tʂʰuo24	tʂʰo24	tʂʰan24	tʂʰo24	tʂʰo24
场		tʂʰo24	tʂʰuo24	tʂʰaŋ24	tʂʰan42	tʂʰo24	tʂʰo24
丈		tʂʰuo53	tʂʰuo53	tʂaŋ53	tʂan53	tʂan53	tʂʰo53
杖		tʂaŋ53	tʂan53	tʂaŋ53	tʂan53	tʂan53	tʂaŋ44
装		tʂuaŋ21	tʂuan21	tʂuaŋ21	tʂuan21	tʂuo21	tʂuaŋ21
