	單字	合水(調類)	合水(調值)	注释
1426	碎	ɬui3	ɬui³³	
1427	灰	fui1	fui⁴⁵	
1428	悔	fui3	fui³³	
1429	賄	kʰui5	kʰui³¹²	又读kʰui³³;fui³²³
1430	誨	fui3	fui³³	
1431	晦	fui3	fui³³	
1432	回	wui4	wui³¹	
1433	瑰	kɐi3	kɐi³³	玫瑰
1434	洄	wui4	wui³¹	
1435	迴	wui4	wui³¹	
1436	徊	wui4	wui³¹	
1437	潰	kʰui3	kʰui³³	
1438	茴	wui4	wui³¹	
1439	蛔	wui4	wui³¹	
1440	傀	kʰui1	kʰui⁴⁵	傀儡
1441	恢	fui1	fui⁴⁵	
1442	魁	kʰui1	kʰui⁴⁵	
1443	盔	kʰui1	kʰui⁴⁵	又读kɐi⁴⁵
1444	塊	kʰai3	kʰai³³	
1445	詼	fui1	fui⁴⁵	
1446	腿	tʰui2	tʰui³²³	
1447	退	tʰui3	tʰui³³	
1448	淬	ʦʰui3	ʦʰui³³	
1449	崔	ʦʰui1	ʦʰui⁴⁵	
1450	催	ʦʰui1	ʦʰui⁴⁵	
1451	璀	ʦʰui1	ʦʰui⁴⁵	
1452	啐			
1453	啡	fɛ1	fɛ⁴⁵	
1454	配	pʰui3	pʰui³³	
1455	坯	pʰui1	pʰui⁴⁵	
1456	餒	lui5	lui³¹²	
1457	內	nuɔi6	nuɔi⁵²	
1458	媒	mui4	mui³¹	
1459	莓	mui4	mui³¹	
1460	梅	mui4	mui³¹	
1461	枚	mui4	mui³¹	
1462	煤	mui4	mui³¹	
1463	每	mui5	mui³¹²	
1464	妹	mui6	mui⁵²	
1465	昧	mei6	mei⁵²	
1466	瑁			玳瑁
1467	雷	lui4	lui³¹	
1468	儡	lui5	lui³¹²	
1469	鐳	lui4	lui³¹	
1470	蕾	lui4	lui³¹	
1471	磊	lui5	lui³¹²	
1472	傀			傀偉
1473	瑰	kɐi3	kɐi³³	瑰麗
1474	搥	ʦʰui4	ʦʰui³¹	
1475	堆	tui1	tui⁴⁵	
1476	敦	tɐn1	tɐn⁴⁵	
1477	對	tui3	tui³³	
1478	碓			
1479	頹	tʰui4	tʰui³¹	
1480	隊	tui6	tui⁵²	
1481	頽	tʰui4	tʰui³¹	
1482	摧	ʦʰui1	ʦʰui⁴⁵	
1483	罪	ʦui6	ʦui⁵²	
1484	陪	pʰui4	pʰui³¹	
1485	徘	pʰai4	pʰai³¹	
1486	培	pʰui4	pʰui³¹	
1487	蓓	pʰui5	pʰui³¹²	
1488	倍	pʰui5	pʰui³¹²	
1489	背	pui3	pui³³	背書
1490	悖			
1491	珮	pʰui3	pʰui³³	
1492	佩	pʰui3	pʰui³³	
1493	杯	pui1	pui⁴⁵	
1494	盃	pui1	pui⁴⁵	
1495	輩	pui3	pui³³	
1496	背	pui3	pui³³	背後
1497	制	ʦɐi3	ʦɐi³³	
1498	贅	ʦui6	ʦui⁵²	
1499	製	ʦɐi3	ʦɐi³³	
1500	洩			洩洩
1501	銳	jui6	jui⁵²	
1502	曳	jɐi6	jɐi⁵²	
1503	裔	jui6	jui⁵²	
1504	睿	jui6	jui⁵²	
1505	泄	ɬit8	ɬit³	
1506	藝	ŋɐi6	ŋɐi⁵²	
1507	囈			
1508	歲	ɬui3	ɬui³³	
1509	說	sui3	sui³³	以言服人
1510	世	sɐi3	sɐi³³	
1511	稅	sui3	sui³³	
1512	勢	sɐi3	sɐi³³	
1513	蛻	tʰui3	tʰui³³	
1514	鈉	nap9	nap⁵²	
1515	芮			
1516	脆	ʦʰui3	ʦʰui³³	
1517	厲	lɐi6	lɐi⁵²	
1518	例	lɐi6	lɐi⁵²	
1519	蠣	lɐi6	lɐi⁵²	
1520	勵	lɐi6	lɐi⁵²	
1521	際	ʦɐi3	ʦɐi³³	
1522	祭	ʦɐi3	ʦɐi³³	
1523	穄			
1524	逝	sɐi6	sɐi⁵²	
1525	噬	sɐi6	sɐi⁵²	
1526	誓	sɐi6	sɐi⁵²	
1527	掣	ʦɐi3	ʦɐi³³	
1528	敝	pɐi6	pɐi⁵²	
1529	斃	pɐi6	pɐi⁵²	
1530	弊	pɐi6	pɐi⁵²	
1531	幣	pɐi6	pɐi⁵²	
1532	蔽	pɐi3	pɐi³³	
1533	彆	pit9	pit⁵²	
1534	輟	ʦʰut8	ʦʰut³	
1535	啜	ʦʰut8	ʦʰut³	
1536	綴	ʦui6	ʦui⁵²	點綴
1537	衛	wɐi6	wɐi⁵²	
1538	憩	hei3	hei³³	
1539	揭	kʰit8	kʰit³	
1540	偈			
1541	鱖			
1542	滯	ʦɐi6	ʦɐi⁵²	
1543	債	ʦai3	ʦai³³	
1544	蛙	wa1	wa⁴⁵	
1545	哇	wa1	wa⁴⁵	
1546	娃	wa1	wa⁴⁵	
1547	矮	ʔɐi2	ʔɐi³²³	又读ʔai³²³
1548	隘	ʔɐi3	ʔɐi³³	
1549	鞋	hai4	hai³¹	
1550	夥	fuɔ2	fuɔ³²³	
1551	解	hai6	hai⁵²	解姓
1552	蟹	hai5	hai³¹²	
1553	邂	hai5	hai³¹²	
1554	畫	wa6	wa⁵²	圖畫
1555	曬	sai3	sai³³	
1556	崽	ʦɐi2	ʦɐi³²³	
1557	拐	kai2	kai³²³	
1558	派	pʰai3	pʰai³³	
1559	買	mai5	mai³¹²	
1560	賣	mai6	mai⁵²	
1561	蝸	wuɔ1	wuɔ⁴⁵	
1562	佳	kai1	kai⁴⁵	
1563	街	kai1	kai⁴⁵	
1564	媧	wuɔ1	wuɔ⁴⁵	
1565	枴	kai2	kai³²³	
1566	解	kai2	kai³²³	解決
1567	解			解款
1568	掛	kʰa3	kʰa³³	
1569	懈	hai6	hai⁵²	
1570	卦	ka3	ka³³	
1571	差	ʦʰai1	ʦʰai⁴⁵	出差
1572	叉	ʦʰa1	ʦʰa⁴⁵	
1573	釵	ʦʰa1	ʦʰa⁴⁵	
1574	柴	ʦʰai4	ʦʰai³¹	
1575	牌	pʰai4	pʰai³¹	
1576	稗			
1577	擺	pai2	pai³²³	
1578	齋	ʦai1	ʦai⁴⁵	
1579	挨	ʔai1	ʔai⁴⁵	又读ʔɐi⁴⁵
1580	骸	huɔi4	huɔi³¹	
1581	淮	wai4	wai³¹	
1582	槐	wai4	wai³¹	
1583	懷	wai4	wai³¹	
1584	諧	hai4	hai³¹	
1585	駭	huɔi4	huɔi³¹	
1586	械	hai6	hai⁵²	
1587	楷			楷樹
1588	匯	wui6	wui⁵²	
1589	劾			
1590	揩	hai1	hai⁴⁵	
1591	蒯			
1592	殺	sai3	sai³³	殺哀
1593	崽	ʦɐi2	ʦɐi³²³	
1594	湃	pai3	pai³³	
1595	霾	mai4	mai³¹	
1596	埋	mai4	mai³¹	
1597	階	kai1	kai⁴⁵	
1598	楷	kai1	kai⁴⁵	楷書
1599	偕	kai1	kai⁴⁵	
1600	皆	kai1	kai⁴⁵	
1601	乖	kai1	kai⁴⁵	
1602	介	kai3	kai³³	
1603	誡	kai3	kai³³	
1604	壞	wai6	wai⁵²	
1605	怪	kai3	kai³³	
1606	屆	kai3	kai³³	
1607	芥	kai3	kai³³	
1608	尬	kai3	kai³³	
1609	界	kai3	kai³³	
1610	戒	kai3	kai³³	
1611	稭			
1612	疥			
1613	豺	ʦʰai4	ʦʰai³¹	
1614	排	pʰai4	pʰai³¹	
1615	憊	pʰai3	pʰai³³	
1616	拜	pai3	pai³³	
1617	瞖			
1618	翳			
1619	翳			
1620	霓	ŋɐi4	ŋɐi³¹	
1621	倪	ŋɐi4	ŋɐi³¹	
1622	羿	ŋɐi6	ŋɐi⁵²	
1623	詣			
1624	棲	ʦʰɐi1	ʦʰɐi⁴⁵	
1625	犀	ɬɐi1	ɬɐi⁴⁵	
1626	撕	ɬei1	ɬei⁴⁵	
1627	西	ɬɐi1	ɬɐi⁴⁵	
1628	嘶			
1629	洗	ɬɐi2	ɬɐi³²³	
1630	細	ɬɐi3	ɬɐi³³	
1631	奚			
1632	攜	kʰɐi4	kʰɐi³¹	
1633	兮	jɐi5	jɐi³¹²	
1634	畦			
1635	繫	hɐi6	hɐi⁵²	聯繫
1636	蕙	wɐi6	wɐi⁵²	
1637	系	hɐi6	hɐi⁵²	
1638	惠	wɐi6	wɐi⁵²	
1639	慧	wɐi6	wɐi⁵²	
1640	嵇			
1641	蹊	kʰɐi1	kʰɐi⁴⁵	
1642	稽			稽首
1643	溪	kʰɐi1	kʰɐi⁴⁵	
1644	睽	kʰɐi4	kʰɐi³¹	
1645	谿	kʰɐi1	kʰɐi⁴⁵	
1646	契	kʰɐi3	kʰɐi³³	契約
1647	啓	kʰai2	kʰai³²³	又读kɐi³²³
1648	奎			
1649	梯	tʰɐi1	tʰɐi⁴⁵	
1650	涕	tʰɐi3	tʰɐi³³	又读tʰɐi³¹²
1651	體	tʰɐi2	tʰɐi³²³	
1652	剃	tʰɐi3	tʰɐi³³	
1653	替	tʰɐi3	tʰɐi³³	
1654	睇	tʰɐi2	tʰɐi³²³	
1655	妻	ʦʰɐi1	ʦʰɐi⁴⁵	
1656	萋	ʦʰɐi1	ʦʰɐi⁴⁵	
1657	淒	ʦʰɐi1	ʦʰɐi⁴⁵	
1658	悽	ʦʰɐi1	ʦʰɐi⁴⁵	
1659	砌	ʦʰɐi3	ʦʰɐi³³	又读ʦʰei³³
1660	切	ʦʰɐi3	ʦʰɐi³³	一切
1661	批	pʰɐi1	pʰɐi⁴⁵	
1662	媲			
1663	泥	nɐi4	nɐi³¹	泥土
1664	泥			拘泥
1665	迷	mɐi4	mɐi³¹	
1666	米	mɐi5	mɐi³¹²	
1667	謎	mɐi6	mɐi⁵²	
1668	眯	mɐi3	mɐi³³	又读mi⁴⁵
1669	犁	lɐi4	lɐi³¹	
1670	黎	lɐi4	lɐi³¹	
1671	豊	lɐi5	lɐi³¹²	
1672	禮	lɐi5	lɐi³¹²	
1673	捩			琵琶撥法
1674	隸	tɐi6	tɐi⁵²	
1675	戾			
1676	蠡			
1677	醴			
1678	擠	ʦɐi1	ʦɐi⁴⁵	
1679	濟			人才濟濟
1680	濟	ʦɐi3	ʦɐi³³	救濟
1681	圭	kɐi1	kɐi⁴⁵	
1682	雞	kɐi1	kɐi⁴⁵	
1683	閨	kɐi1	kɐi⁴⁵	
1684	鮭	kɐi1	kɐi⁴⁵	
1685	稽			無稽之談
1686	髻	kɐi3	kɐi³³	
1687	桂	kɐi3	kɐi³³	
1688	計	kɐi3	kɐi³³	
1689	繫			繫鞋帶
1690	繼	kɐi3	kɐi³³	
1691	係	hɐi6	hɐi⁵²	
1692	珪			
1693	柢	tɐi2	tɐi³²³	
1694	低	tɐi1	tɐi⁴⁵	
1695	抵	tɐi2	tɐi³²³	
1696	牴	tɐi2	tɐi³²³	
1697	底	tɐi2	tɐi³²³	
1698	邸	tɐi2	tɐi³²³	
1699	帝	tɐi3	tɐi³³	
1700	嚏	tʰɐi3	tʰɐi³³	
1701	諦	tɐi3	tɐi³³	
1702	詆	tɐi2	tɐi³²³	
1703	蹄	tʰɐi4	tʰɐi³¹	
1704	啼	tʰɐi4	tʰɐi³¹	
1705	締	tɐi3	tɐi³³	
1706	題	tʰɐi4	tʰɐi³¹	
1707	遞	tɐi6	tɐi⁵²	
1708	弟	tɐi6	tɐi⁵²	
1709	逮	tɐi6	tɐi⁵²	
1710	第	tɐi6	tɐi⁵²	
1711	娣	tʰɐi5	tʰɐi³¹²	又读tɐi⁵²
1712	娣			
1713	醍			
1714	齊	ʦʰɐi4	ʦʰɐi³¹	整齊
1715	臍	ʦʰi4	ʦʰi³¹	
1716	薺			
1717	蠐			
1718	眥			
1719	陛	pɐi6	pɐi⁵²	
1720	閉	pɐi3	pɐi³³	
1721	蓖			
1722	箅			
1723	篦			
1724	藹	ʔuɔi2	ʔuɔi³²³	
1725	靄			
1726	外	ŋuɔi6	ŋuɔi⁵²	
1727	艾	ʔai3	ʔai³³	白读ŋɔi⁵²
又读ŋai⁵²
1728	渙	fun6	fun⁵²	
1729	會	wui6	wui⁵²	會面
1730	繪	kʰui3	kʰui³³	
1731	害	huɔi6	huɔi⁵²	
1732	磕			
1733	轄	hɐt9	hɐt⁵²	又读hat⁵²
1734	汰	tʰai3	tʰai³³	
1735	太	tʰai3	tʰai³³	
1736	泰	tʰai3	tʰai³³	
1737	蔡	ʦʰuɔi3	ʦʰuɔi³³	
1738	奈	nuɔi6	nuɔi⁵²	
1739	沫	mut9	mut⁵²	
1740	籟	lai6	lai⁵²	
1741	賴	lai6	lai⁵²	
1742	癩	lai6	lai⁵²	
1743	瀨	lai6	lai⁵²	
1744	最	ʦui3	ʦui³³	
1745	蓋	kuɔi3	kuɔi³³	杯蓋
1746	蓋	kuɔi3	kuɔi³³	覆蓋
1747	膾			
1748	檜			
1749	丐	kʰuɔi3	kʰuɔi³³	
1750	會	wui6	wui⁵²	會計
1751	劊			
1752	鈣	kʰuɔi3	kʰuɔi³³	
1753	帶	tai3	tai³³	
1754	大	tai6	tai⁵²	
1755	兌	tui6	tui⁵²	
1756	貝	pui3	pui³³	
1757	沛	pʰui3	pʰui³³	
1758	狽	pui3	pui³³	
1759	鋇	pui3	pui³³	
1760	襖	ʔou3	ʔou³³	
1761	懊	ʔou3	ʔou³³	
1762	奧	ʔou3	ʔou³³	
1763	澳	ʔou3	ʔou³³	
1764	爊			
1765	燠			
1766	熬	ŋou4	ŋou³¹	白读ŋou⁵²
1767	翱	ŋou4	ŋou³¹	
1768	遨	ŋou4	ŋou³¹	
1769	敖	ŋou4	ŋou³¹	
1770	螯	ŋou4	ŋou³¹	
1771	傲	ŋou6	ŋou⁵²	
1772	燥	ʦʰou3	ʦʰou³³	
1773	噪	ʦʰou3	ʦʰou³³	
1774	臊	ʦʰou3	ʦʰou³³	
1775	搔	ɬou1	ɬou⁴⁵	
1776	騷	ɬou1	ɬou⁴⁵	
1777	掃	ɬou3	ɬou³³	
1778	嫂	ɬou2	ɬou³²³	
1779	撓	ȵau1	ȵau⁴⁵	
1780	蒿	hou1	hou⁴⁵	
1781	好	hou2	hou³²³	友好
1782	好	hou3	hou³³	好客
1783	薅			
1784	號	hou4	hou³¹	哀號
1785	號	hou6	hou⁵²	號碼
1786	豪	hou4	hou³¹	
1787	毫	hou4	hou³¹	
1788	浩	hou6	hou⁵²	
1789	壕	hou4	hou³¹	
1790	鎬	kou2	kou³²³	
1791	濠	hou4	hou³¹	
1792	昊	hou6	hou⁵²	
1793	考	hau2	hau³²³	
1794	靠	kʰɐu3	kʰɐu³³	又读kʰou³³
1795	犒	kʰou3	kʰou³³	
1796	滔	tʰou1	tʰou⁴⁵	
1797	絛	tʰou1	tʰou⁴⁵	
1798	叨	tou1	tou⁴⁵	叨擾
1799	綢	ʦʰɐu4	ʦʰɐu³¹	
1800	套	tʰou3	tʰou³³	
1801	討	tʰou2	tʰou³²³	
1802	挑			挑達
1803	操	ʦʰou1	ʦʰou⁴⁵	早操
1804	操	ʦʰou1	ʦʰou⁴⁵	操行
1805	草	ʦʰou2	ʦʰou³²³	
1806	造	ʦou6	ʦou⁵²	造訪
1807	糙	ʦʰou3	ʦʰou³³	
1808	腦	nou5	nou³¹²	
1809	惱	nou5	nou³¹²	
1810	毛	mou4	mou³¹	
1811	髦	mou1	mou⁴⁵	
1812	帽	mou6	mou⁵²	
1813	冒	mou6	mou⁵²	冒犯
1814	瑁			珪瑁
1815	撈	lou1	lou⁴⁵	捞面
1816	牢	lou4	lou³¹	
1817	勞	lou4	lou³¹	勤勞
1818	勞	lou4	lou³¹	慰勞
1819	潦			流潦
1820	老	lou5	lou³¹²	
1821	獠	liu4	liu³¹	
1822	糟	ʦou1	ʦou⁴⁵	
1823	槽	ʦʰou4	ʦʰou³¹	
1824	遭	ʦou1	ʦou⁴⁵	
1825	棗	ʦou2	ʦou³²³	
1826	藻	ʦou2	ʦou³²³	
1827	蚤	ʦou2	ʦou³²³	
1828	早	ʦou2	ʦou³²³	
1829	澡	ʦʰou3	ʦʰou³³	
1830	躁	ʦʰou3	ʦʰou³³	
1831	膏	kou1	kou⁴⁵	
1832	高	kou1	kou⁴⁵	
1833	羔	kou1	kou⁴⁵	
1834	篙	kou1	kou⁴⁵	
1835	咎	kɐu3	kɐu³³	
1836	告	kou3	kou³³	報告
1837	刀	tou1	tou⁴⁵	
1838	擣	tou2	tou³²³	
1839	島	tou2	tou³²³	
1840	倒	tou3	tou³³	
1841	倒	tou2	tou³²³	
1842	禱	tou2	tou³²³	
1843	到	tou3	tou³³	
1844	掏	tʰou4	tʰou³¹	
1845	逃	tʰou4	tʰou³¹	
1846	桃	tʰou4	tʰou³¹	
1847	啕	tʰou4	tʰou³¹	
1848	濤	tʰou4	tʰou³¹	又读tʰou⁴⁵
1849	萄	tʰou4	tʰou³¹	
1850	道	tou6	tou⁵²	
1851	稻	tou6	tou⁵²	
1852	悼	tou6	tou⁵²	
1853	蹈	tou6	tou⁵²	舞蹈
1854	蹈	tʰou1	tʰou⁴⁵	重蹈覆辙
1855	導	tou6	tou⁵²	
1856	盜	tou6	tou⁵²	
1857	陶	tʰou4	tʰou³¹	陶瓷
1858	嘈	ʦʰou4	ʦʰou³¹	
1859	曹	ʦʰou4	ʦʰou³¹	
1860	造	ʦou6	ʦou⁵²	製造
1861	造			新造
1862	袍	pʰou4	pʰou³¹	
1863	抱	pʰou5	pʰou³¹²	
1864	暴	pou6	pou⁵²	凶暴
1865	曝			
1866	菢			
1867	褒	pɐu1	pɐu⁴⁵	
1868	寶	pou2	pou³²³	
1869	堡	pou2	pou³²³	
1870	保	pou2	pou³²³	
1871	葆	pou2	pou³²³	
1872	褓	pou2	pou³²³	
1873	報	pou3	pou³³	
1874	鴇			
1875	昭	ʦʰiu1	ʦʰiu⁴⁵	
1876	招	ʦiu1	ʦiu⁴⁵	
1877	沼	ʦiu2	ʦiu³²³	
1878	照	ʦiu3	ʦiu³³	
1879	詔	ʦiu3	ʦiu³³	
1880	釗	ʦʰiu1	ʦʰiu⁴⁵	
1881	要	jiu1	jiu⁴⁵	要求
1882	要	jiu3	jiu³³	要點
1883	腰	jiu1	jiu⁴⁵	
1884	約	jiɛk8	jiɛk³	
1885	遙	jiu4	jiu³¹	
1886	瑤	jiu4	jiu³¹	
1887	搖	jiu4	jiu³¹	
1888	陶			皋陶
1889	謠	jiu4	jiu³¹	
1890	窯	jiu4	jiu³¹	
1891	姚	jiu4	jiu³¹	
1892	曜	jiu6	jiu⁵²	
1893	耀	jiu6	jiu⁵²	
1894	肖	ʦʰiu3	ʦʰiu³³	生肖
1895	肖	ɬiu1	ɬiu⁴⁵	姓肖
1896	鞘	ʦʰiu3	ʦʰiu³³	
1897	消	ɬiu1	ɬiu⁴⁵	
1898	宵	ɬiu1	ɬiu⁴⁵	
1899	逍	ɬiu1	ɬiu⁴⁵	
1900	哨	sau3	sau³³	
1901	霄	ɬiu1	ɬiu⁴⁵	
1902	銷	ɬiu1	ɬiu⁴⁵	
1903	硝	ɬiu1	ɬiu⁴⁵	
1904	小	ɬiu2	ɬiu³²³	
1905	笑	ɬiu3	ɬiu³³	
1906	蹺	kʰiu3	kʰiu³³	白读kʰiɐu³³
1907	燒	siu1	siu⁴⁵	
1908	少	siu2	siu³²³	多少
1909	少	siu3	siu³³	年少
1910	饒	jiu4	jiu³¹	
1911	蟯			
1912	擾	jiu2	jiu³²³	
1913	繞	jiu2	jiu³²³	又读ȵiu³¹²;jiu³¹²
1914	翹	kʰiu4	kʰiu³¹	翹首
1915	翹	kʰiu3	kʰiu³³	白读kʰiɐu³³
1916	悄	ʦʰiu1	ʦʰiu⁴⁵	
1917	峭	ʦʰiu3	ʦʰiu³³	
1918	俏	ʦʰiu3	ʦʰiu³³	
1919	鍬			
1920	繰			
1921	漂	pʰiu1	pʰiu⁴⁵	漂泊
1922	漂	pʰiu3	pʰiu³³	漂亮
1923	瞟			
1924	鏢	piu1	piu⁴⁵	
1925	縹	pʰiu1	pʰiu⁴⁵	
1926	眇	miu5	miu³¹²	
1927	渺	miu5	miu³¹²	
1928	吵	ʦʰou4	ʦʰou³¹	吵闹
1929	吵	ʦʰau2	ʦʰau³²³	吵耳
1930	秒	miu5	miu³¹²	
1931	妙	miu6	miu⁵²	
1932	藐	miu5	miu³¹²	
1933	燎	liu4	liu³¹	
1934	療	liu4	liu³¹	
1935	蕉	ʦiu1	ʦiu⁴⁵	
1936	焦	ʦiu1	ʦiu⁴⁵	
1937	椒	ʦiu1	ʦiu⁴⁵	
1938	剿	ʦiu2	ʦiu³²³	
1939	醮	ʦiu1	ʦiu⁴⁵	
1940	憔	ʦʰiu4	ʦʰiu³¹	
1941	樵	ʦʰiu4	ʦʰiu³¹	
1942	韶	siu4	siu³¹	
1943	紹	siu6	siu⁵²	
1944	劭	siu6	siu⁵²	
1945	邵	siu6	siu⁵²	
1946	召			召南
1947	瓢	pʰiɐu4	pʰiɐu³¹	
1948	飄	pʰiu1	pʰiu⁴⁵	
1949	嫖	pʰiu4	pʰiu³¹	
1950	鰾	piu1	piu⁴⁵	
1951	飆	piu1	piu⁴⁵	
1952	標	piu1	piu⁴⁵	
1953	飈	piu1	piu⁴⁵	
1954	朝	ʦiu1	ʦiu⁴⁵	朝夕
1955	妖	jiu1	jiu⁴⁵	
1956	夭	jiu1	jiu⁴⁵	
1957	囂	hiu1	hiu⁴⁵	
1958	枵			
1959	橋	kʰiu4	kʰiu³¹	
1960	轎	kiu6	kiu⁵²	
1961	僑	kʰiu4	kʰiu³¹	
1962	描	miu4	miu³¹	
1963	苗	miu4	miu³¹	
1964	貓	miɐu1	miɐu⁴⁵	
1965	廟	miu6	miu⁵²	
1966	驕	kiu1	kiu⁴⁵	
1967	喬	kʰiu4	kʰiu³¹	
1968	嬌	kiu1	kiu⁴⁵	
1969	矯	kiu2	kiu³²³	
1970	兆	siu6	siu⁵²	
1971	朝	ʦʰiu4	ʦʰiu³¹	朝廷
1972	潮	ʦʰiu4	ʦʰiu³¹	
1973	晁			
1974	趙	ʦiu6	ʦiu⁵²	
1975	召	ʦiu6	ʦiu⁵²	召喚
1976	超	ʦʰiu1	ʦʰiu⁴⁵	
1977	鑣			
1978	表	piu2	piu³²³	
1979	臕			
1980	婊	piu2	piu³²³	
1981	裱	piu2	piu³²³	
1982	杳	miu5	miu³¹²	
1983	窈	jiu2	jiu³²³	
1984	堯	jiu4	jiu³¹	
1985	僥	jiu4	jiu³¹	僬僥，短人，西南夷別名
1986	筱	ɬiu1	ɬiu⁴⁵	
1987	蕭	ɬiu1	ɬiu⁴⁵	
1988	艘	ɬɐu2	ɬɐu³²³	
1989	簫	ɬiu1	ɬiu⁴⁵	
1990	嘯	ɬiu3	ɬiu³³	
1991	曉	hiu2	hiu³²³	
1992	竅	kʰiu3	kʰiu³³	
1993	撬	kiu6	kiu⁵²	
1994	挑	tʰiu1	tʰiu⁴⁵	挑水,白读tʰiɐu⁴⁵
1995	眺	tʰiu3	tʰiu³³	
1996	糶			
1997	尿	niɐu6	niɐu⁵²	
1998	聊	liu4	liu³¹	
1999	撩	liɐu4	liɐu³¹	
2000	嘹	liu4	liu³¹	
2001	瞭	liu4	liu³¹	瞭望
2002	瞭	liu4	liu³¹	明瞭
2003	遼	liu4	liu³¹	
2004	料	liu6	liu⁵²	
2005	繚	liu4	liu³¹	
2006	寥	liu4	liu³¹	
2007	僚	liu4	liu³¹	
2008	廖	liu6	liu⁵²	
2009	寮	liu4	liu³¹	
2010	了	liu5	liu³¹²	
2011	鐐	liu4	liu³¹	
2012	邀	jiu1	jiu⁴⁵	
2013	驍	hiu2	hiu³²³	
2014	澆			
2015	僥	hiu1	hiu⁴⁵	僥倖
2016	繳	kiu2	kiu³²³	
2017	皎	kau2	kau³²³	
2018	激	kɪk7	kɪk⁴⁵	
2019	叫	kiu3	kiu³³	
2020	刁	tiu1	tiu⁴⁵	
2021	雕	tiu1	tiu⁴⁵	
2022	凋	tiu1	tiu⁴⁵	
2023	貂	tiu1	tiu⁴⁵	
2024	鵰	tiu1	tiu⁴⁵	
2025	鳥	niɐu5	niɐu³¹²	
2026	弔	tiu3	tiu³³	
2027	釣	tiu3	tiu³³	
2028	鯛			
2029	屌	tiu2	tiu³²³	
2030	迢	tʰiu4	tʰiu³¹	
2031	跳	tʰiu3	tʰiu³³	
2032	調	tiu4	tiu³¹	調味
2033	調	tiu6	tiu⁵²	調動，又读tiu³¹
2034	條	tʰiu4	tʰiu³¹	
2035	掉	tiu6	tiu⁵²	
2036	窕	tiu6	tiu⁵²	
2037	抓	ʦa1	ʦa⁴⁵	白读ȵa⁴⁵
2038	爪	ʦau2	ʦau³²³	
2039	笊			
2040	嘲	ʦau1	ʦau⁴⁵	
2041	啁			
2042	罩	ʦau3	ʦau³³	
2043	坳	ʔau3	ʔau³³	
2044	拗	ʔau2	ʔau³²³	动词
2045	詏	au3	au³³	詏交
2046	樂			仁者樂山
2047	哮	hau1	hau⁴⁵	
2048	孝	hau3	hau³³	
2049	餚	ŋau4	ŋau³¹	
2050	淆	ŋau4	ŋau³¹	
2051	肴			
2052	校	hau6	hau⁵²	學校
2053	效	hau6	hau⁵²	
2054	姣	hau4	hau³¹	發姣
2055	爻			
2056	跤	kau1	kau⁴⁵	
2057	敲	hau1	hau⁴⁵	
2058	巧	hau2	hau³²³	又读kʰiu³²³
2059	梢	sau1	sau⁴⁵	
2060	稍	sau2	sau³²³	
2061	潲	sau3	sau³³	
2062	捎			
2063	炮	pʰau3	pʰau³³	炮彈
2064	泡	pʰau3	pʰau³³	浸泡
2065	拋	pʰau1	pʰau⁴⁵	
2066	皰	pʰau3	pʰau³³	
2067	鬧	nau6	nau⁵²	
2068	鐃			
2069	茅	mau4	mau³¹	
2070	卯	mau5	mau³¹²	
2071	貌	mɐu6	mɐu⁵²	
2072	昴			
2073	交	kau1	kau⁴⁵	
2074	蛟	kau2	kau³²³	
2075	教			讓
2076	教	kau3	kau³³	教室
2077	咬	ŋau5	ŋau³¹²	
2078	郊	kau1	kau⁴⁵	
2079	膠	kau1	kau⁴⁵	
2080	攪	kau2	kau³²³	
2081	絞	kau2	kau³²³	
2082	狡	kau2	kau³²³	
2083	覺	kau3	kau³³	睡覺
2084	較	kau3	kau³³	白读kɐu³³
2085	酵	hau1	hau⁴⁵	
2086	窖	kau3	kau³³	
2087	校	kau3	kau³³	校對
2088	鉸	kau3	kau³³	
2089	姣			姣好
2090	鈔	ʦʰau3	ʦʰau³³	
2091	抄	ʦʰau1	ʦʰau⁴⁵	
2092	炒	ʦʰau2	ʦʰau³²³	
2093	縐	ʦɐu3	ʦɐu³³	
2094	巢	ʦʰau4	ʦʰau³¹	
2095	濯			
2096	嘮	lou4	lou³¹	
2097	跑	pʰau2	pʰau³²³	
2098	炮			炮製
2099	咆	pʰau4	pʰau³¹	
2100	鮑	pau1	pau⁴⁵	鮑魚
2101	鮑			鮑魚之肆
2102	庖			
2103	胞	pau1	pau⁴⁵	
2104	苞	pau1	pau⁴⁵	
2105	包	pau1	pau⁴⁵	
2106	飽	pau2	pau³²³	
2107	豹	pau3	pau³³	
2108	爆	pau3	pau³³	
2109	氾	fan3	fan³³	氾濫
2110	泛	fan3	fan³³	
2111	帆	fan4	fan³¹	
2112	凡	fan4	fan³¹	
2113	氾			氾姓
2114	犯	fan6	fan⁵²	
2115	範	fan6	fan⁵²	
2116	范	fan6	fan⁵²	
2117	乏	fat9	fat⁵²	
2118	法	fat8	fat³	
2119	庵	ʔɐm1	ʔɐm⁴⁵	
2120	諳	ʔɐm1	ʔɐm⁴⁵	
2121	暗	ʔɐm3	ʔɐm³³	
2122	哈	ha1	ha⁴⁵	
2123	卅	ɬa6	ɬa⁵²	
2124	函	hɐm4	hɐm³¹	
2125	涵	hɐm4	hɐm³¹	
2126	含	hɐm4	hɐm³¹	
