字頭	聲紐	韻部	小韻	調類	字義	擬音(聲母)	擬音(韻母)	擬音(聲調)	粵拼(聲母)	粵拼(韻母)	粵拼(聲調)
莽	明	剛	罔	陽上	草茂也又鹵莽苟且也	m	ɔŋ	23	m	ong	5
蟒	明	剛	罔	陽上	大蛇又王者之服曰蟒龍	m	ɔŋ	23	m	ong	5
妄	明	剛	罔	陽上	誣妄誑妄誕妄又卦名无妄	m	ɔŋ	23	m	ong	5
蚌	滂	剛	蚌	陽上	蛤屬	pʰ	ɔŋ	23	p	ong	5
朗	來	剛	朗	陽上	明也	l	ɔŋ	23	l	ong	5
㙟	來	剛	朗	陽上	地名	l	ɔŋ	23	l	ong	5
曩	泥	剛	曩	陽上	前日也	n	ɔŋ	23	n	ong	5
攮	泥	剛	曩	陽上	勇進也	n	ɔŋ	23	n	ong	5
往	云	剛	往	陽上	去也行也歸也昔日也	w	ɔŋ	23	w	ong	5
𨓹	云	剛	往	陽上	同上(去也行也歸也昔日也)	w	ɔŋ	23	w	ong	5
降	見	剛	降	陰去	落也下也貶也	k	ɔŋ	33	g	ong	3
洚	見	剛	降	陰去	堯時有洚水謂洚洞無涯不遵	k	ɔŋ	33	g	ong	3
絳	見	剛	降	陰去	大紅色也	k	ɔŋ	33	g	ong	3
杠	見	剛	降	陰去	木棍	k	ɔŋ	33	g	ong	3
創	穿	剛	創	陰去	創造創始又懲創儆也	tʃʰ	ɔŋ	33	ch	ong	3
剙	穿	剛	創	陰去	同上(創造創始又懲創儆也)	tʃʰ	ɔŋ	33	ch	ong	3
盎	亞	剛	盎	陰去	豐厚盈溢之意	ʔ	ɔŋ	33		ong	3
戇	亞	剛	盎	陰去	戇直又擬也愚也	ʔ	ɔŋ	33		ong	3
𧆐	亞	剛	盎	陰去	薏苡別名	ʔ	ɔŋ	33		ong	3
抗	溪	剛	抗	陰去	抗拒抵也敵也	kʰ	ɔŋ	33	k	ong	3
吭	溪	剛	抗	陰去	咽喉	kʰ	ɔŋ	33	k	ong	3
伉	溪	剛	抗	陰去	伉儷匹偶也	kʰ	ɔŋ	33	k	ong	3
亢	溪	剛	抗	陰去	過高不肯屈也又亢陽早也	kʰ	ɔŋ	33	k	ong	3
炕	溪	剛	抗	陰去	火坑又以火炙物	kʰ	ɔŋ	33	k	ong	3
檔	端	剛	檔	陰去	屋上桁也	t	ɔŋ	33	d	ong	3
當	端	剛	檔	陰去	合也中也又典當	t	ɔŋ	33	d	ong	3
塟	精	剛	塟	陰去	殯塟理也瘞也	ts	ɔŋ	33	z	ong	3
葬	精	剛	塟	陰去	同上(殯塟理也瘞也)	ts	ɔŋ	33	z	ong	3
喪	心	剛	喪	陰去	死喪又失也亡也	s	ɔŋ	33	s	ong	3
謗	幫	剛	謗	陰去	訕謗毀謗	p	ɔŋ	33	b	ong	3
壯	照	剛	壯	陰去	強壯壯大壯盛	tʃ	ɔŋ	33	zh	ong	3
熨	透	剛	熨	陰去	火熨	tʰ	ɔŋ	33	t	ong	3
放	非	剛	放	陰去	放肆放緃放逐去也散也又置之於此曰放	f	ɔŋ	33	f	ong	3
況	非	剛	放	陰去	矧也又譬擬又佳況	f	ɔŋ	33	f	ong	3
曠	非	剛	放	陰去	廣也空也遠也又壯年無妻曰曠夫	f	ɔŋ	33	f	ong	3
壙	非	剛	放	陰去	墓穴也	f	ɔŋ	33	f	ong	3
纊	非	剛	放	陰去	絮之細者	f	ɔŋ	33	f	ong	3
鄺	非	剛	放	陰去	姓	f	ɔŋ	33	f	ong	3
狀	照	剛	狀	陽去	體也形容也象也牒也	tʃ	ɔŋ	22	zh	ong	6
獞	照	剛	狀	陽去	猺獞山峒人	tʃ	ɔŋ	22	zh	ong	6
撞	照	剛	狀	陽去	衝突也又忽至曰撞	tʃ	ɔŋ	22	zh	ong	6
蕩	端	剛	蕩	陽去	放蕩遊蕩又廣遠也動也	t	ɔŋ	22	d	ong	6
宕	端	剛	蕩	陽去	靈透也又過也放蕩也	t	ɔŋ	22	d	ong	6
碭	端	剛	蕩	陽去	芒碭山名	t	ɔŋ	22	d	ong	6
盪	端	剛	蕩	陽去	滌也又推也大也	t	ɔŋ	22	d	ong	6
望	明	剛	望	陽去	仰望名望看望又希也冀也	m	ɔŋ	22	m	ong	6
浪	來	剛	浪	陽去	波浪又孟浪	l	ɔŋ	22	l	ong	6
晾	來	剛	浪	陽去	曬晾	l	ɔŋ	22	l	ong	6
巷	曉	剛	巷	陽去	小街也又宮中長廡相通曰永巷	h	ɔŋ	22	h	ong	6
項	曉	剛	巷	陽去	頭後曰項又各項又姓	h	ɔŋ	22	h	ong	6
臟	精	剛	臟	陽去	臟腑五臟	ts	ɔŋ	22	z	ong	6
藏	精	剛	臟	陽去	收貨財處曰藏又過貪曰無盡藏	ts	ɔŋ	22	z	ong	6
旺	云	剛	旺	陽去	興旺盛也	w	ɔŋ	22	w	ong	6
王	云	剛	旺	陽去	天下歸往謂之王	w	ɔŋ	22	w	ong	6
傍	幫	剛	傍	陽去	白巷切依傍	p	ɔŋ	22	b	ong	6
角	見	角	角	陰入	競也較也逐也又獸角又宿名	k	ɔk	3	g	ok	3
桷	見	角	角	陰入	桁桷屋土椽枋也	k	ɔk	3	g	ok	3
捔	見	角	角	陰入	較也又掎捔也	k	ɔk	3	g	ok	3
确	見	角	角	陰入	磽确	k	ɔk	3	g	ok	3
埆	見	角	角	陰入	地不平也薄墝埆樁薄也	k	ɔk	3	g	ok	3
各	見	角	角	陰入	異也另也	k	ɔk	3	g	ok	3
閣	見	角	角	陰入	樓閣又拜相曰入閣	k	ɔk	3	g	ok	3
覺	見	角	角	陰入	知覺明覺發覺又覺察覺悟	k	ɔk	3	g	ok	3
珏	見	角	角	陰入	雙玉曰珏	k	ɔk	3	g	ok	3
較	見	角	角	陰入	獵較取禽獸也又車兩輢土出軾者謂車兩旁也	k	ɔk	3	g	ok	3
博	幫	角	博	陰入	廣也大也局戲也	p	ɔk	3	b	ok	3
搏	幫	角	博	陰入	搏擊	p	ɔk	3	b	ok	3
鎛	幫	角	博	陰入	錢鎛田器	p	ɔk	3	b	ok	3
膊	幫	角	博	陰入	膊肩	p	ɔk	3	b	ok	3
剝	幫	角	博	陰入	剝削落也擊也割也	p	ɔk	3	b	ok	3
駁	幫	角	博	陰入	雜也又申詞不准曰駁	p	ɔk	3	b	ok	3
亳	幫	角	博	陰入	商所都也	p	ɔk	3	b	ok	3
壆	幫	角	博	陰入	臺壆墈壆	p	ɔk	3	b	ok	3
託	透	角	託	陰入	寄託委也信任也	tʰ	ɔk	3	t	ok	3
托	透	角	託	陰入	同上(寄託委也信任也)	tʰ	ɔk	3	t	ok	3
飥	透	角	託	陰入	餅也	tʰ	ɔk	3	t	ok	3
橐	透	角	託	陰入	無底之囊即纏袋也	tʰ	ɔk	3	t	ok	3
柝	透	角	託	陰入	木魚	tʰ	ɔk	3	t	ok	3
蘀	透	角	託	陰入	木葉落曰蘀	tʰ	ɔk	3	t	ok	3
朔	審	角	朔	陰入	月初一也又北方曰朔方	ʃ	ɔk	3	sh	ok	3
槊	審	角	朔	陰入	矛屬	ʃ	ɔk	3	sh	ok	3
數	審	角	朔	陰入	煩數	ʃ	ɔk	3	sh	ok	3
確	溪	角	確	陰入	確實堅確的確	kʰ	ɔk	3	k	ok	3
榷	溪	角	確	陰入	橫木渡水曰榷漢榷酒酤謂禁民酤獨官開置如道路設木爲榷獨敗利也	kʰ	ɔk	3	k	ok	3
篧	溪	角	確	陰入	取魚之器	kʰ	ɔk	3	k	ok	3
涸	溪	角	確	陰入	水乾盡也	kʰ	ɔk	3	k	ok	3
壑	溪	角	確	陰入	山谷也坑也	kʰ	ɔk	3	k	ok	3
慤	溪	角	確	陰入	謹愿也實也	kʰ	ɔk	3	k	ok	3
郝	溪	角	確	陰入	地名又姓	kʰ	ɔk	3	k	ok	3
貉	溪	角	確	陰入	獸名狐屬	kʰ	ɔk	3	k	ok	3
恪	溪	角	確	陰入	恭謹也	kʰ	ɔk	3	k	ok	3
洛	來	角	洛	陰入	水名	l	ɔk	3	l	ok	3
絡	來	角	洛	陰入	聯絡不斷又脹絡筋絡	l	ɔk	3	l	ok	3
烙	來	角	洛	陰入	燒也紂行炮烙之刑	l	ɔk	3	l	ok	3
駱	來	角	洛	陰入	白馬黑鬣曰駱又駱駝	l	ɔk	3	l	ok	3
𪃕	來	角	洛	陰入	水名	l	ɔk	3	l	ok	3
雒	來	角	洛	陰入	鳥名又黑馬白鬣曰雒	l	ɔk	3	l	ok	3
犖	來	角	洛	陰入	卓犖超絕也	l	ɔk	3	l	ok	3
撲	滂	角	撲	陰入	擊打也	pʰ	ɔk	3	p	ok	3
樸	滂	角	撲	陰入	木素也上曰杯木曰樸又質樸	pʰ	ɔk	3	p	ok	3
璞	滂	角	撲	陰入	玉未琢	pʰ	ɔk	3	p	ok	3
朴	滂	角	撲	陰入	質實也又硬朴	pʰ	ɔk	3	p	ok	3
粕	滂	角	撲	陰入	糟粕酒滓也	pʰ	ɔk	3	p	ok	3
惡	亞	角	惡	陰入	醜惡不善也	ʔ	ɔk	3		ok	3
錯	淸	角	錯	陰入	舛也乖也誤也亂也	tsʰ	ɔk	3	c	ok	3
作	精	角	作	陰入	起也造也爲也	ts	ɔk	3	z	ok	3
索	心	角	索	陰入	盡也散也懼也	s	ɔk	3	s	ok	3
䌇	心	角	索	陰入	繩䌇	s	ɔk	3	s	ok	3
摸	明	角	摸	陰入	文國切掠取也即撈摸又音莫	m	ɔk	3	m	ok	3
國	古	角	國	陰入	邦國	kʷ	ɔk	3	gw	ok	3
蟈	古	角	國	陰入	螻蟈蟲名	kʷ	ɔk	3	gw	ok	3
幗	古	角	國	陰入	婦人喪服	kʷ	ɔk	3	gw	ok	3
郭	古	角	國	陰入	外城曰郭又大也又姓	kʷ	ɔk	3	gw	ok	3
鞹	古	角	國	陰入	皮去毛曰鞹	kʷ	ɔk	3	gw	ok	3
鞟	古	角	國	陰入	同上(皮去毛曰鞹)	kʷ	ɔk	3	gw	ok	3
椁	古	角	國	陰入	外棺曰椁	kʷ	ɔk	3	gw	ok	3
槨	古	角	國	陰入	同上(外棺曰椁)	kʷ	ɔk	3	gw	ok	3
獲	云	角	獲	陰入	得也	w	ɔk	3	w	ok	3
穫	云	角	獲	陰入	割禾曰穫	w	ɔk	3	w	ok	3
蠖	云	角	獲	陰入	尺蠖屈伸蟲也	w	ɔk	3	w	ok	3
蒦	云	角	獲	陰入	蒦頭收系器	w	ɔk	3	w	ok	3
擴	非	角	擴	陰入	張大也推而廣也	f	ɔk	3	f	ok	3
廓	非	角	擴	陰入	開大也	f	ɔk	3	f	ok	3
躩	非	角	擴	陰入	盤辟貌	f	ɔk	3	f	ok	3
攫	非	角	擴	陰入	爪持也撲取也	f	ɔk	3	f	ok	3
矍	非	角	擴	陰入	矍鑠輕健貌	f	ɔk	3	f	ok	3
縛	非	角	擴	陰入	綁縛	f	ɔk	3	f	ok	3
钁	非	角	擴	陰入	鋤頭	f	ɔk	3	f	ok	3
霍	非	角	擴	陰入	姓	f	ɔk	3	f	ok	3
藿	非	角	擴	陰入	藿香草名	f	ɔk	3	f	ok	3
攉	非	角	擴	陰入	手反覆也搖手曰揮反手曰攉	f	ɔk	3	f	ok	3
殼	曉	角	殼	陰入	行作切物之外皮曰殼又銅鐵殼	h	ɔk	3	h	ok	3
薄	幫	角	薄	陽入	輕也微也	p	ɔk	2	b	ok	6
泊	幫	角	薄	陽入	淡泊灣泊	p	ɔk	2	b	ok	6
箔	幫	角	薄	陽入	竹箔簾也又金箔	p	ɔk	2	b	ok	6
舶	幫	角	薄	陽入	小舟	p	ɔk	2	b	ok	6
礴	幫	角	薄	陽入	磅礡氣化充滿也	p	ɔk	2	b	ok	6
學	曉	角	學	陽入	效也又庠序總名	h	ɔk	2	h	ok	6
斈	曉	角	學	陽入	同上(效也又庠序總名)	h	ɔk	2	h	ok	6
鶴	曉	角	學	陽入	白鶴	h	ɔk	2	h	ok	6
翯	曉	角	學	陽入	潔白貌	h	ɔk	2	h	ok	6
昨	精	角	昨	陽入	昔日也	ts	ɔk	2	z	ok	6
怍	精	角	昨	陽入	愧怍	ts	ɔk	2	z	ok	6
柞	精	角	昨	陽入	木名	ts	ɔk	2	z	ok	6
酢	精	角	昨	陽入	酬酢	ts	ɔk	2	z	ok	6
鑿	精	角	昨	陽入	鏨鑿又精也實也	ts	ɔk	2	z	ok	6
莫	明	角	莫	陽入	無也勿也不可也	m	ɔk	2	m	ok	6
漠	明	角	莫	陽入	沙漠北方流沙也又廣也大也又沛漠	m	ɔk	2	m	ok	6
膜	明	角	莫	陽入	内間曰膜	m	ɔk	2	m	ok	6
鏌	明	角	莫	陽入	鏌鋣劍名	m	ɔk	2	m	ok	6
寞	明	角	莫	陽入	寂寞	m	ɔk	2	m	ok	6
瘼	明	角	莫	陽入	病也	m	ɔk	2	m	ok	6
幙	明	角	莫	陽入	帷幙將軍之居曰幙府	m	ɔk	2	m	ok	6
邈	明	角	莫	陽入	遠也渺也雄視也又音眇	m	ɔk	2	m	ok	6
幕	明	角	莫	陽入	與幙同	m	ɔk	2	m	ok	6
樂	我	角	樂	陽入	禮樂	ŋ	ɔk	2	ng	ok	6
岳	我	角	樂	陽入	大山也天子遊方岳	ŋ	ɔk	2	ng	ok	6
嶽	我	角	樂	陽入	衆山之宗	ŋ	ɔk	2	ng	ok	6
諤	我	角	樂	陽入	謇諤直言也	ŋ	ɔk	2	ng	ok	6
讍	我	角	樂	陽入	同上(謇諤直言也)	ŋ	ɔk	2	ng	ok	6
噩	我	角	樂	陽入	嚴肅貌	ŋ	ɔk	2	ng	ok	6
鱷	我	角	樂	陽入	大魚	ŋ	ɔk	2	ng	ok	6
鶚	我	角	樂	陽入	鵰也	ŋ	ɔk	2	ng	ok	6
鄂	我	角	樂	陽入	鄂然	ŋ	ɔk	2	ng	ok	6
愕	我	角	樂	陽入	錯愕驚愕懼貌	ŋ	ɔk	2	ng	ok	6
萼	我	角	樂	陽入	花萼	ŋ	ɔk	2	ng	ok	6
咢	我	角	樂	陽入	徒擊鼓聲	ŋ	ɔk	2	ng	ok	6
鸑	我	角	樂	陽入	鸑鷟鳥名	ŋ	ɔk	2	ng	ok	6
濯	照	角	濯	陽入	浣濯又肥澤貌	tʃ	ɔk	2	zh	ok	6
落	來	角	落	陽入	降也又磊落	l	ɔk	2	l	ok	6
樂	來	角	落	陽入	歡娛也	l	ɔk	2	l	ok	6
濼	來	角	落	陽入	地名	l	ɔk	2	l	ok	6
鐸	端	角	鐸	陽入	木鐸金口木舌擊以儆衆者	t	ɔk	2	d	ok	6
度	端	角	鐸	陽入	量度籌度謀也	t	ɔk	2	d	ok	6
諾	泥	角	諾	陽入	應詞也	n	ɔk	2	n	ok	6
鑊	云	角	鑊	陽入	云落切釜屬	w	ɔk	2	w	ok	6
朝	照	朝	朝	陰平	旦也早也又朝鮮國名	tʃ	iu	53	zh	iu	1
招	照	朝	朝	陰平	手呼也以言曰召以手曰招	tʃ	iu	53	zh	iu	1
夭	以	朝	夭	陰平	夭夭少好貌	j	iu	53	j	iu	1
妖	以	朝	夭	陰平	巧也艷也好也媚也祥也孽也	j	iu	53	j	iu	1
幺	以	朝	夭	陰平	小也	j	iu	53	j	iu	1
腰	以	朝	夭	陰平	身之中也	j	iu	53	j	iu	1
要	以	朝	夭	陰平	要求要截招也勤也	j	iu	53	j	iu	1
葽	以	朝	夭	陰平	草名	j	iu	53	j	iu	1
喓	以	朝	夭	陰平	草蟲鳴聲	j	iu	53	j	iu	1
邀	以	朝	夭	陰平	求也招也請也	j	iu	53	j	iu	1
徼	以	朝	夭	陰平	徼幸謂非正理也又求也又祭也	j	iu	53	j	iu	1
驕	見	朝	驕	陰平	緃肆驕傲驕矜驕奢	k	iu	53	g	iu	1
嬌	見	朝	驕	陰平	美色	k	iu	53	g	iu	1
鷮	見	朝	驕	陰平	雉也	k	iu	53	g	iu	1
澆	見	朝	驕	陰平	澆漓澆薄又沃也	k	iu	53	g	iu	1
昭	穿	朝	昭	陰平	明也光也	tʃʰ	iu	53	ch	iu	1
超	穿	朝	昭	陰平	越也躍而過也	tʃʰ	iu	53	ch	iu	1
弨	穿	朝	昭	陰平	弛也	tʃʰ	iu	53	ch	iu	1
釗	穿	朝	昭	陰平	遠也見也勉也又弩牙也	tʃʰ	iu	53	ch	iu	1
彫	端	朝	彫	陰平	刻畫也彫落彫琢又彫零	t	iu	53	d	iu	1
凋	端	朝	彫	陰平	零落也	t	iu	53	d	iu	1
琱	端	朝	彫	陰平	治玉也	t	iu	53	d	iu	1
鵰	端	朝	彫	陰平	鳥名其羽可爲箭	t	iu	53	d	iu	1
貂	端	朝	彫	陰平	貂鼠	t	iu	53	d	iu	1
刁	端	朝	彫	陰平	狡惡之人	t	iu	53	d	iu	1
丢	端	朝	彫	陰平	棄也去而不取也	t	iu	53	d	iu	1
雕	端	朝	彫	陰平	同彫	t	iu	53	d	iu	1
蕭	心	朝	蕭	陰平	艾蒿也又蕭條	s	iu	53	s	iu	1
箫	心	朝	蕭	陰平	樂器	s	iu	53	s	iu	1
潇	心	朝	蕭	陰平	風雨暴疾又瀟湘二水名	s	iu	53	s	iu	1
𢑁	心	朝	蕭	陰平	弓弭頭也	s	iu	53	s	iu	1
蠨	心	朝	蕭	陰平	蠨蛸小蜘蛛也	s	iu	53	s	iu	1
消	心	朝	蕭	陰平	散也减也滅也又消息	s	iu	53	s	iu	1
銷	心	朝	蕭	陰平	火鑠金也	s	iu	53	s	iu	1
硝	心	朝	蕭	陰平	硭硝藥名又硝磺火藥	s	iu	53	s	iu	1
逍	心	朝	蕭	陰平	逍遙翺翔自適貌	s	iu	53	s	iu	1
霄	心	朝	蕭	陰平	雲宵近天氣也	s	iu	53	s	iu	1
宵	心	朝	蕭	陰平	夜也	s	iu	53	s	iu	1
翛	心	朝	蕭	陰平	羽敝也又飛貌	s	iu	53	s	iu	1
綃	心	朝	蕭	陰平	生絲繒也又鮫綃	s	iu	53	s	iu	1
𤑳	心	朝	蕭	陰平	𤑔也	s	iu	53	s	iu	1
囂	曉	朝	囂	陰平	喧也又囂囂無欲自得之貌	h	iu	53	h	iu	1
嘵	曉	朝	囂	陰平	嘵嘵恐懼告愬意	h	iu	53	h	iu	1
枵	曉	朝	囂	陰平	枵腹空虛也又木名	h	iu	53	h	iu	1
鴞	曉	朝	囂	陰平	鴟鴞惡聲之鳥	h	iu	53	h	iu	1
梟	曉	朝	囂	陰平	勇也又斬罪以其首示衆曰梟首	h	iu	53	h	iu	1
椒	精	朝	椒	陰平	胡椒皇后稱椒房以𡍼壁取其溫柔又姓	ts	iu	53	z	iu	1
蕉	精	朝	椒	陰平	芭蕉花名	ts	iu	53	z	iu	1
焦	精	朝	椒	陰平	火燒黑也又勞心曰焦	ts	iu	53	z	iu	1
鷦	精	朝	椒	陰平	鷦鷯鳥名	ts	iu	53	z	iu	1
膲	精	朝	椒	陰平	二膲五臟之上系管爲三膲又從頭至心心至臍臍至足爲上下三膲	ts	iu	53	z	iu	1
鐎	精	朝	椒	陰平	鐎斗即刀斗其器可受二升晝炊夜擊	ts	iu	53	z	iu	1
噍	精	朝	椒	陰平	無噍類言絕也	ts	iu	53	z	iu	1
標	幫	朝	標	陰平	立木以爲表	p	iu	53	b	iu	1
縹	幫	朝	標	陰平	帛青白色又縹縹輕舉貌	p	iu	53	b	iu	1
鏢	幫	朝	標	陰平	兵器	p	iu	53	b	iu	1
鑣	幫	朝	標	陰平	馬銜外鐵也	p	iu	53	b	iu	1
儦	幫	朝	標	陰平	獸趨走也	p	iu	53	b	iu	1
瀌	幫	朝	標	陰平	雨雪盛貌	p	iu	53	b	iu	1
臕	幫	朝	標	陰平	脂臕肥貌	p	iu	53	b	iu	1
麃	幫	朝	標	陰平	麃麃武貌	p	iu	53	b	iu	1
飊	幫	朝	標	陰平	風急貌	p	iu	53	b	iu	1
猋	幫	朝	標	陰平	犬走貌	p	iu	53	b	iu	1
髟	幫	朝	標	陰平	髮長貌	p	iu	53	b	iu	1
飄	滂	朝	飄	陰平	風吹	pʰ	iu	53	p	iu	1
漂	滂	朝	飄	陰平	浮也動也流也	pʰ	iu	53	p	iu	1
嘌	滂	朝	飄	陰平	嘌嘌搖不安貌	pʰ	iu	53	p	iu	1
挑	透	朝	挑	陰平	挑撥又杖荷又取也又往來貌	tʰ	iu	53	t	iu	1
佻	透	朝	挑	陰平	佻佻輕薄不禁勞苦貌	tʰ	iu	53	t	iu	1
𠛪	透	朝	挑	陰平	剔也	tʰ	iu	53	t	iu	1
恌	透	朝	挑	陰平	偷薄也	tʰ	iu	53	t	iu	1
祧	透	朝	挑	陰平	遷廟曰祧廟	tʰ	iu	53	t	iu	1
燒	審	朝	燒	陰平	火燒黑也又勞心曰焦	ʃ	iu	53	sh	iu	1
調	透	朝	調	陽平	和合也又調停調劑又揉伏也	tʰ	iu	21	t	iu	4
條	透	朝	調	陽平	條理條件又幹也	tʰ	iu	21	t	iu	4
鯈	透	朝	調	陽平	魚名	tʰ	iu	21	t	iu	4
鞗	透	朝	調	陽平	馬轡也	tʰ	iu	21	t	iu	4
迢	透	朝	調	陽平	迢遞遠也	tʰ	iu	21	t	iu	4
髫	透	朝	調	陽平	髫年垂髮少年也	tʰ	iu	21	t	iu	4
苕	透	朝	調	陽平	草名	tʰ	iu	21	t	iu	4
齠	透	朝	調	陽平	始毀齒也	tʰ	iu	21	t	iu	4
鰷	透	朝	調	陽平	魚名	tʰ	iu	21	t	iu	4
蜩	透	朝	調	陽平	蟬也	tʰ	iu	21	t	iu	4
堯	日	朝	堯	陽平	陶唐氏號謚法翼善傳聖曰堯	ȵ	iu	21	nj	iu	4
蕘	日	朝	堯	陽平	薪名	ȵ	iu	21	nj	iu	4
饒	日	朝	堯	陽平	豐也厚也餘也足也	ȵ	iu	21	nj	iu	4
嬈	日	朝	堯	陽平	嬌嬈妍媚貌	ȵ	iu	21	nj	iu	4
橈	日	朝	堯	陽平	舟中之楫也	ȵ	iu	21	nj	iu	4
驍	日	朝	堯	陽平	武勇也健也又良馬	ȵ	iu	21	nj	iu	4
僥	日	朝	堯	陽平	焦僥氏南蠻之別名人短至三尺又音驕僞也	ȵ	iu	21	nj	iu	4
寮	來	朝	寮	陽平	同官曰寮平班亦曰寮	l	iu	21	l	iu	4
僚	來	朝	寮	陽平	同上(同官曰寮平班亦曰寮)	l	iu	21	l	iu	4
繚	來	朝	寮	陽平	繞也纏也	l	iu	21	l	iu	4
遼	來	朝	寮	陽平	遠也又水名又東胡國號曰大遼又遼東	l	iu	21	l	iu	4
療	來	朝	寮	陽平	治病曰療病	l	iu	21	l	iu	4
燎	來	朝	寮	陽平	明也爕也	l	iu	21	l	iu	4
撩	來	朝	寮	陽平	招也	l	iu	21	l	iu	4
鷯	來	朝	寮	陽平	鷦鷯小鳥	l	iu	21	l	iu	4
嫽	來	朝	寮	陽平	相嫽戲也	l	iu	21	l	iu	4
寥	來	朝	寮	陽平	寂寥靜也又空也廓也	l	iu	21	l	iu	4
憀	來	朝	寮	陽平	憀賴又悲恨也	l	iu	21	l	iu	4
聊	來	朝	寮	陽平	耳鳴也又且也略也賴也况昧也	l	iu	21	l	iu	4
膋	來	朝	寮	陽平	腸間之膏也	l	iu	21	l	iu	4
㙩	來	朝	寮	陽平	宵田曰㙩	l	iu	21	l	iu	4
嘹	來	朝	寮	陽平	嘹喨鳴聲清徹也	l	iu	21	l	iu	4
喬	溪	朝	喬	陽平	高也大也	kʰ	iu	21	k	iu	4
橋	溪	朝	喬	陽平	橋梁	kʰ	iu	21	k	iu	4
僑	溪	朝	喬	陽平	旅寓而居也	kʰ	iu	21	k	iu	4
翹	溪	朝	喬	陽平	高也企也又翹首舉頭望也又翹楚喻人之特出也	kʰ	iu	21	k	iu	4
荍	溪	朝	喬	陽平	菜名	kʰ	iu	21	k	iu	4
徭	以	朝	徭	陽平	役也使也	j	iu	21	j	iu	4
猺	以	朝	徭	陽平	猺獞山之人也	j	iu	21	j	iu	4
瑤	以	朝	徭	陽平	瓊瑤美玉也	j	iu	21	j	iu	4
謠	以	朝	徭	陽平	徒歌曰謠又謠言	j	iu	21	j	iu	4
遙	以	朝	徭	陽平	逍遙又遠也	j	iu	21	j	iu	4
窰	以	朝	徭	陽平	窰竈所以燒瓦	j	iu	21	j	iu	4
颻	以	朝	徭	陽平	飄颻風動貌	j	iu	21	j	iu	4
鷂	以	朝	徭	陽平	鳥名其羽可爲箭	j	iu	21	j	iu	4
姚	以	朝	徭	陽平	舜姓舜居姚墟因以爲姓又嫖姚官名也	j	iu	21	j	iu	4
摇	以	朝	徭	陽平	動也	j	iu	21	j	iu	4
陶	以	朝	徭	陽平	臯陶舜臣名	j	iu	21	j	iu	4
軺	以	朝	徭	陽平	小車也	j	iu	21	j	iu	4
愮	以	朝	徭	陽平	憂無告也又悸也邪也惑也	j	iu	21	j	iu	4
樵	淸	朝	樵	陽平	采薪曰樵	tsʰ	iu	21	c	iu	4
憔	淸	朝	樵	陽平	憔悴煎苦貌	tsʰ	iu	21	c	iu	4
譙	淸	朝	樵	陽平	地名又殺也	tsʰ	iu	21	c	iu	4
瓢	滂	朝	瓢	陽平	瓠也	pʰ	iu	21	p	iu	4
䕯	滂	朝	瓢	陽平	浮萍也	pʰ	iu	21	p	iu	4
薸	滂	朝	瓢	陽平	同上(浮萍也)	pʰ	iu	21	p	iu	4
嫖	滂	朝	瓢	陽平	嫖姚官名	pʰ	iu	21	p	iu	4
潮	穿	朝	潮	陽平	海水旋流每日消長朝曰潮夕曰汐	tʃʰ	iu	21	ch	iu	4
朝	穿	朝	潮	陽平	朝廷朝覲	tʃʰ	iu	21	ch	iu	4
鼂	穿	朝	潮	陽平	姓	tʃʰ	iu	21	ch	iu	4
晁	穿	朝	潮	陽平	同上(姓)	tʃʰ	iu	21	ch	iu	4
韶	審	朝	韶	陽平	舜樂名給也又韶華韶光	ʃ	iu	21	sh	iu	4
苗	明	朝	苗	陽平	禾苗又草始生曰苗又有苗國名又苗裔	m	iu	21	m	iu	4
描	明	朝	苗	陽平	寫也畫也	m	iu	21	m	iu	4
猫	明	朝	苗	陽平	捉鼠之獸	m	iu	21	m	iu	4
貓	明	朝	苗	陽平	同上(捉鼠之獸)	m	iu	21	m	iu	4
沼	照	朝	沼	陰上	池沼圓曰池方曰沼	tʃ	iu	35	zh	iu	2
矯	見	朝	矯	陰上	強貌又擅也妄託上命也又矯詐矯枉	k	iu	35	g	iu	2
繳	見	朝	矯	陰上	纏也又綪尾也	k	iu	35	g	iu	2
皦	見	朝	矯	陰上	明也又玉石之白	k	iu	35	g	iu	2
嶠	見	朝	矯	陰上	蠪嶠螘也又天嶠龍貌	k	iu	35	g	iu	2
敽	見	朝	矯	陰上	連也繫也書經敽乃干	k	iu	35	g	iu	2
嶠	見	朝	矯	陰上	山屹而高	k	iu	35	g	iu	2
撟	見	朝	矯	陰上	揉也物也	k	iu	35	g	iu	2
殀	以	朝	殀	陰上	短命也	j	iu	35	j	iu	2
窈	以	朝	殀	陰上	幽深也靜遠也	j	iu	35	j	iu	2
鷕	以	朝	殀	陰上	雌雉聲	j	iu	35	j	iu	2
窅	以	朝	殀	陰上	深遠也	j	iu	35	j	iu	2
悄	淸	朝	悄	陰上	憂也	tsʰ	iu	35	c	iu	2
峭	淸	朝	悄	陰上	陖也險也	tsʰ	iu	35	c	iu	2
鞘	淸	朝	悄	陰上	刀劍殿	tsʰ	iu	35	c	iu	2
俏	淸	朝	悄	陰上	密行也又似也像也	tsʰ	iu	35	c	iu	2
勦	精	朝	勦	陰上	征勦截殺也又勦集	ts	iu	35	z	iu	2
剿	精	朝	勦	陰上	同上(征勦截殺也又勦集)	ts	iu	35	z	iu	2
