繁体	简体	IPA	注释	来源		#說明：	
興	兴	ɕiɪn5	生意~	墳派			
欣	欣	ɕiən1	~喜	墳派			
勳	勋	ɕyən1	“勛”的異體字	墳派			
薰	薰	ɕyən1	~風	墳派			
醺	醺	ɕyən1	醉~~	墳派			
塤	埙	ɕyən1	古代用陶土燒製的一種吹奏樂器，圓形或橢圓形，有六孔	墳派			
獯	獯	ɕyən1	~鬻：中國夏代稱北方民族。周代稱“獫狁”，漢代後稱“匈奴”	墳派			
曛	曛	ɕyən1	①黃昏時。②日落的餘暉。③昏暗	墳派			
焄	焄	ɕyən1	①煙火向上冒。②香、臭的氣味	墳派			
纁	纁	ɕyən1	①淺紅色。②落日的餘暉	墳派			
勛	勋	ɕyən1	~章	鄉音字類			
訓	训	ɕyən5	敎~	墳派			
也	也	iɑ3	白讀	墳派			
醃	腌	iɛ̃1	~豬肉	墳派			
魘	魇	iɛ̃1		墳派			
掩	掩	iɛ̃3	遮~	墳派			
也	也	ie3	文讀	墳派			
夜	夜	ie5	文讀	墳派			
懈	懈	ie5	讀書音	墳派			
咽	咽	iɛ̃1	~喉	墳派			
胭	胭	iɛ̃1	擦粉點~：化妝	墳派			
蔫	蔫	iɛ̃1	顏色忒~	墳派			
嫣	嫣	iɛ̃1	美艷、艷麗	墳派			
淹	淹	iɛ̃1		墳派			
閹	阉	iɛ̃1	~脫：閹割掉	墳派			
崦	崦	iɛ̃1	~嵫：①山名，在甘肅省。②古代指太陽落山的地方，如“日薄崦嵫”	墳派			
晻	晻	iɛ̃1		墳派			
弇	弇	iɛ̃1		墳派			
媕	媕	iɛ̃1		墳派			
奄	奄	iɛ̃3	①覆蓋。②忽然，突然。③氣息微弱	墳派			
晻	晻	iɛ̃3	~~：昏暗不明，如“日晻晻以西邁”	墳派			
罨	罨	iɛ̃3	①用網捕取；覆蓋。②用來捕魚或捕鳥的網	墳派			
掩	掩	iɛ̃3	~摸：行動遲緩，有意拖拉	墳派			
媕	媕	iɛ̃3	~婀：遊移不決的樣子	墳派			
渰	渰	iɛ̃3	雲興起的樣子	墳派			
𩼴	𩼴	iɛ̃3		墳派			
檿	檿	iɛ̃3	~桑	墳派			
魘	魇	iɛ̃3	夢~	墳派			
偃	偃	iɛ̃3	~旗息鼓	墳派			
揜	揜	iɛ̃3	同“掩”	墳派			
蝘	蝘	iɛ̃3	蟬	墳派			
堰	堰	iɛ̃3		墳派			
鰋	鰋	iɛ̃3	鲇魚	墳派			
演	演	iɛ̃3	~戲	墳派			
戭	戭	iɛ̃3	長槍	墳派			
睍	睍	iɛ̃3	~~：形容怯懦，不敢正視	墳派			
眼	眼	iɛ̃3	讀書音，也可能讀陽上	墳派			
兗	兖	iɛ̃3	~州：地名，在山東省。也可能讀陽上	墳派			
衍	衍	iɛ̃3	①延伸、展開：繁~。②散佈、分佈。③多餘的。也可能讀陽上	墳派			
琰	琰	iɛ̃3	一種美玉。也可能讀陽上	墳派			
剡	剡	iɛ̃3	①削尖。②尖銳、銳利。也可能讀陽上	墳派			
扊	扊	iɛ̃3	～扅，指門閂。也可能讀陽上	墳派			
焱	焱	iɛ̃3	火花、火焰。也可能讀陽上	墳派			
咽	咽	iɛ̃5	~酸：胃裏泛酸水。|~弗落：吞不下；不能容忍	墳派			
煙	烟	iɛ̃5		墳派			
嬿	嬿	iɛ̃5	①美好的。②安樂、閒適	墳派			
晏	晏	iɛ̃5	姓	墳派			
厭	厌	iɛ̃5	討惹~	墳派			
贗	赝	iɛ̃5	~品	墳派			
燕	燕	iɛ̃5	~子	墳派			
焰	焰	iɛ̃5	放~口：和尚做佛事超度餓鬼	墳派			
鷃	鷃	iɛ̃5	同“鴳”；一種小型的鳥	墳派			
饜	餍	iɛ̃5	~食：食欲不振	墳派			
因	因	iɪn1	~頭：①原因，緣由。②藉口	墳派			
英	英	iɪn1	~雄只怕病來磨：形容有本領的人就怕受疾病折磨	墳派			
姻	姻	iɪn1	婚~	墳派			
應	应	iɪn1	~該	墳派			
膺	膺	iɪn1	義憤填~	墳派			
蠅	蝇	iɪn1	蒼~	墳派			
嬰	婴	iɪn1	育~堂	墳派			
鷹	鹰	iɪn1	鷂~	墳派			
茵	茵	iɪn1	①車上的坐墊。②墊褥的通稱	墳派			
尹	尹	iɪn3	①治理。②官名。③姓。也可能讀陽上	墳派			
引	引	iən3	也可能讀陽上	墳派			
蚓	蚓	iən3	也可能讀陽上	墳派			
影	影	iɪn3	~戲：電影	墳派			
穎	颖	iɪn3	也可能讀陽上	墳派			
印	印	iɪn5	~子鈿：舊社會高利貸的一種，利上加利，分期歸還，每還一期，在褶子上蓋印爲記	墳派			
音	音	iən1	~頭：弦外之音	墳派			
陰	阴	iən1	~滋天：陰天	墳派			
飲	饮	iən3	冷~：指冰淇淋、汽水、酸梅湯等一類飲料	墳派			
隱	隐	iən3	~瀉：不顯眼，隱蔽	墳派			
蔭	荫	iən5	~育之福：父母給予的福分、好處	墳派			
窨	窨	iən5	~井	墳派			
間	间	kæ̃1	房子五~	墳派			
監	监	kæ̃1	~牢	墳派			
尷	尴	kæ̃1	~尬	墳派			
艱	艰	kæ̃1	白讀：~難	蘇州同音常用字彙			
艱	艰	tɕiɛ̃	文讀	蘇州同音常用字彙			
柬	柬	kæ̃3	白讀	墳派			
減	减	kæ̃3	白讀：~肥	墳派			
鹼	硷	kæ̃3	同“碱”。白讀	墳派			
揀	拣	kæ̃3	白讀：~好	墳派			
橄	橄	kæ̃3	~欖核墊台脚——活里活絡	墳派			
襇	裥	kæ̃3	褶~	墳派			
監	监	kæ̃5		墳派			
澗	涧	kæ̃5	白讀：山~水	墳派			
嵌	嵌	kʰæ̃1		蘇州同音字彙1892			
鉛	铅	kʰæ̃1	~子	墳派			
檻	槛	kʰæ̃3	門~	墳派			
嵌	嵌	kʰæ̃5	白讀	墳派			
郭	郭	kuoʔ7	姓	鄉音字類			
戈	戈	ku1	姓	墳派			
哥	哥	ku1	阿~	墳派			
歌	歌	ku1	唱山~	墳派			
鍋	锅	ku1	砂~	墳派			
姑	姑	ku1	~歇：老派，現在，這時候。|~夫：姑母的丈夫	墳派			
沽	沽	ku1	①買；賣。②釣取、謀取	墳派			
蛄	蛄	ku1	螻~	墳派			
酤	酤	ku1	①酒。②買酒；賣酒	墳派			
孤	孤	ku1	~孀：寡婦	墳派			
苽	苽	ku1	同“菰”	墳派			
菰	菰	ku1	①多年生草本植物，生在淺水裏，嫰莖稱“茭白”“蔣”。果實稱“菰米”“雕胡米”，可煮食。②同“菇”	墳派			
呱	呱	ku1	~~：指小兒哭聲	墳派			
觚	觚	ku1	①古代盛酒的器具，具有八個棱角。②棱角。③古代書寫的木簡	墳派			
罛	罛	ku1	大漁網	墳派			
柧	柧	ku1	棱角	墳派			
胍	胍	ku1		墳派			
鼓	鼓	ku1		墳派			
辜	辜	ku1	~負	墳派			
鴣	鸪	ku1	鷓~	墳派			
箍	箍	ku1	~桶匠	墳派			
古	古	ku3	千~餅	墳派			
估	估	ku3	~~價鈿	墳派			
詁	诂	ku3	訓~	墳派			
罟	罟	ku3	①網。②用網捕捉魚或鳥獸	墳派			
盬	盬	ku3	鹽池	墳派			
蠱	蛊	ku3	傳說中的一種人工培養的毒蟲，專用來害人	墳派			
瞽	瞽	ku3	瞎；眼瞎的人	墳派			
裹	裹	ku3	包~	墳派			
嘏	嘏	ku3	福：祝~（祝壽）	墳派			
股	股	ku3	~東	墳派			
羖	羖	ku3	黑色的公羊	墳派			
賈	贾	ku3	商~	墳派			
咕	咕	ku3		墳派			
過	过	ku5	~飯：下飯	墳派			
固	固	ku5		墳派			
錮	锢	ku5		墳派			
痼	痼	ku5		墳派			
故	故	ku5	啥個緣~	墳派			
顧	顾	ku5	姓	墳派			
箇	箇	ku5		墳派			
枯	枯	kʰu1	~樹浪剝皮：形容對貧困者剝削	墳派			
骷	骷	kʰu1	~郎頭：頭，腦袋	墳派			
窠	窠	kʰu1	~裏反：內訌	墳派			
科	科	kʰu1		墳派			
蝌	蝌	kʰu1	~蚪，卽蝦蟆	墳派			
顆	颗	kʰu1	~粒	墳派			
棵	棵	kʰu1	塌~菜	墳派			
苛	苛	kʰu1	~刻；~捐雜稅	墳派			
薖	薖	kʰu1	寬大的樣子	墳派			
軻	轲	kʰu1	本爲具有兩木相接的車軸的車，後多見於人名：荊~	墳派			
珂	珂	kʰu1		墳派			
刳	刳	kʰu1	從中間破開再挖空	墳派			
疴	疴	kʰu1	病	墳派			
橭	橭	kʰu1	①古書上說的一種樹，卽山榆。②樹枝四佈	墳派			
苦	苦	kʰu3	吃得~中~，方爲人上人	墳派			
可	可	kʰu3	~見得：以此可見，可以想見	墳派			
坷	坷	kʰu3	坎~	墳派			
舸	舸	kʰu3	理論應讀見母	墳派			
哿	哿	kʰu3	理論應讀見母	墳派			
笴	笴	kʰu3	理論應讀見母	墳派			
顆	颗	kʰu3	理論應讀陰平	墳派			
庫	库	kʰu5	石~門：構造十分牢固結實的大門，門框爲四塊整的花崗石砌成	墳派			
褲	裤	kʰu5	~子襠：褲襠	墳派			
課	课	kʰu5	①敎學的時間單位：上晝四節~。②敎學的科目：小學一年級只有語文、算術兩門~。③敎材的段落：一本敎材廿~。	墳派			
絝	绔	kʰu5	紈~	墳派			
鰥	鳏	kuæ̃1	老而無妻	墳派			
瘝	瘝	kuæ̃1	①患病。②曠廢。③疾苦	墳派			
慣	惯	kuæ̃5	習~	墳派			
丱	丱	kuæ̃5	①舊時兒童束髮如兩角之貌。②年幼	墳派			
串	串	kuæ̃5	①穿。②習慣	墳派			
筷	筷	kʰuæ̃3	~兒，“兒”讀[ŋ]	墳派			
廓	廓	kʰuoʔ7	~清：肅清、澄清	鄉音字類			
鞟	鞟	kʰuoʔ7	去毛的獸皮	鄉音字類			
擴	扩	kʰuoʔ7	~充	蘇州同音常用字彙			
彍	彍	kʰuoʔ7	同“彍”，拉滿弓弩	鄉音字類			
肩	肩	tɕiɛ̃1	~架：肩膀，引申爲負責任	墳派			
兼	兼	tɕiɛ̃1	~兩頭：同時管理、負責兩個方面的工作或事情	墳派			
鶼	鹣	tɕiɛ̃1	~鰈：卽比翼鳥	墳派			
鰜	鳒	tɕiɛ̃1	~魚：比目魚的一種	墳派			
蒹	蒹	tɕiɛ̃1	~葭：①荻草和蘆葦。②比喩卑微鄙陋	墳派			
鬑	鬑	tɕiɛ̃1	理論應讀來母	墳派			
縑	缣	tɕiɛ̃1	雙絲的細絹	墳派			
堅	坚	tɕiɛ̃1	~固	墳派			
慳	悭	tɕiɛ̃1		墳派			
監	监	tɕiɛ̃1	文讀	墳派			
間	间	tɕiɛ̃1	文讀	墳派			
蕳	蕳	tɕiɛ̃1	①蘭草。②蓮子。③姓	墳派			
緘	缄	tɕiɛ̃1	~默	墳派			
菅	菅	tɕiɛ̃1	①植物名。②比喩輕賤：草~人命	墳派			
豜	豜	tɕiɛ̃1	大豬	墳派			
椷	椷	tɕiɛ̃1		墳派			
癇	痫	tɕiɛ̃1	癲~	墳派			
繭	茧	tɕiɛ̃3	~子	墳派			
簡	简	tɕiɛ̃3	~單	墳派			
柬	柬	tɕiɛ̃3	書~	墳派			
揀	拣	tɕiɛ̃3	選擇，挑選：~辰光	墳派			
鹼	硷	tɕiɛ̃3	同“碱”。文讀	墳派			
檢	检	tɕiɛ̃3	~點	墳派			
瞼	睑	tɕiɛ̃3	眼~毛	墳派			
減	减	tɕiɛ̃3	文讀	墳派			
覸	覸	tɕiɛ̃3	《集韻》：賈限切	墳派			
謇	謇	tɕiɛ̃3	①口吃，說話不順利。②正直	墳派			
蹇	蹇	tɕiɛ̃3	跛脚、行動不便	墳派			
寋	寋	tɕiɛ̃3		墳派			
筧	笕	tɕiɛ̃3	①連接起來引水用的長竹管。②橫安在屋簷上承接雨水的長竹管	墳派			
澗	涧	tɕiɛ̃3		墳派			
見	见	tɕiɛ̃5	~鬼：嫌鄙人家東西少，氣量小	墳派			
建	建	tɕiɛ̃5	~設	墳派			
劍	剑	tɕiɛ̃5	寶~	墳派			
諫	谏	tɕiɛ̃5	舊時稱規勸君主或尊長，使改正錯誤：進~	墳派			
監	监	tɕiɛ̃5	文讀	墳派			
澗	涧	tɕiɛ̃5	文讀	墳派			
間	间	tɕiɛ̃5	~諜	墳派			
瞷	瞷	tɕiɛ̃5	窺視；偵查	墳派			
覸	覸	tɕiɛ̃5	看	墳派			
毽	毽	tɕiɛ̃5	踢~子，卽踢絹踢	墳派			
牽	牵	tɕʰiɛ̃1	~牛	墳派			
謙	谦	tɕʰiɛ̃1	~虛	墳派			
汧	汧	tɕʰiɛ̃1	~水：今千河的古稱。源出甘肅省，流經陝西省入渭河	墳派			
掔	掔	tɕʰiɛ̃1	①用手握緊。②牽引。③厚實	墳派			
愆	愆	tɕʰiɛ̃1	①過失，罪過。②耽擱，錯過。③過期的	墳派			
褰	褰	tɕʰiɛ̃1	①揭起。②古代稱套褲	墳派			
鶱	鶱	tɕʰiɛ̃1		墳派			
搴	搴	tɕʰiɛ̃1	拔取	墳派			
鉛	铅	tɕʰiɛ̃1	文讀	墳派			
慳	悭	tɕʰiɛ̃1	小氣，吝嗇：~吝	墳派			
遣	遣	tɕʰiɛ̃3	~散	墳派			
繾	缱	tɕʰiɛ̃3	~綣：情意纏綿，感情好得離不開	墳派			
譴	谴	tɕʰiɛ̃3	~責	墳派			
轞	轞	tɕʰiɛ̃3		墳派			
檻	槛	tɕʰiɛ̃3		墳派			
豏	豏	tɕʰiɛ̃3	①豆半生。②餡兒	墳派			
嵰	嵰	tɕʰiɛ̃3	山險峻貌	墳派			
慊	慊	tɕʰiɛ̃3	不滿，怨恨	墳派			
歉	歉	tɕʰiɛ̃3	吃不飽	墳派			
蹇	蹇	tɕʰiɛ̃3		墳派			
芡	芡	tɕʰiɛ̃3		墳派			
艦	舰	tɕʰiɛ̃3	軍~	墳派			
欠	欠	tɕʰiɛ̃5	~債	墳派			
謙	谦	tɕʰiɛ̃1	~虛	蘇州同音常用字彙			
謙	谦	tɕʰiɛ̃5		墳派			
芡	芡	tɕʰiɛ̃5	~實	墳派			
譴	谴	tɕʰiɛ̃5	~責	墳派			
巾	巾	tɕiɪn1	手~：毛巾	墳派			
京	京	tɕiɪn1	~戲：京劇	墳派			
觔	觔	tɕiɪn1	同“筋”“斤”	墳派			
荊	荆	tɕiɪn1	~妻：謙辭。指自己的妻子	墳派			
涇	泾	tɕiɪn1	洋~浜：指夾雜漢語的不標準外語，引申爲不標準的方言或語言	墳派			
經	经	tɕiɪn1	物事~：東西，物品；意圖	墳派			
驚	惊	tɕiɪn1	~嚇	墳派			
鯨	鲸	tɕiɪn1	應讀陽平	墳派			
矜	矜	tɕiɪn1	~持	墳派			
景	景	tɕiɪn3	~致：風景；比喩能引起濃厚興趣的東西	墳派			
境	境	tɕiɪn3	邊~	墳派			
緊	紧	tɕiɪn3	~要	墳派			
頸	颈	tɕiɪn3	頭~	墳派			
儆	儆	tɕiɪn3	①戒備。②警告，懲戒：殺一~百	墳派			
脛	胫	tɕiɪn5	小腿	墳派			
徑	径	tɕiɪn5	一~：（時間上）一直；老是，經常	墳派			
逕	迳	tɕiɪn5	同“徑”	墳派			
竟	竟	tɕiɪn5	~竟：副詞，用在問句裏，表示追究	墳派			
敬	敬	tɕiɪn5	~酒：拿一杯酒來請喝完	墳派			
鏡	镜	tɕiɪn5	~子裏碰肉——弗著肉：歇後語，表示不貼心	墳派			
勁	劲	tɕiɪn5	上~：認真對待	蘇州同音常用字彙			
金	金	tɕiən1	姓	墳派			
今	今	tɕiən1	~年巴望來年好，來年還是破棉襖：比喩景況連年得不到改善	墳派			
斤	斤	tɕiən1	講~頭：指談論交換條件	墳派			
錦	锦	tɕiən3	素什~：以多種素食品爲主料，如香菇、豆腐衣、蘑菇、木耳、豆腐乾等所做的菜餚	墳派			
謹	谨	tɕiən3	~守關閉：小心謹慎	墳派			
禁	禁	tɕiən5	~止	墳派			
卿	卿	tɕʰiɪn1	~~我我	墳派			
傾	倾	tɕʰiɪn1	~覆	墳派			
輕	轻	tɕʰiɪn1	~重	墳派			
頃	顷	tɕʰiɪn3	~刻	墳派			
慶	庆	tɕʰiɪn5	國~紀念	墳派			
撳	揿	tɕʰiən5	~牢俚	蘇州同音常用字彙			
欽	钦	tɕʰiən1	~佩	墳派			
衾	衾	tɕʰiən1	①大被子。②殮屍用的被子	墳派			
皸	皲	tɕyən1	皮膚因寒冷或乾燥而裂開	墳派			
君	君	tɕyən1	灶~菩薩：竈神	墳派			
均	均	tɕyən1		墳派			
鈞	钧	tɕyən1	古代重量單位，合三十斤：千~一髮（比喩極其危急）	墳派			
軍	军	tɕyən1	伸手大將~：要錢的人	墳派			
囷	囷	tɕyən1	圓形的穀倉	墳派			
箘	箘	tɕyən1		墳派			
鋆	鋆	tɕyən1	金子	墳派			
窘	窘	tɕʰyən3	今聲母讀不送氣音：處境艱難	墳派			
藍	蓝	læ̃2	~~兮兮：淡藍色	墳派			
蘭	兰	læ̃2	~花	墳派			
欄	栏	læ̃2	~幹	墳派			
攔	拦	læ̃2	文讀：~頭~面（夾頭夾腦）	墳派			
籃	篮	læ̃2	~頭：籃子	墳派			
闌	阑	læ̃2	~珊：衰落，凋散	墳派			
瀾	澜	læ̃2	~~：淚下貌	墳派			
斕	斓	læ̃2	斑~	墳派			
讕	谰	læ̃2	~言：誣妄之言。不經之言	墳派			
覽	览	læ̃4	~勝：觀覽勝境	墳派			
欖	榄	læ̃4	橄~	墳派			
赧	赧	læ̃4	文讀：理論應讀泥母	墳派			
懶	懒	læ̃4	~惰	墳派			
戁	戁	læ̃4	敬畏、恐懼。讀音疑有誤，《廣韻》：奴板切或人善切	墳派			
濫	滥	læ̃6	~和調：形容一味附和別人的意見	墳派			
纜	缆	læ̃6	~繩	墳派			
爛	烂	læ̃6	~泥：泥土	墳派			
糷	糷	læ̃6	飯爛相粘著	墳派			
連	连	liɛ̃2	打~廂	墳派			
廉	廉	liɛ̃2	清~	墳派			
濂	濂	liɛ̃2	~溪：水名，在湖南省	墳派			
蓮	莲	liɛ̃2	~蓬	墳派			
憐	怜	liɛ̃2	顧~：照顧。【例句】尋箇兩個銅鈿是只好自家~自家	墳派			
縺	縺	liɛ̃2	①古代一種魚網。②絲線糾結不解	墳派			
褳	裢	liɛ̃2	褡~：長方形口袋，中央開口，大的可搭在肩上，小的縛在腰間，放錢財用	墳派			
聯	联	liɛ̃2	~絡	墳派			
鐮	镰	liɛ̃2	~刀	墳派			
𩼔	𩼔	liɛ̃2	~魚，卽鮎魚，粵語。聲母可能應讀[ȵ]	墳派			
鰱	鲢	liɛ̃2	魚名，頭小形扁，細鱗肥腹，色白	墳派			
蘞	蔹	liɛ̃2	多年生蔓生草本植物，葉子多而細，五月開花，七月結球形漿果，根入藥	墳派			
漣	涟	liɛ̃2	水面被風吹起的波紋：~漪	墳派			
摙	摙	liɛ̃4	運	墳派			
璉	琏	liɛ̃4	瑚~：宗廟盛黍稷之器	墳派			
臉	脸	liɛ̃4	做鬼~	墳派			
斂	敛	liɛ̃4	~財：收集錢財	墳派			
瀲	潋	liɛ̃4	~灎：猶“瀲瀲”，水溢貌；相連貌	墳派			
練	练	liɛ̃6	~~：練習，訓練	墳派			
戀	恋	liɛ̃6	~愛	墳派			
鍊	鍊	liɛ̃6	同“煉”或“鏈”	墳派			
殮	殓	liɛ̃6	爲死者易衣入棺	墳派			
鏈	链	liɛ̃6	~條	墳派			
楝	楝	liɛ̃6	木名，高丈餘，複葉，春末開淡紫花，實橢圓如小鈴，熟則色黃	墳派			
伶	伶	liɪn2	~仃：孤獨；獨行貌，亦作“伶丁”	墳派			
玲	玲	liɪn2	~瓏	墳派			
苓	苓	liɪn2	茯~糕：一種加茯苓製作的糯米糕	墳派			
瓴	瓴	liɪn2	①屋瓦之仰蓋者，又曰瓦溝。②有耳之瓶：高屋建~，指自高處往下倒水，謂居高臨下，占據形勝	墳派			
陵	陵	liɪn2	~墓	墳派			
蛉	蛉	liɪn2	螟~：害蟲，其種類甚多；古人謂蜾蠃養螟蛉爲己子，後因以螟蛉爲養子之稱	墳派			
淋	淋	liɪn2	血~帶渧：鮮血淋淋	墳派			
羚	羚	liɪn2	~羊	墳派			
翎	翎	liɪn2	①鳥羽。②箭羽。③清代禮冠之飾，如花翎、藍翎	墳派			
菱	菱	liɪn2	水紅~：一種紅色的嫩菱，當水果食用	墳派			
鈴	铃	liɪn2	金~子：小昆蟲，比蟋蟀小，黃褐色，帶金光，前翅能相互摩擦，發出悅耳的聲音	墳派			
領	领	liɪn2	~頭	墳派			
鴒	鸰	liɪn2	鶺~：鳥名	墳派			
霖	霖	liɪn2	①久雨不止。②又凡雨自三日以往爲霖	墳派			
臨	临	liɪn2	~時完結：到最後，到末了	墳派			
靈	灵	liɪn2	魂~頭：靈魂；引申爲人的頭腦	墳派			
鄰	邻	liən2	家弗和防~欺。~弗和防外難。	墳派			
拎	拎	liɪn1	~起來	墳派			
嶺	岭	liɪn4	山~	墳派			
凜	凛	liɪn4	~一~：受驚或受寒，身子突然抽搐一下也可讀陰上	墳派			
另	另	liɪn6	~外	墳派			
令	令	liɪn6	號~	墳派			
囉	啰	lu1	~唆：語言繁瑣，重複	墳派			
盧	卢	lu2	姓	墳派			
轤	轳	lu2	轆~：汲水之器；機器上之絞盤	墳派			
蘆	芦	lu2	~柴	墳派			
爐	炉	lu2	風~	墳派			
艫	舻	lu2	舳~：船尾和船頭，泛智戰艦	墳派			
鱸	鲈	lu2	~魚	墳派			
瀘	泸	lu2	水名，在四川省	墳派			
濾	滤	lu2	疑爲“瀘”之誤	鄉音字類			
壚	垆	lu2	①黑色堅硬的土。②舊時就點裏安放酒甕的土台子	墳派			
櫨	栌	lu2	①柱上方木，卽斗拱。②木名，卽黃櫨	墳派			
顱	颅	lu2	腦蓋：頭~	墳派			
臚	胪	lu2	①腹前。②陳列：~列（羅列，陳列）。③傳達。④皮	墳派			
罏	罏	lu2	同“壚”，累土以安酒甕者	墳派			
矑	矑	lu2	①瞳人；亦泛指眼珠。②視	墳派			
鑪	鑪	lu2	①同“爐”。②通“罏”	墳派			
纑	纑	lu2	①布縷。②練麻，練絲。③紵屬	墳派			
羅	罗	lu2	姓	墳派			
籮	箩	lu2	飯~	墳派			
蘿	萝	lu2		墳派			
鑼	锣	lu2	嘸手抓~：常用來形容忙亂時手足無措	墳派			
騾	骡	lu2	~子：驢和馬交配所生的雜種	墳派			
螺	螺	lu2	~螄：淡水螺的通稱，個體較小	墳派			
獹	獹	lu2	古代一種優良的狗	墳派			
玈	玈	lu2	黑色	墳派			
覶	覶	lu2	同“覼“。~縷：委曲詳述，極力刻畵	墳派			
覼	覼	lu2	~縷：委曲詳述，極力刻畵	墳派			
𤬛	𤬛	lu2	瓠~：同”葫蘆“，卽瓠瓜	墳派			
鹵	卤	lu4	~鴨：昆山著名特產，色香味俱佳	蘇州同音字彙1892			
虜	虏	lu3	~掠：强搶人物	墳派			
艣	艣	lu4	同“艪”	墳派			
擄	掳	lu3	~掠：强搶人物	墳派			
婐	婐	lu4	讀音存疑	墳派			
卵	卵	lu3	讀書音：因迴避口語的讀音，書面該讀此音，如~子、~巢	墳派			
櫓	橹	lu4	搖~	墳派			
魯	鲁	lu4	姓	墳派			
𡀔	𡀔	lu4	也有可能讀陰上	墳派			
嚕	噜	lu4	今於“~嗦”中讀陰平	墳派			
鷺	鹭	lu6	~鷥：一種水鳥，腿很長，能涉水捕魚類	墳派			
路	路	lu6	~道粗：門路廣，辦法多	墳派			
露	露	lu6	~水	墳派			
潞	潞	lu6	水名，在山西省	墳派			
賂	赂	lu6	賄~	墳派			
輅	辂	lu6	①大車。②車前之橫木	墳派			
簵	簵	lu6	同“簬”，美竹	墳派			
簬	簬	lu6	美竹	墳派			
璐	璐	lu6	美玉	墳派			
蠻	蛮	mæ̃1	~好	墳派			
蠻	蛮	mæ̃2	野~	墳派			
曼	曼	mæ̃6	①柔美。②長，廣	墳派			
蔓	蔓	mæ̃6	瓜~	墳派			
縵	缦	mæ̃6	①無文采之繒：~布。②謂無紋飾。③緩：~~（雲行紆緩回薄貌）	墳派			
謾	谩	mæ̃6	~駡。①輕慢。②媟汚。③空，徒。④任意，隨便	墳派			
慢	慢	mæ̃6	急~	墳派			
鬘	鬘	mæ̃6	頭髮秀美。理論應讀陽平	墳派			
萬	万	mæ̃6	~子：麻將牌中的一種花樣。|一~：數目	墳派			
嫚	嫚	mæ̃6	①輕視，侮辱：~駡。②通“慢”，傲慢無禮；懈怠，怠惰	墳派			
棉	棉	miɛ̃2	~花	墳派			
眠	眠	miɛ̃2	①睡。②昆蟲因蛻皮伏而不動，如蠶眠。③草木偃伏	墳派			
矏	矏	miɛ̃2	密	墳派			
免	免	miɛ̃4	~靑：麵條中不放蔥蒜	墳派			
冕	冕	miɛ̃4	~旒：古禮冠之最尊者；天子之冕十二旈，諸侯以下遞降。或可讀陰上	墳派			
娩	娩	miɛ̃4	分~	墳派			
緬	缅	miɛ̃4	~甸	墳派			
偭	偭	miɛ̃6	違背：~規越矩（謂違背禮法）	墳派			
緬	缅	miɛ̃6	~懷	墳派			
湎	湎	miɛ̃6	①沉迷於酒。②~~：流移	墳派			
勔	勉	miɛ̃6	今讀陰上：~勵（勸勉鼓勵）	墳派			
眄	眄	miɛ̃6	斜視	墳派			
瞑	瞑	miɛ̃6	~眩：服藥後產生頭暈目眩的反應。《廣韻》：莫甸切	墳派			
名	名	miɪn2	~堂：名目；花樣	墳派			
明	明	miɪn2	清~斷雪，谷雨斷霜	墳派			
民	民	miɪn2	~權	墳派			
抿	抿	miɪn3	~緊、~縫	蘇州同音常用字彙			
冥	冥	miɪn2	~思苦索	墳派			
銘	铭	miɪn2	~記	墳派			
鳴	鸣	miɪn2	自~鐘：老式的檯鐘，掛鐘，能報時	墳派			
茗	茗	miɪn4	①茶芽。②茶	墳派			
皿	皿	miɪn4	裝盛東西的器具，多指碗碟杯盤	墳派			
閔	闵	miɪn4	姓。	墳派			
憫	悯	miɪn4	憐~。	墳派			
䐇	䐇	miɪn3	~緊仔嘴。	蘇州同音常用字彙			
命	命	miɪn6	~宮裏：命裏	墳派			
母	母	mu3	中州韻	蘇州同音字彙1892			
母	母	mo1	~親	蘇州同音常用字彙			
