y				
san	5	禅散[～步]疝膳鳝上尚[～书广场]丧[～失]		
kan	1	监江-奸-肩[～头，肩膀]干[～净]间-甘杆肝泔柑竿尴冈刚岗纲肛缸钢		
kan	3	秆敢感橄擀减赶港		
kan	5	干[～活]鉴[～定]杠虹		
kʰan	1	刊勘堪看[～护]康糠		
kʰan	2	扛		
kʰan	3	坎侃砍慷		
kʰan	5	看抗炕		
ŋan	1	安庵鹌鞍		
ŋan	2	岩[～泉，地名]颜昂		
ŋan	3	眼-		
ŋan	5	岸按案暗		
xan	1	憨鼾酣夯		
xan	2	含函寒韩咸[～味]杭航行[银～]		
xan	3	罕喊		
xan	5	汉汗旱焊憾撼翰巷		
uan				
tuan	1	端		
tuan	3	短段断		
tʰuan	1	湍		
tʰuan	2	团		
luan	2	圞峦		
luan	3	暖卵[不搞就～tɕy，不要就算了]		
luan	5	乱		
nuan	3	暖[又读]		
kuan	1	官关[南～街，街名]光[天～，天亮]胱		
kuan	3	官馆广		
kuan	5	灌惯逛		
kʰuan	1	髋宽匡筐框眶		
kʰuan	2	狂		
kʰuan	3	款		
kʰuan	5	况旷矿邝[～埜，人名]		
xuan	1	荒慌欢		
xuan	2	还[～钱]环皇凰隍黄=蝗簧蟥		
xuan	3	恍晃谎幌缓		
xuan	5	换患唤浣焕		
tsuan	1	妆庄桩装钻		
