汉字	注释	隆回荷香桥	隆回六都寨	隆回七江	隆回司门前	隆回金石桥	隆回小沙江	隆回西洋江	隆回横板桥	隆回岩口	隆回罗洪	隆回高坪	洞口石江	洞口江口	洞口长塘	洞口山门	洞口高沙	洞口花园	绥宁金屋塘	绥宁梅坪	绥宁黄土矿	绥宁唐家坊	绥宁瓦屋塘
枕		tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕiə̃312	tɕiə̃312	tɕiə̃312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕĩ312	tɕĩ312	tɕẽ312	tɕẽ312	tɕĩ312	tɕĩ312	tɕĩ312
葚		ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕiə̃55	ɕiə̃55	ɕiə̃55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕĩ24	ɕĩ55	ɕẽ55	ɕẽ55	ɕĩ33	ɕĩ5	ɕĩ35
深		ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ55	ɕẽ55	ɕiə̃33	ɕiə̃33	ɕiə̃33	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕĩ55	ɕĩ55	ɕẽ55	ɕẽ55	ɕĩ33	ɕĩ33	ɕĩ33
婶		ɕẽ312	ɕẽ312	ɕẽ312	ɕẽ312	ɕẽ312	ɕẽ312	ɕẽ312	ɕẽ312	ɕiə̃312	ɕiə̃312	ɕiə̃312	ɕẽ312	ɕẽ312	ɕẽ312	ɕẽ312	ɕĩ312	ɕĩ312	ɕẽ312	ɕẽ312	ɕĩ312	ɕĩ312	ɕĩ312
甚		ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕiə̃55	ɕiə̃55	ɕiə̃55	ɕẽ55	ɕe24	ɕẽ55	ɕẽ45	ɕĩ24	ɕĩ55	ɕe24	ɕe24	ɕĩ33	ɕĩ55	ɕĩ35
壬		iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iə̃13	iə̃13	iə̃13	iẽ13	iẽ13	iẽ13	iẽ13	ĩ13	ĩ13	iẽ13	iẽ13	ĩ55	ĩ13	ĩ13
纴		iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iə̃55	iə̃55	iə̃55	iẽ55	iẽ55	iẽ55	iẽ55	ĩ24	ĩ55	iẽ55	iẽ55	ĩ33	ĩ55	ĩ33
金		tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ55	tɕẽ55	tɕiə̃33	tɕiə̃33	tɕiə̃33	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕĩ55	tɕĩ55	tɕẽ55	tɕẽ55	tɕĩ33	tɕĩ33	tɕĩ33
锦		tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕiə̃312	tɕiə̃312	tɕiə̃312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕĩ312	tɕĩ312	tɕẽ312	tɕẽ312	tɕĩ312	tɕĩ312	tɕĩ312
禁		tɕẽ45	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ45	tɕẽ45	tɕiə̃55	tɕiə̃55	tɕiə̃55	tɕẽ24	tɕẽ24	tɕẽ24	tɕẽ45	tɕĩ24	tɕĩ35	tɕẽ24	tɕẽ24	tɕĩ35	tɕĩ55	tɕĩ35
琴		tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰiə̃13	tɕʰiə̃13	tɕʰiə̃13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰĩ13	tɕʰĩ13	tɕʰẽ13	tɕʰẽ13	tɕʰĩ55	tɕʰĩ13	tɕʰĩ13
吟		iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iə̃13	iə̃13	iə̃13	iẽ13	iẽ13	iẽ13	iẽ13	ĩ13	ĩ13	iẽ13	iẽ13	ĩ55	ĩ13	ĩ13
阴		iẽ33	iẽ33	iẽ33	iẽ33	iẽ33	iẽ33	iẽ55	iẽ55	iə̃33	iə̃33	iə̃33	iẽ55	iẽ55	iẽ55	iẽ55	ĩ55	ĩ55	iẽ55	iẽ55	ɪ33	ɪ33	ɪ33
饮		iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iə̃312	iə̃312	iə̃312	iẽ312	iẽ312	iẽ312	iẽ312	ĩ312	ĩ312	iẽ312	iẽ312	ĩ312	ĩ312	ĩ312
淫		iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iə̃13	iə̃13	iə̃13	iẽ13	iẽ13	iẽ13	iẽ13	ĩ13	ĩ13	iẽ13	/	ĩ55	ĩ13	ĩ13
吞		pʰẽ33	xuẽ33	xuẽ33	xuẽ33	xuẽ33	tʰẽ33	pʰẽ55	pʰẽ55	pʰiĩ33	xə̃33	tʰiə̃33	xhẽ55	tʰẽ55	pʰẽ55	ɸẽ55	tʰẽ55	tʰẽ55	tʰẽ55	tʰẽ55	tʰe33	tʰẽ33	tʰẽ55
根		kẽ33	kẽ33	kẽ33	kẽ33	kẽ33	ke33	kẽ55	kẽ55	kiĩ33	kə̃33	kẽ33	kẽ55	kẽ55	kẽ55	kẽ55	kẽ55	kẽ55	kẽ55	kẽ55	kẽ33	kẽ33	kẽ55
龈		iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iĩ13	iə̃13	iə̃13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	ĩ312	ĩ13	ĩ13
痕		xẽ13	xẽ13	xẽ13	xẽ13	xẽ13	xẽ13	xẽ13	xẽ13	xiĩ13	xə̃13	xẽ13	xẽ13	xẽ13	xẽ13	xẽ13	xẽ13	xẽ13	xẽ13	xẽ13	xẽ55	xẽ13	xẽ13
很		xẽ312	xẽ312	xẽ312	xẽ312	xẽ312	xẽ312	xẽ312	xẽ312	xiĩ312	xə̃312	xẽ312	xẽ312	xẽ312	xẽ312	xẽ312	xẽ312	xẽ312	xẽ312	xẽ312	xẽ312	xẽ312	xẽ312
恨		xẽ55	xẽ55	xẽ55	xẽ55	xẽ55	kʰe55	xẽ55	xẽ55	xiĩ55	xə̃55	xẽ55	xẽ55	xẽ55	xẽ55	xẽ55	xẽ55	xẽ35	xẽ55	xẽ55	xẽ33	xẽ55	xẽ35
恩		ẽ33	ẽ33	ẽ33	ẽ33	ẽ33	ẽ33	ẽ55	ẽ55	iĩ33	ə̃33	ẽ33	ẽ55	ẽ55	ẽ55	ẽ55	ŋẽ55	ŋẽ55	ẽ55	ẽ55	ŋẽ33	ŋẽ33	ŋẽ33
槟		pẽ33	pẽ33	pẽ33	pẽ33	pẽ33	pẽ33	pẽ55	pẽ55	pẽ33	piə̃33	piə̃33	pẽ55	pẽ55	pẽ55	pẽ55	pĩ55	pĩ55	pẽ55	pẽ55	pɪ33	pɪ33	pɪ33
殡		pẽ55	pẽ55	pẽ55	pẽ55	pẽ55	pẽ55	pẽ55	pẽ55	pẽ55	piə̃55	piə̃55	pẽ24	pẽ24	pẽ24	pẽ55	pĩ55	pĩ35	pẽ24	pẽ24	pĩ35	pĩ55	pĩ35
贫		pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰiə̃13	pʰə̃13	pʰə̃13	pʰẽ13	pʰẽ13	pʰẽ13	ɸẽ13	pʰĩ13	pʰĩ13	pʰẽ13	pʰẽ13	pʰĩ55	pʰĩ13	pʰĩ13
民		mẽ13	mẽ13	mẽ13	mẽ13	mẽ13	mẽ13	mẽ13	mẽ13	miə̃13	miə̃13	miə̃13	mẽ13	mẽ13	mẽ13	mẽ13	mĩ13	mĩ13	mẽ13	mẽ13	mĩ55	mĩ13	mĩ13
悯		mẽ312	mẽ312	mẽ312	mẽ312	mẽ312	mẽ312	mĩ312	mĩ312	miə̃312	miə̃312	miə̃312	me312	me312	me312	mĩ312	mĩ312	mĩ312	me312	me312	mĩ312	mĩ312	mĩ312
鳞		lẽ13	lẽ13	lẽ13	lẽ13	lẽ13	lẽ13	lẽ13	lẽ13	liə̃13	liə̃13	liə̃13	lẽ13	lẽ13	lẽ13	lẽ13	lĩ13	lĩ13	lẽ13	lẽ13	lĩ55	lĩ13	lĩ13
吝		lẽ45	lẽ55	lẽ55	lẽ55	lẽ55	lẽ55	lẽ55	lẽ55	liə̃55	liə̃55	liə̃55	lẽ55	lẽ55	lẽ55	lẽ55	lĩ24	lĩ55	lẽ55	lẽ55	lĩ33	lĩ55	lĩ33
津		tsẽ33	tsẽ33	tsẽ33	tsẽ33	tsẽ33	tɕẽ33	tsẽ55	tsẽ55	tsiə̃33	tɕiə̃33	tɕiə̃33	tsẽ55	tsẽ55	tsẽ55	tsẽ55	tɕĩ55	tsĩ55	tsẽ55	tsẽ55	tɕĩ33	tsĩ33	tsĩ33
侭		tsẽ312	tsẽ312	tsẽ312	tsẽ312	tsẽ312	tɕẽ312	tsẽ312	tsẽ312	tsiə̃312	tɕiə̃312	tɕiə̃312	tsẽ312	tsẽ312	tsẽ312	tsẽ312	tɕĩ312	tsĩ312	tsẽ312	tsẽ312	tɕĩ312	tsĩ312	tsĩ312
进		tsẽ55	tsẽ55	tsẽ55	tsẽ55	tsẽ55	tɕẽ55	tsẽ45	tsẽ45	tsiə̃55	tɕiə̃55	tɕiə̃55	tsẽ24	tsẽ24	tsẽ24	tsẽ45	tɕĩ24	tsĩ35	tsẽ24	tsẽ24	tɕĩ35	tsĩ55	tsĩ35
亲		tsʰẽ33	tsʰẽ33	tsʰẽ33	tsʰẽ33	tsʰẽ33	tɕʰẽ33	tsʰẽ55	tsʰẽ55	tsʰiə̃33	tɕʰiə̃33	tɕʰiə̃33	tsʰẽ55	tsʰẽ55	tsʰẽ55	tsʰẽ55	tɕʰĩ55	tsʰĩ55	tsʰẽ55	tsʰẽ55	tɕʰĩ33	tsʰĩ33	tsʰĩ33
秦		tsʰẽ13	tsʰẽ13	tsʰẽ13	tsʰẽ13	tsʰẽ13	tɕʰẽ13	tsʰẽ13	tsʰẽ13	tsʰiə̃13	tɕʰiə̃13	tɕʰiə̃13	tsʰẽ13	tsʰẽ13	tsʰẽ13	tsʰẽ13	tɕʰĩ13	tsʰĩ13	tsʰẽ13	tsʰẽ13	tɕʰĩ55	tsʰĩ13	tsʰĩ13
尽		tsʰẽ55	tsʰẽ55	tsʰẽ55	tsʰẽ55	tsʰẽ55	tɕʰẽ55	tsʰẽ45	tsʰẽ45	tsʰiə̃55	tɕʰiə̃55	tɕʰiə̃55	tsʰẽ55	tsʰẽ55	tsʰẽ55	tsʰẽ45	tɕʰĩ24	tsʰĩ55	tsʰẽ55	tsʰẽ55	tɕʰĩ33	tsʰĩ55	tsʰĩ33
辛		sẽ33	sẽ33	sẽ33	sẽ33	sẽ33	ɕẽ33	sẽ55	sẽ55	siə̃33	ɕiə̃33	ɕiə̃33	sẽ55	sẽ55	sẽ55	sẽ55	ɕĩ55	sĩ55	sẽ55	sẽ55	ɕĩ33	sĩ33	sĩ33
信		sẽ55	sẽ55	sẽ55	sẽ55	sẽ55	ɕẽ55	sẽ45	sẽ45	ɕiə̃55	ɕiə̃55	ɕiə̃55	sẽ24	sẽ24	sẽ24	sẽ45	ɕĩ24	sĩ35	sẽ24	sẽ24	ɕĩ35	sĩ55	sĩ35
珍		tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ55	tɕẽ55	tɕiə̃33	tɕiə̃33	tɕiə̃33	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕĩ55	tɕĩ55	tɕẽ55	tɕẽ55	tɕĩ33	tɕĩ33	tɕĩ33
镇		tɕẽ45	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ45	tɕẽ45	tɕiə̃55	tɕiə̃55	tɕiə̃55	tɕẽ24	tɕẽ24	tɕẽ24	tɕẽ55	tɕĩ24	tɕĩ55	tɕẽ24	tɕẽ24	tɕĩ35	tɕĩ55	tɕĩ33
趁		tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰiə̃55	tɕʰiə̃55	tɕʰiə̃55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰe45	tɕĩ55	tɕʰĩ35	tɕʰẽ55	tɕʰẽ55	tɕʰĩ33	tɕʰĩ55	tɕʰĩ35
陈		tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰiə̃13	tɕʰiə̃13	tɕʰiə̃13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰĩ13	tɕʰĩ13	tɕʰẽ13	tɕʰẽ13	tɕʰĩ55	tɕʰĩ13	tɕʰĩ13
阵		tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰiə̃55	tɕʰiə̃55	tɕʰiə̃55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰĩ55	tɕʰĩ55	tɕʰẽ55	tɕʰẽ55	tɕʰĩ33	tɕʰĩ55	tɕʰĩ33
衬		tsʰẽ45	tsʰẽ55	tsʰẽ55	tsʰẽ55	tsʰẽ55	tsʰẽ55	tsʰẽ45	tsʰẽ45	tsʰiə̃55	tɕʰiə̃55	tɕʰiə̃55	tsʰẽ24	tsʰẽ24	tsʰẽ24	tsʰẽ45	tsʰĩ24	tsʰĩ35	tsʰẽ24	tsʰẽ24	tɕʰĩ35	tsʰĩ55	tsʰĩ35
真		tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ55	tɕẽ55	tɕiə̃33	tɕiə̃33	tɕiə̃33	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕĩ55	tɕĩ55	tɕẽ55	tɕẽ55	tɕĩ33	tɕĩ33	tɕĩ33
疹		tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕiə̃312	tɕiə̃312	tɕiə̃312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ55	tɕĩ55	tɕĩ55	tɕẽ312	tɕẽ312	tɕĩ312	tɕĩ312	tɕĩ33
震		tɕẽ45	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ45/tɕẽ55	tɕẽ45/tɕẽ55	tɕiə̃55	tɕiə̃55	tɕiə̃55	tɕẽ24	tɕẽ24	tɕẽ24	tɕẽ312	tɕĩ312	tɕĩ312	tɕẽ24	tɕẽ24	tɕĩ35	tɕĩ55	tɕĩ35
神		ɕẽ13	ɕẽ13	ɕẽ13	ɕẽ13	ɕẽ13	ɕẽ13	ɕẽ13	ɕẽ13	ɕiə̃13	ɕiə̃13	ɕiə̃13	ɕẽ13	ɕẽ13	ɕẽ13	ɕẽ13	ɕĩ13	ɕĩ13	ɕẽ13	ɕẽ13	ɕĩ55	ɕĩ13	ɕĩ13
身		ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ55	ɕẽ55	ɕiə̃33	ɕiə̃33	ɕiə̃33	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕĩ55	ɕĩ55	ɕẽ55	ɕẽ55	ɕĩ33	ɕĩ33	ɕĩ33
辰		ɕẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	ɕhẽ13	ɕhẽ13	ɕẽ13	ɕẽ13	tɕʰiə̃13	tɕʰiə̃13	ɕiə̃13	ɕẽ13	ɕẽ13	ɕẽ13	ɕẽ13	ɕĩ13	ɕĩ13	tɕʰẽ13	tɕʰẽ13	ɕĩ55	ɕĩ13	ɕĩ13
肾		ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ45	ɕẽ45	ɕiə̃55	ɕiə̃55	ɕiə̃55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ45	ɕĩ24	ɕĩ35	ɕẽ55	ɕẽ55	ɕĩ33	ɕĩ55	ɕĩ35
慎		ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕiə̃55	ɕiə̃55	ɕiə̃55	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ45	ɕĩ24	ɕĩ35	ɕẽ55	ɕẽ55	ɕĩ33	ɕĩ55	ɕĩ35
人		n̩13/iẽ13	n̩13/iẽ13	n̩13/iẽ13	n̩13/iẽ13	n̩13/iẽ13	n̩13/iẽ13	n̩13/iẽ13	n̩13/iẽ13	n̩13/iə̃13	n̩13/iə̃13	n̩13/iə̃13	n̩13/iẽ13	n̩13/iẽ13	n̩13/iẽ13	n̩13/iẽ13	n̩13/ĩ13	n̩13/ĩ13	n̩13/iẽ13	n̩13/iẽ13	n̩55/ĩ55	n̩13/ĩ13	n̩13/ĩ13
忍		iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iə̃312	iə̃312	iə̃312	iẽ312	iẽ312	iẽ312	iẽ312	ĩ312	ĩ312	iẽ312	iẽ312	ĩ312	ĩ312	ĩ312
认		iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iə̃55	iə̃55	iə̃55	iẽ55	iẽ55	iẽ55	iẽ55	ĩ55	ĩ55	iẽ55	iẽ55	ĩ33	ĩ55	ĩ33
巾		tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ55	tɕẽ55	tɕiə̃33	tɕiə̃33	tɕiə̃33	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕĩ55	tɕĩ55	tɕẽ55	tɕẽ55	tɕĩ33	tɕĩ33	tɕĩ33
紧		tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕiə̃312	tɕiə̃312	tɕiə̃312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕĩ312	tɕĩ312	tɕẽ312	tɕẽ312	tɕĩ312	tɕĩ312	tɕĩ312
仅		tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ45	tɕʰẽ45	tɕʰiə̃55	tɕʰiə̃55	tɕʰiə̃55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ55	tɕʰẽ45	tɕʰĩ24	tɕʰĩ55	tɕʰẽ55	tɕʰẽ55	tɕʰĩ33	tɕʰĩ33	tɕʰĩ33
银		iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13/n̩13	iẽ13/n̩13	iẽ13/n̩13	iə̃13	iə̃13/n̩13	iə̃13/n̩13	iẽ13/n̩13	iẽ13/n̩13	iẽ13/n̩13	iẽ13/n̩13	ĩ313/n̩13	ĩ313/n̩13	iẽ13/n̩13	iẽ13/n̩13	ĩ55/n̩55	ĩ313/n̩13	ĩ313/n̩13
姻		iẽ33	iẽ33	iẽ33	iẽ33	iẽ33	iẽ33	iẽ55	iẽ55	iə̃33	iə̃33	iə̃33	iẽ55	iẽ55	iẽ55	iẽ55	ĩ55	ĩ55	iẽ55	iẽ55	ĩ33	ĩ33	ĩ33
印		iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iẽ55	iə̃55	iə̃55	iə̃55	iẽ55	iẽ55	iẽ55	iẽ45	ĩ24	ĩ35	iẽ55	iẽ55	ĩ35	ĩ55	ĩ35
寅		iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iẽ13	iə̃13	iə̃13	iə̃13	iẽ13	iẽ13	iẽ13	iẽ13	ĩ13	ĩ13	iẽ13	iẽ13	ĩ55	ĩ13	ĩ13
引		iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iə̃312	iə̃312	iə̃312	iẽ312	iẽ312	iẽ312	iẽ312	ĩ312	ĩ312	iẽ312	iẽ312	ĩ312	ĩ312	ĩ312
斤		tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ33	tɕẽ55	tɕẽ55	tɕiə̃33	tɕiə̃33	tɕiə̃33	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕĩ55	tɕĩ55	tɕẽ55	tɕẽ55	tɕĩ33	tɕĩ33	tɕĩ33
谨		tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕiə̃312	tɕiə̃312	tɕiə̃312	tɕẽ312	tɕẽ312	tɕẽ312	tɕẽ312	tɕĩ312	tɕĩ312	tɕẽ312	tɕẽ312	tɕĩ312	tɕĩ312	tɕĩ312
劲		tɕẽ45	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ55	tɕẽ45/tɕẽ55	tɕẽ45/tɕẽ55	tɕiə̃55	tɕiə̃55	tɕiə̃55	tɕẽ24	tɕẽ24	tɕẽ24	tɕẽ45	tɕĩ24	tɕĩ35	tɕẽ24	tɕẽ24	tɕĩ55	tɕĩ35	tɕĩ35
芹		tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰiə̃13	tɕʰiə̃13	tɕʰiə̃13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰẽ13	tɕʰĩ13	tɕʰĩ13	tɕʰẽ13	tɕʰẽ13	tɕʰĩ55	tɕʰĩ13	tɕʰĩ13
近		tɕʰẽ55	tɕʰẽ55	tɕʰẽ312	tɕʰẽ312	tɕʰẽ312	tɕʰẽ312	tɕʰẽ55	tɕʰẽ55	tɕʰiə̃55	tɕʰiə̃312	tɕʰiə̃312	tɕʰẽ312	tɕʰẽ312	tɕʰẽ312	tɕʰẽ312	tɕʰĩ312/55	tɕʰĩ312/55	tɕʰẽ312	tɕʰẽ312	tɕʰĩ312	tɕʰĩ55	tɕʰĩ312/33
欣		ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ33	ɕẽ55	ɕẽ55	ɕiə̃33	ɕiə̃33	ɕiə̃33	ɕẽ55	ɕẽ55	ɕẽ55	ɕẽ55	ɕĩ55	ɕĩ55	ɕẽ55	ɕẽ55	ɕĩ33	ɕĩ33	ɕĩ33
殷		iẽ33	iẽ33	iẽ33	iẽ33	iẽ33	iẽ33	iẽ55	iẽ55	iə̃33	iə̃33	iə̃33	iẽ55	iẽ55	iẽ55	iẽ55	ĩ55	ĩ55	iẽ55	iẽ55	ĩ33	ĩ33	ĩ33
隐		iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iẽ312	iə̃312	iə̃312	iə̃312	iẽ312	iẽ312	iẽ312	iẽ312	ĩ312	ĩ312	iẽ312	iẽ312	ĩ312	ĩ312	ĩ312
奔		pẽ33	pẽ33	pẽ33	pẽ33	pẽ33	pẽ33	pẽ45	pẽ45	piə̃33	piə̃33	piə̃33	pe24	pe24	pe24	pẽ45	pẽ24	pẽ35	pẽ24	pẽ24	pẽ33	pẽ33	pẽ35
本		pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	piə̃312	piə̃312	piə̃312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312
喷		fẽ33	pʰẽ33	fẽ33	fẽ55	fẽ55	pʰẽ55	fẽ45	fẽ45	pʰiə̃55	pʰə̃55	pʰiə̃55	fẽ24	fẽ24	pʰẽ24	fẽ45	pʰẽ24	pʰẽ35	fẽ24	fẽ24	pʰẽ33	pʰẽ55	pʰẽ35
盆		pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰiə̃13	pʰə̃13	pʰiə̃13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ13	pʰẽ55	pʰẽ13	pʰẽ13
笨		pẽ55	pẽ55	pẽ55	pẽ55	pẽ55	pẽ55	pẽ312	pẽ312	piə̃55	pə̃55	piə̃55	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312	pẽ312
门		mẽ13	mẽ13	mẽ13	mẽ13	mẽ13	mẽ13	mẽ13	mẽ13	miə̃13	mə̃13	miə̃13	mẽ13	mẽ13	mẽ13	mẽ13	mi13	mẽ13	mẽ13	mẽ13	mẽ55	mẽ13	mẽ13
闷		mẽ55	mẽ55	mẽ55	mẽ55	mẽ55	mẽ55	mẽ55	mẽ55	miə̃55	mə̃55	miə̃55	mẽ55	mẽ55	mẽ55	mẽ55	mẽ24	mẽ55	mẽ55	mẽ55	me33	me33	me33
墩		tẽ33	tuẽ33	tuẽ33	tuẽ33	tuẽ33	tẽ33	tuẽ55	tẽ55	tiə̃33	tə̃33	tiə̃33	tẽ55	tẽ55	tẽ55	tẽ55	tẽ55	tẽ55	tẽ55	tẽ55	tĩ33	tĩ33	tĩ33
顿		tẽ45	tuẽ55	tuẽ55	tuẽ55	tuẽ55	tẽ55	tuẽ45	tẽ45	tiə̃55	tə̃55	tiə̃55	tẽ24	tẽ24	tẽ24	tẽ45	te24	tẽ35	tẽ24	tẽ24	tĩ35	tĩ55	tĩ35
饨		tẽ33	tuẽ33	tuẽ33	tuẽ33	tuẽ33	tẽ33	tẽ55	tẽ55	tiə̃33	tə̃33	tiə̃33	tẽ55	tẽ55	tẽ55	tẽ55	te24	tẽ55	tẽ55	tẽ55	tĩ35	tĩ55	tĩ35
盾		tẽ55	tuẽ55	tuẽ55	tuẽ55	tuẽ55	tẽ55	tuẽ55	tuẽ55	tiə̃55	tə̃55	tiə̃55	tẽ55	tẽ55	tẽ55	tẽ55	tẽ24	tẽ55	tẽ55	tẽ55	tĩ35	tĩ55	tĩ35
钝		tẽ55	tuẽ55	tuẽ55	xuẽ55	tuẽ55	tẽ55	tẽ55	tẽ55	tiə̃55	tə̃55	tiə̃55	tẽ55	tẽ55	tẽ55	tẽ55	tẽ24	tẽ55	tẽ55	tẽ55	tĩ35	tĩ55	tĩ35
嫩		luẽ55	luẽ55	luẽ55	luẽ55	luẽ55	lẽ55	luẽ55	lẽ55	liə̃55	lə̃55	liə̃55	lẽ55	lẽ55	lẽ55	lẽ55	lẽ55	lẽ55	lẽ55	lẽ55	lĩ33	lĩ55	lĩ33
