#a			1阴平53 3阴上45 4阳上242 5阴去33 6阳去21 7a上阴入55 7b下阴入33 8a上阳入21 8b下阳入24				
s	[1]衫山[6]蝉禅{~宗，~让}膳禅乘{~车}盛{兴~}						
k	[1]间{中~，~断}奸姦[3]减碱简裥柬拣谏涧锏茧趼笕枧{肥皂}						
kʰ	[5]艰						
h	[3]蚬[6]闲现						
ŋ	[4]眼[5]研[6]炎{(梁村读hɛn6)}阎严歉嫌颜雁谚砚贤						
ʔ	[5]晏堰宴[4]限[6]苋然燃蔫焉						
#uɛn							
k	[1]关[5]惯						
Ø	[1]弯湾[4]环[6]还{~书}患宦						
#ɛŋ							
p	[1]□{女仔~:女孩}[3]□{脚□tɐm6~:小腿}[6]棚彭膨						
f	[1]□{~臂:摆手}						
m	[3]蜢{蝗虫}[4]猛孟[5]□{阿~:豁唇子}[6]盲虻						
n	[5]□{耳~:耳环}□{~起脚:踮起脚后跟}						
l	[4]冷[5]□{侧~睏:侧着睡}						
ts	[1]争筝						
tsʰ	[1]铛{炒菜锅}[5]撑牚睁□{顶嘴}						
s	[1]生牲笙甥[3]省{广东~}						
k	[1]更{五~，~新}粳庚羹耕埂梗[5]更{~加}						
h	[1]坑□{老~:老头}						
ŋ	[6}硬						
ʔ	[1]罂{瓶子}[5]□{~去□1ɔ3 呢米来:再去拿些米来}						
#iɛŋ							
Ø	[1]□{鞋~:鞋跟}						
#uɛŋ							
k	[3]□{跌倒}[5]□{门~:门闩，名词。关，动词}						
Ø	[5]□{稀饭太稀}[6]横						
#iᴇŋ							
p	[1]兵[3]丙秉饼[4]並[5]柄[6]病						
pʰ	[1]□{~裙:围裙}[5]拚并聘拼						
f	[1]兄{两~弟}						
m	[3]皿[6]命						
t	[1]丁钉{名词，动词}疔[3]顶鼎[4]锭艇挺铤[5]订[6]定						
tʰ	[1]厅汀[5]听						
n	[3]□{鱼~:鱼娄}领{个~衫:这件衣服}						
l	[4]岭领{~导}[5]靓{好，漂亮}[6]令						
ts	[1]晶精睛正{~月}[3]井整[4]静靖[5]正{~式}政[6]净郑						
tsʰ	[1]清青蜻[3]请						
s	[1]声						
ɬ	[1]星腥猩[3]醒[5]性姓						
k	[1]京荆惊经[3]境景警颈[5]基敬竟镜径[6]擎鲸						
kʰ	[5]庆						
h	[1]轻						
#uiᴇŋ							
Ø	[4]永[5]泳咏颖						
#eŋ							
p	[1]冰[6]平坪评苹瓶屏萍						
m	[6]鸣明名铭螟						
t	[6]亭停廷庭蜒埕						
n	[6]宁						
l	[6]灵零铃伶拎翎龄另鲮						
ts	[1]徵惩蒸贞侦征[3]拯[5]证症[6]绳塍剩承丞橙{~果}情晴呈程成城诚						
tsʰ	[1]称{~呼}[5]称{~一~}秤[6]逞						
s	[1]升[5]胜圣						
k	[5]劲{~敌,有~}[6]澄竞琼						
kʰ	[1]倾顷						
h	[1]兴{~旺}卿馨兄{堂~弟}[5]兴{高~}[6]杏幸						
ŋ	[1]婴缨[6]凝迎						
ʔ	[1]鹰莺鹦樱[5]应[6]蝇行{~路}桁{瓦~:檩子}						
#ieŋ							
Ø	[1]英[3]影映[4]仍[6]盈赢形型刑莹						
#ueŋ							
Ø	[6]荣营茔萤						
#i							
p	[1]碑卑譬悲[3]彼比秕[4]脾被{棉~}[5]臂秘泌辔庇痹[6]皮疲弊毙箅被{~告}避琵枇备鼻						
pʰ	[1]披噼{口水~啪: 唾沬横飞}飞{~鼠:蝙蝠。~蛾}[3]蓖胚坯婢鄙[4]痞篦[5]屁						
f	[1]非飞{~机}妃翡[3]匪榧[5]废肺费[6]肥						
m	[1]□{~浸:潜水}[3]尾[4]美[5]□{(人)躲起来}[6]弥眉楣媚寐微未味						
t	[1]知{唔~，通~}蜘[6]地						
tʰ	[1]□{~□tʰa1~□tʰa1:形容下雨的声音，拟声词}						
