字	声	韵	调	
凳	t	əŋ	去声	
腾	tʰ	əŋ	去声	
誊	tʰ	əŋ	去声	
藤	tʰ	əŋ	去声	
邓	t	əŋ	阴平	
能	n	əŋ	去声	
曾	ts	əŋ	阴平	
增	ts	əŋ	阴平	
憎	ts	əŋ	阴平	
蹭	tsʰ	əŋ	去声	
曾	tsʰ	əŋ	去声	
层	tsʰ	əŋ	去声	
赠	ts	əŋ	阴平	
僧	s	əŋ	阴平	
肯	kʰ	ən	上声	
恒	x	əŋ	去声	
冰	p	iŋ	阴平	
凭	pʰ	iŋ	去声	
陵	l	iŋ	去声	
凌	l	iŋ	去声	
菱	l	iŋ	去声	
徵	tʂ	əŋ	阴平	
惩	tʂʰ	əŋ	阴平	
橙	tsʰ	əŋ	阴平	
瞪	t	əŋ	去声	
蒸	ts	əŋ	阴平	
拯	tsʰ	əŋ	去声	
症	ts	əŋ	去声	
称	tɕʰ	iŋ	阴平	
秤	tʂʰ	əŋ	去声	
绳	ʂ	əŋ	去声	
剩	ʂ	əŋ	去声	
升	ʂ	əŋ	阴平	
胜	ʂ	əŋ	去声	
承	tʂʰ	əŋ	去声	
仍	l	əŋ	阴平	
扔	l	əŋ	阴平	
凝	n	i	阴平	
兴	ɕ	iŋ	阴平	
应		iŋ	阴平	
膺		iŋ	阴平	
应		iŋ	阴平	
烹	pʰ	əŋ	阴平	
彭	pʰ	əŋ	去声	
膨	pʰ	əŋ	去声	
盲	m	aŋ	阳平	
猛	m	əŋ	上声	
孟	m	əŋ	去声	
打	t	a	上声	
冷	l	əŋ	上声	
生	ʂ	əŋ	阴平	
牲	ʂ	əŋ	阴平	
笙	ʂ	əŋ	阴平	
省	ʂ	əŋ	上声	
更	k	əŋ	阴平	
梗	k	əŋ	阴平	
庚	k	əŋ	上声	
羹	k	əŋ	上声	
梗	k	əŋ	上声	
更	k	əŋ	上声	
坑	kʰ	əŋ	去声	
硬		iŋ	去声	
亨	x	əŋ	阴平	
行	ç	iŋ	去声	
衡	x	əŋ	去声	
杏	ç	iŋ	去声	
滨	p	in	阴平	
萌	m	əŋ	阴平	
争	tʂ	əŋ	阴平	
筝	tʂ	əŋ	阴平	
睁	tʂ	əŋ	阴平	
耕	k	əŋ	阴平	
耿	k	əŋ	上声	
幸	ɕ	iŋ	阴平	
莺		iŋ	阴平	
鹦		iŋ	阴平	
樱		iŋ	阴平	
兵	p	iŋ	阴平	
丙	p	iŋ	上声	
秉	p	iŋ	阴平	
柄	p	iŋ	阴平	
平	pʰ	iŋ	去声	
评	pʰ	iŋ	去声	
病	p	iŋ	去声	
鸣	m	iŋ	去声	
明	m	iŋ	去声	
盟	m	əŋ	阳平	
皿	m	in	上声	
命	m	iŋ	去声	
京	c	iŋ	阴平	
惊	c	iŋ	阴平	
景	c	iŋ	上声	
警	c	iŋ	去声	
敬	c	iŋ	去声	
竟	c	iŋ	上声	
镜	c	iŋ	去声	
卿	cʰ	iŋ	阴平	
庆	cʰ	iŋ	去声	
擎	c	iŋ	阴平	
鲸	c	iŋ	阴平	
竞	c	iŋ	上声	
迎		iŋ	阴平	
英		iŋ	阴平	
影		iŋ	上声	
映		iŋ	上声	
饼	p	iŋ	上声	
并	p	iŋ	去声	
名	m	iŋ	阴平	
领	l	iŋ	上声	
岭	l	iŋ	上声	
令	l	iŋ	去声	
精	tɕ	iŋ	阴平	
晶	tɕ	iŋ	去声	
睛	tɕ	iŋ	去声	
井	tɕ	iŋ	上声	
清	tɕʰ	iŋ	阴平	
请	tɕʰ	iŋ	上声	
情	tɕʰ	iŋ	去声	
晴	tɕʰ	iŋ	阴平	
静	tɕ	iŋ	去声	
靖	tɕ	iŋ	去声	
净	tɕ	iŋ	去声	
省	ɕ	iŋ	上声	
性	ɕ	iŋ	去声	
姓	ɕ	iŋ	去声	
贞	tʂ	ən	阴平	
蛏	tʂʰ	əŋ	阴平	
呈	tʂʰ	əŋ	去声	
程	tʂʰ	əŋ	去声	
郑	tʂ	əŋ	去声	
正	tʂ	əŋ	阴平	
征	tʂ	əŋ	阴平	
整	tʂ	əŋ	上声	
正	tʂ	əŋ	去声	
政	tʂ	əŋ	去声	
声	ʂ	əŋ	阴平	
圣	ʂ	əŋ	去声	
成	tʂʰ	əŋ	去声	
城	tʂʰ	əŋ	去声	
诚	tʂʰ	əŋ	去声	
盛	tʂʰ	əŋ	去声	
盛	ʂ	əŋ	去声	
颈	c	iŋ	上声	
劲	c	in	上声	
轻	cʰ	iŋ	阴平	
婴		iŋ	阴平	
缨		iŋ	阴平	
赢		iŋ	阴平	
瓶	pʰ	iŋ	去声	
屏	pʰ	iŋ	去声	
萍	pʰ	iŋ	去声	
并	p	iŋ	上声	
铭	m	iŋ	去声	
丁	t	iŋ	阴平	
钉	t	iŋ	阴平	
疗	t	iŋ	阴平	
顶	t	iŋ	上声	
鼎	t	iŋ	上声	
钉	t	iŋ	阴平	
订	t	iŋ	去声	
听	tʰ	iŋ	阴平	
厅	tʰ	iŋ	阴平	
亭	tʰ	iŋ	去声	
停	tʰ	iŋ	阳平	
廷	tʰ	iŋ	去声	
庭	tʰ	iŋ	去声	
蜓	t	iŋ	阴平	
艇	tʰ	iŋ	去声	
挺	t	iŋ	上声	
定	t	iŋ	去声	
宁	n	iŋ	去声	
灵	l	iŋ	去声	
零	l	iŋ	去声	
铃	l	iŋ	去声	
伶	l	iŋ	去声	
另	l	iŋ	去声	
青	tɕʰ	iŋ	阴平	
星	ɕ	iŋ	阴平	
腥	ɕ	iŋ	阴平	
醒	ɕ	iŋ	上声	
经	c	iŋ	阴平	
径	c	iŋ	去声	
经	c	iŋ	去声	
刑	ç	iŋ	去声	
形	ç	iŋ	去声	
型	ç	iŋ	去声	
矿	k	uaŋ	去声	
横	x	əŋ	去声	
轰	x	oŋ	去声	
兄	ç	yoŋ	阴平	
荣		yoŋ	去声	
永		yoŋ	上声	
泳		yoŋ	上声	
咏		yoŋ	去声	
倾	cʰ	iŋ	阴平	
顷	cʰ	iŋ	阴平	
琼	cʰ	yoŋ	去声	
营		iŋ	阴平	
莹		iŋ	阴平	
颖		iŋ	上声	
萤		iŋ	阴平	
迥	c	yoŋ	上声	
篷	pʰ	əŋ	去声	
蒙	m	əŋ	阳平	
蠓	m	əŋ	上声	
东	t	oŋ	阴平	
董	t	oŋ	上声	
懂	t	oŋ	上声	
冻	t	oŋ	去声	
栋	t	oŋ	去声	
通	tʰ	oŋ	阴平	
桶	tʰ	oŋ	上声	
捅	tʰ	oŋ	上声	
痛	tʰ	oŋ	去声	
同	tʰ	oŋ	去声	
铜	tʰ	oŋ	去声	
桐	tʰ	oŋ	去声	
筒	tʰ	oŋ	上声	
童	tʰ	oŋ	去声	
动	t	oŋ	去声	
洞	t	oŋ	去声	
笼	l	oŋ	去声	
聋	l	oŋ	阴平	
拢	l	oŋ	上声	
弄	n	oŋ	上声	
鬃	ts	oŋ	阴平	
总	ts	oŋ	上声	
粽	ts	oŋ	去声	
聪	tsʰ	oŋ	阴平	
匆	tsʰ	oŋ	阴平	
葱	tsʰ	oŋ	阴平	
丛	tsʰ	oŋ	阳平	
送	s	oŋ	去声	
公	k	oŋ	阴平	
工	k	oŋ	阴平	
功	k	oŋ	阴平	
贡	k	oŋ	去声	
空	kʰ	oŋ	阴平	
孔	kʰ	oŋ	上声	
控	kʰ	oŋ	上声	
烘	x	oŋ	阴平	
哄	x	oŋ	去声	
红	x	oŋ	去声	
洪	x	oŋ	去声	
鸿	x	oŋ	去声	
虹	x	oŋ	去声	
拱	x	oŋ	去声	
翁		oŋ	阴平	
瓮		oŋ	阴平	
冬	t	oŋ	阴平	
统	tʰ	oŋ	上声	
农	n	oŋ	去声	
脓	n	oŋ	阴平	
宗	ts	oŋ	阴平	
综	ts	oŋ	阴平	
松	s	oŋ	阴平	
宋	s	oŋ	去声	
风	f	əŋ	阴平	
疯	f	əŋ	阴平	
讽	f	əŋ	阴平	
丰	f	əŋ	阴平	
凤	f	əŋ	去声	
隆	l	oŋ	去声	
嵩	tʂʰ	oŋ	阳平	
中	tʂ	oŋ	阴平	
忠	tʂ	oŋ	阴平	
虫	tʂʰ	oŋ	阳平	
崇	tʂʰ	oŋ	阴平	
终	tʂ	oŋ	阴平	
众	tʂ	oŋ	阴平	
充	tʂʰ	oŋ	阴平	
绒		yoŋ	去声	
弓	k	oŋ	阴平	
躬	k	oŋ	阴平	
宫	k	oŋ	阴平	
穹	cʰ	yoŋ	去声	
穷	cʰ	yoŋ	去声	
熊	ç	yoŋ	去声	
雄	ç	yoŋ	阴平	
融		yoŋ	去声	
封	f	əŋ	阴平	
峰	f	əŋ	阴平	
蜂	f	əŋ	阴平	
锋	f	əŋ	阴平	
逢	f	əŋ	去声	
缝	f	əŋ	去声	
奉	f	əŋ	阴平	
缝	f	əŋ	去声	
浓	n	oŋ	去声	
龙	l	oŋ	去声	
茏	l	oŋ	去声	
踪	tsʰ	oŋ	去声	
纵	ts	oŋ	阴平	
从	tsʰ	oŋ	去声	
怂	tsʰ	oŋ	去声	
松	ɕ	yoŋ	阴平	
颂	s	oŋ	去声	
诵		yoŋ	去声	
讼	s	oŋ	去声	
重	tʂʰ	oŋ	去声	
重	tʂ	oŋ	去声	
钟	tʂ	oŋ	阴平	
盅	tʂ	oŋ	阴平	
种	tʂ	oŋ	去声	
肿	tʂ	oŋ	上声	
种	tʂ	oŋ	去声	
冲	tʂʰ	oŋ	阴平	
茸		yoŋ	去声	
冗		yoŋ	去声	
恭	k	oŋ	阴平	
供	k	oŋ	去声	
巩	k	oŋ	上声	
拱	k	oŋ	去声	
供	k	oŋ	去声	
恐	kʰ	oŋ	上声	
共	k	oŋ	去声	
胸	ç	yoŋ	阴平	
凶	ç	yoŋ	阴平	
雍		yoŋ	上声	
拥		yoŋ	上声	
容		yoŋ	去声	
庸		yoŋ	去声	
勇		yoŋ	上声	
涌		yoŋ	上声	
用		yoŋ	去声	
答	t	a	上声	
搭	tʰ	a	上声	
踏	tʰ	a	上声	
沓	tʰ	a	阳平	
纳	n	a	阴平	
拉	l	a	上声	
杂	ts	a	去声	
鸽	k	ɤ	去声	
喝	x	ɤ	阴平	
合	x	ɤ	去声	
盒	x	ɤ	去声	
塔	tʰ	a	上声	
塌	tʰ	a	上声	
嗑	kʰ	ɤ	上声	
眨	tʂ	a	上声	
插	tʂʰ	a	上声	
闸	tʂ	a	阳平	
炸	tʂ	a	去声	
夹	c	ia	上声	
裌	c	ia	上声	
恰	cʰ	ia	上声	
掐	cʰ	ia	阴平	
洽	cʰ	ia	上声	
甲	c	ia	上声	
匣	ɕ	ia	阳平	
鸭		ia	上声	
押		ia	上声	
压		ia	上声	
接	tɕ	iɛ	上声	
妾	tɕʰ	iɛ	阴平	
捷	tɕ	iɛ	去声	
摄	n	iɛ	阴平	
叶		iɛ	上声	
页		iɛ	上声	
劫	c	iɛ	去声	
怯	cʰ	yɛ	去声	
业		iɛ	去声	
胁	ç	iɛ	上声	
帖	tʰ	iɛ	上声	
贴	tʰ	iɛ	上声	
叠	t	iɛ	去声	
碟	t	iɛ	去声	
谍	t	iɛ	去声	
协	ç	iɛ	上声	
法	f	a	上声	
乏	f	a	去声	
立	l	i	上声	
粒	l	i	去声	
缉	tɕ	i	上声	
集	tɕ	i	上声	
辑	tɕ	i	上声	
习	ɕ	i	上声	
袭	ɕ	i	上声	
执	tɕ	i	去声	
汁	tɕ	i	上声	
湿	ɕ	i	上声	
十	ɕ	i	去声	
什	ɕ	in	去声	
拾	ɕ	i	去声	
急	c	i	上声	
级	c	i	阴平	
给	k	ei	上声	
及	c	i	去声	
达	t	a	上声	
辣	l	a	上声	
癞	l	ai	去声	
擦	tsʰ	a	上声	
撒	s	a	上声	
萨	s	a	上声	
割	k	ɤ	上声	
渴	kʰ	ɤ	上声	
八	p	a	上声	
拔	p	a	去声	
抹	m	o	上声	
扎	tʂ	a	上声	
札	tʂ	a	上声	
察	tʂʰ	a	去声	
杀	ʂ	a	上声	
轧	k	a	阳平	
铩	tʂ	a	去声	
瞎	ç	ia	上声	
辖	ç	ia	去声	
憋	p	iɛ	上声	
灭	m	iɛ	去声	
列	l	iɛ	去声	
烈	l	iɛ	去声	
裂	l	iɛ	去声	
薛	ɕ	yɛ	阳平	
泄	ɕ	yɛ	去声	
哲	tʂ	ɤ	去声	
蜇	tʂ	ɤ	去声	
彻	tʂʰ	ɤ	去声	
撤	tʂʰ	ɤ	去声	
浙	tʂ	ɤ	去声	
舌	ɕ	iɛ	去声	
设	ɕ	iɛ	去声	
折	tʂ	ɤ	去声	
杰	c	iɛ	去声	
揭	c	iɛ	去声	
竭	c	iɛ	去声	
歇	ç	iɛ	去声	
蝎	ç	iɛ	去声	
撇	pʰ	iɛ	上声	
蔑	m	iɛ	去声	
铁	tʰ	iɛ	上声	
跌	t	iɛ	上声	
捏	n	iɛ	阴平	
节	tɕ	iɛ	上声	
切	tɕʰ	iɛ	上声	
截	tɕ	iɛ	阳平	
结	c	iɛ	上声	
洁	c	iɛ	去声	
噎		iɛ	上声	
钵	p	ən	上声	
泼	pʰ	o	上声	
末	m	o	去声	
沫	m	o	去声	
抹	m	o	上声	
脱	tʰ	uo	上声	
阔	kʰ	o	去声	
豁	x	ɤ	去声	
活	x	uo	去声	
滑	x	ua	去声	
猾	x	ua	阳平	
挖		ua	阴平	
刷	ʂ	ua	上声	
刮	k	ua	上声	
劣	l	iɛ	去声	
雪	ɕ	yɛ	上声	
拙	tɕ	yɛ	去声	
说	ɕ	yɛ	上声	
悦		yɛ	去声	
阅		yɛ	去声	
发	f	a	上声	
伐	f	a	去声	
罚	f	a	去声	
袜		ua	上声	
掘	c	yɛ	阴平	
橛	tɕ	yɛ	去声	
月	c	yɛ	上声	
哕	c	yɛ	阴平	
越		yɛ	去声	
粤		yɛ	去声	
决	c	yɛ	去声	
诀	c	yɛ	去声	
缺	cʰ	yɛ	上声	
血	ç	iɛ	上声	
穴	ç	yɛ	去声	
笔	p	i	上声	
毕	p	i	上声	
必	p	i	去声	
匹	pʰ	i	阴平	
蜜	m	i	去声	
密	m	i	去声	
栗	l	i	去声	
七	tɕʰ	i	上声	
漆	tɕʰ	i	上声	
疾	tɕ	i	去声	
秩	tɕ	i	上声	
虱	ʂ	ʅ	上声	
质	tɕ	i	上声	
实	ɕ	i	去声	
失	ɕ	i	上声	
室	ɕ	i	上声	
日		i	去声	
乙		i	上声	
一		i	上声	
逸		i	阳平	
乞	cʰ	i	上声	
不	p	u	上声	
勃	p	o	阴平	
孛	p	o	阴平	
脖	p	o	去声	
没	m	o	去声	
突	tʰ	u	阴平	
卒	ts	u	去声	
骨	k	u	上声	
窟	kʰ	u	阴平	
忽	x	u	阴平	
核	x	ɤ	去声	
律	l	y	去声	
率	l	y	去声	
恤	ɕ	yɛ	上声	
率	ʂ	uai	去声	
蟀	ʂ	uai	去声	
出	tɕʰ	y	上声	
术	ɕ	y	去声	
物		u	去声	
屈	c	yɛ	阴平	
掘	c	yɛ	阴平	
倔	c	yɛ	阴平	
薄	p	o	去声	
泊	p	o	阴平	
幕	m	u	去声	
寞	m	o	去声	
摸	m	o	阴平	
托	tʰ	uo	上声	
诺	n	o	上声	
落	l	o	上声	
烙	l	o	上声	
骆	l	o	去声	
洛	l	o	去声	
络	l	o	去声	
作	ts	o	去声	
错	tsʰ	o	去声	
凿	ts	an	阴平	似训读“钻”
昨	ts	o	去声	
索	s	o	去声	
各	k	ɤ	上声	
阁	k	ɤ	上声	
略	l	yɛ	上声	
掠	l	yɛ	上声	
爵	tɕ	yɛ	去声	
鹊	tɕʰ	yɛ	阳平	
嚼	tɕ	yɛ	去声	
削	ɕ	yɛ	上声	
着	tʂ	uo	去声	
酌	tʂ	uo	上声	
芍	ʂ	uo	去声	
勺	ʂ	uo	去声	
若		yɛ	上声	
弱		yɛ	去声	
脚	c	yɛ	上声	
却	cʰ	yɛ	上声	
虐		yɛ	去声	
疟		yɛ	去声	
约		yɛ	去声	
药		yɔ	上声	
钥		yɔ	去声	
跃		yɔ	去声	
扩	kʰ	uo	去声	
镢	c	yɛ	上声	
驳	p	o	阴平	
桌	tʂ	uo	上声	
琢	tʂ	uo	阳平	
戳	tʂʰ	uo	上声	
浊	tʂ	uo	阳平	
捉	tʂ	uo	上声	
镯	tʂ	uo	去声	
浞	tʂ	uo	去声	
饺	c	iau	上声	
壳	kʰ	ɤ	去声	
岳		yɛ	上声	
乐	l	o	去声	
学	ç	yɛ	去声	
握		uo	上声	
北	p	o	上声	
墨	m	o	上声	
默	m	o	阴平	
得	t	ɤ	上声	
德	t	ɤ	上声	
忒	tʰ	ɤ	阴平	
特	tʰ	ɤ	去声	
肋	l	ɤ	去声	
勒	l	ɤ	上声	
则	ts	ɤ	上声	
贼	ts	ɤ	去声	
塞	s	ɤ	阴平	
刻	kʰ	ɤ	上声	
克	kʰ	ɤ	上声	
黑	x	ɤ	上声	
力	l	i	去声	
即	tɕ	i	去声	
息	ɕ	i	上声	
熄	ɕ	i	上声	
媳	ɕ	i	上声	
直	tɕ	i	去声	
值	tɕ	i	去声	
侧	tʂʰ	ɤ	去声	
测	tʂʰ	ɤ	去声	
色	ʂ	ɤ	上声	
织	tɕ	i	上声	
职	tɕ	i	上声	
食	ɕ	i	去声	
识	ɕ	i	上声	
式	ɕ	i	去声	
饰	ɕ	i	去声	
殖	tɕ	i	上声	
植	tɕ	i	上声	
棘	c	i	去声	
极	c	i	去声	
忆		i	去声	
国	k	uo	上声	
或	x	uo	去声	
惑	x	uo	去声	
百	p	o	上声	
伯	p	o	上声	
迫	pʰ	o	上声	
拍	pʰ	o	上声	
魄	pʰ	o	上声	
白	p	ai	去声	
帛	p	o	去声	
陌	m	o	上声	
拆	tʂʰ	ɤ	阴平	
泽	ts	ɤ	去声	
择	ts	ɤ	去声	
窄	ts	a	去声	
格	k	ɤ	上声	
客	kʰ	ɤ	上声	
咳	kʰ	ɤ	上声	
额		ɤ	去声	
麦	m	o	上声	
脉	m	o	上声	
摘	tʂ	ɤ	上声	
责	tʂ	ɤ	去声	
策	tʂʰ	ɤ	去声	
册	tʂʰ	ɤ	上声	
革	k	ɤ	上声	
隔	k	ɤ	上声	
核	x	ɤ	去声	
扼		ɤ	上声	
轭		ɤ	上声	
僻	pʰ	i	上声	
辟	p	i	上声	
迹		i	去声	
积	tɕ	i	上声	
脊	tɕ	i	上声	
籍	tɕ	i	上声	
席	ɕ	i	去声	
斥	tʂʰ	ʅ	去声	
射	ʂ	ɤ	去声	
释	ɕ	i	上声	
石	ɕ	i	去声	
益		i	去声	
亦		i	去声	
译		i	去声	
易		i	去声	
液		iɛ	去声	
壁	p	i	上声	
劈	pʰ	i	上声	
觅	m	i	去声	
滴	t	i	上声	
剔	tʰ	i	上声	
剔	tʰ	i	上声	
笛	t	i	去声	
敌	t	i	上声	
历	l	i	去声	
绩	tɕ	i	上声	
戚	tɕʰ	i	去声	
寂	tɕ	i	阳平	
析	ɕ	i	去声	
锡	ɕ	i	上声	
获	x	uo	去声	
疫		i	去声	
役		i	去声	
扑	pʰ	u	上声	
噗	pʰ	u	上声	
仆	pʰ	u	上声	
仆	pʰ	u	上声	
曝	pʰ	u	阴平	
木	m	u	去声	
秃	tʰ	u	上声	
独	t	u	去声	
鹿	l	u	上声	
禄	l	u	上声	
族	tsʰ	u	上声	
速	s	u	去声	
谷	k	u	上声	
哭	kʰ	u	上声	
屋		u	阴平	
督	t	u	阴平	
毒	t	u	去声	
沃		uo	去声	
福	f	u	上声	
幅	f	u	上声	
複	f	u	阳平	
服	f	u	去声	
伏	f	u	去声	
復	f	u	去声	
目	m	u	去声	
牧	m	u	去声	
六	l	iu	去声	
陆	l	u	去声	
肃	s	u	去声	
宿	ɕ	y	上声	
竹	tʂ	u	上声	
筑	tʂ	u	去声	
畜	tʂʰ	u	去声	
轴	tʂ	ou	上声	
祝	tʂ	u	去声	
粥	tʂ	ou	阴平	
叔	ɕ	y	上声	
淑	ʂ	u	上声	
肉		iu	去声	
菊	c	y	上声	
畜	tʂʰ	u	去声	
蓄	tɕʰ	y	去声	
育		y	去声	
绿	l	y	上声	
录	l	u	去声	
足	ts	u	上声	
促	ts	u	上声	
粟	s	u	去声	
俗	s	u	上声	
续	ɕ	y	去声	
烛	tʂ	u	上声	
触	tʂʰ	u	上声	
赎	ɕ	y	去声	
束	ʂ	u	上声	
属	ʂ	u	上声	
褥		y	去声	
锔	c	y	去声	
曲	cʰ	y	上声	
局	c	y	去声	
玉		y	去声	
狱		y	去声	
