字	音	注釋		调类	阴平	阳平	上声	去声	阴入	阳入
舂	tʂʰəŋ³⁵	~米								
崇	ʦʰəŋ¹³									
蟲	tʂʰəŋ¹³									
絨	iəŋ¹³									
茸	iəŋ¹³									
榮	iəŋ¹³									
融	iəŋ¹³									
容	iəŋ¹³									
蓉	iəŋ¹³									
公	kəŋ³⁵									
工	kəŋ³⁵									
功	kəŋ³⁵									
攻	kəŋ³⁵									
弓	ciəŋ³⁵									
躬	ciəŋ³⁵	白								
	kəŋ³⁵	文								
宮	kəŋ³⁵									
恭	kəŋ³⁵									
供	ciəŋ³⁵	~應，~銷社								
	kəŋ³⁵	~詞								
拱	kəŋ²¹									
鞏	kəŋ²¹	固								
貢	kəŋ⁵³	進~，~品								
共	kʰəŋ⁵³									
空	kʰəŋ³⁵	~虛，~氣								
	kʰəŋ⁵³	~地，沒~								
孔	kʰəŋ²¹									
恐	kʰəŋ²¹									
烘	fəŋ³⁵									
紅	fəŋ¹³									
洪	fəŋ¹³									
鴻	fəŋ¹³									
哄	fəŋ²¹	~小孩，~騙								
翁	uəŋ³⁵									
甕	uəŋ⁵³									
瓊	tʂʰən¹³									
窮	cʰiəŋ¹³									
胸	çiəŋ³⁵									
兄	çiaŋ³⁵	白								
	çiəŋ³⁵	文								
凶	çiəŋ³⁵									
洶	çiəŋ³⁵	~湧，來勢~~								
熊	çiəŋ¹³									
雄	çiəŋ¹³									
擁	iəŋ²¹									
勇	iəŋ²¹									
永	uən²¹									
用	iəŋ⁵³									
八	pait³									
拔	pʰait⁵									
發	fait³									
乏	fait³									
罰	fait⁵									
法	fait³									
髪	fait³									
搭	tait³									
答	tait³									
達	tʰait⁵									
塔	tʰait³									
踏	tʰait⁵	~空，腳~實地								
納	lait⁵									
拉	la³⁵									
臘	lait⁵									
辣	lait⁵									
雜	ʦʰait⁵									
擦	ʦʰait³									
紮	ʦait³	捆~，~繩子								
鍘	ʦʰait³	~刀								
閘	ʦait³									
插	ʦʰait³									
察	ʦʰait³									
殺	sait³									
夾	kait³	~子，~層；~襖								
甲	kait³									
掐	kʰait³									
恰	kʰait⁵									
匣	kait³									
瞎	xait³									
嚇	xak³	~人								
壓	iak³									
鴨	ait³									
押	ait³									
刷	sɔit³									
刮	kuait³									
滑	uait⁵									
劃	fa⁵³	~一刀；計~，~分								
划	fa¹³	~船，~算，~拳								
挖	uait³	白								
	ua³⁵	文，~機								
襪	mait³									
得	tek³									
德	tek³									
特	tʰek⁵									
勒	lek⁵	~索								
	let³	~緊								
樂	lɔk⁵	快~								
	iɔk⁵	音~，~隊								
則	ʦet³									
擇	ʦʰak³	白								
	ʦʰet³	文								
澤	ʦʰet⁵									
責	tset³									
側	ʦet³									
測	ʦʰet³									
策	ʦʰet⁵									
冊	ʦʰak³	白								
	ʦʰet³	文								
澀	ciait³	“結”的訓讀音								
	set³									
色	set³									
嗇	set³	吝~								
哲	tʂet³									
折	tʂait³	~紙								
	tʂet³	~斷，打~								
	ʂet⁵	~本								
浙	tʂet³									
徹	tʂʰet⁵									
撤	tʂʰet⁵									
舌	ʂet⁵									
涉	ʂet³									
設	ʂet³									
熱	ɲiet⁵									
鴿	kɔit³									
割	kɔit³									
閣	kɔk³									
格	kak³									
隔	kak³									
革	kek³									
各	kɔk³									
殼	kʰɔk³									
渴	xɔit³									
克	kʰek³									
刻	kʰek³									
客	kʰak³									
合	kait³	白								
	xait⁵	文								
盒	xait⁵									
額	ɲiait³	白								
	ɲiet³	文								
惡	ɔk³	~霸								
	u⁵³	厭~								
撥	pɔit³	~開，~款								
剝	pɔk³									
博	pɔk³									
駁	pɔk³									
伯	pak³									
潑	pʰait³									
迫	pʰɔit⁵									
摸	mo³⁵									
抹	mait³	塗~，~布								
末	mait⁵	白，~碎								
	mɔit⁵	文								
沫	mait⁵									
沒	mət⁵	白								
	met⁵	文，~落								
莫	mɔk⁵									
默	mek⁵									
墨	mek⁵									
佛	fət⁵									
奪	tʰɔit⁵									
脫	tʰɔit³									
托	tʰɔk³									
落	lɔk⁵									
洛	lɔk⁵									
駱	lɔk⁵									
絡	lɔk⁵									
昨	ʦʰo³⁵									
鑿	ʦʰɔk⁵									
作	ʦɔk³									
縮	sɔk³									
索	sɔk³									
桌	ʦɔk³									
捉	ʦɔk³									
濁	ʦʰɔk⁵									
鐲	tʂɔk³									
戳	ʦʰɔk⁵									
說	ʂet³									
弱	ɲiɔk⁵									
若	iɔk⁵									
郭	kɔk³									
國	kɔit³	白								
	kuek³	文								
括	kuait³	~號，包~								
闊	kʰɔit³									
擴	kʰɔk³									
活	uɔit⁵	白								
	xɔit⁵	白								
	fɔit⁵	文								
或	xɔit⁵									
獲	xɔit⁵	收~								
握	uɔk⁵	把~								
鱉	pʰiet⁵									
別	pʰiet⁵									
撇	pʰiet³									
滅	miet⁵									
跌	tet³									
疊	tʰiet⁵	~被子								
碟	tʰiat⁵									
貼	tʰiait⁵	張~								
帖	tʰiait³	字~，請~								
鐵	tʰiet³									
獵	liait⁵									
列	let⁵									
裂	let⁵									
烈	let⁵									
劣	let⁵									
接	ʦiait³									
傑	cʰiet⁵									
節	ʦet³									
潔	ciet³									
結	ciet³									
切	ʦʰiet³									
歇	çiet³									
協	çiet⁵									
血	çiet³									
噎	ie³⁵									
業	ɲiait⁵									
葉	iait⁵									
虐	ɲiɔk⁵									
瘧	ɲiɔk⁵									
略	liɔk⁵									
絕	ʦʰiet⁵									
決	tʂet³									
覺	kau⁵³	白，睏~								
	cʰiɔk³	文，感~，~悟								
缺	cʰiet³	白								
	tʂʰet⁵	文								
鵲	ʦʰiɔk³									
卻	cʰiɔk³									
確	kʰɔk³									
薛	set³									
削	siɔk³									
學	xɔk⁵	白								
	çiɔk⁵	文								
雪	set³									
約	iɔk³									
月	ɲiet⁵									
越	vet⁵									
悅	vet⁵									
閱	vet⁵									
嶽	iɔk⁵									
汁	tʂət³									
織	tʂət³									
隻	tʂak³	一~雞								
執	tʂət³									
侄	tʂʰət⁵									
直	tʂʰət⁵									
值	tʂʰət⁵									
職	tʂət³									
植	tʂʰət⁵									
質	tʂət³									
吃	cʰiak³									
尺	tʂʰak³									
赤	tʂʰak³	白，~腳								
	tʂʰək⁵	文，~衛隊								
濕	ʂət³									
虱	set³									
失	ʂət³	白								
	ʂək⁵	文								
十	ʂət⁵									
拾	ʂət⁵									
實	ʂət⁵									
食	ʂət⁵									
識	ʂət³									
室	ʂət³									
式	ʂʅ⁵³									
適	ʂət⁵	白								
	ʂʅ⁵³	文								
釋	ʂət³									
石	ʂak⁵									
日	ɲiet³									
逼	piet³									
筆	piet³									
必	piet³									
畢	piet³									
壁	piak³									
匹	pʰiet³									
劈	pʰiak³									
密	miet⁵									
蜜	miet⁵									
覓	miet⁵									
滴	tiet³									
的	tet³	~確，目~								
敵	tʰak⁵									
笛	tʰak⁵									
踢	tʰet³									
剔	tʰiet⁵									
逆	ɲiak⁵									
立	liet⁵									
粒	tiet³									
栗	liet⁵									
力	liet⁵									
歷	liet⁵									
曆	liet⁵									
跡	ʦiak³	白								
	ʦiet³	文								
積	ʦiet³									
績	ʦiak³	白，~苧麻								
	ʦiet³	文，成~								
激	ciet³									
擊	ciet³									
集	ʦʰiet⁵									
級	ciet³									
急	ciet³									
及	cʰiet⁵									
疾	cʰiet⁵									
吉	ciet³									
即	ʦiet³									
極	cʰiet⁵									
脊	ʦiak³	白，~梁，屋~，背~								
	tsiet³	文								
籍	ʦʰiet⁵	祖~								
給	kek³	供~，~養；~你，送~								
七	ʦʰiet³									
漆	ʦʰiet³									
息	siet³									
熄	siet³									
惜	siak³	白，疼愛								
	siet³	文								
析	siet³									
習	siet⁵									
席	ʦʰiak⁵	草~子								
	siet⁵	入~								
錫	siak³									
一	iet³									
乙	ie²¹									
億	i⁵³									
益	iet³									
譯	iet⁵									
役	yt⁵	兵~，戰~								
疫	yt⁵	防~站								
不	pət³									
僕	pʰuk³	公~								
	pʰuk⁵	趴								
幕	mu⁵³									
木	muk³									
牧	muk³									
目	muk³									
福	fuk³									
服	fuk⁵									
伏	fuk⁵	三~天								
復	fuk⁵	反~								
腹	fuk⁵									
獨	tʰəuk⁵									
讀	tʰəuk⁵									
毒	tʰəuk⁵									
突	tʰəuk⁵									
禿	tʰəuk⁵	~子								
祿	ləuk³									
鹿	ləuk⁵									
陸	ləuk⁵	~軍								
錄	ləuk⁵									
卒	ʦət³	兵~，~子過河								
族	ʦʰəuk⁵									
足	ʦəuk³									
俗	səuk⁵									
速	səuk⁵									
宿	səuk³	~舍								
粟	siəuk³									
竹	tʂəuk³									
築	tʂəuk³									
燭	tʂəuk³									
祝	tʂəuk³									
出	tʂʰət³									
畜	tʂʰəuk³	~生								
	çiəuk³	~牧								
觸	tʂʰəuk⁵	~電								
叔	ʂəuk³									
贖	ʂəuk⁵									
屬	ʂəuk⁵									
術	ʂət⁵	技~，手~								
辱	iəuk³									
入	ɲiet⁵									
褥	iəuk⁵	~子								
骨	kuət³									
榖	kuk³	稻~								
谷	kuk³	山~								
哭	kʰuk⁵									
核	xek³	~桃								
屋	uk³									
物	uət⁵	白								
	u⁵³	文，人~								
律	liet⁵									
綠	liəuk⁵									
橘	ciet³	金~								
菊	cʰiəuk³									
局	cʰiəuk⁵									
劇	tʂət³									
屈	tʂʰət⁵	~原								
麯	cʰiəuk³	酒~								
曲	cʰiəuk³	戲~，~譜；彎~，~折								
恤	siet³	撫~金，T~								
蓄	çiəuk³	儲~所								
域	yt⁵									
育	iəuk³									
玉	ɲiəuk⁵	白								
	i⁵³	白								
	y⁵³	文								
獄	ɲiəuk⁵									
浴	iəuk³	~室								
白	pʰak⁵									
百	pak³									
柏	pak³									
拍	pʰak³									
麥	mak⁵									
脈	mak³									
塞	sek³									
摘	ʦak³									
宅	ʦʰet⁵									
窄	ʦet³									
拆	ʦʰak³									
北	pɔit³	白								
	pek³	文								
肋	let³									
賊	ʦʰek⁵									
黑	xek³									
薄	pʰɔk⁵	~弱								
烙	lɔk⁵	~鐵								
著	tʂʰɔk³	~衫								
	tʂʰɔk⁵	~涼，~火								
勺	ʂɔk⁵									
嚼	ʦiɔk³									
腳	ciɔk³									
角	kɔk³	牛~；一~錢								
藥	iɔk⁵									
軸	tʂʰəuk⁵	~承								
粥	tʂəuk³									
熟	ʂəuk⁵									
肉	ɲiəuk³									
六	liəuk³									
菠	po³⁵	~菜								
頗	pʰo²¹									
剁	to⁵³									
螺	lo¹³	~螄								
裸	lo²¹	~露，赤~								
銼	ʦʰo⁵³									
窠	kʰo³⁵									
棵	kʰo²¹									
訛	ŋo¹³									
瘸	cʰio¹³	~腿								
夥	fo²¹									
杷	pʰa¹³	枇~								
粑	pa³⁵	糍~，玉米~								
蟆	ma¹³	蛤~								
碼	ma³⁵	號~								
帕	pʰa⁵³									
耙	pʰa¹³	犁~，~田								
杈	ʦʰa³⁵	樹~								
乍	ʦa⁵³									
廈	çia⁵³	高樓大~								
痂	ka³⁵									
衙	ŋa¹³									
伢	ŋa¹³	小孩子								
丫	xa¹³	~頭，~鬟								
椏	a³⁵	樹~								
奢	tʂʰa³⁵	白								
	ʂa³⁵	文								
賒	tʂʰa³⁵									
佘	ʂa³⁵	姓								
蔗	tʂa⁵³									
射	ʂa⁵³									
麝	ʂa⁵³	~香								
蝸	uo³⁵	~牛								
剮	kua²¹									
垮	kʰua²¹									
跨	kʰua⁵³									
蛙	ua³⁵									
窪	ua³⁵									
菩	pʰu¹³	~薩								
脯	pʰu¹³	胸~								
摹	mo¹³	~仿								
妒	təu⁵³									
麓	ləuk⁵	嶽~山								
虜	ləu²¹									
鹵	ləu²¹									
賂	ləu⁵³									
鷺	ləu⁵³	~鷥								
措	ʦʰɿ⁵³									
箍	ku³⁵									
估	ku³⁵	~計								
	ku²¹	~一下								
辜	ku³⁵									
牯	ku²¹									
滸	fu¹³	水~傳								
戽	fu⁵³	~水								
瓠	pʰu¹³	“蒲”的訓讀音								
汙	u³⁵									
廬	ləu¹³	~山，茅~								
箸	tʂəu⁵³	筷子								
疏	sɿ³⁵	~通，~遠								
蔬	sɿ³⁵	~菜								
蜀	tʂəuk³	魏~吳								
恕	ʂəu⁵³									
拒	tʂʰʯ⁵³									
拄	tʂəu⁵³	~拐杖								
悉	siet³									
諾	lɔk⁵									
躍	iɔk⁵									
霍	xɔk⁵									
屎	ʂʅ²¹									
㲃	ʦiəu⁵³	螺蛳~風：小的旋風								
曳	iak⁵	~火蛇子：閃電								
涿	təuk³	~水：淋雨								
哩	li⁰									
凌	lin⁵³	冰								
癩	lait³									
浸	ʦin⁵³									
豅	nəŋ¹³	田~里：有大片田地的地方。《説文》：“豅，大長谷也”								
墈	kʰan⁵³									
塍	ʂən¹³	田~：田埂								
壕	xau¹³									
坳	au⁵³									
凼	tʰɔŋ⁵³									
□	ʦʰau⁵³	垂直流動								
窿	ləŋ¹³									
坼	ʦʰak³	裂缝								
罌	aŋ³⁵									
矸	kɔn³⁵	煤~石：煤裡夾雜的石塊，不易燃燒								
磠	ləu³⁵	銹								
砌	ʦʰi⁵³									
晡	pu³⁵									
塒	ʦi⁵³	鷄進~了：天黑了								
蒔	ʂʅ⁵³	~田：插秧								
耘	in¹³									
奠	tian⁵³									
簟	tʰian⁵³									
胮	pʰaŋ⁵³	~榖：不飽满的榖子								
睄	sau³⁵	~水：巡視灌溉情況								
蔸	tei³⁵									
襻	pʰan⁵³	~胲繩：從脖子下方系住牛軛兩端的繩子								
胲	kɔi³⁵	襻~繩：從脖子下方系住牛軛兩端的繩子								
碓	tɔi⁵³									
□	ku³⁵	榨油後剩下的渣								
鑊	uɔk⁵	~鏟：炒菜用的鏟子								
搊	ʦʰei³⁵	~箕子：有鐵絲兒=耳，可用鈎擔挑的畚箕								
箕	ci³⁵									
篾	miet⁵									
癆	lau⁵³	~魚：用藥捕魚								
籇	xo¹³	~子：笱（捕泥鰍的竹製器具）								
騃	ŋɔi¹³									
櫼	ʦian³⁵	楔子								
撬	cʰiau⁵³									
榫	sən²¹									
樟	tʂɔŋ³⁵									
檀	tʰan¹³									
楝	lien⁵³									
葚	ʂən⁵³									
櫧	tʂei³⁵									
椿	tʂʰən³⁵									
楇	kʰua²¹	樹~：樹枝								
箬	ɲiɔk³									
蘄	cʰi¹³	~艾：艾草								
艾	ɲie⁵³									
	ɲiɔi⁵³									
茯	fuk⁵									
苓	lin¹³									
墁	man⁵³	地~：地衣								
瓤	lɔŋ¹³									
潲	sau⁵³									
嗉	sio⁵³									
餑	pɔk⁵	~~：蛋								
蛹	iəŋ²¹									
䘆	çien²¹	~公：蚯蚓								
叼	tiau³⁵	毒蟲蜇人								
□	lai³⁵	~□（ie¹³）蝸牛								
□	ie¹³	□~（lai³⁵）蝸牛								
鰱	lien¹³									
鮎	ɲian¹³									
鰍	ʦʰiəu³⁵									
𣎴	tən²¹	門~：門墩								
盅	tʂəŋ³⁵									
槌	tʂei¹³	盅~：夯築土墻用的舂杵								
朥	lau³⁵	鑊~：鍋煙								
甑	ʦien⁵³									
箅	pi⁵³									
筅	sien²¹	~把：竹製的刷把，用來洗鍋								
棹	tʂau³⁵	船槳								
銑	se²¹									
礱	ləŋ¹³	給稻穀脫殼的農具								
枋	fɔŋ³⁵	桌椅等腿間的橫木								
娭	ŋɔi³⁵	~子：母親（敘稱)								
㜷	m̩³⁵	姆~（阿~）：母親（面稱）								
箇	kai⁵³	指示代詞：那裡								
□	laŋ²¹	~梗長子：又瘦又高的人								
囟	sin⁵³									
翣	sak³	~須子：劉海								
擤	sen⁵³									
脅	cʰiait⁵									
	çiet⁵									
囊	lɔŋ¹³									
膣	tʂʅ³⁵									
斢	tʰiau²¹	更換（多用於人）								
蘸	ʦian²¹									
眙	tʂʰʅ¹³	輕蔑地瞥一眼								
暇	ka⁵³	~穏：用眼神警告								
舐	ʂe³⁵									
嘬	ʦɔit⁵	吮吸								
呃	ek⁵	打~：打嗝								
冇	mau¹³									
嗅	çiəŋ⁵³									
嗦	so³⁵	吸								
瞇	mi³⁵									
䀹	ʂait³									
□	si³⁵	~起眼珠：瞇眼								
□	ʦio²¹	~起嘴來：努嘴								
㪗	tʰei²¹	~換：休息								
屙	o³⁵									
㞎	pa²¹									
戳	ʦʰɔk³	多指性交動作								
嬲	liau⁵³	玩								
擂	li¹³	捶打								
抻	tʂʰən³⁵	伸								
□	tʰi⁵³	吐								
□	pu³⁵	打~：親嘴								
□	to¹³	屙~子：撒尿								
□	lien³⁵	撓								
㩢	miet³	掰								
揢	kʰak³	用雙手的虎口套緊								
剢	təuk³	刺								
□	ʦio³⁵	扎								
□	cʰian⁵³	用拇指和食指丈量								
撏	ʦʰian¹³	拔毛								
□	kʰau⁵³	亂~：胡亂翻攪								
徛	cʰi³⁵	站								
踩	ʦʰai²¹									
逴	tʂɔk³	閒逛：遊遊~~								
□	tʰiau¹³	跺								
□	lien²¹	踮								
踁	kaŋ⁵³	行走時被絆住或纏住								
跍	ku³⁵	蹲								
□	cʰiet³	蓋								
□	a³⁵	栽								
□	ɲiait³	綰								
潷	pi⁵³	濾去水分：~湯								
□	ɲia¹³	黏								
□	lai¹³	忘記：~記，~落								
締	tʰak³	捆								
羾	kɔŋ⁵³	突然出現：~出來								
溻	tʰait³	失敗：~湯								
聒	kuet³									
鏾	sen⁵³	閹割（畜禽）								
㓾	tʂʰʅ¹³	宰殺（畜禽）								
□	ŋɔit³	~飯：燜飯								
嫲	ma¹³									
脷	li⁵³	豬舌（食用）								
呡	min²¹	小口飲酒								
釃	sai³⁵	斟（酒、茶）等								
焙	pʰɔi⁵³	小火烘烤使變乾								
撳	cʰin⁵³	打~頭：翻跟頭								
庰	piaŋ⁵³	躲藏								
掗	ia²¹	抓、撓								
㾂	xɔi¹³	掗~：抓癢								
褡	tait³									
藨	pʰau³⁵	多種小漿果的統稱。~藨，三月~								
擐	kʰuan⁵³	~哩人：懷孕								
㜣	lien⁵³	母乳。食~：吃奶								
攠	mi¹³	抹幹淨。~死屍								
錾	ʦʰan⁵³	錢~子：用來製作紙錢的模具								
醮	ʦiau⁵³	做道場								
緡	min¹³	~錢：圓形方孔錢								
哽	kaŋ²¹	噎								
□	kuet⁵	~渾：很渾								
□	lau⁵³	稀								
柵	ʦait⁵	~齊：很整齊，也指該來的人都來了								
憿	ciak³	（走得）快								
韌	ɲin⁵³									
菁	ʦiaŋ³⁵	（女子）漂亮								
倯	səŋ¹³	貌醜或品德不好								
□	si³⁵	~㾂：很癢								
㫛	kuaŋ⁵³	~綠：非常綠								
奲	tʂʰa⁵³	~□（lau⁵³）：非常稀								
□	pʰie³⁵	~淡：非常淡								
□	kʰuaŋ⁵³	~乾：非常乾								
㷮	ʦau³⁵	乾燥								
滐	ʦiet⁵	~濕：非常濕								
□	tai¹³	軟~~哩：很軟								
□	cʰiak⁵	~粗：非常粗糙								
□	paŋ⁵³	~老：很老								
靨	iait³	臘~：非常癟								
膻	ʂen³⁵									
妁	ʂo¹³	差。質量~								
犟	ciɔŋ⁵³	性格~								
耿	cien²¹									
釅	ɲian⁵³									
庹	tʰɔk³	兩臂左右平伸時兩手之間的距離								
㬟	maŋ¹³	表示否定								
唔	n̩¹³	表示否定								
