			中山石岐話			中山環城話			南蓢白話			珠海唐家話												
	峭		tsʰ	iu	3	tsʰ	iu	3	tsʰ	iu	3	tsʰ	iu	3										
	俏		tsʰ	iu	3	tsʰ	iu	3	tsʰ	iu	3	tsʰ	iu	3										
	肖		tsʰ	iu	3	tsʰ	iu	3	tsʰ	iu	3	tsʰ	iu	3	肖像									
	肖		s	iu	1	s	iu	1	s	iu	1	s	iu	1	姓肖									
	笑		s	iu	3	s	iu	3	s	iu	3	s	iu	3										
	照		ts	iu	3	ts	iu	3	ts	iu	3	ts	iu	3										
	劭		s	iu	3	s	iu	3	s	iu	3	s	iu	3										
	邵		s	iu	3	s	iu	3	s	iu	3	s	iu	3										
	約		j	ɔk	6	j	ɔk	6	j	ɔk	6	j	œk	5										
	曜			iu	3		iu	3		iu	3		iu	3										
	耀			iu	3		iu	3		iu	3		iu	3										
	妙		m	iu	3	m	iu	3	m	iu	3	m	iu	3										
	朝		ts	iu	1	ts	iu	1	ts	iu	1	ts	iu	1	朝夕									
	朝		tsʰ	iu	4	tsʰ	iu	4	tsʰ	iu	4	tsʰ	iu	4	朝廷									
	超		tsʰ	iu	1	tsʰ	iu	1	tsʰ	iu	1	tsʰ	iu	1										
	潮		tsʰ	iu	4	tsʰ	iu	4	tsʰ	iu	4	tsʰ	iu	4										
	晁		tsʰ	iu	4	tsʰ	iu	4	tsʰ	iu	4	tsʰ	iu	4										
	驕		k	iu	1	k	iu	1	k	iu	1	k	iu	1										
	喬		kʰ	iu	4	kʰ	iu	4	kʰ	iu	4	kʰ	iu	4										
	嬌		k	iu	1	k	iu	1	k	iu	1	k	iu	1										
	囂		h	iu	1	h	iu	1	h	iu	1	h	iu	1										
	妖			iu	1		iu	1		iu	1		iu	1										
	夭			iu	1		iu	1		iu	1		iu	1										
	鑣		p	iu	1	p	iu	1	p	iu	1	p	iu	1										
	描		m	iu	4	m	iu	4	m	iu	4	m	iu	4										
	苗		m	iu	4	m	iu	4	m	iu	4	m	iu	4										
	貓		m	au	1	m	au	1	m	au	1	m	au	1										
	橋		kʰ	iu	4	kʰ	iu	4	kʰ	iu	4	kʰ	iu	4										
	轎		k	iu	3	k	iu	3	k	iu	3	k	iu	3										
	僑		kʰ	iu	4	kʰ	iu	4	kʰ	iu	4	kʰ	iu	4										
	趙		ts	iu	3	ts	iu	3	ts	iu	3	ts	iu	3										
	兆		tsʰ	iu	3	tsʰ	iu	3	tsʰ	iu	3	tsʰ	iu	3										
	矯		k	iu	2	k	iu	2	k	iu	2	k	iu	2										
	表		p	iu	2	p	iu	2	p	iu	2	p	iu	2										
	召		ts	iu	3	ts	iu	3	ts	iu	3	ts	iu	3										
	廟		m	iu	3	m	iu	3	m	iu	3	m	iu	3										
	刁		t	iu	1	t	iu	1	t	iu	1	t	iu	1										
	雕		t	iu	1	t	iu	1	t	iu	1	t	iu	1										
	凋		t	iu	1	t	iu	1	t	iu	1	t	iu	1										
	貂		t	iu	1	t	iu	1	t	iu	1	t	iu	1										
	鵰		t	iu	1	t	iu	1	t	iu	1	t	iu	1										
	挑		tʰ	iu	1	tʰ	iu	1	tʰ	iu	1	tʰ	iu	1										
	跳		tʰ	iu	3	tʰ	iu	3	tʰ	iu	3	tʰ	iu	3										
	調		tʰ	iu	4	tʰ	iu	4	tʰ	iu	4	tʰ	iu	4	調查									
	調		t	iu	3	t	iu	3	t	iu	3	t	iu	3	調動									
	迢		tʰ	iu	4	tʰ	iu	4	tʰ	iu	4	tʰ	iu	4										
	條		tʰ	iu	4	tʰ	iu	4	tʰ	iu	4	tʰ	iu	4										
	聊		l	iu	4	l	iu	4	l	iu	4	l	iu	4										
	撩		l	iu	4	l	iu	4	l	iu	4	l	iu	4										
	嘹		l	iu	4	l	iu	4	l	iu	4	l	iu	4										
	瞭		l	iu	4	l	iu	4	l	iu	4	l	iu	4	瞭望									
	瞭		l	iu	2	l	iu	2	l	iu	2	l	iu	2	明瞭									
	遼		l	iu	4	l	iu	4	l	iu	4	l	iu	4										
	料		l	iu	3	l	iu	3	l	iu	3	l	iu	3										
	繚		l	iu	4	l	iu	4	l	iu	4	l	iu	4										
	寥		l	iu	4	l	iu	4	l	iu	4	l	iu	4										
	僚		l	iu	4	l	iu	4	l	iu	4	l	iu	4										
	廖		l	iu	3	l	iu	3	l	iu	3	l	iu	3										
	寮		l	iu	4	l	iu	4	l	iu	4	l	iu	4										
	蕭		s	iu	1	s	iu	1	s	iu	1	s	iu	1										
	艘		s	ɐu	2	s	ɐu	2	s	ɐu	2	s	ɐu	2										
	簫		s	iu	1	s	iu	1	s	iu	1	s	iu	1										
	驍		h	iu	1	h	iu	1	h	iu	1	h	iu	1										
	澆		k	iu	1	k	iu	1	k	iu	1	k	iu	1										
	邀			iu	1		iu	1		iu	1		iu	1										
	堯		ŋ	iu	4	ŋ	iu	4	ŋ	iu	4	ŋ	iu	4										
	僥		h	iu	1	h	iu	1	h	iu	1	h	iu	1										
	鳥		n	iu	2	n	iu	2	n	iu	2	n	iu	2										
	鳥		t	iu	2	t	iu	2	t	iu	2	t	iu	2	性交									
	掉		t	iau	3	t	iau	3	t	iau	3	t	ɛu	3	丢棄									
	掉		t	iu	3	t	iu	3	t	iu	3	t	iu	3										
	窕		tʰ	iu	2	tʰ	iu	2	tʰ	iu	2	tʰ	iu	2										
	了		l	iu	2	l	iu	2	l	iu	2	l	iu	2										
	繳		k	iu	2	k	iu	2	k	iu	2	k	iu	2										
	皎		k	au	2	k	au	2	k	au	2	k	au	2										
	曉		h	iu	2	h	iu	2	h	iu	2	h	iu	2										
	杳		m	iu	2	m	iu	2	m	iu	2	m	iu	2										
	窈			iu	2		iu	2		iu	2		iu	2										
	弔		t	iu	3	t	iu	3	t	iu	3	t	iu	3										
	釣		t	iu	3	t	iu	3	t	iu	3	t	iu	3										
	眺		tʰ	iu	3	tʰ	iu	3	tʰ	iu	3	tʰ	iu	3										
	尿		n	iu	3	n	iu	3	n	iu	3	n	iu	3										
	嘯		s	iu	3	s	iu	3	s	iu	3	s	iu	3										
	激		k	ɪk	5	k	ɐk	5	k	ɐk	5	k	ɐk	5										
	叫		k	iu	3	k	iu	3	k	iu	3	k	iu	3										
	竅		kʰ	iu	3	kʰ	iu	3	kʰ	iu	3	kʰ	iu	3										
	多		t	ɔ	1	t	ɔ	1	t	ɔ	1	t	ɔ	1										
	他		tʰ	a	1	tʰ	a	1	tʰ	a	1	tʰ	a	1										
	它		tʰ	a	1	tʰ	a	1	tʰ	a	1	tʰ	a	1										
	跎		tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4										
	陀		tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4										
	佗		tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4										
	沱		tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4										
	駝		tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4										
	馱		tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4										
	挪		n	ɔ	4	n	ɔ	4	n	ɔ	4	n	ɔ	4										
	那		n	a	2	n	a	2	n	a	2	n	a	2										
	那		n	a	1										姓那									
	囉		l	ɔ	1	l	ɔ	1	l	ɔ	1	l	ɔ	1	囉嗦									
	囉		l	ɔ	4	l	ɔ	4	l	ɔ	4	l	ɔ	4	嘍囉									
	蘿		l	ɔ	4	l	ɔ	4	l	ɔ	4	l	ɔ	4										
	羅		l	ɔ	4	l	ɔ	4	l	ɔ	4	l	ɔ	4										
	儸		l	ɔ	4	l	ɔ	4	l	ɔ	4	l	ɔ	4										
	騾		l	œ	4	l	ɛ	4	l	iɔ	4	l	œ	4										
	籮		l	ɔ	4	l	ɔ	4	l	ɔ	4	l	ɔ	4										
	鑼		l	ɔ	4	l	ɔ	4	l	ɔ	4	l	ɔ	4										
	螺		l	œ	4	l	ɛ	4	l	iɔ	4	l	œ	4										
	蹉		tsʰ	ɔ	1	tsʰ	ɔ	1	tsʰ	ɔ	1	tsʰ	ɔ	1										
	磋		tsʰ	ɔ	1	tsʰ	ɔ	1	tsʰ	ɔ	1	tsʰ	ɔ	1										
	搓		tsʰ	ɔ	1	tsʰ	ɔ	1	tsʰ	ɔ	1	tsʰ	ɔ	1										
	獻		h	yn	3	h	in	3	h	in	3	h	yn	3										
	娑		s	ɔ	1	s	ɔ	1	s	ɔ	1	s	ɔ	1										
	莎		s	ɔ	1	s	ɔ	1	s	ɔ	1	s	ɔ	1	莎草									
	莎		s	a	1	s	a	1	s	a	1	s	a	1	莎士比亞									
	梭		s	ɔ	1	s	ɔ	1	s	ɔ	1	s	ɔ	1										
	柯			ɔ	1		ɔ	1		ɔ	1		ɔ	1										
	過		k	ɔ	3	k	ɔ	3	kʷ	ɔ	3	k	ɔ	3										
	渦		w	ɔ	1	w	ɔ	1	w	ɔ	1	w	ɔ	1										
	哥		k	ɔ	1	k	ɔ	1	k	ɔ	1	k	ɔ	1										
	鍋		w	ɔ	1	w	ɔ	1	w	ɔ	1	w	ɔ	1										
	歌		k	ɔ	1	k	ɔ	1	k	ɔ	1	k	ɔ	1										
	戈		k	ɔ	1	k	ɔ	1	kʷ	ɔ	1	k	ɔ	1										
	戕		tsʰ	œŋ	4	tsʰ	iɔŋ	4	tsʰ	iɔŋ	4	tsʰ	œŋ	4										
	迦		k	a	1	k	a	1	k	a	1	k	a	1										
	軻			ɔ	1		ɔ	1		ɔ	1		ɔ	1										
	課		f	ɔ	3	f	ɔ	3	f	ɔ	3	f	ɔ	3										
	蝌		f	ɔ	1	f	ɔ	1	f	ɔ	1	f	ɔ	1										
	稞		f	ɔ	1	f	ɔ	1	f	ɔ	1	f	ɔ	1										
	科		f	ɔ	1	f	ɔ	1	f	ɔ	1	f	ɔ	1										
	訛		ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4										
	峨		ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4										
	蛾		ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4										
	哦		ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4										
	俄		ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4										
	鵝		ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4										
	娥		ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4	ŋ	ɔ	4										
	呵		h	ɔ	1	h	ɔ	1	h	ɔ	1	h	ɔ	1										
	靴		h	œ	1	h	ɛ	1	h	iɔ	1	h	œ	1										
	何		h	ɔ	4	h	ɔ	4	h	ɔ	4	h	ɔ	4										
	苛		kʰ	ɔ	1	kʰ	ɔ	1	kʰ	ɔ	1	kʰ	ɔ	1										
	荷		h	ɔ	4	h	ɔ	4	h	ɔ	4	h	ɔ	4	荷花									
	荷		h	ɔ	3	h	ɔ	3	h	ɔ	3	h	ɔ	3	負荷									
	和		w	ɔ	4	w	ɔ	4	w	ɔ	4	w	ɔ	4	和諧									
	和		w	ɔ	3	w	ɔ	3	w	ɔ	3	w	ɔ	3	唱和									
	河		h	ɔ	4	h	ɔ	4	h	ɔ	4	h	ɔ	4										
	禾		w	ɔ	4	w	ɔ	4	w	ɔ	4	w	ɔ	4										
	阿			ɔ	1		ɔ	1		ɔ	1		ɔ	1	阿諛奉承									
	阿			a	3		a	3		a	3		a	3	阿伯									
	波		p	ɔ	1	p	ɔ	1	p	ɔ	1	p	ɔ	1										
	婆		pʰ	ɔ	4	pʰ	ɔ	4	pʰ	ɔ	4	pʰ	ɔ	4										
	摩		m	ɔ	1	m	ɔ	1	m	ɔ	1	m	ɔ	1										
	魔		m	ɔ	1	m	ɔ	1	m	ɔ	1	m	ɔ	1										
	磨		m	ɔ	4	m	ɔ	4	m	ɔ	4	m	ɔ	4	磨刀									
	磨		m	ɔ	3	m	ɔ	3	m	ɔ	3	m	ɔ	3	石磨									
	坡		p	ɔ	1	p	ɔ	1	p	ɔ	1	p	ɔ	1										
	頗		pʰ	ɔ	2	pʰ	ɔ	2	pʰ	ɔ	2	pʰ	ɔ	2										
	玻		p	ɔ	1	p	ɔ	1	p	ɔ	1	p	ɔ	1										
	伽		k	a	1	k	a	1	k	a	1	k	a	1	瑜伽									
	伽		kʰ	ɛ	4	kʰ	ia	4	kʰ	ia	4	kʰ	ɛ	4	伽藍									
	茄		k	a	1	k	a	1	k	a	1	k	a	1	雪茄									
	茄		kʰ	œ	4	kʰ	ɛ	4	kʰ	iɔ	4	kʰ	œ	4	茄瓜									
	枷		k	a	1	k	a	1	k	a	1	k	a	1										
	朵		t	ɔ	2	t	ɔ	2	t	ɔ	2	t	ɔ	2										
	朵		t	œ	2																			
	妥		tʰ	ɔ	2	tʰ	ɔ	2	tʰ	ɔ	2	tʰ	ɔ	2										
	橢		tʰ	ɔ	2	tʰ	ɔ	2	tʰ	ɔ	2	tʰ	ɔ	2										
	惰		t	ɔ	3	t	ɔ	3	t	ɔ	3	t	ɔ	3										
	舵		tʰ	ai	2	tʰ	ai	2	tʰ	ai	2	tʰ	ai	2	白讀									
	舵		tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4	tʰ	ɔ	4	文讀									
	娜		n	ɔ	4	n	ɔ	4	n	ɔ	4	n	ɔ	4										
	娜		n	ɔ	2	n	ɔ	2	n	ɔ	2	n	ɔ	2	婀娜									
	裸		l	ɔ	2	l	ɔ	2	l	ɔ	2	l	ɔ	2										
	左		ts	ɔ	2	ts	ɔ	2	ts	ɔ	2	ts	ɔ	2										
	坐		ts	ɔ	3	ts	ɔ	3	ts	ɔ	3	ts	ɔ	3	文讀									
	坐		tsʰ	ɔ	2	tsʰ	ɔ	2	tsʰ	ɔ	2	tsʰ	ɔ	2	白讀									
	瑣		s	ɔ	2	s	ɔ	2	s	ɔ	2	s	ɔ	2										
	鎖		s	ɔ	2	s	ɔ	2	s	ɔ	2	s	ɔ	2										
	粿		k	ɔ	2	k	ɔ	2	kʷ	ɔ	2	k	ɔ	2										
	裹		k	œ	2	k	ɛ	2	k	iɔ	2	k	œ	2	白，裹粽									
	裹		k	ɔ	2	k	ɔ	2	kʷ	ɔ	2	k	ɔ	2										
	果		k	ɔ	2	k	ɔ	2	kʷ	ɔ	2	k	ɔ	2										
	可		kʰ	ɔ	2	kʰ	ɔ	2	kʰ	ɔ	2	kʰ	ɔ	2										
	可		kʰ	ɐk	5	kʰ	ɐk	5	kʰ	ɐk	5	kʰ	ɐk	5	可汗									
	坷		kʰ	ɔ	2	kʰ	ɔ	2	kʰ	ɔ	2	kʰ	ɔ	2										
	顆		l	ɔ	2	l	ɔ	2	l	ɔ	2	l	ɔ	2										
	我		ŋ	ɔ	2	ŋ	ɔ	2	ŋ	ɔ	2	ŋ	ɔ	2										
	火		f	ɔ	2	f	ɔ	2	f	ɔ	2	f	ɔ	2										
	禍		w	ɔ	3	w	ɔ	3	w	ɔ	3	w	ɔ	3										
	跛		p	ɐi	1	p	ɐi	1	p	ɐi	1	p	ɐi	1	跛咗									
	簸		p	ɔ	3	p	ɔ	3	p	ɔ	3	p	ɔ	3										
	爸		p	a	1	p	a	1	p	a	1	p	a	1										
	麼		m	ɔ	1	m	ɔ	1	m	ɔ	1	m	ɔ	1										
	拖		tʰ	ɔ	1	tʰ	ɔ	1	tʰ	ɔ	1	tʰ	ɔ	1										
	唾		tʰ	ɔ	3	tʰ	ɔ	3	tʰ	ɔ	3	tʰ	ɔ	3										
	邏		l	ɔ	4	l	ɔ	4	l	ɔ	4	l	ɔ	4										
	挫		tsʰ	ɔ	3	tsʰ	ɔ	3	tsʰ	ɔ	3	tsʰ	ɔ	3										
	佐		ts	ɔ	2	ts	ɔ	2	ts	ɔ	2	ts	ɔ	2										
	座		ts	ɔ	3	ts	ɔ	3	ts	ɔ	3	ts	ɔ	3										
	個		k	ɔ	3	k	ɔ	3	k	ɔ	3	k	ɔ	3										
	餓		ŋ	ɔ	3	ŋ	ɔ	3	ŋ	ɔ	3	ŋ	ɔ	3										
	臥		ŋ	ɔ	3	ŋ	ɔ	3	ŋ	ɔ	3	ŋ	ɔ	3										
	貨		f	ɔ	3	f	ɔ	3	f	ɔ	3	f	ɔ	3										
	賀		h	ɔ	3	h	ɔ	3	h	ɔ	3	h	ɔ	3										
	播		p	ɔ	3	p	ɔ	3	p	ɔ	3	p	ɔ	3										
	縛		p	ɔk	6	p	ɔk	6	p	ɔk	6	p	ɔk	5										
	縛		f	ɔk	6																			
	破		pʰ	ɔ	3	pʰ	ɔ	3	pʰ	ɔ	3	pʰ	ɔ	3										
	些		s	ɛ	1	s	ia	1	s	ia	1	s	ɛ	1										
	爹		t	ɛ	1	t	ia	1	t	ia	1	t	ɛ	1										
	茶		tsʰ	a	4	tsʰ	a	4	tsʰ	a	4	tsʰ	a	4										
	渣		ts	a	1	ts	a	1	ts	a	1	ts	a	1										
	槎		tsʰ	a	4	tsʰ	a	4	tsʰ	a	4	tsʰ	a	4										
	鯊		s	a	1	s	a	1	s	a	1	s	a	1										
	砂		s	a	1	s	a	1	s	a	1	s	a	1										
	紗		s	a	1	s	a	1	s	a	1	s	a	1										
	沙		s	a	1	s	a	1	s	a	1	s	a	1										
	遮		ts	ɛ	1	ts	ia	1	ts	ia	1	ts	ɛ	1										
	奢		tsʰ	ɛ	1	tsʰ	ia	1	tsʰ	ia	1	tsʰ	ɛ	1										
	若		j	ɔk	6	j	ɔk	6	j	ɔk	6	j	œk	6										
	加		k	a	1	k	a	1	k	a	1	k	a	1										
	瓜		kʷ	a	1	kʷ	a	1	kʷ	a	1	k	a	1										
	嘉		k	a	1	k	a	1	k	a	1	k	a	1										
	家		k	a	1	k	a	1	k	a	1	k	a	1										
	家																							
	跨		kʷʰ	a	1	kʷʰ	a	1	kʷʰ	a	1	kʰ	a	1										
	夸		kʷʰ	a	1	kʷʰ	a	1	kʷʰ	a	1	kʰ	a	1										
	誇		kʷʰ	a	1	kʷʰ	a	1	kʷʰ	a	1	kʰ	a	1										
	芽		ŋ	a	4	ŋ	a	4	ŋ	a	4	ŋ	a	4										
	呀			a	1		a	1		a	1		a	1										
	牙		ŋ	a	4	ŋ	a	4	ŋ	a	4	ŋ	a	4										
	枒																							
	譁		w	a	1	w	a	1	w	a	1	w	a	1										
	花		f	a	1	f	a	1	f	a	1	f	a	1										
	遐		h	a	4	h	a	4	h	a	4	h	a	4										
	樺		w	a	4	w	a	4	w	a	4	w	a	4										
	划		w	a	1	w	a	1	w	a	1	w	a	1	划船									
	瑕		h	a	4	h	a	4	h	a	4	h	a	4										
	蝦		h	a	1	h	a	1	h	a	1	h	a	1										
	霞		h	a	4	h	a	4	h	a	4	h	a	4										
	華		w	a	4	w	a	4	w	a	4	w	a	4	中華									
	華		w	a	3	w	a	3	w	a	3	w	a	3	華山									
	鴉			a	1		a	1		a	1		a	1										
	椏			a	1		a	1		a	1		a	1										
	窪		w	a	1	w	a	1	w	a	1	w	a	1										
	丫			a	1		a	1		a	1		a	1										
	斜		tsʰ	ɛ	4	tsʰ	ia	4	tsʰ	ia	4	tsʰ	ɛ	4										
	斜		tsʰ	œ	3	tsʰ	ɛ	3	tsʰ	iɔ	3	tsʰ	œ	3										
	椰		j	a	4	j	a	4	j	a	4	j	ɛ	4										
	邪		tsʰ	ɛ	4	tsʰ	ia	4	tsʰ	ia	4	tsʰ	ɛ	4										
	耶		j	a	4	j	a	4	j	a	4	j	ɛ	4										
	巴		p	a	1	p	a	1	p	a	1	p	a	1										
	笆		p	a	1	p	a	1	p	a	1	p	a	1										
	芭		p	a	1	p	a	1	p	a	1	p	a	1										
	琶		pʰ	a	4	pʰ	a	4	pʰ	a	4	pʰ	a	4										
	爬		pʰ	a	4	pʰ	a	4	pʰ	a	4	pʰ	a	4										
	麻		m	a	4	m	a	4	m	a	4	m	a	4										
	蟆		m	a	4																			
	吧		p	a	1	p	a	1	p	a	1	p	a	1										
	姐		ts	ɛ	2	ts	ia	2	ts	ia	2	ts	ɛ	2										
	瀉		s	ɛ	3	s	ia	3	s	ia	3	s	ɛ	3										
	寫		s	ɛ	2	s	ia	2	s	ia	2	s	ɛ	2										
	傻		s	ɔ	4	s	ɔ	4	s	ɔ	4	s	ɔ	4										
	者		ts	ɛ	2	ts	ia	2	ts	ia	2	ts	ɛ	2										
	社		s	ɛ	2	s	ia	2	s	ia	2	s	ɛ	2										
	捨		s	ɛ	2	s	ia	2	s	ia	2	s	ɛ	2										
	舍		s	ɛ	3	s	ia	3	s	ia	3	s	ɛ	3	宿舍									
	舍		s	ɛ	2	s	ia	2	s	ia	2	s	ɛ	2	舍生取義									
	惹		j	a	2	j	a	2	j	a	2	j	ɛ	2										
	寡		kʷ	a	2	kʷ	a	2	kʷ	a	2	k	a	2										
	假		k	a	2	k	a	2	k	a	2	k	a	2	假如									
	假		k	a	3	k	a	3	k	a	3	k	a	3	放假									
	雅		ŋ	a	2	ŋ	a	2	ŋ	a	2	ŋ	a	2										
	瓦		ŋ	a	2	ŋ	a	2	ŋ	a	2	ŋ	a	2										
	夏		h	a	3	h	a	3	h	a	3	h	a	3										
	廈		h	a	3	h	a	3	h	a	3	h	a	3										
	下		h	a	3	h	a	3	h	a	3	h	a	3	下面									
	下		h	a	2	h	a	2	h	a	2	h	a	2	打一下									
	啞			a	2		a	2		a	2		a	2										
	冶		j	a	2	j	a	2	j	a	2	j	ɛ	2										
	也		j	a	2	j	a	2	j	a	2	j	ɛ	2										
	把		p	a	2	p	a	2	p	a	2	p	a	2										
	罵		m	a	3	m	a	3	m	a	3	m	a	3										
	碼		m	a	2	m	a	2	m	a	2	m	a	2										
	馬		m	a	2	m	a	2	m	a	2	m	a	2										
	借		ts	ɛ	3	ts	ia	3	ts	ia	3	ts	ɛ	3										
	藉		ts	ɪk	6	ts	ɐk	6	ts	ɐk	6	ts	ɐk	6										
	卸		s	ɛ	3	s	ia	3	s	ia	3	s	ɛ	3										
	榭		ts	ɛ	3	ts	ia	3	ts	ia	3	ts	ɛ	3										
	謝		ts	ɛ	3	ts	ia	3	ts	ia	3	ts	ɛ	3										
	吒		ts	a	1	ts	a	1	ts	a	1	ts	a	1	哪吒									
	吒		tsʰ	ak	5	tsʰ	ak	5	tsʰ	ak	5	tsʰ	ak	5	叱吒									
	詫		tsʰ	a	3	tsʰ	a	3	tsʰ	a	3	tsʰ	a	3										
	詐		ts	a	3	ts	a	3	ts	a	3	ts	a	3										
	榨		ts	a	3	ts	a	3	ts	a	3	ts	a	3										
	乍		ts	a	3	ts	a	3	ts	a	3	ts	a	3										
	蔗		ts	ɛ	3	ts	ia	3	ts	ia	3	ts	ɛ	3										
	炙		ts	iak	6	ts	iak	6	ts	iak	6	ts	ɛk	5	白讀									
	炙		ts	ɪk	6	ts	ɐk	6	ts	ɐk	6	ts	ɐk	5	文讀									
	斥		tsʰ	ɪk	5	tsʰ	ɐk	5	tsʰ	ɐk	5	tsʰ	ɐk	5										
	赦		s	ɛ	3	s	ia	3	s	ia	3	s	ɛ	3										
	價		k	a	3	k	a	3	k	a	3	k	a	3										
	嫁		k	a	3	k	a	3	k	a	3	k	a	3										
	駕		k	a	3	k	a	3	k	a	3	k	a	3										
	架		kʰ	a	3	kʰ	a	3	kʰ	a	3	kʰ	a	3										
	訝		ŋ	a	3	ŋ	a	3	ŋ	a	3	ŋ	a	3										
	嚇		h	ak	6	h	ak	6	h	ak	6	h	ak	5										
	唬		h	u	2	h	u	2	h	u	2	h	u	2										
	化		f	a	3	f	a	3	f	a	3	f	a	3										
	暇		h	a	3	h	a	3	h	a	3	h	a	3										
	亞			a	3		a	3		a	3		a	3										
	夜		j	a	3	j	a	3	j	a	3	j	ɛ	3										
	射		s	ɛ	3	s	ia	3	s	ia	3	s	ɛ	3										
	霸		p	a	3	p	a	3	p	a	3	p	a	3										
	靶		p	a	2	p	a	2	p	a	2	p	a	2										
	怕		pʰ	a	3	pʰ	a	3	pʰ	a	3	pʰ	a	3										
	檔		t	ɔŋ	3	t	ɔŋ	3	t	ɔŋ	3	t	ɔŋ	3										
	當		t	ɔŋ	1	t	ɔŋ	1	t	ɔŋ	1	t	ɔŋ	1	當然									
	當		t	ɔŋ	3	t	ɔŋ	3	t	ɔŋ	3	t	ɔŋ	3	適當									
	鐺		t	ɔŋ	1	t	ɔŋ	1	t	ɔŋ	1	t	ɔŋ	1	鐺鐺									
	鐺		tsʰ	aŋ	1	tsʰ	aŋ	1	tsʰ	aŋ	1	tsʰ	aŋ	1	瓦鐺									
	盪		t	ɔŋ	3	t	ɔŋ	3	t	ɔŋ	3	t	ɔŋ	3										
	糖		tʰ	ɔŋ	4	tʰ	ɔŋ	4	tʰ	ɔŋ	4	tʰ	ɔŋ	4										
	棠		tʰ	ɔŋ	4	tʰ	ɔŋ	4	tʰ	ɔŋ	4	tʰ	ɔŋ	4										
	塘		tʰ	ɔŋ	4	tʰ	ɔŋ	4	tʰ	ɔŋ	4	tʰ	ɔŋ	4										
	唐		tʰ	ɔŋ	4	tʰ	ɔŋ	4	tʰ	ɔŋ	4	tʰ	ɔŋ	4										
	螳		tʰ	ɔŋ	4	tʰ	ɔŋ	4	tʰ	ɔŋ	4	tʰ	ɔŋ	4										
	堂		tʰ	ɔŋ	4	tʰ	ɔŋ	4	tʰ	ɔŋ	4	tʰ	ɔŋ	4										
	囊		n	ɔŋ	4	n	ɔŋ	4	n	ɔŋ	4	n	ɔŋ	4										
	瑯		l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4										
	琅		l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4										
	榔		l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4										
	郎		l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4										
	浪		l	ɔŋ	3	l	ɔŋ	3	l	ɔŋ	3	l	ɔŋ	3	波浪									
	浪		l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4	滄浪									
	廊		l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4										
	狼		l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4	l	ɔŋ	4										
	贓		ts	ɔŋ	1	ts	ɔŋ	1	ts	ɔŋ	1	ts	ɔŋ	1										
	滄		tsʰ	ɔŋ	1	tsʰ	ɔŋ	1	tsʰ	ɔŋ	1	tsʰ	ɔŋ	1										
	蒼		tsʰ	ɔŋ	1	tsʰ	ɔŋ	1	tsʰ	ɔŋ	1	tsʰ	ɔŋ	1										
	倉		tsʰ	ɔŋ	1	tsʰ	ɔŋ	1	tsʰ	ɔŋ	1	tsʰ	ɔŋ	1										
	藏		tsʰ	ɔŋ	4	tsʰ	ɔŋ	4	tsʰ	ɔŋ	4	tsʰ	ɔŋ	4	收藏									
	藏		ts	ɔŋ	3	ts	ɔŋ	3	ts	ɔŋ	3	ts	ɔŋ	3	寶藏									
	桑		s	ɔŋ	1	s	ɔŋ	1	s	ɔŋ	1	s	ɔŋ	1										
	喪		s	ɔŋ	1	s	ɔŋ	1	s	ɔŋ	1	s	ɔŋ	1	喪事									
	喪		s	ɔŋ	3	s	ɔŋ	3	s	ɔŋ	3	s	ɔŋ	3	喪失									
	亢		kʰ	ɔŋ	1	kʰ	ɔŋ	1	kʰ	ɔŋ	1	kʰ	ɔŋ	1										
	亢		kʰ	ɔŋ	3	kʰ	ɔŋ	3	kʰ	ɔŋ	3	kʰ	ɔŋ	3										
