序号	汉字	注释	兴安堡里	全州磨头	全州竹塘	全州蛟潭	灌阳椅山	灌阳宅塘	资源瓜里	资源大坨	
613	原		yən13	yan325	yan325	yan212	uən22	yən212		yan24	
614	月			uei11/uei51	ye35	ye34	y35	uei41	y33	uei214	ye214/ȵi214/y35
615	冤		yən35	ʔye55	yan55	yan55	uən53	yən33	yan55	yan55	
616	园		ye13	ye325/yan325	ỹ325/yan325	yɛ̃212/yan212	uən22	uən212/yən212	uɤɛ214	uɤɛ214	
617	远		ye41	ye53	ỹ34	ʔyɛ̃214	uən33	uən55	uɤ53	uɤe55	
618	越		uei51	ye212	ye34		uei41	y33	ye214	ye24	
619	决		tʃye51	tsye53	tɕye53	tɕye53	cyᴇ41	tɕye212		tɕye24	
620	缺		tʃʰye51	tsʰye55	kʰyi53	tɕʰy53/tɕʰye53	cʰyᴇ35	tɕʰye212	tɕʰye55	tɕʰy55/tɕʰye24	
621	血		fei51	hye53	hyi53	ɕy53	huei35	hy55	fui55	ɕy55	
622	县		ʃiŋ11	hie212	ʔiɛi212	yɛ̃33	çin41	huən33	yan214	yan214	
623	吞		tʰəŋ35	tʰaŋ55	tʰaŋ55		tʰən53	tʰən33		tʰəŋ55/tʰən55	
624	根		kaŋ35	kĩn55	kaŋ55	kɑŋ55	ciaŋ53	tɕiaŋ35	kaŋ55	kaŋ55	
625	恨		həŋ11	hẽi212	ən212	ẽi214	hən13	hən35	ən214	ən214	
626	恩		ŋəŋ35	ẽi55	ən55	ẽi55	ŋən53	ən33	ən55	ŋən55	
627	笔		pi51	pi53	pi53	pie53	pᴇ35	ɓei55	pi24	pi24	
628	匹		pi13	pʰi53	pʰi53		pʰᴇ22		pʰi55	pʰi55	
629	贫		piŋ13		bĩ325		pʰin22	bin212	bin24	bin24	
630	民		miŋ13	mĩn325	mĩ325	miŋ212	min41	min212	min24	min24	
631	密		mi13	mi35	mĩ34	mie35		mei33	mi214	mi214	
632	邻		liŋ13	ȵĩn325	ȵiŋ325		ɲin22	ȵin212			
633	栗		li11	li35	li34	lia35	lɛ22	li212	li214	li35	
634	进		ȵi11	tsĩn212	tɕĩ212	tsiŋ33		tɕin35	tɕin325	tɕin35	
635	亲	～人	tsʰiŋ35	tsʰĩn55	tɕʰiŋ55	tsʰiŋ55	tsʰən53	tɕʰin35	tɕʰin55	tsʰəŋ55	
636	七		tsʰi51	tsʰɿ53	tɕʰi53	tsʰɛ53	tsʰɛ35	tsʰuei55	tɕʰi55	tɕʰi55	
637	新		siŋ35	sĩn55	ɕiŋ55	siŋ55	sən53	ɕin35	ɕin55	səŋ55	
638	镇		tʃiŋ31	tsĩn212	tɕĩ212	tɕiŋ33	tʃən13	tsən35	tsən325	tsən35	
639	陈		tʃiŋ13	ʑĩn325	dʑiŋ325		tʃʰən22	zən212	zən214	zən24	
640	侄		tie11	di35	dĩ34	dɛ35	tʰɛ41	duei33	zɿ214	zɿ214	
641	虱		ʃye51	sai53	sai53	sɛ53	ʃɛ35	sai55	sɛi55	suai55	
642	震		tʃiŋ35				tsən13	tsən35			
643	神		ʃiŋ13	sĩn325	ʑĩ325	ʑiŋ212	ʃən22	sən212	zən214	zən24	
644	实		ʃie11	sɿ35	ʒi0	ʑi35	ʃi41	sɿ212	sɿ55	sɿ24	
645	身		ʃiŋ35	sĩn55	ɕiŋ55	ɕiŋ55	ʃən53	sən33	sən55	səŋ55	
646	失			sɿ53		ɕi53	ʃi41	sɿ212			
647	辰		ʃiŋ13			ʑiŋ212	ʃən22	sən212		zən24	
648	人		ȵiŋ13	oŋ212/ĩn325	ŋ̍325/iŋ325	ŋ̍212	oŋ22	in212/õŋ212	ŋ̍214	ŋ̍214	
649	认		ȵiŋ11		ʑiŋ212	ʑiŋ33	nən41	ȵin33/zən212	ȵin214	ȵiŋ24/zən214	
650	日		ie51	li35	ȵĩ34	nɛ35	ɲi41	luei33	ȵi24	ȵi24	
651	紧		kiŋ53	tsĩn35	kiŋ334	tɕiŋ325	kən33	tɕin33	tɕin24	tɕiŋ24	
652	吉		kie51				ci41	tɕi212	tɕi55	tɕi24	
653	银		ŋiŋ13	ĩn325	iŋ325	iŋ212	in22	in212	ȵin24	iŋ21lvɛ35	
654	印		iŋ31	ʔĩn212	ʔiŋ212	ʔiŋ33	in13	in53	ȵin325	in35	
655	一		ie51	i55	i55	ʔi53	i35	i33	i24	i55	
656	引		ŋiŋ41	ʔĩn53	iŋ34	ʔiŋ214	in33	in55		in53	
657	筋		kiŋ35	tsĩn55	kiŋ55	tɕiŋ55	kən53	tɕin35	tɕin55	tɕin55	
658	劲		kiŋ31	tsĩn212	kiã212	tɕiŋ33	kən13	tɕin35	tɕin325	tɕin35	
659	勤		kiŋ13	ʑĩn325	dʑiŋ325	dʑiŋ212	kʰən22	ʑin212	dʑin24	dʑin24	
660	近		kiŋ41	ʑĩn212	ɡiŋ34	dʑiŋ214	kʰən33	ʑin55	dʑin53	dʑiŋ24	
661	隐		iŋ41				in33				
662	本		paŋ53	paŋ35	paŋ334	pɑŋ325	paŋ33	ɓaŋ33	paŋ24	paŋ24	
663	盆		paŋ13	baŋ325	baŋ325	bɑŋ212	pʰaŋ22	baŋ212	baŋ214	baŋ214	
664	门		maŋ13	maŋ325	maŋ325	mɑŋ212	maŋ22	maŋ212	maŋ214	maŋ214	
665	墩		taŋ35		tuŋ55	tuŋ325	tuŋ53	ɗaŋ35			
666	嫩		naŋ11	naŋ212	naŋ212	nuŋ33	nuŋ41	naŋ33	naŋ24	nəŋ24	
667	卒		tsu51		tsu53	tsu53	tsu22	tsɤu212			
668	村		tsʰaŋ35				tsʰuŋ53		tsʰən55	tsʰən55	
669	寸		tsʰaŋ31	tsʰaŋ212	tsʰaŋ212	tsʰuŋ33	tsʰuŋ13	tsʰaŋ53	tsʰaŋ325	tsʰuŋ35	
670	蹲										
671	孙		saŋ35	sau55	saŋ55	suŋ55	suŋ53	saŋ35	saŋ55	suŋ55	
672	滚		kuaŋ53	kuẽi35	kuaŋ334	kuŋ325	kuən33	kuaŋ33	kuaŋ24	kuŋ24	
673	骨		ku51	kuai53	kuai53	kuɛ53	kuɛ35	kuai55	kuɛi55	kuai55	
674	困		kʰuən31	kʰuẽi212	kʰuən212		kʰuən13	kʰuən35		kʰuən35	
675	婚		fəŋ35	huaŋ55	huən55	huẽi55	huən53	huən33	fən55/huən55	fuən55	
676	魂		fəŋ13	huẽi325	uən325	uẽi212	huən22	huən212		oŋ214	
677	温		uaŋ35	uẽi55	uən55	ʔuŋ55	oŋ53	uən33	uən55	uən55	
678	轮		ləŋ13	nẽi325		nẽi212	nən22	nən212	nən24	nən24	
679	律		li11	ly0	ly0	ly0		ly212	ly325	ly0	
680	俊		tsəŋ31			tsẽi33					
681	笋		səŋ53	saŋ35	suŋ334	suŋ325	siuŋ33	suŋ33	suŋ24	səŋ24	
682	准		tʃyən53	tsiuŋ35	tɕỹ334	tɕiuŋ325	tʃyən33	tsuŋ33/tɕyən55	tɕyən53	tsuŋ24/tsuən53	
683	春		tʃʰuaŋ35	tsʰiuŋ55	tɕʰiŋ55	tɕʰiuŋ55	tʃʰyən53	tsʰuŋ35	tsʰuŋ55	tsʰuŋ55	
684	出		tʃʰyi51	tsʰiɤu53	tɕʰiɤu53	tɕʰye53	cʰy35		tɕʰy53	tsʰu55	
685	唇						ʃən22				
686	顺		ʃuaŋ11	ʑyẽi212	ʑyən212	ʑiuŋ33	ʃyən41	suŋ33/ɕyən35	dʑyən214	zuən214	
687	纯		ʃyən13				ʃyən41	suən212	dzuən24	dʑyən214	
688	闰		ʋyən13	ʑiuŋ212	ʑĩ212	ʑiuŋ33	uən41	iuŋ33	dʑyən214	zuŋ24	
689	均		tʃyən35			tɕiuŋ55	kuən53				
690	橘		kuei51		ky53	tɕye53	kuei35	kuei55			
691	匀		ʋyən35	iuŋ325		iuŋ212	uən22	iuŋ212			
692	分	动词	paŋ35	paŋ55	paŋ55	pɑŋ55	paŋ53	ɓaŋ35	paŋ55	paŋ55	
693	粉		faŋ53	huaŋ35	huaŋ334	fuŋ325	huaŋ33	huaŋ33	huaŋ24	huŋ24	
694	粪		paŋ31	huẽi212			huaŋ13	uei35	paŋ325	paŋ35	
695	坟		fəŋ13								
696	佛	～像	fu13	hu35	u34	vɛ35			fu24	fu24	
697	蚊		mɑ13	maŋ325	maŋ325	mɑŋ212	maŋ22	maŋ212	maŋ214	maŋ214	
698	问		maŋ11				maŋ41	maŋ55			
699	物		u11				u41	u212			
700	军		tʃyən35	tsyẽi55	kyən55	tɕiuŋ55/tɕyɛ̃55	cyən22	tɕyən33	tɕyən55	tɕyən55	
701	裙		kuən13	ʑiuŋ325	ɡiŋ325	dʑiuŋ212	kʰuən22	ʑiuŋ212	dʑiuŋ214	ɡəŋ214/dʑyən24	
702	熏		ʃyən35	hiuŋ55	hiŋ55	huõŋ55/ɕyɛ̃55	huən53			ɕiuŋ55	
703	云	～彩	yən13	iuŋ325	iŋ325	iuŋ212	uən22	iuŋ212	ȵiuŋ214	iuŋ214	
704	运		yən11	ʔiuŋ212	iŋ212/yən212	iuŋ33/yɛ̃33	uən41	iuŋ33	yən214	iuŋ24/yən24	
705	帮		paŋ35	pau55	puɔŋ55	pɑŋ55	paŋ53	ɓuõŋ35/ɓaŋ33	paŋ55	paŋ55	
706	薄	形容词	pɤu11	bu35	bu34	bu35	pʰu41	bu33	bu214	buo214	
707	忙		maŋ13	maŋ325	maŋ325	mɑŋ35	maŋ22	mɛ̃i212	maŋ214	maŋ24	
708	摸		muo13	muo55	muõ55	mũ35	muo41	muo35			
709	党		taŋ53	tau35	taŋ53	tɑŋ325	taŋ33	ɗaŋ55	taŋ53	taŋ53	
710	汤		tʰuŋ35	tʰau55	tʰuɔŋ55	tʰuõŋ55	tʰuŋ53	tʰuõŋ35	tʰuo55	tʰuo55	
711	托		tʰuo51	tʰuo55	tʰuo53		tʰuo41	tʰuo212		tʰuo24	
712	糖		tuŋ13	duo325	duɔŋ325	duõŋ212	tʰuŋ22	duõŋ212	duo214	duo214	
713	浪		laŋ11	lau212/laŋ212	nuɔŋ212	nɑŋ214	laŋ13	nɛ̃i33	naŋ214	naŋ35	
714	落		luo11	luo35	lu34/luo34	lu35/luo35	lu41	lɤu33/luo212	lu214	luo214	
715	作		tsuo51				tsuo41	tsuo212		tsuo24	
716	仓		tsʰuŋ35	tsʰau55	tsʰuɔŋ55	tsʰuõŋ55	tsʰuŋ53	tsʰuõŋ35	tsʰuo55	tsʰuo55	
717	索		sɤu51	su53	su53	su53	sɿ35	sɤu55	su0	suo55	
718	钢	名词	kuŋ35	kau55	kaŋ55	kuõŋ55	kaŋ53	kuõŋ35	kaŋ55	kuo55/kaŋ55	
719	各		kɤu51	kuo55	kuo53	kuo53	ku35	kuo212		kuo24	
720	糠		huŋ35	hau55	huɔŋ55	huõŋ55	huŋ53	huõŋ35	huo55	huo55	
721	鹤		hɤu11	uo35			huo22			uo214	
722	恶	形容词	ɤu51	uo53	ʔuo53	ʔuo53	u35	uo55	uo55	uo55	
723	娘		ȵiaŋ13	ȵiaŋ325	ȵiaŋ325	ȵiɑŋ212	na33	ȵiõŋ212	ȵiaŋ0	ȵiaŋ0	
724	两	斤～	liuŋ41	lau53	nuɔŋ53	luo214	ɲiuŋ33	ȵiõŋ55	nuo53	nuo55	
725	亮		liaŋ11	liau212		yo53	ɲiuŋ41	ȵiõŋ33	ȵiaŋ214	liaŋ214	
726	浆		tsiuŋ35	tsau35	tɕiɔŋ55/tɕiaŋ35	yo35	tsiuŋ53	tɕiaŋ35/tɕiõŋ33	tɕyo55	tɕyo55	
727	雀		tsʰio31	tsʰiɤu55	tɕʰyo53	tsyõŋ325	tʃʰiᴇ35	tɕʰiau55	tɕʰiɤu325	tɕʰiɤu35	
728	抢		tsʰiuŋ53	tsʰiaŋ53			tsʰiuŋ33	tɕʰiõŋ33	tɕʰyo24	tɕʰyo24	
729	匠		tsiuŋ41	ʑiau212	dʑyɔŋ212	tɕyõŋ55	tsiuŋ13	ʑiõŋ33	dʑyo0	dʑyo24	
730	想		siuŋ53	siau35	ɕyɔŋ334	tɕyo55	siuŋ33		ɕyo24	ɕyo24	
731	削		sio51	siɤu53	ɕyo53	tɕyo53	siau35	ɕiɤu55	ɕyo55	ɕyo55	
732	像		tsiuŋ11	ʑiau212	dʑyɔŋ212	tɕyo33	siuŋ13	ʑiõŋ33	dʑyo214	dʑyo24	
733	张	量词	tʃaŋ35	tsau55	tsuɔŋ55	tɕiɑŋ55	tiuŋ53	ɗiõŋ35	tuo55	tyo24	
734	长	～短	tʃaŋ53	tsau35	tsuɔŋ334	tsuõŋ325	tiuŋ33	ɗiõŋ33	ta24	tyo24	
735	着	火～了	tiɤu11	zu35	dzu0	tɕyo33	tʰiɤu41	ʑiɤu33	dʑiɤu0		
736	装		tʃuŋ35	tsau55	tsuɔŋ55	tsuõŋ55	tʃuŋ53	tsuõŋ35	tsaŋ55	tsuo55	
737	壮		tʃuŋ31/tʃuaŋ31	tsau212/tsuaŋ53	tsuɔŋ212	tsuõŋ33	tʃuŋ13	tsuõŋ53	tuo325	tsuo35/tsuaŋ35	
738	疮		tʃʰuŋ35	tsʰau55	tsʰuɔŋ55	tsʰuõŋ55	tʃʰuŋ53	tsʰuõŋ35	tsʰaŋ55	tsʰuo55	
739	床		tʃuŋ13	zau325	dzuɔŋ325	dzuõŋ212	tʃʰuŋ22	zuõŋ212	duo214	zuo214	
740	霜		ʃuŋ35	sau55	sa55	suõŋ55	ʃuŋ53	suõŋ35	suo55	suo55	
741	章		tʃaŋ35	tsau55	tɕiaŋ55	tɕiɑŋ55	tʃaŋ22	tsaŋ33	tsaŋ55	tsaŋ55	
742	厂		tʃʰaŋ53	tsʰau35	tsʰuɔŋ334	tsʰuõŋ325	tʃʰuŋ33	tɕʰiõŋ33/tsʰaŋ55	tsʰaŋ53	tsʰuo24/tsʰaŋ53	
743	唱		tʃʰuŋ31	tsʰau212	tsʰuɔŋ212	tsʰuõŋ33	tʃʰuŋ13	tɕʰiõŋ53	tʰuo325	tsʰuo35	
744	伤		ʃaŋ35	siau55	suɔŋ55	suõŋ55	ʃuŋ53	ɕiõŋ35	suo55	saŋ55	
745	尝		ʃuŋ13	zau325	dzuɔŋ325	dzuõŋ212	ʃuŋ22	ʑiõŋ212	duo214	zuo214	
746	上		tʃuŋ41	zau212	dzuɔŋ34	dzuõŋ214	ʃuŋ33	ʑiõŋ55		zuo24	
747	勺									zuo214	
748	让		iaŋ11	ʔiau212		ʑiɑŋ214	iuŋ41	iõŋ33	zaŋ214	zaŋ214	
749	弱		ȵio11	ʑyo35	ʑyo34	tɕyo325	yɔ41	yo212		ȵyo214	
750	姜		tʃuŋ35	tsiau55	kyɔŋ55	tɕiõŋ55	ciuŋ53	tɕiõŋ35	tɕyo55	tɕyo55	
751	脚		tʃiɤu51	tsiɤu53	kɤ53	kɯ53	ciɤu35	tɕiɤu55	tɕiɤu55	tɕiɤu55	
752	响		ʃuŋ53	hiau55	hyɔŋ334	syõŋ55	çiuŋ33	hiõŋ33	ɕyo24	ɕyo24	
753	向		ʃaŋ31	siau212	hyɔŋ34	syõŋ55	çiuŋ35	hiõŋ53		ɕyo35	
754	秧		jiuŋ35	iau55	yɔŋ55	syõŋ33	iuŋ53	iõŋ35	ȵyo55	yo55	
755	约		jio51	ʔyo55	yo53	syõŋ325	yɔ41	yo212	yo55	yo214	
756	痒		jiuŋ41	ʔiau53	kie53	ȵyõŋ212	iuŋ33	iõŋ55	ȵyo53	yo55	
757	样		jiuŋ11	ʔiau212	yɔŋ212	ȵyõŋ212	iuŋ41	iõŋ33	ȵyo24	yo24	
758	药		iɤu11	iɤu35	yo34	ɯ35	iɤu41	iɤu33	yo24	yo214	
759	光		kuaŋ35	kuaŋ55	kuɔŋ55	kuõŋ55/kuɑŋ55	kuaŋ53	kuaŋ33	kuo55	kuo55/kuaŋ55	
760	郭		kuo51		kuo53	kuo53	kuo35	kuo212	kuo24	kuo24	
761	慌		faŋ35	huei55	huɔŋ55	huõŋ55	huŋ53	huõŋ35	huo55	fuaŋ55	
762	霍						huo22	huo35	uo24	uo214	
763	黄		faŋ13	au325	uɔŋ325	uõŋ212	huŋ22	huõŋ212	uo214	uo214	
764	方		faŋ35	huaŋ55/hau55	huɔŋ55	fuõŋ55	huŋ53	huõŋ212	huo55	huo55/fuaŋ55	
765	放		puŋ31	hau212/huaŋ212	hua212/puɔŋ212/huaŋ212	muɑŋ33	puŋ13	ɓuõŋ53/huaŋ35	buo325/faŋ325	puo35/faŋ35	
766	纺		faŋ53	pʰau35	pʰuɔŋ334	pʰuõŋ325	huaŋ33	huaŋ55			
767	房		faŋ13	hau0/hau53		võŋ212	pʰuŋ22/huŋ22		buo214	buo214/uaŋ0	
768	防		faŋ13	hau55	uɔŋ325	võŋ212	huŋ22	huaŋ212			
769	缚					bu35					
770	网		muŋ41	uaŋ53/uaŋ53	muõ35/uaŋ53	mɑu214/uɑŋ214	muŋ33	uõŋ55	muo53/uaŋ53	uaŋ53	
771	筐		kʰuaŋ35	kʰuaŋ55	kʰuaŋ55	kʰuɑŋ55	kʰuaŋ53	kʰuaŋ33			
772	狂		kuaŋ13	kuaŋ325	ɡuaŋ325		kʰuaŋ22	ɡuaŋ212			
773	王		uaŋ13	au325	uɔŋ325	uõŋ212	huŋ22/uaŋ22	uõŋ212/uaŋ212	uaŋ24	uaŋ24	
774	旺		uaŋ11	ʔuaŋ212	uaŋ212	uɑŋ214	uaŋ41	uaŋ35	uaŋ325	uaŋ35	
775	绑		paŋ53		puɔŋ334		puŋ33	ɓuõŋ33			
776	剥		pɤu51	piou53	piɔu53	piɔu53	puo35	ɓiɔu55	puo55	puo24	
777	胖		pʰaŋ31	pʰaŋ212	pʰaŋ212	pʰɑŋ33		pʰaŋ35			
778	棒		paŋ11	baŋ212	baŋ212	pɑŋ214	paŋ13	baŋ35	baŋ214		
779	桩		tʃuŋ35	tsau55	tsuɔŋ55	tsuõŋ55	tʃuŋ53	tsuõŋ35	taŋ55		
780	桌		tʃiɤu51	tsuo53	tsuo53	tsuo53		tsuo55	tuo55	tsuo55	
781	撞		tʃaŋ41	zau212	dzaŋ212			iõŋ33			
782	窗		tʃʰuaŋ35		tsʰuɔŋ55			tsʰuõŋ35			
783	镯		tʃiɤu51	zuo35	dzuo34			zɤu33			
784	双		ʃuŋ35	sau55	suɔŋ55	suõŋ55	ʃuŋ53	ɕiõŋ35	suo55	suo55	
785	江		kuŋ35	tsiau55	kyɔŋ55	tɕyõŋ55	ciuŋ53	tɕiõŋ35	tɕyo55	kuo55	
786	讲		kuŋ53		tɕiaŋ53	tɕyõŋ325	ciuŋ33	tɕiõŋ33			
787	角		kɤu51	tsyo53	kɤ53/tɕyo53	ɕyõŋ55	cyɔ35	tɕyo55/tɕiɤu55	tɕyo55	kuo55/tɕyo24	
788	壳		kʰɤu51	kʰuo53	kʰuo53	ɕyõŋ33	cʰyɔ35	hyo55	ɕyo55	huo55	
789	降	投～	ʃaŋ13	zau325	ʑiaŋ325	ɕyo53	çiaŋ41	hiaŋ33	iaŋ24	iaŋ24	
790	项		haŋ41	siaŋ212	ɕiaŋ212	ɑŋ214		haŋ35	ɕiaŋ214	ɕiaŋ214	
791	学		hɤu11	yo325	yo34	ɕyo35	yo41	hyo212	yo214	uo214/ɕyo24	
792	握		ʋu31	ʔu53	u55	ʔu55	uo35	uo33/uo212	u325	u214	
793	北		pɤ51	pai53	pai53	pɛ53	pɛ35	ɓai55	pɤ24	pɤe24	
794	朋		puŋ13	buŋ325	buŋ325	buŋ212	pʰuŋ22	buŋ212	buŋ214	buŋ24	
795	墨		mɤ11	mai35	mai55	mɛ35	mɛ41	mai33	mai214	mai214	
796	灯		taŋ35	taŋ55	taŋ55	tɑŋ55	taŋ53	ɗaŋ35	taŋ55	taŋ55	
797	等		taŋ53	taŋ35	taŋ334	tɑŋ325	taŋ33	ɗaŋ33	taŋ24	taŋ24	
798	凳		taŋ31	taŋ212	taŋ212	tɑŋ33	taŋ13	ɗaŋ53	taŋ325	taŋ35	
799	得		tɤ51	tai53	tai53	tɛ53	tɛ35	ɗai55	tɤ55	tai55	
800	藤		taŋ13	daŋ325	daŋ325	dɑŋ212	tʰaŋ22	daŋ212	daŋ214	daŋ214	
801	特		tʰɤ51			tɤ35	tʰᴇ41	tʰɤ212	tʰɤ24	tʰɤe24	
802	能		nəŋ13	nẽi325	nən325	nẽi212	nən22	nən212	nən24	nən24	
803	层		tsaŋ13	zaŋ325	dzaŋ325	zɑŋ212	tsʰaŋ22	zaŋ212	zaŋ214	zaŋ214	
804	贼		tsɤ11	zai35	dzai34	zɛ35	tsʰɛ41	zai33	zɛi214	zai214	
805	僧		tsəŋ35				sən22				
806	塞		sɤ51	sai53	sai53	sɛ53	sɛ35	sai55			
807	肯		kʰəŋ53	kʰẽi53	kʰən53	kʰɑŋ325/kʰẽi325	kʰən33	haŋ33		kʰaŋ24/kʰən53	
808	刻		kʰɤ51	kʰɤ53		kʰɤ53	kʰɛ35	kʰɤ212	kʰɤ24	kʰɤe24	
809	黑		hɤ51	hai53	hai53	hɛ53	hɛ35	hai55	hɛi55	hai55	
810	冰		piŋ35	pĩn55	piŋ55	piŋ55	pən53	ɓin35	pin55	pin55	
811	逼		pie51	pie53	pi53	pie53	pi35	ɓei55	pi55	pɤe55	
812	力		li11	li35	li34	lɛ35	li41	luei33/li212	ti214	diɤu24	
813	息		sie51					ɕi33			
814	直		tie11	diɤu35/zɿ35	diɤu34	dɛ35	tʰi41	zɿ212	dɛi214	dai214	
815	侧		tʃye51	tsai53	tsai53		tʃɛ35	tsai55			
816	测		tsʰɤ51	tsʰɤ53	tsʰɤ53	tsʰɤ53		tsʰɤ212	tsʰɤ24	tsʰɤe24	
817	色		sɤ51	sai53/sɤ53	sai53	sɛ53	ʃɛ35	sai55/sɤ212	sɤ24	sɤe24	
818	证		tʃiŋ31	tsĩn212	tɕĩ212	tɕiŋ33	tʃən13	tsən35	tsən325	tsən35	
819	织		tʃi51	tsɤ53	tɕiɤu53	tɕi53	tʃi35	tsɿ55	tsɿ55	tsɤu55	
820	秤		tʃʰiŋ31	tsʰĩn212	tɕʰiŋ212	tɕʰiŋ33	tʃʰən13	tɕʰin53	tsʰən325	tsʰən35	
821	绳										
822	剩			syẽi212	ʑiŋ212	ʑiŋ214	ʃən41	sən35			
823	食		ʃie11	sɿ55	ʑy34	ʑi35	ʃi22	sɿ212	sɿ24	zɿ214	
824	升		ʃiŋ35	sĩn55	ɕiŋ55	ɕiŋ55	ʃən53	sən33	sən55	səŋ55/sən55	
825	式		ʃi31			ɕi53	ʃi13				
826	极		tʃi11								
827	兴	高～	ʃiŋ31				çin13	hin35			
828	蝇										
829	国		kuo51	kuɤ53	kuɤ55	kuɤ53	kuɛ35	kuɤ212	kuo24	kuɤe24	
830	或		huo11	uɤ35	uɤ34	uɤ325		huɤ212	huo214	fuɤe24	
831	百		pɑ51	pa53	pa53	pa53	pa35	ɓa55	pa55	pa55	
832	拍		pʰɑ51	pʰa55	pʰa53	pʰa53	pʰa35	pʰa55	pʰa55	pʰa55	
833	白		pɑ11	ba35	ba34	ba35	pʰa41	ba33	ba214	ba214	
834	猛		muŋ53	muŋ53	muŋ53	muŋ214	maŋ33	muŋ55	muŋ53	muŋ53	
835	打			ta35	ta34	ta325			ta24	ta24	
836	冷		lie41	lau53	nã34	nɑŋ214	la33	na55	na24	lai55	
837	拆		tʃʰɑ51	tsʰa53	tsʰa53	tsʰa53	tʃʰau35	tɕʰia55	tʰa55	tsʰua55	
838	择		tsɤ51				tsʰᴇ41	zɤ212		tsʰɤe24	
839	窄			tsa53	tsai53		tʃɛ35			tsɤe24	
840	生		saŋ35	sau55/sẽi55	sã55/sən55	sɑŋ55/sẽi55	ʃa53	ɕiã35/sən33	sa55/sən55	suai55/sən55	
841	省	～长	səŋ53	sẽi53	sən53		sən33	sən33	sən53	sən53	
842	更	打～	kaŋ35	kẽi55	kən55	kẽi33	ciaŋ53	kən35		kən35	
843	梗		kie53	kẽi35	kã334	kɑŋ325	cin33	kã33	ka24	kɛi24	
844	格		kɑ51	kai53/kɤ35	kai53	kɛ53	cia35	kai55	kɛi55	kai55/kɤe24	
845	坑		kʰəŋ35			hɑŋ55	cʰiaŋ53			kʰai55	
846	客		kʰɑ51	kʰa53	kʰa53	kʰa53	cʰia35	kʰa55	kʰa55	kʰa55	
847	硬		ŋie11	lei55	hɤ̃212	ŋɛ33	ɲia41			hɛi24	
848	额		ŋɑ11	a35	a34	ŋa35	ɲiᴇ41	iã33	a214	ŋa214	
849	行	～为	ʃiŋ13	hĩn55	ĩ325	iŋ212	çin41	hin212	ɕin24	in24	
850	棚		puŋ13	buŋ325	baŋ325	buŋ212	pʰuŋ22	buŋ212	buŋ214	buŋ24	
851	麦		mɑ11	ma35	ma34	ma35	mɛ41	ma33	mɤɛ214	mɤɛ214	
852	摘		tʃɑ51	tsa53	tsa53	tsa53	tʃa35	tɕia55	ta55	tsua55	
853	争		tʃie35	tsau55	tsã55	tsɑŋ55	tʃa53	tɕiã35/tsən33	ta55	tsuai55	
854	策		tʃʰɑ51	tsʰa53	tsʰɤ53		tsʰᴇ41	tsʰɤ212	tsʰɤ24	tsʰɤe24	
855	耕		kaŋ35				kən22				
856	隔		kɑ51	kai53	ka53	ka53	cia35	ka55/kɤ212	ka55	kɤe24	
857	兵		pio35	pĩn55	piŋ55	piŋ55	pən53	ɓin35	pin55	pin55	
858	柄		piŋ31	pĩn53	pĩ53		pin33	ɓin33			
859	平		pio13/piŋ13	biau325	biã325	biɑŋ212	pʰin22	bin212	bia214/bin214	bɤɛ214/bin0	
860	病		pio11	biau212	biã212	biɑŋ33	pʰin41	bin33	bia24	bɤe24	
861	明		miŋ13	mie0/mĩn325	miŋ325		miᴇ22	min212	min24	min214	
862	命		mio11	miau212	miã212	miɑŋ33	miᴇ41	min33	mia24	mɤe24	
863	镜		kiŋ31	tsiau212	kiã212	tɕiɑŋ33	cin13	tɕin53			
864	庆		kʰiŋ31	tsʰĩn212	tɕʰiŋ212	tɕʰiŋ33	cʰin13	tɕʰin35	tɕʰin325	tɕʰin35	
865	剧	戏～	tʃyi11				cy13	ʑy35	dʑy214		
866	迎		iŋ13		ĩ325		in22	in212	ȵin214	in24	
867	影		ŋio53/ŋiŋ53	iau35/ĩn53	iã334/iŋ334	ʔiɑŋ325/ʔiŋ325	in33	in33	ȵia24/ȵin53	in53	
868	饼		pio53	piau212	piã334	piɑŋ325	pin33	ɓin55	pia24	pin53	
869	名		mio13	miau325	miã325	miɑŋ212	miᴇ22	min212	mia24	mɤɛ214	
870	领		lio41/liŋ41	liau53/lĩn53	ȵiã55/ȵiŋ53	ȵiɑŋ214/ȵiŋ214	ɲin33	ȵin55	ȵia0/ȵin53	lɤe55/lin53	
871	井		tsio53	tsiau35	tɕiã334	tsiɑŋ325	tsin33	tɕin33	tɕia24	tsai55/tɕin53	
872	积		tsi13			tsi53	tsi41	tɕi212			
873	清		tsʰio35	tsʰiau55	tɕʰiã55	tsʰiɑŋ55	tsʰin53	tɕʰin35	tɕʰia55	tsʰɤe55	
874	静		tsiŋ31				tsʰin41	ʑin35			
875	姓		sio31	siau212	ɕiã212	siɑŋ33	sin13	ɕin53	ɕia325	sɤɛ35	
876	惜		sai31	sɿ53	ɕi53	si53	siᴇ35	ɕi33/ɕi212			
877	席		tsio11		dʑia325/ɕi325	zia35/zi35	tsʰiᴇ41/si41	ʑie33/ɕi33	dʑia214/ɕi0	dʑia214/ɕi0	
878	贞		tʃiŋ35								
879	程		tʃiŋ13				tʃʰən22		zən24	zən24	
