#參考文獻 《興化方言地理語言學研究》《興化方言志》	
#調值	陰平陽去21 陽平35 上213 陰去443 陰入3 陽入45
#ɿ	
kʰ	[7]狹{促～}[8]□{卡住，牽住}
x	[7]搳{～拳}𧽌{越過}[8]滑=猾
#yæʔ	
ɕ	[7]刷
#ʊʔ	
p	[7]撥鉢
pʰ	[7]潑
m	[7]末=[8]末-
t	[7]掇𤒘
tʰ	[7]脫[8]奪
k	[7]佮割葛蛤鴿
kʰ	[7]嗑瞌磕闊渴[8]□{撞}瞌
x	[7]喝豁[8]合-活=盒
ts	[7]拙
tsʰ	[7]啜撮
s	[7]說
0	[7]餲[8]活-
#yʊʔ	
tɕ	[7]決訣厥撧{折斷}絕=撅
tɕʰ	[7]缺[8]絕-
ɕ	[7]屑血雪薛穴
0	[7]閱悅粵月=越=[8]月-越-
#aʔ	
p	[7]剝博煿膊薄=駁
pʰ	[7]粕[8]箔薄-雹
m	[7]莫漠幕[8]摸膜幕漠
f	[7]縛
t	[7]沰㿯耷𨅞
tʰ	[7]庹託鐸拓[8]踱
n	[7]諾
l	[7]樂旯洛絡烙駱落=[8]笿落-烙
k	[7]各擱旮覺-{～得}角閣
kʰ	[7]殼搉{敲打}
x	[7]貉郝鶴=□{依靠}[8]學-鶴-
ts	[7]作斫着=酌
tsʰ	[7]㪕鑿焯綽*綽錯-[8]鑿昨着-{～火}
s	[7]碩索爍[8]勺-𧺕
z	[7]若=[8]箬{粽～}肏若-弱
0	[7]惡顎鱷
#iaʔ	
n	[7]略虐掠[8]瘧
tɕ	[7]腳覺=
tɕʰ	[7]皵雀鵲確卻恰[8]嚼
ɕ	[7]削[8]學=
0	[7]約樂嶽岳[8]藥-鑰
#uaʔ	
k	[7]郭
kʰ	[7]擴廓[8]□{液體晃動}
x	[7]攉藿霍
0	[7]嗀{作～}握沃
#yaʔ	
tɕ	[7]倬娖{豎着理齊}捉桌卓
tɕʰ	[7]戳[8]拙+㪬鐲昨濁
ɕ	[7]嗍朔
#əʔ	
p	[7]不
pʰ	[8]勃餑
m	[7]沒{淹～}[8]沒
f	[7]沸拂[8]佛
v	[7]殟物𩑦{淹}[8]杌核-
t	[7]得德𨁽跺
tʰ	[7]忑特=突𠫓[8]凸特-突
l	[8]勒肋
k	[7]䞘圪格疙胳虼隔革
kʰ	[7]克刻咳客
x	[7]嚇黑[8]齕{啃}核
ts	[7]仄則只嘖{～聲}塞宅執指{～頭}擲摘汁窄職蟄蜇織質責側
tsʰ	[7]斥拆㿭冊尺測側策赤殖澤擇=值[8]值擇-{～菜}直賊翟侄宅澤植殖
s	[7]塞失色式識適室澀釋濕溼飾嗇瑟拭摵[8]十實-拾-石食-
0	[7]扼厄呃[8]呃額
#iəʔ	
tɕ	[7]集急及積吉擊脊級績激即鯽寂圾跡瘠極疾
tɕʰ	[7]七乞喫戚-泣漆迄[8]集及席極疾
ɕ	[7]惜吸錫息析熄膝悉夕媳昔隙秫晰[8]習席襲
0	[7]一益乙翼譯逸揖抑亦
#uəʔ	
k	[7]骨
kʰ	[7]窟
x	[7]寣忽惚[8]𣝗
#yəʔ	
tɕ	[7]倔橘
tɕʰ	[7]出屈蛐
ɕ	[7]噱戌術穴蟀訹{誘騙}魆黢
0	[7]入=役疫域[8]入-
#ɔʔ	
p	[7]伯北卜柏百擘
pʰ	[7]撲拍樸迫僕[8]白
m	[7]沫目=脈=[8]木目-穆脈-麥墨默
f	[7]復服=福腹覆蝠[8]伏服
t	[7]厾啄獨=篤讀犢督
tʰ	[7]禿[8]毒獨-讀
l	[7]祿录碌[8]六陸綠录錄鹿漉
k	[7]嘓國谷
kʰ	[7]哭酷
x	[7]惑或掝獲穫[8]咟
ts	[7]囑燭祝竹粥足築卒
tsʰ	[7]促畜簇觸[8]軸族簇
s	[7]俗叔宿屬束速粟續縮蜀[8]熟贖
z	[7]辱=[8]肉褥辱-
0	[7]喔屋
#iɔʔ	
tɕ	[7]焗鋦跼菊趜
tɕʰ	[7]曲[8]局
ɕ	[7]蓄畜{～牧}
0	[7]欲=玉-育浴獄郁[8]囿欲{～不到}
#m̩	
0	[0]姆{～媽}
#ŋ̍	
0	[1]嗯[2]嗯[3]我-[5]嗯
