来源：	本地方言调查；山佳木 整理录入
x	［1］酣憨［3］喊［2］含罕{稀～}函寒韩衔-还咸-闲-{消～：清闲}［5］喊鼾汉汗䗣{油～：蚜虫}焊憾撼=翰苋-{红～子：一种野草}陷-{～进圪：陷进去}
ts	［1］簪［3］攒眨{～眼}斩盏［5］暂赞錾栈站绽蘸
tsʰ	［1］参餐=搀［3］产惨铲［2］惭残蚕谗馋［5］灿餐-{~厅}
s	［1］三山杉衫［3］伞散［2］删珊［5］散
tʂ	［1］沾毡粘瞻［3］展［5］占战蛇？{生肖“蛇”}
tʂʰ	［3］阐［2］禅=缠蝉蟾［5］颤辿{漫～坡：缓坡}
ʂ	［1］膻［3］闪陕［2］禅-{住}［5］禅单疝=扇善膳鳝
ʐ	［1］［3］冉染=［2］然燃黏-{～泥：烂泥；～皮臭狗屎：赖皮}［5］染-
v	［1］弯剜湾豌［3］皖碗［2］丸完玩顽［5］腕
Ø	［1］安庵鞍氨鹌铵［3］唵掩-{～头：瓦房顶的两侧}［2］安{准备：多～上些：多准备些；～预}严-{关～}［5］揞按案暗岸
z	［2］喃-{～咬}
#iaŋ	
p	［1］边编蝙鞭［3］贬扁=匾［5］汴便变遍辨辩辫
pʰ	［1］偏篇［3］片-{脚～子}［2］便［5］片=骗
m	［3］免勉娩缅［2］眠绵棉［5］面
t	［1］掂敁{～敠：用手估量东西轻沉}颠［3］典点［5］电店踮{～脚：跺脚}垫淀奠殿
tʰ	［1］天添［3］腆舔［2］田甜填
n	［3］辇捻撵碾［2］拈年鲇黏=研-{硌}［5］念焾
l	［3］敛脸［2］连帘怜莲联廉镰［5］练炼殓楝錬恋=
tɕ	［1］奸尖坚歼间肩艰兼监笺煎［3］拣俭柬茧减剪检简碱［5］间犍锏见件建饯械剑荐贱健涧舰渐谏溅腱践鉴键箭
tɕʰ	［1］千迁牵铅谦签鹐［3］潜浅遣［2］前虔钱钳乾掮［5］欠嵌歉
ɕ	［1］仙先掀鲜［3］显险癣［2］闲=涎弦贤衔=嫌咸=［5］县现线限宪陷=馅羡献苋=
Ø	［1］烟淹焉阉腌蔫墕［3］掩=眼演魇［2］延严=言岩沿研=盐阎缘筵颜檐俨［5］炎厌砚宴艳验谚堰焰雁酽燕咽
#uaŋ	
t	［1］端［3］短［5］段断缎锻躖
tʰ	［1］湍猯［2］团痰-
n	［3］暖=
l	［3］卵［2］鸾［5］乱=
k	［1］关官棺观冠鳏［3］馆管［5］观冠贯惯灌罐
kʰ	［1］宽［3］款
x	［1］欢［3］缓［2］还环桓［5］幻宦唤换患焕和{借词：～他一样；连词：我～你}
ts	［1］钻［5］钻
tsʰ	［1］氽［3］［2］攒全-{形容词，聚拢在一起的样子}［5］窜篡纂
s	［1］酸［5］蒜算
tʂ	［1］专砖［3］转［5］传转赚撰篆
tʂʰ	［1］川穿［3］喘［2］传船椽［5］串
ʂ	［1］闩栓［5］疝-涮
ʐ	［3］阮软［5］喃-
#yaŋ	
l	［2］恋-联-{对～}［5］灓{稠：～稀粥}
tɕ	［1］捐［3］卷［5］卷倦绢眷圈
tɕʰ	［3］圈犬［2］全=泉权拳颧［5］劝券
ɕ	［1］宣轩喧［3］选［2］玄悬旋横-［5］楦镟
Ø	［1］冤［3］远［2］渊元员园原圆袁援源辕［5］怨院愿
#ɔ	
p	［1］邦帮浜［3］绑榜［5］蚌傍棒谤
pʰ	［1］胮［2］膀滂庞旁螃［5］胖
m	［3］莽蟒［2］忙芒
f	［1］方芳［3］妨{~主}仿访纺［2］防肪房［5］放
t	［1］当［3］挡党［2］当铛？{滚动：～铁环}［5］当宕荡
tʰ	［1］汤［3］倘躺［2］唐堂棠塘糖溏{鸡～屎：鸡粪}螳［5］烫趟
n	［1］攮［2］嚢=
l	［3］朗［2］郎狼廊榔螂［5］浪
k	［1］刚纲缸钢光［3］冈广港岗［5］杠逛
kʰ	［1］康慷糠扛匡筐框眶=［3］抗{~膀膀}［2］狂［5］抗匟{～板石：盘匟时候最上方铺的扁平石头}况旷矿炕{口渴}
x	［1］荒慌谎［2］杭航皇黄蝗簧行防-{小～：小心}项-{～圈：月晕}［5］夯晃
ts	［1］脏{日~}怎-{～价：怎么}赃［5］脏葬
tsʰ	［1］仓苍［2］藏{～迷搂搂：捉迷藏}
s	［1］桑丧［3］嗓{～牙：臼齿}
tʂ	［1］张章樟蟑彰［3］掌涨长{～高咧}［5］丈杖仗帐胀账障
tʂʰ	［1］昌［3］厂场敞晌{后～}［2］尝长{～圆}肠场{碾～；扬～}［5］唱倡
ʂ	［1］商墒{保～}伤裳［3］赏［5］尚上
ʐ	［3］壤攘嚷{吵}穰{～柴}［2］瓤［5］让
v	［3］网［2］亡芒{麦～}王［5］旺忘望妄
#iɔ	
n	［3］仰-{圪～}［2］娘
l	［3］两［2］量{～给下}粮良梁粱凉［5］量晾谅亮
tɕ	［1］江姜将浆刚-{～～儿：刚才}豇僵缰礓疆［3］讲奖桨蒋［5］匠将降酱强{强行，勉强}
tɕʰ	［1］腔呛枪=［3］抢［2］强墙［5］呛框-眶-
ɕ	［1］乡相香厢湘箱镶［3］享响想［2］降详祥［5］相饷向巷项象像橡
Ø	［1］央殃秧［3］养痒氧疡仰=［2］秧{～歌}扬羊阳玚杨洋烊疡[［5］样漾恙泱
#eŋ	
p	［1］奔崩绷=［3］本［5］奔笨迸=蹦=锛坌
pʰ	［1］喷烹［3］捧［2］盆朋彭棚蓬篷膨硼［5］碰
m	［1］［3］懵蒙猛［2］门萌盟蒙虻［5］闷{～不心心：沉闷，不说话}孟梦
f	［1］分纷芬丰风枫封疯［3］粉讽［2］坟焚峰锋蜂冯逢缝［5］分份奋忿愤粪缝凤奉俸
t	［1］灯登蹬［3］等［2］澄{～粉：加工淀粉}［5］邓凳瞪磴{圪～～：台阶}
tʰ	［1］腾{蒸汽加热食物}［2］疼誊藤
n	［2］能脓［5］嫩
l	［3］冷［2］棱堎{有高低落差的地形，常用于村名：崔家～}龙［5］愣
k	［1］根跟更={打～}更{～改}庚耕=羹［3］哽耿［5］更艮亘
kʰ	［1］坑=吭{～气}［3］肯垦恳啃［5］吭{圪～}
x	［1］［3］狠很恨-［2］痕亨恒横=衡［5］恨哼
ts	［1］曾增榛臻争挣睁筝［5］憎锃赠缯
tsʰ	［1］碜撑=［2］秦-{～琼}层曾［5］蹭衬
s	［1］森僧生牲笙甥［3］省［5］渗瘆
tʂ	［1］贞针侦珍真斟征蒸正今-{～年}［3］诊疹振拯整［5］枕阵镇震正证郑政症
tʂʰ	［1］称［3］惩逞［2］尘臣沉辰=陈晨=丞成呈承诚城乘程澄橙娠盛撑=［5］称趁秤慎-{谨～}
ʂ	［1］申伸身深升声晨-{早～}［3］沈审婶［2］辰{时～}神绳［5］圣葚=乘肾甚胜盛剩慎=
ʐ	［1］扔=仍［3］忍［2］人仁壬任［5］刃认任韧
v	［1］温［3］稳［2］闻文蚊纹［5］问
Ø	［1］恩
#iŋ	
p	［1］宾彬槟冰兵［3］丙秉柄饼禀［5］殡鬓并病
pʰ	［2］贫频平=评凭坪=苹屏瓶萍［3］拼品［5］拼聘娉
m	［3］皿闽呡悯敏［2］抿民名明=铭鸣［5］命
t	［1］丁钉靪羝{圪～羊}［3］顶=鼎［5］钉订定锭
tʰ	［1］厅汀听廷亭［3］挺=艇铤［2］蜓庭停［5］听停{～等}
n	［2］宁凝［5］宁佞硬
l	［1］灵{日～：机灵}［3］领岭=［2］灵［5］吝赁令另
tɕ	［1］更{半夜五～}［3］仅紧谨锦禁尽颈景警［5］尽劲妗近进晋浸禁净径竞竟敬靖境静镜甑{笼～}
tɕʰ	［1］坑亲侵钦寝青轻卿氢清蜻顷［3］倾请［2］芹秦=琴禽勤擒情=晴擎涔{管～山}［5］亲吣庆磬
ɕ	［1］心辛欣锌新薪馨兴星腥［3］醒省［2］刑行形型寻［5］信衅兴杏-姓幸性讯-迅-葚-
Ø	［1］因阴姻音殷隐英莺=婴缨樱鹦鹰萦{～记：担心，挂念}窨=［3］尹引饮颖影=［2］吟寅淫银迎茔盈荥莹萤营蝇贏［5］窨-洇荫饮印映应孕用
#uŋ	
t	［1］东冬{～月}敦墩蹲［3］董懂［5］扽动冻栋洞吨囤饨沌盾钝顿遁
tʰ	［1］通［3］统捅桶筒［2］同桐铜童瞳屯豚［5］痛恸
n	［2］浓
l	［3］陇垄拢［2］胧笼聋隆伦沦轮论农龙=［5］论=弄
k	［1］弓{～箭}躬公蚣工功攻宫恭供{提～}［3］滚拱{～桥}汞巩矿={～子}［5］棍共贡
kʰ	［1］昆坤空{～虚}［3］捆啃孔恐［5］困空{～缺}控
x	［1］昏婚荤［3］哄［2］弘红宏洪虹鸿浑馄魂［5］轰哄烘混
ts	［1］宗综棕踪鬃尊遵［3］总［5］纵
tsʰ	［1］囱匆葱聪村皴［2］从丛存［5］寸
s	［1］松孙［3］损笋［2］怂［5］讼宋诵送舜颂
tʂ	［1］中终盅钟衷［3］肿种冢准［5］种仲众重
tʂʰ	［1］春冲春椿［3］充宠蠢［2］虫纯唇醇重［5］冲
