tsʰʌŋ	冲(~公)忡充匆葱聪囱憧舂=	虫重(~阳)崇从丛淙琼穷穹	宠	冲(~人)铳重(~量)仲						
sʌŋ	松淞舂-嵩兄凶汹胸匈	㞞熊雄=	耸怂悚	送宋诵颂讼						
kʌŋ	攻功恭龚躬弓公蚣宫工		巩汞拱珙肱	供贡						
kʰʌŋ	空(~手)崆倥		恐孔	空(~地)控共						
xʌŋ	轰烘哄(~动)薨	红虹弘泓宏闳竑鸿	哄(~人)擤(~气)	讧蕻哄(起~)						
ɻʌŋ	雍臃镛庸痈	茸荣嵘蓉容榕溶熔戎绒融雄-	冗勇踊蛹涌咏=泳=永=拥-	壅拥=佣用						
pəiŋ	兵宾滨槟殡傧缤鬓冰彬斌		饼丙邴炳秉禀	并柄屏-(~气)						
pʰəiŋ	拼=姘乒	平评苹枰萍坪凭瓶屏=贫频颦	品	聘病						
məiŋ		民岷珉名铭酩茗明瞑鸣	抿冥敏皿闵悯闽旻	命						
təiŋ	丁叮盯钉(~子)疔酊		顶鼎	订钉(装~)						
tʰəiŋ	厅汀听	亭停婷廷庭蜓霆	挺艇铤梃	听(~任)定锭						
ləiŋ	拎	凝-宁拧柠泞凌陵绫菱玲铃灵伶怜=零邻囹林临鳞疄嶙麟遴淋琳霖聆羚翎龄□(缝)	领岭凛	令另蔺躏吝赁=						
tsəiŋ	今矜金筋斤京惊鲸精晴菁经茎泾晶荆旌兢禁(~不起)文巾津粳=侵-		尽(~管)紧井阱颈腈景璟仅谨瑾槿锦靳	尽(~头)浸进-敬竞竟境劲胫径痉警禁(~止)襟靖=见-(看~)						
tsʰəiŋ	轻清青侵=亲(~人)钦蜻氢	勤寻-情晴禽擒噙琴擎	请顷倾寝	揿亲(~家)庆沁磬罄净静近尽(~力)烬靖						
səiŋ	心芯辛锌新薪昕欣兴(~奋)星腥惺猩鑫馨些-	行(~船)形型刑邢	醒=省(反~)擤=	姓性信兴(高~)衅悻荇杏幸						
zəiŋ	阴因姻殷茵荫瑛膺莺鹰樱音鹦英罂婴缨嘤	银淫寅萤荧萦莹营吟迎盈楹蝇赢	引蚓饮隐瘾影颖颍郢	印窨应映						
tɕyᶽŋ	军皲均钧菌君珺			镜俊进=(~步)峻浚晋骏竣隽郡						
tɕʰyᶽŋ	皴	浔荨巡-循=秦芹群裙								
ɕyᶽŋ	熏薰曛醺勋	驯旬巡=寻=询荀峋洵鲟	笋髓-榫	汛训讯迅殉						
yᶽŋ		云耘芸纭匀昀	允尹陨殒	熨-愠缊蕴运酝-晕韵孕恽						
pɐʔ					八捌					
pʰɐʔ						拔坺跋				
mɐʔ						抹				
fɐʔ					法砝珐发绂	伐垡筏阀罚				
tɐʔ					答搭嗒瘩鞑					
tʰɐʔ					塌榻搨遢沓塔㿹挞	达踏褟				
nɐʔ						纳讷钠衲捺				
lɐʔ						腊蜡刺痢辣拦-邋砬(块~子)				
tsɐʔ					匝砸咂杂扎札眨					
tsʰɐʔ					擦嚓察插	铡闸煠				
sɐʔ					撒萨飒杀铩刹煞	刷涮唰				
kɐʔ					夹挟裌荚浃甲-(指~)戛嘎					
kʰɐʔ					掐	轧(~花)揢				
ŋɐʔ					鸭押压	轧(压到，夹到)				
xɐʔ					瞎	狭匣狭-下-(一~子)				
niɐʔ						略虐疟掠				
tɕiɐʔ					觉=脚甲(~鱼)雀-橘蹶撅橛					
tɕʰiɐʔ					雀=怯鹊却确=恰爵剧屈厥	嚼绝-				
ɕiɐʔ					削峡侠穴恤谑戌	学				
iɐʔ					约	钥药岳乐(音~)				
kuɐʔ					刮括-(~弧)聒					
kʰuɐʔ					括=(~号)	卡				
xuɐʔ						滑=猾				
uɐʔ					挖	滑-袜				
pɛ̽ʔ					不					
pʰɛ̽ʔ						勃				
mɛ̽ʔ						没				
fɛ̽ʔ					佛(仿~)弗	佛(~教)				
vɛ̽ʔ						勿物核-				
tɛ̽ʔ					得德跺-(~脚)					
tʰɛ̽ʔ					掉-(丢失)	突特凸				
