"汉字"	"拼音"	"IPA"	"注释"	"廈門"	"声调"	"调值"	"编号"	""	"缺音字"
"租"	"tsoo1"	"tsɔ44"	""	""	""	""	""	""	""
"祖"	"tsoo3"	"tsɔ53"	""	""	""	""	""	""	""
"組"	"tsoo3"	"tsɔ53"	""	""	""	""	""	""	""
"做"	"tsue5"	"tsue21"	""	""	""	""	""	""	""
"做"	"tso5"	"tso21"	""	""	""	""	""	""	""
"粗"	"tshoo1"	"tsʰɔ44"	""	""	""	""	""	""	""
"醋"	"tshoo5"	"tsʰɔ21"	""	""	""	""	""	""	""
"錯"	"tsho5"	"tsʰo21"	""	""	""	""	""	""	""
"措"	"tsho5"	"tsʰo21"	"白"	""	""	""	""	""	""
"措"	"tshoo5"	"tsʰɔ21"	"文"	""	""	""	""	""	""
"厝"	"tshu5"	"tsʰu21"	""	""	""	""	""	""	""
