	富阳街道	柳家龙岩	古城秀山	莲山水寨	朝东水谷	城北马山	福利毛家	麦岭街道	朝东街道	朝东茶山	白沙黄板桥	石家街道	石家龙湾	葛坡老塘面寨	新华街道	江永桃川	富川保庆话	富川七都话	富川八都话	富川客家话	富川梧州话
字	tsɿ35	tsɿ35	tsɿ35	tsɿ35	tsɿ35	tsɿɨ24	tsɿ35	tsɿ13	tsɿ24	sɿ24	tsɿ24	tsɿ35	tsɿ24	sɿ24	tsɿ224	tsɿ13	sɿ14	tsɿ35	tsɿ45	sɿ51	si203
丝	sɿ44	sɿ44	sɿ44	sɿ44	sɿ44	sɿɨ33	sɿ44	sɿ33	sɿ44	ʂʅ33	sɿ33	sɿ44	sɿ33	sɿ33	sɿ44	sɿ44	sɿ33	sɿ52	sɿ42	sɿ24	si51
祠	tsɿ31	tsɿ31	tsɿ21	tsɿ31	tsʰɿ31	tɕʰɿɨ31	tsʰɿ31	tsʰɿ31	tsʰɿ31	sɿ31	tsʰɿ21	tsʰɿ31	tsʰɿ31	tsʰɿ31	tsʰɿ22	tsʰɿ31	sɿ213	tsɿ22	tsɿ31	tsʰɿ12	si231
寺	tsɿ35	sɿ44	sɿ35	sɿ35	tsɿ35	tɕi24	sɿ35	sɿ13	tsɿ24	sɿ31	sɿ24	tsʰɿ31	sɿ24	sɿ24	sɿ224	sɿ13	sɿ45	tsɿ35	sɿ45	sɿ51	si203
治	tsɿ35	tɕi35	tɕi35	tɕi35	tɕi35	tsɿɨ24	tɕi35	tɕiɪ13	tsɿ24	tʂʅ24	tɕi24	tsɿ35	tɕi24	ʨi24	tsɿ224	tsɿ13	tʃʅ45	tsɿ33	tsɿ33	tʃi51	tʃi503
柿	sɿ35	sɿ35	sɿ35	sɿ35	sɿ35	sɿɨ24	sɿ35	sɿ13	sɿ24	sɿ24	sɿ24	sɿ35	sɿ24	sɿ24	sɿ224	sɿ13	sɿ45	tsʰɿ33		tʃʰie51	ʃi503
事	sɿ35	sɿ35	sɿ35	sɿ35	sɿ35	sɿɨ24	sɿ35	sɿ13	sɿ24	sɿ24	sɿ24	sɿ35	sɿ24	sɿ24	sɿ224	sɿ13	sɿ45	sɿ35	sɿ24	sɿ51	si203
使	sɿ53	ɕi53	ɕi51	ɕi53	ɕi553	ɕi453	sɿ53	ɕiɪ45	ɕi55	ʂʅ51	ɕi55	ɕi55	ɕi55	sɿ53	ɕi553	sɿ45	sɿ31	sɿ24	sæ	ʃi31	sɤɛ44
试	ɕi35	ɕi35	ɕi51	ɕi35	ɕi35	ɕi24/ɕɨ35	ɕi35	ɕiɪ13	ɕi24	ʂʅ24	ɕi24	ɕi35	ɕi24	ʃʅ24	ɕi224	sɿ13	ʃʅ45	ʃɪu52	i211	ʃi51	si503
时	sɿ31	sɿ31	sɿ21	sɿ31	sɿ31	sɿɨ31	sɿ31	sɿ31	sɿ31	sɿ31	sɿ21	sɿ31	sɿ31	sɿ31	sɿ22	sɿ31	ʃʅ213	sɿ22	ʃi33	ʃi12	si231
市	sɿ35	sɿ35	sɿ35	sɿ35	sɿ35	sɿɨ24	sɿ35	sɿ13	sɿ24	sɿ24	sɿ24	sɿ35	sɿ24	sɿ24	sɿ224	sɿ13	ʃʅ45	sɿ24	sɿ31/sɿ52	sɿ51	si503
耳	ye53	yɤ53	ye51	ɘ53	yɛ553	ə453	ye53	ə45	ə55	ə51	ə55	ə55	ɤ55	ɜ53	ɤ553	ə45	ɘ31	ȵɪu42	ȵiou33	ŋi31	ɲi24
记	ki35	ki35	ki35	ki35	ki35	ʨi24	ki35	ʨiɪ13	tɕi24	tʂʅ24	ki24	ki35	ki24	ki24	ki224	tɕi13	tʃʅ45	ki52	tʃi33	ki51	ki503
棋	ki31	ki31	ki21	kʰi31	ki31	ʨʰi31	kʰi31	ʨʰiɪ31	tɕʰi31	tʂʰʅ31	kʰi21	kʰi31	kʰi31	ʨʰi31	kʰi22	tɕʰi31	ʃʅ213	ki22	tʃy31	kʰi12	ki231
喜	ɕi53	xi53	ɕi51	xi53	xi553	ɕi453	ɕi53	ɕiɪ45	ɕi55	ʂʅ51	ɕi55	ɕi55	ɕi55	ɕi53	ɕi553	ɕi45	ʃʅ31	ʃi24	ʃi112	ʃi31	ʃi44
意	i35	i35	i35	i35	i35	i24	i35	iɪ13	i24	i24	i24	i35	i24	i24	i224	i13	i45	i33	i33	i51	i503
几(~个)	ki53	ki53	ki51	ki53	ki553	ʨi453	ki53	ʨiɪ45	ʨi55	tʂʅ51	ki55	ki55	ki55	ki53	ki553	ʨi45	tʃʅ31	ki24	tʃi211	ki31	ki44
气	kʰi35	kʰi35	kʰi35	kʰi35	kʰi35	ʨʰi24	kʰi35	ʨʰiɪ13	tɕʰi24	tʂʰʅ24	kʰi24	kʰi35	kʰi24	kʰi24	kʰi224	tɕʰi13	tʃʰʅ14	kʰi33	tʃʰi33	ʃi51	ʃi503
希	ɕi44	xi44	ɕi44	xi44	xi44	ɕi33	ɕi44	ɕiɪ33	ɕi44	ʂʅ33	ɕi33	ɕi44	ɕi33	ɕi33	ɕi44	ɕi44	ʃʅ33	ʃi33	ʃi33	ʃi24	ʃi44
衣	i44	i44	i44	i44	i44	i33	i44	iɪ33	i44	i33	i33	i44	i33	i33	i44	i44	i33	ua52	oɔ52	i24	i51
嘴	tsuɛi53	tsɛi53	tsei51	tsuei53	tsei553	tsuei453	tsei53	tsue45	tseɪ55	tsei51	tsuei55	tsue55	tsuɛi55	tsuei53	tsuɛi553	tsueɪ45	tʃiɘ31	tʃi42	ȶa33	tʃɔi51	ty44
随	tsuɛi31	tsuɛi31	tsʰei21	tsuei31	tsuei31	tsuei31	suei31	tsʰue31	tsʰueɪ31	tsʰei31	suei21	tsʰue31	suɛi31	tsʰuei31	suɛi22	sueɪ31	suei213	tʃy22	tʃoɔ31	tʃʰʊi12	sy231
吹	tsʰuɛi44	tsʰuɛi44	tsʰuei44	tsʰuei44	tsʰuei44	tsʰuei33	tsʰuei44	tsʰue33	tsʰueɪ44	tsʰei33	tsʰuei33	tsʰue44	tsʰuɛi33	tsʰuei33	tsʰuɛi44	tsʰueɪ44	ʦʰuei33	tʃʰy52	tʰoɔ52	tʃʰʊi24	tʃʰy51
垂	suɛi31	tsuɛi31	tsuei21	tsʰuei31	suei31	suei31	suei31	sue31	sueɪ31	suei31	suei21	tsʰue31	suɛi31	tsʰuei31	tsʰuɛi22	sueɪ31	suei213	ʃy22	ʃoɔ31	tʃʰʊi12	suɛ231
规	kuɛi44	kuɛi44	kuei44	kuei44	kuei44	kuei33	kuei44	kue33	kueɪ44	kuei33	kuei33	kue44	kuɛi33	kuei33	kuɛi44	kueɪ44	kuei33	ky52	kuɑ52	kʊi24	kuɛ44
亏	kʰuɛi44	kʰuɛi44	kʰuei44	kʰuei44	kʰuei44	kʰuei33	kʰuei44	kʰue33	kʰueɪ44	kʰuei33	kʰuei33	kʰue44	kʰuɛi33	kʰuei33	kʰuɛi44	kʰueɪ44	kʰuei33	kʰy52	kʰuɑ52	kʰʊi24	fuɛ51
跪	kuɛi35	kuɛi35	kuei35	kuei35	kuei35	kuei24	kuei35	kue13	kueɪ24	kuei24	kuei24	kue35	kuɛi24	kuei24	kuɛi224	kʰueɪ45	kʰuei31	ky42	kuɑ33	kʰʊi31	kuɛ203
危	uɛi31	uɛi44	uei44	uei31	uei31	uei31	uei31	ue31	ueɪ31	uei31	uei33	ue31	uɛi31	uei31	uɛi44	ueɪ31	uei33	uei33	uɑ31	vʊi12	uɛ231
类	lɛi35	lɛi35	lei35	luei35	lei35	lei24	lei35	lue13	lueɪ24	luei24	luei24	le35	lɛi24	luei24	luɛi224	lueɪ13	ndɘ45	luei52	luɑ45	lʊi51	ly24
醉	tsɛi35	tsɛi35	tsei35	tsuei35	tsei35	tsuei24	tsuei35	tsue13	tsueɪ24	tsuei24	tsuei24	tsue35	tsuɛi24	tsuei24	tsuɛi224	tsueɪ13	tsuei45	tʃy33	tsuɑ33	tʃʊi51	ty503
追	tsuɛi44	tsuɛi44	tsuei44	tsuei44	tsuei44	tsuei33	tsuei44	tsue33	tsueɪ44	tsuei33	tsuei33	tsue44	tsuɛi33	tsuei33	tsuɛi44	tsueɪ44	tsuei33	y35	tʃuɑ52	tʃʊi24	tʃy51
锤	tsuɛi31	tsuɛi31	tsuei21	tsʰuei31	tsuei31	tsʰuei31	tsʰuei31	tsʰue31	tsʰueɪ31	suei31	tsʰuei21	tsʰue31	tsʰuɛi31	tsʰuei31	tsʰuɛi22	tsʰueɪ31	ʃy213	tʃy22	tʃuɑ31	tʃʰʊi12	ʃy231
水	suɛi53	suɛi53	suei51	suei53	suei553	suei453	suei53	sue45	sueɪ55	suei51	suei55	sue55	suɛi55	suei53	suɛi553	sueɪ45	ʃy31	ʃy24	suɑ112	ʃʊi31	ʃy231
龟	kuɛi44	kuɛi44	kuei44	kuei44	kuei44	kuei33	kuei44	kue33	kueɪ44	kuei33	kuei33	kue44	kuɛi33	kuei33	kuɛi44	kueɪ44	kuei33	ky52	kuɑ52	kʊi24	kuɛ44
季	ki35	ki35	ki35	ki35	ki35	ʨi24	ki35	ʨiɪ13	ʨi24	tʂʅ24	ki24	ki35	ki24	ʨi24	ki224	ʨi13	tʃʅ45	ki33	tʃi33	ki51	ki503
柜	kuɛi35	kuɛi35	kuei35	kuei35	kuei35	kuei24	kuei35	kue13	kueɪ24	kuei24	kuei24	kue35	kuɛi24	kuei24	kuɛi224	kueɪ13	kuei45	ky35	kuɑ45	kʰʊi51	kuɛ203
位	uɛi35	uɛi35	uei35	uei35	uei35	uei24	uei35	ue13	ueɪ24	uei24	uei24	ue35	uɛi24	uei24	uɛi224	ueɪ13	uei45	y35	uɑ45	vʊi51	uɛ203
飞	fɛi44	fɛi44	fei44	fei44	fei44	fei33	fei44	fe33	feɪ44	fei33	fei33	fe44	fɛi33	fei33	fɛi44	feɪ44	ɸei33	pua52	pʰoɔ52	fʊi24	pʰi51
费	fɛi35	fɛi35	fei35	fei35	fei35	fei24	fei35	fe13	feɪ24	fei24	fei24	fe35	xuɛi24	fei24	fɛi224	feɪ13	ɸei45	fuei35	fæi24	fʊi51	fi503
肥	fɛi31	fɛi31	fei21	fei31	fei31	fei31	fei31	fe31	feɪ31	fei31	fei21	fe31	fɛi31	fei31	xuɛi22	xueɪ31	ɸei213	fua22	poɔ42	pʰʊi12	pi231
尾	uɛi53	uɛi53	uei51	uei53	uei553	uei453	uei53	ue45	ueɪ55	uei51	uei55	ue55	uɛi55	uei53	uɛi553	ueɪ45	uei31	mua42	moɔ33	mʊi24	mi231
味	uɛi35	uɛi35	uei35	uei35	uei35	uei24	uei35	ue13	ueɪ24	uei24	uei24	ue35	uɛi24	uei24	uɛi224	ueɪ13	uei45	y35	uɑ45	mʊi51	mi24
鬼	kuɛi53	kuɛi53	kuei51	kuei53	kuei553	kuei453	kuei53	kue45	kueɪ55	kuei51	kuei55	kue55	kuɛi55	kuei53	kuɛi553	kueɪ45	kuei31	ky24	kuɑ211	kʊi31	kuɛ44
贵	kuɛi35	kuɛi35	kuei35	kuei35	kuei35	kuei24	kuei35	kue13	kueɪ24	kuei24	kuei24	kue35	kuɛi24	kuei24	kuɛi224	kueɪ13	kuei45	ky33	kuɑ33	kʊi51	kuɛ503
围	uɛi31	uɛi31	uei21	uei31	uei31	uei31	uei31	ue31	ueɪ31	uei31	uei21	ue31	uɛi31	uei31	uɛi22	ueɪ31	uei213	y22	uɑ31	vʊi12	uɛ231
胃	uɛi35	uɛi35	uei35	uei35	uei35	uei24	uei35	ue13	ueɪ24	uei24	uei24	ue35	uɛi24	uei24	uɛi224	ueɪ13	uei45	uei35	lɑu31	vʊi51	uɛ503
宝	pɑo53	pɔ53	pɔ51	pʌ53	pɑo553	pɑɔ453	pɔ53	pɑɔ45	pɑɔ55	pɑo51	pɑɔ55	pɔ55	pɑo55	pɑo53	pɑo553	pɑɔ45	pɑɔ31	pɤ24	poɔ211	pɑo31	po44
抱	pɑo35	pɔ35	pɔ35	pʌ35	pɑo35	pɑɔ24	pɔ35	pɑɔ13	pɑɔ24	pɑo24	pɑɔ24	pɔ35	pɑo24	pɑo24	pɑo224	pɑɔ13	poŋ14	pɤ42	pu33	pɑo51	pu231
毛	mɑo31	mɔ31	mɔ21	mʌ31	mɑo31	mɑɔ31	mɔ31	mɑɔ31	mɑɔ31	mɑo31	mɑɔ21	mɔ31	mɑo31	mɑo31	mɑo22	mɑɔ31	mɑɔ213	mɤ22	moɔ42	mɑo24	mo231
帽	mɑo35	mɔ35	mɔ35	mʌ35	mɑo35	mɑɔ24	mɔ35	mɑɔ13	mɑɔ24	mɑo24	mɑɔ24	mɔ35	mɑo24	mɑo24	mɑo224	mɑɔ13	mɑɔ33	mɤ35	moɔ45	mɑo51	mo203
刀	tɑo44	tɔ44	tɔ44	tʌ44	tɑo44	tɑɔ33	tɔ44	tɑɔ33	tɑɔ44	tɑo33	tɑɔ33	tɔ44	tɑo33	tɑo33	tɑo44	tɑɔ44	tɑɔ33	ɗɤ52	loɔ52	tɑo24	lo51
讨	tʰɑo53	tʰɔ53	tʰɔ51	tʰʌ53	tʰɑo553	tʰɑɔ453	tʰɔ53	tʰɑɔ45	tʰɑɔ55	tʰɑo51	tʰɑɔ55	tʰɔ55	tʰɑo55	tʰɑo53	tʰɑo553	tʰɑɔ45	tʰɑɔ31	tʰɤ24	tʰoɔ13	tʰɑo31	tʰu231
桃	tɑo31	tɔ31	tɔ21	tʌ31	tɑo31	tʰɑɔ31	tʰɔ31	tʰɑɔ31	tʰɑɔ31	tʰɑo31	tʰɑɔ21	tʰɔ31	tʰɑo31	tʰɑo31	tʰɑo22	tʰɑɔ31	tɑɔ213	ɗɤ22	toɔ42	tʰɑo12	to231
道	tɑo35	tɔ35	tɔ35	tʌ35	tɑo35	tɑɔ24	tɔ35	tɑɔ13	tɑɔ24	tɑo24	tɑɔ24	tɔ35	tɑo24	tɑo24	tɑo224	tɑɔ13	tɑɔ45	ɗɤ52	ɗoɔ33	tʰɑo51	lo203
脑	nɑo53	nɔ53	nɔ51	nʌ53	nɑo553	nɑɔ453	nɔ53	nɑɔ45	nɑɔ55	lɑo51	nɑɔ55	nɔ55	nɑo55	nɑo53	nɑo553	nɑɔ45	mɑɔ31	nɤ24	noɔ33	nɑo31	no231
老	lɑo53	lɔ53	lɔ51	lʌ53	lɑo553	lɑɔ453	lɔ53	lɑɔ45	lɑɔ55	lɑo51	lɑɔ55	lɔ55	lɑo55	lɑo53	lɑo553	lɑɔ45	nɑɔ31	lɤ52	loɔ33	lɑo31	lo231
早	tsɑo53	tsɔ53	tsɔ51	tsʌ53	tsɑo553	tsɑɔ453	tsɔ53	tsɑɔ45	tsɑɔ55	tsɑo51	tsɑɔ55	tsɔ55	tsɑo55	tsɑo53	tsɑo553	tsɑɔ45	tsɑɔ31	tsɤ24	tsoɔ211	tʃɑo31	to44
灶	tsɑo35	tsɔ35	tsɔ35	tsʌ35	tsɑo35	tsɑɔ24	tsɔ35	tsɑɔ13	tsɑɔ24	tsɑo24	tsɑɔ24	tsɔ35	tsɑo24	tsɑo24	tsɑo224	tsɑɔ13	tsɑɔ45	tsɤ33	tsoɔ33	tʃɑo51	to503
草	tsʰɑo53	tsʰɔ53	tsʰɔ51	tsʰʌ53	tsʰɑo553	tsʰɑɔ453	tsʰɔ53	tsʰɑɔ45	tsʰɑɔ55	tsʰɑo51	tsʰɑɔ55	tsʰɔ55	tsʰɑo55	tsʰɑo53	tsʰɑo553	tsʰɑɔ45	tsʰɑɔ31	tsʰɤ24	tsʰoɔ112	tʃʰɑo31	tʰo44
糙	tsʰɑo35	tsʰɔ35	tsʰɔ35	tsʰʌ35	tsʰɑo35	tsʰɑɔ24	tsʰɔ35	tsʰɑɔ13	tsʰɑɔ24	tsʰɑo24	tsʰɑɔ24	tsʰɔ35	tsʰɑo24	tsʰɑo53	tsʰɑo44	tsʰɑɔ13	tsʰɑɔ14	tsʰɑu52	tsʰoɔ33	tʃʰɑo51	tʰo503
造	tsɑo35	tsɔ35	tsʰɔ35	tsʌ35	tsɑo35	tsʰɑɔ24	tsɔ35	tsɑɔ13	tsʰɑɔ24	tsʰɑo24	tsɑɔ24	tsʰɔ35	tsɑo24	tsʰɑo24	tsɑo224	tsʰɑɔ13	tsʰɑɔ14	tsʰɤ33	tsʰoɔ33	tʃʰɑo51	tʃʰɑo503
嫂	sɑo53	sɔ53	sɔ51	sʌ53	sɑo553	sɑɔ453	sɔ53	sɑɔ45	sɑɔ55	sɑo51	sɑɔ55	sɔ55	sɑo55	sɑo53	sɑo553	sɑɔ45	sɑɔ31	sɑu52	soɔ211	sɑo31	so231
高	kɑo44	kɔ44	kɔ44	kʌ44	kɑo44	kɑɔ33	kɔ44	kɑɔ33	kɑɔ44	kɑo33	kɑɔ33	kɔ44	kɑo33	kɑo33	kɑo44	kɑɔ44	kɑɔ33	kɤ52	koɔ52	kɑo24	ko51
靠	kʰɑo35	kʰɔ35	kʰɔ35	kʰʌ35	kʰɑo35	kʰɑɔ24	kʰɔ35	kʰɑɔ13	kʰɑɔ24	kʰɑo24	kʰɑɔ24	kʰɔ35	kʰɑo24	kʰɑo24	kʰɑo224	kʰɑɔ13	kʰɑɔ14	kʰɤ33	kʰoɔ33	kʰɑo51	hɑo503
熬	ŋɑo31	ŋɔ31	ŋɔ21	ŋʌ31	ŋɑo31	ŋɑɔ33	ŋɔ31	ŋɑɔ31	ŋɑɔ31	ŋɑo31	ŋɑɔ21	ŋɔ44	ŋɑo31	ŋɑo31	ɑo22	ŋɑɔ31	ɑɔ213	ŋɤ22/lɤ22	ŋoɔ42	ɑo12	ŋo231
好(~坏)	xɑo53	xɔ53	xɔ51	xʌ53	xɑo553	xɑɔ453	xɔ53	xɑɔ45	xɑɔ55	xɑo51	xɑɔ55	xɔ55	xɑo55	xɑo53	xɑo553	xɑɔ45	xɑɔ31	hɤ24	hoɔ112	hɑo31	ho44
号(名)	xɑo35	xɔ35	xɔ35	xʌ35	xɑo35	xɑɔ24	xɔ35	xɑɔ13	xɑɔ24	xɑo24	xɑɔ24	xɔ35	xɑo24	xɑo24	xɑo224	xɑɔ13	xɑɔ14	hɤ35	hoɔ45	hɑo51	ɦɑo24
包	pɑo44	pɔ44	pɔ44	pʌ44	pɑo44	pɑɔ33	pɔ44	pɑɔ33	pɑɔ44	pɑo33	pɑɔ33	pɔ44	pɑo33	pɑo33	pɑo44	pɑɔ44	pɑɔ33	pɪu52	ȶɔu52	pɑo24	pɑo51
饱	pɑo53	pɔ53	pɔ51	pʌ53	pɑo553	pɑɔ453	pɔ53	pɑɔ45	pɑɔ55	pɑo51	pɑɔ55	pɔ55	pɑo55	pɑo53	pɑo553	pɑɔ45	pɑɔ31	pɪu24	piɔu211	pɑo31	pɑo44
炮	pʰɑo35	pʰɔ35	pʰɔ35	pʰʌ35	pʰɑo35	pʰɑɔ24	pʰɔ35	pʰɑɔ13	pʰɑɔ24	pʰɑo24	pʰɑɔ24	pʰɔ35	pʰɑo24	pʰɑo24	pʰɑo224	pʰɑɔ13	pʰɑɔ14	pʰɪu33	pʰiɔu33	pʰɑo51	pʰɑo503
猫	mɑo44	mɔ44	mɔ44	mʌ44	mɑo44	mɑɔ33	mɔ44	mɑɔ33	mɑɔ44	mɑo33	mɑɔ33	mɔ44	mɑo33	mɑo33	mɑo44	mɑɔ44	mɑɔ33	mɪu33	miɔu42	miɑo51	mɑo203
闹	nɑo35	nɔ35	nɔ35	nʌ35	nɑo35	nɑɔ24	nɔ35	nɑɔ13	nɑɔ24	lɑo24	nɑɔ24	nɔ35	nɑo24	nɑo24	nɑo224	nɑɔ13	lɑɔ45	nəu35	nɤɯ45	nɑo51	no203
罩	tsɑo35	tsɔ35	tsɔ35	tsʌ35	tsɑo35	tsɑɔ24	tsɔ35	tsɑɔ13	tsɑɔ24	tsɑo24	tsɑɔ24	tsɔ35	tsɑo24	tsɑo24	tsɑo224	tsɑɔ13	tsɑɔ45	tsɑu35	tsoɔ33	tʃɑo51	tʃɑo503
抓	tsua44	tsuɑ44	tsuɑ44	tsuɑ44	tsuɑ44	tsuɑ33	tsuɑ44	tsuɑ33	tsuɑ44	tsuɑ33	tsuɑ33	tsuɑ44	tsuɑ33	tsuɑ33	tsua44	tsuɑ44	yɑ31	tsəu55	tsɤɯ14	tʃa24	tʃia51
找(~零钱)	tsɑo53	tsɔ53	tsɔ51	tsʌ53	tsɑo553	tsɑɔ453	tsɔ53	tsɑɔ45	tsɑɔ55	tsɑo51	tsɑɔ55	tsɔ55	tsɑo55	tsɑo53	tsɑo553	tsɑɔ45	tsɑɔ31	tsʰəu52	tæi241	tʃɑo31	tʰɤɛ44
抄	tsʰɑo44	tsʰɔ44	tsʰɔ44	tsʰʌ44	tsʰɑo44	tsʰɑɔ33	tsʰɔ44	tsʰɑɔ33	tsʰɑɔ44	tsʰɑo33	tsʰɑɔ33	tsʰɔ53	tsʰɑo33	tsʰɑo33	tsʰɑo44	tsʰɑɔ44	tsʰɑɔ33		tsʰɔu52	tʃʰɑo24	tʃʰɑo51
交	kiɑo44	kiɔ44	kiɑɔ44	kiʌ44	kiɑo44	ʨiɑɔ33	kiɔ44	ʨiɑɔ33	ʨiɑɔ44	tɕiɑo33	kiɑɔ33	kiɔ44	kiɑo33	ʨiɑo33	kiɑo44	ʨiɑɔ44	tʃiɘ33	kɪu52	ȶɤɯ42	kʰɑo24	kɑo51
敲	kʰɑo44	kʰɔ44	kʰɔ44	kʰʌ44	kʰɑo44	kʰɑɔ33	tɕʰiɔ44	kʰɑɔ33	kʰɑɔ44	kʰɑo33	kʰɑɔ33	kʰɔ44	kʰɑo33	tɕʰiɑo33	kʰɑo44	tɕʰiɑɔ44	tʃʰiɘ33	kʰɤ33	kʰɔu42	kʰɑo24	kʰɑo51
孝	ɕiɑo35	xiɔ35	ɕiɑɔ35	xiʌ35	xiɑo35	ɕiɑɔ24	ɕiɔ35	ɕiɑɔ13	ɕiɑɔ24	ɕiɑo24	ɕiɑɔ24	ɕiɔ35	ɕiɑo24	ɕiɑo24	ɕiɑo224	ɕiɑɔ13	ʃiɘ45	ʃɪu52	ʃiɤɯ211	hɑo51	hɑo503
校(学~)	ɕiɑo35	xiɔ35	ɕiɑɔ35	xiʌ35	ɕiɑo35	ɕiɑɔ24	ɕiɔ35	ɕiɑɔ13	ɕiɑɔ24	ɕiɑo24	ɕiɑɔ24	ɕiɔ35	ɕiɑo24	ɕiɑo24	ɕiɑo224	ɕiɑɔ13	ʃiɘ45	ʃiau35	ʃiɤɯ33	kɑo31	hɑo503
表(手~)	piɑo53	piɔ53	piɑɔ51	piʌ53	piɑo553	piɑɔ453	piɔ53	piɑɔ45	piɑɔ55	piɑo51	piɑɔ55	piɔ55	piɑo55	piɑo53	piɑo553	piɑɔ45	piɘ31	puei24	piɤɯ112	piɑo31	piu44
票	pʰiɑo35	pʰiɔ35	pʰiɑɔ35	pʰiʌ35	pʰiɑo35	pʰiɑɔ24	pʰiɔ35	pʰiɑɔ13	pʰiɑɔ24	pʰiɑo24	pʰiɑɔ24	pʰiɔ35	pʰiɑo24	pʰiɑo24	pʰiɑo224	pʰiɑɔ13	pʰiɘ14	pʰɪu33	pʰiɤɯ33	pʰiɑo51	pʰiu503
庙	miɑo35	miɔ35	miɑɔ35	miʌ35	miɑo35	miɑɔ24	miɔ35	miɑɔ13	miɑɔ24	miɑo24	miɑɔ24	miɔ35	miɑo24	miɑo24	miɑo224	miɑɔ13	miɘ33	miau35	miɤɯ45	miɑo51	miu203
焦	tɕiɑo44	ʨiɔ44	kiɑɔ44	kiʌ44	tɕiɑo44	tɕiɑɔ33	tɕiɔ44	tɕiɑɔ33	tɕiɑɔ44	tɕiɑo33	tɕiɑɔ33	tɕiɔ44	tɕiɑo33	tɕiɑo33	ʨiɑo44	tɕiɑɔ44	tʃiɘ33	kɪu52	lɤɯ31	tʃiɑo24	tiu51
小	ɕiɑo53	ɕiɔ53	ɕiɑɔ51	ɕiʌ53	ɕiɑo553	ɕiɑɔ453	ɕiɔ53	ɕiɑɔ45	ɕiɑɔ55	ɕiɑo51	ɕiɑɔ55	ɕiɔ55	ɕiɑo55	ɕiɑo53	ɕiɑo553	ɕiɑɔ45	ʃʅ45	ʃiau52	ʃiɤɯ211	siɑo31	siu231
笑	ɕiɑo35	ɕiɔ35	ɕiɑɔ35	ɕiʌ35	ɕiɑo35	ɕiɑɔ24	ɕiɔ35	ɕiɑɔ13	ɕiɑɔ24	ɕiɑo24	ɕiɑɔ24	ɕiɔ35	ɕiɑo24	ɕiɑo24	ɕiɑo224	ɕiɑɔ13	ʃiɘ45	suei33	ʃiɤɯ33	siɑo51	siu503
朝(~代)	tsɑo31	tsɔ31	tsɔ21	tsʰʌ31	tsɑo31	tsʰɑɔ31	tsʰɔ31	tsʰɑɔ31	tɕʰiɑɔ31	tɕʰiɑo31	tsʰɑɔ21	tsʰɔ31	tsʰɑo31	tsʰɑo31	tsʰɑo22	tɕʰiɑɔ31	ʃiɘ213	tʃi22	ȶɤɯ42	tʃʰɑo12	siu231
照	tsɑo35	tsɔ35	tsɔ35	tsʌ35	tsɑo35	tsɑɔ24	tsɔ35	tsɑɔ13	tɕiɑɔ24	tɕiɑo24	tsɑɔ24	tsɔ35	tsɑo24	tsɑo24	tsɑo224	tɕiɑɔ13	tʃiɘ45	tʃi33	ȶɤɯ33	tʃɑo51	tʃiu503
烧	sɑo44	sɔ44	sɔ44	sʌ44	sɑo44	sɑɔ33	sɔ44	ɕiɑɔ33	ɕiɑɔ44	ɕiɑo33	sɑɔ33	sɔ44	sɑo33	sɑo33	sɑo44	ɕiɑɔ44	ʃiɘ33	ʃi52	ʃiɤɯ52	ʃɑo24	siu51
绕(~线)	kiɑo53	iɔ53	iɑɔ35	iʌ53	kiɑo553	ȵiɑɔ453	iɔ53	iɑɔ45	iɑɔ55	iɑo51	iɑɔ55	iɔ55	iɑo55	iɑo53	iɑo553	iɑɔ45	iɘ31	li33	iɤɯ42	iɑo31	iɑo231
桥	kiɑo31	kiɔ31	kiɑɔ21	kiʌ31	kiɑo31	ʨʰiɑɔ31	kiɔ31	ʨʰiɑɔ31	ʨʰiɑɔ31	ʨʰiɑo31	kʰiɑɔ21	ʨʰiɔ31	kʰiɑo31	ʨʰiɑo31	kʰiɑo22	ʨʰiɑɔ31	ʃiɘ213	ki22	ȶɤɯ42	kʰiɑo12	kiu231
轿	kiɑo35	kiɔ35	kiɑɔ35	kiʌ35	kiɑo35	ʨiɑɔ24	kiɔ35	ʨiɑɔ13	ʨiɑɔ24	ʨiɑo24	kiɑɔ24	kiɔ35	kiɑo24	ʨiɑo24	kiɑo224	ʨiɑɔ13	ʃiɘ14	ki35	ȶɤɯ45	kʰiɑo51	kiu203
腰	iɑo44	iɔ44	iɑɔ44	iʌ44	iɑo44	iɑɔ33	iɔ44	iɑɔ33	iɑɔ44	iɑo33	iɑɔ33	iɔ44	iɑo33	iɑo33	iɑo44	iɑɔ44	iɘ33	i52	iɤɯ42	iɑo24	iu51
要(重~)	iɑo35	iɔ35	iɑɔ35	iʌ35	iɑo35	iɑɔ24	iɔ35	iɑɔ13	iɑɔ24	iɑo24	iɑɔ24	iɔ35	iɑo24	iɑo24	iɑo224	iɑɔ13	iɘ45	ni35	ȵi45	ɔi51	iu503
摇	iɑo31	iɔ31	iɑɔ21	iʌ31	iɑo31	iɑɔ31	iɔ31	iɑɔ31	iɑɔ31	iɑo31	iɑɔ21	iɔ31	iɑo31	iɑo31	iɑo22	niɑɔ45	iɘ213	nɤ22	iɤɯ31	iɑo12	ŋo231
