漢字	聲部	韻部	調類	聲-值	韻-值	調-值	釋義
穰	日	張	陽平	ɲ	œŋ	2	多也豐也
粮	來	張	陽平	l	œŋ	2	同上(錢糧又穀食也糗黍也)
粱	來	張	陽平	l	œŋ	2	穀名
糧	來	張	陽平	l	œŋ	2	錢糧又穀食也糗黍也
羊	以	張	陽平	j	œŋ	2	柔毛之獸
翔	清	張	陽平	tsʰ	œŋ	2	翺翔飛也
腸	穿	張	陽平	tʃʰ	œŋ	2	腸臟
良	來	張	陽平	l	œŋ	2	良善賢良
萇	穿	張	陽平	tʃʰ	œŋ	2	萇楚今羊桃也
薔	清	張	陽平	tsʰ	œŋ	2	薔薇花名
裳	審	張	陽平	ʃ	œŋ	2	下服
詳	清	張	陽平	tsʰ	œŋ	2	詳備詳悉細密也
踉	來	張	陽平	l	œŋ	2	䠙踉欲行貌又跳踉勇躍貌
量	來	張	陽平	l	œŋ	2	酌量商量度也則也
量	來	張	陽去	l	œŋ	6	度量限量
長	穿	張	陽平	tʃʰ	œŋ	2	長久永遠也
長	照	張	陰上	tʃ	œŋ	3	尊也大也
陽	以	張	陽平	j	œŋ	2	陰陽又剛明也
颺	以	張	陽平	j	œŋ	2	飄也發也
鱨	審	張	陽平	ʃ	œŋ	2	魚名
㒳	來	張	陰上	l	œŋ	3	同上(十錢曰兩)
享	曉	張	陰上	h	œŋ	3	享福又鑒也受也獻也
兩	來	張	陰上	l	œŋ	3	十錢曰兩
兩	來	張	陽上	l	œŋ	4	二車二輪謂之兩
响	曉	張	陰上	h	œŋ	3	同上(聲音也)
嚮	曉	張	陰上	h	œŋ	3	影響又音向
怏	以	張	陰上	j	œŋ	3	怏怏不樂懟也不服也情不滿足也
想	心	張	陰上	s	œŋ	3	思想意度也
掌	照	張	陰上	tʃ	œŋ	3	手掌又主也掌握掌管又鞅掌失容也
晌	曉	張	陰上	h	œŋ	3	晌午又半晌
槳	精	張	陰上	ts	œŋ	3	船槳
獎	精	張	陰上	ts	œŋ	3	褒獎勸也勵也稱舉也
珦	曉	張	陰上	h	œŋ	3	玉名
蔣	精	張	陰上	ts	œŋ	3	地名周公子封子于蔣後遂爲姓
蠁	曉	張	陰上	h	œŋ	3	知聲蟲也又盼蠁盛作也
賞	審	張	陰上	ʃ	œŋ	3	賜也酬也又嘉也
鞅	以	張	陰上	j	œŋ	3	馬駕具在腹曰鞅又王事掌鞅所以拘物言爲王事所拘也
響	曉	張	陰上	h	œŋ	3	聲音也
餉	曉	張	陰上	h	œŋ	3	糧餉兵餉又饋饁也白野之野曰餉
饗	曉	張	陰上	h	œŋ	3	與享同又鄉人飲酒又祭而神歆之也
饟	曉	張	陰上	h	œŋ	3	古餉字
上	審	張	陽上	ʃ	œŋ	4	深仰切登也升也
上	審	張	陽去	ʃ	œŋ	6	尊也君也太上又上下極尊之稱
両	來	張	陽上	l	œŋ	4	久也
仰	日	張	陽上	ɲ	œŋ	4	舉首望也
卬	日	張	陽上	ɲ	œŋ	4	同上(舉首望也)
卬	我	剛	陽平	ŋ	ɔŋ	2	我也
癢	以	張	陽上	j	œŋ	4	痛癢
襁	溪	張	陽上	kʰ	œŋ	4	襁褓織縷爲之以負小兒於背者
輛	來	張	陽上	l	œŋ	4	同上(二車二輪謂之兩)
鏹	溪	張	陽上	kʰ	œŋ	4	錢貫
養	以	張	陽上	j	œŋ	4	育也畜也
養	以	張	陽去	j	œŋ	6	供也下奉上也
魎	來	張	陽上	l	œŋ	4	魍魎山川精怪之物
向	曉	張	陰去	h	œŋ	5	對也又前日也
唱	穿	張	陰去	tʃʰ	œŋ	5	歌唱
帳	照	張	陰去	tʃ	œŋ	5	帷幕也
悵	照	張	陰去	tʃ	œŋ	5	惆悵
暢	穿	張	陰去	tʃʰ	œŋ	5	遂也通也達也
曏	曉	張	陰去	h	œŋ	5	往時也又不久也若言適來也又朋也
涱	照	張	陰去	tʃ	œŋ	5	同上(大水貌又水泛濫)
漲	照	張	陰去	tʃ	œŋ	5	大水貌又水泛濫
瘴	照	張	陰去	tʃ	œŋ	5	瘴癘熱病
脹	照	張	陰去	tʃ	œŋ	5	滿也
脹	照	張	陰去	tʃ	œŋ	5	臚脹
賬	照	張	陰去	tʃ	œŋ	5	賬目
醬	精	張	陰去	ts	œŋ	5	醢也肉醬謂之醢又豉醬
障	照	張	陰去	tʃ	œŋ	5	隔也蔽也塞也
韔	穿	張	陰去	tʃʰ	œŋ	5	弓囊也
鬯	穿	張	陰去	tʃʰ	œŋ	5	用秬黍爲酒以香草和之爲鬯
丈	照	張	陽去	tʃ	œŋ	6	十尺曰丈又大丈夫
亮	來	張	陽去	l	œŋ	6	信也明也又佐也
仗	照	張	陽去	tʃ	œŋ	6	兵器刀劍總名又儀衛曰仗又倚仗憑依也
像	精	張	陽去	ts	œŋ	6	形像又倣模也
匠	精	張	陽去	ts	œŋ	6	工匠
尚	審	張	陽去	ʃ	œŋ	6	上也加也主也學尚高尚猶尚庶幾也
恙	日	張	陽去	ɲ	œŋ	6	憂也病也
杖	照	張	陽去	tʃ	œŋ	6	梃也
樣	以	張	陽去	j	œŋ	6	模樣式也
漾	以	張	陽去	j	œŋ	6	水名又水搖動貌
瀁	以	張	陽去	j	œŋ	6	水溢蕩也
諒	來	張	陽去	l	œŋ	6	信也照察又小信也
讓	日	張	陽去	ɲ	œŋ	6	謙遜也
象	精	張	陽去	ts	œŋ	6	獸名又似也
釀	日	張	陽去	ɲ	œŋ	6	醞酒也
𠐒	以	張	陽去	j	œŋ	6	飲食奉𠐒也
㧻	端	張入	陰入	t	œk	7	擊也
倬	穿	張入	陰入	tʃʰ	œk	7	著也大也詩倬彼雲漢
削	心	張入	陰入	s	œk	7	刮削刻削侵削又奪也
勺	照	張入	陰入	tʃ	œk	7	挹取也
卓	穿	張入	陰入	tʃʰ	œk	7	特立也高也遠也望也
却	溪	張入	陰入	kʰ	œk	7	退也止也不受也
卻	溪	張入	陰入	kʰ	œk	7	同上(退也止也不受也)
啄	端	張入	陰入	t	œk	7	鳥食也敲門謂之剝啄
妁	照	張入	陰入	tʃ	œk	7	媒妁
屩	見	張入	陰入	k	œk	7	麻曰屩木曰屐履也
捉	照	張入	陰入	tʃ	œk	7	捕也搦也
斫	照	張入	陰入	tʃ	œk	7	斬截也
斲	端	張入	陰入	t	œk	7	斬也
杓	照	張入	陰入	tʃ	œk	7	杯杓
杓	審	張入	陽入	ʃ	œk	8	常若切木杓
椓	端	張入	陰入	t	œk	7	打杙聲也
涿	端	張入	陰入	t	œk	7	滴下流也又擊也
瀹	以	張入	陰入	j	œk	7	疏通也
灼	照	張入	陰入	tʃ	œk	7	燒也炙也昭也又灼灼華盛貌
爵	精	張入	陰入	ts	œk	7	鳥名又酒爵又爵祿
琢	端	張入	陰入	t	œk	7	雕琢又治也
禚	照	張入	陰入	tʃ	œk	7	齊地
禴	以	張入	陰入	j	œk	7	祭名夏祭曰禴
籥	以	張入	陰入	j	œk	7	樂器似笛三孔
籲	以	張入	陰入	j	œk	7	呼籲
約	以	張入	陰入	j	œk	7	簡約儉約又約信
綽	穿	張入	陰入	tʃʰ	œk	7	寬也緩也
脚	見	張入	陰入	k	œk	7	足也
芍	照	張入	陰入	tʃ	œk	7	芍藥花名
謔	以	張入	陰入	j	œk	7	諧謔戲謔
蹻	見	張入	陰入	k	œk	7	舉足貌又大盜名
躍	以	張入	陰入	j	œk	7	跳躍超躍踴躍
酌	照	張入	陰入	tʃ	œk	7	注也斟也益也挹取也沽也又參酌審擇量度也
鑠	以	張入	陰入	j	œk	7	以火銷金之名
鑰	以	張入	陰入	j	œk	7	鎖鑰
雀	精	張入	陰入	ts	œk	7	孔雀又小鳥亦曰雀
鵲	清	張入	陰入	tsʰ	œk	7	喜鵲
嚼	精	張入	陽入	ts	œk	8	咀嚼咬嚼
弱	日	張入	陽入	ɲ	œk	8	柔弱軟弱懦也劣也又年二是曰弱冠
掠	來	張入	陽入	l	œk	8	劫掠搶掠奪也
爝	精	張入	陽入	ts	œk	8	炬火也
爝	精	朝	陰去	ts	iu	5	爝炬火也莊子曰爝火不息也音爵
略	來	張入	陽入	l	œk	8	同上(簡略忽略少也又韜略謀也)
畧	來	張入	陽入	l	œk	8	簡略忽略少也又韜略謀也
瘧	日	張入	陽入	ɲ	œk	8	寒疾
皭	精	張入	陽入	ts	œk	8	白色又疏淨也
若	日	張入	陽入	ɲ	œk	8	如也汝也
蒻	日	張入	陽入	ɲ	œk	8	菜名
藥	以	張入	陽入	j	œk	8	治病之物
虐	日	張入	陽入	ɲ	œk	8	暴虐酷虐殘虐苛也
鄀	日	張入	陽入	ɲ	œk	8	秦晉界邊小國又楚邑名
䱽	清	剛	陰平	tsʰ	ɔŋ	1	魚名
亢	溪	剛	陰平	kʰ	ɔŋ	1	人頸也又人名陳亢
亢	溪	剛	陰去	kʰ	ɔŋ	5	過高不肯屈也又亢陽早也
倉	清	剛	陰平	tsʰ	ɔŋ	1	倉𢊬藏谷之所又倉皇言懼也
光	古	剛	陰平	kʷ	ɔŋ	1	明也
剛	見	剛	陰平	k	ɔŋ	1	強也堅也勇也
劻	曉	剛	陰平	h	ɔŋ	1	劻勷助也
匡	曉	剛	陰平	h	ɔŋ	1	匡正匡救又助也
喪	心	剛	陰平	s	ɔŋ	1	凶服
喪	心	剛	陰去	s	ɔŋ	5	死喪又失也亡也
坊	非	剛	陰平	f	ɔŋ	1	邑里之名
垹	幫	剛	陰平	p	ɔŋ	1	土精也形如掌在土中食之無病
妝	照	剛	陰平	tʃ	ɔŋ	1	同上(粧飾又嫁粧)
妨	非	剛	陰平	f	ɔŋ	1	害也憚也
尪	云	剛	陰平	w	ɔŋ	1	曲頸也僂也弱也矩小也又瘠病之人
岡	見	剛	陰平	k	ɔŋ	1	同上(山崗)
崗	見	剛	陰平	k	ɔŋ	1	山崗
幇	幫	剛	陰平	p	ɔŋ	1	附也吩也
幫	幫	剛	陰平	p	ɔŋ	1	襯貼也
庄	照	剛	陰平	tʃ	ɔŋ	1	田庄
康	曉	剛	陰平	h	ɔŋ	1	安也和也樂也
慌	非	剛	陰平	f	ɔŋ	1	驚慌又慌忽也
扛	見	剛	陰平	k	ɔŋ	1	扛擡
挷	幫	剛	陰平	p	ɔŋ	1	笞也打也
方	非	剛	陰平	f	ɔŋ	1	方正方術方法量也矩也類也且也有也又四方又方圓
杠	見	剛	陰平	k	ɔŋ	1	旂竿又橋也
杠	見	剛	陰去	k	ɔŋ	5	木棍
枋	非	剛	陰平	f	ɔŋ	1	木枋門枋
桄	古	剛	陰平	kʷ	ɔŋ	1	桄榔木名
桑	心	剛	陰平	s	ɔŋ	1	木名可以養蠶
樁	照	剛	陰平	tʃ	ɔŋ	1	松樁
江	見	剛	陰平	k	ɔŋ	1	大河曰江
汪	云	剛	陰平	w	ɔŋ	1	深廣貌
洸	古	剛	陰平	kʷ	ɔŋ	1	武勇貌
湯	透	剛	陰平	tʰ	ɔŋ	1	商王號又熟水曰湯
滂	滂	剛	陰平	pʰ	ɔŋ	1	滂沱大雨也沛也渥也
滄	清	剛	陰平	tsʰ	ɔŋ	1	滄浪水名又滄海也
牂	精	剛	陰平	ts	ɔŋ	1	母羊也
瑲	清	剛	陰平	tsʰ	ɔŋ	1	玉名
璫	端	剛	陰平	t	ɔŋ	1	玎璫響聲
當	端	剛	陰平	t	ɔŋ	1	理合如此也承也值也又敵也抵也
當	端	剛	陰去	t	ɔŋ	5	合也中也又典當
瘡	穿	剛	陰平	tʃʰ	ɔŋ	1	瘡疾傷也
眶	曉	剛	陰平	h	ɔŋ	1	目眶也
祊	非	剛	陰平	f	ɔŋ	1	廟門内也
穅	曉	剛	陰平	h	ɔŋ	1	同上(米皮)
筐	曉	剛	陰平	h	ɔŋ	1	竹器方者
箜	曉	剛	陰平	h	ɔŋ	1	箜篌樂器
粧	照	剛	陰平	tʃ	ɔŋ	1	粧飾又嫁粧
糠	曉	剛	陰平	h	ɔŋ	1	米皮
綱	見	剛	陰平	k	ɔŋ	1	大綱又綱常
缸	見	剛	陰平	k	ɔŋ	1	缸
罡	見	剛	陰平	k	ɔŋ	1	天罡星名
羫	曉	剛	陰平	h	ɔŋ	1	同上(腔調又骨體曰腔)
肓	非	剛	陰平	f	ɔŋ	1	膏肓心之上鬲之下也
肪	非	剛	陰平	f	ɔŋ	1	脂也
胱	古	剛	陰平	kʷ	ɔŋ	1	膀胱
腔	曉	剛	陰平	h	ɔŋ	1	腔調又骨體曰腔
臧	精	剛	陰平	ts	ɔŋ	1	善也厚也又奴婢曰臧獲
芳	非	剛	陰平	f	ɔŋ	1	芬芳香草
荒	非	剛	陰平	f	ɔŋ	1	荒蕪荒廢大也遠也
莊	照	剛	陰平	tʃ	ɔŋ	1	端嚴也敬也威也又齊莊
蒼	清	剛	陰平	tsʰ	ɔŋ	1	青色又蒼天
衁	非	剛	陰平	f	ɔŋ	1	血也
裝	照	剛	陰平	tʃ	ɔŋ	1	裝束整飾也又嫁裝又行裝
誆	曉	剛	陰平	h	ɔŋ	1	誆騙謬言相騙也
賍	精	剛	陰平	ts	ɔŋ	1	同上(非理而得財物曰贓官之貪者曰贓官)
贓	精	剛	陰平	ts	ɔŋ	1	非理而得財物曰贓官之貪者曰贓官
邦	幫	剛	陰平	p	ɔŋ	1	邦國
釭	見	剛	陰平	k	ɔŋ	1	燈曰銀釭
鋼	見	剛	陰平	k	ɔŋ	1	堅鐵
鐺	端	剛	陰平	t	ɔŋ	1	鐵器
雱	滂	剛	陰平	pʰ	ɔŋ	1	雪盛貌
霶	滂	剛	陰平	pʰ	ɔŋ	1	雨大貌
鞤	幫	剛	陰平	p	ɔŋ	1	鞋革皮㬹
𥡃	非	剛	陰平	f	ɔŋ	1	瓜果不熟
𨧜	幫	剛	陰平	p	ɔŋ	1	鋤田之器
𩢼	曉	剛	陰平	h	ɔŋ	1	同上(誆騙謬言相騙也)
㾮	云	剛	陽平	w	ɔŋ	2	同上(瘟疫之病)
䭹	我	剛	陽平	ŋ	ɔŋ	2	馬之怒驚也
亡	明	剛	陽平	m	ɔŋ	2	死亡滅亡失亡逃亡
傍	滂	剛	陽平	pʰ	ɔŋ	2	與旁同又白旺切
傍	幫	剛	陽去	p	ɔŋ	6	白巷切依傍
傏	透	剛	陽平	tʰ	ɔŋ	2	傏突不遜順也
凰	云	剛	陽平	w	ɔŋ	2	鳳凰
厖	滂	剛	陽平	pʰ	ɔŋ	2	大也厚也
唐	透	剛	陽平	tʰ	ɔŋ	2	國名又荒唐言廣也又姓
喤	云	剛	陽平	w	ɔŋ	2	小兒啼聲
囊	泥	剛	陽平	n	ɔŋ	2	布囊
堂	透	剛	陽平	tʰ	ɔŋ	2	殿也正寢也又堂堂容貌
塘	透	剛	陽平	tʰ	ɔŋ	2	池沼也
尨	滂	剛	陽平	pʰ	ɔŋ	2	犬之多尾者
床	穿	剛	陽平	tʃʰ	ɔŋ	2	臥榻
廊	來	剛	陽平	l	ɔŋ	2	廡也又岩廊高屋也
忘	明	剛	陽平	m	ɔŋ	2	遺忘忽忘忘記
忙	明	剛	陽平	m	ɔŋ	2	怖也心迫也又忽忙
恾	明	剛	陽平	m	ɔŋ	2	慌恾
惶	云	剛	陽平	w	ɔŋ	2	佈也恐也懼也
房	非	剛	陽平	f	ɔŋ	2	房屋又宿名
搪	透	剛	陽平	tʰ	ɔŋ	2	同上(傏突不遜順也)
旁	滂	剛	陽平	pʰ	ɔŋ	2	邊也側也
昂	我	剛	陽平	ŋ	ɔŋ	2	舉也高也又軒昂順昂
杭	曉	剛	陽平	h	ɔŋ	2	州名
棠	透	剛	陽平	tʰ	ɔŋ	2	棠名
榔	來	剛	陽平	l	ɔŋ	2	檳榔
浪	來	剛	陽平	l	ɔŋ	2	滄浪水名
浪	來	剛	陽去	l	ɔŋ	6	波浪又孟浪
湟	云	剛	陽平	w	ɔŋ	2	水名出金城又潏湟神名
潢	云	剛	陽平	w	ɔŋ	2	積水池又潢汙行潦之水又天子同宗曰天潢之派
煌	云	剛	陽平	w	ɔŋ	2	烄耀光對
牀	穿	剛	陽平	tʃʰ	ɔŋ	2	同上(臥榻)
狂	困	剛	陽平	kʷʰ	ɔŋ	2	志大言大又狂躁也
狼	來	剛	陽平	l	ɔŋ	2	豺狼又古用狼糞燒烟曰狼烟又狼藉言多也
王	云	剛	陽平	w	ɔŋ	2	君也主也天下歸往謂之王
王	云	剛	陽去	w	ɔŋ	6	天下歸往謂之王
瑯	來	剛	陽平	l	ɔŋ	2	玵瑯玉名
璜	云	剛	陽平	w	ɔŋ	2	玉璜半璧也
癀	云	剛	陽平	w	ɔŋ	2	瘟疫之病
皇	云	剛	陽平	w	ɔŋ	2	皇帝
磅	滂	剛	陽平	pʰ	ɔŋ	2	磅磄言無行不到也
磺	云	剛	陽平	w	ɔŋ	2	硫磺
稂	來	剛	陽平	l	ɔŋ	2	稂莠害苗之草
筤	來	剛	陽平	l	ɔŋ	2	倉筤幼竹也
篁	云	剛	陽平	w	ɔŋ	2	竹器
簧	云	剛	陽平	w	ɔŋ	2	笙簧樂器
糖	透	剛	陽平	tʰ	ɔŋ	2	甜物
膀	滂	剛	陽平	pʰ	ɔŋ	2	膀胱
膛	透	剛	陽平	tʰ	ɔŋ	2	胸膛
航	曉	剛	陽平	h	ɔŋ	2	船名慈航
芒	明	剛	陽平	m	ɔŋ	2	草之利也芒刺也又心迫也罷倦也
茫	明	剛	陽平	m	ɔŋ	2	渺茫水之廣遠
藏	清	剛	陽平	tsʰ	ɔŋ	2	匿也隱也蓄也
藏	精	剛	陽去	ts	ɔŋ	6	收貨財處曰藏又過貪曰無盡藏
蜋	來	剛	陽平	l	ɔŋ	2	螳蜋蟲名
蝗	云	剛	陽平	w	ɔŋ	2	食禾之蟲
蝱	明	剛	陽平	m	ɔŋ	2	藥名
螗	透	剛	陽平	tʰ	ɔŋ	2	蟬也
螳	透	剛	陽平	tʰ	ɔŋ	2	螳蜋蟲名
行	曉	剛	陽平	h	ɔŋ	2	行列
行	曉	登	陽平	h	ɐŋ	2	行步踐也履也
行	曉	登	陽去	h	ɐŋ	6	德行又身之所行爲也
遑	云	剛	陽平	w	ɔŋ	2	睱也
邙	明	剛	陽平	m	ɔŋ	2	北邙山名
郎	來	剛	陽平	l	ɔŋ	2	男子之稱又官名也
鋩	明	剛	陽平	m	ɔŋ	2	劍之鋒銳者
鏜	透	剛	陽平	tʰ	ɔŋ	2	鼓聲
防	非	剛	陽平	f	ɔŋ	2	提防關防禦也滿也禁也
降	曉	剛	陽平	h	ɔŋ	2	伏而歸也
降	見	剛	陰去	k	ɔŋ	5	落也下也貶也
隍	云	剛	陽平	w	ɔŋ	2	城下池無水曰隍
魴	非	剛	陽平	f	ɔŋ	2	魚名
黄	云	剛	陽平	w	ɔŋ	2	中央正色又姓
龐	滂	剛	陽平	pʰ	ɔŋ	2	高屋也又姓
𤟡	云	剛	陽平	w	ɔŋ	2	犬名
𥐞	明	剛	陽平	m	ɔŋ	2	𥐞硝藥名
䫙	心	剛	陰上	s	ɔŋ	3	同上(額也)
倘	透	剛	陰上	tʰ	ɔŋ	3	或然之詞
倣	非	剛	陰上	f	ɔŋ	3	依也效也
党	端	剛	陰上	t	ɔŋ	3	與黨同又姓
帑	透	剛	陰上	tʰ	ɔŋ	3	内帑金吊藏也
帑	泥	孤	陽平	n	u	2	同上又音倘庫藏也(子孫也)
廠	穿	剛	陰上	tʃʰ	ɔŋ	3	屋無壁
廣	古	剛	陰上	kʷ	ɔŋ	3	大也闊也
彷	非	剛	陰上	f	ɔŋ	3	同上(髣髴近似也)
怳	非	剛	陰上	f	ɔŋ	3	惝怳失意也
恍	非	剛	陰上	f	ɔŋ	3	同上(髣髴近似也)
愴	穿	剛	陰上	tʃʰ	ɔŋ	3	凄愴言傷心也
慷	曉	剛	陰上	h	ɔŋ	3	慷慨
昉	非	剛	陰上	f	ɔŋ	3	始也且初明也
昶	穿	剛	陰上	tʃʰ	ɔŋ	3	日長也明也通也舒也
枉	云	剛	陰上	w	ɔŋ	3	冤枉屈也曲也
榜	幫	剛	陰上	p	ɔŋ	3	金榜板榜標榜
港	見	剛	陰上	k	ɔŋ	3	水分派也
爽	審	剛	陰上	ʃ	ɔŋ	3	摤也凉也差也昧爽天微明也
瞠	透	剛	陰上	tʰ	ɔŋ	3	直視也
磉	心	剛	陰上	s	ɔŋ	3	柱下石
礎	心	剛	陰上	s	ɔŋ	3	同上(柱下石)
紡	非	剛	陰上	f	ɔŋ	3	紡績
綁	幫	剛	陰上	p	ɔŋ	3	捆綁束縛也
舫	非	剛	陰上	f	ɔŋ	3	船名慈航
訪	非	剛	陰上	f	ɔŋ	3	訪問謀也謁見
誑	非	剛	陰上	f	ɔŋ	3	同上(說謊謬言也)
謊	非	剛	陰上	f	ɔŋ	3	說謊謬言也
講	見	剛	陰上	k	ɔŋ	3	講論講究又和解也
讜	端	剛	陰上	t	ɔŋ	3	善言也
貺	非	剛	陰上	f	ɔŋ	3	賜也
迋	非	剛	陰上	f	ɔŋ	3	同上(說謊謬言也)
钂	透	剛	陰上	tʰ	ɔŋ	3	兵器戈戟之屬
闖	穿	剛	陰上	tʃʰ	ɔŋ	3	闖進出頭貌又音滲
顙	心	剛	陰上	s	ɔŋ	3	額也
髣	非	剛	陰上	f	ɔŋ	3	髣髴近似也
黨	端	剛	陰上	t	ɔŋ	3	鄉黨又朋黨黨類又比也匿非也又五百家爲黨
𢠵	穿	剛	陰上	tʃʰ	ɔŋ	3	𢠵恍也驚貌
㙟	來	剛	陽上	l	ɔŋ	4	地名
妄	明	剛	陽上	m	ɔŋ	4	誣妄誑妄誕妄又卦名无妄
往	云	剛	陽上	w	ɔŋ	4	去也行也歸也昔日也
惘	明	剛	陽上	m	ɔŋ	4	惘然失心貌又皇遽也
攮	泥	剛	陽上	n	ɔŋ	4	勇進也
曩	泥	剛	陽上	n	ɔŋ	4	前日也
朗	來	剛	陽上	l	ɔŋ	4	明也
網	明	剛	陽上	m	ɔŋ	4	羅網
罔	明	剛	陽上	m	ɔŋ	4	昧也無也誣也
莽	明	剛	陽上	m	ɔŋ	4	草茂也又鹵莽苟且也
蚌	滂	剛	陽上	pʰ	ɔŋ	4	蛤屬
蟒	明	剛	陽上	m	ɔŋ	4	大蛇又王者之服曰蟒龍
輞	明	剛	陽上	m	ɔŋ	4	車輪外圓曰輞
魍	明	剛	陽上	m	ɔŋ	4	魍魎山川之精怪
𨓹	云	剛	陽上	w	ɔŋ	4	同上(去也行也歸也昔日也)
伉	溪	剛	陰去	kʰ	ɔŋ	5	伉儷匹偶也
剙	穿	剛	陰去	tʃʰ	ɔŋ	5	同上(創造創始又懲創儆也)
創	穿	剛	陰去	tʃʰ	ɔŋ	5	創造創始又懲創儆也
吭	溪	剛	陰去	kʰ	ɔŋ	5	咽喉
塟	精	剛	陰去	ts	ɔŋ	5	殯塟理也瘞也
壙	非	剛	陰去	f	ɔŋ	5	墓穴也
壯	照	剛	陰去	tʃ	ɔŋ	5	強壯壯大壯盛
戇	亞	剛	陰去		ɔŋ	5	戇直又擬也愚也
抗	溪	剛	陰去	kʰ	ɔŋ	5	抗拒抵也敵也
放	非	剛	陰去	f	ɔŋ	5	放肆放緃放逐去也散也又置之於此曰放
曠	非	剛	陰去	f	ɔŋ	5	廣也空也遠也又壯年無妻曰曠夫
檔	端	剛	陰去	t	ɔŋ	5	屋上桁也
況	非	剛	陰去	f	ɔŋ	5	矧也又譬擬又佳況
洚	見	剛	陰去	k	ɔŋ	5	堯時有洚水謂洚洞無涯不遵
炕	溪	剛	陰去	kʰ	ɔŋ	5	火坑又以火炙物
熨	透	剛	陰去	tʰ	ɔŋ	5	火熨
盎	亞	剛	陰去		ɔŋ	5	豐厚盈溢之意
絳	見	剛	陰去	k	ɔŋ	5	大紅色也
纊	非	剛	陰去	f	ɔŋ	5	絮之細者
葬	精	剛	陰去	ts	ɔŋ	5	同上(殯塟理也瘞也)
謗	幫	剛	陰去	p	ɔŋ	5	訕謗毀謗
鄺	非	剛	陰去	f	ɔŋ	5	姓
𧆐	亞	剛	陰去		ɔŋ	5	薏苡別名
宕	端	剛	陽去	t	ɔŋ	6	靈透也又過也放蕩也
巷	曉	剛	陽去	h	ɔŋ	6	小街也又宮中長廡相通曰永巷
撞	照	剛	陽去	tʃ	ɔŋ	6	衝突也又忽至曰撞
旺	云	剛	陽去	w	ɔŋ	6	興旺盛也
晾	來	剛	陽去	l	ɔŋ	6	曬晾
望	明	剛	陽去	m	ɔŋ	6	仰望名望看望又希也冀也
狀	照	剛	陽去	tʃ	ɔŋ	6	體也形容也象也牒也
獞	照	剛	陽去	tʃ	ɔŋ	6	猺獞山峒人
盪	端	剛	陽去	t	ɔŋ	6	滌也又推也大也
碭	端	剛	陽去	t	ɔŋ	6	芒碭山名
臟	精	剛	陽去	ts	ɔŋ	6	臟腑五臟
蕩	端	剛	陽去	t	ɔŋ	6	放蕩遊蕩又廣遠也動也
項	曉	剛	陽去	h	ɔŋ	6	頭後曰項又各項又姓
䌇	心	剛入	陰入	s	ɔk	7	繩䌇
亳	幫	剛入	陰入	p	ɔk	7	商所都也
作	精	剛入	陰入	ts	ɔk	7	起也造也爲也
剥	幫	剛入	陰入	p	ɔk	7	剝削落也擊也割也
博	幫	剛入	陰入	p	ɔk	7	廣也大也局戲也
各	見	剛入	陰入	k	ɔk	7	異也另也
國	古	剛入	陰入	kʷ	ɔk	7	邦國
埆	見	剛入	陰入	k	ɔk	7	地不平也薄墝埆樁薄也
壆	幫	剛入	陰入	p	ɔk	7	臺壆墈壆
壑	溪	剛入	陰入	kʰ	ɔk	7	山谷也坑也
廓	非	剛入	陰入	f	ɔk	7	開大也
恪	溪	剛入	陰入	kʰ	ɔk	7	恭謹也
惡	亞	剛入	陰入		ɔk	7	醜惡不善也
惡	云	孤	陰去	w	u	5	烏去聲憎惡羞惡
慤	溪	剛入	陰入	kʰ	ɔk	7	謹愿也實也
托	透	剛入	陰入	tʰ	ɔk	7	同上(寄託委也信任也)
捔	見	剛入	陰入	k	ɔk	7	較也又掎捔也
搏	幫	剛入	陰入	p	ɔk	7	搏擊
摸	明	剛入	陰入	m	ɔk	7	文國切掠取也即撈摸又音莫
撲	滂	剛入	陰入	pʰ	ɔk	7	擊打也
擴	非	剛入	陰入	f	ɔk	7	張大也推而廣也
攉	非	剛入	陰入	f	ɔk	7	手反覆也搖手曰揮反手曰攉
攫	非	剛入	陰入	f	ɔk	7	爪持也撲取也
數	審	剛入	陰入	ʃ	ɔk	7	煩數
數	審	孤	陰上	ʃ	u	3	深保切數數
數	審	孤	陰去	ʃ	u	5	數目又計也
朔	審	剛入	陰入	ʃ	ɔk	7	月初一也又北方曰朔方
朔	心	孤	陰去	s	u	5	同上(告也訟也)
朴	滂	剛入	陰入	pʰ	ɔk	7	質實也又硬朴
柝	透	剛入	陰入	tʰ	ɔk	7	木魚
桷	見	剛入	陰入	k	ɔk	7	桁桷屋土椽枋也
椁	古	剛入	陰入	kʷ	ɔk	7	外棺曰椁
榷	溪	剛入	陰入	kʰ	ɔk	7	橫木渡水曰榷漢榷酒酤謂禁民酤獨官開置如道路設木爲榷獨敗利也
槊	審	剛入	陰入	ʃ	ɔk	7	矛屬
槨	古	剛入	陰入	kʷ	ɔk	7	同上(外棺曰椁)
橐	透	剛入	陰入	tʰ	ɔk	7	無底之囊即纏袋也
殼	曉	剛入	陰入	h	ɔk	7	行作切物之外皮曰殼又銅鐵殼
洛	來	剛入	陰入	l	ɔk	7	水名
涸	溪	剛入	陰入	kʰ	ɔk	7	水乾盡也
烙	來	剛入	陰入	l	ɔk	7	燒也紂行炮烙之刑
犖	來	剛入	陰入	l	ɔk	7	卓犖超絕也
獲	云	剛入	陰入	w	ɔk	7	得也
