"来源："	"高晓慧 2019《山西中阳方言语音研究》；Skanda, Hynuza 整理录入"
"k"	"［1］关观冠{衣~}鳏{~寡}［2］□{拟声词，把门踢的~~的。}［3］拐［5］怪惯贯灌罐冠{~军}"
"kʰ"	"［1］宽={人名}［2］款［3］块□{~孩，哄孩子}［5］快筷"
"x"	"［1］欢={~迎}翻幡［2］怀还{动词，~原}槐凡帆环槐{~树}鬟［3］反缓［5］坏犯饭范唤焕幻患宦贩"
"Ø"	"［1］弯湾豌［2］完={~整}顽玩{古~}［3］晚踒{~了脚}挽皖碗［5］万{麻将牌}蔓={瓜~子}"
"#ɛe"	""
"p"	"［1］杯碑白={姓~}背悲卑□{无~，一种鸟}［5］贝背{~诵}倍辈焙{~干}败="
"pʰ"	"［1］坯{土~}［2］赔培{尘土覆盖}陪裴［5］派配佩"
"m"	"［2］煤篾{~笛}谜梅媒眉={画~}玫枚{量词，用于指女孩子}［3］每美买［5］妹昧媚卖"
"t"	"［1］呆［3］逮［5］袋带待怠殆戴贷代大{~夫}"
"tʰ"	"［1］胎□{~子，样子，有感情色彩}［2］苔台{戏~}抬{收拾，收藏}□{~盐，加点盐}［3］奤{~气，有面子}［5］态泰"
"n"	"［2］捱{~打}［3］乃［5］耐奈"
"l"	"［2］来［3］磊［5］癞籁赖"
"ts"	"［1］灾栽斋贼□{[这一]的合音}［3］宰载［5］在再"
"tsʰ"	"［2］财才材裁豺［3］彩采睬［5］菜蔡"
"s"	"［1］腮筛鳃［5］赛"
"k"	"［1］该［3］改［5］盖概溉丐{乞~}"
"kʰ"	"［1］开［3］凯慨楷"
"ŋ"	"［1］挨{~住}［3］矮碍［5］爱艾"
"x"	"［3］海［5］害亥骇"
"#uɛe"	""
"t"	"［1］堆［3］怼［5］对碓队兑"
"tʰ"	"［1］推［3］腿［5］退褪蜕"
"n"	"［5］内"
"l"	"［2］雷［3］累{积~}儡［5］类累{~的}泪={~多了}"
"tʂ"	"［1］追锥={圆~}［3］嘴={大~猴}最［5］罪醉={~驾}缀={点~}赘坠={~落}拽={~下来}"
"tʂʰ"	"［1］猜催吹={~牛}炊崔［2］垂锤={~子}槌={~子}［5］脆={人名}翠={人名中}粹"
"ʂ"	"［1］衰虽=摔{~胶}［2］随={~便}绥谁={为了~}［3］甩水={~果}［5］碎税={~务局}岁={~~平安}帅率穗={禾~}遂隧"
"ʐ"	"［5］芮锐瑞"
"k"	"［1］规龟乖归闺圭［2］谷{单念}［3］鬼轨诡［5］桂柜={~子}贵"
"kʰ"	"［1］亏盔逵葵盔魁［3］傀{~儡}［5］跪块会{~计}愧刽"
"x"	"［1］灰飞恢非妃匪挥辉徽［2］回肥={~皂}怀淮茴［3］悔翡{~翠}毁［5］会{开~}肺费={浪~}贿汇晦绘惠慧废桧□{比如说疼、烧的时候嘴里发出的声音。}"
"Ø"	"［1］歪危桅{~杆}微威□{~个人，[兀一]的合音}［2］围={包~}维唯惟违□{挪，往那边~一下}［3］尾={追~}伪委={~员}纬={~纬}苇={芦~}伟［5］外卫位味胃硙{磨}未魏={姓}畏谓"
"#ɔo"	""
"p"	"［1］包胞刨{~地}剖-{~腹产}［3］宝饱褒保堡={城~}［5］抱={拥~}报暴豹曝爆鲍{~鱼}"
"pʰ"	"［1］抛剖={解~}［2］袍［3］跑［5］泡炮"
"m"	"［2］毛={~病}茅［3］卯［5］帽猫冒貌贸茂耮{农具，地湿时使用，人可以站在后面}"
"t"	"［1］刀叨□{活~活强}［2］□{拟声词，指说话的声音，~~的}［3］祷岛倒□{以拳击打}［5］道到盗"
