□	丨(囗) 一
𦗮	耳 止
𦗯	耳 口
𦗰	耳 寧(寕)
𦗱	未 耳
𦗲	耳 粦
𦗳	耳 農
𦗴	耳 當
𦗵	耳 喿
𦗶	臼(丨) 咠
𦗷	出 耳
𦗸	耳 微
𦗹	耳 僉
𦗺	鼓 耳
𦗻	耳 品
𦗼	僉 耳
𦗽	耳 的
𦗾	金 耳
𦗿	艹 耳
𦘀	耳 疑
𦘁	耳 聞
𦘂	耳 綿
𦘃	艹 耳
𦘄	耳 豕
𦘅	耳 廣
𦘆	耳 賞
𦘇	耳 徵
𦘈	耳 樂
𦘉	金 耳
𦘊	耳 歷
𦘋	耳 貝
𦘌	金 耳
𦘍	耳 癸
𦘎	耳 网
𦘏	十 德(㥁)
𦘐	耳 麗
𦘑	耳 敢(闞)
𦘒	聿 十
𦘓	聿 力
𦘔	聿 彡
𦘕	聿 一
𦘖	歺 聿
𦘗	矢 聿
𦘘	聿 日
𦘙	書 凵
𦘚	聿 凵
𦘛	聿 卩
𦘜	聿 卩
𦘝	聿 卩
𦘞	录 聿
𦘟	户 聿
𦘠	聿 者
𦘡	聿 卩
𦘢	書 永
𦘣	畫 卂
𦘤	肅 史
𦘥	启 聿
𦘦	启 聿
𦘧	尾 畫
𦘨	聿 勿
𦘩	月 八
𦘪	月 匕
𦘫	冖 肉
𦘬	又 肉
𦘭	月 丁
𦘮	月 乜
𦘯	月 厶
𦘰	月 丂
𦘱	月 卜
𦘲	月 入
𦘳	月 七
𦘴	月 乇
𦘵	月 九
𦘶	月 川
𦘷	月 幺
𦘸	月 乙
𦘹	月 山
𦘺	月 巳
𦘻	亡 肉
𦘼	于(亐) 月
𦘽	肉 女
𦘾	肉 丸
𦘿	月 又
𦙀	月 反
𦙁	月 互
𦙂	不 肉
𦙃	口 月
𦙄	凶 月
𦙅	月 户
𦙆	月 氏
𦙇	月 冄
𦙈	月 十
𦙉	月 几
𦙊	火 月
𦙋	月 匕
𦙌	幺 乙
𦙍	丿 月
𦙎	冖 月
𦙏	月 乙
𦙐	月 人
𦙑	勿 月
𦙒	月 斗
𦙓	月 友
𦙔	爪 月
𦙕	月 乃
𦙖	天 月
𦙗	月 五
𦙘	月 幺
𦙙	月 水
𦙚	手 月
𦙛	月 七
𦙜	月 犯(㔾)
𦙝	月 丁
𦙞	月 凶
𦙟	文 月
𦙠	月 弓
𦙡	止 肉
𦙢	肉 引
𦙣	月 木
𦙤	月 毛
𦙥	月 孔
𦙦	月 心
𦙧	肉 少
𦙨	月 弓(弔)
𦙩	土 肉
𦙪	户 月
𦙫	月 正
𦙬	月 疋
𦙭	月 冬
𦙮	月 穴
𦙯	代 月
𦙰	月 仕
𦙱	月 册(冊)
𦙲	加 肉
𦙳	月 尔
𦙴	月 主
𦙵	夗 月
𦙶	月 古
𦙷	月 九
𦙸	月 用
𦙹	月 乂
𦙺	加 月
𦙻	月 灭
𦙼	此 月
𦙽	月 册
𦙾	月 圣
𦙿	月 兄
𦚀	月 又
𦚁	月 厶
𦚂	月 又
𦚃	月 木
𦚄	月 十
𦚅	处 月
𦚆	肉 皮
𦚇	矛 肉
𦚈	月 石
𦚉	大 月
𦚊	月 号
𦚋	四 月
𦚌	厂 月
𦚍	亠 肖
𦚎	立 月
𦚏	立 月
𦚐	月 它
𦚑	户 月
𦚒	肉 去
𦚓	肉 半
𦚔	月 召
𦚕	月 甘
𦚖	月 乏
𦚗	月 匝
𦚘	仕 肉
𦚙	人 土(士)
𦚚	月 此
𦚛	歺 肉
𦚜	月 末
𦚝	月 水
𦚞	月 匡
𦚟	月 颐(𦣞)
𦚠	月 臣
𦚡	月 血
𦚢	月 匕
𦚣	月 艮
𦚤	月 人
𦚥	月 缶
𦚦	月 丞
𦚧	月 旬
𦚨	丰 肉
𦚩	月 朵
𦚪	月 异
𦚫	月 夫
𦚬	月 十
𦚭	月 虫
𦚮	任 肉
𦚯	儿 育
𦚰	月 刀
𦚱	月 老
𦚲	月 丑
𦚳	月 充
𦚴	共 月
𦚵	月 西
𦚶	合 月
𦚷	合 肉
𦚸	月 亘
𦚹	月 互
𦚺	月 止
𦚻	月 册(冊)
𦚼	月 曲
𦚽	月 巳
𦚾	脑(㐫) 月
𦚿	月 帀
𦛀	月 又
𦛁	月 山
𦛂	冂 肉
𦛃	肉 各
𦛄	脑(㐫) 肉
𦛅	肉 安
𦛆	丞 肉
𦛇	决 肉
𦛈	月 曳
𦛉	月 吊
𦛊	月 存
𦛋	月 吉
𦛌	月 聿
𦛍	月 再
𦛎	月 巾
𦛏	月 土
𦛐	月 巴
𦛑	月 丑
𦛒	月 有
𦛓	月 臼
𦛔	月 疋
𦛕	月 劫
𦛖	月 耳
𦛗	月 吕
𦛘	月 赤
𦛙	月 成
𦛚	月 口
𦛛	月 辛
𦛜	月 含
𦛝	余 肉
𦛞	月 邑
𦛟	月 更
𦛠	月 土
𦛡	月 狄
𦛢	月 国
𦛣	月 走
𦛤	月 八
𦛥	月 丰
𦛦	月 勿
𦛧	月 火
𦛨	月 劳
𦛩	月 告
𦛪	月 卩
𦛫	了 月
𦛬	幺 月
𦛭	月 巾
𦛮	月 皃
𦛯	石 月
𦛰	月 迄
𦛱	月 谷
𦛲	月 角
𦛳	月 出
𦛴	月 屮
𦛵	月 口
𦛶	肉 却
𦛷	肉 寽
𦛸	月 甬
𦛹	栽(𢦏) 肉
𦛺	月 别
𦛻	月 村
𦛼	月 兵
𦛽	月 吟
𦛾	月 丑
𦛿	月 芒
𦜀	月 吠
𦜁	肉 夆
𦜂	月 月
𦜃	月 大
𦜄	月 夂
𦜅	月 邦
𦜆	月 函
𦜇	月 屈
𦜈	月 木
𦜉	月 十
𦜊	月 罙
𦜋	月 制
𦜌	月 又
𦜍	月 放
𦜎	月 承
𦜏	月 戾
𦜐	月 官
𦜑	户 肉
𦜒	月 夂
𦜓	月 欣
𦜔	月 米
𦜕	月 犯(㔾)
𦜖	月 亞
𦜗	制 月
𦜘	月 乳
𦜙	月 心(𢗩)
𦜚	支 月
𦜛	月 九
𦜜	臣(臤) 肉
𦜝	月 齐
𦜞	月 共
𦜟	月 否
𦜠	月 畀
𦜡	月 炙
𦜢	月 月
𦜣	月 坴
𦜤	月 月
𦜥	月 令(岺)
𦜦	月 忠
𦜧	月 巴
𦜨	月 肯
𦜩	月 忽
𦜪	月 木
𦜫	月 木
𦜬	月 内(芮)
𦜭	月 奔
𦜮	月 亏
𦜯	月 灬
𦜰	月 卓
𦜱	月 虫
𦜲	月 云
𦜳	月 月(朋)
𦜴	股 月
𦜵	月 咎
𦜶	月 方
𦜷	月 日
𦜸	月 家
𦜹	户 月
𦜺	月 犮
𦜻	月 丑
𦜼	月 巾
𦜽	肉 奄
𦜾	制 肉
𦜿	肉 臽
𦝀	月 奈
𦝁	月 其
𦝂	月 的
𦝃	月 林
𦝄	月 夌
𦝅	月 忿
𦝆	月 牀
𦝇	月 旦
𦝈	月 昃
𦝉	月 底
𦝊	月 屯
𦝋	月 門
𦝌	月 法
𦝍	爿(牀) 肉
𦝎	法 肉
𦝏	月 叀
𦝐	月 卯
𦝑	月 育
𦝒	月 取
𦝓	月 米
𦝔	月 知
𦝕	厶(䏍) 吕
𦝖	月 月
𦝗	月 附
𦝘	肉 卷
𦝙	昔 肉
𦝚	月 盈
𦝛	月 韋
𦝜	月 契
𦝝	月 奂
𦝞	月 亭
𦝟	月 厘
𦝠	亡 卂
𦝡	月 廾
𦝢	月 癸
𦝣	月 客
𦝤	月 並
𦝥	月 臿
𦝦	月 月
𦝧	月 甚
𦝨	月 皆
𦝩	月 畏
𦝪	月 土
𦝫	要 月
𦝬	月 突
𦝭	帥 月
𦝮	月 日
𦝯	月 羊
𦝰	月 心(怱)
𦝱	月 酋
𦝲	月 曷
𦝳	月 犬
𦝴	月 長(镸)
𦝵	月 否
𦝶	月 山
𦝷	月 屏
𦝸	十 勿
𦝹	月 杀
𦝺	月 美
𦝻	月 宣
𦝼	月 娄
𦝽	歪 月
𦝾	月 肉
𦝿	月 点
𦞀	胎 攵
𦞁	月 哉
𦞂	月 荅
𦞃	月 心(⺗)
𦞄	山 月
𦞅	囗 月
𦞆	月 土
𦞇	月 禹
𦞈	月 侯
𦞉	肉 皆
𦞊	肉 巾
𦞋	彑(彐) 肉
𦞌	月 恒
𦞍	計 肉
𦞎	月 彦
𦞏	威 肉
𦞐	月 虐
𦞑	月 皿(盃)
𦞒	月 待
𦞓	月 派
𦞔	月 恍
𦞕	月 矦
𦞖	月 看
𦞗	月 厷
𦞘	肉 建
𦞙	月 鬼
𦞚	月 屑
𦞛	月 倉
𦞜	月 息
𦞝	月 氣
𦞞	月 干(圅)
𦞟	月 皿
𦞠	月 隼
𦞡	月 邕
𦞢	月 豕(圂)
𦞣	月 蚤
𦞤	月 宰
𦞥	月 土
𦞦	月 隺
𦞧	月 留
𦞨	月 宫
𦞩	幺 月
𦞪	月 灬
𦞫	宀 月
𦞬	月 攵
𦞭	月 瓜
𦞮	月 逆
𦞯	月 耆
𦞰	月 栗
𦞱	肉 鬼
𦞲	月 虫(蚩)
𦞳	月 容
𦞴	月 电
𦞵	月 本
𦞶	月 夂
𦞷	月 宴
𦞸	月 迸
𦞹	月 辱
𦞺	月 攵
𦞻	月 草
𦞼	月 摇(䍃)
𦞽	月 骨
𦞾	月 乃
𦞿	月 手
𦟀	亡 卂
𦟁	亡 月
𦟂	月 迷
𦟃	月 羊
𦟄	月 桑
𦟅	月 木
𦟆	正 月
𦟇	月 乘
𦟈	月 害
𦟉	月 甘(疳)
𦟊	月 配
𦟋	月 倍
𦟌	月 展
𦟍	月 亥
𦟎	差 肉
𦟏	月 庫
𦟐	月 馬
𦟑	月 倚
𦟒	屯 脆
𦟓	服 月
𦟔	月 致
𦟕	月 昏
𦟖	肉 馬
𦟗	月 难
𦟘	月 寅
𦟙	月 灬
𦟚	月 豆
𦟛	月 庸
𦟜	月 責
𦟝	从 月
𦟞	月 十
𦟟	月 麻
𦟠	月 戚
𦟡	既(旣) 肉
𦟢	月 日
𦟣	月 夂(𡕩)
𦟤	月 羞
𦟥	月 逐
𦟦	肉 莫
𦟧	月 口
𦟨	月 夂
𦟩	月 奄
𦟪	月 連
𦟫	月 堇
𦟬	月 珍(㐱)
𦟭	肋 比
𦟮	月 莽
𦟯	月 勒
𦟰	月 且
𦟱	月 宿
𦟲	問 月
𦟳	月 巢
𦟴	瑩(𤇾) 肉
𦟵	月 孚(莩)
𦟶	月 粘
𦟷	月 培
𦟸	月 液
𦟹	月 崙
𦟺	月 卦
𦟻	月 匿
𦟼	月 閉
𦟽	月 密
𦟾	月 區
𦟿	月 堆
𦠀	月 斤
𦠁	炙 束
𦠂	鳥 肉
𦠃	亠 月
𦠄	月 幾
𦠅	月 尋
𦠆	月 巽
𦠇	月 曾
𦠈	月 矞
𦠉	月 壹
𦠊	月 止
𦠋	台(辝) 月
𦠌	月 而
𦠍	月 屰
𦠎	月 犬
𦠏	月 奢
𦠐	月 散
𦠑	月 厥
𦠒	厥 月
𦠓	厂 月
𦠔	月 斤
𦠕	亠 肉
𦠖	月 包
𦠗	从 月
𦠘	肩 來
𦠙	月 眉
𦠚	月 喬
𦠛	月 替
𦠜	月 華
𦠝	月 留(畱)
𦠞	敝 月
𦠟	月 斤
𦠠	月 斤
𦠡	从 月
𦠢	月 就
𦠣	月 攵
𦠤	月 心(惢)
𦠥	月 月(閒)
𦠦	月 疏
𦠧	月 心(⺗)
𦠨	月 心(叅)
𦠩	厂 肉
𦠪	从 肉
𦠫	初 肉
𦠬	台(辝) 肉
𦠭	月 斯
𦠮	至 月
𦠯	月 閑
𦠰	肩 卓
𦠱	月 筏
𦠲	月 惡
𦠳	月 孱
𦠴	月 琴
𦠵	月 隊
𦠶	超 肉
𦠷	囱 胥
𦠸	月 多
𦠹	炙 炙
𦠺	炙 昆
𦠻	月 費
𦠼	月 用(𠂡)
𦠽	月 爲
𦠾	月 戈
𦠿	月 韭(䪞)
𦡀	月 水
𦡁	月 當
𦡂	月 董
𦡃	月 里
𦡄	月 都
𦡅	月 酉
𦡆	月 窟
𦡇	肉 幸
𦡈	雍 肉
𦡉	盟 月
𦡊	月 豊
𦡋	月 頓
𦡌	臼 月
𦡍	尸 辛
𦡎	月 金
𦡏	月 電
𦡐	月 建
𦡑	月 几
𦡒	微 月
𦡓	月 用
𦡔	月 鼠
𦡕	月 雹
𦡖	歲 月
𦡗	月 愁
𦡘	月 坐
𦡙	月 夂(𡕰)
𦡚	雍 月
𦡛	肉 賁
𦡜	辟 肉
𦡝	肉 愛
𦡞	月 禁
𦡟	背 夌
𦡠	弄 脊
𦡡	月 碍
𦡢	月 蒌
𦡣	月 禀(稟)
𦡤	月 準
𦡥	月 溺
𦡦	月 董
𦡧	月 業
𦡨	林 皮
𦡩	月 卩
𦡪	月 豆
𦡫	月 義
𦡬	月 禽
𦡭	臼 肉
𦡮	月 普
𦡯	月 達
𦡰	月 尃
𦡱	月 翟
𦡲	月 寧
𦡳	月 几
𦡴	月 夀(壽)
𦡵	月 心(慁)
𦡶	月 監
𦡷	月 對
𦡸	月 疑
𦡹	月 絲(㬎)
𦡺	貝 月
𦡻	月 凴
𦡼	疑 肉
𦡽	月 黄
𦡾	甚 胃
𦡿	月 皿
𦢀	月 臺
𦢁	月 蒼
𦢂	月 美
𦢃	月 言
𦢄	月 裴
𦢅	月 虫
𦢆	貝 肉
𦢇	疑 月
𦢈	月 爾
𦢉	月 蜜
𦢊	月 暴
𦢋	月 夫
𦢌	月 賣
𦢍	月 田
𦢎	月 廣
𦢏	月 田
𦢐	月 厶
𦢑	月 戚
𦢒	月 貝
𦢓	月 墨
𦢔	月 慧
𦢕	月 月
𦢖	片 月
𦢗	月 凡
𦢘	月 水
𦢙	月 韭
𦢚	月 胃
𦢛	月 慮
𦢜	月 黑
𦢝	月 瘦
𦢞	月 魯
𦢟	月 撲
𦢠	月 齒
𦢡	屋 脊
𦢢	脊 屋
𦢣	月 网
𦢤	月 贊(賛)
𦢥	月 雋(嶲)
𦢦	月 穌
𦢧	月 瞢
𦢨	月 閻
𦢩	月 蕭
𦢪	月 隨
𦢫	月 龍
𦢬	月 蕊
𦢭	月 木
𦢮	月 鬼
𦢯	月 興
𦢰	興 肉
𦢱	君 凡
𦢲	月 蕪
𦢳	肩 爲
𦢴	脱 突
𦢵	月 廪
𦢶	月 頁(頺)
𦢷	月 駡
𦢸	月 薄
𦢹	月 大
𦢺	月 焦
𦢻	人(仌) 肉
𦢼	赢(𣎆) 貝
𦢽	豁 肉
𦢾	月 疑
𦢿	月 冏(巂)
𦣀	月 聶
𦣁	月 灭
𦣂	月 豐
𦣃	月 米
𦣄	赢(𣎆) 革
𦣅	月 爵
𦣆	月 靡
𦣇	月 羅
𦣈	月 簿
𦣉	赢(𣎆) 叟
𦣊	難 月
𦣋	月 孌(䜌)
𦣌	月 林
𦣍	月 羹
𦣎	月 難
𦣏	孌(䜌) 月
𦣐	月 孌(䜌)
𦣑	月 蘇
𦣒	月 矍
𦣓	来 朋
𦣔	亠 果
𦣕	月 飄
𦣖	赢(𣎆) 晶
𦣗	月 饒
𦣘	月 囊
𦣙	月 曩
𦣚	難 肉
𦣛	月 戀
𦣜	月 疾
𦣝	匚 口
𦣞	匚 口
𦣟	山 臣
𦣠	臣 壬
𦣡	臣 分
𦣢	臣 巿
𦣣	臣 戈
𦣤	颐(𦣞) 匚
𦣥	臣 必
𦣦	臣 臣
𦣧	臣 册(冊)
𦣨	臣 任
𦣩	臣 臣
𦣪	臣 皿
𦣫	臣 其
𦣬	臣 女
𦣭	帝 臣
𦣮	孤 臣
𦣯	臣 叚
𦣰	南 卧
𦣱	臣 責
𦣲	臣 皃
𦣳	臣 焦
𦣴	臣(臤) 睘
𦣵	臣 夂
𦣶	臣 具
𦣷	臣 古
𦣸	刀 監
𦣹	人 凵
𦣺	自 丨
𦣻	一 自
𦣼	大 凵
𦣽	乙 自
𦣾	自 兀
𦣿	自 个
𦤀	自 大
𦤁	自 夂
𦤂	自 殳
𦤃	自 王
𦤄	艹(卝) 自
𦤅	艹 自
𦤆	自 云
𦤇	自 反
𦤈	自 从
𦤉	自 公
𦤊	自 丑
𦤋	尸 自
𦤌	自 水
𦤍	自 山
𦤎	自 本
𦤏	自 田
𦤐	自 王
𦤑	自 串(㐄)
𦤒	自 彡
𦤓	自 甲
𦤔	自 方
𦤕	臭 夬
𦤖	自 卒
𦤗	自 奈
𦤘	亠 自
𦤙	臬 出
𦤚	臭 犮
𦤛	自 拜
𦤜	自 修
𦤝	自 冋
𦤞	危 臬
𦤟	囟 臭
𦤠	臭 灰
𦤡	臭 邑
𦤢	氵 侖
𦤣	孛 臭
𦤤	自 隹
𦤥	自 翔
𦤦	臭 曷
𦤧	臭 奈(柰)
𦤨	臭 昷
𦤩	自 廉
𦤪	曷 臭
𦤫	自 鼻
𦤬	臭 害
𦤭	臭 烈
𦤮	退 臭
𦤯	臭 勘
𦤰	臭 貪
𦤱	臭 緊
𦤲	覺 自
𦤳	一 土
𦤴	凶(乂) 土
𦤵	又 至
𦤶	至 夂
𦤷	至 久
𦤸	川 至
𦤹	至 不
𦤺	至 攴
𦤻	瓜 至
𦤼	士 至
𦤽	至 尼
𦤾	至 旦
𦤿	丰 至
𦥀	至 友
𦥁	四 至
𦥂	圭 至
𦥃	至 典
𦥄	其 至
𦥅	至 木
𦥆	丰 至
𦥇	至 奏
𦥈	羊 至
𦥉	室 吾
𦥊	孫 至
𦥋	歺 至
𦥌	至 書
𦥍	至 夏
𦥎	幸(執) 至
𦥏	至 至
𦥐	台(枲) 致
𦥑	丿 彐
𦥒	丨 凵
𦥓	丿 乂
𦥔	臼 丨
𦥕	臼 乙
𦥖	了 臼
𦥗	臼 了
𦥘	臼 寸
𦥙	臼 丿
𦥚	臼 丂
𦥛	千 臼
𦥜	夕 臼
𦥝	爪 臼
𦥞	臼 欠
𦥟	臼 冘
𦥠	臼 又
𦥡	臼 巿
𦥢	刀 臼
𦥣	臼 尤
𦥤	臼 万
𦥥	臼 丿(𪩲)
𦥦	臼 末
𦥧	臼 之
𦥨	臼 儿
𦥩	臼 月
𦥪	臼 由
𦥫	千 臼
𦥬	臼 乍
𦥭	屰 臼
𦥮	丿 臼
𦥯	臼 冖
𦥰	臼 光
𦥱	臼 巾
𦥲	千 臼
𦥳	臾 耜(㠯)
𦥴	人 臼
𦥵	臽 口
𦥶	臼 男
𦥷	臼 八
𦥸	臼 廾
𦥹	臼 手
𦥺	丿 乂(彐)
𦥻	臼 垂
𦥼	口 乂
𦥽	午 臼
𦥾	屰 臼
𦥿	光 臽
𦦀	臼 丨
𦦁	臼 电
𦦂	臼 八
𦦃	旨 兒
𦦄	日 臼
𦦅	臼 奏
𦦆	臼 糸
𦦇	臼 耑
𦦈	臼 臿
𦦉	囟 大
𦦊	臼 男
𦦋	臼 土
𦦌	舀 召
𦦍	臼 土
𦦎	臼 弓
𦦏	亠 臼
𦦐	臼 尃
𦦑	臼 分
𦦒	囟 又
𦦓	人 臼
𦦔	臼 禺
𦦕	臿 夾
𦦖	叕 臽
𦦗	臼 木
𦦘	臿 疌
𦦙	與 丰
𦦚	臾 臾
𦦛	臼 丘
𦦜	舂 止
𦦝	臼 丅
𦦞	臼 丅
𦦟	興 刀
𦦠	臼 申
𦦡	臼 丅
𦦢	敞 臼
𦦣	臼 最
𦦤	囟 曲
𦦥	囟 甘
𦦦	臾 亡
𦦧	臼 丅
𦦨	舀 炎
𦦩	缶 夗
𦦪	舀 八
𦦫	亏 八
𦦬	古 月
𦦭	人 亡
𦦮	與 全
𦦯	臼 止
𦦰	臼 夀(壽)
𦦱	舂 臿
𦦲	臼 八
𦦳	與 兑
𦦴	冂 八
𦦵	臼 松
𦦶	古 臣
𦦷	囟 禺
𦦸	與 易
𦦹	业(凿) 臼
𦦺	舂 口
𦦻	臼 禺
𦦼	米 夕
𦦽	孌(䜌) 臼
𦦾	舂 夀(壽)
𦦿	嬰 兒
𦧀	臼 熏
𦧁	臼 奉
𦧂	囟 大
𦧃	屡 舊
𦧄	土 开
𦧅	興 興
𦧆	舌 一
𦧇	舌 也
𦧈	舌 今
𦧉	舌 支
𦧊	舌 允
𦧋	舌 牛
𦧌	舌 升
𦧍	爪 舌
𦧎	今 舌
𦧏	舌 井
𦧐	厶 舌
𦧑	舌 它
𦧒	舌 古
𦧓	舌 也
𦧔	舌 瓜
𦧕	刀 舌
𦧖	舌 人
𦧗	自 舌
𦧘	肉 舌
𦧙	舌 朱
𦧚	舌 舌
𦧛	舌 合
𦧜	舌 吏
𦧝	舌 延
𦧞	舌 口
𦧟	舌 沓
𦧠	帛 舌
𦧡	炎 舌
𦧢	舌 木
𦧣	舌 侖
𦧤	舌 木
𦧥	沓 舌
𦧦	舌 受
𦧧	舌 是
𦧨	亠 舌
𦧩	舌 咸
𦧪	是 舌
𦧫	舌 彖
𦧬	彖 舌
𦧭	舌 塌(𦐇)
𦧮	舌 害
𦧯	舌 息
𦧰	息 舌
𦧱	舌 習
𦧲	舌 累
𦧳	舌 水
𦧴	舌 單
𦧵	舌 舌
𦧶	書 舍
𦧷	舌 廉
𦧸	舍 巽
𦧹	舌 華
𦧺	舌 賴
𦧻	舌 兔(毚)
𦧼	舌 闌
𦧽	舌 虫(蠡)
𦧾	粦 卂
𦧿	炎 乙
𦨀	夕 舛
𦨁	舜 主
𦨂	某 舞
𦨃	匚 主
𦨄	匚 主
𦨅	大 舛
𦨆	北 粦
𦨇	舟 乙
𦨈	舟 人
𦨉	舟 刂
𦨊	舟 乙
𦨋	舟 乃
𦨌	舟 犯(㔾)
𦨍	舟 丁
𦨎	舟 乇
𦨏	舟 乞
𦨐	舟 大
𦨑	舟 才
𦨒	舟 弋
𦨓	舟 勺
𦨔	舟 刃
𦨕	舟 服(𠬝)
𦨖	舟 少
𦨗	舟 攴
𦨘	舟 亓
𦨙	舟 日
𦨚	舟 犬
𦨛	舟 勾
𦨜	舟 戈
𦨝	舟 互
𦨞	舟 元
𦨟	舟 支
𦨠	舟 幺
𦨡	舟 弗
𦨢	舟 氐
𦨣	舟 召
𦨤	永 舟
𦨥	舟 出
𦨦	加 舟
𦨧	舟 目
𦨨	舟 夗
𦨩	舟 龙
𦨪	舟 旦
𦨫	舟 平
𦨬	舟 永
𦨭	舟 皮
𦨮	舟 代
𦨯	舟 舌
𦨰	舟 阝
𦨱	舟 聿
𦨲	舟 犯(㔾)
𦨳	舟 吴
𦨴	舟 同
𦨵	舟 行
𦨶	舟 天
𦨷	舟 伐
𦨸	舟 舟
𦨹	舟 危
𦨺	永 舟
𦨻	舟 光
𦨼	舟 吴(吳)
𦨽	舟 今(岑)
𦨾	舟 亨
𦨿	舟 土
𦩀	舟 夾
𦩁	舟 条
𦩂	舟 疋
𦩃	舟 兑
𦩄	舟 土
𦩅	舟 旱
𦩆	舟 我
𦩇	舟 又
𦩈	舟 矣
𦩉	矣 舟
𦩊	舟 兒
𦩋	舟 非
𦩌	舟 疌
𦩍	舟 周
𦩎	舟 廾
𦩏	舟 隹
𦩐	舟 巴
𦩑	舟 來
𦩒	舟 亞
𦩓	舟 叁
𦩔	舟 彡
𦩕	舟 虎
𦩖	舟 卑
𦩗	舟 炎
𦩘	舟 定
𦩙	舟 丑
𦩚	舟 枚
𦩛	舟 具
𦩜	舟 咅
𦩝	舟 胃
𦩞	舟 俞
𦩟	舟 复
𦩠	舟 星
𦩡	舟 畐
𦩢	舟 咸
𦩣	舟 契
𦩤	舟 突
𦩥	舟 曷
𦩦	舟 彡
𦩧	子 舟
𦩨	舟 津
𦩩	舟 女
𦩪	舟 架
𦩫	舟 巾
𦩬	舟 威
𦩭	舟 思
𦩮	舟 爰
𦩯	舟 曲
𦩰	舟 重
𦩱	舟 土
𦩲	舟 酋
𦩳	舟 者
𦩴	舟 豈
𦩵	舟 兼
𦩶	舟 奚
𦩷	舟 冓
𦩸	舟 弱
𦩹	舟 舀
𦩺	舟 木
𦩻	卓 舟
𦩼	舟 貢
𦩽	舟 自
𦩾	舟 摇(䍃)
𦩿	舟 臿
𦪀	舟 唐
𦪁	舟 夂
𦪂	舟 徒
𦪃	舟 豕(冡)
𦪄	舟 王
𦪅	舟 庭
𦪆	舟 基
𦪇	舟 鹿
𦪈	敖 舟
𦪉	舟 淮
𦪊	舟 戚
𦪋	舟 羞
𦪌	舟 寄
𦪍	舟 豆
𦪎	舟 逢
𦪏	舟 通
𦪐	舟 心(悤)
𦪑	舟 發
𦪒	舟 貴
𦪓	舟 肅
𦪔	舟 敦
𦪕	舟 尞
𦪖	舟 番
𦪗	舟 黄
𦪘	舟 厥
𦪙	舟 羽(翕)
𦪚	舟 尊
𦪛	舟 堯
𦪜	舟 心(叅)
𦪝	舟 糸
𦪞	舟 喬
𦪟	舟 彭
𦪠	舟 華
𦪡	舟 虚
𦪢	舟 單
𦪣	單 舟
𦪤	舟 方
𦪥	舟 伯
𦪦	舟 掌
𦪧	舟 敢
𦪨	舟 吏
𦪩	舟 零
𦪪	舟 夆
𦪫	舟 粲
𦪬	舟 歇
𦪭	舟 達
𦪮	舟 左
𦪯	舟 昷
𦪰	出 舟
𦪱	臣 舟
𦪲	舟 肅
𦪳	舟 豪
𦪴	舟 川(巤)
𦪵	舟 箕
𦪶	舟 虫
𦪷	舟 墨
𦪸	舟 贊(賛)
𦪹	般 血
𦪺	舟 肅
𦪻	舟 寬
𦪼	舟 稽
𦪽	舟 龍
𦪾	舟 歷
𦪿	龍 舟
𦫀	舟 馬
𦫁	舟 言
𦫂	舟 貝
𦫃	舟 霝
𦫄	舟 並
𦫅	舟 贊
𦫆	舟 虫
𦫇	舟 矍
𦫈	舟 虫(蠡)
𦫉	舟 龜
𦫊	舟 靈
𦫋	亡 艮
𦫌	禾 艮
𦫍	良 开
𦫎	耒 艮
𦫏	良 并
𦫐	夸 良
𦫑	奚 良
𦫒	廿 艮
𦫓	色 夕
𦫔	癶 色
𦫕	未 色
𦫖	色 白
𦫗	皮 色
𦫘	色 发
𦫙	白 色
𦫚	夸 色
𦫛	孛 色
𦫜	大 色
𦫝	夋 色
𦫞	大 色
𦫟	炎 色
𦫠	承 色
𦫡	其 色
𦫢	尚 色
𦫣	二 色
𦫤	色 頁
𦫥	面 色
𦫦	爰 色
𦫧	美 色
𦫨	彦 色
𦫩	咢 色
𦫪	穴 色
𦫫	翁 色
𦫬	奚 色
𦫭	真 色
𦫮	員 色
𦫯	熏 色
𦫰	夢 色
𦫱	鼻 色
𦫲	孌(䜌) 色
𦫳	艹 丨
𦫴	艹 乙
𦫵	乙 廾
𦫶	艹 丩
𦫷	艹 乙
𦫸	艹 人
𦫹	艸 一
𦫺	艹 厂
𦫻	艹 亻
𦫼	艹 了
𦫽	艹 二
𦫾	艹 犯(㔾)
𦫿	艹 又
𦬀	艹 匚
𦬁	艹 才
𦬂	艹 兀
𦬃	艹 乇
𦬄	艹 刃
𦬅	艹 口
𦬆	艹 人
𦬇	艹 廾
𦬈	艹 乙
𦬉	艹 乙
𦬊	艹 巳
𦬋	艹 力
𦬌	艹 丿
𦬍	艹 尢
𦬎	艹 也
𦬏	艹 屮
𦬐	艹 又
𦬑	艹 女
𦬒	艹 串(㐄)
𦬓	艹 尤
𦬔	艹 爪
𦬕	艹 中
𦬖	艹 仇
𦬗	艹 戈
𦬘	艹 公
𦬙	艹 仆
𦬚	艹 互
𦬛	艹 丏
𦬜	艹 幺
𦬝	艹 十
𦬞	艹 天
𦬟	艸 亓
𦬠	艹 廾
𦬡	艹 十
𦬢	艹 卅
𦬣	艹 又
𦬤	艹 丶
𦬥	艹 丩
𦬦	艸 犬
𦬧	艸 廾
𦬨	艹 尺
𦬩	艹 六
𦬪	艹 丁
𦬫	艹 犬
