
ɿ
p	别（区~）憋百柏
pʰ	迫拍撇（~油） □（贬义指瞎说，中性义指唠嗑）
m	脉（号~）灭蔑麦
t	跌滴叠（重~）
tʰ	贴帖铁
n	镊蹑孽捏
l	殓猎列烈裂
ʨ	稼夹甲接劫杰揭节结洁酵（~子）
ʨʰ	掐（~人中）妾怯切截（一个~）恰
ɕ	些胁协瞎辖歇（~晌）蝎楔
Ǿ	鸭押压业噎哕（干~）
uaʔ	入声4
t	掇（拾~）夺
tʰ	脱托拓驼
n	诺
l	落-（~后）洛络（联~）乐（快~）罗（张~）
ʦ	作拙昨酌桌卓琢浊捉啄（~木鸟）
ʦʰ	措绰蹉（龌~）
s	刷说索（~取）朔缩塑（~料）烁属-（~相）
z	若弱
k	裹（包~）聒刮（~风）郭国瓜
kʰ	括阔廓扩
x	喝（吆~）豁活（生~）擭（~开）或惑获划（比~）火（灶~）和（暖~）花（棉~）
yaʔ	入声4
n	虐疟
l	劣略掠
ʨ	绝憠（脾气~）倔掘决诀爵脚觉
ʨʰ	缺鹊雀却确□（~断）
ɕ	薛雪血穴学削（剥~）
Ǿ	悦阅越曰粤月乐（音~）约跃-药-岳
əʔ	入声4
p	不- □（~袋子）
pʰ	扑笸（~箩） □（~的，骂人话，急着做某事，生怕落后）
m	没母（外~娘）
f	服傅（师~）符（~合）佛（仿~）缚福幅蝠腹复覆（~盖）夫（大~）
v	物勿往-（~好了想）物午（晌~）
t	耷（~拉）
tʰ	特他-（~妈） □（~拉鞋）
n	那-
l	了
ʦ	只-子-职置执汁秩质值直植殖趾（脚~头）指（~头）脊
ʦʰ	吃赤斥尺
s	是湿十拾（~掇）实失室着食蚀饰（装~）式石识释适
z	□（前缀，~脏）子-
k	个-（一~）胳
kʰ	刻克
x	核（~桃）黑蛤（~蟆）
iəʔ	入声4
p	蔽臂婢庇痹笔毕必北逼壁
pʰ	僻劈辟
m	密蜜泌墨-（~水）
t	的（ 目~）德得
tʰ	踢剔屉
n	匿逆溺
l	力立笠粒璃-励-
ʨ	济（救~）缉集辑急-级及疾吉即鲫激迹籍积
ʨʰ	七漆膝（圪~）乞戚去-
ɕ	吸悉息熄媳惜夕昔锡析袭习
Ǿ	乙一壹逸忆抑（压~）翼
uəʔ	入声4
t	独读牍犊督毒
tʰ	突秃凸
l	绿赂勒鹿禄陆录
ʦ	做卒著（显~）族竹筑逐祝烛足（~球）
ʦʰ	处（办事~）帚（扫~）猝（仓~）出促（督~）触
s	疏输术述速宿肃叔=束属（~于）
z	入
k	骨谷股（屁~）
kʰ	哭窟
x	忽霍藿唬（吓~）狐（~臭）葫（~芦）
yəʔ	入声4
ʨ	橘桔菊足（~够）
ʨʰ	屈曲
ɕ	戌恤畜（~牧）俗（乡~）续蓄（储~）
Ǿ	与誉豫寓-（公~）喻-（比~）裕域-郁育-狱-欲浴
