	注釋：=文讀，-白讀
k	[7]急汲級給{供～}[8]及{～時}
kʰ	[7]級{又，～別}汲{又}吸{～引}[8]及{又，緊緊抓住}
ɡ	[8]岌{～～}
h	[7]吸翕{～像：照相}熻{～飯：燜飯}
∅	[7]揖{作～}邑挹
#iam	
t	[1]掂沾{～染}砧{刀～：砧板}[2]沉{太多}恬甜[3]點[4]湛{又，文靜}[5]玷{～汙}惦店{商～}頕[6]□{居住；在}
tʰ	[1]添{曾～}[2]恬{又}[3]諂{～媚}忝{狠；厲害}[5]掭[6]沉{拋入水中}
l	[1]拈{～香}鯰{～手～：躡手躡腳}[2]簾奩{妝～}廉{～潔}鐮{～刀}臨{～時}粘鯰髯[3]臉斂染{感～}冉苒[5]□{～斷：掐斷}[6]殮{裝～}念
ts	[1]尖占{～蔔}沾{又，～染}詹{姓}瞻[2]潛[4]漸占{又，～領}[6]暫{～時}
tsʰ	[1]殲釺{俗，鋼～}簽纖{～維}針{～藥：注射藥水}[2]橙镵{～破：刺破}[5]僭{超越}塹鋟{刺}
s	[1]暹{～羅：泰國的舊稱}纖=挦{偷偷地取出}[2]單{俗，～於}蟬{俗}嬋{俗，～娟}禪{俗，～宗}蟾尋{兩手平伸的長度}[3]陝閃{～電}[5]滲{液體等流出或漏出}[6]贍{～養}
k	[1]兼[2]鹹{～菜}[3]堿減撿檢劍
kʰ	[1]謙[2]緘{傛，～默}[3]歉{道～}[4]儉[5]欠歉{又，～收}芡{～實}
ɡ	[2]嚴閻{傛，～羅王}[3]儼{～然}[6]驗[7]夾{又}
h	[1]薟{臭～～：臭烘烘}[2]嫌[3]險[5]喊{又，～雞：趕雞}
∅	[1]奄淹{～博}醃{又}閹{～割}懨[2]炎{赤日～～}鹽{～水}閻[3]奄{又，～忽}掩[5]豔厭{～煩}[6]炎{又，發～}焰{火～}
#iap	
t	[7]輒[8]蝶{蝴～}諜碟喋牒疊{重～}
tʰ	[7]帖貼{補～}[8]疊{又，～羅漢}
l	[7]捏{～造}涅聶{姓}躡鑷囁𥍉懾{畏懼，膽怯}攝{～影}[8]粒-獵捏{又，擺弄}
ts	[7]接{～待}睫[8]捷{頻繁}
tsʰ	[7]妾竊{俗，盜～}
s	[7]澀{晦～}懾{震～}攝{又，～政}[8]涉泄{俗，～密}
k	[7]夾{又，講義～}浹莢頰劫峽{俗，海～}俠{武～}
kʰ	[7]怯{膽～}篋□{醜；壞}
ɡ	[8]業
h	[8]洽{接～}狹{～義}峽{～穀}脅協挾{要～}
∅	[7]挹{藏}[8]葉{姓}頁燁
#an	
p	[1]班斑般{～配}瘢扳頒[2]貧{～懶：懶惰}爿瓶-{酒～}[3]版板舨阪阪扳{俗，～手}[6]扮辦瓣範{鞋～：鞋樣}
pʰ	[1]攀[5]盼判{～別}襻{布～}
b	[2]鰻蠻閩{～南}[3]挽{～花：摘花}[6]曼慢漫謾謾幔蔓{～延}萬
t	[1]丹單{簡～}鄲{邯～：地名}釘{鐵～}叮{順便附言}噸{俗}[2]陳{姓}壇弾{～性}檀{～板}填{～雷：響雷}亭{～仔：亭子}[3]等{～待}[5]旦{元～}鄧{見於晉江地名“旦厝”，村民以鄧姓為主}蛋{～白}誕釘{～鈕仔：釘扣子}盯{注視}[6]但憚彈
tʰ	[1]蟶-{～乾}灘=攤=癱[3]妲{俗，～己：人名}坦{～白}祖疸{黃～}毯挺{～橫：橫著}[5]趁-{～錢：掙錢}歎炭碳澶
l	[1]□{手～：手繭}[2]蘭攔欄闌{～尾}瀾{波～}讕{～言}斕{斑～}鱗-{魚～}零-{～星}鈴-{鴿～}難{困～}[3]懶=攤{又}叻{音譯地名用字}
ts	[1]曾-{姓}[2]殘{～忍}□{刺；閹}層{～次}[3]盞[5]贊站{俗，～崗}棧{客～}
tsʰ	[1]餐呻{呻吟}[2]潺{～～流水}塍{田}[3]鏟[5]燦{～爛}
s	[1]潸珊姍跚刪山舢{～板}訕鉎{生～：生銹}星-{零～}[3]產{～生}鏟{又}散㾪-{痩}[5]散{又，～布}疝{～氣}汕
k	[1]干{～涉}杆肝={～膽}□{酒～：酒瓶}矸{酒～：酒瓶}竿奸間{中～}艱{～難}菅=[2]□{“角銀”的合音。三～：三毛錢}[3]趕柬{請～}揀襇簡囝{奴婢；～仔：小孩}[5]幹{又，～勁}間{又，～隔}澗諫
kʰ	[1]看刊牽{～手}慳{～吝}[3]侃[5]看{又，～守}
ɡ	[2]凝{冰凉}顏{姓}[3]眼{～科}[5]嚴{又，～鋼：淬火}[6]岸={偉～}雁唁{吊～}彥{人名用字}諺{～語}
h	[1]番{～薯}鼾[2]樊{～梨花：人名}韓寒={～冷}閑={～雜}[3]喊={～叫}罕{希～}[4]旱{～災}限[5]漢汗={～顏}捍{俗，～衛}[6]翰瀚旱{俗，乾～}焊悍捍
∅	[1]安={～全}鞍={～馬}氨[2]縆{縛～：綁緊}[3]安{俗，～爾：這樣}[5]桉{～樹}按案={教～}晏
#at	
p	[7]八{～仙過海}捌別{認識；曾經}[8]別{又，～搭：別處}
b	[8]密-{關～：關緊}墨{～賊：烏賊}木{俗，～虱：臭蟲}
t	[7]怛□{𣍐度～得：不像樣}[8]達笛-{～仔：笛子}值-{～錢}
tʰ	[7]跶{糟～：糟蹋}撻{鞭～}踢-{～球}窒{塞，堵}
l	[8]辣鰳{～魚}力{出～}栗{～子}
ts	[7]節-{又，關～}紮{～實}劄軋[8]實{～腹：實心}賊{墨～：烏賊}鍘
tsʰ	[7]擦察刹{古～}漆-{油～}[8]賊-{又，～仔：小偷}
s	[7]撒薩{菩～}塞煞殺{凶～}刹{又，～車}虱-{木～：臭蟲}
k	[7]割葛={瓜～}墼{塗～：土坯}結{～頭：結子}
kʰ	[7]渴刻{石～：臺階}克{～苦：刻苦}乞{～火}
h	[7]喝{呼～：管教}瞎轄[8]乏{缺乏}核{牽～：淋巴結腫大}遏褐{短～}
∅	[7]遏{又，～制}扼{折}[8]遏{潷}
#in	
p	[1]扁{～擔}賓儐檳繽濱彬斌瀕[2]貧{～窮}頻顰屛{～風}憑{～證}[3]稟屏{又，篾～：竹編屏狀物}[4]牝{～雞}[5]□{櫛～：篦子}鬢{～發}擯{～棄}殯{出～}[6]臏
pʰ	[1]乒{～乓球}[2]蹁{傾斜，不正}[3]品
b	[2]民岷閩眠明{～仔：明天}敏閔{姓}憫{憐～}抿{齒～：牙刷}泯{～滅}[5]面{～巾：毛巾}
t	[1]津{俗，～貼}珍{～貴}[2]塵{～埃}陳{～皮}藤[3]挺{又，～動：動彈}[5]鎮[6]陣{～地}
tʰ	[1]□{漖～通：稀得很}[2]滕{～茶：倒茶}[5]趁=[6]媵{許配；配對}
l	[1]奶{橡～：橡膠}[2]憐{可～}鄰磷嶙麟鱗{～傷}粼人仁[3]□{你們；你}[5]輾{旋轉，轉}[6]吝藺躪{蹂～}刃韌認
ts	[1]津{坐～：沉澱}升{公～}真甄{～別}臻榛[2]秦繩{凝視}[3]診疹{麻～}縝{～密}振賑{～災}震{地～}拯{～救}[4]盡[5]晉=搢進[6]燼{灰～}
tsʰ	[1]嗔瞋{～目}親{～熱}[5]襯{～字}秤{～錘}稱{～重：測定重量}凊{～水：涼水}
s	[1]身{～體}娠莘{～～}申伸{～冤}呻{～吟}紳{～士}辛新薪鋅[2]臣辰晨承{接著，接住}乘{～機}神繩{又，～索}蠅{胡～：蒼蠅}[3]鋅{俗}[5]慎腎{～臟}信汛訊迅[6]剩{出～：剩餘}
k	[1]今{～仔：今天}[3]囝{又，～仔：孩子}緊謹槿瑾{俗}僅[5]絹
kʰ	[1]輕-{看～}[3]肯{呣～：=不肯}□{深～：深淺}
ɡ	[2]凝{～目：斜視}
h	[2]雄{～黃}眩{頭～：頭暈}
∅	[1]因姻{～緣}茵□{他們；他}嬰{～線：纏線}[2]寅[3]引蚓[5]印{～製}應{～話：答話}孕{～育}
#it	
p	[7]筆畢必{裂}[8]弼辟{開～}
pʰ	[7]匹
b	[8]蜜密{秘～}
t	[7]得{～分}的{目～}[8]直值{～班}侄
tʰ	[7]佚{～佗：玩耍}□{～佗：玩耍}
l	[8]栗日
ts	[7]積{～累}即{～使}脊{又，～椎骨}繢{成～}鯽{～魚：一種淡水魚}稷{社～}責織{紡～}職{～務}質[8]疾蒺嫉禃{一}蜀{一}
tsʰ	[7]七{～斤}柒漆拭{～碗：擦碗}
s	[7]穡{作～：幹活兒}失膝息{消～}熄{～燈}[8]石{又，金～}實{～在}蝕{又，腐～}食{又，～品}碩{豐～}夕{朝～}汐{潮～}席{又，主～}翼{～股：翅膀}殖{繁～}植{～物}
kʰ	[7]乞{～食：乞丐}[8]□{木樁，木釘}
h	[7]□{那}[8]□{搖盪；甩}
∅	[7]一壹乙憶{～著：顧念}[8]佚軼逸
#un	
p	[1]奔{～放}分{～家}[2]㖹{吹}[3]本{～來}苯[4]笨[5]畚{～箕}糞{牛～}
pʰ	[1]奔{又，～馳}潘{米～：泔水}[2]盆[3]畚{扒拉}[5]噴{～～跳：活蹦亂跳}
b	[1]□{笑～～：笑吟吟}[2]門{天安～}捫{～心}們{人～}聞文汶紋=蚊雯[3]吻刎[6]燜{微火煮或燉}悶紊{～亂}問{～題}
t	[1]敦墩蹲{～點}噸{～位}[2]唇屯[3]盾{俗}囤{俗，～積}[4]囤鈍{俗，遲～}遁沌{混～}燉{文火久煮}[5]頓{停～}[6]鈍盾
tʰ	[1]椿吞[2]塵{煙～}屯豚{豬～仔：小豬}[3]蠢{～笨}□{踏}[5]□{慍～：傻；不懂事}[6]填{以物充填}
l	[1]伸{又，～頭}[2]侖倫淪{沉～}輪綸{錦～}掄論{《～語》}[3]懍{～～：害怕}碾{石～：石碾子}暖{～鍋：火鍋}忍{吞～：忍耐}[5]□{掙扎}[6]論{又，爭～}嫩韌{～皮：執拗而賴皮}閏潤
ts	[1]諄尊樽遵[2]船-{帆～}存前-{～年}[3]准準撙{節～：分寸}[4]埈{擰}[5]俊駿竣{俗，～工}顫{抖}圳{水～}[6]陣{時～：時候}
tsʰ	[1]春村{山～}伸{又，～腰}[2]存{又，尊～：尊重}[3]蠢{愚～}忖{思～}[4]□{剩}[5]寸
s	[1]孫猻[2]純淳醇鶉旬徇洵詢荀{～子：人名}巡馴{～服}循[3]榫吮=損{～失}筍[5]舜瞬{～間}遜{～色}[6]順殉{～葬}
k	[1]跟根巾斤筋軍君均鈞[2]拳{～頭}群裙□{水中久煮}[3]袞滾輥[4]近窘{～迫}[5]棍[6]郡
kʰ	[1]坤{亁～}昆鯤{～鵬}髡{刮}[2]勤芹蜷{纏繞}[3]菌{細～}懇墾捆[5]困睏{睡}
ɡ	[2]銀齦{齒～}[3]□{我們；我}
h	[1]分{～數}吩{～咁}汾{～河：水名}紛芬氛昏{黃～}婚葷勳熏{燒～：吸煙}薰[2]焚墳痕渾魂雲{白～}[3]粉很狠{～～：盡力，努力}[4]混[5]奮糞{～土}忿釁{挑～}訓[6]分{又，本～}份{成～}憤恨混{俗～雜}諢={～號}
∅	[1]恩溫瘟殷冤{～屈}醞{俗，～釀}[2]勻雲{遊逛}紜耘芸筠[3]穩隱=癮尹蚓{猴～：蚯蚓}允□{～痀：駝背}[4]緩{～～仔：慢慢}[5]揾{蘸}韞慍蘊韻[6]運暈
#ut	
p	[7]不□{～塗：畚土}[8]勃=脖渤{～海}佛-{銅～}
b	[7]勿{暢～～：高興得很}[8]沒{～收}歿勿{又}物{事～}物{用力鞭打}
t	[7]咄{～～逼人}[8]突{～然}
tʰ	[7]黜{～免}脫{～臼}□{肥～～：肥碩}[8]禿{俗}凸
l	[7]黜{～職：降職}脫{又，～輪：脫臼}[8]捋{～手骨：捋胳膊}律率{效～}□{講，說}
ts	[7]卒[8]秫{～米：糯米}术{蒼～：中藥名}
tsʰ	[7]出猝
s	[7]戍{俗，衛～}摔{抽打}率{坦～}蟀{蟋～}瞬{俗，～目：眨眼}屑{又，鋸～：鋸末}戌恤[8]秫術述
k	[7]骨[8]滑{～輪}猾{狡～}掘{挖}
kʰ	[7]倔崛窟屈[8]□{大～：大衣}屈{又，絕，盡}
ɡ	[7]訖{俗，收～}迄{俗，～今}兀
h	[7]弗佛{仿～}□{打}忽惚[8]佛={又，如來～：佛名}拂{又，甩}核{桃～}
∅	[7]尉{姓}熨兀{俗，～立}鬱[8]□{亂塗}
#ian	
p	[1]編{～輯}邊{～防}鞭{～策}[2]便{～宜}駢{～體文}緶{～仔：布質，花邊}[3]蝙{俗，～蝠}扁{～食}匾貶[4]辨辯辮[5]變{～革}[6]便{又，隨～}卞汴弁{馬～}
pʰ	[1]編{又，～寫}偏{～離}篇{～幅}翩[2]蹁{不正}[3]篇{要這要那}[5]遍騙片{～段}
b	[2]棉綿眠[3]免勉娩冕緬[6]面
t	[1]顛癲巔滇[2]纏田填{～詞}[3]典碘腆展{開～}[6]電佃甸鈿殿奠澱填{又，墊}䋎=
tʰ	[1]天={～文}[3]展{又，～開}殄
l	[1]蔫{卷～：卷起}[2]連={～環}蓮{～子}漣鰱聯憐{～愛}然燃={～燒}[3]剪臉{俗，落～：丟臉}璉碾{～盤}撚{紙～：紙引}輦{步～：步行}攆[6]煉練楝鏈梿茘{～枝}輾
ts	[1]煎={～餅}箋氈[2]前{～途}錢[3]剪{～刀}譾{～陋}戩[4]踐[5]箭{～步}薦椾戰顫[6]賤{下～}餞{蜜～}踐{俗}濺
tsʰ	[1]千={～秋}遷阡親{湊巧}[2]延{拖延}[3]鏟{鐵～}淺{～說}[5]茜倩{～影}
s	[1]身{量詞，尊}先{～進}仙鮮{～明}[2]涎[3]冼{姓}銑{～鐵}筅鮮{又，新～}癬[4]善鱔=□{疲倦}單{姓}腎{～子：睾丸}羨{俗，欣～}[5]扇=搧{用手掌打}煽線腺[6]繕{修～}膳{～食}擅{～長}嬗{～変}
k	[1]堅肩={～章}[2]乾{～坤}[3]繭囝=[4]件=腎{雞～：雞肫}[5]建健{～康}腱鍵毽見{～聞}
kʰ	[1]搴騫牽{扣}愆[2]虔{～誠}[3]遣譴犬[5]健={又，勇～～：很健康}□{量詞，回、次}
ɡ	[2]凝{呆滯}言妍研[3]妍{俗，嬌健}研{俗，～究}[5]□{喜好}[6]硯彥諺唁
h	[1]掀軒[2]弦舷賢玄眩懸={～殊}[3]顯{明～}[4]莧=泫獻{貢～}憲□{腥臊味}絢{～麗}[6]縣=現
∅	[1]煙菸胭咽{～喉}焉嫣姻{婚～}淵[2]鉛沿延{～期}筵蜒簷芫{～荽}緣[3]演衍{敷～}偃{摔跤}[5]宴堰燕={海～}
#iat	
p	[7]鱉=□{～簽詩：解釋占卜詩文}[8]別{分～}
pʰ	[7]瞥{飄～：不安分}撇□{盤子}[8]□{劈}□{禽鳥拍翅}
b	[8]滅蔑篾
t	[7]哲[8]跌{下～}迭挃=摕=轍秩{～序}
tʰ	[7]徹{～底}澈{清～}撤鐵={～定}
l	[8]列烈裂{分～}冽熱{～情}
ts	[7]節={～省}折={挫～}浙櫛{～比}[8]截{～取}捷{俗，敏～}蠞=
tsʰ	[7]砌{俗}切{密～}竊{～～私議}
s	[7]設揳泄{排～}屑褻{～瀆}[8]舌{口～}折
k	[7]吉詰頡揭{～發}孑結{～構}潔拮桔譎[8]揭{又}碣竭{～力}傑桀櫭
kʰ	[7]恝{戾～：乖張}揭{又}[8]竭{又，～～：瘦小}桀{又，乖戾}碣{又，坎～：坎坷}鍥𨂰
ɡ	[7]齧{蟹等以腳鉗物}鎳[8]孽{頑皮}蘖
h	[7]歇{宿～：歇宿}擷{花～：亂丟亂扔}蠍血={～淚}[8]穴{～位}
∅	[7]謁{～見}咽{又}悅閱{～讀}[8]曳{招展}
#uan	
p	[1]般={又}搬={～弄}[4]拌[5]半={～夏}絆
pʰ	[1]番{～禺}潘藩[2]盤磐蟠蹣胖{心廣體～}[4]伴={～同}[5]叛{～徒}判={～別}泮{～宮}畔
b	[2]瞞=[3]満={圓～}挽{～留}晩=
t	[1]端{～正}[2]傳={～達}[3]短=[4]斷={～定}鍛{～壓}[6]段緞煆傳{又，～記}
tʰ	[1]湍{～急}[2]傳{又，宜～}椽團={～圓}[5]鍛{又}[6]篆{～書}
l	[2]戀巒孿攣鑾鸞灤[3]卵={～巢}暖{溫～}軟={～弱}[6]亂=
ts	[1]專磚顓[2]全={～部}泉={～州：地名}[3]轉={旋～}纂{編～}賺{俗}[4]撰{杜～}[5]鑽={～硏}[6]饌
tsʰ	[1]川{山～}穿={～插}村={農～}悛荃痊詮銓[2]攢{～料：備料}[3]喘舛[5]串{～通}釧竄{逃～}篡
s	[1]訕{譏諷}栓=拴=閂酸={硫～}宣喧{俗}暄{俗}揎萱{俗}渲{俗，～染}[2]船=旋={回～}漩璿[3]選=算={～術}渲蒜=[6]□{～石：鑽石}旋={又，～風}
k	[1]觀冠{衣～}關={～心}官={五～}棺{～木}倌鰥綸{～巾}捐涓娟{嬋～}鵑[2]拳{～～}權顴{～骨}[3]管={～理}館=卷={～縮}[5]貫={～徹}慣{習～}罐鸛灌盥冠{又，～軍}絹{～本}眷卷{又，書～}倦券
kʰ	[1]寬={～廣}髖圏{手～：手鐲}[2]環{～境}寰{～宇}蜷{～曲}[3]款{～待}[5]勸{～勉}
ɡ	[2]元芫原源員{俗，～外}玩頑[3]阮{我們，我}[6]願
h	[1]番{～號}藩翻幡吩{～咐}歡={～送}獾喧暄萱[2]帆{千～競發}凡礬煩樊{～籠}繁桓還{歸～}環寰{人～}[3]反={～對}返[4]犯範{模～}緩{～慢}豢皖莞[5]泛{～濫}販{小～}奐喚煥渙瘓幻[6]飯=梵換=患{～難}宦楦
∅	[1]彎{～曲}灣{港～}蜿豌剜冤{～枉}鴛{～鴦}援{俗，支～}[2]灣{又，臺～}完莞丸{～仔：丸子}紈員{學～}園={～林}圓={團～}爰援{～引}湲垣{城～}袁{姓}猿轅[3]阮{俗，姓}宛豌{俗}剜{俗}玩{俗，～具}頑{俗，～固}宛惋{俗，～惜}碗=䘼=婉晚{俗，～會}皖{俗}莞{俗，～爾}腕{～骨}箢遠={疏～}苑{藝～}[4]緩{～期}惋怨院=
#uat	
p	[7]缽=撥=[8]拔=跋=
pʰ	[7]撇{又，左～}潑{活～}
b	[7]抺=[8]末={～路}沫=茉=襪=
t	[7]輟掇綴{又，點～}[8]奪={～取}
tʰ	[7]脫={～離}
l	[7]劣
ts	[7]拙茁撮{～要}[8]絕={斷～}
tsʰ	[7]啜{～泣}撮{又，～合}
s	[7]說={小～}刷=雪={～糕}[8]踅
k	[7]刮={～灰：抹灰}決訣抉{～擇}玦蹶獗{猖～}譎{～詐}括{包～}
kʰ	[7]厥{～後}缺{～點}闕闋[8]□{用力攪拌}
ɡ	[8]月={～臺}
h	[7]發{出～}法豁砝琺[8]罰伐{步～}筏垡=閥乏{缺～}猾=滑=活={～絡}
∅	[7]挖{～掘}斡{～彎：拐彎}悅閱[8]曰越粵
#ŋ	
p	[1]幫-{依附；増補}崩={～潰}繃={～帶}方-{姓}楓-{～樹}[2]朋=[3]榜{紅～}本-{～錢}[6]傍{～福氣：沾光}飯-{～店}
pʰ	[1]烹砰怦抨{～擊}[2]彭膨{～脹}澎{～湃}硼{～砂}鵬嘭{俗，惡～～：惡狠狠}
m	[1]毛{山上的野草}[2]毛-{又，雞～}門-{～口}[3]晚-{～冬：晚田}[6]問-{～好}
t	[1]當-{～時}登[2]長-{～度}腸-{胃～}傳-{給}堂-{課～}唐-{姓}塘-{池～}滕=藤=謄騰□{對～：對半}[3]等-{相～}長-{又，～大}漲-{水～：漲潮}轉-{～去：回去}[4]蕩-{洗～：洗滌}斷-{～氣}丈-[5]當-{又，典～}頓-{三～：三餐}[6]撞{訓，～著：撞見}
tʰ	[1]湯-{菜～}[2]糖-{白～}謄{又，～寫}騰{又，奔～}[4]□{熟食涼後再加熱}杖-{孝～：哭喪棒}[5]燙-{～金}褪-{脫}
n	[1]□{口感滑溜}[2]郎-{牛～}榔{檳～}能瓤{西瓜～}[3]軟{～膏}[4]兩{～斤}卵{又，蛋}[5]鑽{～山洞}[6]釀{米～：米酒}
ts	[1]僧{～人}贓{～款}曾={～孫}增憎爭={～取}睜猙掙崢錚箏磚-{～頭}裝-{～車}妝-{嫁～}莊-{姓}[2]曾{又，～經}層{～出不窮}嘗{舔}從{～來}全-{齊～}旋{糾纏不休}[3]掌{～甲：指甲}[4]吮{舔}[5]增{又}憎{又}諍{～言}鑽{尖～：鑽營}[6]藏{牽～：引魂}臟-{小～：小腸}狀-{告～}
tsʰ	[1]倉-{～庫}傖-{粗俗}滄-{海～：地名}艙-{船～}撐穿-{～針}川{尻～：屁股}瘡{痔～}創{刀～}村-{鄉～}伸-{～手}[2]床-{～頭}[3]□{～骨：啃骨頭}[5]串{穿過}竄{亂～}
s	[1]桑-{～材樹：桑樹}僧=生={～產}牲{～畜}笙甥拴-{塞進}栓{柴～：木栓}霜-{～凍}孀酸-{～菜}[2]床-{又，籠～：蒸籠}[3]損-{破～}[5]算-{～盤}蒜-{～頭}
k	[1]缸-{水～}扛{抬}更{～新}庚{年～}羹{殘～冷飯}耕{春～}光-{～線}[3]哽{～咽}梗{～阻}埂管-{水～}廣-{～州：地名}卷-{～尺}[5]鋼{～筆}杠{雙～}更{又，～加}貫-{穿；擊}卷-{又，考～}
kʰ	[1]康-{姓}糠-{米～}坑={～害}鏗圏-{～閱}[3]肯{～定}[5]囥{藏}礦-{銅～}壙{墓～}勸-{相～}
h	[1]方-{又，地～}坊-{牌～}亨-{～通}哼{～歌}荒{開～}昏{下～：晚上}[2]橫={～行}恒={～心}衡={平～}園-{公～}[4]哼{又，嘆詞，表答應}遠-{～近}[5]哼{又，嘆詞，表鄙視}
∅	[1]揾{又，捂；遮掩}央{中～：中心}秧{插～}[2]黃-{金～}磺-{硫～}[3]䘼{手～：衣袖}影{樹～}箢{竹編秤盤}[5]向{訓，～望：盼望}眏{～望：盼望}暈{日～}
#ŋʔ	
p	[8]□{跌落}
pʰ	[8]□{猛擊}
m	[7]物{～繏：東西}[8]物{又，～件：東西}
t	[8]□{說話吞吞吐吐}
tʰ	[8]團{塗～：土塊}
ts	[8]旋{又，糾纏不休}
tsʰ	[7]□{～喉：異物進入喉嚨}[8]蹭{磨蹭}
s	[7]□{用繩子等套緊}[8]□{用鼻子吸入}
k	[8]□{握；扼}
∅	[8]嗯{嘆詞，表疑問}
#aŋ	
p	[1]邦幫{又，～助}梆浜崩-{山～}方-{又，四～：四四方方}枋-{柴～：木板}封{紅～：紅包}峰{象～：巷名}[2]房-{～屋}馮{姓}逢{幸～}縫-{～衫：縫衣服}龐{姓}朋{～山嶺：地名}[3]綁[4]蚌棒放-{～學}[6]棒{俗，棍～}泵{水～}
pʰ	[1]芳-{香}蜂-{蜜～}峰-{又，～尾：地名}[2]帆{～船}篷{帳～}捧{～場}[3]紡{～織}[5]縫{空～：空隙}胖
b	[1]濛{雨～～}[2]芒-{菅～：蘆花}茫-{～～：惘然}忙{幫～}氓{流～}[3]蟒{～袍}懵{鼠～：近視}蠓-{蚊子}魍{變～：要花招}[4]網-{魚～}[6]夢-{做～}望-{向～：昐望}
t	[1]當{又，丁～}鐺冬-{～天}東-{～北}[2]同-{相～}銅-{～板}桐-{泡～}筒-{話～}童-{跳～：跳神}[3]董-{姓}[4]動-{活～}重-{～量}[5]當{又，穩～：一定}檔{換～}棟{倚～：立柱}凍-{冰～}
tʰ	[1]窗通-{光～：亮堂}□{火～：手爐}通{可以}[2]蟲-{～害}桐-{又，～油}[3]桶-{水～}統-{鞋～}[5]趟{兩～}痛-{苦～：痛苦}
l	[1]朗{俗，巴～魚：一種食用魚}㝗{疏～：稀疏，原文作“蘢”}礱{石～：地名}[2]聾-{臭～：耳聾}礱{又，挨～：推礱}籠-{～床：蒸籠}膿{流～}儂{人}[3]攏{～權：掌權}籠{又，箱～}[4]籠-{又，箸～：放筷子的籠子}[5]□{遼～：寬敞}[6]弄-{～劍：舞劍}
ts	[1]棕{～色}鬃{馬～}[2]□{～水：沖水}叢-{量詞，棵；枝}[3]掌{五～：手掌}總-{頭～：頭緒}□{菜～：菜纓子}[4]□{揪}[5]粽-{肉～}
tsʰ	[1]匆{鬧～～：很熱鬧}蔥{～頭}蒼{白髮～～}聰{～明}[3]傯{茹～～：很淩亂}[5]縱{～毛：毛髮直立}
s	[1]雙{～手}鬆-{輕～}[2]□{相同的合音}[3]𢱤{推}[5]送-{～禮}
k	[1]岡{山～}綱{大～}剛{～好}崗{站～}肛{～門}工{～廠}公-{雄性}蚣{蜈～}江{～河}[3]港{海～}□{牛～：牯牛}講-[5]降{～落}絳[6]共-{相～：幫忙}
kʰ	[1]康{又，有～：富裕}空{～虛}腔{耳～：耳朵}[3]孔{面～}[5]空{又，～地}控{用指甲挖、扒}
h	[1]魟{～魚}夯{石～}烘{～箱}[2]杭{～菊}航{～海}行{銀～}絎{俗，一種縫線法}降{投～}[3]哄{～喝：威嚇}[4]項[5]放{又，紅腫}[6]巷
∅	[1]翁-{丈夫}[2]紅-{～色}洪-{姓}[5]甕-{酒～}
#ak	
p	[7]北-{～方}剝-{～削}駁{～殼：駁殼槍}幅{布～：幅面}腹-{破～：剖腹}[8]蔔{蘿～}縛{捆綁}
pʰ	[7]覆-{倒翻}僕{伏}樸{厚～：中藥名}[8]曝-{曬}
b	[7]□{沾}[8]墨-{～水}木-{～師：木匠}目-{～鏡：眼鏡}
t	[7]觸{牛相～：牛相頂}啄[8]毒-{～酒}獨{孤～：孤癖}逐-{～日：每天}濁{發物}
tʰ	[7]剔-{～齒：剔牙縫兒}□{～算盤：打算盤}[8]讀-{～冊：讀書}
l	[7]錄{～空：鑽孔}落-{又，掉}轆{軲～：轆轤}[8]六-陸搦{用手指抓}
ts	[7]齪{齷～：煩悶}則{原～}[8]賊族{著加～：嗆}
tsʰ	[7]測{～量}側{～重}惻{～隱}簇{新～～：極新}□{條幅}[8]鑿-{～空：打孔}
s	[7]塞{又}□{推}索={探～}
k	[7]穀{五～}角-菊{～花}桷覺[8]□{揭～：喻人不成器}
kʰ	[7]殼-{～灰}麴{酒～}確榷
ɡ	[8]獄樂{音～}嶽岳
h	[7]□{～酒：釀酒}[8]斛{十石}□{糞坑}學={～習}
∅	[7]沃-{～水：澆水}握{把～}齷{～齪：煩悶}幄{帷～}
#ɔŋ	
p	[1]幫=[2]房{又，洞～}龐={～大}彷{～徨}旁膀{～脁}磅{～}螃[3]榜={標～}膀{又，臂～}[4]磅{俗，～秤}鎊{俗，英～}謗{誹～}磅鎊
pʰ	[1]乓滂[2]泵{俗，水～}房{又，量詞：套，用於傢俱}蓬{～勃}篷=[3]捧{又，用雙手托}[5]胖{～大海：中藥名}胖{凸起}碰{俗，～頭}
b	[1]摸{～摸：做家務}[2]忙=芒={～種}茫{渺～}盲={～腸}蒙濛{空～}檬朦氓=虻{俗，牛～}亡[3]莽漭蟒={～蛇}懵{～懂}蠓=網=罔惘輞{～川：地名}魍{～魎}[6]夢{～想}妄忘望{名～}
t	[1]當={～然}東={～方}冬={～青}咚[2]幢{～幡}唐{荒～}塘=糖=搪{～塞}堂={～皇}螳{～螂}膛棠同={～意}桐={梧～}銅=彤佟{姓}童={兒～}潼{～關：地名}瞳{～孔}筒僮[3]黨董={～理}懂[4]蕩={傾家～產}動={勞～}[5]擋當={適～}檔={～案}棟={～梁}凍={～結}□{～戇：愚妄}[6]宕洞{山～}恫{～嚇}侗{～族}胴慟{哀～}撞{～針}
tʰ	[1]湯通{～告}[3]倘淌躺統{～治}桶捅[4]□{得過且過}[5]趟燙痛{～苦}
