字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
狂	=D3614&E3614&F3614		kʰ	uaŋ	44	=IF(D3614=0,"〇",D3614)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3614=B3615,0,1)	=D3614&E3614	=IF(L3614=L3615,0,1)	=IF(M3613=0,IF(K3613=0,IF(B3614=B3613,N3613&IF(C3614=0,A3614,A3614&"{"&C3614&"}"),"["&J3614&"]"&IF(C3614=0,A3614,A3614&"{"&C3614&"}")),N3613&"["&J3614&"]"&IF(C3614=0,A3614,A3614&"{"&C3614&"}")),"["&J3614&"]"&IF(C3614=0,A3614,A3614&"{"&C3614&"}"))	=L3614&N3614
款	=D3615&E3615&F3615	文	kʰ	uaŋ	53	=IF(D3615=0,"〇",D3615)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3615=B3616,0,1)	=D3615&E3615	=IF(L3615=L3616,0,1)	=IF(M3614=0,IF(K3614=0,IF(B3615=B3614,N3614&IF(C3615=0,A3615,A3615&"{"&C3615&"}"),"["&J3615&"]"&IF(C3615=0,A3615,A3615&"{"&C3615&"}")),N3614&"["&J3615&"]"&IF(C3615=0,A3615,A3615&"{"&C3615&"}")),"["&J3615&"]"&IF(C3615=0,A3615,A3615&"{"&C3615&"}"))	=L3615&N3615
曠	=D3616&E3616&F3616		kʰ	uaŋ	41	=IF(D3616=0,"〇",D3616)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3616=B3617,0,1)	=D3616&E3616	=IF(L3616=L3617,0,1)	=IF(M3615=0,IF(K3615=0,IF(B3616=B3615,N3615&IF(C3616=0,A3616,A3616&"{"&C3616&"}"),"["&J3616&"]"&IF(C3616=0,A3616,A3616&"{"&C3616&"}")),N3615&"["&J3616&"]"&IF(C3616=0,A3616,A3616&"{"&C3616&"}")),"["&J3616&"]"&IF(C3616=0,A3616,A3616&"{"&C3616&"}"))	=L3616&N3616
況	=D3617&E3617&F3617		kʰ	uaŋ	41	=IF(D3617=0,"〇",D3617)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3617=B3618,0,1)	=D3617&E3617	=IF(L3617=L3618,0,1)	=IF(M3616=0,IF(K3616=0,IF(B3617=B3616,N3616&IF(C3617=0,A3617,A3617&"{"&C3617&"}"),"["&J3617&"]"&IF(C3617=0,A3617,A3617&"{"&C3617&"}")),N3616&"["&J3617&"]"&IF(C3617=0,A3617,A3617&"{"&C3617&"}")),"["&J3617&"]"&IF(C3617=0,A3617,A3617&"{"&C3617&"}"))	=L3617&N3617
擴	=D3618&E3618&F3618		kʰ	uaŋ	41	=IF(D3618=0,"〇",D3618)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3618=B3619,0,1)	=D3618&E3618	=IF(L3618=L3619,0,1)	=IF(M3617=0,IF(K3617=0,IF(B3618=B3617,N3617&IF(C3618=0,A3618,A3618&"{"&C3618&"}"),"["&J3618&"]"&IF(C3618=0,A3618,A3618&"{"&C3618&"}")),N3617&"["&J3618&"]"&IF(C3618=0,A3618,A3618&"{"&C3618&"}")),"["&J3618&"]"&IF(C3618=0,A3618,A3618&"{"&C3618&"}"))	=L3618&N3618
礦	=D3619&E3619&F3619		kʰ	uaŋ	41	=IF(D3619=0,"〇",D3619)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3619=B3620,0,1)	=D3619&E3619	=IF(L3619=L3620,0,1)	=IF(M3618=0,IF(K3618=0,IF(B3619=B3618,N3618&IF(C3619=0,A3619,A3619&"{"&C3619&"}"),"["&J3619&"]"&IF(C3619=0,A3619,A3619&"{"&C3619&"}")),N3618&"["&J3619&"]"&IF(C3619=0,A3619,A3619&"{"&C3619&"}")),"["&J3619&"]"&IF(C3619=0,A3619,A3619&"{"&C3619&"}"))	=L3619&N3619
顏	=D3620&E3620&F3620		ŋ	uaŋ	44	=IF(D3620=0,"〇",D3620)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3620=B3621,0,1)	=D3620&E3620	=IF(L3620=L3621,0,1)	=IF(M3619=0,IF(K3619=0,IF(B3620=B3619,N3619&IF(C3620=0,A3620,A3620&"{"&C3620&"}"),"["&J3620&"]"&IF(C3620=0,A3620,A3620&"{"&C3620&"}")),N3619&"["&J3620&"]"&IF(C3620=0,A3620,A3620&"{"&C3620&"}")),"["&J3620&"]"&IF(C3620=0,A3620,A3620&"{"&C3620&"}"))	=L3620&N3620
元	=D3621&E3621&F3621	文	ŋ	uaŋ	44	=IF(D3621=0,"〇",D3621)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3621=B3622,0,1)	=D3621&E3621	=IF(L3621=L3622,0,1)	=IF(M3620=0,IF(K3620=0,IF(B3621=B3620,N3620&IF(C3621=0,A3621,A3621&"{"&C3621&"}"),"["&J3621&"]"&IF(C3621=0,A3621,A3621&"{"&C3621&"}")),N3620&"["&J3621&"]"&IF(C3621=0,A3621,A3621&"{"&C3621&"}")),"["&J3621&"]"&IF(C3621=0,A3621,A3621&"{"&C3621&"}"))	=L3621&N3621
原	=D3622&E3622&F3622		ŋ	uaŋ	44	=IF(D3622=0,"〇",D3622)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3622=B3623,0,1)	=D3622&E3622	=IF(L3622=L3623,0,1)	=IF(M3621=0,IF(K3621=0,IF(B3622=B3621,N3621&IF(C3622=0,A3622,A3622&"{"&C3622&"}"),"["&J3622&"]"&IF(C3622=0,A3622,A3622&"{"&C3622&"}")),N3621&"["&J3622&"]"&IF(C3622=0,A3622,A3622&"{"&C3622&"}")),"["&J3622&"]"&IF(C3622=0,A3622,A3622&"{"&C3622&"}"))	=L3622&N3622
源	=D3623&E3623&F3623		ŋ	uaŋ	44	=IF(D3623=0,"〇",D3623)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3623=B3624,0,1)	=D3623&E3623	=IF(L3623=L3624,0,1)	=IF(M3622=0,IF(K3622=0,IF(B3623=B3622,N3622&IF(C3623=0,A3623,A3623&"{"&C3623&"}"),"["&J3623&"]"&IF(C3623=0,A3623,A3623&"{"&C3623&"}")),N3622&"["&J3623&"]"&IF(C3623=0,A3623,A3623&"{"&C3623&"}")),"["&J3623&"]"&IF(C3623=0,A3623,A3623&"{"&C3623&"}"))	=L3623&N3623
阮	=D3624&E3624&F3624		ŋ	uaŋ	44	=IF(D3624=0,"〇",D3624)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3624=B3625,0,1)	=D3624&E3624	=IF(L3624=L3625,0,1)	=IF(M3623=0,IF(K3623=0,IF(B3624=B3623,N3623&IF(C3624=0,A3624,A3624&"{"&C3624&"}"),"["&J3624&"]"&IF(C3624=0,A3624,A3624&"{"&C3624&"}")),N3623&"["&J3624&"]"&IF(C3624=0,A3624,A3624&"{"&C3624&"}")),"["&J3624&"]"&IF(C3624=0,A3624,A3624&"{"&C3624&"}"))	=L3624&N3624
芫	=D3625&E3625&F3625	文	ŋ	uaŋ	44	=IF(D3625=0,"〇",D3625)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3625=B3626,0,1)	=D3625&E3625	=IF(L3625=L3626,0,1)	=IF(M3624=0,IF(K3624=0,IF(B3625=B3624,N3624&IF(C3625=0,A3625,A3625&"{"&C3625&"}"),"["&J3625&"]"&IF(C3625=0,A3625,A3625&"{"&C3625&"}")),N3624&"["&J3625&"]"&IF(C3625=0,A3625,A3625&"{"&C3625&"}")),"["&J3625&"]"&IF(C3625=0,A3625,A3625&"{"&C3625&"}"))	=L3625&N3625
顔	=D3626&E3626&F3626		ŋ	uaŋ	44	=IF(D3626=0,"〇",D3626)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3626=B3627,0,1)	=D3626&E3626	=IF(L3626=L3627,0,1)	=IF(M3625=0,IF(K3625=0,IF(B3626=B3625,N3625&IF(C3626=0,A3626,A3626&"{"&C3626&"}"),"["&J3626&"]"&IF(C3626=0,A3626,A3626&"{"&C3626&"}")),N3625&"["&J3626&"]"&IF(C3626=0,A3626,A3626&"{"&C3626&"}")),"["&J3626&"]"&IF(C3626=0,A3626,A3626&"{"&C3626&"}"))	=L3626&N3626
玩	=D3627&E3627&F3627		ŋ	uaŋ	53	=IF(D3627=0,"〇",D3627)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3627=B3628,0,1)	=D3627&E3627	=IF(L3627=L3628,0,1)	=IF(M3626=0,IF(K3626=0,IF(B3627=B3626,N3626&IF(C3627=0,A3627,A3627&"{"&C3627&"}"),"["&J3627&"]"&IF(C3627=0,A3627,A3627&"{"&C3627&"}")),N3626&"["&J3627&"]"&IF(C3627=0,A3627,A3627&"{"&C3627&"}")),"["&J3627&"]"&IF(C3627=0,A3627,A3627&"{"&C3627&"}"))	=L3627&N3627
頑	=D3628&E3628&F3628		ŋ	uaŋ	53	=IF(D3628=0,"〇",D3628)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3628=B3629,0,1)	=D3628&E3628	=IF(L3628=L3629,0,1)	=IF(M3627=0,IF(K3627=0,IF(B3628=B3627,N3627&IF(C3628=0,A3628,A3628&"{"&C3628&"}"),"["&J3628&"]"&IF(C3628=0,A3628,A3628&"{"&C3628&"}")),N3627&"["&J3628&"]"&IF(C3628=0,A3628,A3628&"{"&C3628&"}")),"["&J3628&"]"&IF(C3628=0,A3628,A3628&"{"&C3628&"}"))	=L3628&N3628
願	=D3629&E3629&F3629		ŋ	uaŋ	11	=IF(D3629=0,"〇",D3629)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3629=B3630,0,1)	=D3629&E3629	=IF(L3629=L3630,0,1)	=IF(M3628=0,IF(K3628=0,IF(B3629=B3628,N3628&IF(C3629=0,A3629,A3629&"{"&C3629&"}"),"["&J3629&"]"&IF(C3629=0,A3629,A3629&"{"&C3629&"}")),N3628&"["&J3629&"]"&IF(C3629=0,A3629,A3629&"{"&C3629&"}")),"["&J3629&"]"&IF(C3629=0,A3629,A3629&"{"&C3629&"}"))	=L3629&N3629
歡	=D3630&E3630&F3630	文	h	uaŋ	35	=IF(D3630=0,"〇",D3630)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3630=B3631,0,1)	=D3630&E3630	=IF(L3630=L3631,0,1)	=IF(M3629=0,IF(K3629=0,IF(B3630=B3629,N3629&IF(C3630=0,A3630,A3630&"{"&C3630&"}"),"["&J3630&"]"&IF(C3630=0,A3630,A3630&"{"&C3630&"}")),N3629&"["&J3630&"]"&IF(C3630=0,A3630,A3630&"{"&C3630&"}")),"["&J3630&"]"&IF(C3630=0,A3630,A3630&"{"&C3630&"}"))	=L3630&N3630
翻	=D3631&E3631&F3631		h	uaŋ	35	=IF(D3631=0,"〇",D3631)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3631=B3632,0,1)	=D3631&E3631	=IF(L3631=L3632,0,1)	=IF(M3630=0,IF(K3630=0,IF(B3631=B3630,N3630&IF(C3631=0,A3631,A3631&"{"&C3631&"}"),"["&J3631&"]"&IF(C3631=0,A3631,A3631&"{"&C3631&"}")),N3630&"["&J3631&"]"&IF(C3631=0,A3631,A3631&"{"&C3631&"}")),"["&J3631&"]"&IF(C3631=0,A3631,A3631&"{"&C3631&"}"))	=L3631&N3631
番	=D3632&E3632&F3632	文	h	uaŋ	35	=IF(D3632=0,"〇",D3632)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3632=B3633,0,1)	=D3632&E3632	=IF(L3632=L3633,0,1)	=IF(M3631=0,IF(K3631=0,IF(B3632=B3631,N3631&IF(C3632=0,A3632,A3632&"{"&C3632&"}"),"["&J3632&"]"&IF(C3632=0,A3632,A3632&"{"&C3632&"}")),N3631&"["&J3632&"]"&IF(C3632=0,A3632,A3632&"{"&C3632&"}")),"["&J3632&"]"&IF(C3632=0,A3632,A3632&"{"&C3632&"}"))	=L3632&N3632
荒	=D3633&E3633&F3633	文	h	uaŋ	35	=IF(D3633=0,"〇",D3633)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3633=B3634,0,1)	=D3633&E3633	=IF(L3633=L3634,0,1)	=IF(M3632=0,IF(K3632=0,IF(B3633=B3632,N3632&IF(C3633=0,A3633,A3633&"{"&C3633&"}"),"["&J3633&"]"&IF(C3633=0,A3633,A3633&"{"&C3633&"}")),N3632&"["&J3633&"]"&IF(C3633=0,A3633,A3633&"{"&C3633&"}")),"["&J3633&"]"&IF(C3633=0,A3633,A3633&"{"&C3633&"}"))	=L3633&N3633
慌	=D3634&E3634&F3634		h	uaŋ	35	=IF(D3634=0,"〇",D3634)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3634=B3635,0,1)	=D3634&E3634	=IF(L3634=L3635,0,1)	=IF(M3633=0,IF(K3633=0,IF(B3634=B3633,N3633&IF(C3634=0,A3634,A3634&"{"&C3634&"}"),"["&J3634&"]"&IF(C3634=0,A3634,A3634&"{"&C3634&"}")),N3633&"["&J3634&"]"&IF(C3634=0,A3634,A3634&"{"&C3634&"}")),"["&J3634&"]"&IF(C3634=0,A3634,A3634&"{"&C3634&"}"))	=L3634&N3634
謊	=D3635&E3635&F3635		h	uaŋ	35	=IF(D3635=0,"〇",D3635)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3635=B3636,0,1)	=D3635&E3635	=IF(L3635=L3636,0,1)	=IF(M3634=0,IF(K3634=0,IF(B3635=B3634,N3634&IF(C3635=0,A3635,A3635&"{"&C3635&"}"),"["&J3635&"]"&IF(C3635=0,A3635,A3635&"{"&C3635&"}")),N3634&"["&J3635&"]"&IF(C3635=0,A3635,A3635&"{"&C3635&"}")),"["&J3635&"]"&IF(C3635=0,A3635,A3635&"{"&C3635&"}"))	=L3635&N3635
方	=D3636&E3636&F3636	文	h	uaŋ	35	=IF(D3636=0,"〇",D3636)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3636=B3637,0,1)	=D3636&E3636	=IF(L3636=L3637,0,1)	=IF(M3635=0,IF(K3635=0,IF(B3636=B3635,N3635&IF(C3636=0,A3636,A3636&"{"&C3636&"}"),"["&J3636&"]"&IF(C3636=0,A3636,A3636&"{"&C3636&"}")),N3635&"["&J3636&"]"&IF(C3636=0,A3636,A3636&"{"&C3636&"}")),"["&J3636&"]"&IF(C3636=0,A3636,A3636&"{"&C3636&"}"))	=L3636&N3636
肪	=D3637&E3637&F3637	文	h	uaŋ	35	=IF(D3637=0,"〇",D3637)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3637=B3638,0,1)	=D3637&E3637	=IF(L3637=L3638,0,1)	=IF(M3636=0,IF(K3636=0,IF(B3637=B3636,N3636&IF(C3637=0,A3637,A3637&"{"&C3637&"}"),"["&J3637&"]"&IF(C3637=0,A3637,A3637&"{"&C3637&"}")),N3636&"["&J3637&"]"&IF(C3637=0,A3637,A3637&"{"&C3637&"}")),"["&J3637&"]"&IF(C3637=0,A3637,A3637&"{"&C3637&"}"))	=L3637&N3637
芳	=D3638&E3638&F3638	文	h	uaŋ	35	=IF(D3638=0,"〇",D3638)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3638=B3639,0,1)	=D3638&E3638	=IF(L3638=L3639,0,1)	=IF(M3637=0,IF(K3637=0,IF(B3638=B3637,N3637&IF(C3638=0,A3638,A3638&"{"&C3638&"}"),"["&J3638&"]"&IF(C3638=0,A3638,A3638&"{"&C3638&"}")),N3637&"["&J3638&"]"&IF(C3638=0,A3638,A3638&"{"&C3638&"}")),"["&J3638&"]"&IF(C3638=0,A3638,A3638&"{"&C3638&"}"))	=L3638&N3638
風	=D3639&E3639&F3639	白	h	uaŋ	35	=IF(D3639=0,"〇",D3639)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3639=B3640,0,1)	=D3639&E3639	=IF(L3639=L3640,0,1)	=IF(M3638=0,IF(K3638=0,IF(B3639=B3638,N3638&IF(C3639=0,A3639,A3639&"{"&C3639&"}"),"["&J3639&"]"&IF(C3639=0,A3639,A3639&"{"&C3639&"}")),N3638&"["&J3639&"]"&IF(C3639=0,A3639,A3639&"{"&C3639&"}")),"["&J3639&"]"&IF(C3639=0,A3639,A3639&"{"&C3639&"}"))	=L3639&N3639
封	=D3640&E3640&F3640	白	h	uaŋ	35	=IF(D3640=0,"〇",D3640)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3640=B3641,0,1)	=D3640&E3640	=IF(L3640=L3641,0,1)	=IF(M3639=0,IF(K3639=0,IF(B3640=B3639,N3639&IF(C3640=0,A3640,A3640&"{"&C3640&"}"),"["&J3640&"]"&IF(C3640=0,A3640,A3640&"{"&C3640&"}")),N3639&"["&J3640&"]"&IF(C3640=0,A3640,A3640&"{"&C3640&"}")),"["&J3640&"]"&IF(C3640=0,A3640,A3640&"{"&C3640&"}"))	=L3640&N3640
蕃	=D3641&E3641&F3641	~薯	h	uaŋ	35	=IF(D3641=0,"〇",D3641)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3641=B3642,0,1)	=D3641&E3641	=IF(L3641=L3642,0,1)	=IF(M3640=0,IF(K3640=0,IF(B3641=B3640,N3640&IF(C3641=0,A3641,A3641&"{"&C3641&"}"),"["&J3641&"]"&IF(C3641=0,A3641,A3641&"{"&C3641&"}")),N3640&"["&J3641&"]"&IF(C3641=0,A3641,A3641&"{"&C3641&"}")),"["&J3641&"]"&IF(C3641=0,A3641,A3641&"{"&C3641&"}"))	=L3641&N3641
獾	=D3642&E3642&F3642		h	uaŋ	35	=IF(D3642=0,"〇",D3642)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3642=B3643,0,1)	=D3642&E3642	=IF(L3642=L3643,0,1)	=IF(M3641=0,IF(K3641=0,IF(B3642=B3641,N3641&IF(C3642=0,A3642,A3642&"{"&C3642&"}"),"["&J3642&"]"&IF(C3642=0,A3642,A3642&"{"&C3642&"}")),N3641&"["&J3642&"]"&IF(C3642=0,A3642,A3642&"{"&C3642&"}")),"["&J3642&"]"&IF(C3642=0,A3642,A3642&"{"&C3642&"}"))	=L3642&N3642
桓	=D3643&E3643&F3643		h	uaŋ	44	=IF(D3643=0,"〇",D3643)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3643=B3644,0,1)	=D3643&E3643	=IF(L3643=L3644,0,1)	=IF(M3642=0,IF(K3642=0,IF(B3643=B3642,N3642&IF(C3643=0,A3643,A3643&"{"&C3643&"}"),"["&J3643&"]"&IF(C3643=0,A3643,A3643&"{"&C3643&"}")),N3642&"["&J3643&"]"&IF(C3643=0,A3643,A3643&"{"&C3643&"}")),"["&J3643&"]"&IF(C3643=0,A3643,A3643&"{"&C3643&"}"))	=L3643&N3643
還	=D3644&E3644&F3644	文	h	uaŋ	44	=IF(D3644=0,"〇",D3644)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3644=B3645,0,1)	=D3644&E3644	=IF(L3644=L3645,0,1)	=IF(M3643=0,IF(K3643=0,IF(B3644=B3643,N3643&IF(C3644=0,A3644,A3644&"{"&C3644&"}"),"["&J3644&"]"&IF(C3644=0,A3644,A3644&"{"&C3644&"}")),N3643&"["&J3644&"]"&IF(C3644=0,A3644,A3644&"{"&C3644&"}")),"["&J3644&"]"&IF(C3644=0,A3644,A3644&"{"&C3644&"}"))	=L3644&N3644
環	=D3645&E3645&F3645		h	uaŋ	44	=IF(D3645=0,"〇",D3645)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3645=B3646,0,1)	=D3645&E3645	=IF(L3645=L3646,0,1)	=IF(M3644=0,IF(K3644=0,IF(B3645=B3644,N3644&IF(C3645=0,A3645,A3645&"{"&C3645&"}"),"["&J3645&"]"&IF(C3645=0,A3645,A3645&"{"&C3645&"}")),N3644&"["&J3645&"]"&IF(C3645=0,A3645,A3645&"{"&C3645&"}")),"["&J3645&"]"&IF(C3645=0,A3645,A3645&"{"&C3645&"}"))	=L3645&N3645
煩	=D3646&E3646&F3646		h	uaŋ	44	=IF(D3646=0,"〇",D3646)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3646=B3647,0,1)	=D3646&E3646	=IF(L3646=L3647,0,1)	=IF(M3645=0,IF(K3645=0,IF(B3646=B3645,N3645&IF(C3646=0,A3646,A3646&"{"&C3646&"}"),"["&J3646&"]"&IF(C3646=0,A3646,A3646&"{"&C3646&"}")),N3645&"["&J3646&"]"&IF(C3646=0,A3646,A3646&"{"&C3646&"}")),"["&J3646&"]"&IF(C3646=0,A3646,A3646&"{"&C3646&"}"))	=L3646&N3646
礬	=D3647&E3647&F3647		h	uaŋ	44	=IF(D3647=0,"〇",D3647)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3647=B3648,0,1)	=D3647&E3647	=IF(L3647=L3648,0,1)	=IF(M3646=0,IF(K3646=0,IF(B3647=B3646,N3646&IF(C3647=0,A3647,A3647&"{"&C3647&"}"),"["&J3647&"]"&IF(C3647=0,A3647,A3647&"{"&C3647&"}")),N3646&"["&J3647&"]"&IF(C3647=0,A3647,A3647&"{"&C3647&"}")),"["&J3647&"]"&IF(C3647=0,A3647,A3647&"{"&C3647&"}"))	=L3647&N3647
繁	=D3648&E3648&F3648		h	uaŋ	44	=IF(D3648=0,"〇",D3648)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3648=B3649,0,1)	=D3648&E3648	=IF(L3648=L3649,0,1)	=IF(M3647=0,IF(K3647=0,IF(B3648=B3647,N3647&IF(C3648=0,A3648,A3648&"{"&C3648&"}"),"["&J3648&"]"&IF(C3648=0,A3648,A3648&"{"&C3648&"}")),N3647&"["&J3648&"]"&IF(C3648=0,A3648,A3648&"{"&C3648&"}")),"["&J3648&"]"&IF(C3648=0,A3648,A3648&"{"&C3648&"}"))	=L3648&N3648
垣	=D3649&E3649&F3649		h	uaŋ	44	=IF(D3649=0,"〇",D3649)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3649=B3650,0,1)	=D3649&E3649	=IF(L3649=L3650,0,1)	=IF(M3648=0,IF(K3648=0,IF(B3649=B3648,N3648&IF(C3649=0,A3649,A3649&"{"&C3649&"}"),"["&J3649&"]"&IF(C3649=0,A3649,A3649&"{"&C3649&"}")),N3648&"["&J3649&"]"&IF(C3649=0,A3649,A3649&"{"&C3649&"}")),"["&J3649&"]"&IF(C3649=0,A3649,A3649&"{"&C3649&"}"))	=L3649&N3649
