#符号说明	-白读音 =文读音  □本字不明  {}内容注释
#调值	[1]阴平21 [2]阳平35 [3]上声32 [5]阴去44 [6]阳去33 [7a]阴入5 [8]阳入2 [7b]次阴入224
#ɿ	
x	[1]□{慢}[2]函衔咸[3]喊[5]喊[6]苋限陷
ø	[1]安=
#iɛ᷉	
tɕ	[3]简=
#uɛ᷉	
tʰ	[1]湍=
ʂ	[1]删拴栓赸{追赶}闩[5]涮
k	[1]关鳏{无妻或丧妻的人}[3]管=[6]惯
kʰ	[2]环[6]掼
x	[1]㹕{僵硬不灵活}[2]还鬟[5]幻=患=[6]幻-患-
#ũ	
p	[1]搬[5]半
pʰ	[1]拚{~得：舍得}潘[2]槃盘磐般蟠[5]判叛畔[6]伴拌
m	[2]瞒馒鳗[3]满[6]墁幔漫
t	[1]㴷{蘸}端[3]短[5]锻
tʰ	[1]湍贪[2]团抟{使物成团装}昙潭团坛谭[5]探-[6]断段缎
n	[2]南男[3]暖
l	[2]孪峦挛栾滦銮鸾[3]卵[6]乱
ts	[1]钻簪-[5]攥钻
tsʰ	[1]汆[2]蚕[5]窜{~动}
s	[1]酸[3]糁{轻洒}[5]算蒜
tʂ	[1]专砖[3]转[5]转
tʂʰ	[1]川穿[2]传椽{~子：房屋上负载网砖、嶂网的木条}船[3]喘[5]串[6]传{~记}篆
ʐ	[3]软阮
k	[1]倌冠官干杆柑棺泔甘竿肝观[3]感擀敢杆橄澉秆管莞赶馆[5]冠干灌盥罐观贯赣鹳
kʰ	[1]刊堪宽看髋[3]侃冚{碗等口朝下放置}坎款砍[5]勘看
x	[1]蚶憨酣鼾[2]含寒汗涵邯韩[3]缓罕[5]唤汉[6]悍捍换撼旱汗瀚焊痪翰
ŋ	[5]□{大~：早就}
ø	[1]安庵桉鞍鹌[2]丸完烷纨[3]婉宛惋皖碗[5]按暗案胺腕黯[6]岸
#iũ	
tɕ	[1]娟捐涓鹃[3]卷捲[5]圈=
tɕʰ	[1]圈[2]全=拳权泉痊蜷诠醛颧鬈[3]犬[5]券劝[6]圈旋{~动}
ɕ	[1]轩喧宣揎暄萱[2]悬旋漩玄[3]选=[5]楦渲绚[6]眩
ø	[1]冤渊鸳[2]元原员园圆媛援源猿缘袁[3]远[5]怨苑[6]院愿
#əŋ	
p	[1]奔栟畚{~斗}[3]本苯[5]奔
pʰ	[1]喷[2]盆[5]喷{一~：一片（气味）}笨
f	[1]分吩纷芬[2]坟焚[3]粉[5]奋畚粪[6]份愤
m	[1]闷焖[2]明{~朝}门[6]问闷璺
v	[1]温瘟[2]文纹闻蚊雯[3]刎吻稳[6]问
t	[1]登吨墩敦灯礅蹬蹾肫{鸡~子}[3]戥盹等趸[5]凳扽{放置}炖瞪顿
tʰ	[1]豚吞[2]屯疼臀藤誊豚饨腾[5]褪{脱裤子}[6]囤沌盾遁邓钝
n	[2]宁能[6]嫩宁
l	[2]仑伦囵抡棱沦纶轮[3]冷[6]愣论
ts	[1]增憎曾[3]怎
tsʰ	[2]曾朆层[5]蹭[6]赠
s	[1]僧
tʂ	[1]侦征征斟榛正争珍甄真睁砧筝箴臻蒸蓁贞针铮[3]拯整枕疹诊[5]圳帧振挣政正症证镇震
tʂʰ	[1]撑称蛏[2]丞乘呈城尘忱惩成承晨橙沉澄程臣诚蹲辰陈[3]逞骋[5]剩秤称衬趁[6]郑阵
ʂ	[1]伸升参呻娠深牲生甥申笙绅声参身升[2]甚盛神绳什[3]婶审沈省[5]胜抻{拉伸}渗瘆圣肾[6]慎甚盛蜃
k	[1]今庚更根粳羹耕跟[3]哽埂挭{推，碰}梗耿[5]更
kʰ	[1]吭坑[2]拫{推}[3]啃垦恳肯[5]掯{按压}硍{污垢}
x	[1]亨哼□{削皮}[2]恒痕衡行{~船}[3]很狠[6]恨行
ŋ	[1]恩[5]摁[6]硬
ø	[1]嗯
#ɔŋ	
p	[1]崩绷[5]蹦迸
pʰ	[1]砰怦抨烹[2]彭朋棚澎硼篷膨芃蓬蟛鹏[3]捧[5]碰[6]埲{尘土飞扬}蚌
m	[1]蒙[2]朦檬盟萌蒙[3]猛蜢蠓[6]梦孟
f	[1]丰封枫疯风[2]峰烽缝逢锋冯蜂[3]讽[6]俸奉缝凤
v	[1]嗡翁[2]横[5]瓮齆{鼻塞}
t	[1]冬咚[3]懂董[5]冻栋
tʰ	[1]通[2]佟同桐潼瞳童铜[3]捅桶筒统[5]痛蘣{乖巧可爱}[6]动洞
n	[2]农[6]弄=
l	[2]农咙胧珑癃窿笼聋隆龙[3]垄拢笼[6]弄
ts	[1]宗棕踪鬃[3]总[5]粽综纵
tsʰ	[1]匆囱聪葱[2]丛从
s	[1]松淞[2]㞞{精液，对人的贬称，男女皆可}[3]悚怂竦{弯腰}耸[5]宋送[6]讼诵颂
tʂ	[1]中忠终衷钟钟[3]冢喠{吃的贬称}种肿[5]中众种
tʂʰ	[1]充冲冲[2]崇虫重[3]宠[5]冲[6]仲重
