id	ini	fn	pt	middeng	middiao	midini	midkaihe	midyun	单字	ipa调值	ipa调号	注释
1900	k	ɐm	451	三b	去	見	開	侵	禁	kɐm451	kɐm5	不～
1901	kʰ	ɐm	33	三b	平	見	開	侵	襟	kʰɐm33	kʰɐm1a	衣的前幅、交领，连～
1902	k	ɐm	21	三b	上	見	開	侵	錦	kɐm21	kɐm3	～绣，～旗
1903	k	ɐm	451	三b	去	見	開	侵	禁	kɐm451	kɐm5	～止
1904	k	ɐp	021	三b	入	見	開	緝	急	kɐp21	kɐp8a	心～
1905	kʰ	ɐp	045	三b	入	見	開	緝	級	kʰɐp45	kʰɐp7	～别，年～
1906	kʰ	ɐp	045	三b	入	見	開	緝	級	kʰɐp45	kʰɐp7	三年～
1907	kʰ	ɐp	045	三b	入	見	開	緝	给	kʰɐp45	kʰɐp7	供～，～予
1908	h	ɐp	021	三b	平	溪	開	侵	欽	hɐp21	hɐp8a	～差，～佩
1909	l	ɐp	045	三b	入	溪	開	緝	泣	lɐp45	lɐp7	～血，哭～
1910	kʰ	ɐm	213	三b	平	群	開	侵	琴	kʰɐm213	kʰɐm2	弹～
1911	kʰ	ɐm	213	三b	平	群	開	侵	禽	kʰɐm213	kʰɐm2	家～
1912	kʰ	ɐm	213	三b	平	群	開	侵	擒	kʰɐm213	kʰɐm2	～拿
1913	kʰ	ɐp	021	三b	入	群	開	緝	及	kʰɐp21	kʰɐp8a	～时
1914	ȵ	ɐm	213	三b	平	疑	開	侵	吟	ȵɐm213	ȵɐm2	～诗
1915	kʰ	ɐp	021	三b	入	曉	開	緝	吸	kʰɐp21	kʰɐp8a	呼～，～引
1916	j	ɐm	33	三b	平	影	開	侵	音	jɐm33	jɐm1a	～乐，声～
1917	j	ɐm	33	三b	平	影	開	侵	陰	jɐm33	jɐm1a	～天
1918	ȵ	ɐm	21	三b	上	影	開	侵	飲	ȵɐm21	ȵɐm3	～料
1919	j	ɐm	33	三b	去	影	開	侵	蔭	jɐm33	jɐm1a	福～，树～
1920	ȵ	ɐm	21	三b	上	影	開	侵	飲	ȵɐm21	ȵɐm3	～田
1921	j	ɐp	045	三a	入	影	開	緝	揖	jɐp45	jɐp7	作～
1922	ȵ	ɐm	213	三	平	以	開	侵	淫	ȵɐm213	ȵɐm2	～荡
1923	t	an	33	一	平	端	開	寒	丹	tan33	tan1a	牡～，仙～
1924	t	an	33	一	平	端	開	寒	單	tan33	tan1a	～独
1925	t	an	451	一	去	端	開	寒	旦	tan451	tan5	元～，花～
1926	t	am	21	一	上	端	開	寒	疸	tam21	tam3	黄～
1927	tʰ	an	33	一	平	透	開	寒	灘	tʰan33	tʰan1a	沙～
1928	tʰ	an	45	一	平	透	開	寒	攤	tʰan45	tʰan1b	分～，～开，摆～
1929	tʰ	an	33						瘫	tʰan33	tʰan1a	～痪
1930	tʰ	an	21	一	上	透	開	寒	坦	tʰan21	tʰan3	～白，～克
1931	tʰ	an	451	一	去	透	開	寒	炭	tʰan451	tʰan5	烧～
1932	tʰ	an	451	一	平	透	開	寒	嘆	tʰan451	tʰan5	～气
1934	tʰ	an	213	一	平	定	開	寒	檀	tʰan213	tʰan2	～香
1935	tʰ	an	213	一	平	定	開	寒	壇	tʰan213	tʰan2	天～，文～
1936	tʰ	an	213	一	平	定	開	寒	彈	tʰan213	tʰan2	～琴
1937	t	an	451	一	上	定	開	寒	誕	tan451	tan5	圣～，～生
1938	t	an	451	一	去	定	開	寒	但	tan451	tan5	～係（但是），不～
1939	tʰ	an	21	一	平	定	開	寒	彈	tʰan21	tʰan3	子～
1940	tʰ	an	21	一	去	定	開	寒	蛋	tʰan21	tʰan3	皮～
1941	tʰ	æk	033	一	入	定	開	曷	達	tʰæk33	tʰæk8b	发～，～到
1942	n	an	213	一	平	泥	開	寒	難	nan213	nan2	困～
1943	n	an	21	一	平	泥	開	寒	難	nan21	nan3	逃～，患～
1944	n	ai	451	一	入	泥	開	曷	捺	nai451	nai5	撇～
1945	l	an	213	一	平	來	開	寒	蘭	lan213	lan2	～花
1946	l	an	213	一	平	來	開	寒	攔	lan213	lan2	～路
1947	l	an	213	一	平	來	開	寒	欄	lan213	lan2	～杆
1948	l	an	33	一	上	來	開	寒	懶	lan33	lan1a	懒惰，～尸
1949	l	an	21	一	去	來	開	寒	爛	lan21	lan3	灿～，腐～
1950	l	æk	021	一	入	來	開	曷	辣	læk21	læk8a	～椒
1951	l	ai	451	一	入	來	開	曷	瘌	lai451	lai5	结～（结痂），～痢（头屑）
1952	ʦ	an	451	一	去	精	開	寒	贊	ʦan451	ʦan5	称～，～助
1953	ʦʰ	am	33	一	平	清	開	寒	餐	ʦʰam33	ʦʰam1a	～车，快～
1954	ʦʰ	an	451	一	去	清	開	寒	燦	ʦʰan451	ʦʰan5	～烂
1955	ʦʰ	æk	021	一	入	清	開	曷	擦	ʦʰæk21	ʦʰæk8a	～车
1956	ʦʰ	am	213	一	平	從	開	寒	殘	ʦʰam213	ʦʰam2	～废
1957	ɬ	am	33	一	平	心	開	寒	珊	ɬam33	ɬam1a	～瑚
1958	ɬ	an	21	一	去	心	開	寒	散	ɬan21	ɬan3	药～
1959	ɬ	an	451	一	去	心	開	寒	散	ɬan451	ɬan5	分～，解～
1960	ɬ	æk	021	一	入	心	開	曷	撒	ɬæk21	ɬæk8a	～手，～种
1961	ɬ	æk	021	一	入	心	開	曷	薩	ɬæk21	ɬæk8a	菩～
1962	k	ɔn	33	一	平	見	開	寒	干	kɔn33	kɔn1a	天～地支；～扰
1963	k	ɔn	33						亁	kɔn33	kɔn1a	烘～，饼～
1964	k	ɔn	33	一	平	見	開	寒	肝	kɔn33	kɔn1a	猪～
1965	k	ɔn	33	一	平	見	開	寒	竿	kɔn33	kɔn1a	竹～
1966	k	ɔn	451	一	上	見	開	寒	桿	kɔn451	kɔn5	旗～，杠～
1967	k	ɔn	21	一	上	見	開	寒	稈	kɔn21	kɔn3	禾～（稻秆）
1968	k	ɔn	21	一	上	見	開	寒	趕	kɔn21	kɔn3	追～
1969	k	ɔn	451	一	去	見	開	寒	幹	kɔn451	kɔn5	～部，才～
1970	k	ɔk	021	一	入	見	開	曷	割	kɔk21	kɔk8a	～禾（割稻）
1971	k	ɔk	021	一	入	見	開	曷	葛	kɔk21	kɔk8a	诸～亮；生～，～薯
1972	tʰ	ɛ	21	一	去	溪	開	寒	看	tʰɛ21	tʰɛ3	～守所
1973	h	ɔn	21	一	平	溪	開	寒	刊	hɔn21	hɔn3	报～
1974	tʰ	ɛ	21	一	去	溪	開	寒	看	tʰɛ21	tʰɛ3	看见
1975	h	ɔk	021	一	入	溪	開	曷	渴	hɔk21	hɔk8a	口渴；～望
1976	ʔ	ɔn	451	一	去	疑	開	寒	岸	ʔɔn451	ʔɔn5	口～，两～
1977	ʔ	ɔn	213	一	平	曉	開	寒	鼾	ʔɔn213	ʔɔn2	～睡
1978	ʔ	ɔn	21	一	上	曉	開	寒	罕	ʔɔn21	ʔɔn3	稀～，～见
1979	h	ɔn	451	一	去	曉	開	寒	漢	hɔn451	hɔn5	～人
1980	h	ɔk	021	一	入	曉	開	合	喝	hɔk21	hɔk8a	吆～，～彩
1981	h	ɔn	213	一	平	匣	開	寒	寒	hɔn213	hɔn2	大～，～流
1982	h	ɔn	213	一	平	匣	開	寒	韓	hɔn213	hɔn2	～国；姓
1983	h	ɔn	21	一	上	匣	開	寒	旱	hɔn21	hɔn3	干旱
1984	h	ɔn	21	一	去	匣	開	寒	汗	hɔn21	hɔn3	出～，～马功劳
1985	h	ɔn	21	一	去	匣	開	寒	銲	hɔn21	hɔn3	电～，～接
1986	h	ɔn	451	一	去	匣	開	寒	翰	hɔn451	hɔn5	～林院；人名用字
1987	ʔ	ɔn	33	一	平	影	開	寒	安	ʔɔn33	ʔɔn1a	公～，～全
1988	ʔ	ɔn	45	一	平	影	開	寒	鞍	ʔɔn45	ʔɔn1b	马～，～山
1989	ʔ	ɔn	451	一	去	影	開	寒	按	ʔɔn451	ʔɔn5	～照
1990	ʔ	ɔn	451	一	去	影	開	寒	案	ʔɔn451	ʔɔn5	～件，档～
1991	p	an	21	二	去	幫	開	山	扮	pan21	pan3	打～
1992	p	æk	021	二	入	幫	開	黠	八	pæk21	pæk8a	数字
1993	pʰ	am	451	二	去	滂	開	山	盼	pʰam451	pʰam5	～望
1994	pʰ	an	21	二	去	並	開	山	瓣	pʰan21	pʰan3	花～
1995	pʰ	an	21	二	去	並	開	山	辦	pʰan21	pʰan3	～事
1996	pʰ	æk	033	二	入	並	開	黠	拔	pʰæk33	pʰæk8b	～河，选～
1997	tʰ	ien	21	二	去	澄	開	山	綻	tʰien21	tʰien3	破～[文]
1998	tʰ	ien	21	二	去	澄	開	山	綻	tʰien21	tʰien3	长出，～笋，～芽[白]
1999	t	an	21	二	上	莊	開	山	盞	tan21	tan3	灯～（灯）
2000	ʦ	æk	021	二	入	莊	開	黠	紮	ʦæk21	ʦæk8a	～紧，驻～
2001	ʦʰ	æk	021	二	上	初	開	山	鏟	ʦʰæk21	ʦʰæk8a	～草
2002	ʦʰ	æk	021	二	入	初	開	黠	察	ʦʰæk21	ʦʰæk8a	观～
2003	ɬ	an	33	二	平	生	開	山	山	ɬan33	ɬan1a	山
2004	ʦʰ	an	21						產	ʦʰan21	ʦʰan3	生～
2005	ɬ	æk	021	二	入	生	開	黠	殺	ɬæk21	ɬæk8a	～人，自～
2006	k	an	33	二	平	見	開	山	艱	kan33	kan1a	～苦
2007	k	an	451	二	平	見	開	山	間	kan451	kan5	房～，中～
2008	k	an	21	二	上	見	開	山	簡	kan21	kan3	～单
2009	k	an	33	二	上	見	開	山	揀	kan33	kan1a	挑选
2010	k	an	451	二	平	見	開	山	間	kan451	kan5	～断，离～[文]
2011	k	an	451	二	平	見	開	山	間	kan451	kan5	隔开[白]
2012	ŋ	an	21	二	上	疑	開	山	眼	ŋan21	ŋan3	双～皮
2013	h	an	213	二	平	匣	開	山	閑	han213	han2	～事，空～
2014	h	an	21	二	上	匣	開	山	限	han21	han3	期～，～制
2015	h	an	21	二	去	匣	開	山	莧	han21	han3	～菜
2016	ʔ	æk	021	二	入	影	開	黠	軋	ʔæk21	ʔæk8a	～钢厂
2017	p	an	33	二	平	幫	開	删	班	pan33	pan1a	上～
2018	p	an	33	二	平	幫	開	删	斑	pan33	pan1a	～马
2019	p	an	33	二	平	幫	開	删	頒	pan33	pan1a	～布，～奖
2020	p	an	21	二	平	幫	開	删	扳	pan21	pan3	～手，～开
2021	p	an	21	二	上	幫	開	删	板	pan21	pan3	黑～，石～
2022	p	an	21	二	上	幫	開	删	版	pan21	pan3	出～
2023	pʰ	an	33	二	平	滂	開	删	攀	pʰan33	pʰan1a	～登，高～
2025	m	ɐn	213	二	平	明	開	删	蠻	mɐn213	mɐn2	不听话；野～
2026	m	an	21	二	去	明	開	删	慢	man21	man3	～车
2027	ʦ	an	21	二	上	崇	開	山	棧	ʦan21	ʦan3	客～；碗橱，碗～
2028	ʦʰ	ɔ	213	二	入	崇	開	鎋	鍘	ʦʰɔ213	ʦʰɔ2	～刀
2029	ɬ	an	33						刪	ɬan33	ɬan1a	～除
2030	ʦ	an	451	二	上	生	開	删	疝	ʦan451	ʦan5	～气（小肠气）
2031	k	an	33	二	平	見	開	删	奸	kan33	kan1a	～诈，～臣
2032	k	an	21	二	去	見	開	删	鐧	kan21	kan3	杀手～
2033	ŋ	an	213						顏	ŋan213	ŋan2	姓；～色
2034	ŋ	an	451	二	去	疑	開	删	雁	ŋan451	ŋan5	大～
2035	m	ɐn	213	二	入	曉	開	鎋	瞎	mɐn213	mɐn2	～目
2036	h	æk	033	二	入	匣	開	鎋	轄	hæk33	hæk8b	管～，直～市
2037	ʔ	an	451	二	去	影	開	删	晏	ʔan451	ʔan5	晚、迟；～子使楚
2038	p	ian	33	三a	平	幫	開	仙	鞭	pian33	pian1a	皮～，～策
2039	pʰ	ian	33	三a	平	幫	開	仙	編	pʰian33	pʰian1a	主～，～辑[文]
2040	pʰ	ian	33	三a	平	幫	開	仙	編	pʰian33	pʰian1a	毛～，～毛编[白]
2041	p	ian	451	三b	去	幫	開	仙	變	pian451	pian5	～化，改～
2042	p	iɛt	021	三b	入	並	開	薛	别	piɛt21	piɛt8a	区～
2043	p	ian	33	三a	入	幫	開	薛	鼈	pian33	pian1a	甲鱼
2044	pʰ	ian	33	三a	平	滂	開	仙	篇	pʰian33	pʰian1a	一～文章
2045	p	ian	33	三a	平	滂	開	仙	偏	pian33	pian1a	～～，～僻
2046	pʰ	ian	451	三b	去	滂	開	仙	騙	pʰian451	pʰian5	欺～
2047	pʰ	ian	213	三a	去	並	開	仙	便	pʰian213	pʰian2	～宜
2048	pʰ	ian	21	三b	上	並	開	仙	辨	pʰian21	pʰian3	分～，～别
2049	pʰ	ian	21	三b	上	並	開	仙	辯	pʰian21	pʰian3	～论
2050	p	ian	213	三b	去	並	開	仙	汴	pian213	pian2	～京（北宋都城）
2051	pʰ	ian	21	三a	去	並	開	仙	便	pʰian21	pʰian3	方～
2052	p	iɛt	021						別	piɛt21	piɛt8a	离～，分～
2053	m	ian	213	三a	平	明	開	仙	綿	mian213	mian2	海～，～羊
2054	m	ian	213	三a	平	明	開	仙	棉	mian213	mian2	～花
2055	m	ian	33	三b	上	明	開	仙	免	mian33	mian1a	难～，～除
2056	m	ian	33	三b	上	明	開	仙	勉	mian33	mian1a	～强，～励
2057	m	ian	21	三b	上	明	開	仙	娩	mian21	mian3	分～
2058	m	ian	451	三a	上	明	開	仙	緬	mian451	mian5	～怀；～甸（地名）
2059	m	ian	451	三a	去	明	開	仙	面	mian451	mian5	～子
2060	m	iɛt	021	三a	入	明	開	薛	滅	miɛt21	miɛt8a	消～，～亡
2061	ŋ	ian	45	三	上	娘	開	仙	碾	ŋian45	ŋian1b	～米
2062	l	ian	213	三	平	來	開	仙	連	lian213	lian2	～长；大～（地名）
2063	l	ian	213	三	平	來	開	仙	聯	lian213	lian2	～系；对～
2064	l	iɛt	021	三	入	來	開	薛	列	liɛt21	liɛt8a	排～；～宁（人名）
2065	l	iɛt	021	三	入	來	開	薛	列	liɛt21	liɛt8a	两～（两排）[白，量]
2066	l	iɛt	021	三	入	來	開	薛	烈	liɛt21	liɛt8a	～士，热～
2067	l	iɛt	021	三	入	來	開	薛	裂	liɛt21	liɛt8a	～开，分～
2068	ʦ	ian	33	三	平	精	開	仙	煎	ʦian33	ʦian1a	～药，～鱼
2069	ʦ	ian	21	三	上	精	開	仙	剪	ʦian21	ʦian3	～刀
2070	ʦ	ian	451	三	去	精	開	仙	箭	ʦian451	ʦian5	射～
2071	ʦʰ	ian	21	三	去	精	開	仙	濺	ʦʰian21	ʦʰian3	～一身水
2072	ʦʰ	ian	33	三	平	清	開	仙	遷	ʦʰian33	ʦʰian1a	升～，～怒
2073	ʦʰ	ian	21	三	上	清	開	仙	淺	ʦʰian21	ʦʰian3	深～
2074	ʦʰ	ian	213	三	平	從	開	仙	錢	ʦʰian213	ʦʰian2	～财
2075	ʦʰ	ian	21	三	上	從	開	仙	踐	ʦʰian21	ʦʰian3	实～
2076	ʦʰ	ian	21	三	去	從	開	仙	賤	ʦʰian21	ʦʰian3	下～，～人
2077	ɬ	ian	33	三	平	心	開	仙	仙	ɬian33	ɬian1a	神～
2078	ɬ	ian	33	三	平	心	開	仙	鮮	ɬian33	ɬian1a	新～
2079	ɬ	ian	33	三	平	心	開	仙	鮮	ɬian33	ɬian1a	朝～（国名）
2080	ɬ	ian	21	三	上	心	開	仙	癬	ɬian21	ɬian3	发～（生癣）
2081	ɬ	ian	451	三	去	心	開	仙	線	ɬian451	ɬian5	～索
2082	ɬ	iɛt	021	三	入	心	開	薛	薛	ɬiɛt21	ɬiɛt8a	姓，～宝钗
2083	ɬ	ɛ	451	三	入	心	開	薛	泄	ɬɛ451	ɬɛ5	～漏，排～
2084	ɬ	ian	21						羨	ɬian21	ɬian3	～慕
2085	ʦ	ian	21	三	上	知	開	仙	展	ʦian21	ʦian3	开～，发～
2086	ʦ	iɛt	021	三	入	知	開	薛	哲	ʦiɛt21	ʦiɛt8a	～学
2087	ʦʰ	iɛt	021	三	入	徹	開	薛	徹	ʦʰiɛt21	ʦʰiɛt8a	～底
2088	ʦʰ	iɛt	021	三	入	徹	開	薛	撤	ʦʰiɛt21	ʦʰiɛt8a	～退
2089	ʦʰ	ian	213	三	平	澄	開	仙	纏	ʦʰian213	ʦʰian2	纠～，～线
2090	ʦʰ	iɛt	021	三	入	澄	開	薛	轍	ʦʰiɛt21	ʦʰiɛt8a	南辕北～；苏～（人名）
2091	ʦ	an	33	三	平	章	開	仙	氈	ʦan33	ʦan1a	羊毛～
2092	ʦ	an	451	三	去	章	開	仙	戰	ʦan451	ʦan5	～斗
2093	ʦʰ	an	451	三	去	章	開	仙	颤	ʦʰan451	ʦʰan5	～抖
2094	ʦ	iɛt	021	三	入	章	開	薛	折	ʦiɛt21	ʦiɛt8a	～断，打～
2095	ʦ	iɛt	021	三	入	章	開	薛	浙	ʦiɛt21	ʦiɛt8a	～江（地名）
2096	s	æk	021	三	入	船	開	薛	舌	sæk21	sæk8a	舌头
2097	ʦ	an	451	三	平	書	開	仙	搧	ʦan451	ʦan5	扇扇子，扇耳光[动]
2098	s	an	451	三	去	書	開	仙	扇	san451	san5	扇子[名]
2099	s	iɛt	021	三	入	書	開	薛	設	siɛt21	siɛt8a	～计，建～
2100	s	am	213	三	平	禪	開	仙	蟬	sam213	sam2	蝉
2101	s	am	213	三	平	禪	開	仙	禪	sam213	sam2	～宗，～师
2102	s	ian	21	三	上	禪	開	仙	善	sian21	sian3	～良，心～
2103	s	ian	21	三	去	禪	開	仙	膳	sian21	sian3	～食，用～
2104	s	am	213	一	平	端	開	寒	單	sam213	sam2	姓
2105	s	am	21	三	平	禪	開	仙	禪	sam21	sam3	～让，封～
2106	s	æk	021	三	入	章	開	薛	折	sæk21	sæk8a	～本（赔本）
2107	j	am	213	三	平	日	開	仙	然	jam213	jam2	～后，居～
2108	j	an	213	三	平	日	開	仙	燃	jan213	jan2	～烧
2109	j	æk	021	三	入	日	開	薛	熱	jæk21	jæk8a	冷～，～情
2110	h	ian	21	三a	上	溪	開	仙	遣	hian21	hian3	派～
2111	kʰ	ian	213	一	平	見	開	寒	乾	kʰian213	kʰian2	～坤，～隆
2112	kʰ	ian	213	三b	平	群	開	仙	虔	kʰian213	kʰian2	～诚
2113	kʰ	ian	21	三b	上	群	開	仙	件	kʰian21	kʰian3	事～
2114	kʰ	iɛt	021	三b	入	群	開	薛	傑	kʰiɛt21	kʰiɛt8a	～出
2115	j	an	451	三b	去	疑	開	仙	諺	jan451	jan5	农～，～语
2116	m	iɛt	021	三b	入	疑	開	薛	孽	miɛt21	miɛt8a	造～
2117	j	an	213	三	平	以	開	仙	延	jan213	jan2	～长，～安
2118	j	an	21	三	上	以	開	仙	演	jan21	jan3	～员，表～
2119	k	ian	451	三	去	見	開	元	建	kian451	kian5	～设
2120	kʰ	iɛt	021	三	入	見	開	月	揭	kʰiɛt21	kʰiɛt8a	～发，～露
2121	kʰ	iɛt	021	三	入	見	開	月	揭	kʰiɛt21	kʰiɛt8a	～阳（地名）
2122	k	ian	451	三	上	群	開	元	鍵	kian451	kian5	关～，～盘
2123	k	ian	451	三	去	群	開	元	腱	kian451	kian5	肌～
2124	ȵ	an	213	三	平	疑	開	元	言	ȵan213	ȵan2	语～
2125	h	ian	33	三	平	曉	開	元	軒	hian33	hian1a	人名用字
2126	h	ien	33	三	平	曉	開	元	掀	hien33	hien1a	～起[文]
2127	ʦ	an	33	三	平	曉	開	元	掀	ʦan33	ʦan1a	～被[白]
2128	h	ian	451	三	去	曉	開	元	憲	hian451	hian5	～法
2129	h	ian	451	三	去	曉	開	元	獻	hian451	hian5	贡～
2130	t	ɐi	21	三	入	曉	開	月	歇	tɐi21	tɐi3	～夜（过夜）
2131	kʰ	iɛt	021	三	入	曉	開	月	蠍	kʰiɛt21	kʰiɛt8a	蝎子，蛇～心肠
2132	j	an	451	三	去	影	開	元	堰	jan451	jan5	坝，都江～
2133	p	ian	33	四	平	幫	開	先	邊	pian33	pian1a	～疆，旁～
2134	pʰ	ian	33	四	平	幫	開	先	蝙	pʰian33	pʰian1a	～蝠
2135	p	ian	21	四	上	幫	開	先	扁	pian21	pian3	圆扁
2136	p	ian	21	四	上	幫	開	先	匾	pian21	pian3	牌～
2137	pʰ	ian	451	四	去	幫	開	先	遍	pʰian451	pʰian5	三～，～地，普～
2138	pʰ	ian	451	四	去	滂	開	先	片	pʰian451	pʰian5	一～，～面
2139	pʰ	iɛt	021	四	入	滂	開	屑	撇	pʰiɛt21	pʰiɛt8a	～捺，～开
2140	p	ɐi	45	四	入	並	開	屑	蹩	pɐi45	pɐi1b	跛，～脚
2141	m	ian	213	四	平	明	開	先	眠	mian213	mian2	～床（床），安～
2142	m	ian	21	四	去	明	開	先	麵	mian21	mian3	～粉
2143	m	iɛt	021	四	入	明	開	屑	蔑	miɛt21	miɛt8a	～视
2144	t	ian	33	四	平	端	開	先	顛	tian33	tian1a	～倒，～簸
2145	t	ian	21	四	上	端	開	先	典	tian21	tian3	～型，词～
2146	tʰ	ian	33	四	平	透	開	先	天	tʰian33	tʰian1a	～才
2147	t	ian	21	四	上	透	開	先	腆	tian21	tian3	腼～
2148	tʰ	iɛt	021	四	入	透	開	屑	鐵	tʰiɛt21	tʰiɛt8a	～皮
2149	tʰ	ian	213	四	平	定	開	先	田	tʰian213	tʰian2	种～
2150	tʰ	ian	213	四	平	定	開	先	填	tʰian213	tʰian2	～空
2151	tʰ	ian	21	四	去	定	開	先	電	tʰian21	tʰian3	触～，～灯
2152	tʰ	ian	21	四	去	定	開	先	殿	tʰian21	tʰian3	宫～
2153	t	ian	21	四	去	定	開	先	奠	tian21	tian3	～基
2154	tʰ	iam	21	四	去	定	開	先	墊	tʰiam21	tʰiam3	～钱，座～
2155	ȵ	an	213	四	平	泥	開	先	年	ȵan213	ȵan2	过～
2156	n	ɛ	21	四	上	泥	開	先	撚	nɛ21	nɛ3	以指捻碎
2157	n	iam	33	四	入	泥	開	屑	捏	niam33	niam1a	以指尖捏取小面积
2158	l	ien	213	四	平	來	開	先	憐	lien213	lien2	可～[文]
2159	l	ien	213	四	平	來	開	先	憐	lien213	lien2	可～[白]
2160	l	ian	213	四	平	來	開	先	蓮	lian213	lian2	～花，睡～
2161	l	ian	21	四	去	來	開	先	練	lian21	lian3	～习，熟～
2162	l	ian	21	四	去	來	開	先	鍊	lian21	lian3	～丹，锻～
2163	l	ian	21						链	lian21	lian3	项～，～条
2164	l	ian	21	四	去	來	開	先	楝	lian21	lian3	苦～树
2165	ʦ	ian	33	四	平	精	開	先	箋	ʦian33	ʦian1a	便～，信～
2166	ʦ	an	451	四	去	精	開	先	薦	ʦan451	ʦan5	推～
2167	ʦ	iɛt	021	四	入	精	開	屑	節	ʦiɛt21	ʦiɛt8a	～约，竹～
2168	ʦʰ	ian	33	四	平	清	開	先	千	ʦʰian33	ʦʰian1a	～万
2169	ʦ	iɛt	021	四	入	清	開	屑	切	ʦiɛt21	ʦiɛt8a	～菜
2170	ʦʰ	ian	213	四	平	從	開	先	前	ʦʰian213	ʦʰian2	从～，～后
2171	ʦ	iɛt	021	四	入	從	開	屑	截	ʦiɛt21	ʦiɛt8a	～断
2172	ɬ	ian	33	四	平	心	開	先	先	ɬian33	ɬian1a	祖～，～进，～生
2173	ɬ	iɛt	045	四	入	心	開	屑	屑	ɬiɛt45	ɬiɛt7	锯～[白，名]
2174	l	iɛt	045	四	入	心	開	屑	屑	liɛt45	liɛt7	不～一顾[文，动]
2175	ɬ	iɛt	021	四	入	心	開	屑	楔	ɬiɛt21	ɬiɛt8a	～入去（塞进去）[训]
2176	k	ian	33	四	平	見	開	先	肩	kian33	kian1a	～头
2177	k	ian	33	四	平	見	開	先	堅	kian33	kian1a	～强
2178	k	an	21	四	上	見	開	先	繭	kan21	kan3	蚕～
2179	k	ian	451	四	去	見	開	先	見	kian451	kian5	～人，～识
2180	k	iɛt	021	四	入	見	開	屑	結	kiɛt21	kiɛt8a	～婚，～疕[文，动]
2181	k	iɛt	021	四	入	見	開	屑	結	kiɛt21	kiɛt8a	打～[白]
2182	k	iɛt	021	四	入	見	開	屑	潔	kiɛt21	kiɛt8a	～白，清～
2183	h	ian	33	四	平	溪	開	先	牽	hian33	hian1a	～牛花
2184	ŋ	ian	213	四	平	疑	開	先	研	ŋian213	ŋian2	～究
2185	h	an	21	四	去	疑	開	先	硯	han21	han3	～台
2186	s	ɐp	021	四	上	曉	開	先	顯	sɐp21	sɐp8a	明～
2187	j	an	213	四	平	匣	開	先	賢	jan213	jan2	～惠，圣～
2188	h	ian	213	四	平	匣	開	先	弦	hian213	hian2	琴～
2189	j	an	21	四	去	匣	開	先	現	jan21	jan3	～在，出～
2190	j	an	33	四	平	影	開	先	煙	jan33	jan1a	冒～
2191	j	an	451	四	去	影	開	先	燕	jan451	jan5	姓；～京，～山（地名）
2192	j	an	451	四	去	影	開	先	燕	jan451	jan5	燕子，～窝
2193	j	iɐn	33	四	去	影	開	先	嚥	jiɐn33	jiɐn1a	～喉
2194	j	ian	451	四	去	影	開	先	宴	jian451	jian5	～会
2195	p	an	33	一	平	幫	合	桓	般	pan33	pan1a	～配，一～
2196	p	an	33	一	平	幫	合	桓	搬	pan33	pan1a	～运
2197	p	an	451	一	去	幫	合	桓	半	pan451	pan5	一～，～日
2198	p	an	451	一	去	幫	合	寒	绊	pan451	pan5	～脚石，～马索
2199	p	æk	021	一	入	幫	合	末	鉢	pæk21	pæk8a	花～（花盆），衣～
2200	pʰ	æk	021	一	入	幫	合	末	撥	pʰæk21	pʰæk8a	～款
2201	pʰ	an	33	一	平	滂	合	桓	潘	pʰan33	pʰan1a	姓
2202	pʰ	ɐn	451	三b	去	並	開	仙	拚	pʰɐn451	pʰɐn5	～命
2203	pʰ	an	451	一	去	滂	合	桓	判	pʰan451	pʰan5	～断，审～
2204	pʰ	æk	021	一	入	滂	合	末	潑	pʰæk21	pʰæk8a	～水；泼辣
2205	pʰ	an	213	一	平	並	合	桓	盤	pʰan213	pʰan2	算～
2206	p	an	451	一	上	並	合	桓	伴	pan451	pan5	～随，伙～[文]
2207	p	an	451	一	上	並	合	桓	伴	pan451	pan5	做～，冇～[白]
2208	p	an	451	一	上	並	合	桓	拌	pan451	pan5	凉～，搅～
2209	p	an	451	一	去	並	合	桓	叛	pan451	pan5	～徒，背～
2210	m	an	213	一	平	明	合	桓	瞞	man213	man2	隐～
2211	m	an	21	一	平	明	合	桓	饅	man21	man3	～头
2212	m	an	21	一	平	明	合	桓	鰻	man21	man3	～鱼
2213	m	an	33	一	上	明	合	桓	滿	man33	man1a	～意
2214	m	an	21	一	去	明	合	桓	漫	man21	man3	～画，～长
2215	m	æk	021	一	入	明	合	末	末	mæk21	mæk8a	～尾
2216	m	æk	021	一	入	明	合	末	沫	mæk21	mæk8a	泡～
2217	m	æk	021	二	入	明	開	黠	抹	mæk21	mæk8a	～桌，～布
2218	t	uɔn	33	一	平	端	合	桓	端	tuɔn33	tuɔn1a	～正
2219	t	uɔn	21	一	上	端	合	桓	短	tuɔn21	tuɔn3	长～
2220	tʰ	uɔn	451	一	上	定	合	桓	斷	tʰuɔn451	tʰuɔn5	判～，～案
2221	t	uɔn	21	一	去	端	合	桓	鍛	tuɔn21	tuɔn3	～炼
2223	tʰ	ɔk	021						脫	tʰɔk21	tʰɔk8a	～鞋，摆～
2224	tʰ	ɔn	213	一	平	定	合	桓	團	tʰɔn213	tʰɔn2	～结，～长
2225	tʰ	ɔn	213	一	平	定	合	桓	糰	tʰɔn213	tʰɔn2	饭～，面～
