#漢字	常家河	榜羅	第三舖	李家店	碧玉	雞川	馬營	寺子川
嗽	sɔ⁴⁴	sɔ⁴⁴	sɔ⁴⁴	sɔ⁴⁴	sɔ⁴⁴	sɔ⁴⁴	sɔ⁴⁴	sɔ⁴⁴
狗	kəu⁵³	kou⁵³	kəu⁵³	kəu⁵³	kəu⁵³	kəu⁵³	kəu⁵³	kəu⁵³
够	kəu⁴⁴	kou⁴⁴	kəu⁴⁴	kəu⁴⁴	kəu⁴⁴	kəu⁴⁴	kəu⁴⁴	kəu⁴⁴
口	kʰəu⁵³	kʰou⁵³	kʰəu⁵³	kʰəu⁵³	kʰəu⁵³	kʰəu⁵³	kʰəu⁵³	kʰəu⁵³
扣	kʰəu⁴⁴	kʰou⁴⁴	kʰəu⁴⁴	kʰəu⁴⁴	kʰəu⁴⁴	kʰəu⁴⁴	kʰəu⁴⁴	kʰəu⁴⁴
偶	kəu⁵³	kou⁵³	kəu⁵³	kəu⁵³	kəu⁵³	kəu⁵³	kəu⁵³	kəu⁵³
吼	xəu⁵³	xou⁵³	xəu⁵³	xəu⁵³	xəu⁵³	xəu⁵³	xəu⁵³	xəu⁵³
后	xəu⁴⁴	xou⁴⁴	xəu⁴⁴	xəu⁴⁴	xəu⁴⁴	xəu⁴⁴	xəu⁴⁴	xəu⁴⁴
候	xəu⁴⁴	xou⁴⁴	xəu⁴⁴	xəu⁴⁴	xəu⁴⁴	xəu⁴⁴	xəu⁴⁴	xəu⁴⁴
呕	kəu⁵³	kou⁵³	kəu⁵³	kəu⁵³	kəu⁵³	kəu⁵³	kəu⁵³	kəu⁵³
富	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴
副	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴
妇	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴	fu⁴⁴
谋	mu¹³	mu¹³	mu¹³	mu¹³	mu¹³	mu¹³	mu¹³	mu¹³
矛	miɔ¹³	miɔ¹³	miɔ¹³	miɔ¹³	miɔ¹³	mɔ¹³	miɔ¹³	miɔ¹³
纽	tɕiəu⁵³	tɕiou⁵³	tɕiou⁵³	ȵiou⁵³	ȵiou⁵³	ȵiou⁵³	ȵiou⁵³	ȵiou⁵³
流	liəu¹³	liou¹³	liəu¹³	liəu¹³	liəu¹³	liəu¹³	liəu¹³	liəu¹³
柳	liəu⁵³	liou⁵³	liəu⁵³	liəu⁵³	liəu⁵³	liəu⁵³	liəu⁵³	liəu⁵³
酒	tsiəu⁵³	tsiou⁵³	tsiəu⁵³	tɕiəu⁵³	tɕiəu⁵³	tsiəu⁵³	tɕiəu⁵³	tɕiəu⁵³
秋	tsʰiəu³¹²	tsʰiou⁴¹²	tsʰiəu³¹²	tɕʰiəu³¹²	tɕʰiəu¹³	tsʰiəu¹³	tɕʰiəu¹³	tɕʰiəu¹³
就	tsʰiəu⁴⁴	tsiou⁴⁴	tsʰiəu⁴⁴	tɕʰiəu⁴⁴	tɕʰiəu⁴⁴	tsʰiəu⁴⁴	tɕʰiəu⁴⁴	tɕʰiəu⁴⁴
绣	siəu⁴⁴	siou⁴⁴	siəu⁴⁴	ɕiəu⁴⁴	ɕiəu⁴⁴	siəu⁴⁴	ɕiəu⁴⁴	ɕiəu⁴⁴
羞	siəu³¹²	siou⁴¹²	siəu³¹²	ɕiəu³¹²	ɕiəu¹³	siəu¹³	ɕiəu¹³	ɕiəu¹³
袖	siəu⁴⁴	siou⁴⁴	siəu⁴⁴	ɕiəu⁴⁴	ɕiəu⁴⁴	siəu⁴⁴	ɕiəu⁴⁴	ɕiəu⁴⁴
肘	tʃʰʯ⁵³	tʃʰʯ⁵³	tʃʰʯ⁵³	tʃʰʯ⁵³	tʂəu⁵³	tʂəu⁵³	tʂəu⁵³	tʂəu⁵³
抽(~出)	iəu³¹²	iou⁴¹²	tʂʰəu³¹²	tʂʰəu³¹²	tʂʰəu¹³	tʂʰəu¹³	tʂʰəu¹³	tʂʰəu¹³
丑	tʂʰəu⁵³	tʂʰou⁵³	tʂʰəu⁵³	tʂʰəu⁵³	tʂʰəu⁵³	tʂʰəu⁵³	tʂʰəu⁵³	tʂʰəu⁵³
愁	tsʰəu¹³	tʂʰou¹³	tsʰəu¹³	tsʰəu¹³	tsʰəu¹³	tsʰəu¹³	tsʰəu¹³	tsʰəu¹³
瘦	səu⁴⁴	sou⁴⁴	səu⁴⁴	səu⁴⁴	səu⁴⁴	səu⁴⁴	səu⁴⁴	səu⁴⁴
周	tʂəu³¹²	tʂou⁴¹²	tʂəu³¹²	tʂəu³¹²	tʂəu¹³	tʂəu¹³	tʂəu¹³	tʂəu¹³
帚	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴
收	ʂəu³¹²	ʂou⁴¹²	ʂəu³¹²	ʂəu³¹²	ʂəu¹³	ʂəu¹³	ʂəu¹³	ʂəu¹³
首	ʂəu⁵³	ʂou⁵³	ʂəu⁵³	ʂəu⁵³	ʂəu⁵³	ʂəu⁵³	ʂəu⁵³	ʂəu⁵³
仇	ʂəu¹³	ʂou¹³	ʂəu¹³	ʂəu¹³	ʂəu¹³	ʂəu¹³	ʂəu¹³	ʂəu¹³
揉	zəu¹³	ʐou¹³	zəu¹³	zəu¹³	zəu¹³	zəu¹³	zəu¹³	zəu¹³
纠	tɕiəu³¹²	tɕiou³¹²	tɕiəu³¹²	tɕiəu³¹²	tɕiəu¹³	tɕiəu¹³	tɕiəu¹³	tɕiəu¹³
九	tɕiəu⁵³	tɕiou⁵³	tɕiəu⁵³	tɕiəu⁵³	tɕiəu⁵³	tɕiəu⁵³	tɕiəu⁵³	tɕiəu⁵³
韭	tɕiəu⁵³	tɕiou⁵³	tɕiəu⁵³	tɕiəu⁵³	tɕiəu⁵³	tɕiəu⁵³	tɕiəu⁵³	tɕiəu⁵³
救	tɕiəu⁴⁴	tɕiou⁴⁴	tɕiəu⁴⁴	tɕiəu⁴⁴	tɕiəu⁴⁴	tɕiəu⁴⁴	tɕiəu⁴⁴	tɕiəu⁴⁴
球	tɕʰiəu¹³	tɕʰiou¹³	tɕʰiəu¹³	tɕʰiəu¹³	tɕʰiəu¹³	tɕʰiəu¹³	tɕʰiəu¹³	tɕʰiəu¹³
舅	tɕiəu⁴⁴	tɕiou⁴⁴	tɕiəu⁴⁴	tɕiəu⁴⁴	tɕiəu⁴⁴	tɕiəu⁴⁴	tɕiəu⁴⁴	tɕiəu⁴⁴
旧	tɕʰiəu⁴⁴	tɕʰiou⁴⁴	tɕʰiəu⁴⁴	tɕʰiəu⁴⁴	tɕʰiəu⁴⁴	tɕʰiəu⁴⁴	tɕʰiəu⁴⁴	tɕʰiəu⁴⁴
牛	tɕiəu¹³	tɕiou¹³	tɕiəu¹³	ȵiəu¹³	ȵiəu¹³	ȵiəu¹³	ȵiəu¹³	ȵiəu¹³
休(副词)	xəu³¹²	xou³¹²	xəu³¹²	xəu³¹²	xəu¹³	xəu¹³	xəu¹³	xəu¹³
朽	ɕiəu⁵³	ɕiou⁵³	ɕiəu⁵³	ɕiəu⁵³	ɕiəu⁵³	ɕiəu⁵³	ɕiəu⁵³	ɕiəu⁵³
有	iəu⁵³	iou⁵³	iəu⁵³	iəu⁵³	iəu⁵³	iəu⁵³	iəu⁵³	iəu⁵³
友	iəu⁵³	iou⁵³	iəu⁵³	iəu⁵³	iəu⁵³	iəu⁵³	iəu⁵³	iəu⁵³
缪	miɔ⁴⁴	miɔ⁴⁴	miɔ⁴⁴	miɔ⁴⁴	miɔ⁴⁴	miɔ⁴⁴	miɔ⁴⁴	miɔ⁴⁴
油	iəu¹³	iou¹³	iəu¹³	iəu¹³	iəu¹³	iəu¹³	iəu¹³	iəu¹³
耽	tæn³¹²	tæn⁴¹²	tæn³¹²	tæn³¹²	tæ̃¹³	tæ̃¹³	tæ̃¹³	tæ̃¹³
答	ta¹³	ta¹³	ta¹³	ta¹³	ta¹³	ta¹³	ta¹³	ta¹³
探	tʰæn⁴⁴	tʰæn⁴⁴	tʰæn⁴⁴	tʰæn⁴⁴	tʰæ̃⁴⁴	tʰæ̃⁴⁴	tʰæ̃⁴⁴	tʰæ̃⁴⁴
沓	tʰa¹³	tʰa¹³	tʰa¹³	tʰa¹³	tʰa¹³	tʰa¹³	tʰa¹³	tʰa¹³
男	læn¹³	læn¹³	læn¹³	læn¹³	læ̃¹³	læ̃¹³	læ̃¹³	læ̃¹³
蓝	læn¹³	læn¹³	læn¹³	læn¹³	læ̃¹³	læ̃¹³	læ̃¹³	læ̃¹³
簪	tsæn³¹²	tsæn⁴¹²	tsæn³¹²	tsæn³¹²	tsæ̃¹³	tsæ̃¹³	tsæ̃¹³	tsæ̃¹³
杂	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³
感	kæn⁵³	kæn⁵³	kæn⁵³	kæn⁵³	kæ̃⁵³	kæ̃⁵³	kæ̃⁵³	kæ̃⁵³
合	xə¹³	xə¹³	xə¹³	xə¹³	xə¹³	xə¹³	xə¹³	xə¹³
喝	xə³¹²	xə⁴¹²	xə³¹²	xə³¹²	xə¹³	xə¹³	xə¹³	xə¹³
含	xæn¹³	xæn¹³	xæn¹³	xæn¹³	xæ̃¹³	xæ̃¹³	xæ̃¹³	xæ̃¹³
揞	kæn³¹²	kæn⁴¹²	kæn³¹²	kæn³¹²	kæ̃¹³	kæ̃¹³	kæ̃¹³	kæ̃¹³
暗	kæn⁴⁴	kæn⁴⁴	kæn⁴⁴	kæn⁴⁴	kæ̃⁴⁴	kæ̃⁴⁴	kæ̃⁴⁴	kæ̃⁴⁴
担(动词)	tæn³¹²	tæn⁴¹²	tæn³¹²	tæn³¹²	tæ̃¹³	tæ̃¹³	tæ̃¹³	tæ̃¹³
毯	tʰæn⁵³	tʰæn⁵³	tʰæn⁵³	tʰæn⁵³	tʰæ̃⁵³	tʰæ̃⁵³	tʰæ̃⁵³	tʰæ̃⁵³
溻	tʰa³¹²	tʰa⁴¹²	tʰa³¹²	tʰa³¹²	tʰa¹³	tʰa¹³	tʰa¹³	tʰa¹³
谈	tʰæn¹³	tʰæn¹³	tʰæn¹³	tʰæn¹³	tʰæ̃¹³	tʰæ̃¹³	tʰæ̃¹³	tʰæ̃¹³
暂	tsæn⁴⁴	tsæn⁴⁴	tsæn⁴⁴	tsæn⁴⁴	tsæ̃⁴⁴	tsæ̃⁴⁴	tsæ̃⁴⁴	tsæ̃⁴⁴
三	sæn³¹²	sæn⁴¹²	sæn³¹²	sæn³¹²	sæn¹³	sæn¹³	sæn¹³	sæn¹³
甘	kæn³¹²	kæn⁴¹²	kæn³¹²	kæn³¹²	kæ̃¹³	kæ̃¹³	kæ̃¹³	kæ̃¹³
泔	kə³¹²	kə⁴¹²	kə³¹²	kə³¹²	kə¹³	kə¹³	kə¹³	kə¹³
敢	kæn⁵³	kæn⁵³	kæn⁵³	kæn⁵³	kæ̃⁵³	kæ̃⁵³	kæ̃⁵³	kæ̃⁵³
磕	kʰə³¹²	kʰə⁴¹²	kʰə³¹²	kʰə³¹²	kʰə¹³	kʰə¹³	kʰə¹³	kʰə¹³
喊	xə⁵³	xə⁵³	xə⁵³	xə⁵³	xə⁵³	xə⁵³	xə⁵³	xə⁵³
站	tsæn⁴⁴	tʂæn⁴⁴	tsæn⁴⁴	tsæn⁴⁴	tsæ̃⁴⁴	tsæ̃⁴⁴	tsæ̃⁴⁴	tsæ̃⁴⁴
斩	tsæn⁵³	tʂæn⁵³	tsæn⁵³	tsæn⁵³	tsæ̃⁵³	tsæ̃⁵³	tsæ̃⁵³	tsæ̃⁵³
插	tsʰa³¹²	tʂʰa⁴¹²	tsʰa³¹²	tsʰa³¹²	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³
馋	tsʰæn¹³	tʂʰæn¹³	tsʰæn¹³	tsʰæn¹³	tsʰæ̃¹³	tsʰæ̃¹³	tsʰæ̃¹³	tsʰæ̃¹³
衫	sæn³¹²	ʂæn⁴¹²	sæn³¹²	sæn³¹²	sæ̃¹³	sæ̃¹³	sæ̃¹³	sæ̃¹³
监	tɕiæn³¹²	tɕiæn⁴¹²	tɕiæn³¹²	tɕiæn³¹²	tɕiæ̃¹³	tɕiæ̃¹³	tɕiæ̃¹³	tɕiæ̃¹³
夹	tɕia³¹²	tɕia⁴¹²	tɕia³¹²	tɕia³¹²	tɕia¹³	tɕia¹³	tɕia¹³	tɕia¹³
掐	tɕʰia³¹²	tɕʰia⁴¹²	tɕʰia³¹²	tɕʰia³¹²	tɕʰia¹³	tɕʰia¹³	tɕʰia¹³	tɕʰia¹³
咸	xæn¹³	xæn¹³	xæn¹³	xæn¹³	xæ̃¹³	xæ̃¹³	xæ̃¹³	xæ̃¹³
陷	sæn⁴⁴	sæn⁴⁴	sæn⁴⁴	sæn⁴⁴	sæ̃⁴⁴	sæ̃⁴⁴	sæ̃⁴⁴	sæ̃⁴⁴
押	ia³¹²	ia⁴¹²	ia³¹²	ia³¹²	ia¹³	ia¹³	ia¹³	ia¹³
黏	ʐæn¹³	ʐæn¹³	ʐæn¹³	ʐæn¹³	ʐæ̃¹³	ʐæ̃¹³	ʐæ̃¹³	ʐæ̃¹³
镰	liæn¹³	liæn¹³	liæn¹³	liæn¹³	liæ̃¹³	liæ̃¹³	liæ̃¹³	liæ̃¹³
猎	liə³¹²	liə⁴¹²	liə³¹²	liə³¹²	liə¹³	liə¹³	liə¹³	liə¹³
尖	tsiæn³¹²	tsiæn⁴¹²	tsiæn³¹²	tɕiæn³¹²	tɕiæ̃¹³	tsiæ̃¹³	tɕiæ̃¹³	tɕiæ̃¹³
接	tsiə³¹²	tsiə⁴¹²	tsiə³¹²	tɕiə³¹²	tɕiə¹³	tsiə¹³	tɕiə¹³	tɕiə¹³
签	tsʰiæn³¹²	tsʰiæn⁴¹²	tsʰiæn³¹²	tɕʰiæn³¹²	tɕʰiæ̃¹³	tsʰiæ̃¹³	tɕʰiæ̃¹³	tʰɕiæ̃¹³
捷	tsʰiə¹³	tsʰiə¹³	tsʰiə¹³	tɕʰiə¹³	tɕʰiə¹³	tsʰiə¹³	tɕʰiə¹³	tɕʰiə¹³
折	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³	ʂə¹³
陕	ʂæn⁵³	ʂæn⁵³	ʂæn⁵³	ʂæn⁵³	ʂæ̃⁵³	ʂæ̃⁵³	ʂæ̃⁵³	ʂæ̃⁵³
染	ʐæn⁵³	ʐæn⁵³	ʐæn⁵³	ʐæn⁵³	ʐæ̃⁵³	ʐæ̃⁵³	ʐæ̃⁵³	ʐæ̃⁵³
检	tɕiæn⁵³	tɕiæn⁵³	tɕiæn⁵³	tɕiæn⁵³	tɕiæ̃⁵³	tɕiæ̃⁵³	tɕiæ̃⁵³	tɕiæ̃⁵³
脸	tɕiæn⁵³	tɕiæn⁵³	tɕiæn⁵³	ȵiæn⁵³	ȵiæ̃⁵³	ȵiæ̃⁵³	ȵiæ̃⁵³	ȵiæ̃⁵³
验	iæn⁴⁴	iæn⁴⁴	iæn⁴⁴	iæn⁴⁴	iæ̃⁴⁴	iæ̃⁴⁴	iæ̃⁴⁴	iæ̃⁴⁴
险	ɕiæn⁵³	ɕiæn⁵³	ɕiæn⁵³	ɕiæn⁵³	ɕiæ̃⁵³	ɕiæ̃⁵³	ɕiæ̃⁵³	ɕiæ̃⁵³
劫	tɕiə¹³	tɕiə¹³	tɕiə¹³	tɕiə¹³	tɕiə¹³	tɕiə¹³	tɕiə¹³	tɕiə¹³
严(~实)	tɕiæn¹³	tɕiæn¹³	tɕiæn¹³	ȵiæn¹³	iæ̃¹³	iæ̃¹³	ȵiæ̃¹³	iæ̃¹³
业	tɕiə³¹²	tɕiə⁴¹²	tɕiə³¹²	ȵiə³¹²	iə¹³	iə¹³	ȵiə¹³	iə¹³
淹	iæn³¹²	iæn⁴¹²	iæn³¹²	iæn³¹²	iæ̃¹³	iæ̃¹³	iæ̃¹³	iæ̃¹³
腌	iæn³¹²	iæn⁴¹²	iæn³¹²	iæn³¹²	iæ̃¹³	iæ̃¹³	iæ̃¹³	iæ̃¹³
法	fa³¹²	fa⁴¹²	fa³¹²	fa³¹²	fa¹³	fa¹³	fa¹³	fa¹³
泛	fæn⁴⁴	fæn⁴⁴	fæn⁴⁴	fæn⁴⁴	fæ̃⁴⁴	fæ̃⁴⁴	fæ̃⁴⁴	fæ̃⁴⁴
犯	fæn⁴⁴	fæn⁴⁴	fæn⁴⁴	fæn⁴⁴	fæ̃⁴⁴	fæ̃⁴⁴	fæ̃⁴⁴	fæ̃⁴⁴
舔	tɕʰiæn⁵³	tɕʰiæn⁵³	tʰiæn⁵³	tʰiæn⁵³	tʰiæ̃⁵³	tʰiæ̃⁵³	tʰiæ̃⁵³	tʰiæ̃⁵³
贴	tɕʰiə³¹²	tɕʰiə⁴¹²	tʰiə³¹²	tʰiə³¹²	tʰiə¹³	tʰiə¹³	tʰiə¹³	tʰiə¹³
甜	tɕʰiæn¹³	tɕʰiæn¹³	tʰiæn¹³	tʰiæn¹³	tʰiæ̃¹³	tʰiæ̃¹³	tʰiæ̃¹³	tʰiæ̃¹³
叠	tɕʰiə¹³	tɕʰiə¹³	tʰiə¹³	tʰiə¹³	tʰiə¹³	tʰiə¹³	tʰiə¹³	tʰiə¹³
念	tɕiæn⁴⁴	tɕiæn⁴⁴	tɕiæn⁴⁴	ȵiæn⁴⁴	ȵiæ̃⁴⁴	ȵiæ̃⁴⁴	ȵiæ̃⁴⁴	ȵiæ̃⁴⁴
谦	tɕʰiæn³¹²	tɕʰiæn⁴¹²	tɕʰiæn³¹²	tɕʰiæn³¹²	tɕʰiæ̃¹³	tɕʰiæ̃¹³	tɕʰiæ̃¹³	tɕʰiæ̃¹³
店	tiæn⁴⁴	tiæn⁴⁴	tiæn⁴⁴	tiæn⁴⁴	tiæ̃⁴⁴	tiæ̃⁴⁴	tiæ̃⁴⁴	tiæ̃⁴⁴
跌	tʰiə³¹²	tʰiə⁴¹²	tʰiə³¹²	tʰiə³¹²	tʰiə¹³	tʰiə¹³	tʰiə¹³	tʰiə¹³
嫌	ɕiæn¹³	ɕiæn¹³	ɕiæn¹³	ɕiæn¹³	ɕiæ̃¹³	ɕiæ̃¹³	ɕiæ̃¹³	ɕiæ̃¹³
品	pʰiŋ⁵³	pʰiŋ⁵³	pʰiŋ⁵³	pʰiŋ⁵³	pʰiŋ⁵³	pʰiŋ⁵³	pʰiŋ⁵³	pʰiŋ⁵³
林	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³
檩	liŋ⁵³	liŋ⁵³	liŋ⁵³	liŋ⁵³	liŋ⁵³	liŋ⁵³	liŋ⁵³	liŋ⁵³
立	ȵi³¹²	ȵi⁴¹²	ȵi³¹²	ȵi³¹²	ȵi¹³	ȵi¹³	ȵi¹³	ȵi¹³
寝	tsʰiŋ⁵³	tsʰiŋ⁵³	tsʰiŋ⁵³	tɕʰiŋ⁵³	tɕʰiŋ⁵³	tsʰiŋ⁵³	tɕʰiŋ⁵³	tɕʰiŋ⁵³
辑(~鞋口)	tsʰi³¹²	tsʰi⁴¹²	tsʰi³¹²	tɕʰi³¹²	tɕʰi¹³	tsʰi¹³	tɕʰi¹³	tɕʰi¹³
集	tsʰi¹³	tsʰi¹³	tsʰi¹³	tsʰi¹³	tɕʰi¹³	tsʰi¹³	tɕʰi¹³	tɕʰi¹³
心	siŋ³¹²	siŋ⁴¹²	siŋ³¹²	ɕiŋ³¹²	ɕiŋ¹³	siŋ¹³	ɕiŋ¹³	ɕiŋ¹³
寻	siŋ¹³	siŋ¹³	siŋ¹³	ɕiŋ¹³	ɕiŋ¹³	siŋ¹³	ɕiŋ¹³	ɕiŋ¹³
习	si¹³	si¹³	si¹³	ɕi¹³	ɕi¹³	si¹³	ɕi¹³	ɕi¹³
沉	tʂʰəŋ¹³	tʂʰəŋ¹³	tʂʰəŋ¹³	tʂʰəŋ¹³	tʂʰəŋ¹³	tʂʰəŋ¹³	tʂʰəŋ¹³	tʂʰəŋ¹³
蛰	tʂə¹³	tʂə¹³	tʂə¹³	tʂə¹³	tʂə¹³	tʂə¹³	tʂə¹³	tʂə¹³
森	səŋ³¹²	səŋ⁴¹²	səŋ³¹²	səŋ³¹²	səŋ¹³	səŋ¹³	səŋ¹³	səŋ¹³
渗	səŋ⁴⁴	ʂəŋ⁴⁴	səŋ⁴⁴	səŋ⁴⁴	səŋ⁴⁴	səŋ⁴⁴	səŋ⁴⁴	səŋ⁴⁴
涩	sei³¹²	sei⁴¹²	sei³¹²	se³¹²	sɛ¹³	sɛ¹³	sɛ¹³	sɛ¹³
针	tʂəŋ³¹²	tʂəŋ⁴¹²	tʂəŋ³¹²	tʂəŋ³¹²	tʂəŋ¹³	tʂəŋ¹³	tʂəŋ¹³	tʂəŋ¹³
枕	tʂəŋ⁵³	tʂəŋ⁵³	tʂəŋ⁵³	tʂəŋ⁵³	tʂəŋ⁵³	tʂəŋ⁵³	tʂəŋ⁵³	tʂəŋ⁵³
执	tʂʅ³¹²	tʂʅ⁴¹²	tʂʅ³¹²	tʂʅ³¹²	tʂʅ¹³	tʂʅ¹³	tʂʅ¹³	tʂʅ¹³
深	ʂəŋ³¹²	ʂəŋ⁴¹²	ʂəŋ³¹²	ʂəŋ³¹²	ʂəŋ¹³	ʂəŋ¹³	ʂəŋ¹³	ʂəŋ¹³
审	ʂəŋ⁵³	ʂəŋ⁵³	ʂəŋ⁵³	ʂəŋ⁵³	ʂəŋ⁵³	ʂəŋ⁵³	ʂəŋ⁵³	ʂəŋ⁵³
湿	ʂʅ³¹²	ʂʅ⁴¹²	ʂʅ³¹²	ʂʅ³¹²	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³
甚	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴
十	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³
什	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³
纫	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴
入	ʒʯ³¹²	ʒʯ⁴¹²	ʒʯ³¹²	ʒʯ³¹²	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³
金	tɕiŋ³¹²	tɕiŋ⁴¹²	tɕiŋ³¹²	tɕiŋ³¹²	tɕiŋ¹³	tɕiŋ¹³	tɕiŋ¹³	tɕiŋ¹³
琴	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³	tɕʰiŋ¹³
妗	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴
吸	ɕi³¹²	ɕi⁴¹²	ɕi³¹²	ɕi³¹²	ɕi¹³	ɕi¹³	ɕi¹³	ɕi¹³
阴	tɕiŋ³¹²	tɕiŋ³¹²	tɕiŋ³¹²	iŋ³¹²	iŋ¹³	iŋ¹³	iŋ¹³	iŋ¹³
饮(~马)	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴
揖	ʑi³¹²	ʑi⁴¹²	ʑi³¹²	ʑi³¹²	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³
单(~数)	tæn³¹²	tæn⁴¹²	tæn³¹²	tæn³¹²	tæ̃¹³	tæ̃¹³	tæ̃¹³	tæ̃¹³
坦	tʰæn⁵³	tʰæn⁵³	tʰæn⁵³	tʰæn⁵³	tʰæ̃⁵³	tʰæ̃⁵³	tʰæ̃⁵³	tʰæ̃⁵³
弹(~琴)	tʰæn¹³	tʰæn¹³	tʰæn¹³	tʰæn¹³	tʰæ̃¹³	tʰæ̃¹³	tʰæ̃¹³	tʰæ̃¹³
达	ta¹³	ta¹³	ta¹³	ta¹³	ta¹³	ta¹³	ta¹³	ta¹³
难	læn¹³	læn¹³	læn¹³	læn¹³	læ̃¹³	læ̃¹³	læ̃¹³	læ̃¹³
捺	la³¹²	la⁴¹²	la³¹²	la³¹²	la¹³	la¹³	la¹³	la¹³
拦	læn¹³	læn¹³	læn¹³	læn¹³	læ̃¹³	læ̃¹³	læ̃¹³	læ̃¹³
溅	tsæn⁴⁴	tsæn⁴⁴	tsæn⁴⁴	tsæn⁴⁴	tsæ̃⁴⁴	tsæ̃⁴⁴	tsæ̃⁴⁴	tsæ̃⁴⁴
餐	tsʰæn³¹²	tsʰæn⁴¹²	tsʰæn³¹²	tsʰæn³¹²	tsʰæ̃¹³	tsʰæ̃¹³	tsʰæ̃¹³	tsʰæ̃¹³
擦	tsʰa³¹²	tsʰa⁴¹²	tsʰa³¹²	tsʰa³¹²	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³
伞	sæn⁵³	sæn⁵³	sæn⁵³	sæn⁵³	sæ̃⁵³	sæ̃⁵³	sæ̃⁵³	sæ̃⁵³
撒	sa³¹²	sa⁴¹²	sa³¹²	sa³¹²	sa¹³	sa¹³	sa¹³	sa¹³
干(~净)	kæn³¹²	kæn⁴¹²	kæn³¹²	kæn³¹²	kæ̃¹³	kæ̃¹³	kæ̃¹³	kæ̃¹³
割	kə³¹²	kə⁴¹²	kə³¹²	kə³¹²	kə¹³	kə¹³	kə¹³	kə¹³
看(~见)	kʰæn⁴⁴	kʰæn⁴⁴	kʰæn⁴⁴	kʰæn⁴⁴	kʰæ̃⁴⁴	kʰæ̃⁴⁴	kʰæ̃⁴⁴	kʰæ̃⁴⁴
渴	kʰə³¹²	kʰə⁴¹²	kʰə³¹²	kʰə³¹²	kʰə¹³	kʰə¹³	kʰə¹³	kʰə¹³
岸	kæn⁴⁴	kæn⁴⁴	kæn⁴⁴	kæn⁴⁴	kæ̃⁴⁴	kæ̃⁴⁴	kæ̃⁴⁴	kæ̃⁴⁴
汉	xæn⁴⁴	xæn⁴⁴	xæn⁴⁴	xæn⁴⁴	xæ̃⁴⁴	xæ̃⁴⁴	xæ̃⁴⁴	xæ̃⁴⁴
韩	xæn¹³	xæn¹³	xæn¹³	xæn¹³	xæ̃¹³	xæ̃¹³	xæ̃¹³	xæ̃¹³
汗	xæn⁴⁴	xæn⁴⁴	xæn⁴⁴	xæn⁴⁴	xæ̃⁴⁴	xæ̃⁴⁴	xæ̃⁴⁴	xæ̃⁴⁴
安	kæn³¹²	kæn⁴¹²	kæn³¹²	kæn³¹²	kæ̃¹³	kæ̃¹³	kæ̃¹³	kæ̃¹³
