汉字	注释	环县甜水	环县环城	环县车道	庆城庆城	庆城桐川	庆城太白梁	华池柔远	华池乔川	合水西华池	合水太白	合水段家集	西峰西街	西峰肖金	镇原城关	镇原新城	镇原三岔	宁县新宁	宁县早胜	宁县盘克	正宁山河	正宁宫河	正宁五顷原	正宁三嘉	泾川泾明	泾川城关	泾川玉都	灵台中台	灵台邵寨	华亭东华	华亭神峪	崇信锦屏	崇信木林	崇信新窑	崆峒柳湖汉	崆峒柳湖回	崆峒香莲	崆峒大秦
结		꜁tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕie	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɪ	꜀tɕie	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ	꜀tɕiɛ
牵		꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃	꜀tɕʰiæ̃
研		꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎	꜁iæ̃/꜁ȵiæ̃研磨：研药，研碎
砚		iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄	iæ̃꜄
显		꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃	꜂ɕiæ̃
现		ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄	ɕiæ̃꜄
烟		꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃	꜀iæ̃
搬		꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃	꜀pæ̃
盘		꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃	꜁pʰæ̃
满		꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃	꜂mæ̃
短		꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃	꜂tuæ̃
断		tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄/tʰuæ̃꜄
暖		꜂næ̃	꜂næ̃	꜂næ̃	꜂næ̃	꜂luæ̃	꜂luæ̃	꜂nuæ̃	꜂nuæ̃	꜂luæ̃	꜂nuæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂lyæ̃	꜂lyæ̃	꜂lyæ̃	꜂lyæ̃	꜂lyæ̃	꜂lyæ̃	꜂lyæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂luæ̃	꜂lyæ̃
酸		꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀ɕyæ̃	꜀ɕyæ̃	꜀suæ̃	꜀ɕyæ̃	꜀suæ̃	꜀ʃʒ̍ʷæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀ʃʒ̍ʷæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃	꜀suæ̃
官		꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃	꜀kuæ̃
宽		꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃	꜀kʰuæ̃
欢		꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃	꜀xuæ̃
完		꜁væ̃	꜁uæ̃	꜁væ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁væ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁væ̃	꜁væ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁uæ̃	꜁væ̃	꜁uæ̃
豌		꜀væ̃	꜀uæ̃	꜀væ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀væ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀væ̃	꜀væ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀uæ̃	꜀væ̃	꜀uæ̃
半		pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄
绊		pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄	pæ̃꜄/pʰæ̃꜄꜄	pæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄/pʰæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄	pæ̃꜄
拨		꜁puə	꜀puɤ	꜀puə	꜀po	꜀po	꜀po	꜀po	꜀puə	꜀po	꜀puə	꜀po	꜀po	꜀po	꜀po	꜀po	꜀puə	꜀po	꜀po	꜀po	꜀puɤ	꜀po	꜀po	꜀po	꜀puə	꜀pə	꜀pə	꜀po	꜀po	꜀po	꜀po	꜀po	꜀po	꜀po	꜀pɤ	꜀pɤ	꜀pɤ	꜀po
沫		꜁muə	꜀muɤ	꜀muə	꜀mo	꜀mo	꜀mo	꜀mo	꜀muə	꜀mo	꜀muə	꜀mo	꜀mo	꜀mo	꜀mo	꜀mo	꜀muə	꜀mo	꜀mo	꜀mo	꜀muɤ	꜀mo	꜀mo	꜀mo	꜀muə	꜀mə	꜀mə	꜀mo	꜀mo	꜀mo	꜀mo	꜀mo	꜀mo	꜀mo	꜀mɤ	꜀mɤ	꜀mɤ	꜀mo
脱		꜁tʰuə	꜀tʰuɤ	꜀tʰuə	꜀tʰuo	꜀tʰuo	꜀tʰuo	꜀tʰuo	꜀tʰuə	꜀tʰuo	꜀tʰuə	꜀tʰuo	꜀tʰuo	꜀tʰuo	꜀tʰuo	꜀tʰuo	꜀tʰuə	꜀tʰuo	꜀tʰuo	꜀tʰuo	꜀tʰuɤ	꜀tʰuo	꜀tʰuo	꜀tʰuo	꜀tʰuə	꜀tʰuə	꜀tʰuə	꜀tʰuo	꜀tʰuo	꜀tʰuo	꜀tʰuo	꜀tʰuo	꜀tʰuo	꜀tʰuo	꜀tʰuɤ	꜀tʰuɤ	꜀tʰuɤ	꜀tʰuo
缎		tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄	tuæ̃꜄
夺		꜁tuə	꜁tuɤ	꜁tuə	꜁tuo	꜁tuo	꜁tuo	꜁tuo	꜁tuə	꜁tuo	꜁tuə	꜁tuo/꜁tʰuo	꜁tuo	꜁tuo/꜁tʰuo	꜁tuo	꜁tuo	꜁tuə	꜁tuo/꜁tʰuo	꜁tuo/꜁tʰuo	꜁tuo/꜁tʰuo	꜁tuɤ/꜁tʰuɤ	꜁tuo/꜁tʰuo	꜁tuo	꜁tuo/꜁tʰuo	꜁tuə/꜁tʰuə	꜁tuə/꜁tʰuə	꜁tuə/꜁tʰuə	꜁tuo	tuo/꜁tʰuo	꜁tuo	꜁tuo	꜁tuo	꜁tuo	꜁tuo	꜁tuo	꜁tuɤ	꜁tuɤ	꜁tuo
乱		luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	lyæ̃꜄	luæ̃꜄	luæ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄	luæ̃꜄/læ̃꜄	lyæ̃꜄	lyæ̃꜄	lyæ̃꜄	lyæ̃꜄	lyæ̃꜄	lyæ̃꜄	lyæ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	luæ̃꜄/læ̃꜄	lyæ̃꜄
窜		tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tɕʰyæ̃꜄	tɕʰyæ̃꜄	tsʰuæ̃꜄	tɕʰyæ̃꜄	tsʰuæ̃꜄	tʃʰʒ̍ʷæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tʃʰʒ̍ʷæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄	tsʰuæ̃꜄
撮	一～米	꜂tsuə	꜂tsuɤ	꜂tsuə	꜂tsuo	꜂tsuo	꜂tsuo	꜂tsuo	꜂tsuə	꜂tsuo	꜂tsuə	꜂tsuo	꜂tsuo	꜂tsuo	꜂tsuo	꜂tsuo	꜂tsuə	꜂tsuo	꜂tsuo	꜂tsuo	꜂tsuɤ	꜂tsuo	꜂tsuo	꜂tsuo	꜀tsuə	꜀tʃʒ̍ʷə	꜀tsuə	꜀tsuo	꜀tsuo	꜀tsuo	꜀tsuo	꜀tʃʒ̍ʷo	꜀tsuo	꜀tsuo	꜀tsuɤ	꜀tsuɤ	꜀tsuɤ	꜀tsuo
蒜		suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	ɕyæ̃꜄	ɕyæ̃꜄	suæ̃꜄	ɕyæ̃꜄	suæ̃꜄	ʃʒ̍ʷæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	ʃʒ̍ʷæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄	suæ̃꜄
括		꜀kʰuə	꜀kʰuɤ	꜀kʰuə	꜀kʰuo	꜀kʰuo	꜀kʰuo	꜀kʰuɤ	꜀kʰuə	꜀kʰuo	꜀kʰuə	꜀kʰuo	꜀kʰuo	꜀kʰuo	꜀kʰuo	꜀kʰuo	꜀kʰuə	꜀kʰə	꜀kʰə	꜀kʰə	꜀kʰuɤ	꜀kʰuo	꜀kʰuo	꜀kʰuo	꜀kʰuə	꜀kʰuə	꜀kʰuə	꜀kʰuo	꜀kʰuo	꜀kʰuo	꜀kʰuo	꜀kʰuo	꜀kʰuo	꜀kʰuo	꜀kʰuɤ	꜀kʰuɤ	꜀kʰuɤ	꜀kʰuo
聒		꜀kuə	꜀kuɤ	꜀kuə	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuə	꜀kuo	꜀kuə	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuə	꜀kuo	꜀kuo	꜀kuo	꜀kuɤ	꜀kuo	꜀kuo	꜀kuo	꜀kuə	꜀kuə	꜀kuə	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuɤ	꜀kuɤ	꜀kuɤ	꜀kuo
豁		꜀xuə	꜀xuɤ	꜀xuə	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuə	꜀xuo	꜀xuə	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuə	꜀xuo	꜀xuo	꜀xuo	꜀xuɤ	꜀xuo	꜀xuo	꜀xuo	꜀xuə	꜀xuə	꜀xuə	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuo	꜀xuɤ	꜀xuɤ	꜀xuɤ	꜀xuo
换		xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄	xuæ̃꜄
